State,District,Year,Cashewnut,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,66,80,1.21,,,,,,
,,2019 - 2020,72,102,1.42,,,,,,
,,2020 - 2021,89,113,1.27,,,,,,
,,2021 - 2022,96,136,1.42,,,,,,
,,2022 - 2023,85,471,5.54,,,,,,
,15. Gadag,2016 - 2017,2,1,0.5,,,,,,
,,2017 - 2018,83,61,0.73,,,,,,
,,2018 - 2019,76,92,1.21,,,,,,
,,2019 - 2020,122,173,1.42,,,,,,
,,2020 - 2021,133,169,1.27,,,,,,
,,2021 - 2022,153,217,1.42,,,,,,
,,2022 - 2023,110,659,5.99,,,,,,
,16. Gulbarga,2018 - 2019,1,1,1,,,,,,
,17. Hassan,2008 - 2009,6,3.69,0.61,,,,,,
,,2009 - 2010,6,5,0.83,,,,,,
,,2010 - 2011,6,4,0.67,,,,,,
,,2011 - 2012,4,3,0.75,,,,,,
,,2012 - 2013,24,19,0.79,,,,,,
,,2013 - 2014,19,17,0.89,,,,,,
,,2015 - 2016,10,6,0.6,,,,,,
,,2016 - 2017,8,5,0.63,,,,,,
,,2017 - 2018,37,27,0.73,,,,,,
,,2018 - 2019,21,25,1.19,,,,,,
,,2019 - 2020,22,31,1.41,,,,,,
,,2020 - 2021,31,39,1.26,,,,,,
,,2021 - 2022,43,61,1.42,,,,,,
,,2022 - 2023,23,136,5.91,,,,,,
,18. Haveri,2008 - 2009,44,27.05,0.61,,,,,,
,,2009 - 2010,49,37,0.76,,,,,,
,,2010 - 2011,55,40,0.73,,,,,,
,,2011 - 2012,61,49,0.8,,,,,,
,,2012 - 2013,50,40,0.8,,,,,,
,,2013 - 2014,54,48,0.89,,,,,,
,,2014 - 2015,38,28,0.74,,,,,,
,,2015 - 2016,64,41,0.64,,,,,,
,,2016 - 2017,63,36,0.57,,,,,,
,,2017 - 2018,100,73,0.73,,,,,,
,,2018 - 2019,113,136,1.2,,,,,,
,,2019 - 2020,154,218,1.42,,,,,,
,,2020 - 2021,161,204,1.27,,,,,,
,,2021 - 2022,252,426,1.69,,,,,,
,,2022 - 2023,203,"1,461.00",7.2,,,,,,
,19. Kodagu,2008 - 2009,"2,344.00","1,519.97",0.65,,,,,,
,,2009 - 2010,"2,272.00","1,354.00",0.6,,,,,,
,,2010 - 2011,"2,045.00","2,306.00",1.13,,,,,,
,,2011 - 2012,"1,993.00","2,151.00",1.08,,,,,,
,,2012 - 2013,"1,975.00","2,131.00",1.08,,,,,,
,,2013 - 2014,"1,982.00","2,229.00",1.12,,,,,,
,,2014 - 2015,"1,964.00","2,275.00",1.16,,,,,,
,,2015 - 2016,"1,989.00","3,334.00",1.68,,,,,,
,,2016 - 2017,"2,062.00","2,311.00",1.12,,,,,,
,,2017 - 2018,"2,132.00","2,681.00",1.26,,,,,,
,,2018 - 2019,305,410,1.34,,,,,,
,,2019 - 2020,251,436,1.74,,,,,,
,,2020 - 2021,283,359,1.27,,,,,,
,,2021 - 2022,264,446,1.69,,,,,,
,,2022 - 2023,321,"2,957.00",9.21,,,,,,
,20. Kolar,2008 - 2009,883,542.86,0.61,,,,,,
,,2009 - 2010,883,670,0.76,,,,,,
,,2010 - 2011,"1,566.00",569,0.36,,,,,,
,,2011 - 2012,"1,566.00","2,223.00",1.42,,,,,,
,,2012 - 2013,"1,515.00","2,151.00",1.42,,,,,,
,,2013 - 2014,"1,425.00",868,0.61,,,,,,
,,2014 - 2015,700,450,0.64,,,,,,
,,2015 - 2016,314,183,0.58,,,,,,
,,2016 - 2017,197,91,0.46,,,,,,
,,2017 - 2018,97,71,0.73,,,,,,
,,2018 - 2019,69,83,1.2,,,,,,
,,2019 - 2020,112,159,1.42,,,,,,
,,2020 - 2021,128,162,1.27,,,,,,
,,2021 - 2022,91,188,2.07,,,,,,
,,2022 - 2023,83,653,7.87,,,,,,
,21. Koppal,2018 - 2019,19,23,1.21,,,,,,
,,2019 - 2020,20,28,1.4,,,,,,
,,2020 - 2021,19,24,1.26,,,,,,
,,2021 - 2022,9,8,0.89,,,,,,
,,2022 - 2023,20,176,8.8,,,,,,
,22. Mandya,2008 - 2009,4,2.46,0.61,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,
,,2010 - 2011,3,2,0.67,,,,,,
,,2011 - 2012,2,2,1,,,,,,
,,2012 - 2013,5,4,0.8,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,8,5,0.63,,,,,,
,,2018 - 2019,7,8,1.14,,,,,,
,,2019 - 2020,6,9,1.5,,,,,,
,,2020 - 2021,7,9,1.29,,,,,,
,,2021 - 2022,10,14,1.4,,,,,,
,,2022 - 2023,6,17,2.83,,,,,,
,23. Mysore,2008 - 2009,200,122.96,0.61,,,,,,
,,2009 - 2010,190,144,0.76,,,,,,
,,2010 - 2011,184,135,0.73,,,,,,
,,2011 - 2012,184,147,0.8,,,,,,
,,2012 - 2013,219,176,0.8,,,,,,
,,2013 - 2014,127,113,0.89,,,,,,
,,2014 - 2015,39,29,0.74,,,,,,
,,2015 - 2016,23,15,0.65,,,,,,
,,2016 - 2017,22,12,0.55,,,,,,
,,2017 - 2018,24,18,0.75,,,,,,
,,2018 - 2019,10,12,1.2,,,,,,
,,2019 - 2020,5,7,1.4,,,,,,
,,2020 - 2021,3,4,1.33,,,,,,
,,2022 - 2023,1,6,6,,,,,,
,24. Raichur,2020 - 2021,2,3,1.5,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,6,6,,,,,,
,25. Ramanagara,2008 - 2009,20,12.3,0.61,,,,,,
,,2009 - 2010,18,14,0.78,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,
,,2011 - 2012,1,1,1,,,,,,
,,2012 - 2013,2,2,1,,,,,,
,,2013 - 2014,2,2,1,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,
,,2018 - 2019,16,19,1.19,,,,,,
,,2019 - 2020,23,33,1.43,,,,,,
,,2020 - 2021,14,18,1.29,,,,,,
,,2021 - 2022,13,18,1.38,,,,,,
,,2022 - 2023,7,49,7,,,,,,
,26. Shimoga,2008 - 2009,"1,463.00",899.44,0.61,,,,,,
,,2009 - 2010,"1,464.00",833,0.57,,,,,,
,,2010 - 2011,"1,534.00","1,125.00",0.73,,,,,,
,,2011 - 2012,"1,345.00","1,077.00",0.8,,,,,,
,,2012 - 2013,"1,394.00","1,122.00",0.8,,,,,,
,,2013 - 2014,"1,154.00",363,0.31,,,,,,
,,2014 - 2015,"1,148.00",285,0.25,,,,,,
,,2015 - 2016,"1,215.00",351,0.29,,,,,,
,,2016 - 2017,"1,113.00",171,0.15,,,,,,
,,2017 - 2018,"1,164.00",406,0.35,,,,,,
,,2018 - 2019,"1,378.00","1,746.00",1.27,,,,,,
,,2019 - 2020,"1,347.00","1,638.00",1.22,,,,,,
,,2020 - 2021,"1,413.00","1,356.00",0.96,,,,,,
,,2021 - 2022,"1,350.00","2,147.00",1.59,,,,,,
,,2022 - 2023,"1,244.00","4,626.00",3.72,,,,,,
,27. Tumkur,2008 - 2009,130,79.92,0.61,,,,,,
,,2009 - 2010,159,121,0.76,,,,,,
,,2010 - 2011,164,120,0.73,,,,,,
,,2011 - 2012,150,120,0.8,,,,,,
,,2012 - 2013,145,117,0.81,,,,,,
,,2013 - 2014,48,43,0.9,,,,,,
,,2014 - 2015,78,58,0.74,,,,,,
,,2015 - 2016,45,29,0.64,,,,,,
,,2016 - 2017,104,59,0.57,,,,,,
,,2017 - 2018,86,63,0.73,,,,,,
,,2018 - 2019,111,134,1.21,,,,,,
,,2019 - 2020,93,132,1.42,,,,,,
,,2020 - 2021,115,146,1.27,,,,,,
,,2021 - 2022,124,176,1.42,,,,,,
,,2022 - 2023,139,818,5.88,,,,,,
,28. Udupi,2008 - 2009,"19,964.00","12,273.67",0.61,,,,,,
,,2009 - 2010,"20,167.00","15,293.00",0.76,,,,,,
,,2010 - 2011,"19,593.00","9,117.00",0.47,,,,,,
,,2011 - 2012,"19,784.00","7,110.00",0.36,,,,,,
,,2012 - 2013,"19,196.00","6,898.00",0.36,,,,,,
,,2013 - 2014,"19,622.00","7,032.00",0.36,,,,,,
,,2014 - 2015,"19,562.00","6,217.00",0.32,,,,,,
,,2015 - 2016,"19,630.00","6,316.00",0.32,,,,,,
,,2016 - 2017,"19,565.00","6,895.00",0.35,,,,,,
,,2017 - 2018,"19,541.00","5,804.00",0.3,,,,,,
,,2018 - 2019,"17,385.00","19,345.00",1.11,,,,,,
,,2019 - 2020,"18,600.00","27,253.00",1.47,,,,,,
,,2020 - 2021,"18,880.00","21,750.00",1.15,,,,,,
,,2021 - 2022,"16,668.00","23,468.00",1.41,,,,,,
,,2022 - 2023,"15,876.00","1,07,322.00",6.76,,,,,,
,29. Uttar kannad,2008 - 2009,"2,952.00","2,525.02",0.86,,,,,,
,,2009 - 2010,"2,958.00","1,906.00",0.64,,,,,,
,,2010 - 2011,"2,996.00","1,860.00",0.62,,,,,,
,,2011 - 2012,"3,026.00","1,872.00",0.62,,,,,,
,,2012 - 2013,"3,190.00","1,974.00",0.62,,,,,,
,,2013 - 2014,"3,325.00","3,618.00",1.09,,,,,,
,,2014 - 2015,"3,380.00","3,718.00",1.1,,,,,,
,,2015 - 2016,"3,383.00","4,809.00",1.42,,,,,,
,,2016 - 2017,"3,410.00","4,709.00",1.38,,,,,,
,,2017 - 2018,"3,369.00","4,713.00",1.4,,,,,,
,,2018 - 2019,"4,300.00","5,977.00",1.39,,,,,,
,,2019 - 2020,"3,854.00","5,342.00",1.39,,,,,,
,,2020 - 2021,"4,312.00","6,093.00",1.41,,,,,,
,,2021 - 2022,"3,508.00","5,087.00",1.45,,,,,,
,,2022 - 2023,"3,145.00","27,171.00",8.64,,,,,,
,30. Vijayanagar,2022 - 2023,5,47,9.4,,,,,,
,31. Yadgir,2018 - 2019,5,6,1.2,,,,,,
,,2019 - 2020,2,3,1.5,,,,,,
,,2020 - 2021,5,6,1.2,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,
6. Kerala,1. Alappuzha,2000 - 2001,"4,728.00","1,234.00",0.26,,,,,,
,,2001 - 2002,"4,472.00","1,355.00",0.3,,,,,,
,,2002 - 2003,"4,313.00","1,349.00",0.31,,,,,,
,,2003 - 2004,"4,092.00","1,394.00",0.34,,,,,,
,,2004 - 2005,"3,749.00","1,016.00",0.27,,,,,,
,,2005 - 2006,"3,525.00","1,182.00",0.34,,,,,,
,,2006 - 2007,"2,995.00",978,0.33,,,,,,
,,2007 - 2008,"2,515.00",993,0.39,,,,,,
,,2008 - 2009,"2,150.00",668,0.31,,,,,,
,,2009 - 2010,"2,110.00",814,0.39,,,,,,
,,2010 - 2011,"2,092.85",492.62,0.24,,,,,,
,,2011 - 2012,"2,559.81",547.69,0.21,,,,,,
,,2012 - 2013,"2,110.00",436,0.21,,,,,,
,,2013 - 2014,"2,118.00",433,0.2,,,,,,
,,2014 - 2015,"1,921.00",318,0.17,,,,,,
,,2015 - 2016,"1,805.49",248.02,0.14,,,,,,
,,2016 - 2017,"1,718.00",248,0.14,,,,,,
,,2017 - 2018,"1,663.00",283,0.17,,,,,,
,,2018 - 2019,"1,617.02",332.19,0.21,,,,,,
,,2019 - 2020,"1,576.00",207,0.13,,,,,,
,,2020 - 2021,"1,484.80",174.87,0.12,,,,,,
,,2021 - 2022,"1,140.00",187,0.16,,,,,,
,,2022 - 2023,986.12,152.5,0.15,,,,,,
,2. Ernakulam,2000 - 2001,"1,578.00",496,0.31,,,,,,
,,2001 - 2002,"1,468.00",724,0.49,,,,,,
,,2002 - 2003,"1,364.00",607,0.45,,,,,,
,,2003 - 2004,"1,241.00",528,0.43,,,,,,
,,2004 - 2005,"1,167.00",545,0.47,,,,,,
,,2005 - 2006,"1,130.00",507,0.45,,,,,,
,,2006 - 2007,948,438,0.46,,,,,,
,,2007 - 2008,783,350,0.45,,,,,,
,,2008 - 2009,596,241,0.4,,,,,,
,,2009 - 2010,581,218,0.38,,,,,,
,,2010 - 2011,573.89,184.56,0.32,,,,,,
,,2011 - 2012,648.12,155.76,0.24,,,,,,
,,2012 - 2013,604,149,0.25,,,,,,
,,2013 - 2014,557,168,0.3,,,,,,
,,2014 - 2015,430,122,0.28,,,,,,
,,2015 - 2016,433,117.94,0.27,,,,,,
,,2016 - 2017,446,114,0.26,,,,,,
,,2017 - 2018,469,133,0.28,,,,,,
,,2018 - 2019,394.87,99.46,0.25,,,,,,
,,2019 - 2020,398,119,0.3,,,,,,
,,2020 - 2021,366.08,110.63,0.3,,,,,,
,,2021 - 2022,354,125,0.35,,,,,,
,,2022 - 2023,382.8,114.21,0.3,,,,,,
,3. Idukki,2000 - 2001,"1,394.00",594,0.43,,,,,,
,,2001 - 2002,"1,350.00",547,0.41,,,,,,
,,2002 - 2003,"1,321.00",788,0.6,,,,,,
,,2003 - 2004,"1,211.00",536,0.44,,,,,,
,,2004 - 2005,"1,270.00",677,0.53,,,,,,
,,2005 - 2006,"1,197.00",746,0.62,,,,,,
,,2006 - 2007,"1,240.00",542,0.44,,,,,,
,,2007 - 2008,"1,617.00",588,0.36,,,,,,
,,2008 - 2009,"1,365.00",731,0.54,,,,,,
,,2009 - 2010,"1,237.00",497,0.4,,,,,,
,,2010 - 2011,"1,200.93",342.25,0.28,,,,,,
,,2011 - 2012,"1,497.12",507.95,0.34,,,,,,
,,2012 - 2013,"1,537.00",482,0.31,,,,,,
,,2013 - 2014,"1,413.00",530,0.38,,,,,,
,,2014 - 2015,"1,375.00",410,0.3,,,,,,
,,2015 - 2016,"1,147.46",376.03,0.33,,,,,,
,,2016 - 2017,"1,117.00",340,0.3,,,,,,
,,2017 - 2018,"1,034.00",326,0.32,,,,,,
,,2018 - 2019,944.56,191.45,0.2,,,,,,
,,2019 - 2020,891,253,0.28,,,,,,
,,2020 - 2021,866.61,209.42,0.24,,,,,,
,,2021 - 2022,839,207,0.25,,,,,,
,,2022 - 2023,742.47,169.79,0.23,,,,,,
,4. Kannur,2000 - 2001,"27,757.00","27,621.00",1,,,,,,
,,2001 - 2002,"27,103.00","24,087.00",0.89,,,,,,
,,2002 - 2003,"27,123.00","25,474.00",0.94,,,,,,
,,2003 - 2004,"27,817.00","25,482.00",0.92,,,,,,
,,2004 - 2005,"25,681.00","25,230.00",0.98,,,,,,
,,2005 - 2006,"25,066.00","29,252.00",1.17,,,,,,
,,2006 - 2007,"25,191.00","30,786.00",1.22,,,,,,
,,2007 - 2008,"19,366.00","25,715.00",1.33,,,,,,
,,2008 - 2009,"19,372.00","20,757.00",1.07,,,,,,
,,2009 - 2010,"19,377.00","21,595.00",1.11,,,,,,
,,2010 - 2011,"17,294.71","22,521.87",1.3,,,,,,
,,2011 - 2012,"23,190.10","24,205.48",1.04,,,,,,
,,2012 - 2013,"22,585.00","26,333.00",1.17,,,,,,
,,2013 - 2014,"21,238.00","20,984.00",0.99,,,,,,
,,2014 - 2015,"20,351.00","18,570.00",0.91,,,,,,
,,2015 - 2016,"19,768.55","16,743.98",0.85,,,,,,
,,2016 - 2017,"19,411.00","19,148.00",0.99,,,,,,
,,2017 - 2018,"19,570.00","18,601.00",0.95,,,,,,
,,2018 - 2019,"19,242.93","8,568.56",0.45,,,,,,
,,2019 - 2020,"20,658.00","13,341.00",0.65,,,,,,
,,2020 - 2021,"19,264.13","14,475.10",0.75,,,,,,
,,2021 - 2022,"17,157.00","10,723.00",0.62,,,,,,
,,2022 - 2023,"17,047.66","8,034.61",0.47,,,,,,
,5. Kasaragod,2000 - 2001,"20,448.00","18,415.00",0.9,,,,,,
,,2001 - 2002,"19,936.00","21,996.00",1.1,,,,,,
,,2002 - 2003,"20,218.00","20,737.00",1.03,,,,,,
,,2003 - 2004,"19,389.00","21,346.00",1.1,,,,,,
,,2004 - 2005,"18,341.00","17,208.00",0.94,,,,,,
,,2005 - 2006,"18,068.00","17,925.00",0.99,,,,,,
,,2006 - 2007,"14,518.00","14,897.00",1.03,,,,,,
,,2007 - 2008,"11,667.00","11,210.00",0.96,,,,,,
,,2008 - 2009,"9,487.00","10,347.00",1.09,,,,,,
,,2009 - 2010,"8,205.00","5,189.00",0.63,,,,,,
,,2010 - 2011,"6,803.06","5,131.57",0.75,,,,,,
,,2011 - 2012,"8,250.07","5,683.95",0.69,,,,,,
,,2012 - 2013,"7,981.00","5,144.00",0.64,,,,,,
,,2013 - 2014,"7,811.00","6,193.00",0.79,,,,,,
,,2014 - 2015,"7,182.00","6,323.00",0.88,,,,,,
,,2015 - 2016,"6,844.75","3,856.73",0.56,,,,,,
,,2016 - 2017,"6,993.00","4,802.00",0.69,,,,,,
,,2017 - 2018,"6,918.00","3,800.00",0.55,,,,,,
,,2018 - 2019,"7,240.75","4,286.61",0.59,,,,,,
,,2019 - 2020,"7,027.00","3,545.00",0.5,,,,,,
,,2020 - 2021,"7,004.94","3,803.24",0.54,,,,,,
,,2021 - 2022,"5,297.00","2,729.00",0.52,,,,,,
,,2022 - 2023,"5,594.65","2,683.86",0.48,,,,,,
,6. Kollam,2000 - 2001,"4,955.00","3,630.00",0.73,,,,,,
,,2001 - 2002,"4,772.00","3,756.00",0.79,,,,,,
,,2002 - 2003,"4,663.00","3,043.00",0.65,,,,,,
,,2003 - 2004,"4,404.00","3,218.00",0.73,,,,,,
,,2004 - 2005,"4,666.00","3,160.00",0.68,,,,,,
,,2005 - 2006,"4,271.00","3,003.00",0.7,,,,,,
,,2006 - 2007,"3,701.00","2,424.00",0.65,,,,,,
,,2007 - 2008,"3,274.00","1,669.00",0.51,,,,,,
,,2008 - 2009,"2,989.00","1,340.00",0.45,,,,,,
,,2009 - 2010,"2,858.00","1,271.00",0.44,,,,,,
,,2010 - 2011,"2,774.95",926.45,0.33,,,,,,
,,2011 - 2012,"3,352.45",914.46,0.27,,,,,,
,,2012 - 2013,"3,264.00",883,0.27,,,,,,
,,2013 - 2014,"2,848.00",922,0.32,,,,,,
,,2014 - 2015,"2,680.00",772,0.29,,,,,,
,,2015 - 2016,"2,334.25",643.66,0.28,,,,,,
,,2016 - 2017,"2,307.00",671,0.29,,,,,,
,,2017 - 2018,"1,803.00",452,0.25,,,,,,
,,2018 - 2019,"1,671.00",455.32,0.27,,,,,,
,,2019 - 2020,"1,795.00",424,0.24,,,,,,
,,2020 - 2021,"1,785.56",493.32,0.28,,,,,,
,,2021 - 2022,"1,374.00",385,0.28,,,,,,
,,2022 - 2023,"1,531.99",341.7,0.22,,,,,,
,7. Kottayam,2000 - 2001,747,233,0.31,,,,,,
,,2001 - 2002,765,229,0.3,,,,,,
,,2002 - 2003,700,226,0.32,,,,,,
,,2003 - 2004,640,214,0.33,,,,,,
,,2004 - 2005,688,222,0.32,,,,,,
,,2005 - 2006,638,269,0.42,,,,,,
,,2006 - 2007,589,226,0.38,,,,,,
,,2007 - 2008,581,222,0.38,,,,,,
,,2008 - 2009,554,160,0.29,,,,,,
,,2009 - 2010,404,127,0.31,,,,,,
,,2010 - 2011,415.69,110.99,0.27,,,,,,
,,2011 - 2012,468.81,117.34,0.25,,,,,,
,,2012 - 2013,457,125,0.27,,,,,,
,,2013 - 2014,410,123,0.3,,,,,,
,,2014 - 2015,399,103,0.26,,,,,,
,,2015 - 2016,375.15,101.78,0.27,,,,,,
,,2016 - 2017,362,95,0.26,,,,,,
,,2017 - 2018,376,113,0.3,,,,,,
,,2018 - 2019,345.34,90.2,0.26,,,,,,
,,2019 - 2020,328,57,0.17,,,,,,
,,2020 - 2021,279.56,61.69,0.22,,,,,,
,,2021 - 2022,253,78,0.31,,,,,,
,,2022 - 2023,256.34,71.09,0.28,,,,,,
,8. Kozhikode,2000 - 2001,"3,867.00","1,795.00",0.46,,,,,,
,,2001 - 2002,"4,099.00","2,306.00",0.56,,,,,,
,,2002 - 2003,"3,883.00","2,177.00",0.56,,,,,,
,,2003 - 2004,"3,754.00","2,334.00",0.62,,,,,,
,,2004 - 2005,"3,552.00","2,063.00",0.58,,,,,,
,,2005 - 2006,"3,368.00","2,200.00",0.65,,,,,,
,,2006 - 2007,"2,948.00","1,478.00",0.5,,,,,,
,,2007 - 2008,"2,864.00","1,899.00",0.66,,,,,,
,,2008 - 2009,"2,222.00","1,124.00",0.51,,,,,,
,,2009 - 2010,"2,068.00",704,0.34,,,,,,
,,2010 - 2011,"1,964.20",881.64,0.45,,,,,,
,,2011 - 2012,"2,304.49",702.91,0.31,,,,,,
,,2012 - 2013,"2,179.00",834,0.38,,,,,,
,,2013 - 2014,"2,103.00",937,0.45,,,,,,
,,2014 - 2015,"2,015.00",740,0.37,,,,,,
,,2015 - 2016,"1,981.41",625.82,0.32,,,,,,
,,2016 - 2017,"1,756.00",553,0.31,,,,,,
,,2017 - 2018,"1,594.00",436,0.27,,,,,,
,,2018 - 2019,"1,542.24",298.89,0.19,,,,,,
,,2019 - 2020,"1,485.00",305,0.21,,,,,,
,,2020 - 2021,"1,371.55",333.43,0.24,,,,,,
,,2021 - 2022,"1,204.00",342,0.28,,,,,,
,,2022 - 2023,"1,195.86",346,0.29,,,,,,
,9. Malappuram,2000 - 2001,"11,243.00","5,841.00",0.52,,,,,,
,,2001 - 2002,"10,953.00","4,941.00",0.45,,,,,,
,,2002 - 2003,"10,735.00","4,481.00",0.42,,,,,,
,,2003 - 2004,"10,215.00","4,237.00",0.41,,,,,,
,,2004 - 2005,"9,601.00","3,876.00",0.4,,,,,,
,,2005 - 2006,"9,123.00","7,394.00",0.81,,,,,,
,,2006 - 2007,"7,249.00","5,054.00",0.7,,,,,,
,,2007 - 2008,"6,178.00","5,411.00",0.88,,,,,,
,,2008 - 2009,"5,394.00","3,153.00",0.58,,,,,,
,,2009 - 2010,"4,475.00","2,272.00",0.51,,,,,,
,,2010 - 2011,"3,572.25","1,304.46",0.37,,,,,,
,,2011 - 2012,"3,825.91","1,624.70",0.42,,,,,,
,,2012 - 2013,"3,347.00","1,313.00",0.39,,,,,,
,,2013 - 2014,"2,913.00",930,0.32,,,,,,
,,2014 - 2015,"2,582.00",671,0.26,,,,,,
,,2015 - 2016,"2,312.55",480.05,0.21,,,,,,
,,2016 - 2017,"2,035.00",445,0.22,,,,,,
,,2017 - 2018,"1,939.00",322,0.17,,,,,,
,,2018 - 2019,"1,635.30",257.09,0.16,,,,,,
,,2019 - 2020,"1,503.00",229,0.15,,,,,,
,,2020 - 2021,"1,589.11",208.96,0.13,,,,,,
,,2021 - 2022,"1,228.00",189,0.15,,,,,,
,,2022 - 2023,"1,517.87",221.48,0.15,,,,,,
,10. Palakkad,2000 - 2001,"6,136.00","2,458.00",0.4,,,,,,
,,2001 - 2002,"5,947.00","2,262.00",0.38,,,,,,
,,2002 - 2003,"5,463.00","2,316.00",0.42,,,,,,
,,2003 - 2004,"5,083.00","2,123.00",0.42,,,,,,
,,2004 - 2005,"4,814.00","2,436.00",0.51,,,,,,
,,2005 - 2006,"4,391.00","1,785.00",0.41,,,,,,
,,2006 - 2007,"5,094.00","1,980.00",0.39,,,,,,
,,2007 - 2008,"3,442.00","1,571.00",0.46,,,,,,
,,2008 - 2009,"3,740.00","1,750.00",0.47,,,,,,
,,2009 - 2010,"3,002.00","1,047.00",0.35,,,,,,
,,2010 - 2011,"2,913.77",901.92,0.31,,,,,,
,,2011 - 2012,"2,701.59",638.66,0.24,,,,,,
,,2012 - 2013,"3,134.00",615,0.2,,,,,,
,,2013 - 2014,"3,117.00",804,0.26,,,,,,
,,2014 - 2015,"2,353.00",609,0.26,,,,,,
,,2015 - 2016,"2,050.68",406.26,0.2,,,,,,
,,2016 - 2017,"1,951.00",471,0.24,,,,,,
,,2017 - 2018,"1,147.00",214,0.19,,,,,,
,,2018 - 2019,"1,130.28",210.04,0.19,,,,,,
,,2019 - 2020,"1,354.00",195,0.14,,,,,,
,,2020 - 2021,"1,244.07",225.71,0.18,,,,,,
,,2021 - 2022,994,187,0.19,,,,,,
,,2022 - 2023,947.83,171.07,0.18,,,,,,
,11. Pathanamthitta,2000 - 2001,"1,074.00",522,0.49,,,,,,
,,2001 - 2002,"1,137.00",524,0.46,,,,,,
,,2002 - 2003,"1,107.00",527,0.48,,,,,,
,,2003 - 2004,"1,149.00",631,0.55,,,,,,
,,2004 - 2005,"1,141.00",636,0.56,,,,,,
,,2005 - 2006,"1,048.00",528,0.5,,,,,,
,,2006 - 2007,"1,025.00",458,0.45,,,,,,
,,2007 - 2008,893,303,0.34,,,,,,
,,2008 - 2009,704,253,0.36,,,,,,
,,2009 - 2010,658,254,0.39,,,,,,
,,2010 - 2011,596.9,204.07,0.34,,,,,,
,,2011 - 2012,620.91,201.6,0.32,,,,,,
,,2012 - 2013,532,161,0.3,,,,,,
,,2013 - 2014,475,135,0.28,,,,,,
,,2014 - 2015,455,121,0.27,,,,,,
,,2015 - 2016,446.67,111.52,0.25,,,,,,
,,2016 - 2017,437,105,0.24,,,,,,
,,2017 - 2018,439,108,0.25,,,,,,
,,2018 - 2019,411.7,87.38,0.21,,,,,,
,,2019 - 2020,391,84,0.21,,,,,,
,,2020 - 2021,402.72,107.82,0.27,,,,,,
,,2021 - 2022,397,77,0.19,,,,,,
,,2022 - 2023,391.11,117.18,0.3,,,,,,
,12. Thiruvananthapuram,2000 - 2001,"2,734.00","1,252.00",0.46,,,,,,
,,2001 - 2002,"2,461.00",988,0.4,,,,,,
,,2002 - 2003,"2,349.00","1,097.00",0.47,,,,,,
,,2003 - 2004,"2,239.00",909,0.41,,,,,,
,,2004 - 2005,"2,061.00",761,0.37,,,,,,
,,2005 - 2006,"1,869.00","1,087.00",0.58,,,,,,
,,2006 - 2007,"1,197.00",582,0.49,,,,,,
,,2007 - 2008,"1,222.00",512,0.42,,,,,,
,,2008 - 2009,"1,024.00",443,0.43,,,,,,
,,2009 - 2010,"1,001.00",403,0.4,,,,,,
,,2010 - 2011,"1,067.85",390.5,0.37,,,,,,
,,2011 - 2012,"1,328.60",410.48,0.31,,,,,,
,,2012 - 2013,"1,460.00",417,0.29,,,,,,
,,2013 - 2014,"1,360.00",370,0.27,,,,,,
,,2014 - 2015,"1,278.00",306,0.24,,,,,,
,,2015 - 2016,"1,213.06",267.43,0.22,,,,,,
,,2016 - 2017,"1,043.00",255,0.24,,,,,,
,,2017 - 2018,845,198,0.23,,,,,,
,,2018 - 2019,839.01,207.03,0.25,,,,,,
,,2019 - 2020,814,173,0.21,,,,,,
,,2020 - 2021,722.98,181.66,0.25,,,,,,
,,2021 - 2022,721,165,0.23,,,,,,
,,2022 - 2023,759.62,184.07,0.24,,,,,,
,13. Thrissur,2000 - 2001,"3,925.00","1,319.00",0.34,,,,,,
,,2001 - 2002,"3,719.00","1,525.00",0.41,,,,,,
,,2002 - 2003,"3,854.00","1,982.00",0.51,,,,,,
,,2003 - 2004,"3,796.00","1,827.00",0.48,,,,,,
,,2004 - 2005,"3,541.00","1,862.00",0.53,,,,,,
,,2005 - 2006,"3,356.00","1,687.00",0.5,,,,,,
,,2006 - 2007,"2,419.00",960,0.4,,,,,,
,,2007 - 2008,"2,846.00","1,425.00",0.5,,,,,,
,,2008 - 2009,"2,441.00","1,049.00",0.43,,,,,,
,,2009 - 2010,"2,290.00",933,0.41,,,,,,
,,2010 - 2011,"1,953.28",856.62,0.44,,,,,,
,,2011 - 2012,"2,504.77",692.17,0.28,,,,,,
,,2012 - 2013,"2,148.00",671,0.31,,,,,,
,,2013 - 2014,"1,892.00",580,0.31,,,,,,
,,2014 - 2015,"1,697.00",426,0.25,,,,,,
,,2015 - 2016,"1,660.89",462.44,0.28,,,,,,
,,2016 - 2017,"1,511.00",491,0.32,,,,,,
