State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,584.85,"4,944.09",8.45,,,,,,,,,
,,2018 - 2019,650.54,"6,999.44",10.76,,,,,,,,,
,,2019 - 2020,665.12,"5,904.30",8.88,,,,,,,,,
,,2020 - 2021,935.98,"7,310.00",7.81,,,,,,,,,
,,2021 - 2022,924.58,"5,818.57",6.29,,,,,,,,,
,,2022 - 2023,880,"5,663.03",6.44,,,,,,,,,
,3. South andamans,2002 - 2003,"1,524.00","10,882.00",7.14,,,,,,,,,
,,2003 - 2004,"1,530.00","11,558.00",7.55,,,,,,,,,
,,2004 - 2005,"1,912.10","17,374.40",9.09,,,,,,,,,
,,2005 - 2006,"1,656.80","10,251.13",6.19,,,,,,,,,
,,2006 - 2007,483,"4,150.00",8.59,,,,,,,,,
,,2010 - 2011,360,"5,517.00",15.33,,,,,,,,,
,,2011 - 2012,378.5,"5,730.00",15.14,,,,,,,,,
,,2012 - 2013,378.5,"5,727.50",15.13,,,,,,,,,
,,2013 - 2014,304,"3,478.00",11.44,,,,,,,,,
,,2014 - 2015,318.5,"3,602.00",11.31,,,,,,,,,
,,2015 - 2016,320,"4,550.00",14.22,,,,,,,,,
,,2016 - 2017,444.6,"6,623.30",14.9,,,,,,,,,
,,2017 - 2018,440,"8,622.40",19.6,,,,,,,,,
,,2018 - 2019,448,"9,607.90",21.45,,,,,,,,,
,,2019 - 2020,438.7,"9,602.06",21.89,,,,,,,,,
,,2020 - 2021,410.24,"8,260.30",20.14,,,,,,,,,
,,2021 - 2022,420.6,"10,881.00",25.87,,,,,,,,,
,,2022 - 2023,435.5,"10,803.50",24.81,,,,,,,,,
2. Andhra Pradesh,1. Anantapur,2000 - 2001,769,"11,693.00",15.21,,,,,,,,,
,,2001 - 2002,"1,582.00",462,0.29,,,,,,,,,
,,2002 - 2003,19,"1,006.00",52.95,,,,,,,,,
,,2003 - 2004,36,"1,302.00",36.17,,,,,,,,,
,,2004 - 2005,324,"16,897.00",52.15,,,,,,,,,
,,2005 - 2006,303,"16,231.00",53.57,,,,,,,,,
,,2006 - 2007,289,"14,141.00",48.93,,,,,,,,,
,,2008 - 2009,"3,603.00","1,60,939.00",44.67,,,,,,,,,
,,2009 - 2010,"5,010.00","2,65,981.00",53.09,,,,,,,,,
,,2010 - 2011,"4,416.00","2,23,825.00",50.69,,,,,,,,,
,,2011 - 2012,"8,000.00","5,05,176.00",63.15,,,,,,,,,
,,2013 - 2014,"8,661.00","4,83,881.00",55.87,,,,,,,,,
,,2014 - 2015,"7,634.00","4,23,885.00",55.53,,,,,,,,,
,,2015 - 2016,"8,681.00","5,39,507.00",62.15,,,,,,,,,
,,2016 - 2017,"8,389.00","5,70,418.00",68,,,,,,,,,
,,2017 - 2018,"7,310.00","9,19,548.00",125.79,,,,,,,,,
,,2018 - 2019,"8,835.00","9,39,960.00",106.39,,,,,,,,,
,,2019 - 2020,"15,116.00","9,06,960.00",60,,,,,,,,,
,2. Chittoor,2000 - 2001,953,"19,033.00",19.97,,,,,,,,,
,,2001 - 2002,"1,005.00","7,156.00",7.12,,,,,,,,,
,,2002 - 2003,960,"50,841.00",52.96,,,,,,,,,
,,2003 - 2004,587,"21,222.00",36.15,,,,,,,,,
,,2004 - 2005,586,"30,560.00",52.15,,,,,,,,,
,,2005 - 2006,468,"25,070.00",53.57,,,,,,,,,
,,2006 - 2007,556,"27,205.00",48.93,,,,,,,,,
,,2008 - 2009,708,"22,390.00",31.62,,,,,,,,,
,,2009 - 2010,769,"40,826.00",53.09,,,,,,,,,
,,2010 - 2011,923,"46,782.00",50.68,,,,,,,,,
,,2011 - 2012,886,"55,948.00",63.15,,,,,,,,,
,,2013 - 2014,910,"50,203.00",55.17,,,,,,,,,
,,2014 - 2015,911,"49,174.00",53.98,,,,,,,,,
,,2015 - 2016,839,"54,301.00",64.72,,,,,,,,,
,,2016 - 2017,720,"50,139.00",69.64,,,,,,,,,
,,2017 - 2018,684,"1,36,380.00",199.39,,,,,,,,,
,,2018 - 2019,568,"1,43,040.00",251.83,,,,,,,,,
,,2019 - 2020,"2,384.00","1,43,040.00",60,,,,,,,,,
,3. East godavari,2000 - 2001,"11,043.00","1,24,386.00",11.26,,,,,,,,,
,,2001 - 2002,"10,258.00","1,22,822.00",11.97,,,,,,,,,
,,2002 - 2003,"7,949.00","1,16,270.00",14.63,,,,,,,,,
,,2003 - 2004,"9,547.00","67,488.00",7.07,,,,,,,,,
,,2004 - 2005,"10,324.00","96,684.00",9.36,,,,,,,,,
,,2005 - 2006,"15,432.00","2,15,971.00",14,,,,,,,,,
,,2006 - 2007,"16,772.00","2,95,690.00",17.63,,,,,,,,,
,,2008 - 2009,"15,363.00","2,91,774.00",18.99,,,,,,,,,
,,2009 - 2010,"16,159.00","3,54,092.00",21.91,,,,,,,,,
,,2010 - 2011,"14,357.00","3,92,291.00",27.32,,,,,,,,,
,,2011 - 2012,"13,620.00","3,02,514.00",22.21,,,,,,,,,
,,2013 - 2014,"12,427.00","1,53,871.00",12.38,,,,,,,,,
,,2014 - 2015,"13,400.00","2,34,889.00",17.53,,,,,,,,,
,,2015 - 2016,"13,280.00","3,05,918.00",23.04,,,,,,,,,
,,2016 - 2017,"12,961.00","2,67,930.00",20.67,,,,,,,,,
,,2017 - 2018,"12,129.00","9,33,319.00",76.95,,,,,,,,,
,,2018 - 2019,"11,844.00","9,58,380.00",80.92,,,,,,,,,
,,2019 - 2020,"15,769.00","9,46,140.00",60,,,,,,,,,
