State,District,Year,Banana,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,21,829,39.48,,,,,,,,,
,,2018 - 2019,18,46,2.56,,,,,,,,,
,,2019 - 2020,24,809,33.71,,,,,,,,,
,,2020 - 2021,35,383,10.94,,,,,,,,,
,,2021 - 2022,53,"1,821.00",34.36,,,,,,,,,
,,2022 - 2023,50,"1,904.00",38.08,,,,,,,,,
,10. Durg,2000 - 2001,10,324,32.4,,,,,,,,,
,,2001 - 2002,30,715,23.83,,,,,,,,,
,,2002 - 2003,14,441,31.5,,,,,,,,,
,,2003 - 2004,50,"1,669.00",33.38,,,,,,,,,
,,2004 - 2005,7,230,32.86,,,,,,,,,
,,2005 - 2006,170,"6,079.00",35.76,,,,,,,,,
,,2006 - 2007,35,"1,135.00",32.43,,,,,,,,,
,,2007 - 2008,115,"3,728.00",32.42,,,,,,,,,
,,2008 - 2009,8,271,33.88,,,,,,,,,
,,2009 - 2010,126,"10,126.00",80.37,,,,,,,,,
,,2010 - 2011,151,"4,319.00",28.6,,,,,,,,,
,,2011 - 2012,89,"2,716.00",30.52,,,,,,,,,
,,2012 - 2013,60,527,8.78,,,,,,,,,
,,2013 - 2014,93,"3,015.00",32.42,,,,,,,,,
,,2014 - 2015,95,"3,170.00",33.37,,,,,,,,,
,,2015 - 2016,53,801,15.11,,,,,,,,,
,,2016 - 2017,64,515,8.05,,,,,,,,,
,,2017 - 2018,103,"1,023.00",9.93,,,,,,,,,
,,2018 - 2019,81,310,3.83,,,,,,,,,
,,2019 - 2020,310,"4,121.00",13.29,,,,,,,,,
,,2020 - 2021,557,"6,750.00",12.12,,,,,,,,,
,,2021 - 2022,652,"10,212.00",15.66,,,,,,,,,
,,2022 - 2023,591,"15,819.00",26.77,,,,,,,,,
,11. Gariyaband,2011 - 2012,13,522,40.15,,,,,,,,,
,,2012 - 2013,17,219,12.88,,,,,,,,,
,,2013 - 2014,20,875,43.75,,,,,,,,,
,,2014 - 2015,8,350,43.75,,,,,,,,,
,,2015 - 2016,12,351,29.25,,,,,,,,,
,,2018 - 2019,10,,0,,,,,,,,,
,,2019 - 2020,16,,0,,,,,,,,,
,,2020 - 2021,31,0,0,,,,,,,,,
,,2021 - 2022,41,482,11.76,,,,,,,,,
,,2022 - 2023,19,788,41.47,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,1,,0,,,,,,,,,
,,2020 - 2021,2,47,23.5,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,2,72,36,,,,,,,,,
,,2001 - 2002,1,34,34,,,,,,,,,
,,2002 - 2003,9,306,34,,,,,,,,,
,,2003 - 2004,4,136,34,,,,,,,,,
,,2004 - 2005,7,238,34,,,,,,,,,
,,2005 - 2006,10,341,34.1,,,,,,,,,
,,2006 - 2007,1,37,37,,,,,,,,,
,,2007 - 2008,10,341,34.1,,,,,,,,,
,,2010 - 2011,13,517,39.77,,,,,,,,,
,,2011 - 2012,21,714,34,,,,,,,,,
,,2012 - 2013,35,443,12.66,,,,,,,,,
,,2013 - 2014,18,613,34.06,,,,,,,,,
,,2014 - 2015,10,352,35.2,,,,,,,,,
,,2015 - 2016,6,204,34,,,,,,,,,
,,2016 - 2017,3,111,37,,,,,,,,,
,,2020 - 2021,2,0,0,,,,,,,,,
,,2021 - 2022,1,0,0,,,,,,,,,
,14. Jashpur,2000 - 2001,1,32,32,,,,,,,,,
,,2001 - 2002,34,"1,077.00",31.68,,,,,,,,,
,,2002 - 2003,3,93,31,,,,,,,,,
,,2003 - 2004,33,"1,063.00",32.21,,,,,,,,,
,,2004 - 2005,17,537,31.59,,,,,,,,,
,,2005 - 2006,17,530,31.18,,,,,,,,,
,,2006 - 2007,13,411,31.62,,,,,,,,,
,,2007 - 2008,22,685,31.14,,,,,,,,,
,,2008 - 2009,21,621,29.57,,,,,,,,,
,,2009 - 2010,18,"1,241.00",68.94,,,,,,,,,
,,2010 - 2011,24,747,31.13,,,,,,,,,
,,2011 - 2012,32,996,31.13,,,,,,,,,
,,2012 - 2013,29,374,12.9,,,,,,,,,
,,2013 - 2014,33,"1,028.00",31.15,,,,,,,,,
,,2014 - 2015,29,903,31.14,,,,,,,,,
,,2015 - 2016,28,405,14.46,,,,,,,,,
,,2016 - 2017,17,296,17.41,,,,,,,,,
,,2017 - 2018,16,249,15.56,,,,,,,,,
,,2018 - 2019,19,249,13.11,,,,,,,,,
,,2019 - 2020,15,312,20.8,,,,,,,,,
,,2020 - 2021,8,0,0,,,,,,,,,
,,2021 - 2022,10,218,21.8,,,,,,,,,
,,2022 - 2023,8,32,4,,,,,,,,,
,15. Kabirdham,2000 - 2001,4,146,36.5,,,,,,,,,
,,2001 - 2002,5,216,43.2,,,,,,,,,
,,2002 - 2003,2,91,45.5,,,,,,,,,
,,2005 - 2006,1,30,30,,,,,,,,,
,,2011 - 2012,18,549,30.5,,,,,,,,,
,,2012 - 2013,23,,0,,,,,,,,,
,,2013 - 2014,26,"1,110.00",42.69,,,,,,,,,
,,2014 - 2015,54,"2,469.00",45.72,,,,,,,,,
,,2015 - 2016,109,"2,432.00",22.31,,,,,,,,,
,,2016 - 2017,118,,0,,,,,,,,,
,,2017 - 2018,153,"4,480.00",29.28,,,,,,,,,
,,2018 - 2019,122,"2,380.00",19.51,,,,,,,,,
,,2019 - 2020,159,"4,196.00",26.39,,,,,,,,,
,,2020 - 2021,188,"4,291.00",22.82,,,,,,,,,
,,2021 - 2022,176,"2,156.00",12.25,,,,,,,,,
,,2022 - 2023,231,"4,992.00",21.61,,,,,,,,,
,16. Kanker,2000 - 2001,14,653,46.64,,,,,,,,,
,,2001 - 2002,16,746,46.63,,,,,,,,,
,,2002 - 2003,10,267,26.7,,,,,,,,,
,,2003 - 2004,15,749,49.93,,,,,,,,,
,,2004 - 2005,6,280,46.67,,,,,,,,,
,,2005 - 2006,9,419,46.56,,,,,,,,,
,,2006 - 2007,10,465,46.5,,,,,,,,,
,,2007 - 2008,11,549,49.91,,,,,,,,,
,,2008 - 2009,11,512,46.55,,,,,,,,,
,,2009 - 2010,11,932,84.73,,,,,,,,,
,,2010 - 2011,7,326,46.57,,,,,,,,,
,,2011 - 2012,19,506,26.63,,,,,,,,,
,,2012 - 2013,12,168,14,,,,,,,,,
,,2013 - 2014,13,355,27.31,,,,,,,,,
,,2014 - 2015,13,433,33.31,,,,,,,,,
,,2015 - 2016,10,200,20,,,,,,,,,
,,2016 - 2017,8,160,20,,,,,,,,,
,,2017 - 2018,10,242,24.2,,,,,,,,,
,,2018 - 2019,23,600,26.09,,,,,,,,,
,,2019 - 2020,18,484,26.89,,,,,,,,,
,,2020 - 2021,9,311,34.56,,,,,,,,,
,,2021 - 2022,19,77,4.05,,,,,,,,,
,,2022 - 2023,10,0,0,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,70,"1,024.00",14.63,,,,,,,,,
,18. Kondagaon,2011 - 2012,27,989,36.63,,,,,,,,,
,,2012 - 2013,25,449,17.96,,,,,,,,,
,,2013 - 2014,26,"1,039.00",39.96,,,,,,,,,
,,2014 - 2015,24,959,39.96,,,,,,,,,
,,2015 - 2016,32,399,12.47,,,,,,,,,
,,2016 - 2017,39,879,22.54,,,,,,,,,
,,2017 - 2018,34,679,19.97,,,,,,,,,
,,2018 - 2019,24,537,22.38,,,,,,,,,
,,2019 - 2020,17,359,21.12,,,,,,,,,
,,2020 - 2021,19,320,16.84,,,,,,,,,
,,2021 - 2022,20,400,20,,,,,,,,,
,,2022 - 2023,17,359,21.12,,,,,,,,,
,19. Korba,2000 - 2001,5,179,35.8,,,,,,,,,
,,2001 - 2002,3,102,34,,,,,,,,,
,,2002 - 2003,2,58,29,,,,,,,,,
,,2003 - 2004,2,68,34,,,,,,,,,
,,2004 - 2005,4,136,34,,,,,,,,,
,,2005 - 2006,7,217,31,,,,,,,,,
,,2008 - 2009,3,84,28,,,,,,,,,
,,2011 - 2012,2,68,34,,,,,,,,,
,,2012 - 2013,3,,0,,,,,,,,,
,,2013 - 2014,3,102,34,,,,,,,,,
,,2014 - 2015,3,106,35.33,,,,,,,,,
,,2015 - 2016,4,136,34,,,,,,,,,
,,2016 - 2017,4,136,34,,,,,,,,,
,,2017 - 2018,4,136,34,,,,,,,,,
,,2018 - 2019,1,37,37,,,,,,,,,
,20. Korea,2000 - 2001,2,60,30,,,,,,,,,
,,2001 - 2002,3,97,32.33,,,,,,,,,
,,2003 - 2004,1,31,31,,,,,,,,,
,,2020 - 2021,3,0,0,,,,,,,,,
,,2021 - 2022,7,77,11,,,,,,,,,
,21. Mahasamund,2002 - 2003,1,45,45,,,,,,,,,
,,2003 - 2004,1,45,45,,,,,,,,,
,,2007 - 2008,4,175,43.75,,,,,,,,,
,,2008 - 2009,1,37,37,,,,,,,,,
,,2010 - 2011,3,132,44,,,,,,,,,
,,2011 - 2012,7,358,51.14,,,,,,,,,
,,2012 - 2013,9,,0,,,,,,,,,
,,2013 - 2014,14,715,51.07,,,,,,,,,
,,2014 - 2015,19,832,43.79,,,,,,,,,
,,2015 - 2016,16,307,19.19,,,,,,,,,
,,2016 - 2017,12,526,43.83,,,,,,,,,
,,2017 - 2018,11,482,43.82,,,,,,,,,
,,2018 - 2019,22,,0,,,,,,,,,
,,2019 - 2020,53,964,18.19,,,,,,,,,
,,2020 - 2021,71,"1,878.00",26.45,,,,,,,,,
,,2021 - 2022,80,"2,424.00",30.3,,,,,,,,,
,,2022 - 2023,85,"4,060.00",47.76,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,5,194,38.8,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,30,299,9.97,,,,,,,,,
,24. Mungeli,2011 - 2012,12,409,34.08,,,,,,,,,
,,2012 - 2013,12,331,27.58,,,,,,,,,
,,2013 - 2014,13,443,34.08,,,,,,,,,
,,2014 - 2015,15,554,36.93,,,,,,,,,
,,2015 - 2016,26,407,15.65,,,,,,,,,
,,2016 - 2017,15,111,7.4,,,,,,,,,
,,2017 - 2018,4,,0,,,,,,,,,
,,2018 - 2019,14,,0,,,,,,,,,
,,2019 - 2020,7,205,29.29,,,,,,,,,
,,2020 - 2021,12,204,17,,,,,,,,,
,,2021 - 2022,21,170,8.1,,,,,,,,,
,,2022 - 2023,23,0,0,,,,,,,,,
,25. Narayanpur,2006 - 2007,2,,0,,,,,,,,,
,,2007 - 2008,3,130,43.33,,,,,,,,,
,,2008 - 2009,3,70,23.33,,,,,,,,,
,,2009 - 2010,4,327,81.75,,,,,,,,,
,,2010 - 2011,4,160,40,,,,,,,,,
,,2011 - 2012,6,200,33.33,,,,,,,,,
,,2012 - 2013,6,60,10,,,,,,,,,
,,2013 - 2014,4,154,38.5,,,,,,,,,
,,2014 - 2015,6,240,40,,,,,,,,,
,,2015 - 2016,3,74,24.67,,,,,,,,,
,,2016 - 2017,9,176,19.56,,,,,,,,,
,,2017 - 2018,13,144,11.08,,,,,,,,,
,,2018 - 2019,8,276,34.5,,,,,,,,,
,,2019 - 2020,2,55,27.5,,,,,,,,,
,,2021 - 2022,2,55,27.5,,,,,,,,,
,,2022 - 2023,2,55,27.5,,,,,,,,,
,26. Raigarh,2000 - 2001,16,473,29.56,,,,,,,,,
,,2001 - 2002,15,428,28.53,,,,,,,,,
,,2002 - 2003,12,342,28.5,,,,,,,,,
,,2003 - 2004,18,513,28.5,,,,,,,,,
,,2004 - 2005,5,140,28,,,,,,,,,
,,2005 - 2006,26,865,33.27,,,,,,,,,
,,2006 - 2007,15,475,31.67,,,,,,,,,
,,2007 - 2008,95,"2,958.00",31.14,,,,,,,,,
,,2008 - 2009,24,709,29.54,,,,,,,,,
,,2009 - 2010,109,"3,927.00",36.03,,,,,,,,,
,,2010 - 2011,98,"3,104.00",31.67,,,,,,,,,
,,2011 - 2012,26,824,31.69,,,,,,,,,
,,2012 - 2013,101,602,5.96,,,,,,,,,
,,2013 - 2014,95,"3,110.00",32.74,,,,,,,,,
,,2014 - 2015,92,"3,010.00",32.72,,,,,,,,,
,,2015 - 2016,88,916,10.41,,,,,,,,,
,,2016 - 2017,86,"1,805.00",20.99,,,,,,,,,
,,2017 - 2018,87,"2,228.00",25.61,,,,,,,,,
,,2018 - 2019,131,"2,265.00",17.29,,,,,,,,,
,,2019 - 2020,69,"1,932.00",28,,,,,,,,,
,,2020 - 2021,17,253,14.88,,,,,,,,,
,,2021 - 2022,9,63,7,,,,,,,,,
,,2022 - 2023,16,253,15.81,,,,,,,,,
,27. Raipur,2000 - 2001,21,950,45.24,,,,,,,,,
,,2001 - 2002,19,860,45.26,,,,,,,,,
,,2002 - 2003,22,980,44.55,,,,,,,,,
,,2003 - 2004,29,"1,291.00",44.52,,,,,,,,,
,,2004 - 2005,24,"1,069.00",44.54,,,,,,,,,
,,2005 - 2006,39,"1,765.00",45.26,,,,,,,,,
,,2006 - 2007,52,"2,392.00",46,,,,,,,,,
,,2007 - 2008,35,"1,533.00",43.8,,,,,,,,,
,,2008 - 2009,44,"1,928.00",43.82,,,,,,,,,
,,2009 - 2010,52,"3,542.00",68.12,,,,,,,,,
,,2010 - 2011,40,"1,606.00",40.15,,,,,,,,,
,,2011 - 2012,66,"2,649.00",40.14,,,,,,,,,
,,2012 - 2013,101,"1,245.00",12.33,,,,,,,,,
,,2013 - 2014,102,"5,212.00",51.1,,,,,,,,,
,,2014 - 2015,99,"4,336.00",43.8,,,,,,,,,
,,2015 - 2016,121,"2,792.00",23.07,,,,,,,,,
,,2016 - 2017,119,"2,978.00",25.03,,,,,,,,,
,,2017 - 2018,102,"1,916.00",18.78,,,,,,,,,
,,2018 - 2019,88,"2,912.00",33.09,,,,,,,,,
,,2019 - 2020,251,696,2.77,,,,,,,,,
,,2020 - 2021,387,"7,016.00",18.13,,,,,,,,,
,,2021 - 2022,354,"9,693.00",27.38,,,,,,,,,
,,2022 - 2023,334,"7,123.00",21.33,,,,,,,,,
,28. Rajnandgaon,2000 - 2001,15,660,44,,,,,,,,,
,,2001 - 2002,5,216,43.2,,,,,,,,,
,,2002 - 2003,36,"1,536.00",42.67,,,,,,,,,
,,2003 - 2004,4,171,42.75,,,,,,,,,
,,2004 - 2005,30,"1,281.00",42.7,,,,,,,,,
,,2005 - 2006,11,402,36.55,,,,,,,,,
,,2006 - 2007,7,256,36.57,,,,,,,,,
,,2007 - 2008,12,475,39.58,,,,,,,,,
,,2008 - 2009,33,"1,267.00",38.39,,,,,,,,,
,,2009 - 2010,25,"2,267.00",90.68,,,,,,,,,
,,2010 - 2011,37,"1,353.00",36.57,,,,,,,,,
,,2011 - 2012,74,"2,932.00",39.62,,,,,,,,,
,,2012 - 2013,87,"1,975.00",22.7,,,,,,,,,
,,2013 - 2014,77,"3,285.00",42.66,,,,,,,,,
,,2014 - 2015,69,"2,944.00",42.67,,,,,,,,,
,,2015 - 2016,77,"1,143.00",14.84,,,,,,,,,
,,2016 - 2017,60,"2,378.00",39.63,,,,,,,,,
,,2017 - 2018,50,366,7.32,,,,,,,,,
,,2018 - 2019,57,"1,920.00",33.68,,,,,,,,,
,,2019 - 2020,198,686,3.46,,,,,,,,,
,,2020 - 2021,317,"7,808.00",24.63,,,,,,,,,
,,2021 - 2022,311,"5,717.00",18.38,,,,,,,,,
,,2022 - 2023,187,"4,096.00",21.9,,,,,,,,,
,29. Sakti,2022 - 2023,1,0,0,,,,,,,,,
,30. Sarangarh bilaigarh,2022 - 2023,7,0,0,,,,,,,,,
,31. Sukma,2011 - 2012,123,"4,096.00",33.3,,,,,,,,,
,,2012 - 2013,97,"2,750.00",28.35,,,,,,,,,
,,2013 - 2014,95,"4,428.00",46.61,,,,,,,,,
,,2014 - 2015,101,"3,362.00",33.29,,,,,,,,,
,,2015 - 2016,99,"1,798.00",18.16,,,,,,,,,
,,2016 - 2017,105,"1,917.00",18.26,,,,,,,,,
,,2017 - 2018,149,"2,394.00",16.07,,,,,,,,,
,,2018 - 2019,141,"4,697.00",33.31,,,,,,,,,
,,2019 - 2020,176,"1,744.00",9.91,,,,,,,,,
,,2020 - 2021,158,"1,271.00",8.04,,,,,,,,,
,,2021 - 2022,180,"5,932.00",32.96,,,,,,,,,
,,2022 - 2023,155,"2,446.00",15.78,,,,,,,,,
,32. Surajpur,2018 - 2019,4,,0,,,,,,,,,
,,2019 - 2020,2,39,19.5,,,,,,,,,
,,2020 - 2021,28,78,2.79,,,,,,,,,
,,2021 - 2022,28,741,26.46,,,,,,,,,
,,2022 - 2023,4,61,15.25,,,,,,,,,
,33. Surguja,2000 - 2001,13,390,30,,,,,,,,,
,,2001 - 2002,21,678,32.29,,,,,,,,,
,,2002 - 2003,14,439,31.36,,,,,,,,,
,,2003 - 2004,12,376,31.33,,,,,,,,,
,,2004 - 2005,10,281,28.1,,,,,,,,,
,,2005 - 2006,21,619,29.48,,,,,,,,,
,,2006 - 2007,14,492,35.14,,,,,,,,,
,,2007 - 2008,19,578,30.42,,,,,,,,,
,,2008 - 2009,11,257,23.36,,,,,,,,,
,,2009 - 2010,15,633,42.2,,,,,,,,,
,,2010 - 2011,12,337,28.08,,,,,,,,,
,,2011 - 2012,12,337,28.08,,,,,,,,,
,,2012 - 2013,13,116,8.92,,,,,,,,,
,,2013 - 2014,17,485,28.53,,,,,,,,,
,,2014 - 2015,15,351,23.4,,,,,,,,,
,,2015 - 2016,14,174,12.43,,,,,,,,,
,,2016 - 2017,7,180,25.71,,,,,,,,,
,,2017 - 2018,17,,0,,,,,,,,,
,,2018 - 2019,22,517,23.5,,,,,,,,,
,,2019 - 2020,11,122,11.09,,,,,,,,,
,,2020 - 2021,13,215,16.54,,,,,,,,,
,,2021 - 2022,11,183,16.64,,,,,,,,,
,,2022 - 2023,11,150,13.64,,,,,,,,,
6. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2000 - 2001,,,,15,220,14.67,,,,,,
,,2001 - 2002,,,,15,300,20,,,,,,
,,2002 - 2003,,,,15,300,20,,,,,,
,,2003 - 2004,,,,440,"1,408.00",3.2,,,,,,
,,2004 - 2005,,,,50,160,3.2,,,,,,
,,2005 - 2006,,,,60,200,3.33,,,,,,
,,2006 - 2007,,,,,,,60,"1,500.00",25,,,
7. Goa,1. North goa,2013 - 2014,"1,253.00","14,235.00",11.36,,,,,,,,,
,,2014 - 2015,"1,304.00","14,754.00",11.31,,,,,,,,,
,,2015 - 2016,952,"10,772.00",11.32,,,,,,,,,
,,2016 - 2017,965,"10,930.00",11.33,,,,,,,,,
,,2017 - 2018,952,"10,596.00",11.13,,,,,,,,,
,,2018 - 2019,938,"10,460.00",11.15,,,,,,,,,
,,2019 - 2020,975,"15,292.00",15.68,,,,,,,,,
,,2020 - 2021,988,"12,150.00",12.3,,,,,,,,,
,,2021 - 2022,982,"11,920.00",12.14,,,,,,,,,
,,2022 - 2023,987,"11,919.00",12.08,,,,,,,,,
,2. South goa,2013 - 2014,"1,071.00","12,073.00",11.27,,,,,,,,,
,,2014 - 2015,"1,076.00","12,128.00",11.27,,,,,,,,,
,,2015 - 2016,"1,462.00","16,530.00",11.31,,,,,,,,,
,,2016 - 2017,"1,470.00","15,978.00",10.87,,,,,,,,,
,,2017 - 2018,"1,476.00","16,379.00",11.1,,,,,,,,,
,,2018 - 2019,"1,473.00","16,519.00",11.21,,,,,,,,,
,,2019 - 2020,"1,485.00","15,606.00",10.51,,,,,,,,,
,,2020 - 2021,"1,484.00","17,534.00",11.82,,,,,,,,,
,,2021 - 2022,"1,487.00","17,370.00",11.68,,,,,,,,,
,,2022 - 2023,"1,493.00","17,348.00",11.62,,,,,,,,,
8. Gujarat,1. Ahmadabad,2000 - 2001,200,"8,000.00",40,,,,,,,,,
,,2006 - 2007,100,"1,300.00",13,,,,,,,,,
,,2007 - 2008,100,"4,000.00",40,,,,,,,,,
,,2008 - 2009,100,"6,100.00",61,,,,,,,,,
,,2013 - 2014,25,"1,819.00",72.76,,,,,,,,,
,,2020 - 2021,30,"2,180.00",72.67,,,,,,,,,
,2. Amreli,2005 - 2006,100,"7,700.00",77,,,,,,,,,
,,2015 - 2016,8,579,72.38,,,,,,,,,
,,2020 - 2021,75,"5,449.00",72.65,,,,,,,,,
,3. Anand,2003 - 2004,"10,300.00","7,46,900.00",72.51,,,,,,,,,
,,2004 - 2005,"11,200.00","5,90,500.00",52.72,,,,,,,,,
,,2005 - 2006,"8,900.00","6,45,800.00",72.56,,,,,,,,,
,,2006 - 2007,"8,400.00","6,75,100.00",80.37,,,,,,,,,
,,2007 - 2008,"8,200.00","6,06,400.00",73.95,,,,,,,,,
,,2008 - 2009,"8,000.00","6,09,300.00",76.16,,,,,,,,,
,,2009 - 2010,"6,700.00","5,21,900.00",77.9,,,,,,,,,
,,2010 - 2011,"8,600.00","6,61,600.00",76.93,,,,,,,,,
,,2011 - 2012,"9,800.00","7,40,600.00",75.57,,,,,,,,,
,,2012 - 2013,"9,800.00","7,75,100.00",79.09,,,,,,,,,
,,2013 - 2014,"10,234.00","8,60,552.00",84.09,,,,,,,,,
,,2014 - 2015,"11,718.00","9,45,441.00",80.68,,,,,,,,,
,,2015 - 2016,"6,496.00","4,69,986.00",72.35,,,,,,,,,
,,2016 - 2017,"7,999.00","6,69,596.00",83.71,,,,,,,,,
,,2017 - 2018,"5,876.00","4,75,650.00",80.95,,,,,,,,,
,,2018 - 2019,"8,182.00","6,96,386.00",85.11,,,,,,,,,
,,2019 - 2020,"5,917.00","4,97,954.00",84.16,,,,,,,,,
,,2020 - 2021,"7,484.00","6,13,372.00",81.96,,,,,,,,,
,,2021 - 2022,"7,534.00","6,27,175.00",83.25,,,,,,,,,
,,2022 - 2023,"7,493.00","6,23,193.00",83.17,,,,,,,,,
,4. Banas kantha,2016 - 2017,75,"6,137.00",81.83,,,,,,,,,
,5. Bharuch,2000 - 2001,"4,300.00","2,54,600.00",59.21,,,,,,,,,
,,2001 - 2002,"5,000.00","2,95,700.00",59.14,,,,,,,,,
,,2003 - 2004,"6,800.00","5,02,400.00",73.88,,,,,,,,,
,,2004 - 2005,"10,100.00","6,40,400.00",63.41,,,,,,,,,
,,2005 - 2006,"10,300.00","6,90,500.00",67.04,,,,,,,,,
,,2006 - 2007,"7,300.00","4,67,500.00",64.04,,,,,,,,,
,,2007 - 2008,"9,600.00","5,55,800.00",57.9,,,,,,,,,
,,2008 - 2009,"8,700.00","5,64,400.00",64.87,,,,,,,,,
,,2009 - 2010,"4,900.00","3,25,600.00",66.45,,,,,,,,,
,,2010 - 2011,"4,500.00","2,86,000.00",63.56,,,,,,,,,
,,2011 - 2012,"8,700.00","6,68,300.00",76.82,,,,,,,,,
,,2012 - 2013,"8,200.00","5,57,100.00",67.94,,,,,,,,,
,,2013 - 2014,"7,840.00","4,99,669.00",63.73,,,,,,,,,
,,2014 - 2015,"7,650.00","5,26,072.00",68.77,,,,,,,,,
,,2015 - 2016,"7,655.00","5,53,840.00",72.35,,,,,,,,,
,,2016 - 2017,"6,840.00","5,47,282.00",80.01,,,,,,,,,
,,2017 - 2018,"11,131.00","7,43,417.00",66.79,,,,,,,,,
,,2018 - 2019,"9,189.00","6,74,261.00",73.38,,,,,,,,,
,,2019 - 2020,"8,943.00","6,00,501.00",67.15,,,,,,,,,
,,2020 - 2021,"8,701.00","5,60,427.00",64.41,,,,,,,,,
,,2021 - 2022,"7,916.00","5,42,974.00",68.59,,,,,,,,,
,,2022 - 2023,"6,595.00","4,69,554.00",71.2,,,,,,,,,
,6. Bhavnagar,2004 - 2005,200,"10,500.00",52.5,,,,,,,,,
,,2005 - 2006,200,"14,000.00",70,,,,,,,,,
,,2006 - 2007,100,"4,000.00",40,,,,,,,,,
,,2011 - 2012,100,"6,800.00",68,,,,,,,,,
,,2013 - 2014,39,"2,838.00",72.77,,,,,,,,,
,,2014 - 2015,20,"1,475.00",73.75,,,,,,,,,
,,2016 - 2017,5,409,81.8,,,,,,,,,
,,2017 - 2018,2,143,71.5,,,,,,,,,
,,2018 - 2019,"2,700.00","2,08,796.00",77.33,,,,,,,,,
,,2020 - 2021,"2,220.00","1,61,291.00",72.65,,,,,,,,,
,,2021 - 2022,"2,033.00","2,30,902.00",113.58,,,,,,,,,
,7. Chhotaudepur,2014 - 2015,"1,120.00","84,142.00",75.13,,,,,,,,,
,,2015 - 2016,95,"6,873.00",72.35,,,,,,,,,
,,2016 - 2017,163,"14,338.00",87.96,,,,,,,,,
,,2017 - 2018,"1,725.00","1,23,741.00",71.73,,,,,,,,,
,,2018 - 2019,"2,007.00","1,55,205.00",77.33,,,,,,,,,
,,2019 - 2020,"1,135.00","71,165.00",62.7,,,,,,,,,
,,2020 - 2021,650,"47,225.00",72.65,,,,,,,,,
,,2021 - 2022,"7,110.00","5,21,796.00",73.39,,,,,,,,,
,,2022 - 2023,"10,393.00","9,30,246.00",89.51,,,,,,,,,
,8. Dang,2006 - 2007,100,"1,200.00",12,,,,,,,,,
,,2007 - 2008,100,"2,400.00",24,,,,,,,,,
,,2012 - 2013,100,"4,700.00",47,,,,,,,,,
,,2013 - 2014,70,"5,094.00",72.77,,,,,,,,,
,,2014 - 2015,60,"4,424.00",73.73,,,,,,,,,
,9. Gandhinagar,2001 - 2002,"10,900.00","5,79,800.00",53.19,,,,,,,,,
,10. Gir somnath,2021 - 2022,"1,045.00","79,127.00",75.72,,,,,,,,,
,,2022 - 2023,400,"31,957.00",79.89,,,,,,,,,
,11. Junagadh,2000 - 2001,300,"17,400.00",58,,,,,,,,,
,,2001 - 2002,400,"19,500.00",48.75,,,,,,,,,
,,2003 - 2004,300,"15,800.00",52.67,,,,,,,,,
,,2004 - 2005,100,"6,400.00",64,,,,,,,,,
,,2006 - 2007,100,"2,400.00",24,,,,,,,,,
,,2007 - 2008,100,"5,400.00",54,,,,,,,,,
,,2008 - 2009,100,"7,400.00",74,,,,,,,,,
,,2009 - 2010,100,"3,900.00",39,,,,,,,,,
,,2010 - 2011,100,"4,800.00",48,,,,,,,,,
,,2015 - 2016,15,"1,085.00",72.33,,,,,,,,,
,,2020 - 2021,635,"46,135.00",72.65,,,,,,,,,
,,2022 - 2023,520,"41,544.00",79.89,,,,,,,,,
,12. Kachchh,2000 - 2001,200,"10,500.00",52.5,,,,,,,,,
,,2001 - 2002,100,"8,200.00",82,,,,,,,,,
,,2003 - 2004,600,"43,100.00",71.83,,,,,,,,,
,,2004 - 2005,200,"13,600.00",68,,,,,,,,,
,,2005 - 2006,100,"7,200.00",72,,,,,,,,,
,,2015 - 2016,247,"17,870.00",72.35,,,,,,,,,
,,2016 - 2017,247,"20,213.00",81.83,,,,,,,,,
,13. Kheda,2000 - 2001,"11,100.00","5,63,500.00",50.77,,,,,,,,,
,,2005 - 2006,100,"4,100.00",41,,,,,,,,,
,,2006 - 2007,100,"9,700.00",97,,,,,,,,,
,,2007 - 2008,100,"3,400.00",34,,,,,,,,,
,,2008 - 2009,100,"4,400.00",44,,,,,,,,,
,,2009 - 2010,100,"5,700.00",57,,,,,,,,,
,,2013 - 2014,3,218,72.67,,,,,,,,,
,,2015 - 2016,5,362,72.4,,,,,,,,,
,14. Morbi,2020 - 2021,"1,045.00","75,922.00",72.65,,,,,,,,,
,,2021 - 2022,393,"29,758.00",75.72,,,,,,,,,
,15. Narmada,2003 - 2004,"4,000.00","2,64,600.00",66.15,,,,,,,,,
,,2004 - 2005,"3,400.00","2,38,000.00",70,,,,,,,,,
,,2005 - 2006,"4,400.00","3,08,600.00",70.14,,,,,,,,,
