State,District,Year,Sannhamp,,,,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. East godavari,2013 - 2014,175,,0,,,,,,,,,
,2. Guntur,2013 - 2014,"2,594.00",,0,,,,,,,,,
,,2019 - 2020,,,,"1,918.00",,0,,,,,,
,3. Kurnool,2013 - 2014,18,,0,,,,,,,,,
,4. Prakasam,2013 - 2014,"1,841.00",,0,,,,,,,,,
,,2019 - 2020,,,,"1,401.00",,0,35,,0,,,
,5. Spsr nellore,2019 - 2020,,,,,,,32,,0,,,
,6. Srikakulam,2019 - 2020,,,,,,,437,,0,,,
,7. Visakhapatanam,2019 - 2020,,,,2,,0,299,,0,,,
,8. Vizianagaram,2013 - 2014,106,,0,,,,,,,,,
,,2019 - 2020,,,,44,,0,330,,0,,,
2. Bihar,1. Araria,2002 - 2003,"1,289.00",916,0.71,,,,,,,,,
,,2003 - 2004,"1,094.00",784,0.72,,,,,,,,,
,,2004 - 2005,"1,192.00",960,0.81,,,,,,,,,
,,2005 - 2006,774,670,0.87,,,,,,,,,
,,2006 - 2007,,,,849,734,0.86,,,,,,
,,2007 - 2008,,,,"1,036.00","4,733.33",4.57,,,,,,
,,2008 - 2009,,,,918,"4,194.44",4.57,,,,,,
,,2009 - 2010,,,,72,59,0.82,,,,,,
,2. Arwal,2003 - 2004,18,14,0.78,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,7,6,0.86,,,,,,,,,
,,2007 - 2008,,,,8,33.33,4.17,,,,,,
,,2008 - 2009,,,,8,33.33,4.17,,,,,,
,,2009 - 2010,,,,6,5,0.83,,,,,,
,,2012 - 2013,,,,7,6,0.86,,,,,,
,,2013 - 2014,,,,6,5,0.83,,,,,,
,3. Aurangabad,2005 - 2006,2,2,1,,,,,,,,,
,,2006 - 2007,,,,1,1,1,,,,,,
,4. Banka,2002 - 2003,"1,054.00",749,0.71,,,,,,,,,
,,2003 - 2004,694,498,0.72,,,,,,,,,
,,2004 - 2005,"1,025.00",825,0.8,,,,,,,,,
,,2005 - 2006,"1,100.00",892,0.81,,,,,,,,,
,,2006 - 2007,,,,"1,069.00",879,0.82,,,,,,
,,2007 - 2008,,,,983,"4,355.55",4.43,,,,,,
