State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,186,40,0.22,992,293,0.3,,,,,,,,,,,,
,,2018 - 2019,149,37,0.25,711,213,0.3,,,,,,,,,,,,
,,2019 - 2020,187,40,0.21,747,225,0.3,,,,,,,,,,,,
,,2020 - 2021,147,52,0.35,803,262,0.33,,,,,,,,,,,,
,,2021 - 2022,374,149,0.4,655,287,0.44,,,,,,,,,,,,
,,2022 - 2023,293,117,0.4,342,150,0.44,,,,,,,,,,,,
,2. Baloda bazar,2011 - 2012,7,2,0.29,"1,732.00",543,0.31,,,,,,,,,,,,
,,2012 - 2013,5,2,0.4,"1,923.00",819,0.43,,,,,,,,,,,,
,,2013 - 2014,5,1,0.2,"1,874.00",705,0.38,,,,,,,,,,,,
,,2014 - 2015,7,3,0.43,"1,688.00",740,0.44,,,,,,,,,,,,
,,2015 - 2016,6,2,0.33,"1,703.00",693,0.41,,,,,,,,,,,,
,,2016 - 2017,6,1,0.17,"1,112.00",348,0.31,,,,,,,,,,,,
,,2017 - 2018,,,,"1,410.00",354,0.25,,,,,,,,,,,,
,,2018 - 2019,4,2,0.5,705,221,0.31,,,,,,,,,,,,
,,2019 - 2020,12,2,0.17,865,271,0.31,,,,,,,,,,,,
,,2020 - 2021,9,4,0.44,"1,140.00",558,0.49,,,,,,,,,,,,
,,2021 - 2022,8,3,0.38,982,539,0.55,,,,,,,,,,,,
,,2022 - 2023,6,3,0.5,98,7,0.07,,,,,,,,,,,,
,3. Balrampur,2011 - 2012,,,,"4,804.00","1,302.00",0.27,,,,,,,,,,,,
,,2012 - 2013,,,,"4,871.00","1,796.00",0.37,,,,,,,,,,,,
,,2013 - 2014,,,,"4,830.00","1,467.00",0.3,,,,,,,,,,,,
,,2014 - 2015,,,,"4,876.00","1,507.00",0.31,,,,,,,,,,,,
,,2015 - 2016,,,,"4,928.00","1,603.00",0.33,,,,,,,,,,,,
,,2016 - 2017,,,,"4,709.00","1,685.00",0.36,,,,,,,,,,,,
,,2017 - 2018,,,,"4,425.00","1,392.00",0.31,,,,,,,,,,,,
,,2018 - 2019,,,,"4,679.00","1,497.00",0.32,,,,,,,,,,,,
,,2019 - 2020,,,,"3,985.00","1,274.00",0.32,,,,,,,,,,,,
,,2020 - 2021,3,1,0.33,"3,316.00","1,127.00",0.34,,,,,,,,,,,,
,,2021 - 2022,3,1,0.33,"3,403.00","1,195.00",0.35,,,,,,,,,,,,
,,2022 - 2023,,,,"2,805.00",969,0.35,,,,,,,,,,,,
,4. Bastar,2000 - 2001,,,,"12,112.00","5,437.00",0.45,,,,,,,,,,,,
,,2001 - 2002,,,,"12,348.00","5,543.00",0.45,,,,,,,,,,,,
,,2002 - 2003,,,,"12,037.00","3,524.00",0.29,,,,,,,,,,,,
,,2003 - 2004,,,,"11,715.00","4,725.00",0.4,,,,,,,,,,,,
,,2004 - 2005,2,1,0.5,"11,683.00","4,865.00",0.42,,,,,,,,,,,,
,,2005 - 2006,,,,"11,319.00","4,787.00",0.42,,,,,,,,,,,,
,,2006 - 2007,,,,"9,880.00","4,711.00",0.48,,,,,,,,,,,,
,,2007 - 2008,,,,"10,166.00","4,498.00",0.44,,,,,,,,,,,,
,,2008 - 2009,,,,"9,953.00","3,691.00",0.37,,,,,,,,,,,,
,,2009 - 2010,,,,"10,110.00","3,355.00",0.33,,,,,,,,,,,,
,,2010 - 2011,,,,"9,790.00","4,012.00",0.41,,,,,,,,,,,,
,,2011 - 2012,,,,"1,913.00",784,0.41,,,,,,,,,,,,
,,2012 - 2013,3,1,0.33,"1,867.00",753,0.4,,,,,,,,,,,,
,,2013 - 2014,,,,"1,828.00",738,0.4,,,,,,,,,,,,
,,2014 - 2015,2,1,0.5,"1,763.00",746,0.42,,,,,,,,,,,,
,,2015 - 2016,13,4,0.31,"1,740.00",622,0.36,,,,,,,,,,,,
,,2016 - 2017,21,9,0.43,"1,709.00",678,0.4,,,,,,,,,,,,
,,2017 - 2018,43,19,0.44,"1,557.00",659,0.42,,,,,,,,,,,,
,,2018 - 2019,30,16,0.53,"1,652.00",666,0.4,,,,,,,,,,,,
,,2019 - 2020,77,28,0.36,"1,330.00",494,0.37,,,,,,,,,,,,
,,2020 - 2021,162,63,0.39,"1,724.00",618,0.36,,,,,,,,,,,,
,,2021 - 2022,146,55,0.38,"1,769.00",610,0.34,,,,,,,,,,,,
,,2022 - 2023,133,54,0.41,"1,530.00",547,0.36,,,,,,,,,,,,
,5. Bemetara,2011 - 2012,18,4,0.22,451,136,0.3,,,,,,,,,,,,
,,2012 - 2013,37,8,0.22,368,121,0.33,,,,,,,,,,,,
,,2013 - 2014,38,9,0.24,276,84,0.3,,,,,,,,,,,,
,,2014 - 2015,47,9,0.19,344,88,0.26,,,,,,,,,,,,
,,2015 - 2016,88,18,0.2,274,98,0.36,,,,,,,,,,,,
,,2016 - 2017,28,6,0.21,186,63,0.34,,,,,,,,,,,,
,,2017 - 2018,5,1,0.2,248,97,0.39,,,,,,,,,,,,
,,2018 - 2019,13,2,0.15,243,87,0.36,,,,,,,,,,,,
,,2019 - 2020,6,2,0.33,188,73,0.39,,,,,,,,,,,,
,,2020 - 2021,10,2,0.2,216,85,0.39,,,,,,,,,,,,
,,2021 - 2022,21,5,0.24,263,112,0.43,,,,,,,,,,,,
,,2022 - 2023,35,9,0.26,131,53,0.4,,,,,,,,,,,,
,6. Bijapur,2006 - 2007,210,,0,384,,0,,,,,,,,,,,,
,,2007 - 2008,210,43,0.2,383,140,0.37,,,,,,,,,,,,
,,2008 - 2009,183,36,0.2,372,88,0.24,,,,,,,,,,,,
,,2009 - 2010,155,58,0.37,313,86,0.27,,,,,,,,,,,,
,,2010 - 2011,195,50,0.26,321,115,0.36,,,,,,,,,,,,
,,2011 - 2012,122,47,0.39,301,69,0.23,,,,,,,,,,,,
,,2012 - 2013,160,62,0.39,320,103,0.32,,,,,,,,,,,,
,,2013 - 2014,173,78,0.45,316,133,0.42,,,,,,,,,,,,
,,2014 - 2015,171,60,0.35,321,136,0.42,,,,,,,,,,,,
,,2015 - 2016,106,27,0.25,284,90,0.32,,,,,,,,,,,,
,,2016 - 2017,98,36,0.37,281,113,0.4,,,,,,,,,,,,
,,2017 - 2018,101,32,0.32,263,67,0.25,,,,,,,,,,,,
,,2018 - 2019,100,38,0.38,261,65,0.25,,,,,,,,,,,,
,,2019 - 2020,81,28,0.35,216,53,0.25,,,,,,,,,,,,
,,2020 - 2021,71,25,0.35,163,59,0.36,,,,,,,,,,,,
,,2021 - 2022,58,25,0.43,180,70,0.39,,,,,,,,,,,,
,,2022 - 2023,46,15,0.33,182,68,0.37,,,,,,,,,,,,
,7. Bilaspur,2000 - 2001,104,22,0.21,"2,870.00",422,0.15,,,,,,,,,,,,
,,2001 - 2002,158,32,0.2,"1,924.00",436,0.23,,,,,,,,,,,,
,,2002 - 2003,720,151,0.21,"2,152.00",411,0.19,,,,,,,,,,,,
,,2003 - 2004,228,53,0.23,"2,138.00",493,0.23,,,,,,,,,,,,
,,2004 - 2005,212,2,0.01,"2,228.00",451,0.2,,,,,,,,,,,,
,,2005 - 2006,216,48,0.22,"1,912.00",433,0.23,,,,,,,,,,,,
,,2006 - 2007,195,45,0.23,"1,783.00",397,0.22,,,,,,,,,,,,
,,2007 - 2008,183,42,0.23,"1,757.00",405,0.23,,,,,,,,,,,,
,,2008 - 2009,173,40,0.23,"1,773.00",402,0.23,,,,,,,,,,,,
,,2009 - 2010,180,44,0.24,"1,720.00",424,0.25,,,,,,,,,,,,
,,2010 - 2011,158,36,0.23,"1,663.00",390,0.23,,,,,,,,,,,,
,,2011 - 2012,110,25,0.23,"1,507.00",336,0.22,,,,,,,,,,,,
,,2012 - 2013,92,22,0.24,"1,542.00",387,0.25,,,,,,,,,,,,
,,2013 - 2014,87,21,0.24,"1,527.00",376,0.25,,,,,,,,,,,,
,,2014 - 2015,81,21,0.26,"1,545.00",400,0.26,,,,,,,,,,,,
,,2015 - 2016,42,11,0.26,"1,386.00",369,0.27,,,,,,,,,,,,
,,2016 - 2017,37,9,0.24,"1,276.00",314,0.25,,,,,,,,,,,,
,,2017 - 2018,26,5,0.19,"1,114.00",266,0.24,,,,,,,,,,,,
,,2018 - 2019,110,27,0.25,933,223,0.24,,,,,,,,,,,,
,,2019 - 2020,26,5,0.19,34,9,0.26,,,,,,,,,,,,
,,2020 - 2021,31,12,0.39,19,7,0.37,,,,,,,,,,,,
,,2021 - 2022,39,14,0.36,23,8,0.35,,,,,,,,,,,,
,,2022 - 2023,30,11,0.37,16,6,0.38,,,,,,,,,,,,
,8. Dantewada,2000 - 2001,232,79,0.34,"1,528.00",567,0.37,,,,,,,,,,,,
,,2001 - 2002,295,97,0.33,"1,568.00",592,0.38,,,,,,,,,,,,
,,2002 - 2003,230,73,0.32,"1,466.00",429,0.29,,,,,,,,,,,,
,,2003 - 2004,291,108,0.37,"1,461.00",532,0.36,,,,,,,,,,,,
,,2004 - 2005,314,46,0.15,"1,527.00",437,0.29,,,,,,,,,,,,
,,2005 - 2006,282,62,0.22,"1,509.00",510,0.34,,,,,,,,,,,,
,,2006 - 2007,34,49,1.44,933,428,0.46,,,,,,,,,,,,
,,2007 - 2008,26,5,0.19,962,356,0.37,,,,,,,,,,,,
,,2008 - 2009,115,23,0.2,962,313,0.33,,,,,,,,,,,,
,,2009 - 2010,35,,0,"1,039.00",283,0.27,,,,,,,,,,,,
,,2010 - 2011,1,,0,"1,099.00",393,0.36,,,,,,,,,,,,
,,2011 - 2012,1,,0,642,146,0.23,,,,,,,,,,,,
,,2012 - 2013,9,4,0.44,636,249,0.39,,,,,,,,,,,,
,,2013 - 2014,9,4,0.44,660,279,0.42,,,,,,,,,,,,
,,2014 - 2015,9,3,0.33,662,271,0.41,,,,,,,,,,,,
,,2015 - 2016,12,5,0.42,580,238,0.41,,,,,,,,,,,,
,,2016 - 2017,7,4,0.57,542,237,0.44,,,,,,,,,,,,
,,2017 - 2018,3,1,0.33,461,125,0.27,,,,,,,,,,,,
,,2018 - 2019,2,1,0.5,475,133,0.28,,,,,,,,,,,,
,,2019 - 2020,5,3,0.6,351,135,0.38,,,,,,,,,,,,
,,2020 - 2021,1,1,1,423,187,0.44,,,,,,,,,,,,
,,2021 - 2022,2,1,0.5,493,192,0.39,,,,,,,,,,,,
,,2022 - 2023,7,4,0.57,537,203,0.38,,,,,,,,,,,,
,9. Dhamtari,2000 - 2001,452,113,0.25,681,196,0.29,,,,,,,,,,,,
,,2001 - 2002,312,86,0.28,653,274,0.42,,,,,,,,,,,,
,,2002 - 2003,411,113,0.27,626,169,0.27,,,,,,,,,,,,
,,2003 - 2004,490,135,0.28,675,253,0.37,,,,,,,,,,,,
,,2004 - 2005,674,154,0.23,614,231,0.38,,,,,,,,,,,,
,,2005 - 2006,"1,090.00",299,0.27,503,189,0.38,,,,,,,,,,,,
,,2006 - 2007,890,244,0.27,570,215,0.38,,,,,,,,,,,,
,,2007 - 2008,976,268,0.27,588,222,0.38,,,,,,,,,,,,
,,2008 - 2009,883,243,0.28,525,197,0.38,,,,,,,,,,,,
,,2009 - 2010,943,259,0.27,288,110,0.38,,,,,,,,,,,,
,,2010 - 2011,494,135,0.27,188,7,0.04,,,,,,,,,,,,
,,2011 - 2012,524,144,0.27,232,89,0.38,,,,,,,,,,,,
,,2012 - 2013,372,102,0.27,504,193,0.38,,,,,,,,,,,,
,,2013 - 2014,268,73,0.27,408,156,0.38,,,,,,,,,,,,
,,2014 - 2015,237,65,0.27,511,222,0.43,,,,,,,,,,,,
,,2015 - 2016,288,79,0.27,386,148,0.38,,,,,,,,,,,,
,,2016 - 2017,280,77,0.28,461,176,0.38,,,,,,,,,,,,
,,2017 - 2018,207,57,0.28,578,221,0.38,,,,,,,,,,,,
,,2018 - 2019,121,33,0.27,505,193,0.38,,,,,,,,,,,,
,,2019 - 2020,89,26,0.29,597,229,0.38,,,,,,,,,,,,
,,2020 - 2021,32,14,0.44,820,393,0.48,,,,,,,,,,,,
,,2021 - 2022,76,30,0.39,763,400,0.52,,,,,,,,,,,,
,,2022 - 2023,76,33,0.43,763,401,0.53,,,,,,,,,,,,
,10. Durg,2000 - 2001,"1,805.00",392,0.22,"2,791.00",762,0.27,,,,,,,,,,,,
,,2001 - 2002,"2,321.00",494,0.21,"2,464.00",723,0.29,,,,,,,,,,,,
,,2002 - 2003,"1,737.00",348,0.2,"2,953.00",747,0.25,,,,,,,,,,,,
,,2003 - 2004,"1,990.00",481,0.24,"2,791.00",776,0.28,,,,,,,,,,,,
,,2004 - 2005,"2,006.00",370,0.18,"2,588.00",733,0.28,,,,,,,,,,,,
,,2005 - 2006,"1,500.00",344,0.23,"2,637.00",721,0.27,,,,,,,,,,,,
,,2006 - 2007,"1,683.00",414,0.25,"2,402.00",693,0.29,,,,,,,,,,,,
,,2007 - 2008,"1,716.00",450,0.26,"2,316.00",656,0.28,,,,,,,,,,,,
,,2008 - 2009,"1,242.00",305,0.25,"2,188.00",554,0.25,,,,,,,,,,,,
,,2009 - 2010,"1,251.00",302,0.24,"2,000.00",537,0.27,,,,,,,,,,,,
,,2010 - 2011,"1,466.00",349,0.24,"1,825.00",573,0.31,,,,,,,,,,,,
,,2011 - 2012,153,38,0.25,190,58,0.31,,,,,,,,,,,,
,,2012 - 2013,146,37,0.25,134,41,0.31,,,,,,,,,,,,
,,2013 - 2014,164,36,0.22,126,41,0.33,,,,,,,,,,,,
,,2014 - 2015,200,49,0.25,63,21,0.33,,,,,,,,,,,,
,,2015 - 2016,124,31,0.25,123,41,0.33,,,,,,,,,,,,
,,2016 - 2017,48,13,0.27,127,43,0.34,,,,,,,,,,,,
,,2017 - 2018,26,5,0.19,87,28,0.32,,,,,,,,,,,,
,,2018 - 2019,23,5,0.22,136,43,0.32,,,,,,,,,,,,
,,2019 - 2020,40,8,0.2,87,27,0.31,,,,,,,,,,,,
,,2020 - 2021,18,5,0.28,65,25,0.38,,,,,,,,,,,,
,,2021 - 2022,27,7,0.26,67,26,0.39,,,,,,,,,,,,
,,2022 - 2023,16,5,0.31,54,21,0.39,,,,,,,,,,,,
,11. Gariyaband,2011 - 2012,377,95,0.25,"2,217.00",694,0.31,,,,,,,,,,,,
,,2012 - 2013,204,51,0.25,"1,707.00",727,0.43,,,,,,,,,,,,
,,2013 - 2014,206,47,0.23,"1,019.00",332,0.33,,,,,,,,,,,,
,,2014 - 2015,186,43,0.23,"1,839.00",576,0.31,,,,,,,,,,,,
,,2015 - 2016,62,17,0.27,"1,712.00",697,0.41,,,,,,,,,,,,
,,2016 - 2017,87,20,0.23,"1,154.00",434,0.38,,,,,,,,,,,,
,,2017 - 2018,30,7,0.23,"1,476.00",462,0.31,,,,,,,,,,,,
,,2018 - 2019,31,8,0.26,"1,228.00",539,0.44,,,,,,,,,,,,
,,2019 - 2020,33,9,0.27,856,349,0.41,,,,,,,,,,,,
,,2020 - 2021,2,1,0.5,"1,161.00",519,0.45,,,,,,,,,,,,
,,2021 - 2022,5,2,0.4,"1,254.00",560,0.45,,,,,,,,,,,,
,,2022 - 2023,12,5,0.42,"1,285.00",573,0.45,,,,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,51,11,0.22,"1,010.00",260,0.26,,,,,,,,,,,,
,,2020 - 2021,32,11,0.34,"1,233.00",446,0.36,,,,,,,,,,,,
,,2021 - 2022,26,9,0.35,"1,275.00",469,0.37,,,,,,,,,,,,
,,2022 - 2023,20,7,0.35,"1,070.00",393,0.37,,,,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,105,22,0.21,"1,753.00",419,0.24,,,,,,,,,,,,
,,2001 - 2002,113,26,0.23,"1,654.00",427,0.26,,,,,,,,,,,,
,,2002 - 2003,127,28,0.22,"2,189.00",505,0.23,,,,,,,,,,,,
,,2003 - 2004,143,34,0.24,"2,125.00",549,0.26,,,,,,,,,,,,
,,2004 - 2005,127,30,0.24,"1,725.00",412,0.24,,,,,,,,,,,,
,,2005 - 2006,102,29,0.28,"1,788.00",427,0.24,,,,,,,,,,,,
,,2006 - 2007,103,24,0.23,"1,778.00",309,0.17,,,,,,,,,,,,
,,2007 - 2008,105,27,0.26,"1,645.00",425,0.26,,,,,,,,,,,,
,,2008 - 2009,109,26,0.24,"1,623.00",387,0.24,,,,,,,,,,,,
,,2009 - 2010,109,27,0.25,"1,484.00",366,0.25,,,,,,,,,,,,
,,2010 - 2011,131,30,0.23,"1,458.00",377,0.26,,,,,,,,,,,,
,,2011 - 2012,92,22,0.24,"1,474.00",375,0.25,,,,,,,,,,,,
,,2012 - 2013,85,22,0.26,"1,443.00",345,0.24,,,,,,,,,,,,
,,2013 - 2014,86,24,0.28,"1,399.00",334,0.24,,,,,,,,,,,,
,,2014 - 2015,86,21,0.24,"1,403.00",334,0.24,,,,,,,,,,,,
,,2015 - 2016,71,33,0.46,"1,013.00",359,0.35,,,,,,,,,,,,
,,2016 - 2017,162,59,0.36,"1,259.00",446,0.35,,,,,,,,,,,,
,,2017 - 2018,113,41,0.36,"1,048.00",246,0.23,,,,,,,,,,,,
,,2018 - 2019,97,39,0.4,920,216,0.23,,,,,,,,,,,,
,,2019 - 2020,106,50,0.47,490,115,0.23,,,,,,,,,,,,
,,2020 - 2021,253,154,0.61,349,123,0.35,,,,,,,,,,,,
,,2021 - 2022,287,154,0.54,305,112,0.37,,,,,,,,,,,,
,,2022 - 2023,15,8,0.53,19,6,0.32,,,,,,,,,,,,
,14. Jashpur,2000 - 2001,,,,"16,469.00","3,429.00",0.21,,,,,,,,,,,,
,,2001 - 2002,,,,"16,482.00","3,812.00",0.23,,,,,,,,,,,,
,,2002 - 2003,,,,"17,101.00","3,956.00",0.23,,,,,,,,,,,,
,,2003 - 2004,,,,"16,646.00","3,786.00",0.23,,,,,,,,,,,,
,,2004 - 2005,,,,"16,127.00","3,047.00",0.19,,,,,,,,,,,,
,,2005 - 2006,,,,"15,634.00","2,712.00",0.17,,,,,,,,,,,,
,,2006 - 2007,,,,"15,974.00","3,572.00",0.22,,,,,,,,,,,,
,,2007 - 2008,,,,"15,465.00","3,578.00",0.23,,,,,,,,,,,,
,,2008 - 2009,,,,"14,917.00","3,451.00",0.23,,,,,,,,,,,,
,,2009 - 2010,,,,"14,369.00","4,920.00",0.34,,,,,,,,,,,,
,,2010 - 2011,,,,"14,663.00","5,021.00",0.34,,,,,,,,,,,,
,,2011 - 2012,,,,"14,422.00","5,108.00",0.35,,,,,,,,,,,,
,,2012 - 2013,,,,"13,154.00","4,660.00",0.35,,,,,,,,,,,,
,,2013 - 2014,,,,"12,270.00","4,346.00",0.35,,,,,,,,,,,,
,,2014 - 2015,,,,"11,489.00","3,934.00",0.34,,,,,,,,,,,,
,,2015 - 2016,,,,"11,372.00","3,836.00",0.34,,,,,,,,,,,,
,,2016 - 2017,,,,"12,831.00","4,329.00",0.34,,,,,,,,,,,,
,,2017 - 2018,,,,"11,684.00","4,651.00",0.4,,,,,,,,,,,,
,,2018 - 2019,,,,"11,004.00","4,454.00",0.4,,,,,,,,,,,,
,,2019 - 2020,,,,"12,048.00","4,552.00",0.38,,,,,,,,,,,,
,,2020 - 2021,,,,"12,095.00","5,141.00",0.43,,,,,,,,,,,,
,,2021 - 2022,,,,"11,991.00","5,177.00",0.43,,,,,,,,,,,,
,,2022 - 2023,,,,"13,297.00","5,203.00",0.39,,,,,,,,,,,,
,15. Kabirdham,2000 - 2001,85,12,0.14,"2,386.00",575,0.24,,,,,,,,,,,,
,,2001 - 2002,99,27,0.27,"2,088.00",654,0.31,,,,,,,,,,,,
,,2002 - 2003,903,221,0.24,"2,470.00",789,0.32,,,,,,,,,,,,
,,2003 - 2004,134,32,0.24,"2,753.00",846,0.31,,,,,,,,,,,,
,,2004 - 2005,168,52,0.31,"2,858.00","1,033.00",0.36,,,,,,,,,,,,
,,2005 - 2006,114,37,0.32,"2,672.00",805,0.3,,,,,,,,,,,,
,,2006 - 2007,123,40,0.33,"2,333.00",843,0.36,,,,,,,,,,,,
,,2007 - 2008,116,38,0.33,"2,461.00",742,0.3,,,,,,,,,,,,
,,2008 - 2009,95,31,0.33,"2,606.00",785,0.3,,,,,,,,,,,,
,,2009 - 2010,83,20,0.24,"2,506.00",755,0.3,,,,,,,,,,,,
,,2010 - 2011,104,30,0.29,"2,375.00",844,0.36,,,,,,,,,,,,
,,2011 - 2012,62,18,0.29,"2,123.00",767,0.36,,,,,,,,,,,,
,,2012 - 2013,62,18,0.29,"1,763.00",638,0.36,,,,,,,,,,,,
,,2013 - 2014,501,146,0.29,"1,756.00",635,0.36,,,,,,,,,,,,
,,2014 - 2015,33,10,0.3,"1,710.00",618,0.36,,,,,,,,,,,,
,,2015 - 2016,14,4,0.29,"1,474.00",533,0.36,,,,,,,,,,,,
,,2016 - 2017,37,12,0.32,"1,464.00",468,0.32,,,,,,,,,,,,
,,2017 - 2018,22,6,0.27,"1,318.00",357,0.27,,,,,,,,,,,,
,,2018 - 2019,231,53,0.23,"1,176.00",298,0.25,,,,,,,,,,,,
,,2019 - 2020,62,17,0.27,791,243,0.31,,,,,,,,,,,,
,,2020 - 2021,26,7,0.27,672,226,0.34,,,,,,,,,,,,
,,2021 - 2022,34,11,0.32,"1,002.00",393,0.39,,,,,,,,,,,,
,,2022 - 2023,47,15,0.32,688,269,0.39,,,,,,,,,,,,
,16. Kanker,2000 - 2001,91,32,0.35,"5,030.00","1,833.00",0.36,,,,,,,,,,,,
,,2001 - 2002,96,33,0.34,"5,054.00","1,973.00",0.39,,,,,,,,,,,,
,,2002 - 2003,91,24,0.26,"4,858.00",917,0.19,,,,,,,,,,,,
,,2003 - 2004,105,42,0.4,"4,801.00","1,936.00",0.4,,,,,,,,,,,,
,,2004 - 2005,69,29,0.42,"4,800.00","1,936.00",0.4,,,,,,,,,,,,
,,2005 - 2006,63,22,0.35,"5,059.00","2,139.00",0.42,,,,,,,,,,,,
,,2006 - 2007,86,33,0.38,"5,040.00","2,295.00",0.46,,,,,,,,,,,,
,,2007 - 2008,64,25,0.39,"5,092.00","2,319.00",0.46,,,,,,,,,,,,
,,2008 - 2009,64,20,0.31,"5,092.00","1,723.00",0.34,,,,,,,,,,,,
,,2009 - 2010,64,17,0.27,"5,092.00","1,822.00",0.36,,,,,,,,,,,,
,,2010 - 2011,55,16,0.29,"5,250.00","2,220.00",0.42,,,,,,,,,,,,
,,2011 - 2012,55,15,0.27,"5,224.00","1,190.00",0.23,,,,,,,,,,,,
,,2012 - 2013,61,14,0.23,"5,331.00","2,081.00",0.39,,,,,,,,,,,,
,,2013 - 2014,64,16,0.25,"5,515.00","1,794.00",0.33,,,,,,,,,,,,
,,2014 - 2015,77,18,0.23,"5,414.00","1,656.00",0.31,,,,,,,,,,,,
,,2015 - 2016,91,19,0.21,"5,223.00","1,325.00",0.25,,,,,,,,,,,,
,,2016 - 2017,65,15,0.23,"4,860.00","1,106.00",0.23,,,,,,,,,,,,
,,2017 - 2018,58,13,0.22,"4,315.00","1,572.00",0.36,,,,,,,,,,,,
,,2018 - 2019,62,17,0.27,"4,371.00","1,649.00",0.38,,,,,,,,,,,,
,,2019 - 2020,99,26,0.26,"3,718.00","1,403.00",0.38,,,,,,,,,,,,
,,2020 - 2021,90,25,0.28,"3,828.00","1,688.00",0.44,,,,,,,,,,,,
,,2021 - 2022,101,30,0.3,"3,632.00","1,655.00",0.46,,,,,,,,,,,,
,,2022 - 2023,42,11,0.26,"3,475.00","1,481.00",0.43,,,,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,31,17,0.55,472,174,0.37,,,,,,,,,,,,
,18. Kondagaon,2011 - 2012,,,,"7,574.00","3,105.00",0.41,,,,,,,,,,,,
,,2012 - 2013,,,,"7,633.00","3,029.00",0.4,,,,,,,,,,,,
,,2013 - 2014,,,,"7,662.00","3,091.00",0.4,,,,,,,,,,,,
,,2014 - 2015,,,,"7,407.00","3,132.00",0.42,,,,,,,,,,,,
,,2015 - 2016,4,1,0.25,"7,292.00","2,851.00",0.39,,,,,,,,,,,,
,,2016 - 2017,,,,"7,843.00","4,460.00",0.57,,,,,,,,,,,,
,,2017 - 2018,,,,"7,648.00","3,099.00",0.41,,,,,,,,,,,,
,,2018 - 2019,17,9,0.53,"7,839.00","3,343.00",0.43,,,,,,,,,,,,
,,2019 - 2020,12,5,0.42,"8,419.00","3,893.00",0.46,,,,,,,,,,,,
,,2020 - 2021,28,17,0.61,"8,635.00","3,683.00",0.43,,,,,,,,,,,,
,,2021 - 2022,22,10,0.45,"8,876.00","5,237.00",0.59,,,,,,,,,,,,
,,2022 - 2023,24,11,0.46,"9,071.00","3,868.00",0.43,,,,,,,,,,,,
,19. Korba,2000 - 2001,11,2,0.18,"5,040.00",962,0.19,,,,,,,,,,,,
,,2001 - 2002,6,1,0.17,"4,850.00","1,157.00",0.24,,,,,,,,,,,,
,,2002 - 2003,8,2,0.25,"4,925.00",979,0.2,,,,,,,,,,,,
,,2003 - 2004,14,3,0.21,"4,865.00",967,0.2,,,,,,,,,,,,
,,2004 - 2005,7,1,0.14,"4,923.00",881,0.18,,,,,,,,,,,,
,,2005 - 2006,9,1,0.11,"4,831.00",979,0.2,,,,,,,,,,,,
,,2006 - 2007,10,1,0.1,"4,841.00",924,0.19,,,,,,,,,,,,
,,2007 - 2008,9,1,0.11,"4,843.00",924,0.19,,,,,,,,,,,,
,,2008 - 2009,7,1,0.14,"4,775.00",949,0.2,,,,,,,,,,,,
,,2009 - 2010,4,1,0.25,"4,705.00",898,0.19,,,,,,,,,,,,
,,2010 - 2011,4,1,0.25,"4,616.00","1,009.00",0.22,,,,,,,,,,,,
,,2011 - 2012,5,2,0.4,"4,523.00",899,0.2,,,,,,,,,,,,
,,2012 - 2013,4,1,0.25,"4,603.00","1,099.00",0.24,,,,,,,,,,,,
,,2013 - 2014,4,1,0.25,"4,605.00","1,098.00",0.24,,,,,,,,,,,,
,,2014 - 2015,4,1,0.25,"4,593.00","1,096.00",0.24,,,,,,,,,,,,
,,2015 - 2016,,,,"4,778.00",950,0.2,,,,,,,,,,,,
,,2016 - 2017,2,1,0.5,"4,135.00",987,0.24,,,,,,,,,,,,
,,2017 - 2018,5,2,0.4,"3,866.00","1,258.00",0.33,,,,,,,,,,,,
,,2018 - 2019,17,6,0.35,"3,162.00",943,0.3,,,,,,,,,,,,
,,2019 - 2020,11,3,0.27,"1,851.00",552,0.3,,,,,,,,,,,,
,,2020 - 2021,20,7,0.35,"1,665.00",683,0.41,,,,,,,,,,,,
,,2021 - 2022,26,10,0.38,"1,451.00",577,0.4,,,,,,,,,,,,
,,2022 - 2023,3,1,0.33,"1,109.00",441,0.4,,,,,,,,,,,,
,20. Korea,2000 - 2001,,,,"4,525.00","1,619.00",0.36,,,,,,,,,,,,
,,2001 - 2002,,,,"4,304.00","1,330.00",0.31,,,,,,,,,,,,
,,2002 - 2003,,,,"3,873.00","1,050.00",0.27,,,,,,,,,,,,
,,2003 - 2004,,,,"3,987.00",929,0.23,,,,,,,,,,,,
,,2004 - 2005,,,,"3,995.00",975,0.24,,,,,,,,,,,,
,,2005 - 2006,,,,"4,082.00",952,0.23,,,,,,,,,,,,
,,2006 - 2007,,,,"3,821.00","1,036.00",0.27,,,,,,,,,,,,
