State,District,Year,Urad,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,408,236,0.58,32,2,0.06,,,,,,,,,,,,
,,2003 - 2004,,,,82,51,0.62,,,,,,,,,,,,
,,2004 - 2005,,,,76,37,0.49,,,,,,,,,,,,
,,2005 - 2006,11,7,0.64,69,24,0.35,,,,,,,,,,,,
,,2006 - 2007,24,19,0.79,69,26,0.38,,,,,,,,,,,,
,,2009 - 2010,17,13,0.76,30,9,0.3,,,,,,,,,,,,
,,2010 - 2011,559,299,0.53,14,6,0.43,,,,,,,,,,,,
,,2011 - 2012,446,313,0.7,32,17,0.53,,,,,,,,,,,,
,,2013 - 2014,4,3,0.75,48,45,0.94,,,,,,,,,,,,
,,2014 - 2015,42,61,1.45,188,249,1.32,,,,,,,,,,,,
,,2015 - 2016,142,147,1.04,637,478,0.75,,,,,,,,,,,,
,,2016 - 2017,82,96,1.17,"1,570.00","1,843.00",1.17,,,,,,,,,,,,
,,2017 - 2018,6,8,1.33,"1,328.00","1,061.00",0.8,,,,,,,,,,,,
,,2018 - 2019,24,25,1.04,62,57,0.92,,,,,,,,,,,,
,,2019 - 2020,36,47,1.31,28,6,0.21,,,,,,,,,,,,
,,2020 - 2021,381,512,1.34,283,53,0.19,,,,,,,,,,,,
,,2021 - 2022,735,"1,076.00",1.46,251,257,1.02,,,,,,,,,,,,
,,2022 - 2023,679,941,1.39,222,164,0.74,,,,,,,,,,,,
,4. Annamayya,2022 - 2023,178,247,1.39,63,46,0.73,,,,,,,,,,,,
,5. Bapatla,2022 - 2023,"21,814.00","34,924.00",1.6,"2,158.00","1,506.00",0.7,,,,,,,,,,,,
,6. Chittoor,2000 - 2001,168,135,0.8,120,7,0.06,,,,,,,,,,,,
,,2001 - 2002,189,129,0.68,141,51,0.36,,,,,,,,,,,,
,,2002 - 2003,260,151,0.58,133,7,0.05,,,,,,,,,,,,
,,2003 - 2004,229,89,0.39,433,267,0.62,,,,,,,,,,,,
,,2004 - 2005,314,199,0.63,264,127,0.48,,,,,,,,,,,,
,,2005 - 2006,98,62,0.63,212,73,0.34,,,,,,,,,,,,
,,2006 - 2007,426,333,0.78,144,55,0.38,,,,,,,,,,,,
,,2008 - 2009,376,252,0.67,303,110,0.36,,,,,,,,,,,,
,,2009 - 2010,646,478,0.74,307,91,0.3,,,,,,,,,,,,
,,2010 - 2011,"1,126.00",601,0.53,608,257,0.42,,,,,,,,,,,,
,,2011 - 2012,"2,528.00","1,772.00",0.7,388,207,0.53,,,,,,,,,,,,
,,2012 - 2013,"2,000.00","2,000.00",1,,,,,,,,,,,,,,,
,,2013 - 2014,"1,119.00",880,0.79,365,339,0.93,,,,,,,,,,,,
,,2014 - 2015,"1,749.00","2,520.00",1.44,383,508,1.33,,,,,,,,,,,,
,,2015 - 2016,"2,154.00","1,708.00",0.79,365,243,0.67,,,,,,,,,,,,
,,2016 - 2017,"4,023.00","2,277.00",0.57,465,546,1.17,,,,,,,,,,,,
,,2017 - 2018,"2,989.00","3,928.00",1.31,486,388,0.8,,,,,,,,,,,,
,,2018 - 2019,"3,991.00","3,787.00",0.95,610,561,0.92,,,,,,,,,,,,
,,2019 - 2020,"3,263.00","3,867.00",1.19,176,130,0.74,,,,,,,,,,,,
