State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2012 - 2013,,,,,,,600,200,0.33,,,,,,,,,
,,2013 - 2014,1,,0,,,,924,213,0.23,,,,,,,,,
,,2014 - 2015,4,2,0.5,,,,427,172,0.4,,,,,,,,,
,,2015 - 2016,48,22,0.46,,,,346,133,0.38,,,,,,,,,
,,2016 - 2017,,,,,,,373,199,0.53,,,,,,,,,
,,2017 - 2018,2,1,0.5,,,,317,192,0.61,,,,,,,,,
,,2018 - 2019,,,,,,,706,326,0.46,,,,,,,,,
,,2019 - 2020,,,,,,,166,85,0.51,,,,,,,,,
,,2020 - 2021,5,2,0.4,,,,174,32,0.18,,,,,,,,,
,,2021 - 2022,51,25,0.49,,,,539,178,0.33,,,,,,,,,
,,2022 - 2023,6,3,0.5,,,,462,235,0.51,,,,,,,,,
,13. Gir somnath,2014 - 2015,57,25,0.44,,,,"6,159.00","5,364.00",0.87,,,,,,,,,
,,2015 - 2016,85,39,0.46,,,,"17,074.00","11,165.00",0.65,,,,,,,,,
,,2016 - 2017,107,127,1.19,,,,"6,332.00","2,111.00",0.33,,,,,,,,,
,,2017 - 2018,121,143,1.18,,,,"5,816.00","3,954.00",0.68,,,,,,,,,
,,2018 - 2019,157,110,0.7,,,,"5,221.00","3,625.00",0.69,,,,,,,,,
,,2019 - 2020,"1,168.00",876,0.75,,,,"6,602.00","2,830.00",0.43,,,,,,,,,
,,2020 - 2021,"3,532.00","3,179.00",0.9,,,,"9,582.00",606,0.06,,,,,,,,,
,,2021 - 2022,"9,727.00","11,381.00",1.17,,,,40,13,0.33,,,,,,,,,
,,2022 - 2023,"8,705.00","9,793.00",1.12,,,,5,3,0.6,,,,,,,,,
,14. Jamnagar,2000 - 2001,,,,,,,"38,400.00","14,600.00",0.38,,,,,,,,,
,,2001 - 2002,,,,,,,"37,600.00","22,800.00",0.61,,,,,,,,,
,,2002 - 2003,,,,,,,"23,100.00","3,400.00",0.15,,,,,,,,,
,,2003 - 2004,,,,,,,"27,400.00","17,300.00",0.63,,,,,,,,,
,,2004 - 2005,,,,,,,"24,400.00","11,000.00",0.45,,,,,,,,,
,,2005 - 2006,,,,,,,"18,700.00","9,000.00",0.48,,,,,,,,,
,,2006 - 2007,,,,,,,"14,600.00","7,700.00",0.53,,,,,,,,,
,,2007 - 2008,,,,,,,"12,100.00","6,900.00",0.57,,,,,,,,,
,,2008 - 2009,,,,,,,"10,600.00","6,100.00",0.58,,,,,,,,,
,,2009 - 2010,,,,,,,"8,800.00","4,200.00",0.48,,,,,,,,,
,,2010 - 2011,"14,700.00","7,400.00",0.5,,,,"6,400.00","1,900.00",0.3,,,,,,,,,
,,2011 - 2012,"24,000.00","11,000.00",0.46,,,,"12,800.00","8,500.00",0.66,,,,,,,,,
,,2012 - 2013,200,"10,700.00",53.5,,,,"4,000.00",800,0.2,,,,,,,,,
,,2013 - 2014,"9,045.00","4,303.00",0.48,,,,"7,711.00","5,385.00",0.7,,,,,,,,,
,,2014 - 2015,"2,285.00","1,059.00",0.46,,,,"11,296.00","6,962.00",0.62,,,,,,,,,
,,2015 - 2016,75,37,0.49,,,,"8,960.00","2,758.00",0.31,,,,,,,,,
,,2016 - 2017,389,228,0.59,,,,"4,214.00","3,204.00",0.76,,,,,,,,,
,,2017 - 2018,"1,359.00","1,276.00",0.94,,,,"4,122.00","2,823.00",0.68,,,,,,,,,
,,2018 - 2019,153,69,0.45,,,,"2,325.00","1,068.00",0.46,,,,,,,,,
,,2019 - 2020,"2,943.00","2,060.00",0.7,,,,"2,742.00","1,803.00",0.66,,,,,,,,,
,,2020 - 2021,"3,308.00","2,646.00",0.8,,,,"2,254.00",735,0.33,,,,,,,,,
,,2021 - 2022,"6,016.00","4,921.00",0.82,,,,"2,492.00",646,0.26,,,,,,,,,
,,2022 - 2023,"5,122.00","4,994.00",0.98,,,,"1,819.00","1,424.00",0.78,,,,,,,,,
,15. Junagadh,2000 - 2001,,,,,,,"11,900.00","7,600.00",0.64,,,,,,,,,
,,2001 - 2002,,,,,,,"8,700.00","7,500.00",0.86,,,,,,,,,
,,2002 - 2003,,,,,,,"6,800.00","1,900.00",0.28,,,,,,,,,
,,2003 - 2004,,,,,,,"5,100.00","5,400.00",1.06,,,,,,,,,
,,2004 - 2005,,,,,,,"3,500.00","2,500.00",0.71,,,,,,,,,
,,2005 - 2006,,,,,,,"3,600.00","1,500.00",0.42,,,,,,,,,
,,2006 - 2007,,,,,,,"3,000.00",600,0.2,,,,,,,,,
,,2007 - 2008,,,,,,,"1,500.00",900,0.6,,,,,,,,,
,,2008 - 2009,,,,,,,"2,200.00",700,0.32,,,,,,,,,
,,2009 - 2010,,,,,,,"1,500.00",500,0.33,,,,,,,,,
,,2010 - 2011,"36,900.00","18,800.00",0.51,,,,"1,200.00",500,0.42,,,,,,,,,
,,2011 - 2012,"26,300.00","14,000.00",0.53,,,,600,300,0.5,,,,,,,,,
,,2012 - 2013,"1,100.00","55,900.00",50.82,,,,"1,000.00",200,0.2,,,,,,,,,
,,2013 - 2014,"34,550.00","17,922.00",0.52,,,,"2,280.00","1,192.00",0.52,,,,,,,,,
,,2014 - 2015,"20,420.00","10,725.00",0.53,,,,773,447,0.58,,,,,,,,,
,,2015 - 2016,755,390,0.52,,,,605,232,0.38,,,,,,,,,
,,2016 - 2017,"3,475.00","3,909.00",1.12,,,,459,245,0.53,,,,,,,,,
,,2017 - 2018,"4,853.00","4,853.00",1,,,,240,145,0.6,,,,,,,,,
,,2018 - 2019,"5,357.00","3,268.00",0.61,,,,346,160,0.46,,,,,,,,,
,,2019 - 2020,"13,927.00","14,345.00",1.03,,,,364,186,0.51,,,,,,,,,
,,2020 - 2021,"23,525.00","29,406.00",1.25,,,,260,48,0.18,,,,,,,,,
,,2021 - 2022,"22,495.00","24,520.00",1.09,,,,195,64,0.33,,,,,,,,,
,,2022 - 2023,"29,361.00","32,884.00",1.12,,,,262,133,0.51,,,,,,,,,
,16. Kachchh,2000 - 2001,,,,,,,"25,200.00","6,000.00",0.24,,,,,,,,,
,,2001 - 2002,,,,,,,"26,600.00","13,200.00",0.5,,,,,,,,,
,,2002 - 2003,,,,,,,"16,100.00","3,100.00",0.19,,,,,,,,,
,,2003 - 2004,,,,,,,"41,700.00","25,100.00",0.6,,,,,,,,,
,,2004 - 2005,,,,,,,"32,200.00","15,100.00",0.47,,,,,,,,,
,,2005 - 2006,,,,,,,"32,500.00","17,000.00",0.52,,,,,,,,,
,,2006 - 2007,,,,,,,"40,900.00","20,500.00",0.5,,,,,,,,,
,,2007 - 2008,,,,,,,"42,300.00","21,300.00",0.5,,,,,,,,,
,,2008 - 2009,,,,,,,"24,900.00","9,200.00",0.37,,,,,,,,,
,,2009 - 2010,,,,,,,"39,200.00","19,500.00",0.5,,,,,,,,,
,,2010 - 2011,800,400,0.5,,,,"47,500.00","18,000.00",0.38,,,,,,,,,
,,2011 - 2012,200,100,0.5,,,,"31,500.00","13,700.00",0.43,,,,,,,,,
,,2012 - 2013,200,"9,500.00",47.5,,,,"24,200.00","9,100.00",0.38,,,,,,,,,
,,2013 - 2014,160,80,0.5,,,,"24,191.00","10,871.00",0.45,,,,,,,,,
,,2014 - 2015,81,41,0.51,,,,"31,584.00","16,357.00",0.52,,,,,,,,,
,,2015 - 2016,211,107,0.51,,,,"54,697.00","12,914.00",0.24,,,,,,,,,
,,2016 - 2017,277,207,0.75,,,,"48,357.00","24,396.00",0.5,,,,,,,,,
,,2017 - 2018,413,309,0.75,,,,"49,532.00","28,530.00",0.58,,,,,,,,,
,,2018 - 2019,490,196,0.4,,,,"16,335.00","4,248.00",0.26,,,,,,,,,
,,2019 - 2020,"1,011.00",556,0.55,,,,"55,310.00","29,272.00",0.53,,,,,,,,,
,,2020 - 2021,"2,454.00","1,350.00",0.55,,,,"63,066.00","14,577.00",0.23,,,,,,,,,
,,2021 - 2022,"1,491.00",850,0.57,,,,"41,664.00","14,309.00",0.34,,,,,,,,,
,,2022 - 2023,"1,863.00",989,0.53,,,,"34,897.00","15,949.00",0.46,,,,,,,,,
,17. Kheda,2000 - 2001,,,,,,,"8,800.00","8,600.00",0.98,,,,,,,,,
,,2001 - 2002,,,,,,,"16,000.00","9,300.00",0.58,,,,,,,,,
,,2002 - 2003,,,,,,,"9,400.00","6,400.00",0.68,,,,,,,,,
,,2003 - 2004,,,,,,,"10,300.00","5,100.00",0.5,,,,,,,,,
,,2004 - 2005,,,,,,,"8,700.00","2,600.00",0.3,,,,,,,,,
,,2005 - 2006,,,,,,,"6,300.00","2,300.00",0.37,,,,,,,,,
,,2006 - 2007,,,,,,,"4,400.00",400,0.09,,,,,,,,,
,,2007 - 2008,,,,,,,"4,400.00","1,000.00",0.23,,,,,,,,,
,,2008 - 2009,,,,,,,"6,000.00","1,400.00",0.23,,,,,,,,,
,,2009 - 2010,,,,,,,"4,700.00","1,400.00",0.3,,,,,,,,,
,,2010 - 2011,,,,,,,"1,800.00",500,0.28,,,,,,,,,
,,2011 - 2012,,,,,,,"2,300.00",300,0.13,,,,,,,,,
,,2012 - 2013,,,,,,,"1,300.00",300,0.23,,,,,,,,,
,,2013 - 2014,378,188,0.5,,,,721,150,0.21,,,,,,,,,
,,2014 - 2015,597,297,0.5,,,,503,291,0.58,,,,,,,,,
,,2015 - 2016,332,165,0.5,,,,831,319,0.38,,,,,,,,,
,,2016 - 2017,254,126,0.5,,,,"1,024.00",547,0.53,,,,,,,,,
,,2017 - 2018,42,20,0.48,,,,413,250,0.61,,,,,,,,,
,,2018 - 2019,42,29,0.69,,,,263,121,0.46,,,,,,,,,
,,2019 - 2020,67,47,0.7,,,,385,197,0.51,,,,,,,,,
,,2020 - 2021,112,56,0.5,,,,429,80,0.19,,,,,,,,,
,,2021 - 2022,169,106,0.63,,,,413,137,0.33,,,,,,,,,
,,2022 - 2023,241,140,0.58,,,,377,192,0.51,,,,,,,,,
,18. Mahesana,2000 - 2001,,,,,,,"8,400.00","3,000.00",0.36,,,,,,,,,
,,2001 - 2002,,,,,,,"14,300.00","4,400.00",0.31,,,,,,,,,
,,2002 - 2003,,,,,,,"15,800.00","8,400.00",0.53,,,,,,,,,
,,2003 - 2004,,,,,,,"12,900.00","6,500.00",0.5,,,,,,,,,
,,2004 - 2005,,,,,,,"12,900.00","5,100.00",0.4,,,,,,,,,
,,2005 - 2006,,,,,,,"12,300.00","4,400.00",0.36,,,,,,,,,
,,2006 - 2007,,,,,,,"14,800.00","2,300.00",0.16,,,,,,,,,
,,2007 - 2008,,,,,,,"14,000.00","5,600.00",0.4,,,,,,,,,
,,2008 - 2009,,,,,,,"10,800.00","4,900.00",0.45,,,,,,,,,
,,2009 - 2010,,,,,,,"9,300.00","3,900.00",0.42,,,,,,,,,
,,2010 - 2011,,,,,,,"8,200.00","2,900.00",0.35,,,,,,,,,
,,2011 - 2012,,,,,,,"6,900.00","2,400.00",0.35,,,,,,,,,
,,2012 - 2013,,,,,,,"3,800.00","1,300.00",0.34,,,,,,,,,
,,2013 - 2014,28,,0,,,,"4,493.00","1,560.00",0.35,,,,,,,,,
,,2014 - 2015,186,93,0.5,,,,"2,922.00",956,0.33,,,,,,,,,
,,2015 - 2016,62,31,0.5,,,,"2,899.00",520,0.18,,,,,,,,,
,,2016 - 2017,66,34,0.52,,,,"4,046.00","1,509.00",0.37,,,,,,,,,
,,2017 - 2018,167,91,0.54,,,,"2,833.00","1,998.00",0.71,,,,,,,,,
,,2018 - 2019,314,151,0.48,,,,"1,518.00",636,0.42,,,,,,,,,
,,2019 - 2020,536,295,0.55,,,,"1,658.00",721,0.43,,,,,,,,,
,,2020 - 2021,350,175,0.5,,,,"1,760.00",400,0.23,,,,,,,,,
,,2021 - 2022,713,385,0.54,,,,"1,841.00",609,0.33,,,,,,,,,
,,2022 - 2023,420,357,0.85,,,,"1,386.00",723,0.52,,,,,,,,,
,19. Mahisagar,2014 - 2015,205,98,0.48,,,,"1,418.00",820,0.58,,,,,,,,,
,,2015 - 2016,,,,,,,932,358,0.38,,,,,,,,,
,,2016 - 2017,,,,,,,635,339,0.53,,,,,,,,,
,,2017 - 2018,,,,,,,454,275,0.61,,,,,,,,,
,,2018 - 2019,,,,,,,382,176,0.46,,,,,,,,,
,,2019 - 2020,,,,,,,93,48,0.52,,,,,,,,,
,,2020 - 2021,,,,,,,232,43,0.19,,,,,,,,,
,,2021 - 2022,,,,,,,142,47,0.33,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,24,12,0.5,,,,,,,,,
,20. Morbi,2014 - 2015,490,257,0.52,,,,20,12,0.6,,,,,,,,,
,,2015 - 2016,,,,,,,128,49,0.38,,,,,,,,,
,,2016 - 2017,621,745,1.2,,,,225,120,0.53,,,,,,,,,
,,2017 - 2018,"2,167.00","2,579.00",1.19,,,,65,39,0.6,,,,,,,,,
,,2018 - 2019,"1,134.00","1,474.00",1.3,,,,40,18,0.45,,,,,,,,,
,,2019 - 2020,"2,858.00","1,715.00",0.6,,,,40,20,0.5,,,,,,,,,
,,2020 - 2021,"10,535.00","12,905.00",1.22,,,,65,12,0.18,,,,,,,,,
,,2021 - 2022,"4,269.00","2,903.00",0.68,,,,"5,987.00","2,582.00",0.43,,,,,,,,,
,,2022 - 2023,"13,233.00","11,499.00",0.87,,,,"2,132.00","1,163.00",0.55,,,,,,,,,
,21. Narmada,2003 - 2004,,,,,,,700,400,0.57,,,,,,,,,
,,2004 - 2005,,,,,,,400,100,0.25,,,,,,,,,
,,2005 - 2006,,,,,,,200,100,0.5,,,,,,,,,
,,2006 - 2007,,,,,,,200,100,0.5,,,,,,,,,
,,2007 - 2008,,,,,,,100,100,1,,,,,,,,,
,,2008 - 2009,,,,,,,400,100,0.25,,,,,,,,,
,,2009 - 2010,,,,,,,100,100,1,,,,,,,,,
,,2011 - 2012,,,,,,,100,100,1,,,,,,,,,
,,2012 - 2013,100,"23,500.00",235,,,,200,100,0.5,,,,,,,,,
,,2013 - 2014,138,95,0.69,,,,74,39,0.53,,,,,,,,,
,,2014 - 2015,224,88,0.39,,,,55,32,0.58,,,,,,,,,
,,2015 - 2016,226,85,0.38,,,,,,,,,,,,,,,
,,2016 - 2017,47,18,0.38,,,,,,,,,,,,,,,
,,2017 - 2018,21,8,0.38,,,,,,,,,,,,,,,
,,2018 - 2019,104,40,0.38,,,,2,1,0.5,,,,,,,,,
,,2019 - 2020,17,6,0.35,,,,61,31,0.51,,,,,,,,,
,,2020 - 2021,,,,,,,10,2,0.2,,,,,,,,,
,,2021 - 2022,64,24,0.38,,,,11,4,0.36,,,,,,,,,
,,2022 - 2023,223,86,0.39,,,,11,6,0.55,,,,,,,,,
,22. Navsari,2010 - 2011,100,100,1,,,,,,,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,,,,,,,
,23. Panch mahals,2000 - 2001,,,,,,,800,200,0.25,,,,,,,,,
,,2001 - 2002,,,,,,,"1,700.00","1,000.00",0.59,,,,,,,,,
,,2002 - 2003,,,,,,,"2,500.00",900,0.36,,,,,,,,,
,,2003 - 2004,,,,,,,"1,700.00","1,000.00",0.59,,,,,,,,,
,,2004 - 2005,,,,,,,"1,800.00",600,0.33,,,,,,,,,
,,2005 - 2006,,,,,,,"1,700.00",700,0.41,,,,,,,,,
,,2006 - 2007,,,,,,,"1,400.00",300,0.21,,,,,,,,,
,,2007 - 2008,,,,,,,"1,300.00",600,0.46,,,,,,,,,
,,2008 - 2009,,,,,,,"1,700.00",500,0.29,,,,,,,,,
,,2009 - 2010,,,,,,,"1,700.00",600,0.35,,,,,,,,,
,,2010 - 2011,100,100,1,,,,"1,700.00",700,0.41,,,,,,,,,
,,2011 - 2012,700,300,0.43,,,,"1,200.00",600,0.5,,,,,,,,,
,,2012 - 2013,300,"12,800.00",42.67,,,,"2,100.00",500,0.24,,,,,,,,,
,,2013 - 2014,485,241,0.5,,,,"1,525.00",798,0.52,,,,,,,,,
,,2014 - 2015,454,210,0.46,,,,956,553,0.58,,,,,,,,,
,,2015 - 2016,310,150,0.48,,,,444,170,0.38,,,,,,,,,
,,2016 - 2017,308,123,0.4,,,,355,190,0.54,,,,,,,,,
,,2017 - 2018,104,42,0.4,,,,358,217,0.61,,,,,,,,,
,,2018 - 2019,177,122,0.69,,,,95,44,0.46,,,,,,,,,
,,2019 - 2020,154,82,0.53,,,,42,21,0.5,,,,,,,,,
,,2020 - 2021,266,173,0.65,,,,78,15,0.19,,,,,,,,,
,,2021 - 2022,325,192,0.59,,,,46,15,0.33,,,,,,,,,
,,2022 - 2023,168,109,0.65,,,,24,12,0.5,,,,,,,,,
,24. Patan,2003 - 2004,,,,,,,"4,200.00","2,500.00",0.6,,,,,,,,,
,,2004 - 2005,,,,,,,"3,700.00","1,100.00",0.3,,,,,,,,,
,,2005 - 2006,,,,,,,"5,500.00","2,100.00",0.38,,,,,,,,,
,,2006 - 2007,,,,,,,"6,500.00","1,300.00",0.2,,,,,,,,,
,,2007 - 2008,,,,,,,"6,000.00","2,600.00",0.43,,,,,,,,,
,,2008 - 2009,,,,,,,"6,300.00","2,000.00",0.32,,,,,,,,,
,,2009 - 2010,,,,,,,"7,700.00","1,500.00",0.19,,,,,,,,,
,,2010 - 2011,,,,,,,"3,800.00","1,600.00",0.42,,,,,,,,,
,,2011 - 2012,,,,,,,"2,900.00","1,900.00",0.66,,,,,,,,,
,,2012 - 2013,,,,,,,"2,600.00","1,100.00",0.42,,,,,,,,,
,,2013 - 2014,,,,,,,"2,004.00","1,230.00",0.61,,,,,,,,,
,,2014 - 2015,7,3,0.43,,,,"1,416.00",420,0.3,,,,,,,,,
,,2015 - 2016,,,,,,,425,99,0.23,,,,,,,,,
,,2016 - 2017,,,,,,,883,526,0.6,,,,,,,,,
,,2017 - 2018,,,,,,,"2,298.00","1,392.00",0.61,,,,,,,,,
,,2018 - 2019,3,,0,,,,"1,057.00",488,0.46,,,,,,,,,
,,2019 - 2020,44,40,0.91,,,,826,261,0.32,,,,,,,,,
,,2020 - 2021,,,,,,,"1,112.00",46,0.04,,,,,,,,,
,,2021 - 2022,,,,,,,"1,422.00",470,0.33,,,,,,,,,
,,2022 - 2023,,,,,,,935,475,0.51,,,,,,,,,
,25. Porbandar,2003 - 2004,,,,,,,900,600,0.67,,,,,,,,,
,,2004 - 2005,,,,,,,600,200,0.33,,,,,,,,,
,,2005 - 2006,,,,,,,700,300,0.43,,,,,,,,,
,,2006 - 2007,,,,,,,600,200,0.33,,,,,,,,,
,,2007 - 2008,,,,,,,200,100,0.5,,,,,,,,,
,,2008 - 2009,,,,,,,200,100,0.5,,,,,,,,,
,,2010 - 2011,"4,600.00","2,400.00",0.52,,,,200,100,0.5,,,,,,,,,
,,2011 - 2012,"2,700.00","1,200.00",0.44,,,,500,200,0.4,,,,,,,,,
,,2012 - 2013,,,,,,,400,100,0.25,,,,,,,,,
,,2013 - 2014,,,,,,,305,160,0.52,,,,,,,,,
,,2014 - 2015,567,252,0.44,,,,550,318,0.58,,,,,,,,,
,,2015 - 2016,,,,,,,70,27,0.39,,,,,,,,,
,,2016 - 2017,470,411,0.87,,,,"1,005.00",537,0.53,,,,,,,,,
,,2017 - 2018,120,132,1.1,,,,380,230,0.61,,,,,,,,,
,,2019 - 2020,"4,580.00","4,122.00",0.9,,,,25,13,0.52,,,,,,,,,
,,2020 - 2021,"2,600.00","2,210.00",0.85,,,,360,67,0.19,,,,,,,,,
,,2021 - 2022,"2,995.00","3,543.00",1.18,,,,315,104,0.33,,,,,,,,,
,,2022 - 2023,"3,610.00","3,430.00",0.95,,,,,,,,,,,,,,,
,26. Rajkot,2000 - 2001,,,,,,,"47,600.00","15,700.00",0.33,,,,,,,,,
,,2001 - 2002,,,,,,,"60,700.00","41,600.00",0.69,,,,,,,,,
,,2002 - 2003,,,,,,,"43,800.00","11,200.00",0.26,,,,,,,,,
,,2003 - 2004,,,,,,,"38,700.00","20,700.00",0.53,,,,,,,,,
,,2004 - 2005,,,,,,,"33,500.00","7,200.00",0.21,,,,,,,,,
,,2005 - 2006,,,,,,,"31,400.00","13,300.00",0.42,,,,,,,,,
,,2006 - 2007,,,,,,,"20,100.00","3,800.00",0.19,,,,,,,,,
,,2007 - 2008,,,,,,,"18,100.00","7,700.00",0.43,,,,,,,,,
,,2008 - 2009,,,,,,,"16,600.00","5,600.00",0.34,,,,,,,,,
,,2009 - 2010,,,,,,,"19,700.00","8,000.00",0.41,,,,,,,,,
,,2010 - 2011,"9,700.00","4,700.00",0.48,,,,"19,600.00","4,300.00",0.22,,,,,,,,,
,,2011 - 2012,"6,400.00","3,100.00",0.48,,,,"24,200.00","4,900.00",0.2,,,,,,,,,
,,2012 - 2013,200,"9,900.00",49.5,,,,"20,900.00",200,0.01,,,,,,,,,
,,2013 - 2014,"12,467.00","6,044.00",0.48,,,,"6,283.00","4,078.00",0.65,,,,,,,,,
,,2014 - 2015,"1,160.00",562,0.48,,,,688,255,0.37,,,,,,,,,
,,2015 - 2016,285,141,0.49,,,,483,82,0.17,,,,,,,,,
,,2016 - 2017,"1,040.00",873,0.84,,,,"1,694.00",905,0.53,,,,,,,,,
,,2017 - 2018,"1,165.00","1,645.00",1.41,,,,"1,197.00",725,0.61,,,,,,,,,
,,2018 - 2019,773,490,0.63,,,,"1,120.00",517,0.46,,,,,,,,,
,,2019 - 2020,"6,854.00","9,973.00",1.46,,,,"1,668.00",854,0.51,,,,,,,,,
,,2020 - 2021,"5,885.00","6,768.00",1.15,,,,"1,780.00",332,0.19,,,,,,,,,
,,2021 - 2022,"7,281.00","9,953.00",1.37,,,,"2,216.00",733,0.33,,,,,,,,,
,,2022 - 2023,"4,995.00","6,838.00",1.37,,,,"1,295.00",658,0.51,,,,,,,,,
,27. Sabar kantha,2000 - 2001,,,,,,,"5,500.00","1,900.00",0.35,,,,,,,,,
,,2001 - 2002,,,,,,,"7,700.00","2,500.00",0.32,,,,,,,,,
,,2002 - 2003,,,,,,,"9,400.00","4,900.00",0.52,,,,,,,,,
,,2003 - 2004,,,,,,,"8,700.00","3,800.00",0.44,,,,,,,,,
,,2004 - 2005,,,,,,,"7,200.00","2,200.00",0.31,,,,,,,,,
,,2005 - 2006,,,,,,,"8,000.00","3,000.00",0.38,,,,,,,,,
,,2006 - 2007,,,,,,,"6,200.00",300,0.05,,,,,,,,,
,,2007 - 2008,,,,,,,"4,500.00","1,000.00",0.22,,,,,,,,,
,,2008 - 2009,,,,,,,"2,500.00",600,0.24,,,,,,,,,
,,2009 - 2010,,,,,,,"2,400.00",800,0.33,,,,,,,,,
,,2010 - 2011,200,100,0.5,,,,"2,300.00","1,300.00",0.57,,,,,,,,,
,,2011 - 2012,,,,,,,"1,400.00",400,0.29,,,,,,,,,
,,2012 - 2013,,,,,,,"1,700.00",400,0.24,,,,,,,,,
,,2013 - 2014,260,106,0.41,,,,910,86,0.09,,,,,,,,,
,,2014 - 2015,375,130,0.35,,,,495,286,0.58,,,,,,,,,
,,2015 - 2016,295,112,0.38,,,,848,326,0.38,,,,,,,,,
,,2016 - 2017,129,63,0.49,,,,650,347,0.53,,,,,,,,,
,,2017 - 2018,59,23,0.39,,,,241,146,0.61,,,,,,,,,
,,2018 - 2019,16,6,0.38,,,,86,40,0.47,,,,,,,,,
,,2019 - 2020,50,30,0.6,,,,136,70,0.51,,,,,,,,,
,,2020 - 2021,475,238,0.5,,,,77,14,0.18,,,,,,,,,
,,2021 - 2022,196,105.8,0.54,,,,85,28,0.33,,,,,,,,,
,,2022 - 2023,228,160,0.7,,,,65,33,0.51,,,,,,,,,
,28. Surat,2000 - 2001,,,,,,,100,,0,,,,,,,,,
,,2001 - 2002,,,,,,,100,100,1,,,,,,,,,
,,2002 - 2003,,,,,,,200,100,0.5,,,,,,,,,
,,2003 - 2004,,,,,,,300,200,0.67,,,,,,,,,
,,2004 - 2005,,,,,,,200,100,0.5,,,,,,,,,
,,2005 - 2006,,,,,,,100,100,1,,,,,,,,,
,,2007 - 2008,,,,,,,100,100,1,,,,,,,,,
,,2010 - 2011,400,200,0.5,,,,"1,300.00",600,0.46,,,,,,,,,
,,2011 - 2012,300,200,0.67,,,,100,100,1,,,,,,,,,
,,2013 - 2014,57,33,0.58,,,,55,29,0.53,,,,,,,,,
,,2014 - 2015,183,119,0.65,,,,49,28,0.57,,,,,,,,,
,,2015 - 2016,253,155,0.61,,,,49,19,0.39,,,,,,,,,
,,2016 - 2017,194,84,0.43,,,,85,45,0.53,,,,,,,,,
,,2017 - 2018,169,75,0.44,,,,83,50,0.6,,,,,,,,,
,,2018 - 2019,281,192,0.68,,,,31,14,0.45,,,,,,,,,
,,2019 - 2020,406,276,0.68,,,,29,15,0.52,,,,,,,,,
,,2020 - 2021,367,239,0.65,,,,25,5,0.2,,,,,,,,,
,,2021 - 2022,"1,919.00","1,516.00",0.79,,,,60,20,0.33,,,,,,,,,
,,2022 - 2023,"2,031.00","1,381.00",0.68,,,,47,24,0.51,,,,,,,,,
,29. Surendranagar,2000 - 2001,,,,,,,"78,500.00","21,000.00",0.27,,,,,,,,,
,,2001 - 2002,,,,,,,"82,000.00","46,600.00",0.57,,,,,,,,,
,,2002 - 2003,,,,,,,"87,900.00","18,500.00",0.21,,,,,,,,,
,,2003 - 2004,,,,,,,"1,13,900.00","74,900.00",0.66,,,,,,,,,
,,2004 - 2005,,,,,,,"1,01,500.00","35,300.00",0.35,,,,,,,,,
,,2005 - 2006,,,,,,,"1,01,600.00","32,200.00",0.32,,,,,,,,,
,,2006 - 2007,,,,,,,"88,900.00","34,700.00",0.39,,,,,,,,,
,,2007 - 2008,,,,,,,"88,200.00","48,200.00",0.55,,,,,,,,,
,,2008 - 2009,,,,,,,"76,600.00","23,400.00",0.31,,,,,,,,,
,,2009 - 2010,,,,,,,"60,700.00","20,300.00",0.33,,,,,,,,,
,,2010 - 2011,"2,200.00","1,100.00",0.5,,,,"49,700.00","20,400.00",0.41,,,,,,,,,
,,2011 - 2012,"3,900.00","1,900.00",0.49,,,,"37,100.00","24,300.00",0.65,,,,,,,,,
,,2012 - 2013,700,"36,900.00",52.71,,,,"27,600.00","7,200.00",0.26,,,,,,,,,
,,2013 - 2014,"17,195.00","8,543.00",0.5,,,,"28,583.00","14,612.00",0.51,,,,,,,,,
,,2014 - 2015,"13,576.00","6,735.00",0.5,,,,"27,157.00","14,659.00",0.54,,,,,,,,,
,,2015 - 2016,"4,790.00","2,451.00",0.51,,,,"18,265.00","4,765.00",0.26,,,,,,,,,
,,2016 - 2017,"6,220.00","3,172.00",0.51,,,,"13,281.00","6,108.00",0.46,,,,,,,,,
,,2017 - 2018,"1,643.00",789,0.48,,,,"11,293.00","5,785.00",0.51,,,,,,,,,
,,2018 - 2019,"5,440.00","2,720.00",0.5,,,,"15,844.00","6,616.00",0.42,,,,,,,,,
,,2019 - 2020,"9,302.00","6,000.00",0.65,,,,"15,163.00","7,730.00",0.51,,,,,,,,,
,,2020 - 2021,"32,272.00","17,750.00",0.55,,,,"32,109.00","3,007.00",0.09,,,,,,,,,
,,2021 - 2022,"17,937.00","11,300.00",0.63,,,,"14,798.00","3,911.00",0.26,,,,,,,,,
