State,District,Year,Sesamum,,,,,,,,,,,,,,,,,
,,,Summer,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. North and middle andaman,2011 - 2012,43.5,21.6,0.5,,,,,,,,,,,,,,,
,,2001 - 2002,,,,100,25,0.25,"7,695.00","1,293.00",0.17,,,,,,,,,
,,2002 - 2003,,,,83,15,0.18,"6,345.00",609,0.1,,,,,,,,,
,,2003 - 2004,,,,"1,271.00",262,0.21,"16,291.00","4,773.00",0.29,,,,,,,,,
,,2004 - 2005,,,,805,190,0.24,"8,839.00","3,323.00",0.38,,,,,,,,,
,,2005 - 2006,,,,363,83,0.23,"4,263.00",499,0.12,,,,,,,,,
,,2006 - 2007,,,,83,16,0.19,"2,037.00",568,0.28,,,,,,,,,
,,2007 - 2008,,,,,,,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2008 - 2009,,,,35,6,0.17,501,180,0.36,,,,,,,,,
,,2009 - 2010,,,,15,3,0.2,"1,951.00","1,077.00",0.55,,,,,,,,,
,,2010 - 2011,,,,621,142,0.23,"6,130.00",736,0.12,,,,,,,,,
,,2011 - 2012,,,,"1,312.00",283,0.22,"2,532.00","1,152.00",0.45,,,,,,,,,
,,2012 - 2013,,,,"2,000.00",,0,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2013 - 2014,,,,"1,132.00",238,0.21,"5,672.00","4,441.00",0.78,,,,,,,,,
,,2014 - 2015,,,,"1,380.00",261,0.19,"1,483.00",449,0.3,,,,,,,,,
,,2015 - 2016,,,,457,140,0.31,"3,194.00",479,0.15,,,,,,,,,
,,2016 - 2017,,,,40,8,0.2,"2,529.00","1,085.00",0.43,,,,,,,,,
,,2017 - 2018,,,,298,160,0.54,"1,394.00",526,0.38,,,,,,,,,
,,2018 - 2019,,,,196,52,0.27,"1,930.00",840,0.44,,,,,,,,,
,,2019 - 2020,,,,144,56,0.39,571,263,0.46,,,,,,,,,
,,2020 - 2021,,,,361,184,0.51,595,202,0.34,,,,,,,,,
,,2021 - 2022,,,,583,286,0.49,144,42,0.29,,,,,,,,,
,,2022 - 2023,,,,9,3,0.33,2,0.35,0.18,,,,,,,,,
,10. Kadapa,2000 - 2001,,,,"3,795.00",793,0.21,390,90,0.23,,,,,,,,,
,,2001 - 2002,,,,"4,240.00","2,056.00",0.48,38,6,0.16,,,,,,,,,
,,2002 - 2003,,,,"3,003.00",973,0.32,175,17,0.1,,,,,,,,,
,,2003 - 2004,,,,"3,772.00",668,0.18,355,104,0.29,,,,,,,,,
