State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,382,378,0.99,35,58,1.66,,,,,,,,,,,,
,,2005 - 2006,379,344,0.91,56,106,1.89,,,,,,,,,,,,
,,2006 - 2007,358,330,0.92,32,56,1.75,,,,,,,,,,,,
,,2008 - 2009,552,503,0.91,115,190,1.65,,,,,,,,,,,,
,,2009 - 2010,708,707,1,4,7,1.75,,,,,,,,,,,,
,,2010 - 2011,81,82,1.01,14,20,1.43,,,,,,,,,,,,
,,2011 - 2012,190,135,0.71,,,,,,,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,,,,,,,
,,2013 - 2014,"1,194.00","1,005.00",0.84,,,,,,,,,,,,,,,
,,2014 - 2015,406,387,0.95,6,9,1.5,,,,,,,,,,,,
,,2015 - 2016,225,191,0.85,,,,,,,,,,,,,,,
,,2016 - 2017,252,253,1,,,,,,,,,,,,,,,
,,2017 - 2018,295,291,0.99,,,,,,,,,,,,,,,
,,2018 - 2019,267,290,1.09,,,,,,,,,,,,,,,
,,2019 - 2020,139,119,0.86,,,,,,,,,,,,,,,
,,2020 - 2021,326,379,1.16,,,,,,,,,,,,,,,
,,2021 - 2022,316,276,0.87,,,,,,,,,,,,,,,
,8. Eluru,2022 - 2023,1,1,1,,,,,,,,,,,,,,,
,9. Guntur,2000 - 2001,,,,23,42,1.83,,,,,,,,,,,,
,,2001 - 2002,,,,8,15,1.88,,,,,,,,,,,,
,,2002 - 2003,,,,5,7,1.4,,,,,,,,,,,,
,,2004 - 2005,,,,11,18,1.64,,,,,,,,,,,,
,,2005 - 2006,,,,40,75,1.88,,,,,,,,,,,,
,,2011 - 2012,,,,114,173,1.52,,,,,,,,,,,,
,,2013 - 2014,6,5,0.83,320,460,1.44,,,,,,,,,,,,
