State,District,Year,Ragi,,,,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Autumn,,,Summer,,,Whole Year,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,"10,700.00","9,800.00",0.92,,,,,,,,,,,,,,,
,,2006 - 2007,"9,400.00","7,900.00",0.84,,,,,,,,,,,,,,,
,,2007 - 2008,"10,700.00","7,600.00",0.71,,,,,,,,,,,,,,,
,,2008 - 2009,"9,300.00","8,400.00",0.9,,,,,,,,,,,,,,,
,,2009 - 2010,"9,300.00","6,600.00",0.71,,,,,,,,,,,,,,,
,,2010 - 2011,"9,300.00","6,700.00",0.72,,,,,,,,,,,,,,,
,,2011 - 2012,"5,000.00","3,300.00",0.66,,,,,,,,,,,,,,,
,,2012 - 2013,"6,100.00","5,900.00",0.97,,,,,,,,,,,,,,,
,,2013 - 2014,"6,513.00","6,163.00",0.95,,,,,,,,,,,,,,,
,,2014 - 2015,"5,604.00","4,037.00",0.72,,,,,,,,,,,,,,,
,,2015 - 2016,"4,913.00","3,240.00",0.66,,,,,,,,,,,,,,,
,,2016 - 2017,"4,304.00","3,244.00",0.75,,,,,,,,,,,,,,,
,,2017 - 2018,"4,285.00","3,110.00",0.73,,,,,,,,,,,,,,,
,,2018 - 2019,"4,150.00","2,895.00",0.7,,,,,,,,,,,,,,,
,,2019 - 2020,"2,140.00","1,512.00",0.71,,,,,,,,,,,,,,,
,,2020 - 2021,"1,980.00","1,353.00",0.68,,,,,,,,,,,,,,,
,,2021 - 2022,"1,725.00","1,177.00",0.68,,,,,,,,,,,,,,,
,,2022 - 2023,"1,929.00","1,319.00",0.68,,,,,,,,,,,,,,,
7. Himachal Pradesh,1. Bilaspur,2007 - 2008,17,21,1.24,,,,,,,,,,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,6,6,1,,,,,,,,,,,,,,,
,2. Chamba,2005 - 2006,18,3,0.17,,,,,,,,,,,,,,,
,,2006 - 2007,17,12,0.71,,,,,,,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,,,,,,,
,,2008 - 2009,7,5,0.71,,,,,,,,,,,,,,,
,,2009 - 2010,6,3,0.5,,,,,,,,,,,,,,,
,,2010 - 2011,6,3,0.5,,,,,,,,,,,,,,,
,,2011 - 2012,11,7,0.64,,,,,,,,,,,,,,,
,,2012 - 2013,7,4,0.57,,,,,,,,,,,,,,,
,,2013 - 2014,5,3,0.6,,,,,,,,,,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,,,,,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,,,,,,,,,,
,,2016 - 2017,5,3,0.6,,,,,,,,,,,,,,,
,,2017 - 2018,5,4,0.8,,,,,,,,,,,,,,,
,,2018 - 2019,21,16,0.76,,,,,,,,,,,,,,,
,,2019 - 2020,22,22,1,,,,,,,,,,,,,,,
,3. Hamirpur,2005 - 2006,4,3,0.75,,,,,,,,,,,,,,,
,,2006 - 2007,7,7,1,,,,,,,,,,,,,,,
,4. Kangra,2005 - 2006,20,13,0.65,,,,,,,,,,,,,,,
,,2006 - 2007,9,9,1,,,,,,,,,,,,,,,
,,2007 - 2008,9,9,1,,,,,,,,,,,,,,,
,,2008 - 2009,6,6,1,,,,,,,,,,,,,,,
,,2009 - 2010,4,3,0.75,,,,,,,,,,,,,,,
,,2010 - 2011,5,3,0.6,,,,,,,,,,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,,,,,,,,,,
,,2012 - 2013,6,4,0.67,,,,,,,,,,,,,,,
,,2013 - 2014,4,3,0.75,,,,,,,,,,,,,,,
,,2014 - 2015,4,3,0.75,,,,,,,,,,,,,,,
,,2015 - 2016,4,3,0.75,,,,,,,,,,,,,,,
,,2016 - 2017,4,3,0.75,,,,,,,,,,,,,,,
,,2017 - 2018,4,4,1,,,,,,,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,,,,,,,
,,2019 - 2020,4,4,1,,,,,,,,,,,,,,,
,,2020 - 2021,67,54,0.81,,,,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,,,,
,5. Kinnaur,2005 - 2006,95,90,0.95,,,,,,,,,,,,,,,
,,2006 - 2007,109,115,1.06,,,,,,,,,,,,,,,
,,2007 - 2008,3,4,1.33,,,,,,,,,,,,,,,
,,2008 - 2009,21,21,1,,,,,,,,,,,,,,,
,,2009 - 2010,20,16,0.8,,,,,,,,,,,,,,,
,,2010 - 2011,20,16,0.8,,,,,,,,,,,,,,,
,,2011 - 2012,27,22,0.81,,,,,,,,,,,,,,,
,,2012 - 2013,20,19,0.95,,,,,,,,,,,,,,,
,,2013 - 2014,17,15,0.88,,,,,,,,,,,,,,,
,,2014 - 2015,17,15,0.88,,,,,,,,,,,,,,,
,,2015 - 2016,17,15,0.88,,,,,,,,,,,,,,,
,,2016 - 2017,17,15,0.88,,,,,,,,,,,,,,,
,,2017 - 2018,17,15,0.88,,,,,,,,,,,,,,,
,,2018 - 2019,10,8,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,10,10,1,,,,,,,,,,,,,,,
,6. Kullu,2005 - 2006,406,308,0.76,,,,,,,,,,,,,,,
,,2006 - 2007,408,272,0.67,,,,,,,,,,,,,,,
,,2007 - 2008,393,303,0.77,,,,,,,,,,,,,,,
,,2008 - 2009,240,201,0.84,,,,,,,,,,,,,,,
,,2009 - 2010,231,160,0.69,,,,,,,,,,,,,,,
,,2010 - 2011,220,158,0.72,,,,,,,,,,,,,,,
,,2011 - 2012,215,201,0.93,,,,,,,,,,,,,,,
,,2012 - 2013,245,186,0.76,,,,,,,,,,,,,,,
,,2013 - 2014,202,154,0.76,,,,,,,,,,,,,,,
,,2014 - 2015,200,148,0.74,,,,,,,,,,,,,,,
,,2015 - 2016,197,150,0.76,,,,,,,,,,,,,,,
,,2016 - 2017,195,149,0.76,,,,,,,,,,,,,,,
,,2017 - 2018,197,159,0.81,,,,,,,,,,,,,,,
,,2018 - 2019,219,195,0.89,,,,,,,,,,,,,,,
,,2019 - 2020,220,216,0.98,,,,,,,,,,,,,,,
,,2020 - 2021,70,70,1,,,,,,,,,,,,,,,
,,2021 - 2022,89,89,1,,,,,,,,,,,,,,,
,,2022 - 2023,82,82,1,,,,,,,,,,,,,,,
,7. Mandi,2005 - 2006,"1,182.00",825,0.7,,,,,,,,,,,,,,,
,,2006 - 2007,"1,063.00",981,0.92,,,,,,,,,,,,,,,
,,2008 - 2009,988,912,0.92,,,,,,,,,,,,,,,
,,2009 - 2010,902,802,0.89,,,,,,,,,,,,,,,
,,2010 - 2011,860,794,0.92,,,,,,,,,,,,,,,
,,2011 - 2012,891,996,1.12,,,,,,,,,,,,,,,
,,2012 - 2013,954,934,0.98,,,,,,,,,,,,,,,
,,2013 - 2014,787,770,0.98,,,,,,,,,,,,,,,
,,2014 - 2015,779,762,0.98,,,,,,,,,,,,,,,
,,2015 - 2016,701,654,0.93,,,,,,,,,,,,,,,
,,2016 - 2017,763,746,0.98,,,,,,,,,,,,,,,
,,2017 - 2018,701,686,0.98,,,,,,,,,,,,,,,
,,2018 - 2019,608,710,1.17,,,,,,,,,,,,,,,
,,2019 - 2020,615,744,1.21,,,,,,,,,,,,,,,
,,2021 - 2022,697,697,1,,,,,,,,,,,,,,,
,,2022 - 2023,683,683,1,,,,,,,,,,,,,,,
,8. Shimla,2005 - 2006,"1,335.00","2,001.00",1.5,,,,,,,,,,,,,,,
,,2006 - 2007,"1,004.00","1,524.00",1.52,,,,,,,,,,,,,,,
,,2007 - 2008,"1,147.00","1,934.00",1.69,,,,,,,,,,,,,,,
,,2008 - 2009,711,"1,080.00",1.52,,,,,,,,,,,,,,,
,,2009 - 2010,748,960,1.28,,,,,,,,,,,,,,,
,,2010 - 2011,725,950,1.31,,,,,,,,,,,,,,,
,,2011 - 2012,702,946,1.35,,,,,,,,,,,,,,,
,,2012 - 2013,792,"1,117.00",1.41,,,,,,,,,,,,,,,
,,2013 - 2014,653,675,1.03,,,,,,,,,,,,,,,
,,2014 - 2015,646,812,1.26,,,,,,,,,,,,,,,
,,2015 - 2016,639,902,1.41,,,,,,,,,,,,,,,
,,2016 - 2017,632,893,1.41,,,,,,,,,,,,,,,
,,2017 - 2018,639,900,1.41,,,,,,,,,,,,,,,
,,2018 - 2019,453,598,1.32,,,,,,,,,,,,,,,
,,2019 - 2020,460,647,1.41,,,,,,,,,,,,,,,
,,2020 - 2021,258,232,0.9,,,,,,,,,,,,,,,
,,2021 - 2022,133,120,0.9,,,,,,,,,,,,,,,
,,2022 - 2023,159,143,0.9,,,,,,,,,,,,,,,
,9. Sirmaur,2005 - 2006,263,166,0.63,,,,,,,,,,,,,,,
,,2006 - 2007,333,238,0.71,,,,,,,,,,,,,,,
,,2007 - 2008,275,217,0.79,,,,,,,,,,,,,,,
,,2008 - 2009,300,217,0.72,,,,,,,,,,,,,,,
,,2009 - 2010,297,160,0.54,,,,,,,,,,,,,,,
,,2010 - 2011,305,158,0.52,,,,,,,,,,,,,,,
,,2011 - 2012,326,270,0.83,,,,,,,,,,,,,,,
,,2012 - 2013,314,186,0.59,,,,,,,,,,,,,,,
,,2013 - 2014,259,154,0.59,,,,,,,,,,,,,,,
,,2014 - 2015,257,152,0.59,,,,,,,,,,,,,,,
,,2015 - 2016,254,150,0.59,,,,,,,,,,,,,,,
,,2016 - 2017,251,149,0.59,,,,,,,,,,,,,,,
,,2017 - 2018,254,150,0.59,,,,,,,,,,,,,,,
,,2018 - 2019,402,291,0.72,,,,,,,,,,,,,,,
,,2019 - 2020,420,411,0.98,,,,,,,,,,,,,,,
,,2020 - 2021,174,127,0.73,,,,,,,,,,,,,,,
,,2021 - 2022,202,147,0.73,,,,,,,,,,,,,,,
,,2022 - 2023,216,157,0.73,,,,,,,,,,,,,,,
,10. Solan,2020 - 2021,14,10,0.71,,,,,,,,,,,,,,,
,,2021 - 2022,9,7,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,9,7,0.78,,,,,,,,,,,,,,,
8. Jammu and Kashmir,1. Bandipora,2017 - 2018,59,35.4,0.6,,,,,,,,,,,,,,,
,,2018 - 2019,36,21.6,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,36,21.6,0.6,,,,,,,,,,,,,,,
,,2020 - 2021,36,21.6,0.6,,,,,,,,,,,,,,,
,2. Kargil,2017 - 2018,,,,"3,924.00","2,911.10",0.74,,,,,,,,,,,,
,,2018 - 2019,,,,"3,993.00","2,962.30",0.74,,,,,,,,,,,,
,3. Kishtwar,2017 - 2018,178,89.6,0.5,,,,,,,,,,,,,,,
,,2018 - 2019,123,61.5,0.5,,,,,,,,,,,,,,,
,,2019 - 2020,169,84.5,0.5,,,,,,,,,,,,,,,
,,2020 - 2021,160,80,0.5,,,,,,,,,,,,,,,
,4. Leh ladakh,2017 - 2018,,,,"4,562.00","1,813.70",0.4,,,,,,,,,,,,
,,2018 - 2019,,,,63,25,0.4,,,,,,,,,,,,
,5. Udhampur,2017 - 2018,1,0.6,0.6,,,,,,,,,,,,,,,
9. Jharkhand,1. Bokaro,2006 - 2007,,,,,,,223.28,265,1.19,,,,,,,,,
,,2007 - 2008,,,,,,,410.65,361,0.88,,,,,,,,,
,,2008 - 2009,,,,,,,"2,166.16","1,547.00",0.71,,,,,,,,,
,,2009 - 2010,,,,,,,"2,140.00","1,312.00",0.61,,,,,,,,,
,,2011 - 2012,,,,,,,137,177,1.29,,,,,,,,,
,,2012 - 2013,,,,,,,129,111,0.86,,,,,,,,,
,,2013 - 2014,,,,,,,116,88,0.76,,,,,,,,,
,,2014 - 2015,,,,,,,74,68,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,56,69,1.23,,,,,,,,,
,,2016 - 2017,,,,,,,121,74,0.61,,,,,,,,,
,,2019 - 2020,284,625,2.2,,,,,,,,,,,,,,,
,,2020 - 2021,205,451,2.2,,,,,,,,,,,,,,,
,,2021 - 2022,245,539,2.2,,,,,,,,,,,,,,,
,,2022 - 2023,265,583,2.2,,,,,,,,,,,,,,,
,2. Chatra,2006 - 2007,,,,,,,240.39,213,0.89,,,,,,,,,
,,2007 - 2008,,,,,,,310.21,304,0.98,,,,,,,,,
,,2008 - 2009,,,,,,,367.47,300,0.82,,,,,,,,,
,,2009 - 2010,,,,,,,353,216,0.61,,,,,,,,,
,,2011 - 2012,,,,,,,180,152,0.84,,,,,,,,,
,,2012 - 2013,,,,,,,169,121,0.72,,,,,,,,,
,,2013 - 2014,,,,,,,151,114,0.75,,,,,,,,,
,,2014 - 2015,,,,,,,155,143,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,155,70,0.45,,,,,,,,,
,,2016 - 2017,,,,,,,130,79,0.61,,,,,,,,,
,,2017 - 2018,75,107,1.43,,,,,,,,,,,,,,,
,,2018 - 2019,104,149,1.43,,,,,,,,,,,,,,,
,,2019 - 2020,732,"1,069.00",1.46,,,,,,,,,,,,,,,
,,2020 - 2021,"1,020.00","1,494.00",1.46,,,,,,,,,,,,,,,
,,2021 - 2022,"1,011.00","1,481.00",1.46,,,,,,,,,,,,,,,
,3. Deoghar,2006 - 2007,,,,,,,55.98,44,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,19.72,11,0.56,,,,,,,,,
,,2008 - 2009,,,,,,,22.51,17,0.76,,,,,,,,,
,,2009 - 2010,,,,,,,22,6,0.27,,,,,,,,,
,,2012 - 2013,,,,,,,9,8,0.89,,,,,,,,,
,,2014 - 2015,,,,,,,1,1,1,,,,,,,,,
,,2019 - 2020,35,18,0.51,,,,,,,,,,,,,,,
,,2020 - 2021,21,38,1.81,,,,,,,,,,,,,,,
,,2021 - 2022,23,18,0.78,,,,,,,,,,,,,,,
,,2022 - 2023,23,18,0.78,,,,,,,,,,,,,,,
,4. Dhanbad,2006 - 2007,,,,,,,37.59,45,1.2,,,,,,,,,
,,2007 - 2008,,,,,,,16.49,4,0.24,,,,,,,,,
,,2008 - 2009,,,,,,,11.03,3,0.27,,,,,,,,,
,,2009 - 2010,,,,,,,12,1,0.08,,,,,,,,,
,,2011 - 2012,,,,,,,2,,0,,,,,,,,,
,,2017 - 2018,292,201,0.69,,,,,,,,,,,,,,,
,,2018 - 2019,35,21,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,31,22,0.71,,,,,,,,,,,,,,,
,,2020 - 2021,33,23,0.7,,,,,,,,,,,,,,,
,,2021 - 2022,32,22,0.69,,,,,,,,,,,,,,,
,,2022 - 2023,65,39,0.6,,,,,,,,,,,,,,,
,5. Dumka,2006 - 2007,,,,,,,102.85,81,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,93.83,51,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,83.36,63,0.76,,,,,,,,,
,,2009 - 2010,,,,,,,55,15,0.27,,,,,,,,,
,,2011 - 2012,,,,,,,9,7,0.78,,,,,,,,,
,,2013 - 2014,,,,,,,6,5,0.83,,,,,,,,,
,,2014 - 2015,,,,,,,6,6,1,,,,,,,,,
,,2015 - 2016,,,,,,,7,5,0.71,,,,,,,,,
,,2016 - 2017,,,,,,,25,29,1.16,,,,,,,,,
,,2017 - 2018,"1,690.00","1,208.00",0.71,,,,,,,,,,,,,,,
,,2018 - 2019,"1,485.00","1,062.00",0.72,,,,,,,,,,,,,,,
,,2019 - 2020,"1,065.00",772,0.72,,,,,,,,,,,,,,,
,,2020 - 2021,"1,163.00",756,0.65,,,,,,,,,,,,,,,
,,2021 - 2022,147,96,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,,,,,,,,,,
,6. East singhbum,2006 - 2007,,,,,,,5.85,5,0.85,,,,,,,,,
,,2008 - 2009,,,,,,,4.98,4,0.8,,,,,,,,,
,,2020 - 2021,29,29,1,,,,,,,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,,,,,,,
,,2022 - 2023,41,41,1,,,,,,,,,,,,,,,
,7. Garhwa,2006 - 2007,,,,,,,566.14,437,0.77,,,,,,,,,
,,2007 - 2008,,,,,,,493.86,461,0.93,,,,,,,,,
,,2008 - 2009,,,,,,,487.04,281,0.58,,,,,,,,,
,,2009 - 2010,,,,,,,490,203,0.41,,,,,,,,,
,,2012 - 2013,,,,,,,485,254,0.52,,,,,,,,,
,,2013 - 2014,,,,,,,262,198,0.76,,,,,,,,,
,,2014 - 2015,,,,,,,257,237,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,240,127,0.53,,,,,,,,,
,,2016 - 2017,,,,,,,164,191,1.16,,,,,,,,,
,,2021 - 2022,30,38,1.27,,,,,,,,,,,,,,,
,8. Giridih,2002 - 2003,,,,,,,"3,247.35","1,211.26",0.37,,,,,,,,,
,,2003 - 2004,,,,,,,"7,227.08","3,035.37",0.42,,,,,,,,,
,,2004 - 2005,,,,,,,"2,258.60",923.76,0.41,,,,,,,,,
,,2005 - 2006,,,,,,,"2,258.60","1,852.05",0.82,,,,,,,,,
,,2006 - 2007,,,,,,,"2,073.88","2,609.00",1.26,,,,,,,,,
,,2007 - 2008,,,,,,,"2,135.15","3,719.00",1.74,,,,,,,,,
,,2008 - 2009,,,,,,,323.67,192,0.59,,,,,,,,,
,,2009 - 2010,,,,,,,"1,465.00",422,0.29,,,,,,,,,
,,2011 - 2012,,,,,,,"1,191.00",898,0.75,,,,,,,,,
,,2012 - 2013,,,,,,,"1,840.00",883,0.48,,,,,,,,,
,,2013 - 2014,,,,,,,"1,378.00",481,0.35,,,,,,,,,
,,2014 - 2015,,,,,,,"1,367.00",755,0.55,,,,,,,,,
,,2015 - 2016,,,,,,,"1,372.00",553,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,"1,094.00",452,0.41,,,,,,,,,
,,2019 - 2020,845,304,0.36,,,,,,,,,,,,,,,
,,2020 - 2021,"1,119.00",420,0.38,,,,,,,,,,,,,,,
,,2021 - 2022,"1,442.00",591,0.41,,,,,,,,,,,,,,,
,,2022 - 2023,637,264,0.41,,,,,,,,,,,,,,,
,9. Godda,2006 - 2007,,,,,,,198.54,157,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,194.46,105,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,22.5,17,0.76,,,,,,,,,
,,2009 - 2010,,,,,,,83,23,0.28,,,,,,,,,
,,2011 - 2012,,,,,,,106,84,0.79,,,,,,,,,
,,2012 - 2013,,,,,,,28,25,0.89,,,,,,,,,
,,2013 - 2014,,,,,,,28,21,0.75,,,,,,,,,
,,2014 - 2015,,,,,,,25,23,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,28,19,0.68,,,,,,,,,
,,2019 - 2020,120,131,1.09,,,,,,,,,,,,,,,
,,2020 - 2021,30,18,0.6,,,,,,,,,,,,,,,
,,2021 - 2022,800,600,0.75,,,,,,,,,,,,,,,
,,2022 - 2023,251,163,0.65,,,,,,,,,,,,,,,
,10. Gumla,2002 - 2003,,,,,,,"7,847.80","18,999.52",2.42,,,,,,,,,
,,2003 - 2004,,,,,,,"20,190.60","12,619.13",0.63,,,,,,,,,
,,2004 - 2005,,,,,,,"7,500.57","6,998.03",0.93,,,,,,,,,
,,2005 - 2006,,,,,,,"8,178.22","9,175.96",1.12,,,,,,,,,
,,2006 - 2007,,,,,,,"8,005.81","6,437.00",0.8,,,,,,,,,
,,2007 - 2008,,,,,,,"7,868.66","6,838.00",0.87,,,,,,,,,
,,2008 - 2009,,,,,,,"7,585.24","5,689.00",0.75,,,,,,,,,
,,2009 - 2010,,,,,,,"7,225.00","4,935.00",0.68,,,,,,,,,
,,2011 - 2012,,,,,,,"6,438.00","5,923.00",0.92,,,,,,,,,
,,2012 - 2013,,,,,,,"6,516.00","5,806.00",0.89,,,,,,,,,
,,2013 - 2014,,,,,,,"6,517.00","3,454.00",0.53,,,,,,,,,
,,2014 - 2015,,,,,,,"6,440.00","8,005.00",1.24,,,,,,,,,
,,2015 - 2016,,,,,,,"6,995.00","9,569.00",1.37,,,,,,,,,
,,2016 - 2017,,,,,,,"5,744.00","8,949.00",1.56,,,,,,,,,
,,2017 - 2018,"1,502.00","2,073.00",1.38,,,,,,,,,,,,,,,
,,2018 - 2019,"1,296.00","1,750.00",1.35,,,,,,,,,,,,,,,
,,2019 - 2020,"1,670.00","2,305.00",1.38,,,,,,,,,,,,,,,
,,2020 - 2021,"1,569.00","2,118.00",1.35,,,,,,,,,,,,,,,
,,2021 - 2022,"1,588.00","1,939.00",1.22,,,,,,,,,,,,,,,
,,2022 - 2023,"3,500.00","2,765.00",0.79,,,,,,,,,,,,,,,
,11. Hazaribagh,2002 - 2003,,,,,,,"1,853.22","1,866.19",1.01,,,,,,,,,
,,2003 - 2004,,,,,,,"3,434.22","3,657.44",1.06,,,,,,,,,
,,2004 - 2005,,,,,,,"1,144.77","1,260.39",1.1,,,,,,,,,
,,2005 - 2006,,,,,,,"1,029.21",875.86,0.85,,,,,,,,,
,,2006 - 2007,,,,,,,993.85,"1,051.00",1.06,,,,,,,,,
,,2007 - 2008,,,,,,,964.98,845,0.88,,,,,,,,,
,,2008 - 2009,,,,,,,812.2,981,1.21,,,,,,,,,
,,2009 - 2010,,,,,,,484,302,0.62,,,,,,,,,
,,2011 - 2012,,,,,,,669,566,0.85,,,,,,,,,
,,2012 - 2013,,,,,,,653,741,1.13,,,,,,,,,
,,2013 - 2014,,,,,,,736,852,1.16,,,,,,,,,
,,2014 - 2015,,,,,,,805,955,1.19,,,,,,,,,
,,2015 - 2016,,,,,,,803,672,0.84,,,,,,,,,
,,2016 - 2017,,,,,,,634,600,0.95,,,,,,,,,
,,2017 - 2018,"1,303.00",925,0.71,,,,,,,,,,,,,,,
,,2018 - 2019,242,172,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,187,129,0.69,,,,,,,,,,,,,,,
,,2020 - 2021,526,349,0.66,,,,,,,,,,,,,,,
,,2021 - 2022,"1,660.00","1,145.00",0.69,,,,,,,,,,,,,,,
,,2022 - 2023,994,686,0.69,,,,,,,,,,,,,,,
,12. Jamtara,2006 - 2007,,,,,,,107.37,85,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,97.93,53,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,29.9,23,0.77,,,,,,,,,
,,2009 - 2010,,,,,,,25,7,0.28,,,,,,,,,
,,2011 - 2012,,,,,,,41,32,0.78,,,,,,,,,
,,2012 - 2013,,,,,,,43,38,0.88,,,,,,,,,
,,2013 - 2014,,,,,,,103,778,7.55,,,,,,,,,
,,2014 - 2015,,,,,,,45,41,0.91,,,,,,,,,
,,2021 - 2022,100,150,1.5,,,,,,,,,,,,,,,
,,2022 - 2023,"1,002.00","1,002.00",1,,,,,,,,,,,,,,,
,13. Khunti,2008 - 2009,,,,,,,"2,581.37","2,388.00",0.93,,,,,,,,,
,,2009 - 2010,,,,,,,"3,635.00","1,850.00",0.51,,,,,,,,,
,,2011 - 2012,,,,,,,"3,097.00","2,344.00",0.76,,,,,,,,,
,,2012 - 2013,,,,,,,"2,799.00","2,382.00",0.85,,,,,,,,,
,,2013 - 2014,,,,,,,"3,252.00","2,836.00",0.87,,,,,,,,,
,,2014 - 2015,,,,,,,"3,230.00","2,597.00",0.8,,,,,,,,,
,,2015 - 2016,,,,,,,"3,252.00","2,481.00",0.76,,,,,,,,,
,,2016 - 2017,,,,,,,"2,778.00","2,331.00",0.84,,,,,,,,,
,,2017 - 2018,"3,335.00","6,337.00",1.9,,,,,,,,,,,,,,,
,,2018 - 2019,"2,013.00","2,375.00",1.18,,,,,,,,,,,,,,,
,,2019 - 2020,"1,689.00","1,520.00",0.9,,,,,,,,,,,,,,,
,,2020 - 2021,"5,217.00","4,695.00",0.9,,,,,,,,,,,,,,,
,,2021 - 2022,"1,500.00","1,350.00",0.9,,,,,,,,,,,,,,,
,,2022 - 2023,"1,566.00","1,411.00",0.9,,,,,,,,,,,,,,,
,14. Koderma,2002 - 2003,,,,,,,627.4,766.05,1.22,,,,,,,,,
,,2003 - 2004,,,,,,,"1,451.12","2,041.73",1.41,,,,,,,,,
,,2004 - 2005,,,,,,,144.48,158.49,1.1,,,,,,,,,
,,2005 - 2006,,,,,,,542.1,535.05,0.99,,,,,,,,,
,,2006 - 2007,,,,,,,838.8,285,0.34,,,,,,,,,
,,2007 - 2008,,,,,,,868.25,978,1.13,,,,,,,,,
,,2008 - 2009,,,,,,,553.89,374,0.68,,,,,,,,,
,,2009 - 2010,,,,,,,285,343,1.2,,,,,,,,,
,,2011 - 2012,,,,,,,330,351,1.06,,,,,,,,,
,,2012 - 2013,,,,,,,481,473,0.98,,,,,,,,,
,,2013 - 2014,,,,,,,450,407,0.9,,,,,,,,,
,,2014 - 2015,,,,,,,469,527,1.12,,,,,,,,,
,,2015 - 2016,,,,,,,395,428,1.08,,,,,,,,,
,,2016 - 2017,,,,,,,361,220,0.61,,,,,,,,,
,,2017 - 2018,642,385,0.6,,,,,,,,,,,,,,,
,,2018 - 2019,674,404,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,544,326,0.6,,,,,,,,,,,,,,,
,,2020 - 2021,582,349,0.6,,,,,,,,,,,,,,,
,,2021 - 2022,575,460,0.8,,,,,,,,,,,,,,,
,,2022 - 2023,582,466,0.8,,,,,,,,,,,,,,,
,15. Latehar,2004 - 2005,,,,,,,580.87,228.86,0.39,,,,,,,,,
,,2005 - 2006,,,,,,,464.28,269.28,0.58,,,,,,,,,
,,2006 - 2007,,,,,,,609.16,470,0.77,,,,,,,,,
,,2007 - 2008,,,,,,,591.14,639,1.08,,,,,,,,,
,,2008 - 2009,,,,,,,572.11,314,0.55,,,,,,,,,
,,2009 - 2010,,,,,,,561,246,0.44,,,,,,,,,
,,2011 - 2012,,,,,,,281,215,0.77,,,,,,,,,
,,2012 - 2013,,,,,,,462,206,0.45,,,,,,,,,
,,2013 - 2014,,,,,,,358,223,0.62,,,,,,,,,
,,2014 - 2015,,,,,,,339,171,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,341,379,1.11,,,,,,,,,
,,2016 - 2017,,,,,,,255,296,1.16,,,,,,,,,
,,2017 - 2018,275,311,1.13,,,,,,,,,,,,,,,
,,2018 - 2019,22,25,1.14,,,,,,,,,,,,,,,
,,2019 - 2020,327,376,1.15,,,,,,,,,,,,,,,
,,2020 - 2021,325,374,1.15,,,,,,,,,,,,,,,
,,2021 - 2022,476,545,1.14,,,,,,,,,,,,,,,
,,2022 - 2023,63,72,1.14,,,,,,,,,,,,,,,
,16. Lohardaga,2002 - 2003,,,,,,,"1,863.34","1,043.47",0.56,,,,,,,,,
,,2003 - 2004,,,,,,,"2,707.11","1,410.40",0.52,,,,,,,,,
,,2004 - 2005,,,,,,,"1,176.03",867.91,0.74,,,,,,,,,
,,2005 - 2006,,,,,,,"1,176.03",973.75,0.83,,,,,,,,,
,,2006 - 2007,,,,,,,"2,082.15","1,691.00",0.81,,,,,,,,,
,,2007 - 2008,,,,,,,"1,478.82","1,507.00",1.02,,,,,,,,,
,,2008 - 2009,,,,,,,"1,776.11","2,137.00",1.2,,,,,,,,,
,,2009 - 2010,,,,,,,"1,390.00","1,068.00",0.77,,,,,,,,,
,,2011 - 2012,,,,,,,"1,246.00","1,368.00",1.1,,,,,,,,,
,,2012 - 2013,,,,,,,"1,020.00",984,0.96,,,,,,,,,
,,2013 - 2014,,,,,,,990,812,0.82,,,,,,,,,
,,2014 - 2015,,,,,,,857,770,0.9,,,,,,,,,
