State,District,Year,Castor seed,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,197,62,0.31,,,,,,
,,2002 - 2003,167,52,0.31,,,,,,
,,2003 - 2004,108,34,0.31,,,,,,
,,2004 - 2005,20,7,0.35,,,,,,
,,2005 - 2006,19,6,0.32,,,,,,
,,2006 - 2007,37,11,0.3,,,,,,
,,2007 - 2008,11,4,0.36,,,,,,
,,2008 - 2009,12,4,0.33,,,,,,
,,2009 - 2010,11,4,0.36,,,,,,
,,2010 - 2011,10,3,0.3,,,,,,
,,2011 - 2012,9,4,0.44,,,,,,
,,2012 - 2013,9,4,0.44,,,,,,
,,2013 - 2014,10,5,0.5,,,,,,
,,2014 - 2015,7,3,0.43,,,,,,
,,2015 - 2016,7,3,0.43,,,,,,
,,2016 - 2017,7,3,0.43,,,,,,
,,2017 - 2018,6,3,0.5,,,,,,
,,2018 - 2019,4,2,0.5,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,
,,2020 - 2021,6,3,0.5,,,,,,
,,2021 - 2022,9,3,0.33,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,17. Kamrup metro,2005 - 2006,4,1,0.25,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2009 - 2010,3,1,0.33,,,,,,
,,2010 - 2011,3,1,0.33,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2014 - 2015,3,1,0.33,,,,,,
,,2015 - 2016,3,1,0.33,,,,,,
,18. Karbi anglong,2000 - 2001,526,214,0.41,,,,,,
,,2001 - 2002,530,215,0.41,,,,,,
,,2002 - 2003,534,216,0.4,,,,,,
,,2003 - 2004,548,222,0.41,,,,,,
,,2004 - 2005,556,225,0.4,,,,,,
,,2005 - 2006,556,225,0.4,,,,,,
,,2006 - 2007,565,229,0.41,,,,,,
,,2007 - 2008,565,229,0.41,,,,,,
,,2008 - 2009,577,234,0.41,,,,,,
,,2009 - 2010,581,236,0.41,,,,,,
,,2010 - 2011,391,159,0.41,,,,,,
,,2011 - 2012,403,202,0.5,,,,,,
,,2012 - 2013,410,217,0.53,,,,,,
,,2013 - 2014,426,167,0.39,,,,,,
,,2014 - 2015,433,246,0.57,,,,,,
,,2015 - 2016,438,172,0.39,,,,,,
,,2016 - 2017,390,152,0.39,,,,,,
,,2017 - 2018,378,148,0.39,,,,,,
,,2018 - 2019,362,143,0.4,,,,,,
,,2019 - 2020,389,154,0.4,,,,,,
,,2020 - 2021,215,85,0.4,,,,,,
,,2021 - 2022,205,81,0.4,,,,,,
,,2022 - 2023,219,87,0.4,,,,,,
,19. Karimganj,2012 - 2013,1,1,1,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,1,1,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,20. Kokrajhar,2000 - 2001,77,34,0.44,,,,,,
,,2001 - 2002,80,36,0.45,,,,,,
,,2002 - 2003,82,37,0.45,,,,,,
,,2003 - 2004,81,36,0.44,,,,,,
,,2004 - 2005,75,34,0.45,,,,,,
,,2005 - 2006,63,27,0.43,,,,,,
,,2006 - 2007,60,25,0.42,,,,,,
,,2007 - 2008,62,26,0.42,,,,,,
,,2008 - 2009,70,30,0.43,,,,,,
,,2009 - 2010,75,31,0.41,,,,,,
,,2010 - 2011,63,29,0.46,,,,,,
,,2011 - 2012,145,78,0.54,,,,,,
,,2012 - 2013,90,52,0.58,,,,,,
,,2013 - 2014,98,58,0.59,,,,,,
,,2014 - 2015,89,58,0.65,,,,,,
,,2015 - 2016,82,47,0.57,,,,,,
,,2016 - 2017,80,47,0.59,,,,,,
,,2017 - 2018,62,36,0.58,,,,,,
,,2018 - 2019,63,37,0.59,,,,,,
,,2019 - 2020,58,34,0.59,,,,,,
,,2020 - 2021,45,26,0.58,,,,,,
,,2021 - 2022,50,37,0.74,,,,,,
,,2022 - 2023,41,32,0.78,,,,,,
,21. Lakhimpur,2000 - 2001,224,101,0.45,,,,,,
,,2001 - 2002,218,98,0.45,,,,,,
,,2002 - 2003,219,99,0.45,,,,,,
,,2003 - 2004,219,99,0.45,,,,,,
,,2004 - 2005,219,99,0.45,,,,,,
,,2005 - 2006,219,99,0.45,,,,,,
,,2006 - 2007,190,86,0.45,,,,,,
,,2007 - 2008,123,54,0.44,,,,,,
,,2008 - 2009,128,58,0.45,,,,,,
,,2009 - 2010,50,22,0.44,,,,,,
,,2010 - 2011,133,59,0.44,,,,,,
,,2011 - 2012,101,56,0.55,,,,,,
,,2012 - 2013,84,49,0.58,,,,,,
,,2013 - 2014,80,43,0.54,,,,,,
,,2014 - 2015,75,47,0.63,,,,,,
,,2015 - 2016,55,25,0.45,,,,,,
,,2016 - 2017,42,19,0.45,,,,,,
,,2017 - 2018,32,18,0.56,,,,,,
,,2018 - 2019,31,19,0.61,,,,,,
,,2019 - 2020,35,21,0.6,,,,,,
,,2020 - 2021,32,19,0.59,,,,,,
,,2021 - 2022,49,34,0.69,,,,,,
,,2022 - 2023,96,66,0.69,,,,,,
,22. Majuli,2020 - 2021,15,8,0.53,,,,,,
,,2021 - 2022,30,11,0.37,,,,,,
,,2022 - 2023,30,16,0.53,,,,,,
,23. Marigaon,2000 - 2001,20,4,0.2,,,,,,
,,2001 - 2002,20,4,0.2,,,,,,
,,2002 - 2003,20,4,0.2,,,,,,
,,2003 - 2004,18,3,0.17,,,,,,
,,2004 - 2005,20,4,0.2,,,,,,
,,2005 - 2006,20,4,0.2,,,,,,
,,2006 - 2007,13,2,0.15,,,,,,
,,2007 - 2008,10,2,0.2,,,,,,
,,2008 - 2009,8,1,0.13,,,,,,
,,2009 - 2010,8,1,0.13,,,,,,
,,2010 - 2011,12,2,0.17,,,,,,
,,2011 - 2012,12,3,0.25,,,,,,
,,2012 - 2013,12,3,0.25,,,,,,
,,2013 - 2014,10,3,0.3,,,,,,
,,2014 - 2015,6,2,0.33,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,
,,2016 - 2017,4,2,0.5,,,,,,
,,2017 - 2018,5,2,0.4,,,,,,
,,2018 - 2019,5,2,0.4,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,,2020 - 2021,5,2,0.4,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,24. Nagaon,2000 - 2001,39,16,0.41,,,,,,
,,2001 - 2002,37,15,0.41,,,,,,
,,2002 - 2003,37,15,0.41,,,,,,
,,2003 - 2004,36,14,0.39,,,,,,
,,2004 - 2005,34,13,0.38,,,,,,
,,2005 - 2006,29,11,0.38,,,,,,
,,2006 - 2007,36,15,0.42,,,,,,
,,2007 - 2008,38,16,0.42,,,,,,
,,2008 - 2009,51,20,0.39,,,,,,
,,2009 - 2010,52,21,0.4,,,,,,
,,2010 - 2011,32,12,0.38,,,,,,
,,2011 - 2012,23,11,0.48,,,,,,
,,2012 - 2013,21,11,0.52,,,,,,
,,2013 - 2014,17,9,0.53,,,,,,
,,2014 - 2015,20,11,0.55,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,
,,2016 - 2017,6,2,0.33,,,,,,
,,2017 - 2018,10,4,0.4,,,,,,
,,2018 - 2019,3,2,0.67,,,,,,
,,2019 - 2020,3,3,1,,,,,,
,,2020 - 2021,3,3,1,,,,,,
,,2021 - 2022,4,4,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,25. Nalbari,2000 - 2001,50,25,0.5,,,,,,
,,2001 - 2002,50,25,0.5,,,,,,
,,2002 - 2003,48,24,0.5,,,,,,
,,2003 - 2004,45,23,0.51,,,,,,
,,2004 - 2005,43,22,0.51,,,,,,
,,2005 - 2006,20,10,0.5,,,,,,
,,2006 - 2007,8,4,0.5,,,,,,
,,2007 - 2008,6,3,0.5,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,
,,2009 - 2010,5,3,0.6,,,,,,
,,2010 - 2011,5,3,0.6,,,,,,
,,2011 - 2012,4,2,0.5,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,,2013 - 2014,1,1,1,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,1,1,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,26. Sivasagar,2000 - 2001,12,5,0.42,,,,,,
,,2001 - 2002,12,5,0.42,,,,,,
,,2002 - 2003,13,5,0.38,,,,,,
,,2003 - 2004,10,4,0.4,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2005 - 2006,9,4,0.44,,,,,,
,,2006 - 2007,5,3,0.6,,,,,,
,,2007 - 2008,10,5,0.5,,,,,,
,,2008 - 2009,8,4,0.5,,,,,,
,,2009 - 2010,5,3,0.6,,,,,,
,,2010 - 2011,5,3,0.6,,,,,,
,,2011 - 2012,5,3,0.6,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,2,2,1,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,
,,2016 - 2017,3,3,1,,,,,,
,,2017 - 2018,1,1,1,,,,,,
,,2018 - 2019,2,2,1,,,,,,
,27. Sonitpur,2000 - 2001,47,20,0.43,,,,,,
,,2001 - 2002,47,20,0.43,,,,,,
,,2002 - 2003,47,20,0.43,,,,,,
,,2003 - 2004,46,19,0.41,,,,,,
,,2004 - 2005,41,17,0.41,,,,,,
,,2005 - 2006,38,16,0.42,,,,,,
,,2006 - 2007,32,13,0.41,,,,,,
,,2007 - 2008,27,12,0.44,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2009 - 2010,2,1,0.5,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,
,,2012 - 2013,21,10,0.48,,,,,,
,,2013 - 2014,13,6,0.46,,,,,,
,,2014 - 2015,11,4,0.36,,,,,,
,,2015 - 2016,7,3,0.43,,,,,,
,,2016 - 2017,9,3,0.33,,,,,,
,,2017 - 2018,9,3,0.33,,,,,,
,,2018 - 2019,8,4,0.5,,,,,,
,,2019 - 2020,10,5,0.5,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,28. Tinsukia,2000 - 2001,5,2,0.4,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,5,2,0.4,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,
,,2004 - 2005,5,2,0.4,,,,,,
,,2005 - 2006,5,2,0.4,,,,,,
,,2006 - 2007,7,3,0.43,,,,,,
,,2007 - 2008,7,3,0.43,,,,,,
,,2008 - 2009,7,3,0.43,,,,,,
,,2009 - 2010,6,2,0.33,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,
,,2011 - 2012,7,4,0.57,,,,,,
,,2012 - 2013,9,5,0.56,,,,,,
,,2013 - 2014,6,3,0.5,,,,,,
,,2014 - 2015,5,3,0.6,,,,,,
,,2015 - 2016,4,2,0.5,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,29. Udalguri,2005 - 2006,5,2,0.4,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,
,,2008 - 2009,28,11,0.39,,,,,,
,,2009 - 2010,18,7,0.39,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,
,,2011 - 2012,18,9,0.5,,,,,,
,,2012 - 2013,16,8,0.5,,,,,,
,,2014 - 2015,75,41,0.55,,,,,,
,,2015 - 2016,76,32,0.42,,,,,,
,,2017 - 2018,50,31,0.62,,,,,,
,,2018 - 2019,42,17,0.4,,,,,,
,,2019 - 2020,50,20,0.4,,,,,,
,,2020 - 2021,20,10,0.5,,,,,,
,,2021 - 2022,18,7,0.39,,,,,,
,,2022 - 2023,15,7,0.47,,,,,,
,30. West karbi anglong,2020 - 2021,170,67,0.39,,,,,,
,,2021 - 2022,165,65,0.39,,,,,,
,,2022 - 2023,154,62,0.4,,,,,,
3. Bihar,1. Arwal,2011 - 2012,1,1,1,,,,,,
,,2012 - 2013,1,1,1,,,,,,
,2. Aurangabad,2002 - 2003,219,216,0.99,,,,,,
,3. Begusarai,2002 - 2003,23,23,1,,,,,,
,,2003 - 2004,75,74,0.99,,,,,,
,,2004 - 2005,81,76,0.94,,,,,,
,,2005 - 2006,90,84,0.93,,,,,,
,,2011 - 2012,8,8,1,,,,,,
,4. Bhagalpur,2003 - 2004,7,7,1,,,,,,
,,2004 - 2005,7,7,1,,,,,,
,,2005 - 2006,8,8,1,,,,,,
,,2007 - 2008,7,7,1,,,,,,
,,2008 - 2009,7,7,1,,,,,,
,,2010 - 2011,7,7,1,,,,,,
,,2012 - 2013,7,7,1,,,,,,
,,2013 - 2014,8,8,1,,,,,,
,,2014 - 2015,7,7,1,,,,,,
,,2015 - 2016,8,7,0.88,,,,,,
,,2016 - 2017,7,7,1,,,,,,
,,2017 - 2018,7,7,1,,,,,,
,,2018 - 2019,7,7,1,,,,,,
,,2019 - 2020,7,7,1,,,,,,
,,2020 - 2021,7,7,1,,,,,,
,,2021 - 2022,7,7,1,,,,,,
,,2022 - 2023,7,7,1,,,,,,
,5. Gaya,2003 - 2004,1,1,1,,,,,,
,,2013 - 2014,27,26,0.96,,,,,,
,6. Gopalganj,2022 - 2023,39,38,0.97,,,,,,
,7. Jamui,2002 - 2003,12,12,1,,,,,,
,8. Jehanabad,2003 - 2004,2,2,1,,,,,,
,9. Katihar,2002 - 2003,3,3,1,,,,,,
,10. Khagaria,2003 - 2004,10,10,1,,,,,,
,,2004 - 2005,22,21,0.95,,,,,,
,,2015 - 2016,1,1,1,,,,,,
,11. Kishanganj,2002 - 2003,21,21,1,,,,,,
,,2003 - 2004,17,17,1,,,,,,
,,2004 - 2005,16,15,0.94,,,,,,
,12. Madhepura,2008 - 2009,3,3,1,,,,,,
,,2013 - 2014,4,4,1,,,,,,
,,2014 - 2015,4,4,1,,,,,,
,,2015 - 2016,4,4,1,,,,,,
,,2016 - 2017,4,4,1,,,,,,
,,2017 - 2018,9,9,1,,,,,,
,,2018 - 2019,8,8,1,,,,,,
,,2019 - 2020,9,9,1,,,,,,
,13. Madhubani,2007 - 2008,164,156,0.95,,,,,,
,,2008 - 2009,164,156,0.95,,,,,,
,,2010 - 2011,166,159,0.96,,,,,,
,,2011 - 2012,93,89,0.96,,,,,,
,,2012 - 2013,92,88,0.96,,,,,,
,,2013 - 2014,94,89,0.95,,,,,,
,,2014 - 2015,84,80,0.95,,,,,,
,,2015 - 2016,3,3,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,,2017 - 2018,3,3,1,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,14. Nalanda,2014 - 2015,1,1,1,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,15. Nawada,2005 - 2006,33,31,0.94,,,,,,
,16. Patna,2002 - 2003,11,11,1,,,,,,
,,2004 - 2005,11,10,0.91,,,,,,
,17. Purbi champaran,2004 - 2005,7,7,1,,,,,,
,,2005 - 2006,7,7,1,,,,,,
,,2007 - 2008,7,7,1,,,,,,
,,2008 - 2009,7,7,1,,,,,,
,18. Rohtas,2004 - 2005,1,1,1,,,,,,
,19. Samastipur,2002 - 2003,27,26,0.96,,,,,,
,,2003 - 2004,29,29,1,,,,,,
,,2004 - 2005,26,24,0.92,,,,,,
,,2005 - 2006,25,23,0.92,,,,,,
,,2007 - 2008,25,24,0.96,,,,,,
,,2008 - 2009,4,4,1,,,,,,
,,2013 - 2014,25,24,0.96,,,,,,
,,2015 - 2016,27,26,0.96,,,,,,
,20. Sitamarhi,2016 - 2017,65,62,0.95,,,,,,
,,2018 - 2019,68,65,0.96,,,,,,
,,2019 - 2020,69,66,0.96,,,,,,
,,2020 - 2021,70,68,0.97,,,,,,
,,2021 - 2022,73,71,0.97,,,,,,
,,2022 - 2023,73,71,0.97,,,,,,
,21. Siwan,2005 - 2006,1,1,1,,,,,,
,22. Vaishali,2003 - 2004,14,14,1,,,,,,
,,2004 - 2005,2,2,1,,,,,,
4. Chhattisgarh,1. Baloda bazar,2011 - 2012,3,1,0.33,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,
,2. Balrampur,2019 - 2020,7,3,0.43,,,,,,
,3. Bastar,2000 - 2001,7,3,0.43,,,,,,
,,2001 - 2002,15,4,0.27,,,,,,
,,2002 - 2003,9,3,0.33,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,
,,2004 - 2005,9,3,0.33,,,,,,
,,2005 - 2006,11,4,0.36,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,
,,2007 - 2008,4,1,0.25,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,
,,2009 - 2010,5,1,0.2,,,,,,
,,2010 - 2011,5,2,0.4,,,,,,
,,2011 - 2012,3,1,0.33,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,
,,2014 - 2015,,,,3,1,0.33,,,
,,2015 - 2016,,,,2,1,0.5,,,
,,2016 - 2017,3,1,0.33,,,,,,
,,2018 - 2019,6,2,0.33,,,,,,
,4. Bemetara,2012 - 2013,47,15,0.32,,,,,,
,5. Bilaspur,2001 - 2002,10,2,0.2,,,,,,
,,2002 - 2003,21,6,0.29,,,,,,
,,2003 - 2004,15,4,0.27,,,,,,
,,2004 - 2005,11,3,0.27,,,,,,
,,2005 - 2006,19,5,0.26,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,
,,2007 - 2008,7,2,0.29,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2010 - 2011,194,67,0.35,,,,,,
,,2016 - 2017,98,27,0.28,,,,,,
,6. Dantewada,2000 - 2001,1,,0,,,,,,
,,2002 - 2003,1,,0,,,,,,
,,2004 - 2005,17,6,0.35,,,,,,
,7. Dhamtari,2004 - 2005,4,1,0.25,,,,,,
,,2005 - 2006,1,,0,,,,,,
,,2006 - 2007,6,2,0.33,,,,,,
,,2007 - 2008,11,3,0.27,,,,,,
,,2009 - 2010,8,3,0.38,,,,,,
,,2010 - 2011,3,1,0.33,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,,2013 - 2014,,,,2,1,0.5,,,
,,2015 - 2016,,,,4,1,0.25,,,
,8. Durg,2000 - 2001,20,6,0.3,,,,,,
,,2001 - 2002,40,12,0.3,,,,,,
,,2002 - 2003,9,3,0.33,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,
,,2004 - 2005,42,21,0.5,,,,,,
,,2005 - 2006,39,14,0.36,,,,,,
,,2006 - 2007,8,3,0.38,,,,,,
,,2007 - 2008,12,5,0.42,,,,,,
,,2008 - 2009,12,4,0.33,,,,,,
,,2009 - 2010,7,2,0.29,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,
,,2018 - 2019,36,16,0.44,,,,,,
,9. Gariyaband,2011 - 2012,3,2,0.67,,,,,,
,,2013 - 2014,,,,3,1,0.33,,,
,,2015 - 2016,,,,3,1,0.33,,,
,,2020 - 2021,1,1,1,,,,,,
,10. Janjgir-champa,2000 - 2001,65,16,0.25,,,,,,
,,2001 - 2002,20,5,0.25,,,,,,
,,2002 - 2003,17,4,0.24,,,,,,
,,2003 - 2004,17,5,0.29,,,,,,
,,2004 - 2005,34,10,0.29,,,,,,
,,2005 - 2006,14,4,0.29,,,,,,
,,2006 - 2007,17,5,0.29,,,,,,
,,2007 - 2008,20,6,0.3,,,,,,
,,2008 - 2009,19,6,0.32,,,,,,
,,2009 - 2010,33,10,0.3,,,,,,
,,2010 - 2011,12,4,0.33,,,,,,
,,2011 - 2012,33,10,0.3,,,,,,
,,2012 - 2013,33,11,0.33,,,,,,
,,2013 - 2014,,,,33,11,0.33,,,
,,2014 - 2015,,,,33,10,0.3,,,
,,2015 - 2016,,,,33,11,0.33,,,
,,2016 - 2017,7,2,0.29,,,,,,
,,2017 - 2018,3,1,0.33,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,,2019 - 2020,3,,0,,,,,,
,11. Kabirdham,2000 - 2001,7,2,0.29,,,,,,
,,2001 - 2002,18,5,0.28,,,,,,
,,2003 - 2004,11,4,0.36,,,,,,
,,2007 - 2008,23,9,0.39,,,,,,
,,2013 - 2014,,,,3,1,0.33,,,
,,2014 - 2015,,,,7,2,0.29,,,
,,2015 - 2016,,,,7,2,0.29,,,
,,2018 - 2019,1,,0,,,,,,
,12. Kanker,2003 - 2004,6,2,0.33,,,,,,
,13. Kondagaon,2014 - 2015,,,,1,,0,,,
,,2015 - 2016,,,,1,,0,,,
,,2016 - 2017,1,,0,,,,,,
,14. Mahasamund,2019 - 2020,1,,0,,,,,,
,15. Mungeli,2011 - 2012,4,1,0.25,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,
,,2013 - 2014,,,,4,2,0.5,,,
,,2014 - 2015,,,,4,1,0.25,,,
,,2015 - 2016,,,,4,1,0.25,,,
,,2016 - 2017,5,1,0.2,,,,,,
,16. Raigarh,2002 - 2003,2,,0,,,,,,
,,2003 - 2004,1,1,1,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,17. Raipur,2000 - 2001,33,9,0.27,,,,,,
,,2001 - 2002,9,3,0.33,,,,,,
,,2002 - 2003,12,4,0.33,,,,,,
,,2003 - 2004,18,5,0.28,,,,,,
,,2004 - 2005,18,5,0.28,,,,,,
,,2005 - 2006,11,3,0.27,,,,,,
,,2006 - 2007,31,9,0.29,,,,,,
,,2007 - 2008,79,24,0.3,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,
,,2009 - 2010,9,2,0.22,,,,,,
,,2010 - 2011,6,2,0.33,,,,,,
,18. Rajnandgaon,2001 - 2002,1,,0,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,8,3,0.38,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,1,,0,,,,,,
,,2010 - 2011,1,,0,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,19. Surguja,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,2,10,5,,,,,,
,,2011 - 2012,1,,0,,,,,,
5. Gujarat,1. Ahmadabad,2000 - 2001,"30,200.00","31,400.00",1.04,,,,,,
,,2001 - 2002,"14,900.00","16,800.00",1.13,,,,,,
,,2002 - 2003,"10,400.00","8,900.00",0.86,,,,,,
,,2003 - 2004,"5,700.00","7,700.00",1.35,,,,,,
,,2004 - 2005,"9,100.00","14,100.00",1.55,,,,,,
,,2005 - 2006,"14,500.00","21,500.00",1.48,,,,,,
,,2006 - 2007,"12,800.00","21,300.00",1.66,,,,,,
,,2007 - 2008,"11,300.00","17,500.00",1.55,,,,,,
,,2008 - 2009,"15,900.00","28,500.00",1.79,,,,,,
,,2009 - 2010,"19,400.00","26,800.00",1.38,,,,,,
,,2010 - 2011,"28,000.00","54,200.00",1.94,,,,,,
,,2011 - 2012,"36,000.00","80,700.00",2.24,,,,,,
,,2012 - 2013,"52,500.00","78,800.00",1.5,,,,,,
,,2013 - 2014,"40,184.00","54,911.00",1.37,,,,,,
,,2014 - 2015,"47,635.00","76,488.00",1.61,,,,,,
,,2015 - 2016,"57,920.00","86,926.00",1.5,,,,,,
,,2016 - 2017,"44,369.00","71,483.00",1.61,,,,,,
,,2017 - 2018,"49,915.00","90,783.00",1.82,,,,,,
,,2018 - 2019,"54,716.00","1,01,379.00",1.85,,,,,,
,,2019 - 2020,"52,814.00","95,479.00",1.81,,,,,,
,,2020 - 2021,"47,571.00","84,643.00",1.78,,,,,,
,,2021 - 2022,"50,875.00","1,00,138.00",1.97,,,,,,
,,2022 - 2023,"42,461.00","91,941.00",2.17,,,,,,
,2. Amreli,2000 - 2001,"5,000.00","7,000.00",1.4,,,,,,
,,2001 - 2002,"3,800.00","6,800.00",1.79,,,,,,
,,2002 - 2003,"1,300.00","1,600.00",1.23,,,,,,
,,2003 - 2004,"2,000.00","3,800.00",1.9,,,,,,
,,2004 - 2005,"1,900.00","3,300.00",1.74,,,,,,
,,2005 - 2006,"1,500.00","3,000.00",2,,,,,,
,,2006 - 2007,"1,800.00","3,200.00",1.78,,,,,,
,,2007 - 2008,700,"1,300.00",1.86,,,,,,
,,2008 - 2009,"1,200.00","2,300.00",1.92,,,,,,
,,2009 - 2010,800,"1,600.00",2,,,,,,
,,2010 - 2011,"1,100.00","2,200.00",2,,,,,,
,,2011 - 2012,"2,000.00","4,100.00",2.05,,,,,,
,,2012 - 2013,"3,100.00","6,100.00",1.97,,,,,,
,,2013 - 2014,"3,297.00","7,153.00",2.17,,,,,,
,,2014 - 2015,"1,793.00","3,156.00",1.76,,,,,,
,,2015 - 2016,"1,283.00","2,235.00",1.74,,,,,,
,,2016 - 2017,986,"2,550.00",2.59,,,,,,
,,2017 - 2018,890,"1,773.00",1.99,,,,,,
,,2018 - 2019,766,781,1.02,,,,,,
,,2019 - 2020,656,849,1.29,,,,,,
,,2020 - 2021,666,"1,372.00",2.06,,,,,,
,,2021 - 2022,636,"1,371.00",2.16,,,,,,
,,2022 - 2023,579,"1,297.00",2.24,,,,,,
,3. Anand,2003 - 2004,"1,600.00","3,000.00",1.88,,,,,,
,,2004 - 2005,"2,700.00","4,600.00",1.7,,,,,,
,,2005 - 2006,"2,700.00","5,300.00",1.96,,,,,,
,,2006 - 2007,"1,500.00","2,600.00",1.73,,,,,,
,,2007 - 2008,"1,800.00","3,500.00",1.94,,,,,,
,,2008 - 2009,"1,900.00","3,700.00",1.95,,,,,,
,,2009 - 2010,"1,400.00","2,700.00",1.93,,,,,,
,,2010 - 2011,"1,400.00","2,700.00",1.93,,,,,,
,,2011 - 2012,"3,000.00","6,200.00",2.07,,,,,,
,,2012 - 2013,"4,200.00","8,300.00",1.98,,,,,,
,,2013 - 2014,"2,166.00","4,699.00",2.17,,,,,,
,,2014 - 2015,"1,817.00","4,071.00",2.24,,,,,,
,,2015 - 2016,346,674,1.95,,,,,,
,,2016 - 2017,640,985,1.54,,,,,,
,,2017 - 2018,460,"1,009.00",2.19,,,,,,
,,2018 - 2019,568,"1,027.00",1.81,,,,,,
,,2019 - 2020,465,904,1.94,,,,,,
,,2020 - 2021,489,"1,007.00",2.06,,,,,,
,,2021 - 2022,340,733,2.16,,,,,,
,,2022 - 2023,512,"1,147.00",2.24,,,,,,
,4. Aravalli,2014 - 2015,"21,800.00","35,035.00",1.61,,,,,,
,,2015 - 2016,"33,650.00","58,073.00",1.73,,,,,,
,,2016 - 2017,"19,260.00","35,119.00",1.82,,,,,,
,,2017 - 2018,"27,400.00","99,872.00",3.64,,,,,,
,,2018 - 2019,"22,081.00","33,209.00",1.5,,,,,,
,,2019 - 2020,"19,784.00","26,263.00",1.33,,,,,,
