State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"3,693.00","12,298.00",3.33,,,,"4,080.00","7,161.00",1.76,"12,592.00","7,663.00",0.61,,,,,,
,,2008 - 2009,"4,392.00","8,766.00",2,,,,"3,433.00","11,228.00",3.27,"8,677.00","3,294.00",0.38,,,,,,
,,2009 - 2010,"3,719.00","12,559.00",3.38,,,,"3,906.00","6,174.00",1.58,"8,675.00","28,438.00",3.28,,,,,,
,,2010 - 2011,"4,892.00","10,474.00",2.14,,,,"3,868.00","10,633.00",2.75,"12,324.00","21,913.00",1.78,,,,,,
,,2011 - 2012,"3,574.00","14,117.00",3.95,,,,"3,541.00","13,241.00",3.74,"9,163.00","22,092.00",2.41,,,,,,
,,2012 - 2013,"4,928.00","9,925.00",2.01,,,,"3,453.00","9,898.00",2.87,"11,651.00","29,282.00",2.51,,,,,,
,,2013 - 2014,"5,057.00","14,311.00",2.83,,,,"1,183.00","5,702.00",4.82,"13,209.00","34,374.00",2.6,,,,,,
,,2014 - 2015,"4,961.00","9,927.00",2,,,,"1,171.00","4,170.00",3.56,"12,023.00","30,399.00",2.53,,,,,,
,,2015 - 2016,"4,966.00","16,338.00",3.29,,,,"1,176.00","4,558.00",3.88,"11,825.00","22,382.00",1.89,,,,,,
,,2016 - 2017,"4,964.00","45,788.00",9.22,,,,"1,176.00","6,566.00",5.58,"11,875.00","32,740.00",2.76,,,,,,
,,2017 - 2018,"5,975.00","23,320.00",3.9,,,,"1,173.00","3,709.00",3.16,"11,816.00","26,115.00",2.21,,,,,,
,,2018 - 2019,"4,970.00","17,176.00",3.46,,,,"1,173.00","3,508.00",2.99,"11,604.00","22,762.00",1.96,,,,,,
,,2019 - 2020,"4,970.00","17,693.00",3.56,,,,"1,173.00","3,742.00",3.19,"11,604.00","19,281.00",1.66,,,,,,
,,2020 - 2021,"4,970.00","18,692.00",3.76,,,,"1,173.00","4,606.00",3.93,"11,606.00","8,192.00",0.71,,,,,,
,,2021 - 2022,"4,970.00","18,623.00",3.75,,,,"1,173.00","5,098.00",4.35,"11,616.00","18,474.00",1.59,,,,,,
,,2022 - 2023,"4,970.00","18,523.00",3.73,,,,"1,172.00","4,262.00",3.64,"11,615.00","34,581.00",2.98,,,,,,
,37. Supaul,2000 - 2001,"3,785.00","5,269.00",1.39,381,873,2.29,"6,307.00","18,879.00",2.99,,,,,,,,,
,,2001 - 2002,"3,858.00","11,586.00",3,,,,"6,257.00","13,777.00",2.2,547,795,1.45,,,,,,
,,2002 - 2003,"5,765.00","16,205.00",2.81,,,,"6,392.00","13,970.00",2.19,"1,408.00","3,388.00",2.41,,,,,,
,,2003 - 2004,"3,103.00","8,242.00",2.66,"1,216.00","3,564.00",2.93,"6,875.00","17,779.00",2.59,,,,,,,,,
,,2004 - 2005,"3,447.00","15,584.00",4.52,"1,549.00","4,711.00",3.04,"6,178.00","23,272.00",3.77,,,,,,,,,
,,2005 - 2006,"2,707.00","9,908.00",3.66,259,781,3.02,"6,998.00","23,036.00",3.29,,,,,,,,,
,,2006 - 2007,"1,861.00","7,941.00",4.27,407,924,2.27,"9,634.00","45,808.00",4.75,,,,,,,,,
,,2007 - 2008,"3,059.00","11,379.00",3.72,,,,"8,951.00","19,178.00",2.14,"1,632.00","5,508.00",3.38,,,,,,
,,2008 - 2009,"1,490.00","8,301.00",5.57,,,,"9,489.00","32,069.00",3.38,"4,644.00","15,115.00",3.25,,,,,,
,,2009 - 2010,"1,132.00","4,070.00",3.6,,,,"8,561.00","37,310.00",4.36,707,"1,909.00",2.7,,,,,,
,,2010 - 2011,"3,139.00","14,063.00",4.48,,,,"7,406.00","42,040.00",5.68,"1,761.00","4,458.00",2.53,,,,,,
,,2011 - 2012,"2,628.00","15,261.00",5.81,,,,"7,217.00","27,041.00",3.75,"2,446.00","9,826.00",4.02,,,,,,
,,2012 - 2013,"2,628.00","8,575.00",3.26,,,,"7,217.00","49,242.00",6.82,"2,446.00","14,331.00",5.86,,,,,,
,,2013 - 2014,"3,474.00","20,163.00",5.8,,,,"9,096.00","48,635.00",5.35,"2,647.00","10,122.00",3.82,,,,,,
,,2014 - 2015,"3,222.00","10,997.00",3.41,,,,"6,301.00","32,266.00",5.12,"2,885.00","7,558.00",2.62,,,,,,
,,2015 - 2016,"1,187.00","5,028.00",4.24,,,,"6,077.00","20,985.00",3.45,"2,998.00","11,856.00",3.95,,,,,,
,,2016 - 2017,"5,258.00","39,635.00",7.54,,,,"7,158.00","29,215.00",4.08,"2,844.00","14,937.00",5.25,,,,,,
,,2017 - 2018,"7,549.00","48,578.00",6.44,,,,"7,693.00","43,838.00",5.7,"2,664.00","8,583.00",3.22,,,,,,
,,2018 - 2019,"4,595.00","46,364.00",10.09,,,,"7,284.00","35,934.00",4.93,,,,,,,,,
,,2019 - 2020,"4,599.00","51,228.00",11.14,,,,"7,278.00","63,793.00",8.77,,,,,,,,,
,,2020 - 2021,"4,604.00","41,077.00",8.92,,,,"10,122.00","71,264.00",7.04,,,,,,,,,
,,2021 - 2022,"4,765.00","39,044.00",8.19,,,,"10,541.00","60,829.00",5.77,,,,,,,,,
,,2022 - 2023,"4,970.00","44,367.00",8.93,,,,"10,252.00","92,396.00",9.01,,,,,,,,,
,38. Vaishali,2000 - 2001,"6,606.00","12,849.00",1.95,"14,746.00","30,661.00",2.08,"9,789.00","26,479.00",2.7,,,,,,,,,
,,2001 - 2002,"5,360.00","18,642.00",3.48,,,,"6,421.00","16,387.00",2.55,"15,488.00","14,347.00",0.93,,,,,,
,,2002 - 2003,"5,677.00","16,282.00",2.87,,,,"12,105.00","48,981.00",4.05,"16,539.00","30,809.00",1.86,,,,,,
,,2003 - 2004,"6,596.00","19,537.00",2.96,"17,352.00","20,587.00",1.19,"9,394.00","22,231.00",2.37,,,,,,,,,
,,2004 - 2005,"6,439.00","21,165.00",3.29,"17,206.00","31,763.00",1.85,"9,679.00","28,372.00",2.93,,,,,,,,,
,,2005 - 2006,"7,865.00","21,983.00",2.8,"15,569.00","29,187.00",1.87,"9,762.00","26,486.00",2.71,,,,,,,,,
,,2006 - 2007,"7,459.00","22,347.00",3,"15,801.00","23,768.00",1.5,"10,902.00","23,682.00",2.17,,,,,,,,,
,,2007 - 2008,"5,983.00","19,355.00",3.23,,,,"11,308.00","35,482.00",3.14,"16,313.00","10,327.00",0.63,,,,,,
,,2008 - 2009,"5,946.00","9,906.00",1.67,,,,"11,503.00","37,870.00",3.29,"16,490.00","30,880.00",1.87,,,,,,
,,2009 - 2010,"7,145.00","21,542.00",3.01,,,,"10,677.00","31,034.00",2.91,"15,501.00","26,394.00",1.7,,,,,,
,,2010 - 2011,"6,633.00","15,515.00",2.34,,,,"11,235.00","30,858.00",2.75,"14,802.00","29,374.00",1.98,,,,,,
,,2011 - 2012,"7,537.00","28,332.00",3.76,,,,"11,371.00","46,909.00",4.13,"13,082.00","20,653.00",1.58,,,,,,
,,2012 - 2013,"7,128.00","13,935.00",1.95,,,,"11,371.00","64,461.00",5.67,"14,160.00","44,684.00",3.16,,,,,,
,,2013 - 2014,"5,946.00","24,801.00",4.17,,,,"11,247.00","60,470.00",5.38,"15,665.00","56,977.00",3.64,,,,,,
,,2014 - 2015,"6,555.00","31,785.00",4.85,,,,"11,707.00","45,431.00",3.88,"14,063.00","54,235.00",3.86,,,,,,
,,2015 - 2016,"7,143.00","59,273.00",8.3,,,,"10,954.00","25,925.00",2.37,"13,763.00","42,697.00",3.1,,,,,,
,,2016 - 2017,"6,548.00","37,022.00",5.65,,,,"10,636.00","28,193.00",2.65,"15,202.00","58,262.00",3.83,,,,,,
,,2017 - 2018,"7,063.00","23,202.00",3.29,,,,"13,350.00","47,509.00",3.56,"11,771.00","34,511.00",2.93,,,,,,
,,2018 - 2019,"7,046.00","26,035.00",3.7,,,,"13,305.00","34,493.00",2.59,"11,799.00","24,463.00",2.07,,,,,,
,,2019 - 2020,"6,960.00","28,258.00",4.06,,,,"12,861.00","36,382.00",2.83,"11,293.00","20,559.00",1.82,,,,,,
,,2020 - 2021,"7,030.00","26,679.00",3.8,,,,"11,861.00","35,731.00",3.01,"10,838.00","15,326.00",1.41,,,,,,
,,2021 - 2022,"7,034.00","26,645.00",3.79,,,,"11,865.00","54,074.00",4.56,"8,831.00","12,801.00",1.45,,,,,,
,,2022 - 2023,"7,035.00","28,091.00",3.99,,,,"11,883.00","52,009.00",4.38,"11,120.00","28,598.00",2.57,,,,,,
6. Chandigarh,1. Chandigarh,2000 - 2001,,,,200,500,2.5,,,,,,,,,,,,
,,2001 - 2002,,,,200,450,2.25,,,,,,,,,,,,
,,2002 - 2003,,,,200,450,2.25,,,,,,,,,,,,
,,2003 - 2004,,,,100,200,2,,,,,,,,,,,,
,,2004 - 2005,,,,60,120,2,,,,,,,,,,,,
,,2005 - 2006,,,,20,40,2,,,,,,,,,,,,
,,2006 - 2007,,,,20,40,2,,,,,,,,,,,,
,,2007 - 2008,,,,20,40,2,,,,,,,,,,,,
,,2008 - 2009,,,,60,125,2.08,,,,,,,,,,,,
,,2009 - 2010,,,,30,65,2.17,,,,,,,,,,,,
,,2010 - 2011,,,,25,55,2.2,,,,,,,,,,,,
,,2011 - 2012,,,,25,55,2.2,,,,,,,,,,,,
,,2012 - 2013,,,,25,57,2.28,,,,,,,,,,,,
,,2013 - 2014,,,,25,57,2.28,,,,,,,,,,,,
,,2014 - 2015,,,,25,50,2,,,,,,,,,,,,
,,2015 - 2016,,,,20,40,2,,,,,,,,,,,,
,,2019 - 2020,,,,8,24,3,,,,,,,,,,,,
,,2020 - 2021,,,,8,24,3,,,,,,,,,,,,
,,2021 - 2022,,,,9,26,2.89,,,,,,,,,,,,
,,2022 - 2023,,,,10,30,3,,,,,,,,,,,,
7. Chhattisgarh,1. Balod,2011 - 2012,,,,125,149,1.19,,,,,,,,,,,,
,,2012 - 2013,,,,121,170,1.4,,,,,,,,,,,,
,,2013 - 2014,,,,258,415,1.61,,,,,,,,,,,,
,,2014 - 2015,,,,259,315,1.22,,,,,,,,,,,,
,,2015 - 2016,,,,177,225,1.27,,,,,,,,,,,,
,,2016 - 2017,,,,173,343,1.98,,,,,,,,,,,,
,,2017 - 2018,,,,310,456,1.47,,,,,,,,,,,,
,,2018 - 2019,,,,272,452,1.66,,,,,,,,,,,,
,,2019 - 2020,,,,439,941,2.14,,,,,,,,,,,,
,,2020 - 2021,,,,267,550,2.06,,,,,,,,,,,,
,,2021 - 2022,,,,233,512,2.2,,,,,,,,,,,,
,,2022 - 2023,,,,238,581,2.44,,,,,,,,,,,,
,2. Baloda bazar,2011 - 2012,,,,143,156,1.09,,,,,,,,,,,,
,,2012 - 2013,,,,106,171,1.61,,,,,,,,,,,,
,,2013 - 2014,,,,86,150,1.74,,,,,,,,,,,,
,,2014 - 2015,,,,79,134,1.7,,,,,,,,,,,,
,,2015 - 2016,,,,94,125,1.33,,,,,,,,,,,,
,,2016 - 2017,,,,75,147,1.96,,,,,,,,,,,,
,,2017 - 2018,,,,88,149,1.69,,,,,,,,,,,,
,,2018 - 2019,,,,187,294,1.57,,,,,,,,,,,,
,,2019 - 2020,,,,74,157,2.12,,,,,,,,,,,,
,,2020 - 2021,,,,97,239,2.46,,,,,,,,,,,,
,,2021 - 2022,,,,121,276,2.28,,,,,,,,,,,,
,,2022 - 2023,,,,37,97,2.62,,,,,,,,,,,,
,3. Balrampur,2011 - 2012,,,,"18,265.00","25,481.00",1.4,,,,,,,,,,,,
,,2012 - 2013,,,,"19,649.00","40,033.00",2.04,,,,,,,,,,,,
,,2013 - 2014,33,117,3.55,"19,661.00","39,902.00",2.03,127,233,1.83,,,,,,,,,
,,2014 - 2015,,,,"19,750.00","35,369.00",1.79,,,,,,,,,,,,
,,2015 - 2016,,,,"21,701.00","37,253.00",1.72,,,,,,,,,,,,
,,2016 - 2017,,,,"21,577.00","62,671.00",2.9,,,,,,,,,,,,
,,2017 - 2018,,,,"21,589.00","61,553.00",2.85,,,,,,,,,,,,
,,2018 - 2019,,,,"23,271.00","63,312.00",2.72,,,,,,,,,,,,
,,2019 - 2020,,,,"29,167.00","93,917.00",3.22,,,,,,,,,,,,
,,2020 - 2021,,,,"38,125.00","1,35,801.00",3.56,,,,,,,,,,,,
,,2021 - 2022,,,,"33,217.00","1,02,956.00",3.1,,,,,,,,,,,,
,,2022 - 2023,,,,"32,639.00","95,337.00",2.92,,,,,,,,,,,,
,4. Bastar,2000 - 2001,,,,"13,769.00","22,508.00",1.63,,,,,,,,,,,,
,,2001 - 2002,,,,"13,642.00","13,257.00",0.97,,,,,,,,,,,,
,,2002 - 2003,,,,"13,785.00","21,540.00",1.56,,,,,,,,,,,,
,,2003 - 2004,,,,"15,037.00","25,454.00",1.69,,,,,,,,,,,,
,,2004 - 2005,,,,"15,848.00","27,587.00",1.74,,,,,,,,,,,,
,,2005 - 2006,,,,"16,361.00","21,094.00",1.29,,,,,,,,,,,,
,,2006 - 2007,,,,"16,085.00","23,655.00",1.47,,,,,,,,,,,,
,,2007 - 2008,,,,"16,872.00","30,043.00",1.78,,,,,,,,,,,,
,,2008 - 2009,,,,"17,680.00","28,367.00",1.6,,,,,,,,,,,,
,,2009 - 2010,,,,"19,188.00","37,053.00",1.93,,,,,,,,,,,,
,,2010 - 2011,,,,"20,242.00","40,570.00",2,,,,,,,,,,,,
,,2011 - 2012,,,,"9,153.00","18,879.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,"9,503.00","22,351.00",2.35,,,,,,,,,,,,
,,2013 - 2014,,,,"9,560.00","22,398.00",2.34,,,,,,,,,,,,
,,2014 - 2015,,,,"9,924.00","19,865.00",2,,,,,,,,,,,,
,,2015 - 2016,,,,"9,066.00","20,996.00",2.32,,,,,,,,,,,,
,,2016 - 2017,,,,"8,713.00","28,544.00",3.28,,,,,,,,,,,,
,,2017 - 2018,,,,"9,298.00","30,353.00",3.26,,,,,,,,,,,,
,,2018 - 2019,,,,"9,214.00","30,354.00",3.29,,,,,,,,,,,,
,,2019 - 2020,,,,"13,523.00","46,881.00",3.47,,,,,,,,,,,,
,,2020 - 2021,,,,"17,270.00","79,171.00",4.58,,,,,,,,,,,,
,,2021 - 2022,,,,"18,285.00","70,216.00",3.84,,,,,,,,,,,,
,,2022 - 2023,,,,"19,910.00","97,270.00",4.89,,,,,,,,,,,,
,5. Bemetara,2011 - 2012,,,,17,20,1.18,,,,,,,,,,,,
,,2012 - 2013,,,,10,16,1.6,,,,,,,,,,,,
,,2013 - 2014,,,,24,21,0.88,,,,,,,,,,,,
,,2014 - 2015,,,,33,46,1.39,,,,,,,,,,,,
,,2015 - 2016,,,,28,38,1.36,,,,,,,,,,,,
,,2016 - 2017,,,,31,62,2,,,,,,,,,,,,
,,2017 - 2018,,,,24,19,0.79,,,,,,,,,,,,
,,2018 - 2019,,,,120,213,1.78,,,,,,,,,,,,
,,2019 - 2020,,,,170,403,2.37,,,,,,,,,,,,
,,2020 - 2021,,,,415,976,2.35,,,,,,,,,,,,
,,2021 - 2022,,,,269,505,1.88,,,,,,,,,,,,
,,2022 - 2023,,,,206,396,1.92,,,,,,,,,,,,
,6. Bijapur,2006 - 2007,,,,901,,0,,,,,,,,,,,,
,,2007 - 2008,,,,921,"1,562.00",1.7,,,,,,,,,,,,
,,2008 - 2009,,,,817,634,0.78,,,,,,,,,,,,
,,2009 - 2010,,,,662,689,1.04,,,,,,,,,,,,
,,2010 - 2011,,,,702,"1,034.00",1.47,,,,,,,,,,,,
,,2011 - 2012,,,,654,"1,350.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,629,"1,268.00",2.02,,,,,,,,,,,,
,,2013 - 2014,,,,580,"1,487.00",2.56,,,,,,,,,,,,
,,2014 - 2015,,,,609,"1,298.00",2.13,,,,,,,,,,,,
,,2015 - 2016,,,,647,775,1.2,,,,,,,,,,,,
,,2016 - 2017,,,,617,"1,427.00",2.31,,,,,,,,,,,,
,,2017 - 2018,,,,602,"1,399.00",2.32,,,,,,,,,,,,
,,2018 - 2019,,,,503,918,1.83,,,,,,,,,,,,
,,2019 - 2020,,,,421,"1,220.00",2.9,,,,,,,,,,,,
,,2020 - 2021,,,,400,"1,549.00",3.87,,,,,,,,,,,,
,,2021 - 2022,,,,361,"1,198.00",3.32,,,,,,,,,,,,
,,2022 - 2023,,,,294,941,3.2,,,,,,,,,,,,
,7. Bilaspur,2000 - 2001,,,,"4,548.00","4,422.00",0.97,,,,,,,,,,,,
,,2001 - 2002,,,,"4,668.00","3,344.00",0.72,,,,,,,,,,,,
,,2002 - 2003,,,,"4,578.00","5,483.00",1.2,,,,,,,,,,,,
,,2003 - 2004,,,,"4,406.00","5,456.00",1.24,,,,,,,,,,,,
,,2004 - 2005,,,,"4,210.00","5,549.00",1.32,,,,,,,,,,,,
,,2005 - 2006,,,,"4,082.00","4,741.00",1.16,,,,,,,,,,,,
,,2006 - 2007,,,,"3,877.00","4,606.00",1.19,,,,,,,,,,,,
,,2007 - 2008,,,,"3,810.00","5,147.00",1.35,,,,,,,,,,,,
,,2008 - 2009,,,,"3,651.00","4,597.00",1.26,,,,,,,,,,,,
,,2009 - 2010,,,,"5,677.00","9,208.00",1.62,,,,,,,,,,,,
,,2010 - 2011,,,,"3,577.00","6,215.00",1.74,,,,,,,,,,,,
,,2011 - 2012,,,,"3,312.00","4,552.00",1.37,,,,,,,,,,,,
,,2012 - 2013,,,,"3,013.00","5,357.00",1.78,,,,,,,,,,,,
,,2013 - 2014,,,,"3,016.00","5,654.00",1.87,,,,,,,,,,,,
,,2014 - 2015,,,,"3,152.00","5,738.00",1.82,,,,,,,,,,,,
,,2015 - 2016,,,,"3,010.00","4,623.00",1.54,,,,,,,,,,,,
,,2016 - 2017,,,,"2,878.00","6,540.00",2.27,,,,,,,,,,,,
,,2017 - 2018,,,,"2,515.00","4,958.00",1.97,,,,,,,,,,,,
,,2018 - 2019,,,,"2,199.00","5,220.00",2.37,,,,,,,,,,,,
,,2019 - 2020,,,,423,"1,129.00",2.67,,,,,,,,,,,,
,,2020 - 2021,,,,369,990,2.68,,,,,,,,,,,,
,,2021 - 2022,,,,302,716,2.37,,,,,,,,,,,,
,,2022 - 2023,,,,233,613,2.63,,,,,,,,,,,,
,8. Dantewada,2000 - 2001,,,,"7,633.00","11,343.00",1.49,,,,,,,,,,,,
,,2001 - 2002,,,,"7,609.00","6,722.00",0.88,,,,,,,,,,,,
,,2002 - 2003,,,,"7,543.00","10,824.00",1.43,,,,,,,,,,,,
,,2003 - 2004,,,,"7,406.00","9,135.00",1.23,,,,,,,,,,,,
,,2004 - 2005,,,,"7,509.00","11,595.00",1.54,,,,,,,,,,,,
,,2005 - 2006,,,,"7,439.00","8,170.00",1.1,,,,,,,,,,,,
,,2006 - 2007,,,,"5,541.00","8,338.00",1.5,,,,,,,,,,,,
,,2007 - 2008,,,,"5,631.00","9,708.00",1.72,,,,,,,,,,,,
,,2008 - 2009,,,,"5,655.00","8,342.00",1.48,,,,,,,,,,,,
,,2009 - 2010,,,,"5,720.00","5,961.00",1.04,,,,,,,,,,,,
,,2010 - 2011,,,,"5,920.00","12,607.00",2.13,,,,,,,,,,,,
,,2011 - 2012,,,,"3,274.00","6,753.00",2.06,,,,,,,,,,,,
,,2012 - 2013,,,,"3,246.00","6,217.00",1.92,,,,,,,,,,,,
,,2013 - 2014,,,,"3,323.00","8,515.00",2.56,,,,,,,,,,,,
,,2014 - 2015,,,,"3,328.00","7,098.00",2.13,,,,,,,,,,,,
,,2015 - 2016,,,,"3,171.00","5,075.00",1.6,,,,,,,,,,,,
,,2016 - 2017,,,,"3,108.00","9,001.00",2.9,,,,,,,,,,,,
,,2017 - 2018,,,,"2,763.00","5,072.00",1.84,,,,,,,,,,,,
,,2018 - 2019,,,,"2,422.00","6,470.00",2.67,,,,,,,,,,,,
,,2019 - 2020,,,,"1,694.00","4,764.00",2.81,,,,,,,,,,,,
,,2020 - 2021,,,,"1,708.00","6,038.00",3.54,,,,,,,,,,,,
,,2021 - 2022,,,,"1,695.00","5,293.00",3.12,,,,,,,,,,,,
,,2022 - 2023,,,,"1,462.00","4,474.00",3.06,,,,,,,,,,,,
,9. Dhamtari,2000 - 2001,,,,109,99,0.91,,,,,,,,,,,,
,,2001 - 2002,,,,125,82,0.66,,,,,,,,,,,,
,,2002 - 2003,,,,156,157,1.01,,,,,,,,,,,,
,,2003 - 2004,,,,256,320,1.25,,,,,,,,,,,,
,,2004 - 2005,,,,287,418,1.46,,,,,,,,,,,,
,,2005 - 2006,,,,291,307,1.05,,,,,,,,,,,,
,,2006 - 2007,,,,190,206,1.08,,,,,,,,,,,,
,,2007 - 2008,,,,191,240,1.26,,,,,,,,,,,,
,,2008 - 2009,,,,206,236,1.15,,,,,,,,,,,,
,,2009 - 2010,,,,375,925,2.47,,,,,,,,,,,,
,,2010 - 2011,,,,259,653,2.52,,,,,,,,,,,,
,,2011 - 2012,,,,"1,073.00","2,430.00",2.26,,,,,,,,,,,,
,,2012 - 2013,,,,"1,487.00","4,011.00",2.7,,,,,,,,,,,,
,,2013 - 2014,,,,"2,074.00","6,090.00",2.94,,,,,,,,,,,,
,,2014 - 2015,,,,"4,962.00","13,066.00",2.63,,,,,,,,,,,,
,,2015 - 2016,,,,"2,976.00","7,758.00",2.61,,,,,,,,,,,,
,,2016 - 2017,,,,"2,761.00","8,873.00",3.21,,,,,,,,,,,,
,,2017 - 2018,,,,"1,729.00","5,784.00",3.35,,,,,,,,,,,,
,,2018 - 2019,,,,"1,122.00","3,476.00",3.1,,,,,,,,,,,,
,,2019 - 2020,,,,774,"3,167.00",4.09,,,,,,,,,,,,
,,2020 - 2021,,,,872,"7,220.00",8.28,,,,,,,,,,,,
,,2021 - 2022,,,,616,"4,646.00",7.54,,,,,,,,,,,,
,,2022 - 2023,,,,616,"4,770.00",7.74,,,,,,,,,,,,
,10. Durg,2000 - 2001,,,,281,254,0.9,,,,,,,,,,,,
,,2001 - 2002,,,,327,185,0.57,,,,,,,,,,,,
,,2002 - 2003,,,,273,249,0.91,,,,,,,,,,,,
,,2003 - 2004,,,,286,290,1.01,,,,,,,,,,,,
,,2004 - 2005,,,,219,267,1.22,,,,,,,,,,,,
,,2005 - 2006,,,,276,249,0.9,,,,,,,,,,,,
,,2006 - 2007,,,,329,332,1.01,,,,,,,,,,,,
,,2007 - 2008,,,,310,369,1.19,,,,,,,,,,,,
,,2008 - 2009,,,,257,271,1.05,,,,,,,,,,,,
,,2009 - 2010,,,,300,245,0.82,,,,,,,,,,,,
,,2010 - 2011,,,,330,485,1.47,,,,,,,,,,,,
,,2011 - 2012,,,,148,176,1.19,,,,,,,,,,,,
,,2012 - 2013,,,,120,186,1.55,,,,,,,,,,,,
,,2013 - 2014,,,,184,202,1.1,,,,,,,,,,,,
,,2014 - 2015,,,,485,591,1.22,,,,,,,,,,,,
,,2015 - 2016,,,,180,281,1.56,,,,,,,,,,,,
,,2016 - 2017,,,,197,412,2.09,,,,,,,,,,,,
,,2017 - 2018,,,,449,837,1.86,,,,,,,,,,,,
,,2018 - 2019,,,,547,862,1.58,,,,,,,,,,,,
,,2019 - 2020,,,,677,"1,529.00",2.26,,,,,,,,,,,,
,,2020 - 2021,,,,620,"2,018.00",3.25,,,,,,,,,,,,
,,2021 - 2022,,,,562,"1,741.00",3.1,,,,,,,,,,,,
,,2022 - 2023,,,,"2,775.00","9,556.00",3.44,,,,,,,,,,,,
,11. Gariyaband,2011 - 2012,,,,709,771,1.09,,,,,,,,,,,,
,,2012 - 2013,,,,"8,314.00","12,384.00",1.49,,,,,,,,,,,,
,,2013 - 2014,,,,"10,519.00","15,934.00",1.51,,,,,,,,,,,,
,,2014 - 2015,,,,"9,023.00","15,314.00",1.7,,,,,,,,,,,,
,,2015 - 2016,,,,"7,518.00","11,388.00",1.51,,,,,,,,,,,,
,,2016 - 2017,,,,"3,788.00","8,252.00",2.18,,,,,,,,,,,,
,,2017 - 2018,,,,"3,753.00","6,688.00",1.78,,,,,,,,,,,,
,,2018 - 2019,,,,"6,345.00","13,327.00",2.1,,,,,,,,,,,,
,,2019 - 2020,,,,"8,856.00","24,304.00",2.74,,,,,,,,,,,,
,,2020 - 2021,,,,"7,074.00","18,821.00",2.66,,,,,,,,,,,,
,,2021 - 2022,,,,"5,917.00","12,837.00",2.17,,,,,,,,,,,,
,,2022 - 2023,,,,"5,222.00","12,582.00",2.41,,,,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,,,,"1,879.00","5,020.00",2.67,,,,,,,,,,,,
,,2020 - 2021,,,,"1,980.00","5,310.00",2.68,,,,,,,,,,,,
,,2021 - 2022,,,,"1,832.00","5,063.00",2.76,,,,,,,,,,,,
,,2022 - 2023,,,,"1,594.00","4,893.00",3.07,,,,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,,,,383,486,1.27,,,,,,,,,,,,
,,2001 - 2002,,,,379,286,0.75,,,,,,,,,,,,
,,2002 - 2003,,,,379,619,1.63,,,,,,,,,,,,
,,2003 - 2004,,,,413,426,1.03,,,,,,,,,,,,
,,2004 - 2005,,,,380,500,1.32,,,,,,,,,,,,
,,2005 - 2006,,,,419,503,1.2,,,,,,,,,,,,
,,2006 - 2007,,,,431,567,1.32,,,,,,,,,,,,
,,2007 - 2008,,,,444,643,1.45,,,,,,,,,,,,
,,2008 - 2009,,,,433,574,1.33,,,,,,,,,,,,
,,2009 - 2010,,,,541,876,1.62,,,,,,,,,,,,
,,2010 - 2011,,,,396,687,1.73,,,,,,,,,,,,
,,2011 - 2012,,,,338,464,1.37,,,,,,,,,,,,
,,2012 - 2013,,,,351,645,1.84,,,,,,,,,,,,
,,2013 - 2014,,,,364,819,2.25,,,,,,,,,,,,
,,2014 - 2015,,,,387,704,1.82,,,,,,,,,,,,
,,2015 - 2016,,,,334,748,2.24,,,,,,,,,,,,
,,2016 - 2017,,,,296,817,2.76,,,,,,,,,,,,
,,2017 - 2018,,,,280,805,2.88,,,,,,,,,,,,
,,2018 - 2019,,,,315,758,2.41,,,,,,,,,,,,
,,2019 - 2020,,,,403,"1,054.00",2.62,,,,,,,,,,,,
,,2020 - 2021,,,,227,766,3.37,,,,,,,,,,,,
,,2021 - 2022,,,,226,719,3.18,,,,,,,,,,,,
,,2022 - 2023,,,,76,273,3.59,,,,,,,,,,,,
,14. Jashpur,2000 - 2001,,,,"6,646.00","10,039.00",1.51,,,,,,,,,,,,
,,2001 - 2002,,,,"6,555.00","5,981.00",0.91,,,,,,,,,,,,
,,2002 - 2003,,,,"6,442.00","8,950.00",1.39,,,,,,,,,,,,
,,2003 - 2004,,,,"6,475.00","9,550.00",1.47,,,,,,,,,,,,
,,2004 - 2005,,,,"6,338.00","10,681.00",1.69,,,,,,,,,,,,
,,2005 - 2006,,,,"6,100.00","7,614.00",1.25,,,,,,,,,,,,
,,2006 - 2007,,,,"6,331.00","7,335.00",1.16,,,,,,,,,,,,
,,2007 - 2008,,,,"6,057.00","9,945.00",1.64,,,,,,,,,,,,
,,2008 - 2009,,,,"6,040.00","8,625.00",1.43,,,,,,,,,,,,
,,2009 - 2010,,,,"5,812.00","10,003.00",1.72,,,,,,,,,,,,
,,2010 - 2011,,,,"5,891.00","10,002.00",1.7,,,,,,,,,,,,
