State,District,Year,Maize,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Autumn,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,9. Leparada,2019 - 2020,,,,530,810,1.53,,,,,,,,,,,,
,,2020 - 2021,,,,532,854,1.61,,,,,,,,,,,,
,,2021 - 2022,,,,572,958,1.67,,,,,,,,,,,,
,,2022 - 2023,,,,587,984,1.68,,,,,,,,,,,,
,10. Lohit,2000 - 2001,,,,"8,680.00","8,732.00",1.01,,,,,,,,,,,,
,,2001 - 2002,,,,"5,800.00","8,120.00",1.4,,,,,,,,,,,,
,,2002 - 2003,,,,"9,041.00","10,126.00",1.12,,,,,,,,,,,,
,,2003 - 2004,,,,"9,058.00","9,964.00",1.1,,,,,,,,,,,,
,,2004 - 2005,,,,"4,657.00","5,123.00",1.1,,,,,,,,,,,,
,,2005 - 2006,,,,"7,440.00","8,481.00",1.14,,,,,,,,,,,,
,,2006 - 2007,,,,"8,023.00","11,221.00",1.4,,,,,,,,,,,,
,,2007 - 2008,,,,"8,325.00","8,855.00",1.06,,,,,,,,,,,,
,,2008 - 2009,,,,"8,585.00","10,044.00",1.17,,,,,,,,,,,,
,,2009 - 2010,,,,"8,596.00","10,315.00",1.2,,,,,,,,,,,,
,,2010 - 2011,,,,"9,960.00","12,114.00",1.22,,,,,,,,,,,,
,,2011 - 2012,,,,"10,278.00","12,823.00",1.25,,,,,,,,,,,,
,,2012 - 2013,,,,"10,340.00","12,218.00",1.18,,,,,,,,,,,,
,,2013 - 2014,,,,"10,325.00","12,348.00",1.2,,,,,,,,,,,,
,,2014 - 2015,,,,"10,390.00","12,850.00",1.24,,,,,,,,,,,,
,,2015 - 2016,,,,"4,156.00","5,140.00",1.24,,,,,,,,,,,,
,,2016 - 2017,,,,"4,231.00","5,151.00",1.22,,,,,,,,,,,,
,,2017 - 2018,,,,"4,256.00","5,239.00",1.23,,,,,,,,,,,,
,,2018 - 2019,,,,"4,265.00","5,276.00",1.24,,,,,,,,,,,,
,,2019 - 2020,,,,"4,269.00","5,329.00",1.25,,,,,,,,,,,,
,,2020 - 2021,,,,"4,271.00","5,373.00",1.26,,,,,,,,,,,,
,,2021 - 2022,,,,"4,530.00","5,708.00",1.26,,,,,,,,,,,,
,,2022 - 2023,,,,"4,543.00","5,733.00",1.26,,,,,,,,,,,,
,11. Longding,2013 - 2014,,,,"1,530.00","3,506.00",2.29,,,,,,,,,,,,
,,2014 - 2015,,,,"1,595.00","3,900.00",2.45,,,,,,,,,,,,
,,2015 - 2016,,,,"1,609.00","3,935.00",2.45,,,,,,,,,,,,
,,2016 - 2017,,,,"1,684.00","3,946.00",2.34,,,,,,,,,,,,
,,2017 - 2018,,,,"1,706.00","4,034.00",2.36,,,,,,,,,,,,
,,2018 - 2019,,,,"1,715.00","4,071.00",2.37,,,,,,,,,,,,
,,2019 - 2020,,,,"1,719.00","4,124.00",2.4,,,,,,,,,,,,
,,2020 - 2021,,,,"1,721.00","4,168.00",2.42,,,,,,,,,,,,
,,2021 - 2022,,,,"1,821.00","4,370.00",2.4,,,,,,,,,,,,
,,2022 - 2023,,,,"1,842.00","4,424.00",2.4,,,,,,,,,,,,
,12. Lower dibang valley,2002 - 2003,,,,"5,400.00","8,910.00",1.65,,,,,,,,,,,,
,,2003 - 2004,,,,"5,450.00","9,810.00",1.8,,,,,,,,,,,,
,,2004 - 2005,,,,"5,500.00","9,365.00",1.7,,,,,,,,,,,,
,,2005 - 2006,,,,"5,600.00","9,520.00",1.7,,,,,,,,,,,,
,,2006 - 2007,,,,"7,500.00","9,745.00",1.3,,,,,,,,,,,,
,,2007 - 2008,,,,"7,680.00","9,984.00",1.3,,,,,,,,,,,,
,,2008 - 2009,,,,"7,726.00","10,044.00",1.3,,,,,,,,,,,,
,,2009 - 2010,,,,"7,803.00","10,144.00",1.3,,,,,,,,,,,,
,,2010 - 2011,,,,"7,885.00","10,251.00",1.3,,,,,,,,,,,,
,,2011 - 2012,,,,"8,137.00","10,852.00",1.33,,,,,,,,,,,,
,,2012 - 2013,,,,"8,090.00","10,517.00",1.3,,,,,,,,,,,,
,,2013 - 2014,,,,"8,199.00","10,589.00",1.29,,,,,,,,,,,,
,,2014 - 2015,,,,"8,264.00","11,091.00",1.34,,,,,,,,,,,,
,,2015 - 2016,,,,"8,309.00","11,162.00",1.34,,,,,,,,,,,,
,,2016 - 2017,,,,"8,384.00","11,173.00",1.33,,,,,,,,,,,,
,,2017 - 2018,,,,"8,409.00","11,261.00",1.34,,,,,,,,,,,,
,,2018 - 2019,,,,"8,418.00","11,298.00",1.34,,,,,,,,,,,,
,,2019 - 2020,,,,"8,428.00","11,360.00",1.35,,,,,,,,,,,,
,,2020 - 2021,,,,"8,431.00","11,406.00",1.35,,,,,,,,,,,,
