State,District,Year,Khesari,,,,,,,,
,,,Rabi,,,Whole Year,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Bihar,1. Araria,2000 - 2001,"5,336.00","2,439.00",0.46,,,,,,
,,2001 - 2002,"4,017.00","1,904.00",0.47,,,,,,
,,2002 - 2003,"3,863.00","1,785.00",0.46,,,,,,
,,2003 - 2004,"4,409.00","2,196.00",0.5,,,,,,
,,2004 - 2005,"4,303.00","1,351.00",0.31,,,,,,
,,2005 - 2006,"3,026.00","1,861.00",0.62,,,,,,
,,2006 - 2007,"3,522.00","1,983.00",0.56,,,,,,
,,2007 - 2008,"4,335.00","2,909.00",0.67,,,,,,
,,2008 - 2009,"4,787.00","3,423.00",0.72,,,,,,
,,2009 - 2010,"2,833.00","2,935.00",1.04,,,,,,
,,2010 - 2011,"2,631.00","2,589.00",0.98,,,,,,
,,2011 - 2012,"2,590.00","3,276.00",1.26,,,,,,
,,2012 - 2013,"2,590.00","3,048.00",1.18,,,,,,
,,2013 - 2014,"1,063.00",931,0.88,,,,,,
,,2016 - 2017,354,375,1.06,,,,,,
,2. Arwal,2003 - 2004,"3,413.00","5,017.00",1.47,,,,,,
,,2004 - 2005,"3,075.00","1,885.00",0.61,,,,,,
,,2005 - 2006,"1,886.00","1,128.00",0.6,,,,,,
,,2007 - 2008,"1,982.00","1,510.00",0.76,,,,,,
,,2008 - 2009,"2,345.00","1,548.00",0.66,,,,,,
,,2009 - 2010,"1,725.00","1,240.00",0.72,,,,,,
,,2010 - 2011,"1,128.00",953,0.84,,,,,,
,,2011 - 2012,"1,078.00","1,522.00",1.41,,,,,,
,,2012 - 2013,"1,078.00","1,227.00",1.14,,,,,,
,,2013 - 2014,"1,513.00","1,684.00",1.11,,,,,,
,,2014 - 2015,273,351,1.29,,,,,,
,,2015 - 2016,257,206,0.8,,,,,,
,,2016 - 2017,250,202,0.81,,,,,,
,,2017 - 2018,247,219,0.89,,,,,,
,,2018 - 2019,892,671,0.75,,,,,,
,,2019 - 2020,157,106,0.68,,,,,,
,,2020 - 2021,166,156,0.94,,,,,,
,,2021 - 2022,173,229,1.32,,,,,,
,,2022 - 2023,164,138,0.84,,,,,,
,3. Aurangabad,2000 - 2001,"20,834.00","17,371.00",0.83,,,,,,
,,2001 - 2002,"20,875.00","16,617.00",0.8,,,,,,
,,2002 - 2003,"17,897.00","12,349.00",0.69,,,,,,
,,2003 - 2004,"17,440.00","15,086.00",0.87,,,,,,
,,2004 - 2005,"14,451.00","9,090.00",0.63,,,,,,
,,2005 - 2006,"13,644.00","7,900.00",0.58,,,,,,
,,2006 - 2007,"15,190.00","12,699.00",0.84,,,,,,
,,2007 - 2008,"14,481.00","11,237.00",0.78,,,,,,
,,2008 - 2009,"14,486.00","7,562.00",0.52,,,,,,
,,2009 - 2010,"14,096.00","9,247.00",0.66,,,,,,
,,2010 - 2011,"13,888.00","10,916.00",0.79,,,,,,
,,2011 - 2012,"14,838.00","16,203.00",1.09,,,,,,
,,2012 - 2013,"12,814.00","13,391.00",1.05,,,,,,
,,2013 - 2014,"11,580.00","7,122.00",0.62,,,,,,
,,2014 - 2015,"12,126.00","9,216.00",0.76,,,,,,
,,2015 - 2016,"11,726.00","8,279.00",0.71,,,,,,
,,2016 - 2017,"10,084.00","6,776.00",0.67,,,,,,
,,2017 - 2018,"9,958.00","10,665.00",1.07,,,,,,
,,2018 - 2019,"9,830.00","5,053.00",0.51,,,,,,
,,2019 - 2020,"8,689.00","6,395.00",0.74,,,,,,
,,2020 - 2021,"9,126.00","6,580.00",0.72,,,,,,
,,2021 - 2022,"8,968.00","6,861.00",0.77,,,,,,
,,2022 - 2023,"8,820.00","8,300.00",0.94,,,,,,
,4. Banka,2000 - 2001,420,384,0.91,,,,,,
,,2001 - 2002,383,313,0.82,,,,,,
,,2002 - 2003,578,468,0.81,,,,,,
,,2003 - 2004,632,582,0.92,,,,,,
,,2004 - 2005,421,229,0.54,,,,,,
,,2005 - 2006,513,320,0.62,,,,,,
,,2006 - 2007,695,412,0.59,,,,,,
,,2007 - 2008,"1,243.00","1,043.00",0.84,,,,,,
,,2008 - 2009,"1,249.00",884,0.71,,,,,,
,,2009 - 2010,262,334,1.27,,,,,,
,,2010 - 2011,300,123,0.41,,,,,,
,,2011 - 2012,217,141,0.65,,,,,,
,,2012 - 2013,241,123,0.51,,,,,,
,,2013 - 2014,303,221,0.73,,,,,,
,,2014 - 2015,317,122,0.38,,,,,,
,,2015 - 2016,287,182,0.63,,,,,,
,,2016 - 2017,176,90,0.51,,,,,,
