State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,39,39,1,,,,,,,,,
,,2003 - 2004,15,15,1,,,,,,,,,
,,2004 - 2005,19,19,1,,,,,,,,,
,,2005 - 2006,14,14,1,,,,,,,,,
,,2007 - 2008,13,13,1,,,,,,,,,
,,2008 - 2009,13,14,1.08,,,,,,,,,
,,2016 - 2017,19,11,0.58,,,,,,,,,
,,2017 - 2018,30,27,0.9,,,,,,,,,
,,2018 - 2019,25,21,0.84,,,,,,,,,
,,2019 - 2020,27,21,0.78,,,,,,,,,
,,2020 - 2021,18,15,0.83,,,,,,,,,
,,2021 - 2022,18,15,0.83,,,,,,,,,
,,2022 - 2023,17,14,0.82,,,,,,,,,
,18. Muzaffarpur,2000 - 2001,101,87,0.86,,,,,,,,,
,,2001 - 2002,114,106,0.93,,,,,,,,,
,,2002 - 2003,89,88,0.99,,,,,,,,,
,,2003 - 2004,115,114,0.99,,,,,,,,,
,,2004 - 2005,107,106,0.99,,,,,,,,,
,,2005 - 2006,79,77,0.97,,,,,,,,,
,,2007 - 2008,130,143,1.1,,,,,,,,,
,,2008 - 2009,110,134,1.22,,,,,,,,,
,,2016 - 2017,124,150,1.21,,,,,,,,,
,,2017 - 2018,110,129,1.17,,,,,,,,,
,,2018 - 2019,103,120,1.17,,,,,,,,,
,,2019 - 2020,106,125,1.18,,,,,,,,,
,,2020 - 2021,105,123,1.17,,,,,,,,,
,,2021 - 2022,55,64,1.16,,,,,,,,,
,,2022 - 2023,57,67,1.18,,,,,,,,,
,19. Nalanda,2002 - 2003,2,2,1,,,,,,,,,
,,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,
,,2008 - 2009,2,2,1,,,,,,,,,
,,2016 - 2017,5,5,1,,,,,,,,,
,20. Nawada,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,5,5,1,,,,,,,,,
,21. Pashchim champaran,2000 - 2001,174,218,1.25,,,,,,,,,
,,2001 - 2002,145,158,1.09,,,,,,,,,
,,2002 - 2003,167,165,0.99,,,,,,,,,
,,2003 - 2004,157,155,0.99,,,,,,,,,
,,2005 - 2006,157,153,0.97,,,,,,,,,
,,2007 - 2008,142,154,1.08,,,,,,,,,
,,2008 - 2009,147,179,1.22,,,,,,,,,
,,2016 - 2017,247,284,1.15,,,,,,,,,
,,2017 - 2018,239,275,1.15,,,,,,,,,
,,2018 - 2019,233,265,1.14,,,,,,,,,
,,2019 - 2020,242,277,1.14,,,,,,,,,
,,2020 - 2021,242,277,1.14,,,,,,,,,
,,2021 - 2022,240,274,1.14,,,,,,,,,
,,2022 - 2023,236,270,1.14,,,,,,,,,
,22. Patna,2016 - 2017,7,5,0.71,,,,,,,,,
,,2017 - 2018,15,10,0.67,,,,,,,,,
,23. Purbi champaran,2000 - 2001,146,162,1.11,,,,,,,,,
,,2001 - 2002,290,296,1.02,,,,,,,,,
,,2003 - 2004,25,25,1,,,,,,,,,
,,2004 - 2005,146,144,0.99,,,,,,,,,
,,2005 - 2006,142,138,0.97,,,,,,,,,
,,2007 - 2008,152,165,1.09,,,,,,,,,
,,2008 - 2009,149,184,1.23,,,,,,,,,
,,2016 - 2017,252,351,1.39,,,,,,,,,
,24. Purnia,2000 - 2001,8,8,1,,,,,,,,,
,,2001 - 2002,34,68,2,,,,,,,,,
,,2002 - 2003,13,13,1,,,,,,,,,
,,2003 - 2004,69,68,0.99,,,,,,,,,
,,2004 - 2005,85,84,0.99,,,,,,,,,
,,2005 - 2006,71,69,0.97,,,,,,,,,
,,2007 - 2008,53,50,0.94,,,,,,,,,
,,2008 - 2009,60,76,1.27,,,,,,,,,
,25. Rohtas,2000 - 2001,4,4,1,,,,,,,,,
,,2001 - 2002,3,3,1,,,,,,,,,
,,2002 - 2003,2,2,1,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2016 - 2017,5,6,1.2,,,,,,,,,
,,2017 - 2018,5,5,1,,,,,,,,,
,,2018 - 2019,5,5,1,,,,,,,,,
,,2019 - 2020,6,6,1,,,,,,,,,
,26. Saharsa,2002 - 2003,8,8,1,,,,,,,,,
,,2003 - 2004,12,12,1,,,,,,,,,
,,2004 - 2005,6,6,1,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,
,,2007 - 2008,2,2,1,,,,,,,,,
,27. Samastipur,2000 - 2001,"1,825.00","1,692.00",0.93,,,,,,,,,
,,2001 - 2002,"1,614.00","1,549.00",0.96,,,,,,,,,
,,2002 - 2003,"1,666.00","1,646.00",0.99,,,,,,,,,
,,2003 - 2004,"1,706.00","1,686.00",0.99,,,,,,,,,
,,2004 - 2005,"1,725.00","1,704.00",0.99,,,,,,,,,
,,2005 - 2006,"1,733.00","1,684.00",0.97,,,,,,,,,
,,2007 - 2008,"1,787.00","1,783.00",1,,,,,,,,,
,,2008 - 2009,"1,252.00","1,346.00",1.08,,,,,,,,,
,,2016 - 2017,"1,406.00","1,356.00",0.96,,,,,,,,,
,,2017 - 2018,"1,415.00","1,463.00",1.03,,,,,,,,,
,,2018 - 2019,"1,620.00","1,659.00",1.02,,,,,,,,,
,,2019 - 2020,"1,533.00","1,544.00",1.01,,,,,,,,,
,,2020 - 2021,"1,528.00","1,562.00",1.02,,,,,,,,,
,,2021 - 2022,"1,534.00","1,560.00",1.02,,,,,,,,,
,,2022 - 2023,"1,538.00","1,561.00",1.01,,,,,,,,,
,28. Sheohar,2000 - 2001,8,9,1.13,,,,,,,,,
,,2001 - 2002,8,8,1,,,,,,,,,
,,2002 - 2003,8,8,1,,,,,,,,,
,,2003 - 2004,9,9,1,,,,,,,,,
,,2004 - 2005,8,8,1,,,,,,,,,
,,2016 - 2017,58,48,0.83,,,,,,,,,
,,2017 - 2018,53,55,1.04,,,,,,,,,
,,2018 - 2019,59,58,0.98,,,,,,,,,
,,2019 - 2020,23,22,0.96,,,,,,,,,
,,2020 - 2021,24,24,1,,,,,,,,,
,,2021 - 2022,22,21,0.95,,,,,,,,,
,,2022 - 2023,22,21,0.95,,,,,,,,,
,29. Sitamarhi,2000 - 2001,45,50,1.11,,,,,,,,,
,,2001 - 2002,43,44,1.02,,,,,,,,,
,,2002 - 2003,43,42,0.98,,,,,,,,,
,,2003 - 2004,43,42,0.98,,,,,,,,,
,,2004 - 2005,42,41,0.98,,,,,,,,,
,30. Siwan,2000 - 2001,1,1,1,,,,,,,,,
,,2004 - 2005,9,9,1,,,,,,,,,
,,2005 - 2006,11,11,1,,,,,,,,,
,,2007 - 2008,17,17,1,,,,,,,,,
,,2008 - 2009,2,2,1,,,,,,,,,
,,2016 - 2017,15,17,1.13,,,,,,,,,
,,2017 - 2018,16,19,1.19,,,,,,,,,
,,2018 - 2019,16,18,1.13,,,,,,,,,
,,2019 - 2020,16,18,1.13,,,,,,,,,
,,2020 - 2021,16,18,1.13,,,,,,,,,
,,2021 - 2022,16,18,1.13,,,,,,,,,
,,2022 - 2023,16,18,1.13,,,,,,,,,
,31. Supaul,2000 - 2001,36,35,0.97,,,,,,,,,
,,2001 - 2002,54,56,1.04,,,,,,,,,
,,2002 - 2003,111,110,0.99,,,,,,,,,
,,2003 - 2004,25,25,1,,,,,,,,,
,,2004 - 2005,43,42,0.98,,,,,,,,,
,,2005 - 2006,67,65,0.97,,,,,,,,,
,,2007 - 2008,8,8,1,,,,,,,,,
,,2008 - 2009,31,36,1.16,,,,,,,,,
,,2016 - 2017,104,38,0.37,,,,,,,,,
,,2017 - 2018,104,88,0.85,,,,,,,,,
,,2018 - 2019,110,85,0.77,,,,,,,,,
,,2019 - 2020,109,72,0.66,,,,,,,,,
,,2020 - 2021,110,84,0.76,,,,,,,,,
,,2021 - 2022,106,77,0.73,,,,,,,,,
,,2022 - 2023,105,107,1.02,,,,,,,,,
,32. Vaishali,2000 - 2001,148,164,1.11,,,,,,,,,
,,2001 - 2002,113,115,1.02,,,,,,,,,
,,2002 - 2003,118,117,0.99,,,,,,,,,
,,2003 - 2004,39,39,1,,,,,,,,,
,,2004 - 2005,59,58,0.98,,,,,,,,,
,,2005 - 2006,47,46,0.98,,,,,,,,,
,,2007 - 2008,13,12,0.92,,,,,,,,,
,,2008 - 2009,10,10,1,,,,,,,,,
,,2016 - 2017,26,31,1.19,,,,,,,,,
6. Chhattisgarh,1. Balod,2012 - 2013,1,1,1,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2014 - 2015,2,2,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,4,6,1.5,,,,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,,,,
,,2022 - 2023,4,6,1.5,,,,,,,,,
,2. Baloda bazar,2011 - 2012,34,74,2.18,,,,,,,,,
,,2012 - 2013,29,58,2,,,,,,,,,
,,2013 - 2014,33,66,2,,,,,,,,,
,,2014 - 2015,27,58,2.15,,,,,,,,,
,,2015 - 2016,28,52,1.86,,,,,,,,,
,,2016 - 2017,33,51,1.55,,,,,,,,,
,,2017 - 2018,66,101,1.53,,,,,,,,,
,,2018 - 2019,30,46,1.53,,,,,,,,,
,,2019 - 2020,25,41,1.64,,,,,,,,,
,,2020 - 2021,29,44,1.52,,,,,,,,,
,,2021 - 2022,48,80,1.67,,,,,,,,,
,,2022 - 2023,40,64,1.6,,,,,,,,,
,3. Balrampur,2011 - 2012,105,103,0.98,,,,,,,,,
,,2012 - 2013,118,112,0.95,,,,,,,,,
,,2013 - 2014,124,88,0.71,,,,,,,,,
,,2014 - 2015,134,105,0.78,,,,,,,,,
,,2015 - 2016,142,111,0.78,,,,,,,,,
,,2016 - 2017,136,121,0.89,,,,,,,,,
,,2017 - 2018,126,114,0.9,,,,,,,,,
,,2018 - 2019,146,127,0.87,,,,,,,,,
,,2019 - 2020,46,37,0.8,,,,,,,,,
,,2020 - 2021,77,99,1.29,,,,,,,,,
,,2021 - 2022,56,72,1.29,,,,,,,,,
,,2022 - 2023,15,12,0.8,,,,,,,,,
,4. Bastar,2000 - 2001,127,108,0.85,,,,,,,,,
,,2001 - 2002,114,97,0.85,,,,,,,,,
,,2002 - 2003,143,123,0.86,,,,,,,,,
,,2003 - 2004,128,110,0.86,,,,,,,,,
,,2004 - 2005,140,120,0.86,,,,,,,,,
,,2005 - 2006,151,130,0.86,,,,,,,,,
,,2006 - 2007,146,126,0.86,,,,,,,,,
,,2007 - 2008,173,149,0.86,,,,,,,,,
,,2008 - 2009,156,135,0.87,,,,,,,,,
,,2009 - 2010,157,135,0.86,,,,,,,,,
,,2010 - 2011,162,129,0.8,,,,,,,,,
,,2011 - 2012,117,104,0.89,,,,,,,,,
,,2012 - 2013,110,104,0.95,,,,,,,,,
,,2013 - 2014,102,96,0.94,,,,,,,,,
,,2014 - 2015,116,66,0.57,,,,,,,,,
,,2015 - 2016,110,87,0.79,,,,,,,,,
,,2016 - 2017,116,102,0.88,,,,,,,,,
,,2017 - 2018,109,73,0.67,,,,,,,,,
,,2018 - 2019,108,84,0.78,,,,,,,,,
,,2019 - 2020,60,46,0.77,,,,,,,,,
,,2020 - 2021,45,31,0.69,,,,,,,,,
,,2021 - 2022,42,29,0.69,,,,,,,,,
,,2022 - 2023,44,31,0.7,,,,,,,,,
,5. Bemetara,2011 - 2012,20,23,1.15,,,,,,,,,
,,2012 - 2013,19,18,0.95,,,,,,,,,
,,2013 - 2014,33,43,1.3,,,,,,,,,
,,2014 - 2015,25,29,1.16,,,,,,,,,
,,2015 - 2016,23,20,0.87,,,,,,,,,
,,2016 - 2017,35,35,1,,,,,,,,,
,,2017 - 2018,57,408,7.16,,,,,,,,,
,,2018 - 2019,94,82,0.87,,,,,,,,,
,,2019 - 2020,129,97,0.75,,,,,,,,,
,,2020 - 2021,180,482,2.68,,,,,,,,,
,,2021 - 2022,152,407,2.68,,,,,,,,,
,,2022 - 2023,98,237,2.42,,,,,,,,,
,6. Bijapur,2006 - 2007,12,,0,,,,,,,,,
,,2007 - 2008,11,9,0.82,,,,,,,,,
,,2008 - 2009,11,,0,,,,,,,,,
,,2009 - 2010,12,10,0.83,,,,,,,,,
,,2010 - 2011,11,9,0.82,,,,,,,,,
,,2011 - 2012,12,6,0.5,,,,,,,,,
,,2012 - 2013,14,8,0.57,,,,,,,,,
,,2013 - 2014,18,10,0.56,,,,,,,,,
,,2014 - 2015,15,13,0.87,,,,,,,,,
,,2015 - 2016,17,12,0.71,,,,,,,,,
,,2016 - 2017,12,8,0.67,,,,,,,,,
,,2017 - 2018,11,7,0.64,,,,,,,,,
,,2018 - 2019,15,6,0.4,,,,,,,,,
,,2019 - 2020,8,9,1.13,,,,,,,,,
,,2020 - 2021,3,3,1,,,,,,,,,
,,2021 - 2022,6,7,1.17,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,7. Bilaspur,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2002 - 2003,2,2,1,,,,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2005 - 2006,2,2,1,,,,,,,,,
,,2006 - 2007,2,2,1,,,,,,,,,
,,2007 - 2008,2,2,1,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2019 - 2020,6,6,1,,,,,,,,,
,,2020 - 2021,10,12,1.2,,,,,,,,,
,,2021 - 2022,10,12,1.2,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,8. Dantewada,2000 - 2001,66,44,0.67,,,,,,,,,
,,2001 - 2002,55,42,0.76,,,,,,,,,
,,2002 - 2003,57,31,0.54,,,,,,,,,
,,2003 - 2004,59,41,0.69,,,,,,,,,
,,2004 - 2005,59,33,0.56,,,,,,,,,
,,2005 - 2006,70,37,0.53,,,,,,,,,
,,2006 - 2007,45,39,0.87,,,,,,,,,
,,2007 - 2008,41,35,0.85,,,,,,,,,
,,2008 - 2009,30,20,0.67,,,,,,,,,
,,2009 - 2010,40,,0,,,,,,,,,
,,2010 - 2011,44,35,0.8,,,,,,,,,
,,2011 - 2012,28,22,0.79,,,,,,,,,
,,2012 - 2013,39,23,0.59,,,,,,,,,
,,2013 - 2014,40,22,0.55,,,,,,,,,
,,2014 - 2015,41,36,0.88,,,,,,,,,
,,2015 - 2016,55,40,0.73,,,,,,,,,
,,2016 - 2017,62,49,0.79,,,,,,,,,
,,2017 - 2018,49,31,0.63,,,,,,,,,
,,2018 - 2019,51,56,1.1,,,,,,,,,
,,2019 - 2020,27,30,1.11,,,,,,,,,
,,2020 - 2021,12,10,0.83,,,,,,,,,
,,2021 - 2022,16,13,0.81,,,,,,,,,
,,2022 - 2023,10,11,1.1,,,,,,,,,
,9. Dhamtari,2000 - 2001,2,3,1.5,,,,,,,,,
,,2001 - 2002,3,6,2,,,,,,,,,
,,2002 - 2003,2,3,1.5,,,,,,,,,
,,2003 - 2004,3,6,2,,,,,,,,,
,,2004 - 2005,5,10,2,,,,,,,,,
,,2005 - 2006,2,4,2,,,,,,,,,
,,2006 - 2007,5,3,0.6,,,,,,,,,
,,2007 - 2008,3,5,1.67,,,,,,,,,
,,2008 - 2009,5,10,2,,,,,,,,,
,,2009 - 2010,5,10,2,,,,,,,,,
,,2015 - 2016,2,4,2,,,,,,,,,
,,2016 - 2017,2,3,1.5,,,,,,,,,
,,2018 - 2019,1,3,3,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2020 - 2021,1,2,2,,,,,,,,,
,,2021 - 2022,6,13,2.17,,,,,,,,,
,,2022 - 2023,6,13,2.17,,,,,,,,,
,10. Durg,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2002 - 2003,9,9,1,,,,,,,,,
,,2003 - 2004,5,6,1.2,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,52,45,0.87,,,,,,,,,
,,2008 - 2009,4,3,0.75,,,,,,,,,
,,2010 - 2011,16,29,1.81,,,,,,,,,
,,2011 - 2012,6,7,1.17,,,,,,,,,
,,2012 - 2013,5,5,1,,,,,,,,,
,,2014 - 2015,53,62,1.17,,,,,,,,,
,,2019 - 2020,3,3,1,,,,,,,,,
,,2020 - 2021,35,35,1,,,,,,,,,
,,2021 - 2022,34,34,1,,,,,,,,,
,,2022 - 2023,29,32,1.1,,,,,,,,,
,11. Gariyaband,2011 - 2012,1,2,2,,,,,,,,,
,,2012 - 2013,1,2,2,,,,,,,,,
,,2013 - 2014,9,18,2,,,,,,,,,
,,2014 - 2015,10,15,1.5,,,,,,,,,
,,2015 - 2016,9,17,1.89,,,,,,,,,
,,2019 - 2020,1,3,3,,,,,,,,,
,,2020 - 2021,3,8,2.67,,,,,,,,,
,,2021 - 2022,4,10,2.5,,,,,,,,,
,,2022 - 2023,9,18,2,,,,,,,,,
,12. Gaurella-pendra-marwahi,2020 - 2021,1,1,1,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,3,3,1,,,,,,,,,
,,2001 - 2002,6,6,1,,,,,,,,,
,,2002 - 2003,5,5,1,,,,,,,,,
,,2003 - 2004,3,3,1,,,,,,,,,
,,2004 - 2005,6,5,0.83,,,,,,,,,
,,2005 - 2006,7,6,0.86,,,,,,,,,
,,2006 - 2007,10,8,0.8,,,,,,,,,
,,2007 - 2008,7,7,1,,,,,,,,,
,,2008 - 2009,7,6,0.86,,,,,,,,,
,,2009 - 2010,5,,0,,,,,,,,,
,,2010 - 2011,7,6,0.86,,,,,,,,,
,,2011 - 2012,7,7,1,,,,,,,,,
,,2012 - 2013,16,14,0.88,,,,,,,,,
,,2013 - 2014,25,24,0.96,,,,,,,,,
,,2014 - 2015,27,26,0.96,,,,,,,,,
,,2015 - 2016,4,4,1,,,,,,,,,
,,2016 - 2017,10,10,1,,,,,,,,,
,,2017 - 2018,5,5,1,,,,,,,,,
,,2018 - 2019,6,6,1,,,,,,,,,
,,2019 - 2020,7,7,1,,,,,,,,,
,,2020 - 2021,5,5,1,,,,,,,,,
,,2021 - 2022,6,5,0.83,,,,,,,,,
,14. Jashpur,2000 - 2001,43,30,0.7,,,,,,,,,
,,2001 - 2002,47,37,0.79,,,,,,,,,
,,2002 - 2003,52,39,0.75,,,,,,,,,
,,2003 - 2004,50,37,0.74,,,,,,,,,
,,2004 - 2005,57,43,0.75,,,,,,,,,
,,2005 - 2006,52,37,0.71,,,,,,,,,
,,2006 - 2007,46,35,0.76,,,,,,,,,
,,2007 - 2008,53,40,0.75,,,,,,,,,
,,2008 - 2009,51,40,0.78,,,,,,,,,
,,2009 - 2010,57,42,0.74,,,,,,,,,
,,2010 - 2011,63,46,0.73,,,,,,,,,
,,2011 - 2012,78,58,0.74,,,,,,,,,
,,2012 - 2013,81,59,0.73,,,,,,,,,
,,2013 - 2014,77,55,0.71,,,,,,,,,
,,2014 - 2015,75,54,0.72,,,,,,,,,
,,2015 - 2016,80,65,0.81,,,,,,,,,
,,2016 - 2017,80,57,0.71,,,,,,,,,
,,2017 - 2018,89,91,1.02,,,,,,,,,
,,2018 - 2019,91,64,0.7,,,,,,,,,
,,2019 - 2020,92,43,0.47,,,,,,,,,
,,2020 - 2021,90,70,0.78,,,,,,,,,
,,2021 - 2022,89,68,0.76,,,,,,,,,
,,2022 - 2023,63,103,1.63,,,,,,,,,
,15. Kabirdham,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2014 - 2015,2,2,1,,,,,,,,,
,16. Kanker,2000 - 2001,19,19,1,,,,,,,,,
,,2001 - 2002,13,10,0.77,,,,,,,,,
,,2002 - 2003,13,11,0.85,,,,,,,,,
,,2003 - 2004,11,12,1.09,,,,,,,,,
,,2004 - 2005,9,7,0.78,,,,,,,,,
,,2005 - 2006,12,11,0.92,,,,,,,,,
,,2006 - 2007,10,9,0.9,,,,,,,,,
,,2007 - 2008,11,11,1,,,,,,,,,
,,2008 - 2009,11,9,0.82,,,,,,,,,
,,2009 - 2010,11,9,0.82,,,,,,,,,
,,2010 - 2011,13,11,0.85,,,,,,,,,
,,2011 - 2012,10,9,0.9,,,,,,,,,
,,2012 - 2013,10,6,0.6,,,,,,,,,
,,2013 - 2014,32,16,0.5,,,,,,,,,
,,2014 - 2015,43,25,0.58,,,,,,,,,
,,2015 - 2016,29,19,0.66,,,,,,,,,
,,2016 - 2017,26,22,0.85,,,,,,,,,
,,2017 - 2018,17,11,0.65,,,,,,,,,
,,2018 - 2019,18,11,0.61,,,,,,,,,
,,2019 - 2020,4,2,0.5,,,,,,,,,
,,2020 - 2021,6,3,0.5,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,5,6,1.2,,,,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,5,5,1,,,,,,,,,
,18. Kondagaon,2011 - 2012,45,40,0.89,,,,,,,,,
,,2012 - 2013,46,43,0.93,,,,,,,,,
,,2013 - 2014,38,28,0.74,,,,,,,,,
,,2014 - 2015,42,31,0.74,,,,,,,,,
,,2015 - 2016,46,67,1.46,,,,,,,,,
,,2016 - 2017,51,75,1.47,,,,,,,,,
,,2017 - 2018,43,60,1.4,,,,,,,,,
,,2018 - 2019,38,56,1.47,,,,,,,,,
,,2019 - 2020,38,62,1.63,,,,,,,,,
,,2020 - 2021,27,40,1.48,,,,,,,,,
,,2021 - 2022,22,33,1.5,,,,,,,,,
,,2022 - 2023,23,34,1.48,,,,,,,,,
,19. Korba,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,3,3,1,,,,,,,,,
,,2003 - 2004,5,4,0.8,,,,,,,,,
,,2004 - 2005,8,7,0.88,,,,,,,,,
,,2005 - 2006,10,8,0.8,,,,,,,,,
,,2006 - 2007,9,8,0.89,,,,,,,,,
,,2007 - 2008,6,6,1,,,,,,,,,
,,2008 - 2009,6,5,0.83,,,,,,,,,
,,2009 - 2010,8,,0,,,,,,,,,
,,2010 - 2011,5,4,0.8,,,,,,,,,
,,2011 - 2012,4,4,1,,,,,,,,,
,,2012 - 2013,4,4,1,,,,,,,,,
,,2013 - 2014,4,4,1,,,,,,,,,
,,2014 - 2015,6,6,1,,,,,,,,,
,,2015 - 2016,4,4,1,,,,,,,,,
,,2016 - 2017,4,4,1,,,,,,,,,
,,2017 - 2018,5,5,1,,,,,,,,,
,,2018 - 2019,12,15,1.25,,,,,,,,,
,,2019 - 2020,4,4,1,,,,,,,,,
,,2020 - 2021,3,3,1,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,
,20. Korea,2000 - 2001,15,15,1,,,,,,,,,
,,2001 - 2002,17,15,0.88,,,,,,,,,
,,2002 - 2003,13,12,0.92,,,,,,,,,
,,2003 - 2004,10,9,0.9,,,,,,,,,
,,2004 - 2005,15,13,0.87,,,,,,,,,
,,2005 - 2006,13,11,0.85,,,,,,,,,
,,2006 - 2007,15,12,0.8,,,,,,,,,
,,2007 - 2008,22,16,0.73,,,,,,,,,
,,2008 - 2009,20,18,0.9,,,,,,,,,
,,2009 - 2010,19,17,0.89,,,,,,,,,
,,2010 - 2011,17,15,0.88,,,,,,,,,
,,2011 - 2012,24,18,0.75,,,,,,,,,
,,2012 - 2013,22,19,0.86,,,,,,,,,
,,2013 - 2014,24,19,0.79,,,,,,,,,
,,2014 - 2015,26,23,0.88,,,,,,,,,
,,2015 - 2016,33,20,0.61,,,,,,,,,
,,2016 - 2017,33,32,0.97,,,,,,,,,
,,2017 - 2018,35,152,4.34,,,,,,,,,
,,2018 - 2019,29,23,0.79,,,,,,,,,
,,2019 - 2020,16,11,0.69,,,,,,,,,
,,2020 - 2021,10,13,1.3,,,,,,,,,
,,2021 - 2022,11,14,1.27,,,,,,,,,
,,2022 - 2023,6,4,0.67,,,,,,,,,
,21. Mahasamund,2000 - 2001,2,3,1.5,,,,,,,,,
,,2001 - 2002,13,26,2,,,,,,,,,
,,2002 - 2003,3,5,1.67,,,,,,,,,
,,2003 - 2004,2,4,2,,,,,,,,,
,,2004 - 2005,2,4,2,,,,,,,,,
,,2005 - 2006,2,3,1.5,,,,,,,,,
,,2006 - 2007,2,4,2,,,,,,,,,
,,2007 - 2008,1,2,2,,,,,,,,,
,,2008 - 2009,1,2,2,,,,,,,,,
,,2010 - 2011,2,4,2,,,,,,,,,
,,2012 - 2013,3,6,2,,,,,,,,,
,,2013 - 2014,2,4,2,,,,,,,,,
,,2014 - 2015,7,11,1.57,,,,,,,,,
,,2015 - 2016,2,4,2,,,,,,,,,
,,2016 - 2017,2,3,1.5,,,,,,,,,
,,2017 - 2018,1,2,2,,,,,,,,,
,,2018 - 2019,7,18,2.57,,,,,,,,,
,,2019 - 2020,10,25,2.5,,,,,,,,,
,,2020 - 2021,15,38,2.53,,,,,,,,,
,,2021 - 2022,26,66,2.54,,,,,,,,,
,,2022 - 2023,27,49,1.81,,,,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,2,1,0.5,,,,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,2,2,1,,,,,,,,,
,24. Mungeli,2017 - 2018,1,1,1,,,,,,,,,
,,2019 - 2020,3,3,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,25. Narayanpur,2006 - 2007,1,,0,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,,,,
,,2015 - 2016,3,2,0.67,,,,,,,,,
,,2016 - 2017,4,3,0.75,,,,,,,,,
,,2017 - 2018,3,2,0.67,,,,,,,,,
,,2018 - 2019,5,6,1.2,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2021 - 2022,26,29,1.12,,,,,,,,,
,,2022 - 2023,12,9,0.75,,,,,,,,,
,26. Raigarh,2000 - 2001,70,49,0.7,,,,,,,,,
,,2001 - 2002,50,40,0.8,,,,,,,,,
,,2002 - 2003,55,41,0.75,,,,,,,,,
,,2003 - 2004,64,50,0.78,,,,,,,,,
,,2004 - 2005,89,68,0.76,,,,,,,,,
,,2005 - 2006,90,71,0.79,,,,,,,,,
,,2006 - 2007,156,123,0.79,,,,,,,,,
,,2007 - 2008,101,80,0.79,,,,,,,,,
,,2008 - 2009,105,85,0.81,,,,,,,,,
,,2009 - 2010,109,79,0.72,,,,,,,,,
,,2010 - 2011,111,80,0.72,,,,,,,,,
,,2011 - 2012,115,86,0.75,,,,,,,,,
,,2012 - 2013,99,74,0.75,,,,,,,,,
,,2013 - 2014,114,89,0.78,,,,,,,,,
,,2014 - 2015,784,641,0.82,,,,,,,,,
,,2015 - 2016,751,615,0.82,,,,,,,,,
,,2016 - 2017,761,595,0.78,,,,,,,,,
,,2017 - 2018,637,93,0.15,,,,,,,,,
