State,District,Year,Turmeric,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,,,,17,190,11.18,,,
,,2013 - 2014,,,,,,,16,197,12.31,,,
,,2014 - 2015,,,,,,,17,199,11.71,,,
,,2015 - 2016,,,,,,,12,95,7.92,,,
,,2016 - 2017,,,,,,,13,52,4,,,
,,2017 - 2018,,,,,,,402,"4,824.00",12,,,
,,2018 - 2019,,,,,,,5,"4,824.00",964.8,,,
,,2019 - 2020,,,,,,,402,"4,824.00",12,,,
,3. East godavari,2000 - 2001,282,"1,266.00",4.49,,,,,,,,,
,,2001 - 2002,239,"1,033.00",4.32,,,,,,,,,
,,2002 - 2003,265,"1,421.00",5.36,,,,,,,,,
,,2003 - 2004,222,"1,370.00",6.17,,,,,,,,,
,,2004 - 2005,416,"3,363.00",8.08,,,,,,,,,
,,2005 - 2006,410,"2,571.00",6.27,,,,,,,,,
,,2006 - 2007,289,"1,699.00",5.88,,,,,,,,,
,,2008 - 2009,267,"1,835.00",6.87,,,,,,,,,
,,2009 - 2010,165,"1,029.00",6.24,,,,,,,,,
,,2010 - 2011,339,"2,070.00",6.11,,,,,,,,,
,,2011 - 2012,296,"2,222.00",7.51,,,,,,,,,
,,2012 - 2013,,,,,,,183,"1,212.00",6.62,,,
,,2013 - 2014,,,,,,,159,"1,059.00",6.66,,,
,,2014 - 2015,,,,,,,160,"1,151.00",7.19,,,
,,2015 - 2016,,,,,,,164,"1,108.00",6.76,,,
,,2016 - 2017,,,,9,38,4.22,216,912,4.22,,,
,,2017 - 2018,,,,,,,558,"6,696.00",12,,,
,,2018 - 2019,,,,,,,209,"3,888.00",18.6,,,
,,2019 - 2020,,,,,,,324,"3,888.00",12,,,
,4. Guntur,2000 - 2001,"4,902.00","25,647.00",5.23,,,,,,,,,
,,2001 - 2002,"4,266.00","22,964.00",5.38,,,,,,,,,
,,2002 - 2003,"4,625.00","29,669.00",6.41,,,,,,,,,
,,2003 - 2004,"4,289.00","30,649.00",7.15,,,,,,,,,
,,2004 - 2005,"4,846.00","34,184.00",7.05,,,,,,,,,
,,2005 - 2006,"5,219.00","34,127.00",6.54,,,,,,,,,
,,2006 - 2007,"5,359.00","32,047.00",5.98,,,,,,,,,
,,2008 - 2009,"4,394.00","30,354.00",6.91,,,,,,,,,
,,2009 - 2010,"4,704.00","24,301.00",5.17,,,,,,,,,
,,2010 - 2011,"5,413.00","35,027.00",6.47,,,,,,,,,
,,2011 - 2012,"5,593.00","43,737.00",7.82,,,,,,,,,
,,2012 - 2013,,,,,,,"5,013.00","32,695.00",6.52,,,
,,2013 - 2014,,,,,,,"5,276.00","36,858.00",6.99,,,
,,2014 - 2015,,,,,,,"4,854.00","38,817.00",8,,,
,,2015 - 2016,,,,,,,"5,328.00","34,030.00",6.39,,,
,,2016 - 2017,,,,,,,"5,582.00","25,521.00",4.57,,,
,,2017 - 2018,,,,,,,"5,422.00","65,064.00",12,,,
,,2018 - 2019,,,,,,,"5,059.00","61,020.00",12.06,,,
,,2019 - 2020,,,,,,,"4,806.00","57,672.00",12,,,
,5. Kadapa,2000 - 2001,"3,574.00","24,889.00",6.96,,,,,,,,,
,,2001 - 2002,"2,470.00","12,204.00",4.94,,,,,,,,,
,,2002 - 2003,"3,153.00","10,228.00",3.24,,,,,,,,,
,,2003 - 2004,"2,476.00","17,221.00",6.96,,,,,,,,,
,,2004 - 2005,"2,826.00","25,505.00",9.03,,,,,,,,,
,,2005 - 2006,"2,522.00","19,107.00",7.58,,,,,,,,,
,,2006 - 2007,"3,116.00","24,436.00",7.84,,,,,,,,,
,,2008 - 2009,"2,408.00","24,297.00",10.09,,,,,,,,,
,,2009 - 2010,"3,015.00","36,506.00",12.11,,,,,,,,,
,,2010 - 2011,"5,518.00","43,438.00",7.87,,,,,,,,,
,,2011 - 2012,"7,447.00","61,363.00",8.24,,,,,,,,,
,,2012 - 2013,,,,31,120,3.87,"4,510.00","17,530.00",3.89,,,
,,2013 - 2014,,,,8,78,9.75,"4,036.00","39,226.00",9.72,,,
,,2014 - 2015,,,,,,,"3,285.00","26,694.00",8.13,,,
