State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,14,10,0.71,774,"4,453.00",5.75,,,,,,,,,
,,2022 - 2023,,,,333,"2,412.00",7.24,,,,,,,,,
,8. Eluru,2022 - 2023,11,13,1.18,55,398,7.24,,,,,,,,,
,9. Guntur,2000 - 2001,181,67,0.37,718,626,0.87,,,,,,,,,
,,2001 - 2002,184,105,0.57,398,294,0.74,,,,,,,,,
,,2002 - 2003,76,25,0.33,"8,638.00","6,928.00",0.8,,,,,,,,,
,,2003 - 2004,"9,610.00","28,426.00",2.96,"22,318.00","41,913.00",1.88,,,,,,,,,
,,2004 - 2005,"1,797.00",961,0.53,"1,515.00","8,043.00",5.31,,,,,,,,,
,,2005 - 2006,202,112,0.55,"2,449.00","12,806.00",5.23,,,,,,,,,
,,2006 - 2007,,,,723,"4,168.00",5.76,,,,,,,,,
,,2007 - 2008,,,,"3,000.00","15,000.00",5,,,,,,,,,
,,2008 - 2009,,,,"5,108.00","35,633.00",6.98,,,,,,,,,
,,2009 - 2010,180,212,1.18,"3,449.00","20,422.00",5.92,,,,,,,,,
,,2010 - 2011,61,88,1.44,"3,940.00","23,995.00",6.09,,,,,,,,,
,,2011 - 2012,,,,"21,061.00","1,25,945.00",5.98,,,,,,,,,
,,2012 - 2013,,,,"28,000.00","1,49,000.00",5.32,,,,,,,,,
,,2013 - 2014,205,358,1.75,"13,556.00","82,027.00",6.05,,,,,,,,,
,,2014 - 2015,32,48,1.5,"21,907.00","1,50,983.00",6.89,,,,,,,,,
,,2015 - 2016,65,72,1.11,"14,381.00","95,030.00",6.61,,,,,,,,,
,,2016 - 2017,45,65,1.44,"13,861.00","82,764.00",5.97,,,,,,,,,
,,2017 - 2018,73,74,1.01,"34,359.00","1,94,541.00",5.66,,,,,,,,,
,,2018 - 2019,40,5,0.13,"32,193.00","1,49,601.00",4.65,,,,,,,,,
,,2019 - 2020,,,,"40,280.00","2,40,149.00",5.96,,,,,,,,,
,,2020 - 2021,33,45,1.36,"50,382.00","3,01,536.00",5.98,,,,,,,,,
,,2021 - 2022,11,12,1.09,"29,810.00","1,64,998.00",5.53,,,,,,,,,
,,2022 - 2023,2,2,1,"11,890.00","94,193.00",7.92,,,,,,,,,
,10. Kadapa,2000 - 2001,"7,798.00","13,132.00",1.68,"3,095.00","3,729.00",1.2,,,,,,,,,
,,2001 - 2002,"2,781.00","1,460.00",0.52,"1,513.00",690,0.46,,,,,,,,,
,,2002 - 2003,882,361,0.41,"11,086.00","2,783.00",0.25,,,,,,,,,
,,2003 - 2004,"4,190.00",997,0.24,"7,389.00","3,665.00",0.5,,,,,,,,,
,,2004 - 2005,"2,022.00",922,0.46,"1,838.00",632,0.34,,,,,,,,,
,,2005 - 2006,"3,595.00","6,295.00",1.75,"3,029.00","3,647.00",1.2,,,,,,,,,
,,2006 - 2007,"4,908.00","5,507.00",1.12,"12,881.00","9,532.00",0.74,,,,,,,,,
,,2007 - 2008,"1,000.00","2,000.00",2,"5,000.00","6,000.00",1.2,,,,,,,,,
,,2008 - 2009,643,"1,602.00",2.49,"6,609.00","5,096.00",0.77,,,,,,,,,
,,2009 - 2010,"6,749.00","13,532.00",2.01,"4,641.00","4,298.00",0.93,,,,,,,,,
,,2010 - 2011,"1,199.00","1,741.00",1.45,"4,185.00","6,344.00",1.52,,,,,,,,,
,,2011 - 2012,"5,273.00","3,317.00",0.63,"7,881.00","2,624.00",0.33,,,,,,,,,
,,2012 - 2013,"3,000.00","7,000.00",2.33,"13,000.00","19,000.00",1.46,,,,,,,,,
