State,District,Year,Jowar,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,"30,529.00","28,300.00",0.93,"24,292.00","26,979.00",1.11,,,,727,"2,210.00",3.04,,,
,,2010 - 2011,"28,537.00","40,568.00",1.42,"20,656.00","29,007.00",1.4,,,,386,"1,618.00",4.19,,,
,,2011 - 2012,"26,778.00","31,726.00",1.18,"11,332.00","22,252.00",1.96,,,,"4,075.00","7,456.00",1.83,,,
,,2012 - 2013,"13,928.00","17,849.00",1.28,"22,034.00","26,584.00",1.21,,,,"2,034.00","3,244.00",1.59,,,
,,2013 - 2014,"31,439.00","55,672.00",1.77,"17,618.00","21,323.00",1.21,,,,"2,537.00","4,107.00",1.62,,,
,,2014 - 2015,"21,316.00","40,197.00",1.89,"17,366.00","25,588.00",1.47,,,,897,"1,604.00",1.79,,,
,,2015 - 2016,"17,106.00","28,000.00",1.64,"31,225.00","53,246.00",1.71,,,,"1,901.00","4,972.00",2.62,,,
,,2016 - 2017,"17,057.00","34,758.00",2.04,"14,561.00","8,632.00",0.59,,,,430,623,1.45,,,
,,2017 - 2018,"11,272.00","28,409.00",2.52,"27,861.00","58,071.00",2.08,,,,182,378,2.08,,,
,,2018 - 2019,"13,657.00","29,607.00",2.17,"15,698.00","31,675.00",2.02,,,,447,915,2.05,,,
,,2019 - 2020,"13,575.00","35,478.00",2.61,"20,795.00","46,504.00",2.24,,,,186,328,1.76,,,
,,2020 - 2021,"11,265.00","36,071.00",3.2,"13,046.00","31,049.00",2.38,,,,"1,039.00","2,144.00",2.06,,,
,,2021 - 2022,"9,386.00","27,577.00",2.94,"14,125.00","35,863.00",2.54,,,,,,,,,
,,2022 - 2023,"4,583.00","14,122.00",3.08,"17,097.00","46,145.00",2.7,,,,,,,,,
,5. Bengaluru urban,2003 - 2004,253,268,1.06,,,,,,,,,,,,
,,2012 - 2013,750,918,1.22,1,1,1,,,,14,23,1.64,,,
,,2013 - 2014,852,"1,212.00",1.42,21,23,1.1,,,,12,20,1.67,,,
,,2014 - 2015,538,744,1.38,42,46,1.1,,,,3,6,2,,,
,,2018 - 2019,365,501,1.37,,,,,,,,,,,,
,,2019 - 2020,"1,960.00","2,583.00",1.32,48,53,1.1,,,,,,,,,
,,2020 - 2021,"1,091.00","2,189.00",2.01,11,12,1.09,,,,,,,,,
,,2021 - 2022,923,"1,493.00",1.62,14,16,1.14,,,,,,,,,
,,2022 - 2023,712,"1,143.00",1.61,35,43,1.23,,,,,,,,,
,6. Bidar,2000 - 2001,"75,439.00","1,10,862.00",1.47,"32,055.00","13,399.00",0.42,,,,13,24,1.85,,,
,,2001 - 2002,"69,180.00","97,825.00",1.41,"29,109.00","14,347.00",0.49,,,,,,,,,
,,2002 - 2003,"69,191.00","1,08,598.00",1.57,"32,041.00","13,638.00",0.43,,,,,,,,,
,,2003 - 2004,"65,262.00","93,270.00",1.43,"30,617.00","8,929.00",0.29,,,,,,,,,
,,2004 - 2005,"63,640.00","78,627.00",1.24,"31,157.00","11,721.00",0.38,,,,,,,,,
,,2005 - 2006,"59,339.00","68,914.00",1.16,"29,402.00","10,111.00",0.34,,,,,,,,,
,,2006 - 2007,"58,541.00","83,774.00",1.43,"26,870.00","13,172.00",0.49,,,,,,,,,
,,2007 - 2008,"60,040.00","1,14,717.00",1.91,"23,488.00","11,369.00",0.48,,,,,,,,,
,,2008 - 2009,"56,822.00","88,510.00",1.56,"24,150.00","13,398.00",0.55,,,,,,,,,
,,2009 - 2010,"55,352.00","45,436.00",0.82,"26,124.00","13,677.00",0.52,,,,,,,,,
,,2010 - 2011,"56,034.00","77,549.00",1.38,"22,485.00","8,414.00",0.37,,,,,,,,,
,,2011 - 2012,"53,943.00","90,870.00",1.68,"21,863.00","15,414.00",0.71,,,,,,,,,
,,2012 - 2013,"44,234.00","82,532.00",1.87,"20,467.00","16,838.00",0.82,,,,44,72,1.64,,,
,,2013 - 2014,"37,997.00","53,352.00",1.4,"24,711.00","20,072.00",0.81,,,,,,,,,
,,2014 - 2015,"24,725.00","29,948.00",1.21,"15,021.00","10,346.00",0.69,,,,,,,,,
,,2015 - 2016,"23,931.00","27,804.00",1.16,"26,851.00","8,520.00",0.32,,,,,,,,,
,,2016 - 2017,"26,612.00","17,394.00",0.65,"27,006.00","25,450.00",0.94,,,,,,,,,
,,2017 - 2018,"20,333.00","40,197.00",1.98,"22,355.00","21,853.00",0.98,,,,,,,,,
,,2018 - 2019,"13,177.00","13,933.00",1.06,"16,350.00","10,624.00",0.65,,,,,,,,,
,,2019 - 2020,"17,265.00","22,503.00",1.3,"30,312.00","25,053.00",0.83,,,,,,,,,
,,2020 - 2021,"7,619.00","10,126.00",1.33,"31,134.00","29,577.00",0.95,,,,,,,,,
,,2021 - 2022,"2,189.00","2,181.00",1,"32,427.00","29,768.00",0.92,,,,,,,,,
,,2022 - 2023,161,145,0.9,"35,038.00","37,000.00",1.06,,,,,,,,,
,7. Bijapur,2000 - 2001,"1,046.00","2,564.00",2.45,"3,24,024.00","2,12,993.00",0.66,,,,22,45,2.05,,,
,,2001 - 2002,265,339,1.28,"3,21,559.00","2,37,752.00",0.74,,,,104,204,1.96,,,
,,2002 - 2003,238,457,1.92,"3,44,126.00","2,30,764.00",0.67,,,,2,3,1.5,,,
,,2003 - 2004,103,183,1.78,"2,28,540.00","1,05,257.00",0.46,,,,16,43,2.69,,,
,,2004 - 2005,246,495,2.01,"2,44,191.00","1,46,124.00",0.6,,,,,,,,,
,,2005 - 2006,146,264,1.81,"2,37,840.00","2,01,726.00",0.85,,,,,,,,,
,,2006 - 2007,58,134,2.31,"2,23,328.00","1,93,348.00",0.87,,,,,,,,,
,,2007 - 2008,487,995,2.04,"2,27,144.00","2,59,424.00",1.14,,,,,,,,,
,,2008 - 2009,343,715,2.08,"2,26,381.00","2,34,211.00",1.03,,,,,,,,,
,,2009 - 2010,43,45,1.05,"2,00,679.00","1,62,018.00",0.81,,,,,,,,,
,,2010 - 2011,,,,"1,90,629.00","1,90,910.00",1,,,,,,,,,
,,2011 - 2012,,,,"1,67,299.00","1,00,039.00",0.6,,,,,,,,,
,,2012 - 2013,,,,"2,32,476.00","2,55,747.00",1.1,,,,,,,,,
,,2013 - 2014,,,,"1,65,998.00","1,98,542.00",1.2,,,,,,,,,
,,2014 - 2015,,,,"1,44,817.00","1,34,137.00",0.93,,,,,,,,,
,,2015 - 2016,,,,"1,76,980.00","97,684.00",0.55,,,,,,,,,
,,2016 - 2017,,,,"95,544.00","92,038.00",0.96,,,,,,,,,
,,2017 - 2018,,,,"1,45,997.00","1,40,223.00",0.96,,,,,,,,,
,,2018 - 2019,,,,"1,49,508.00","97,718.00",0.65,,,,,,,,,
,,2019 - 2020,"1,392.00","1,834.00",1.32,"1,02,617.00","70,970.00",0.69,,,,,,,,,
,,2020 - 2021,19,38,2,"50,444.00","36,824.00",0.73,,,,,,,,,
,,2021 - 2022,,,,"37,742.00","28,835.00",0.76,,,,,,,,,
,,2022 - 2023,22,35,1.59,"48,538.00","46,063.00",0.95,,,,,,,,,
,8. Chamarajanagar,2000 - 2001,"25,620.00","17,461.00",0.68,,,,,,,100,203,2.03,,,
,,2001 - 2002,"22,443.00","10,912.00",0.49,,,,,,,266,522,1.96,,,
,,2002 - 2003,"19,468.00","4,007.00",0.21,121,85,0.7,,,,372,615,1.65,,,
,,2003 - 2004,"16,320.00","2,109.00",0.13,194,121,0.62,,,,280,745,2.66,,,
,,2004 - 2005,"26,890.00","32,609.00",1.21,,,,,,,287,228,0.79,,,
,,2005 - 2006,"26,104.00","13,875.00",0.53,100,61,0.61,,,,230,218,0.95,,,
,,2006 - 2007,"20,272.00","13,678.00",0.67,,,,,,,83,154,1.86,,,
,,2007 - 2008,"18,716.00","13,987.00",0.75,25,51,2.04,,,,137,269,1.96,,,
,,2008 - 2009,"17,699.00","9,579.00",0.54,50,62,1.24,,,,173,394,2.28,,,
,,2009 - 2010,"19,068.00","9,771.00",0.51,41,65,1.59,,,,160,236,1.48,,,
,,2010 - 2011,"20,625.00","16,831.00",0.82,,,,,,,,,,,,
,,2011 - 2012,"17,847.00","10,829.00",0.61,,,,,,,,,,,,
,,2012 - 2013,"21,351.00","8,742.00",0.41,,,,,,,,,,,,
,,2013 - 2014,"13,302.00","10,716.00",0.81,,,,,,,,,,,,
,,2014 - 2015,"14,019.00","6,033.00",0.43,,,,,,,,,,,,
,,2015 - 2016,"13,193.00","8,347.00",0.63,,,,,,,,,,,,
,,2016 - 2017,"15,858.00","11,419.00",0.72,,,,,,,,,,,,
,,2017 - 2018,"24,258.00","19,450.00",0.8,40,45,1.13,,,,,,,,,
,,2018 - 2019,"8,845.00","8,941.00",1.01,,,,,,,,,,,,
,,2019 - 2020,"27,540.00","26,765.00",0.97,"1,045.00","1,148.00",1.1,,,,2,3,1.5,,,
,,2020 - 2021,"10,081.00","13,650.00",1.35,54,58,1.07,,,,28,49,1.75,,,
,,2021 - 2022,"18,792.00","21,630.00",1.15,142,161,1.13,,,,,,,,,
,,2022 - 2023,"12,970.00","13,022.00",1,287,346,1.21,,,,,,,,,
,9. Chikballapur,2010 - 2011,"2,287.00","3,711.00",1.62,,,,,,,,,,,,
,,2012 - 2013,"2,773.00","3,396.00",1.22,,,,,,,,,,,,
,,2013 - 2014,"6,128.00","8,721.00",1.42,,,,,,,,,,,,
,,2014 - 2015,833,"1,152.00",1.38,,,,,,,,,,,,
,,2015 - 2016,"1,754.00","2,000.00",1.14,,,,,,,,,,,,
,,2016 - 2017,"1,270.00","1,478.00",1.16,,,,,,,,,,,,
,,2018 - 2019,"14,887.00","20,422.00",1.37,,,,,,,,,,,,
,,2019 - 2020,"10,152.00","13,377.00",1.32,518,569,1.1,,,,67,112,1.67,,,
,,2020 - 2021,"4,727.00","9,482.00",2.01,253,274,1.08,,,,65,114,1.75,,,
,,2021 - 2022,"2,444.00","3,952.00",1.62,762,862,1.13,,,,,,,,,
,,2022 - 2023,868,"1,393.00",1.6,873,"1,052.00",1.21,,,,,,,,,
,10. Chikmagalur,2000 - 2001,"3,679.00","3,958.00",1.08,"3,791.00","3,488.00",0.92,,,,,,,,,
,,2001 - 2002,"5,212.00","3,576.00",0.69,"5,078.00","4,395.00",0.87,,,,,,,,,
,,2002 - 2003,"5,907.00","3,964.00",0.67,"4,630.00","3,019.00",0.65,,,,,,,,,
,,2003 - 2004,"4,112.00","1,676.00",0.41,"10,745.00","4,308.00",0.4,,,,,,,,,
,,2004 - 2005,"4,934.00","4,833.00",0.98,"7,729.00","4,853.00",0.63,,,,,,,,,
,,2005 - 2006,"3,757.00","4,360.00",1.16,"8,101.00","6,434.00",0.79,,,,,,,,,
,,2006 - 2007,"3,052.00","2,054.00",0.67,"6,755.00","4,832.00",0.72,,,,,,,,,
,,2007 - 2008,"3,290.00","4,081.00",1.24,"5,933.00","7,062.00",1.19,,,,,,,,,
,,2008 - 2009,"2,819.00","2,377.00",0.84,"6,662.00","4,981.00",0.75,,,,,,,,,
,,2009 - 2010,"2,615.00","2,412.00",0.92,"6,942.00","4,920.00",0.71,,,,,,,,,
,,2010 - 2011,"2,353.00","2,949.00",1.25,"5,915.00","5,355.00",0.91,,,,,,,,,
,,2011 - 2012,"1,004.00",635,0.63,"5,785.00","5,089.00",0.88,,,,,,,,,
,,2012 - 2013,"1,939.00","1,081.00",0.56,"6,981.00","3,913.00",0.56,,,,,,,,,
,,2013 - 2014,"1,408.00","1,146.00",0.81,"6,725.00","4,900.00",0.73,,,,,,,,,
,,2014 - 2015,"2,058.00","1,789.00",0.87,"8,602.00","7,289.00",0.85,,,,,,,,,
,,2015 - 2016,"1,331.00",932,0.7,"8,425.00","8,068.00",0.96,,,,,,,,,
,,2016 - 2017,745,148,0.2,"3,801.00","2,221.00",0.58,,,,,,,,,
,,2017 - 2018,477,397,0.83,"12,739.00","11,231.00",0.88,,,,,,,,,
,,2018 - 2019,"1,845.00","1,889.00",1.02,"11,555.00","9,967.00",0.86,,,,,,,,,
,,2019 - 2020,214,175,0.82,"2,024.00","1,657.00",0.82,,,,,,,,,
,,2020 - 2021,49,56,1.14,"2,779.00","3,040.00",1.09,,,,,,,,,
,,2021 - 2022,"1,680.00",825,0.49,"2,896.00","3,130.00",1.08,,,,,,,,,
,,2022 - 2023,"1,364.00",705,0.52,"2,713.00","3,060.00",1.13,,,,,,,,,
,11. Chitradurga,2000 - 2001,"14,547.00","25,050.00",1.72,"10,269.00","6,713.00",0.65,,,,941,"1,910.00",2.03,,,
,,2001 - 2002,"12,836.00","18,512.00",1.44,"14,732.00","5,856.00",0.4,,,,"1,204.00","2,362.00",1.96,,,
,,2002 - 2003,"13,126.00","14,703.00",1.12,"22,088.00","9,888.00",0.45,,,,953,"1,575.00",1.65,,,
,,2003 - 2004,"7,564.00","10,694.00",1.41,"30,409.00","7,150.00",0.24,,,,947,"2,519.00",2.66,,,
,,2004 - 2005,"17,455.00","23,594.00",1.35,"15,871.00","2,235.00",0.14,,,,598,475,0.79,,,
,,2005 - 2006,"14,232.00","23,493.00",1.65,"16,016.00","9,533.00",0.6,,,,906,"1,506.00",1.66,,,
,,2006 - 2007,"14,174.00","12,292.00",0.87,"28,966.00","9,674.00",0.33,,,,592,844,1.43,,,
,,2007 - 2008,"17,556.00","22,125.00",1.26,"8,092.00","6,709.00",0.83,,,,652,"1,276.00",1.96,,,
,,2008 - 2009,"11,497.00","10,820.00",0.94,"11,013.00","7,142.00",0.65,,,,586,"1,333.00",2.27,,,
,,2009 - 2010,"10,778.00","12,005.00",1.11,"15,273.00","9,717.00",0.64,,,,563,549,0.98,,,
,,2010 - 2011,"8,592.00","12,956.00",1.51,"9,426.00","8,249.00",0.88,,,,482,"1,304.00",2.71,,,
,,2011 - 2012,"3,527.00","4,139.00",1.17,"20,216.00","11,123.00",0.55,,,,933,"1,787.00",1.92,,,
,,2012 - 2013,"5,536.00","7,063.00",1.28,"15,340.00","10,726.00",0.7,,,,153,146,0.95,,,
,,2013 - 2014,"3,796.00","4,821.00",1.27,"7,853.00","3,984.00",0.51,,,,241,334,1.39,,,
,,2014 - 2015,"2,755.00","3,826.00",1.39,"11,013.00","8,108.00",0.74,,,,447,945,2.11,,,
,,2015 - 2016,"5,047.00","6,310.00",1.25,"7,341.00","5,168.00",0.7,,,,331,591,1.79,,,
,,2016 - 2017,"2,398.00","1,800.00",0.75,"1,226.00",122,0.1,,,,125,176,1.41,,,
,,2017 - 2018,"4,479.00","5,583.00",1.25,"9,178.00","5,537.00",0.6,,,,226,469,2.08,,,
,,2018 - 2019,"2,022.00","1,783.00",0.88,"1,952.00",818,0.42,,,,199,349,1.75,,,
,,2019 - 2020,"10,424.00","10,586.00",1.02,"5,606.00","3,392.00",0.61,,,,181,347,1.92,,,
,,2020 - 2021,"4,507.00","8,726.00",1.94,"4,071.00","2,215.00",0.54,,,,458,923,2.02,,,
,,2021 - 2022,"2,740.00","5,017.00",1.83,"4,048.00","2,356.00",0.58,,,,,,,,,
,,2022 - 2023,"1,894.00","3,319.00",1.75,"4,002.00","2,906.00",0.73,,,,,,,,,
,12. Dakshin kannad,2019 - 2020,,,,1,1,1,,,,,,,,,
,13. Davangere,2000 - 2001,"36,946.00","72,804.00",1.97,"5,812.00","3,401.00",0.59,,,,976,"1,981.00",2.03,,,
,,2001 - 2002,"26,197.00","41,960.00",1.6,"5,641.00","2,851.00",0.51,,,,"1,750.00","3,433.00",1.96,,,
,,2002 - 2003,"25,655.00","41,356.00",1.61,"7,543.00","4,023.00",0.53,,,,"4,785.00","7,273.00",1.52,,,
,,2003 - 2004,"20,698.00","19,854.00",0.96,"23,542.00","19,284.00",0.82,,,,"2,540.00","6,756.00",2.66,,,
,,2004 - 2005,"33,900.00","59,744.00",1.76,"4,600.00","2,805.00",0.61,,,,420,334,0.8,,,
,,2005 - 2006,"33,547.00","76,097.00",2.27,"4,485.00","3,595.00",0.8,,,,748,"1,137.00",1.52,,,
,,2006 - 2007,"24,697.00","37,716.00",1.53,"4,809.00","3,226.00",0.67,,,,980,810,0.83,,,
,,2007 - 2008,"26,305.00","65,113.00",2.48,"2,866.00","3,502.00",1.22,,,,"1,097.00","2,377.00",2.17,,,
,,2008 - 2009,"21,739.00","41,074.00",1.89,"3,463.00","4,725.00",1.36,,,,"1,149.00","3,383.00",2.94,,,
,,2009 - 2010,"20,880.00","43,695.00",2.09,"3,136.00","3,709.00",1.18,,,,720,"1,529.00",2.12,,,
,,2010 - 2011,"16,653.00","40,266.00",2.42,"4,230.00","4,763.00",1.13,,,,"1,075.00","2,520.00",2.34,,,
,,2011 - 2012,"11,152.00","22,091.00",1.98,"3,997.00","6,493.00",1.62,,,,"1,744.00","3,421.00",1.96,,,
,,2012 - 2013,"7,778.00","13,448.00",1.73,"4,207.00","4,592.00",1.09,,,,"2,436.00","5,265.00",2.16,,,
,,2013 - 2014,"8,675.00","19,746.00",2.28,"3,068.00","3,454.00",1.13,,,,511,"1,077.00",2.11,,,
,,2014 - 2015,"6,977.00","17,372.00",2.49,"3,637.00","4,892.00",1.35,,,,592,"1,629.00",2.75,,,
,,2015 - 2016,"7,568.00","15,386.00",2.03,"2,314.00","2,847.00",1.23,,,,998,"1,528.00",1.53,,,
,,2016 - 2017,"5,113.00","9,146.00",1.79,"1,616.00","2,240.00",1.39,,,,733,"1,619.00",2.21,,,
,,2017 - 2018,"5,344.00","10,052.00",1.88,"4,296.00","4,926.00",1.15,,,,488,"1,439.00",2.95,,,
,,2018 - 2019,"1,038.00","2,135.00",2.06,"2,267.00","2,755.00",1.22,,,,10,22,2.2,,,
,,2019 - 2020,715,"1,598.00",2.23,"3,412.00","4,619.00",1.35,,,,177,436,2.46,,,
,,2020 - 2021,798,"2,487.00",3.12,"3,083.00","4,332.00",1.41,,,,150,402,2.68,,,
,,2021 - 2022,303,715,2.36,"2,733.00","3,444.00",1.26,,,,,,,,,
,,2022 - 2023,268,481,1.79,"3,262.00","5,435.00",1.67,,,,,,,,,
,14. Dharwad,2000 - 2001,"15,887.00","17,560.00",1.11,"40,243.00","26,958.00",0.67,,,,,,,,,
,,2001 - 2002,"12,286.00","6,979.00",0.57,"45,173.00","14,788.00",0.33,,,,,,,,,
,,2002 - 2003,"11,734.00","9,331.00",0.8,"42,258.00","13,735.00",0.33,,,,,,,,,
,,2003 - 2004,"14,425.00","5,667.00",0.39,"58,521.00","2,198.00",0.04,,,,,,,,,
,,2004 - 2005,"13,525.00","9,482.00",0.7,"44,291.00","32,994.00",0.74,,,,,,,,,
,,2005 - 2006,"14,113.00","11,673.00",0.83,"44,313.00","29,882.00",0.67,,,,,,,,,
,,2006 - 2007,"10,433.00","7,018.00",0.67,"34,138.00","22,343.00",0.65,,,,,,,,,
,,2007 - 2008,"9,371.00","10,127.00",1.08,"41,768.00","31,143.00",0.75,,,,,,,,,
,,2008 - 2009,"11,634.00","9,553.00",0.82,"36,556.00","28,888.00",0.79,,,,,,,,,
,,2009 - 2010,"6,635.00","5,212.00",0.79,"37,019.00","23,236.00",0.63,,,,,,,,,
,,2010 - 2011,"5,507.00","5,122.00",0.93,"37,783.00","24,144.00",0.64,,,,,,,,,
,,2011 - 2012,"4,612.00","3,035.00",0.66,"39,465.00","22,536.00",0.57,,,,15,27,1.8,,,
,,2012 - 2013,"3,222.00","1,886.00",0.59,"48,159.00","20,817.00",0.43,,,,,,,,,
,,2013 - 2014,"4,072.00","3,416.00",0.84,"34,759.00","26,054.00",0.75,,,,20,33,1.65,,,
,,2014 - 2015,"2,056.00","1,650.00",0.8,"39,070.00","39,492.00",1.01,,,,18,38,2.11,,,
,,2015 - 2016,"1,121.00",323,0.29,"47,291.00","17,701.00",0.37,,,,8,16,2,,,
,,2016 - 2017,"1,325.00",268,0.2,"50,357.00","13,730.00",0.27,,,,7,10,1.43,,,
,,2017 - 2018,"1,775.00","1,143.00",0.64,"59,576.00","43,580.00",0.73,,,,10,21,2.1,,,
,,2018 - 2019,"1,431.00",353,0.25,"47,632.00","28,463.00",0.6,,,,10,18,1.8,,,
,,2019 - 2020,973,557,0.57,"38,263.00","33,478.00",0.87,,,,197,342,1.74,,,
,,2020 - 2021,597,382,0.64,"42,578.00","34,020.00",0.8,,,,40,79,1.98,,,
,,2021 - 2022,167,53,0.32,"37,443.00","36,582.00",0.98,,,,,,,,,
,,2022 - 2023,108,173,1.6,"27,806.00","29,557.00",1.06,,,,,,,,,
,15. Gadag,2000 - 2001,"14,575.00","18,032.00",1.24,"70,293.00","33,939.00",0.48,,,,25,51,2.04,,,
,,2001 - 2002,"7,518.00","8,698.00",1.16,"69,767.00","29,735.00",0.43,,,,5,10,2,,,
,,2002 - 2003,"9,439.00","5,929.00",0.63,"78,563.00","22,012.00",0.28,,,,1,2,2,,,
,,2003 - 2004,"6,841.00","4,315.00",0.63,"86,741.00","7,053.00",0.08,,,,217,577,2.66,,,
,,2004 - 2005,"14,512.00","15,718.00",1.08,"79,138.00","46,913.00",0.59,,,,9,7,0.78,,,
,,2005 - 2006,"12,277.00","20,141.00",1.64,"63,572.00","38,928.00",0.61,,,,3,5,1.67,,,
,,2006 - 2007,"10,357.00","6,858.00",0.66,"55,872.00","19,134.00",0.34,,,,43,47,1.09,,,
,,2007 - 2008,"11,446.00","17,698.00",1.55,"62,798.00","58,093.00",0.93,,,,15,29,1.93,,,
,,2008 - 2009,"5,330.00","5,555.00",1.04,"65,046.00","62,606.00",0.96,,,,19,43,2.26,,,
,,2009 - 2010,"10,340.00","7,411.00",0.72,"59,056.00","39,711.00",0.67,,,,12,18,1.5,,,
,,2010 - 2011,"6,916.00","9,578.00",1.38,"55,180.00","38,245.00",0.69,,,,,,,,,
,,2011 - 2012,"7,036.00","10,680.00",1.52,"46,319.00","22,357.00",0.48,,,,190,348,1.83,,,
,,2012 - 2013,"5,907.00","6,352.00",1.08,"82,029.00","50,653.00",0.62,,,,12,20,1.67,,,
,,2013 - 2014,"6,498.00","8,593.00",1.32,"61,130.00","46,401.00",0.76,,,,3,5,1.67,,,
,,2014 - 2015,"3,985.00","6,254.00",1.57,"58,982.00","55,753.00",0.95,,,,,,,,,
,,2015 - 2016,"2,833.00","2,543.00",0.9,"52,166.00","25,175.00",0.48,,,,9,18,2,,,
,,2016 - 2017,"2,834.00","3,349.00",1.18,"76,956.00","20,324.00",0.26,,,,6,8,1.33,,,
,,2017 - 2018,"2,765.00","4,996.00",1.81,"74,081.00","49,475.00",0.67,,,,,,,,,
,,2018 - 2019,"1,696.00","1,370.00",0.81,"63,597.00","23,563.00",0.37,,,,,,,,,
,,2019 - 2020,"2,966.00","3,801.00",1.28,"61,060.00","49,480.00",0.81,,,,,,,,,
,,2020 - 2021,"1,088.00","1,489.00",1.37,"54,439.00","39,577.00",0.73,,,,,,,,,
,,2021 - 2022,483,756,1.57,"39,359.00","34,163.00",0.87,,,,,,,,,
,,2022 - 2023,128,224,1.75,"25,513.00","21,737.00",0.85,,,,,,,,,
,16. Gulbarga,2000 - 2001,"17,686.00","17,264.00",0.98,"3,08,438.00","2,18,924.00",0.71,,,,416,845,2.03,,,
,,2001 - 2002,"13,099.00","11,994.00",0.92,"3,50,155.00","2,64,658.00",0.76,,,,105,206,1.96,,,
,,2002 - 2003,"8,490.00","8,070.00",0.95,"3,08,920.00","2,39,661.00",0.78,,,,30,33,1.1,,,
,,2003 - 2004,"7,143.00","7,273.00",1.02,"2,85,790.00","1,65,105.00",0.58,,,,21,56,2.67,,,
,,2004 - 2005,"7,025.00","6,560.00",0.93,"2,84,978.00","2,06,449.00",0.72,,,,123,98,0.8,,,
,,2005 - 2006,"6,245.00","6,663.00",1.07,"2,77,912.00","2,52,008.00",0.91,,,,95,158,1.66,,,
,,2006 - 2007,"6,242.00","5,693.00",0.91,"2,82,259.00","2,22,336.00",0.79,,,,60,86,1.43,,,
,,2007 - 2008,"7,791.00","9,060.00",1.16,"2,46,031.00","2,45,291.00",1,,,,15,29,1.93,,,
,,2008 - 2009,"7,044.00","10,776.00",1.53,"2,98,885.00","3,01,618.00",1.01,,,,44,100,2.27,,,
,,2009 - 2010,"6,761.00","5,182.00",0.77,"3,11,886.00","3,08,217.00",0.99,,,,345,510,1.48,,,
,,2010 - 2011,"2,760.00","2,313.00",0.84,"2,10,038.00","1,73,408.00",0.83,,,,,,,,,
,,2011 - 2012,"2,635.00","3,376.00",1.28,"2,05,263.00","1,90,996.00",0.93,,,,,,,,,
,,2012 - 2013,"3,010.00","4,092.00",1.36,"1,97,537.00","2,17,123.00",1.1,,,,,,,,,
,,2013 - 2014,"3,811.00","4,703.00",1.23,"2,29,797.00","2,92,750.00",1.27,,,,,,,,,
,,2014 - 2015,"1,579.00","1,730.00",1.1,"2,37,624.00","2,71,569.00",1.14,,,,,,,,,
,,2015 - 2016,"1,680.00","1,518.00",0.9,"2,02,699.00","1,21,893.00",0.6,,,,,,,,,
,,2016 - 2017,"1,074.00","1,341.00",1.25,"2,03,348.00","3,09,475.00",1.52,,,,,,,,,
,,2017 - 2018,611,"1,732.00",2.83,"2,06,071.00","2,68,984.00",1.31,,,,,,,,,
,,2018 - 2019,,,,"1,24,811.00","1,16,436.00",0.93,,,,,,,,,
,,2019 - 2020,"4,688.00","5,589.00",1.19,"95,751.00","1,29,168.00",1.35,,,,43,72,1.67,,,
,,2020 - 2021,757,"1,058.00",1.4,"76,936.00","96,555.00",1.26,,,,820,"1,440.00",1.76,,,
,,2021 - 2022,445,879,1.98,"49,664.00","59,299.00",1.19,,,,,,,,,
,,2022 - 2023,144,231,1.6,"57,293.00","74,251.00",1.3,,,,,,,,,
,17. Hassan,2000 - 2001,"1,481.00","2,342.00",1.58,380,353,0.93,,,,,,,,,
,,2001 - 2002,"1,085.00","1,755.00",1.62,"1,070.00",663,0.62,,,,,,,,,
,,2002 - 2003,"2,837.00","2,014.00",0.71,"5,041.00","3,295.00",0.65,,,,,,,,,
,,2003 - 2004,"1,770.00","1,064.00",0.6,"4,035.00","1,574.00",0.39,,,,,,,,,
,,2004 - 2005,"3,735.00","4,238.00",1.13,"1,525.00",900,0.59,,,,,,,,,
,,2005 - 2006,"2,300.00","3,371.00",1.47,772,423,0.55,,,,,,,,,
,,2006 - 2007,"4,167.00","3,058.00",0.73,"1,751.00",824,0.47,,,,,,,,,
,,2007 - 2008,"3,046.00","3,385.00",1.11,432,269,0.62,,,,,,,,,
,,2008 - 2009,"2,854.00","3,199.00",1.12,521,501,0.96,,,,,,,,,
,,2009 - 2010,"2,605.00","3,234.00",1.24,701,601,0.86,,,,,,,,,
,,2010 - 2011,"3,380.00","6,730.00",1.99,430,510,1.19,,,,,,,,,
,,2011 - 2012,"1,735.00","1,375.00",0.79,439,300,0.68,,,,,,,,,
,,2012 - 2013,"2,526.00","1,212.00",0.48,185,89,0.48,,,,,,,,,
,,2013 - 2014,"2,341.00","1,579.00",0.67,313,209,0.67,,,,,,,,,
,,2014 - 2015,"1,126.00",960,0.85,,,,,,,,,,,,
,,2015 - 2016,963,576,0.6,38,26,0.68,,,,,,,,,
,,2016 - 2017,449,74,0.16,29,25,0.86,,,,,,,,,
,,2017 - 2018,"1,029.00","1,704.00",1.66,426,417,0.98,,,,,,,,,
,,2018 - 2019,"12,001.00","4,811.00",0.4,510,193,0.38,,,,,,,,,
,,2019 - 2020,"15,903.00","15,682.00",0.99,477,442,0.93,,,,46,77,1.67,,,
