State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,457,196,0.43,,,,,,,,,,,,
,,2014 - 2015,619,334,0.54,,,,,,,,,,,,
,,2015 - 2016,"1,586.00",714,0.45,,,,,,,,,,,,
,,2016 - 2017,473,213,0.45,,,,,,,,,,,,
,,2017 - 2018,892,394,0.44,,,,,,,,,,,,
,,2018 - 2019,708,319,0.45,,,,,,,,,,,,
,,2019 - 2020,464,238,0.51,,,,,,,,,,,,
,,2020 - 2021,439,242,0.55,,,,,,,,,,,,
,,2021 - 2022,450,293,0.65,,,,,,,,,,,,
,,2022 - 2023,492,320,0.65,,,,,,,,,,,,
,26. Nalbari,2000 - 2001,125,55,0.44,,,,,,,,,,,,
,,2001 - 2002,125,56,0.45,,,,,,,,,,,,
,,2002 - 2003,125,56,0.45,,,,,,,,,,,,
,,2003 - 2004,125,56,0.45,,,,,,,,,,,,
,,2004 - 2005,130,58,0.45,,,,,,,,,,,,
,,2005 - 2006,67,30,0.45,,,,,,,,,,,,
,,2006 - 2007,83,37,0.45,,,,,,,,,,,,
,,2007 - 2008,75,33,0.44,,,,,,,,,,,,
,,2008 - 2009,70,31,0.44,,,,,,,,,,,,
,,2009 - 2010,75,34,0.45,,,,,,,,,,,,
,,2010 - 2011,80,37,0.46,,,,,,,,,,,,
,,2011 - 2012,76,37,0.49,,,,,,,,,,,,
,,2012 - 2013,40,19,0.48,,,,,,,,,,,,
,,2013 - 2014,41,19,0.46,,,,,,,,,,,,
,,2014 - 2015,20,12,0.6,,,,,,,,,,,,
,,2015 - 2016,18,9,0.5,,,,,,,,,,,,
,,2016 - 2017,18,9,0.5,,,,,,,,,,,,
,,2017 - 2018,19,10,0.53,,,,,,,,,,,,
,,2018 - 2019,18,9,0.5,,,,,,,,,,,,
,,2019 - 2020,18,9,0.5,,,,,,,,,,,,
,,2020 - 2021,19,10,0.53,,,,,,,,,,,,
,,2021 - 2022,13,8,0.62,,,,,,,,,,,,
,,2022 - 2023,31,19,0.61,,,,,,,,,,,,
,27. Sivasagar,2000 - 2001,5,3,0.6,,,,,,,,,,,,
,,2001 - 2002,5,3,0.6,,,,,,,,,,,,
,,2002 - 2003,10,6,0.6,,,,,,,,,,,,
,,2003 - 2004,3,2,0.67,,,,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,,,,,,,
,,2006 - 2007,4,3,0.75,,,,,,,,,,,,
,,2007 - 2008,5,3,0.6,,,,,,,,,,,,
,,2008 - 2009,5,2,0.4,,,,,,,,,,,,
,,2009 - 2010,5,5,1,,,,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,,,,
,,2011 - 2012,6,3,0.5,,,,,,,,,,,,
,,2012 - 2013,6,4,0.67,,,,,,,,,,,,
,,2013 - 2014,5,3,0.6,,,,,,,,,,,,
,,2014 - 2015,8,5,0.63,,,,,,,,,,,,
,,2015 - 2016,5,3,0.6,,,,,,,,,,,,
,,2016 - 2017,8,5,0.63,,,,,,,,,,,,
,,2017 - 2018,7,4,0.57,,,,,,,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,,,,,,,
,,2020 - 2021,5,5,1,,,,,,,,,,,,
,,2021 - 2022,11,7,0.64,,,,,,,,,,,,
,,2022 - 2023,10,6,0.6,,,,,,,,,,,,
,28. Sonitpur,2000 - 2001,55,25,0.45,,,,,,,,,,,,
,,2001 - 2002,65,30,0.46,,,,,,,,,,,,
,,2002 - 2003,80,37,0.46,,,,,,,,,,,,
,,2003 - 2004,71,32,0.45,,,,,,,,,,,,
,,2004 - 2005,55,26,0.47,,,,,,,,,,,,
,,2005 - 2006,56,27,0.48,,,,,,,,,,,,
,,2006 - 2007,49,23,0.47,,,,,,,,,,,,
,,2007 - 2008,66,32,0.48,,,,,,,,,,,,
,,2008 - 2009,71,34,0.48,,,,,,,,,,,,
,,2009 - 2010,73,36,0.49,,,,,,,,,,,,
,,2010 - 2011,70,34,0.49,,,,,,,,,,,,
,,2011 - 2012,119,60,0.5,,,,,,,,,,,,
,,2012 - 2013,123,60,0.49,,,,,,,,,,,,
,,2013 - 2014,147,249,1.69,,,,,,,,,,,,
,,2014 - 2015,174,98,0.56,,,,,,,,,,,,
,,2015 - 2016,149,85,0.57,,,,,,,,,,,,
,,2016 - 2017,104,62,0.6,,,,,,,,,,,,
,,2017 - 2018,109,65,0.6,,,,,,,,,,,,
,,2018 - 2019,107,61,0.57,,,,,,,,,,,,
,,2019 - 2020,96,55,0.57,,,,,,,,,,,,
,,2020 - 2021,53,31,0.58,,,,,,,,,,,,
,,2021 - 2022,44,30,0.68,,,,,,,,,,,,
,,2022 - 2023,150,104,0.69,,,,,,,,,,,,
,29. South salmara mancachar,2020 - 2021,650,586,0.9,,,,,,,,,,,,
,,2021 - 2022,650,586,0.9,,,,,,,,,,,,
,,2022 - 2023,140,126,0.9,,,,,,,,,,,,
,30. Tinsukia,2000 - 2001,74,37,0.5,,,,,,,,,,,,
,,2001 - 2002,69,34,0.49,,,,,,,,,,,,
,,2002 - 2003,76,38,0.5,,,,,,,,,,,,
,,2003 - 2004,72,36,0.5,,,,,,,,,,,,
,,2004 - 2005,73,38,0.52,,,,,,,,,,,,
,,2005 - 2006,67,33,0.49,,,,,,,,,,,,
,,2006 - 2007,30,14,0.47,,,,,,,,,,,,
,,2007 - 2008,42,19,0.45,,,,,,,,,,,,
,,2008 - 2009,55,24,0.44,,,,,,,,,,,,
,,2009 - 2010,30,12,0.4,,,,,,,,,,,,
,,2010 - 2011,46,21,0.46,,,,,,,,,,,,
,,2011 - 2012,35,16,0.46,,,,,,,,,,,,
,,2012 - 2013,29,13,0.45,,,,,,,,,,,,
,,2013 - 2014,25,13,0.52,,,,,,,,,,,,
,,2014 - 2015,418,261,0.62,,,,,,,,,,,,
,,2015 - 2016,379,203,0.54,,,,,,,,,,,,
,,2016 - 2017,380,218,0.57,,,,,,,,,,,,
,,2017 - 2018,392,227,0.58,,,,,,,,,,,,
,,2018 - 2019,384,224,0.58,,,,,,,,,,,,
,,2019 - 2020,18,14,0.78,,,,,,,,,,,,
,,2020 - 2021,413,270,0.65,,,,,,,,,,,,
,,2021 - 2022,369,241,0.65,,,,,,,,,,,,
,,2022 - 2023,261,169,0.65,,,,,,,,,,,,
,31. Udalguri,2005 - 2006,91,55,0.6,,,,,,,,,,,,
,,2006 - 2007,81,49,0.6,,,,,,,,,,,,
,,2007 - 2008,64,39,0.61,,,,,,,,,,,,
,,2008 - 2009,20,12,0.6,,,,,,,,,,,,
,,2009 - 2010,44,27,0.61,,,,,,,,,,,,
,,2010 - 2011,47,28,0.6,,,,,,,,,,,,
,,2011 - 2012,37,23,0.62,,,,,,,,,,,,
,,2012 - 2013,38,23,0.61,,,,,,,,,,,,
,,2013 - 2014,45,28,0.62,,,,,,,,,,,,
,,2014 - 2015,45,35,0.78,,,,,,,,,,,,
,,2015 - 2016,45,30,0.67,,,,,,,,,,,,
,,2016 - 2017,40,26,0.65,,,,,,,,,,,,
,,2017 - 2018,43,19,0.44,,,,,,,,,,,,
,,2018 - 2019,43,26,0.6,,,,,,,,,,,,
,,2019 - 2020,50,36,0.72,,,,,,,,,,,,
,,2020 - 2021,50,35,0.7,,,,,,,,,,,,
,,2021 - 2022,52,37,0.71,,,,,,,,,,,,
,,2022 - 2023,194,162,0.84,,,,,,,,,,,,
,32. West karbi anglong,2020 - 2021,81,69,0.85,,,,,,,,,,,,
,,2021 - 2022,39,33,0.85,,,,,,,,,,,,
,,2022 - 2023,94,80,0.85,,,,,,,,,,,,
4. Bihar,1. Araria,2000 - 2001,224,118,0.53,,,,,,,,,,,,
,,2001 - 2002,299,224,0.75,,,,,,,,,,,,
,,2002 - 2003,65,48,0.74,,,,,,,,,,,,
,,2003 - 2004,262,203,0.77,,,,,,,,,,,,
,,2004 - 2005,262,209,0.8,,,,,,,,,,,,
,,2005 - 2006,62,46,0.74,,,,,,,,,,,,
,,2008 - 2009,62,46,0.74,,,,,,,,,,,,
,,2013 - 2014,84,63,0.75,,,,,,,,,,,,
,2. Arwal,2014 - 2015,1,1,1,,,,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,,,,
,3. Aurangabad,2001 - 2002,1,1,1,,,,,,,,,,,,
,,2002 - 2003,6,4,0.67,,,,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,,,,
,,2007 - 2008,30,22,0.73,,,,,,,,,,,,
,,2008 - 2009,30,22,0.73,,,,,,,,,,,,
,,2012 - 2013,7,5,0.71,,,,,,,,,,,,
,,2013 - 2014,5,4,0.8,,,,,,,,,,,,
,,2014 - 2015,4,3,0.75,,,,,,,,,,,,
,,2022 - 2023,5,4,0.8,,,,,,,,,,,,
,4. Banka,2001 - 2002,588,290,0.49,,,,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,,,,
,,2003 - 2004,8,6,0.75,,,,,,,,,,,,
,,2004 - 2005,588,436,0.74,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
,5. Begusarai,2000 - 2001,420,142,0.34,,,,,,,,,,,,
,,2001 - 2002,205,157,0.77,,,,,,,,,,,,
,,2002 - 2003,260,201,0.77,,,,,,,,,,,,
,,2003 - 2004,230,181,0.79,,,,,,,,,,,,
,,2004 - 2005,233,191,0.82,,,,,,,,,,,,
,,2005 - 2006,212,161,0.76,,,,,,,,,,,,
,,2007 - 2008,282,217,0.77,,,,,,,,,,,,
,,2008 - 2009,193,152,0.79,,,,,,,,,,,,
,,2009 - 2010,221,171,0.77,,,,,,,,,,,,
,,2010 - 2011,96,75,0.78,,,,,,,,,,,,
,,2011 - 2012,702,552,0.79,,,,,,,,,,,,
,,2012 - 2013,222,175,0.79,,,,,,,,,,,,
,,2013 - 2014,35,27,0.77,,,,,,,,,,,,
,,2014 - 2015,28,22,0.79,,,,,,,,,,,,
,,2016 - 2017,"1,476.00","1,108.00",0.75,,,,,,,,,,,,
,,2017 - 2018,"2,762.00","2,072.00",0.75,,,,,,,,,,,,
,,2018 - 2019,"7,830.00","5,873.00",0.75,,,,,,,,,,,,
,,2021 - 2022,39,29,0.74,,,,,,,,,,,,
,,2022 - 2023,168,127,0.76,,,,,,,,,,,,
,6. Bhagalpur,2000 - 2001,198,103,0.52,,,,,,,,,,,,
,,2001 - 2002,650,487,0.75,,,,,,,,,,,,
,,2002 - 2003,547,407,0.74,,,,,,,,,,,,
,,2003 - 2004,622,463,0.74,,,,,,,,,,,,
,,2004 - 2005,76,62,0.82,,,,,,,,,,,,
,,2005 - 2006,311,232,0.75,,,,,,,,,,,,
,,2007 - 2008,45,35,0.78,,,,,,,,,,,,
,,2008 - 2009,99,76,0.77,,,,,,,,,,,,
,,2009 - 2010,94,73,0.78,,,,,,,,,,,,
,,2010 - 2011,93,72,0.77,,,,,,,,,,,,
,,2011 - 2012,218,163,0.75,,,,,,,,,,,,
,,2012 - 2013,146,111,0.76,,,,,,,,,,,,
,,2013 - 2014,157,118,0.75,,,,,,,,,,,,
,,2014 - 2015,172,129,0.75,,,,,,,,,,,,
,,2015 - 2016,169,128,0.76,,,,,,,,,,,,
,,2016 - 2017,167,126,0.75,,,,,,,,,,,,
,,2017 - 2018,186,140,0.75,,,,,,,,,,,,
,,2018 - 2019,191,144,0.75,,,,,,,,,,,,
,,2019 - 2020,195,147,0.75,,,,,,,,,,,,
,,2020 - 2021,187,141,0.75,,,,,,,,,,,,
,,2021 - 2022,169,129,0.76,,,,,,,,,,,,
,,2022 - 2023,29,22,0.76,,,,,,,,,,,,
,7. Bhojpur,2000 - 2001,1,1,1,,,,,,,,,,,,
,,2003 - 2004,28,22,0.79,,,,,,,,,,,,
,,2004 - 2005,29,24,0.83,,,,,,,,,,,,
,,2005 - 2006,45,34,0.76,,,,,,,,,,,,
,,2007 - 2008,159,118,0.74,,,,,,,,,,,,
,,2008 - 2009,164,123,0.75,,,,,,,,,,,,
,,2009 - 2010,172,131,0.76,,,,,,,,,,,,
,,2010 - 2011,173,134,0.77,,,,,,,,,,,,
,,2011 - 2012,169,127,0.75,,,,,,,,,,,,
,,2012 - 2013,164,126,0.77,,,,,,,,,,,,
,,2013 - 2014,244,184,0.75,,,,,,,,,,,,
,,2014 - 2015,228,171,0.75,,,,,,,,,,,,
,,2015 - 2016,161,121,0.75,,,,,,,,,,,,
,,2016 - 2017,96,72,0.75,,,,,,,,,,,,
,,2017 - 2018,59,44,0.75,,,,,,,,,,,,
,,2018 - 2019,127,97,0.76,,,,,,,,,,,,
,,2019 - 2020,20,16,0.8,,,,,,,,,,,,
,8. Buxar,2002 - 2003,2,1,0.5,,,,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,,,,
,,2005 - 2006,16,12,0.75,,,,,,,,,,,,
,,2008 - 2009,10,8,0.8,,,,,,,,,,,,
,,2013 - 2014,217,163,0.75,,,,,,,,,,,,
,,2014 - 2015,235,176,0.75,,,,,,,,,,,,
,,2019 - 2020,658,494,0.75,,,,,,,,,,,,
,,2020 - 2021,810,608,0.75,,,,,,,,,,,,
,,2021 - 2022,682,514,0.75,,,,,,,,,,,,
,,2022 - 2023,636,478,0.75,,,,,,,,,,,,
,9. Darbhanga,2002 - 2003,54,40,0.74,,,,,,,,,,,,
,,2003 - 2004,7,6,0.86,,,,,,,,,,,,
,,2004 - 2005,5,4,0.8,,,,,,,,,,,,
,10. Gaya,2000 - 2001,12,7,0.58,,,,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,,,,
,,2003 - 2004,7,5,0.71,,,,,,,,,,,,
,,2004 - 2005,7,5,0.71,,,,,,,,,,,,
,,2005 - 2006,546,405,0.74,,,,,,,,,,,,
,,2007 - 2008,3,2,0.67,,,,,,,,,,,,
,,2008 - 2009,56,41,0.73,,,,,,,,,,,,
,,2010 - 2011,900,690,0.77,,,,,,,,,,,,
,,2011 - 2012,61,46,0.75,,,,,,,,,,,,
,,2012 - 2013,31,24,0.77,,,,,,,,,,,,
,,2013 - 2014,27,20,0.74,,,,,,,,,,,,
,,2014 - 2015,113,85,0.75,,,,,,,,,,,,
,,2015 - 2016,7,5,0.71,,,,,,,,,,,,
,11. Gopalganj,2000 - 2001,882,532,0.6,,,,,,,,,,,,
,,2001 - 2002,776,597,0.77,,,,,,,,,,,,
,,2002 - 2003,364,283,0.78,,,,,,,,,,,,
,,2003 - 2004,307,241,0.79,,,,,,,,,,,,
,,2004 - 2005,639,501,0.78,,,,,,,,,,,,
,,2005 - 2006,"1,072.00",795,0.74,,,,,,,,,,,,
,,2007 - 2008,185,141,0.76,,,,,,,,,,,,
,,2008 - 2009,147,113,0.77,,,,,,,,,,,,
,,2009 - 2010,157,121,0.77,,,,,,,,,,,,
,,2010 - 2011,218,169,0.78,,,,,,,,,,,,
,,2011 - 2012,453,340,0.75,,,,,,,,,,,,
,,2012 - 2013,21,17,0.81,,,,,,,,,,,,
,,2013 - 2014,70,55,0.79,,,,,,,,,,,,
,,2014 - 2015,35,28,0.8,,,,,,,,,,,,
,,2015 - 2016,7,6,0.86,,,,,,,,,,,,
,12. Jehanabad,2022 - 2023,157,118,0.75,,,,,,,,,,,,
,13. Kaimur (bhabua),2000 - 2001,196,121,0.62,,,,,,,,,,,,
,,2002 - 2003,161,119,0.74,,,,,,,,,,,,
,,2003 - 2004,169,125,0.74,,,,,,,,,,,,
,,2004 - 2005,69,51,0.74,,,,,,,,,,,,
,,2005 - 2006,73,54,0.74,,,,,,,,,,,,
,,2007 - 2008,5,4,0.8,,,,,,,,,,,,
,,2010 - 2011,6,5,0.83,,,,,,,,,,,,
,,2021 - 2022,8,6,0.75,,,,,,,,,,,,
,14. Katihar,2000 - 2001,102,53,0.52,,,,,,,,,,,,
,,2001 - 2002,110,87,0.79,,,,,,,,,,,,
,,2002 - 2003,212,165,0.78,,,,,,,,,,,,
,,2003 - 2004,370,289,0.78,,,,,,,,,,,,
,,2004 - 2005,374,296,0.79,,,,,,,,,,,,
,,2005 - 2006,417,316,0.76,,,,,,,,,,,,
,,2007 - 2008,422,325,0.77,,,,,,,,,,,,
,,2008 - 2009,319,250,0.78,,,,,,,,,,,,
,,2009 - 2010,137,108,0.79,,,,,,,,,,,,
,,2010 - 2011,"1,927.00","1,475.00",0.77,,,,,,,,,,,,
,,2011 - 2012,"2,171.00","1,644.00",0.76,,,,,,,,,,,,
,,2012 - 2013,85,64,0.75,,,,,,,,,,,,
,,2014 - 2015,81,61,0.75,,,,,,,,,,,,
,,2015 - 2016,75,56,0.75,,,,,,,,,,,,
,,2016 - 2017,91,69,0.76,,,,,,,,,,,,
,,2017 - 2018,4,3,0.75,,,,,,,,,,,,
,,2018 - 2019,4,3,0.75,,,,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,,,,
,,2020 - 2021,10,8,0.8,,,,,,,,,,,,
,,2021 - 2022,8,6,0.75,,,,,,,,,,,,
,,2022 - 2023,7,6,0.86,,,,,,,,,,,,
,15. Khagaria,2000 - 2001,182,37,0.2,,,,,,,,,,,,
,,2001 - 2002,6,5,0.83,,,,,,,,,,,,
,,2002 - 2003,"1,068.00",791,0.74,,,,,,,,,,,,
,,2003 - 2004,897,664,0.74,,,,,,,,,,,,
,,2004 - 2005,"1,002.00",743,0.74,,,,,,,,,,,,
,,2005 - 2006,934,692,0.74,,,,,,,,,,,,
,,2007 - 2008,890,651,0.73,,,,,,,,,,,,
,,2008 - 2009,895,664,0.74,,,,,,,,,,,,
,,2009 - 2010,892,676,0.76,,,,,,,,,,,,
,,2010 - 2011,892,683,0.77,,,,,,,,,,,,
,,2011 - 2012,891,665,0.75,,,,,,,,,,,,
,,2012 - 2013,796,601,0.76,,,,,,,,,,,,
,,2013 - 2014,864,648,0.75,,,,,,,,,,,,
,,2014 - 2015,863,649,0.75,,,,,,,,,,,,
,,2015 - 2016,726,546,0.75,,,,,,,,,,,,
,,2016 - 2017,686,516,0.75,,,,,,,,,,,,
,,2017 - 2018,672,506,0.75,,,,,,,,,,,,
,,2018 - 2019,681,512,0.75,,,,,,,,,,,,
,,2019 - 2020,662,498,0.75,,,,,,,,,,,,
,,2020 - 2021,653,491,0.75,,,,,,,,,,,,
,,2021 - 2022,346,260,0.75,,,,,,,,,,,,
,,2022 - 2023,287,216,0.75,,,,,,,,,,,,
,16. Kishanganj,2001 - 2002,2,2,1,,,,,,,,,,,,
,,2002 - 2003,203,150,0.74,,,,,,,,,,,,
,,2003 - 2004,246,182,0.74,,,,,,,,,,,,
,,2004 - 2005,223,165,0.74,,,,,,,,,,,,
,,2005 - 2006,218,162,0.74,,,,,,,,,,,,
,,2008 - 2009,222,165,0.74,,,,,,,,,,,,
,17. Lakhisarai,2001 - 2002,2,2,1,,,,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,,,,
,18. Madhepura,2001 - 2002,37,29,0.78,,,,,,,,,,,,
,,2002 - 2003,44,34,0.77,,,,,,,,,,,,
,,2003 - 2004,291,226,0.78,,,,,,,,,,,,
,,2004 - 2005,33,24,0.73,,,,,,,,,,,,
,,2005 - 2006,66,49,0.74,,,,,,,,,,,,
,,2007 - 2008,70,51,0.73,,,,,,,,,,,,
,,2008 - 2009,70,52,0.74,,,,,,,,,,,,
,,2009 - 2010,33,25,0.76,,,,,,,,,,,,
,,2010 - 2011,13,10,0.77,,,,,,,,,,,,
,,2013 - 2014,31,23,0.74,,,,,,,,,,,,
,,2014 - 2015,30,23,0.77,,,,,,,,,,,,
,,2015 - 2016,33,25,0.76,,,,,,,,,,,,
,,2016 - 2017,33,25,0.76,,,,,,,,,,,,
,,2017 - 2018,34,26,0.76,,,,,,,,,,,,
,,2018 - 2019,35,26,0.74,,,,,,,,,,,,
,,2019 - 2020,35,26,0.74,,,,,,,,,,,,
,,2020 - 2021,32,24,0.75,,,,,,,,,,,,
,,2021 - 2022,33,25,0.76,,,,,,,,,,,,
,,2022 - 2023,30,23,0.77,,,,,,,,,,,,
,19. Madhubani,2000 - 2001,180,141,0.78,,,,,,,,,,,,
,,2001 - 2002,45,36,0.8,,,,,,,,,,,,
,,2002 - 2003,1,1,1,,,,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,,,,
,,2005 - 2006,4,4,1,,,,,,,,,,,,
,,2007 - 2008,4,3,0.75,,,,,,,,,,,,
,,2008 - 2009,4,3,0.75,,,,,,,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,,,,,,,
,,2020 - 2021,7,5,0.71,,,,,,,,,,,,
,20. Munger,2003 - 2004,45,35,0.78,,,,,,,,,,,,
,,2004 - 2005,40,33,0.83,,,,,,,,,,,,
,,2005 - 2006,20,15,0.75,,,,,,,,,,,,
,,2008 - 2009,20,16,0.8,,,,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,,,,
,,2014 - 2015,1,1,1,,,,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,21. Muzaffarpur,2001 - 2002,178,134,0.75,,,,,,,,,,,,
,,2002 - 2003,75,56,0.75,,,,,,,,,,,,
,,2003 - 2004,43,32,0.74,,,,,,,,,,,,
,,2005 - 2006,25,18,0.72,,,,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,,,,,,,
,,2009 - 2010,105,79,0.75,,,,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,,,,
,,2011 - 2012,2,2,1,,,,,,,,,,,,
,,2012 - 2013,16,13,0.81,,,,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,,,,
,,2014 - 2015,6,5,0.83,,,,,,,,,,,,
,,2015 - 2016,7,6,0.86,,,,,,,,,,,,
,,2016 - 2017,5,4,0.8,,,,,,,,,,,,
,22. Nalanda,2000 - 2001,12,7,0.58,,,,,,,,,,,,
,,2001 - 2002,16,13,0.81,,,,,,,,,,,,
,,2002 - 2003,26,20,0.77,,,,,,,,,,,,
,,2003 - 2004,25,20,0.8,,,,,,,,,,,,
,,2004 - 2005,26,21,0.81,,,,,,,,,,,,
,,2005 - 2006,25,19,0.76,,,,,,,,,,,,
,,2007 - 2008,6,5,0.83,,,,,,,,,,,,
,,2008 - 2009,29,22,0.76,,,,,,,,,,,,
,,2009 - 2010,1,1,1,,,,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,,,,
,,2016 - 2017,13,10,0.77,,,,,,,,,,,,
,,2017 - 2018,12,9,0.75,,,,,,,,,,,,
,,2018 - 2019,6,5,0.83,,,,,,,,,,,,
,,2019 - 2020,19,15,0.79,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,,,,
,23. Nawada,2000 - 2001,87,45,0.52,,,,,,,,,,,,
,,2001 - 2002,42,33,0.79,,,,,,,,,,,,
,,2002 - 2003,4,3,0.75,,,,,,,,,,,,
,,2003 - 2004,21,16,0.76,,,,,,,,,,,,
,,2004 - 2005,19,14,0.74,,,,,,,,,,,,
,,2005 - 2006,14,10,0.71,,,,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,,,,
,,2008 - 2009,18,13,0.72,,,,,,,,,,,,
,,2013 - 2014,261,195,0.75,,,,,,,,,,,,
,,2017 - 2018,2,2,1,,,,,,,,,,,,
,,2022 - 2023,69,52,0.75,,,,,,,,,,,,
,24. Pashchim champaran,2000 - 2001,101,52,0.51,,,,,,,,,,,,
,,2001 - 2002,152,120,0.79,,,,,,,,,,,,
,,2002 - 2003,155,119,0.77,,,,,,,,,,,,
,,2003 - 2004,113,89,0.79,,,,,,,,,,,,
,,2004 - 2005,104,103,0.99,,,,,,,,,,,,
,,2005 - 2006,150,118,0.79,,,,,,,,,,,,
,,2007 - 2008,105,82,0.78,,,,,,,,,,,,
,,2008 - 2009,122,96,0.79,,,,,,,,,,,,
,,2009 - 2010,103,81,0.79,,,,,,,,,,,,
,,2010 - 2011,55,43,0.78,,,,,,,,,,,,
,25. Patna,2000 - 2001,32,18,0.56,,,,,,,,,,,,
,,2001 - 2002,19,15,0.79,,,,,,,,,,,,
,,2002 - 2003,65,51,0.78,,,,,,,,,,,,
,,2003 - 2004,35,27,0.77,,,,,,,,,,,,
,,2004 - 2005,50,41,0.82,,,,,,,,,,,,
,,2007 - 2008,2,1,0.5,,,,,,,,,,,,
,,2012 - 2013,309,232,0.75,,,,,,,,,,,,
,,2014 - 2015,103,79,0.77,,,,,,,,,,,,
,,2015 - 2016,103,78,0.76,,,,,,,,,,,,
,,2016 - 2017,69,52,0.75,,,,,,,,,,,,
,,2017 - 2018,131,100,0.76,,,,,,,,,,,,
,26. Purbi champaran,2000 - 2001,15,8,0.53,,,,,,,,,,,,
,,2001 - 2002,55,44,0.8,,,,,,,,,,,,
,,2002 - 2003,32,24,0.75,,,,,,,,,,,,
,,2003 - 2004,13,10,0.77,,,,,,,,,,,,
,,2004 - 2005,12,10,0.83,,,,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,,,,
,,2007 - 2008,1,1,1,,,,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,,,,
,,2009 - 2010,9,7,0.78,,,,,,,,,,,,
,,2010 - 2011,15,11,0.73,,,,,,,,,,,,
,,2014 - 2015,8,6,0.75,,,,,,,,,,,,
,27. Purnia,2000 - 2001,143,74,0.52,,,,,,,,,,,,
,,2001 - 2002,143,113,0.79,,,,,,,,,,,,
,,2003 - 2004,442,328,0.74,,,,,,,,,,,,
,,2004 - 2005,441,327,0.74,,,,,,,,,,,,
,,2005 - 2006,361,267,0.74,,,,,,,,,,,,
,,2007 - 2008,235,169,0.72,,,,,,,,,,,,
,,2008 - 2009,287,213,0.74,,,,,,,,,,,,
,28. Rohtas,2000 - 2001,2,1,0.5,,,,,,,,,,,,
,,2002 - 2003,5,4,0.8,,,,,,,,,,,,
,,2004 - 2005,5,4,0.8,,,,,,,,,,,,
,29. Saharsa,2000 - 2001,170,90,0.53,,,,,,,,,,,,
,,2001 - 2002,88,70,0.8,,,,,,,,,,,,
,,2002 - 2003,96,72,0.75,,,,,,,,,,,,
,,2003 - 2004,240,178,0.74,,,,,,,,,,,,
,,2004 - 2005,97,73,0.75,,,,,,,,,,,,
,,2005 - 2006,52,40,0.77,,,,,,,,,,,,
,,2008 - 2009,51,40,0.78,,,,,,,,,,,,
,30. Samastipur,2000 - 2001,8,7,0.88,,,,,,,,,,,,
,,2001 - 2002,59,47,0.8,,,,,,,,,,,,
,,2008 - 2009,282,220,0.78,,,,,,,,,,,,
,,2009 - 2010,56,44,0.79,,,,,,,,,,,,
,,2010 - 2011,489,384,0.79,,,,,,,,,,,,
,,2011 - 2012,267,210,0.79,,,,,,,,,,,,
,,2012 - 2013,267,207,0.78,,,,,,,,,,,,
,,2013 - 2014,204,153,0.75,,,,,,,,,,,,
,,2014 - 2015,78,61,0.78,,,,,,,,,,,,
