State,District,Year,Small millets,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,,Autumn,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2004 - 2005,72,45,0.63,,,,,,,,,,,,
,,2005 - 2006,54,47,0.87,,,,,,,,,,,,
,,2006 - 2007,27,17,0.63,6,4,0.67,,,,,,,,,
,,2008 - 2009,112,88,0.79,46,36,0.78,,,,,,,,,
,,2009 - 2010,38,20,0.53,27,15,0.56,,,,,,,,,
,,2010 - 2011,86,80,0.93,185,172,0.93,,,,,,,,,
,,2011 - 2012,129,84,0.65,302,198,0.66,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,433,397,0.92,161,147,0.91,,,,,,,,,
,,2014 - 2015,226,198,0.88,197,173,0.88,,,,,,,,,
,,2015 - 2016,"2,765.00","2,961.00",1.07,"1,155.00","1,237.00",1.07,,,,,,,,,
,,2016 - 2017,"1,452.00",616,0.42,397,168,0.42,,,,,,,,,
,,2017 - 2018,264,168,0.64,165,105,0.64,,,,,,,,,
,,2018 - 2019,114,73,0.64,142,91,0.64,,,,,,,,,
,,2019 - 2020,936,"1,002.00",1.07,343,349,1.02,,,,,,,,,
,,2020 - 2021,"2,919.00","1,686.00",0.58,356,303,0.85,,,,,,,,,
,,2021 - 2022,589,409,0.69,910,"1,460.00",1.6,,,,,,,,,
,,2022 - 2023,169,157,0.93,585,527,0.9,,,,,,,,,
,9. Kurnool,2000 - 2001,"24,969.00","17,352.00",0.69,39,27,0.69,,,,,,,,,
,,2001 - 2002,"19,657.00","14,815.00",0.75,18,14,0.78,,,,,,,,,
,,2002 - 2003,"14,091.00","8,778.00",0.62,15,9,0.6,,,,,,,,,
,,2003 - 2004,"16,995.00","13,579.00",0.8,13,10,0.77,,,,,,,,,
,,2004 - 2005,"14,814.00","9,437.00",0.64,11,7,0.64,,,,,,,,,
,,2005 - 2006,"14,285.00","12,742.00",0.89,3,3,1,,,,,,,,,
,,2006 - 2007,"7,615.00","5,056.00",0.66,61,41,0.67,,,,,,,,,
,,2007 - 2008,"9,000.00","9,000.00",1,,,,,,,,,,,,
,,2008 - 2009,"7,232.00","5,655.00",0.78,113,88,0.78,,,,,,,,,
,,2009 - 2010,"5,609.00",30,0.01,82,44,0.54,,,,,,,,,
,,2010 - 2011,"9,741.00","9,049.00",0.93,410,381,0.93,,,,,,,,,
,,2011 - 2012,"8,704.00","5,692.00",0.65,535,350,0.65,,,,,,,,,
,,2012 - 2013,"19,000.00","22,000.00",1.16,,,,,,,,,,,,
,,2013 - 2014,"11,066.00","10,136.00",0.92,36,33,0.92,,,,,,,,,
,,2014 - 2015,"6,681.00","5,859.00",0.88,552,484,0.88,,,,,,,,,
,,2015 - 2016,"23,119.00","28,066.00",1.21,255,310,1.22,,,,,,,,,
,,2016 - 2017,"11,601.00","10,754.00",0.93,526,488,0.93,,,,,,,,,
,,2017 - 2018,"6,016.00","5,992.00",1,267,266,1,,,,,,,,,
,,2018 - 2019,"3,215.00","1,517.00",0.47,165,78,0.47,,,,,,,,,
,,2019 - 2020,"7,292.00","10,819.00",1.48,"1,113.00","1,654.00",1.49,,,,,,,,,
,,2020 - 2021,"3,849.00","3,591.00",0.93,"2,201.00","1,567.00",0.71,,,,,,,,,
,,2021 - 2022,"2,688.00","2,766.00",1.03,"1,803.00","2,833.00",1.57,,,,,,,,,
,,2022 - 2023,363,273,0.75,"1,153.00","2,307.00",2,,,,,,,,,
,10. Nandyal,2022 - 2023,735,685,0.93,528,688,1.3,,,,,,,,,
,11. Palnadu,2022 - 2023,2,3,1.5,129,308,2.39,,,,,,,,,
,12. Parvathipuram manyam,2022 - 2023,319,190,0.6,,,,,,,,,,,,
,13. Prakasam,2000 - 2001,"1,508.00","1,388.00",0.92,"1,579.00","1,192.00",0.75,,,,,,,,,
,,2001 - 2002,"1,575.00","1,177.00",0.75,823,683,0.83,,,,,,,,,
,,2002 - 2003,634,432,0.68,"1,738.00",626,0.36,,,,,,,,,
,,2003 - 2004,872,848,0.97,653,349,0.53,,,,,,,,,
,,2004 - 2005,693,458,0.66,453,227,0.5,,,,,,,,,
,,2005 - 2006,436,459,1.05,435,311,0.71,,,,,,,,,
,,2006 - 2007,383,408,1.07,264,165,0.63,,,,,,,,,
,,2007 - 2008,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2008 - 2009,179,199,1.11,73,53,0.73,,,,,,,,,
,,2009 - 2010,106,62,0.58,921,866,0.94,,,,,,,,,
,,2010 - 2011,255,443,1.74,668,709,1.06,,,,,,,,,
,,2011 - 2012,23,46,2,994,964,0.97,,,,,,,,,
,,2012 - 2013,"1,000.00","2,000.00",2,"2,000.00","1,000.00",0.5,,,,,,,,,
,,2013 - 2014,661,"1,003.00",1.52,670,744,1.11,,,,,,,,,
,,2014 - 2015,138,155,1.12,"1,087.00","1,189.00",1.09,,,,,,,,,
,,2015 - 2016,"1,531.00","1,445.00",0.94,"2,461.00","2,681.00",1.09,,,,,,,,,
,,2016 - 2017,"1,066.00",769,0.72,"5,702.00","6,266.00",1.1,,,,,,,,,
,,2017 - 2018,"1,458.00","1,852.00",1.27,"2,670.00",970,0.36,,,,,,,,,
,,2018 - 2019,483,484,1,"2,203.00","1,002.00",0.45,,,,,,,,,
,,2019 - 2020,"2,722.00","2,220.00",0.82,"2,302.00","1,845.00",0.8,,,,,,,,,
,,2020 - 2021,"2,335.00","3,029.00",1.3,"2,647.00","2,821.00",1.07,,,,,,,,,
,,2021 - 2022,"1,131.00",878,0.78,664,686,1.03,,,,,,,,,
,,2022 - 2023,544,530,0.97,140,152,1.09,,,,,,,,,
,14. Spsr nellore,2015 - 2016,10,9,0.9,6,5,0.83,,,,,,,,,
,,2016 - 2017,12,8,0.67,,,,,,,,,,,,
,,2018 - 2019,,,,6,6,1,,,,,,,,,
,,2019 - 2020,37,30,0.81,53,43,0.81,,,,,,,,,
,,2020 - 2021,7,9,1.29,23,26,1.13,,,,,,,,,
,,2021 - 2022,2,2,1,,,,,,,,,,,,
,,2022 - 2023,15,14,0.93,,,,,,,,,,,,
,15. Sri sathya sai,2022 - 2023,"1,232.00",269,0.22,29,45,1.55,,,,,,,,,
,16. Srikakulam,2000 - 2001,241,173,0.72,,,,,,,,,,,,
,,2001 - 2002,205,130,0.63,,,,,,,,,,,,
,,2002 - 2003,165,107,0.65,,,,,,,,,,,,
,,2003 - 2004,149,105,0.7,,,,,,,,,,,,
,,2004 - 2005,194,103,0.53,,,,,,,,,,,,
,,2005 - 2006,182,139,0.76,,,,,,,,,,,,
,,2006 - 2007,176,130,0.74,,,,,,,,,,,,
,,2008 - 2009,142,108,0.76,,,,,,,,,,,,
,,2009 - 2010,87,60,0.69,,,,,,,,,,,,
,,2010 - 2011,86,82,0.95,,,,,,,,,,,,
,,2011 - 2012,76,54,0.71,,,,,,,,,,,,
,,2015 - 2016,43,25,0.58,,,,,,,,,,,,
,,2016 - 2017,8,5,0.63,,,,,,,,,,,,
,,2017 - 2018,11,12,1.09,,,,,,,,,,,,
,,2018 - 2019,6,5,0.83,,,,,,,,,,,,
,,2019 - 2020,7,5,0.71,,,,,,,,,,,,
,,2020 - 2021,15,15,1,,,,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,,,,
,17. Tirupati,2022 - 2023,1,1,1,,,,,,,,,,,,
,18. Visakhapatanam,2000 - 2001,"23,797.00","10,403.00",0.44,,,,,,,,,,,,
,,2001 - 2002,"22,468.00","11,934.00",0.53,,,,,,,,,,,,
,,2002 - 2003,"21,698.00","8,688.00",0.4,,,,,,,,,,,,
,,2003 - 2004,"18,941.00","8,205.00",0.43,,,,,,,,,,,,
,,2004 - 2005,"22,000.00","8,537.00",0.39,,,,,,,,,,,,
,,2005 - 2006,"19,325.00","7,864.00",0.41,,,,,,,,,,,,
,,2006 - 2007,"19,347.00","8,179.00",0.42,,,,,,,,,,,,
,,2007 - 2008,"19,000.00","8,000.00",0.42,,,,,,,,,,,,
,,2008 - 2009,"18,153.00","8,041.00",0.44,,,,,,,,,,,,
,,2009 - 2010,"14,175.00","6,282.00",0.44,,,,,,,,,,,,
,,2010 - 2011,"14,570.00","14,732.00",1.01,,,,,,,,,,,,
,,2011 - 2012,"15,993.00","9,862.00",0.62,,,,,,,,,,,,
,,2012 - 2013,"13,000.00","7,000.00",0.54,,,,,,,,,,,,
,,2013 - 2014,"12,290.00","6,582.00",0.54,,,,,,,,,,,,
,,2014 - 2015,"9,627.00","5,426.00",0.56,,,,,,,,,,,,
,,2015 - 2016,"8,299.00","2,476.00",0.3,,,,,,,,,,,,
,,2016 - 2017,"7,036.00","2,866.00",0.41,,,,,,,,,,,,
,,2017 - 2018,"6,501.00","2,494.00",0.38,,,,,,,,,,,,
,,2018 - 2019,"5,169.00","2,055.00",0.4,,,,,,,,,,,,
,,2019 - 2020,"4,408.00","2,021.00",0.46,,,,,,,,,,,,
