State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,"2,465.00","3,446.00",1.4,,,,,,,,,
,,2018 - 2019,"4,138.00","6,381.00",1.54,,,,,,,,,
,,2019 - 2020,"3,717.00","2,048.00",0.55,,,,,,,,,
,,2020 - 2021,"2,479.00","2,439.00",0.98,,,,,,,,,
,,2021 - 2022,"3,378.00","3,756.00",1.11,,,,,,,,,
,,2022 - 2023,"3,122.00","3,693.00",1.18,,,,,,,,,
,24. Nawada,2000 - 2001,851,344,0.4,,,,,,,,,
,,2001 - 2002,712,976,1.37,,,,,,,,,
,,2002 - 2003,744,388,0.52,,,,,,,,,
,,2003 - 2004,716,289,0.4,,,,,,,,,
,,2004 - 2005,334,259,0.78,,,,,,,,,
,,2005 - 2006,400,223,0.56,,,,,,,,,
,,2006 - 2007,893,494,0.55,,,,,,,,,
,,2007 - 2008,915,546,0.6,,,,,,,,,
,,2008 - 2009,962,522,0.54,,,,,,,,,
,,2009 - 2010,855,756,0.88,,,,,,,,,
,,2010 - 2011,"1,364.00","1,566.00",1.15,,,,,,,,,
,,2011 - 2012,"1,085.00","1,140.00",1.05,,,,,,,,,
,,2012 - 2013,690,600,0.87,,,,,,,,,
,,2013 - 2014,734,567,0.77,,,,,,,,,
,,2014 - 2015,703,401,0.57,,,,,,,,,
,,2015 - 2016,504,531,1.05,,,,,,,,,
,,2016 - 2017,433,324,0.75,,,,,,,,,
,,2017 - 2018,393,361,0.92,,,,,,,,,
,,2018 - 2019,404,411,1.02,,,,,,,,,
,,2019 - 2020,436,443,1.02,,,,,,,,,
,,2020 - 2021,446,544,1.22,,,,,,,,,
,,2021 - 2022,446,385,0.86,,,,,,,,,
,,2022 - 2023,443,366,0.83,,,,,,,,,
,25. Pashchim champaran,2000 - 2001,"18,206.00","10,050.00",0.55,,,,,,,,,
,,2001 - 2002,"15,180.00","8,653.00",0.57,,,,,,,,,
,,2002 - 2003,"17,685.00","8,471.00",0.48,,,,,,,,,
,,2003 - 2004,"16,540.00","11,776.00",0.71,,,,,,,,,
,,2004 - 2005,"16,142.00","3,745.00",0.23,,,,,,,,,
,,2005 - 2006,"16,780.00","11,461.00",0.68,,,,,,,,,
,,2006 - 2007,"16,870.00","19,654.00",1.17,,,,,,,,,
,,2007 - 2008,"18,435.00","19,025.00",1.03,,,,,,,,,
,,2008 - 2009,"18,469.00","14,018.00",0.76,,,,,,,,,
,,2009 - 2010,"18,435.00","9,918.00",0.54,,,,,,,,,
,,2010 - 2011,"16,116.00","13,312.00",0.83,,,,,,,,,
,,2011 - 2012,"6,478.00","10,119.00",1.56,,,,,,,,,
,,2012 - 2013,"8,209.00","11,731.00",1.43,,,,,,,,,
,,2013 - 2014,"7,838.00","8,167.00",1.04,,,,,,,,,
,,2014 - 2015,"7,341.00","6,871.00",0.94,,,,,,,,,
,,2015 - 2016,"6,660.00","5,155.00",0.77,,,,,,,,,
,,2016 - 2017,"3,031.00","5,568.00",1.84,,,,,,,,,
,,2017 - 2018,"3,203.00","2,787.00",0.87,,,,,,,,,
,,2018 - 2019,"3,175.00","4,178.00",1.32,,,,,,,,,
,,2019 - 2020,"3,177.00","2,440.00",0.77,,,,,,,,,
,,2020 - 2021,"3,164.00","12,093.00",3.82,,,,,,,,,
,,2021 - 2022,"3,159.00","5,623.00",1.78,,,,,,,,,
,,2022 - 2023,"3,324.00","5,465.00",1.64,,,,,,,,,
,26. Patna,2000 - 2001,"3,098.00","3,730.00",1.2,,,,,,,,,
,,2001 - 2002,"2,475.00","2,069.00",0.84,,,,,,,,,
,,2002 - 2003,"3,067.00","3,803.00",1.24,,,,,,,,,
,,2003 - 2004,"2,258.00","1,603.00",0.71,,,,,,,,,
,,2004 - 2005,"2,779.00","2,643.00",0.95,,,,,,,,,
,,2005 - 2006,"2,949.00","2,241.00",0.76,,,,,,,,,
,,2006 - 2007,"2,257.00","1,609.00",0.71,,,,,,,,,
,,2007 - 2008,"2,171.00","1,086.00",0.5,,,,,,,,,
,,2008 - 2009,"2,459.00","2,171.00",0.88,,,,,,,,,
,,2009 - 2010,"2,461.00","3,832.00",1.56,,,,,,,,,
,,2010 - 2011,809,"1,349.00",1.67,,,,,,,,,
,,2011 - 2012,"2,483.00","4,176.00",1.68,,,,,,,,,
,,2012 - 2013,"3,779.00","7,675.00",2.03,,,,,,,,,
,,2013 - 2014,"3,029.00","7,191.00",2.37,,,,,,,,,
,,2014 - 2015,"3,137.00","6,224.00",1.98,,,,,,,,,
,,2015 - 2016,"3,315.00","3,318.00",1,,,,,,,,,
,,2016 - 2017,"3,161.00","4,416.00",1.4,,,,,,,,,
,,2017 - 2018,"3,807.00","4,420.00",1.16,,,,,,,,,
,,2018 - 2019,"2,495.00","2,617.00",1.05,,,,,,,,,
,,2019 - 2020,"4,071.00","1,799.00",0.44,,,,,,,,,
,,2020 - 2021,"3,324.00","3,141.00",0.94,,,,,,,,,
,,2021 - 2022,"4,498.00","3,621.00",0.81,,,,,,,,,
,,2022 - 2023,"4,150.00","3,594.00",0.87,,,,,,,,,
,27. Purbi champaran,2000 - 2001,205,193,0.94,,,,,,,,,
,,2001 - 2002,"2,121.00","2,113.00",1,,,,,,,,,
,,2002 - 2003,"1,346.00","1,256.00",0.93,,,,,,,,,
,,2003 - 2004,"1,135.00",729,0.64,,,,,,,,,
,,2004 - 2005,"1,525.00","1,069.00",0.7,,,,,,,,,
,,2005 - 2006,"1,526.00",636,0.42,,,,,,,,,
,,2006 - 2007,"1,395.00","1,448.00",1.04,,,,,,,,,
,,2007 - 2008,"1,635.00",443,0.27,,,,,,,,,
,,2008 - 2009,"1,677.00",765,0.46,,,,,,,,,
,,2009 - 2010,"1,525.00",354,0.23,,,,,,,,,
,,2010 - 2011,"1,890.00","3,151.00",1.67,,,,,,,,,
,,2011 - 2012,"2,705.00","4,791.00",1.77,,,,,,,,,
,,2012 - 2013,"2,594.00","3,014.00",1.16,,,,,,,,,
,,2013 - 2014,"2,212.00","2,615.00",1.18,,,,,,,,,
,,2014 - 2015,"3,066.00","1,950.00",0.64,,,,,,,,,
,,2015 - 2016,"2,415.00","1,220.00",0.51,,,,,,,,,
,,2016 - 2017,"2,279.00","1,452.00",0.64,,,,,,,,,
,,2017 - 2018,"2,061.00","2,253.00",1.09,,,,,,,,,
,,2018 - 2019,"2,064.00","2,720.00",1.32,,,,,,,,,
,,2019 - 2020,"2,051.00","3,817.00",1.86,,,,,,,,,
,,2020 - 2021,"2,055.00","3,134.00",1.53,,,,,,,,,
,,2021 - 2022,"2,054.00","2,923.00",1.42,,,,,,,,,
,,2022 - 2023,"2,057.00","2,427.00",1.18,,,,,,,,,
,28. Purnia,2000 - 2001,"3,292.00","4,790.00",1.46,,,,,,,,,
,,2001 - 2002,"4,010.00","2,434.00",0.61,,,,,,,,,
,,2002 - 2003,"4,067.00","3,986.00",0.98,,,,,,,,,
,,2003 - 2004,"3,043.00","3,408.00",1.12,,,,,,,,,
,,2004 - 2005,"2,900.00","4,165.00",1.44,,,,,,,,,
,,2005 - 2006,"3,496.00","3,255.00",0.93,,,,,,,,,
,,2006 - 2007,"3,146.00","3,234.00",1.03,,,,,,,,,
,,2007 - 2008,"3,859.00","5,075.00",1.32,,,,,,,,,
,,2008 - 2009,"3,719.00","3,440.00",0.92,,,,,,,,,
,,2009 - 2010,"4,078.00","4,155.00",1.02,,,,,,,,,
,,2010 - 2011,"3,726.00","3,704.00",0.99,,,,,,,,,
,,2011 - 2012,"3,762.00","4,326.00",1.15,,,,,,,,,
,,2012 - 2013,"3,799.00","4,525.00",1.19,,,,,,,,,
,,2013 - 2014,991,"1,068.00",1.08,,,,,,,,,
,,2014 - 2015,"1,223.00","1,464.00",1.2,,,,,,,,,
,,2015 - 2016,246,201,0.82,,,,,,,,,
,,2016 - 2017,820,"1,816.00",2.21,,,,,,,,,
,,2017 - 2018,215,235,1.09,,,,,,,,,
,,2018 - 2019,488,505,1.03,,,,,,,,,
,,2019 - 2020,383,436,1.14,,,,,,,,,
,,2020 - 2021,380,308,0.81,,,,,,,,,
,,2021 - 2022,413,331,0.8,,,,,,,,,
,,2022 - 2023,383,478,1.25,,,,,,,,,
,29. Rohtas,2000 - 2001,"3,098.00","1,685.00",0.54,,,,,,,,,
,,2001 - 2002,"3,037.00","2,275.00",0.75,,,,,,,,,
,,2002 - 2003,"1,612.00","1,506.00",0.93,,,,,,,,,
,,2003 - 2004,"3,579.00","3,228.00",0.9,,,,,,,,,
,,2004 - 2005,"3,811.00","2,759.00",0.72,,,,,,,,,
,,2005 - 2006,"2,764.00","1,902.00",0.69,,,,,,,,,
,,2006 - 2007,"3,385.00","2,627.00",0.78,,,,,,,,,
,,2007 - 2008,"1,215.00","1,126.00",0.93,,,,,,,,,
,,2008 - 2009,869,845,0.97,,,,,,,,,
,,2009 - 2010,969,"1,409.00",1.45,,,,,,,,,
,,2010 - 2011,"2,052.00","2,503.00",1.22,,,,,,,,,
,,2011 - 2012,"2,743.00","2,148.00",0.78,,,,,,,,,
,,2012 - 2013,"2,743.00","3,388.00",1.24,,,,,,,,,
,,2013 - 2014,"2,777.00","2,927.00",1.05,,,,,,,,,
,,2014 - 2015,"2,590.00","2,505.00",0.97,,,,,,,,,
,,2015 - 2016,"1,500.00","1,550.00",1.03,,,,,,,,,
,,2016 - 2017,"2,343.00","2,621.00",1.12,,,,,,,,,
,,2017 - 2018,"2,345.00","2,572.00",1.1,,,,,,,,,
,,2018 - 2019,"2,344.00","3,807.00",1.62,,,,,,,,,
,,2019 - 2020,"2,198.00","3,220.00",1.46,,,,,,,,,
,,2020 - 2021,"2,545.00","1,929.00",0.76,,,,,,,,,
,,2021 - 2022,"2,542.00","4,210.00",1.66,,,,,,,,,
,,2022 - 2023,"4,983.00","5,387.00",1.08,,,,,,,,,
,30. Saharsa,2000 - 2001,844,"1,183.00",1.4,,,,,,,,,
,,2001 - 2002,754,976,1.29,,,,,,,,,
,,2002 - 2003,894,817,0.91,,,,,,,,,
,,2003 - 2004,912,507,0.56,,,,,,,,,
,,2004 - 2005,946,425,0.45,,,,,,,,,
,,2005 - 2006,"1,089.00",475,0.44,,,,,,,,,
,,2006 - 2007,982,"1,161.00",1.18,,,,,,,,,
,,2007 - 2008,986,551,0.56,,,,,,,,,
,,2008 - 2009,"1,009.00",672,0.67,,,,,,,,,
,,2009 - 2010,932,906,0.97,,,,,,,,,
,,2010 - 2011,"1,102.00",755,0.69,,,,,,,,,
,,2011 - 2012,"1,014.00","1,399.00",1.38,,,,,,,,,
,,2012 - 2013,"1,420.00","1,092.00",0.77,,,,,,,,,
,,2013 - 2014,"1,069.00","1,682.00",1.57,,,,,,,,,
,,2014 - 2015,"1,484.00","1,920.00",1.29,,,,,,,,,
,,2015 - 2016,"1,477.00","1,468.00",0.99,,,,,,,,,
,,2016 - 2017,"1,482.00",732,0.49,,,,,,,,,
,,2017 - 2018,"1,504.00","1,385.00",0.92,,,,,,,,,
,,2018 - 2019,"1,482.00","1,427.00",0.96,,,,,,,,,
,,2019 - 2020,"1,359.00","1,843.00",1.36,,,,,,,,,
,,2020 - 2021,"1,319.00",942,0.71,,,,,,,,,
,,2021 - 2022,"1,243.00",737,0.59,,,,,,,,,
,,2022 - 2023,"1,191.00",956,0.8,,,,,,,,,
,31. Samastipur,2000 - 2001,"6,088.00","8,310.00",1.36,,,,,,,,,
,,2001 - 2002,"6,497.00","7,186.00",1.11,,,,,,,,,
,,2002 - 2003,"6,146.00","5,355.00",0.87,,,,,,,,,
,,2003 - 2004,"6,156.00","3,811.00",0.62,,,,,,,,,
,,2004 - 2005,"6,145.00","4,007.00",0.65,,,,,,,,,
,,2005 - 2006,"6,284.00","5,455.00",0.87,,,,,,,,,
,,2006 - 2007,"6,397.00","6,845.00",1.07,,,,,,,,,
,,2007 - 2008,"6,061.00","7,304.00",1.21,,,,,,,,,
,,2008 - 2009,"6,733.00","5,454.00",0.81,,,,,,,,,
,,2009 - 2010,"7,946.00","8,931.00",1.12,,,,,,,,,
,,2010 - 2011,"1,674.00","2,407.00",1.44,,,,,,,,,
,,2011 - 2012,"7,578.00","17,740.00",2.34,,,,,,,,,
,,2012 - 2013,"7,578.00","16,497.00",2.18,,,,,,,,,
,,2013 - 2014,"8,150.00","9,633.00",1.18,,,,,,,,,
,,2014 - 2015,"8,689.00","7,855.00",0.9,,,,,,,,,
,,2015 - 2016,"8,091.00","10,065.00",1.24,,,,,,,,,
,,2016 - 2017,"7,316.00","9,972.00",1.36,,,,,,,,,
,,2017 - 2018,"7,819.00","11,314.00",1.45,,,,,,,,,
,,2018 - 2019,"7,708.00","9,674.00",1.26,,,,,,,,,
,,2019 - 2020,"6,930.00","13,354.00",1.93,,,,,,,,,
,,2020 - 2021,"6,925.00","8,663.00",1.25,,,,,,,,,
,,2021 - 2022,"7,123.00","8,298.00",1.16,,,,,,,,,
,,2022 - 2023,"7,129.00","9,503.00",1.33,,,,,,,,,
,32. Saran,2000 - 2001,"2,802.00","3,360.00",1.2,,,,,,,,,
,,2001 - 2002,"3,320.00","4,299.00",1.29,,,,,,,,,
,,2002 - 2003,"2,936.00","3,162.00",1.08,,,,,,,,,
,,2003 - 2004,"2,813.00","3,463.00",1.23,,,,,,,,,
,,2004 - 2005,"2,858.00","3,295.00",1.15,,,,,,,,,
,,2005 - 2006,"3,197.00","3,245.00",1.02,,,,,,,,,
,,2006 - 2007,"2,956.00","3,039.00",1.03,,,,,,,,,
,,2007 - 2008,"2,772.00","3,088.00",1.11,,,,,,,,,
,,2008 - 2009,"2,694.00","2,966.00",1.1,,,,,,,,,
,,2009 - 2010,"3,333.00","3,476.00",1.04,,,,,,,,,
,,2010 - 2011,"2,784.00","2,450.00",0.88,,,,,,,,,
,,2011 - 2012,"3,444.00","3,451.00",1,,,,,,,,,
,,2012 - 2013,"2,912.00","1,319.00",0.45,,,,,,,,,
,,2013 - 2014,"2,576.00","3,264.00",1.27,,,,,,,,,
,,2014 - 2015,"3,608.00","2,883.00",0.8,,,,,,,,,
,,2015 - 2016,"3,193.00","3,614.00",1.13,,,,,,,,,
,,2016 - 2017,"2,910.00","4,752.00",1.63,,,,,,,,,
,,2017 - 2018,"3,638.00","5,162.00",1.42,,,,,,,,,
,,2018 - 2019,"3,273.00","4,674.00",1.43,,,,,,,,,
,,2019 - 2020,"2,736.00","3,781.00",1.38,,,,,,,,,
,,2020 - 2021,"2,614.00","4,546.00",1.74,,,,,,,,,
,,2021 - 2022,"3,449.00","5,522.00",1.6,,,,,,,,,
,,2022 - 2023,"3,573.00","5,888.00",1.65,,,,,,,,,
,33. Sheikhpura,2000 - 2001,403,177,0.44,,,,,,,,,
,,2001 - 2002,461,244,0.53,,,,,,,,,
,,2002 - 2003,446,167,0.37,,,,,,,,,
,,2003 - 2004,359,256,0.71,,,,,,,,,
,,2004 - 2005,571,626,1.1,,,,,,,,,
,,2005 - 2006,457,348,0.76,,,,,,,,,
,,2006 - 2007,471,337,0.72,,,,,,,,,
,,2007 - 2008,470,446,0.95,,,,,,,,,
,,2008 - 2009,449,304,0.68,,,,,,,,,
,,2009 - 2010,857,855,1,,,,,,,,,
,,2010 - 2011,711,454,0.64,,,,,,,,,
,,2011 - 2012,646,446,0.69,,,,,,,,,
,,2012 - 2013,476,224,0.47,,,,,,,,,
,,2013 - 2014,418,261,0.62,,,,,,,,,
,,2014 - 2015,438,308,0.7,,,,,,,,,
,,2015 - 2016,499,341,0.68,,,,,,,,,
,,2016 - 2017,452,371,0.82,,,,,,,,,
,,2017 - 2018,552,571,1.03,,,,,,,,,
,,2018 - 2019,602,382,0.63,,,,,,,,,
,,2019 - 2020,843,787,0.93,,,,,,,,,
,,2020 - 2021,"1,134.00",629,0.55,,,,,,,,,
,,2021 - 2022,"1,143.00",607,0.53,,,,,,,,,
,,2022 - 2023,"1,143.00",729,0.64,,,,,,,,,
,34. Sheohar,2000 - 2001,396,233,0.59,,,,,,,,,
,,2001 - 2002,355,243,0.68,,,,,,,,,
,,2002 - 2003,356,214,0.6,,,,,,,,,
,,2003 - 2004,222,167,0.75,,,,,,,,,
,,2004 - 2005,311,137,0.44,,,,,,,,,
,,2005 - 2006,256,73,0.29,,,,,,,,,
,,2006 - 2007,300,350,1.17,,,,,,,,,
,,2007 - 2008,241,180,0.75,,,,,,,,,
,,2008 - 2009,251,5,0.02,,,,,,,,,
,,2009 - 2010,278,170,0.61,,,,,,,,,
,,2010 - 2011,437,284,0.65,,,,,,,,,
,,2011 - 2012,567,517,0.91,,,,,,,,,
,,2012 - 2013,393,340,0.87,,,,,,,,,
,,2013 - 2014,595,582,0.98,,,,,,,,,
,,2014 - 2015,310,97,0.31,,,,,,,,,
,,2015 - 2016,163,118,0.72,,,,,,,,,
,,2016 - 2017,351,302,0.86,,,,,,,,,
,,2017 - 2018,424,332,0.78,,,,,,,,,
,,2018 - 2019,407,341,0.84,,,,,,,,,
,,2019 - 2020,463,359,0.78,,,,,,,,,
,,2020 - 2021,456,324,0.71,,,,,,,,,
,,2021 - 2022,429,582,1.36,,,,,,,,,
,,2022 - 2023,417,563,1.35,,,,,,,,,
,35. Sitamarhi,2000 - 2001,817,960,1.18,,,,,,,,,
,,2001 - 2002,990,678,0.68,,,,,,,,,
,,2002 - 2003,998,596,0.6,,,,,,,,,
,,2003 - 2004,979,754,0.77,,,,,,,,,
,,2004 - 2005,982,668,0.68,,,,,,,,,
,,2005 - 2006,836,724,0.87,,,,,,,,,
,,2006 - 2007,"1,347.00","1,569.00",1.16,,,,,,,,,
,,2007 - 2008,"1,360.00",934,0.69,,,,,,,,,
,,2008 - 2009,"1,092.00",829,0.76,,,,,,,,,
,,2009 - 2010,"1,451.00","2,468.00",1.7,,,,,,,,,
,,2010 - 2011,"1,460.00","3,349.00",2.29,,,,,,,,,
,,2011 - 2012,925,"1,014.00",1.1,,,,,,,,,
,,2012 - 2013,"1,003.00","1,193.00",1.19,,,,,,,,,
,,2013 - 2014,597,675,1.13,,,,,,,,,
,,2014 - 2015,604,176,0.29,,,,,,,,,
,,2015 - 2016,601,695,1.16,,,,,,,,,
,,2016 - 2017,604,703,1.16,,,,,,,,,
,,2017 - 2018,611,703,1.15,,,,,,,,,
,,2018 - 2019,616,641,1.04,,,,,,,,,
,,2019 - 2020,620,785,1.27,,,,,,,,,
,,2020 - 2021,626,500,0.8,,,,,,,,,
,,2021 - 2022,681,336,0.49,,,,,,,,,
,,2022 - 2023,686,257,0.37,,,,,,,,,
,36. Siwan,2000 - 2001,"1,949.00","2,068.00",1.06,,,,,,,,,
,,2001 - 2002,"1,988.00","1,529.00",0.77,,,,,,,,,
,,2002 - 2003,"1,930.00","1,789.00",0.93,,,,,,,,,
,,2003 - 2004,"2,028.00","2,107.00",1.04,,,,,,,,,
,,2004 - 2005,"2,269.00","3,016.00",1.33,,,,,,,,,
,,2005 - 2006,313,289,0.92,,,,,,,,,
,,2006 - 2007,"1,926.00","1,980.00",1.03,,,,,,,,,
,,2007 - 2008,"2,092.00","2,063.00",0.99,,,,,,,,,
,,2008 - 2009,"1,881.00","2,417.00",1.28,,,,,,,,,
,,2009 - 2010,"1,826.00","1,914.00",1.05,,,,,,,,,
,,2010 - 2011,"2,079.00","2,551.00",1.23,,,,,,,,,
,,2011 - 2012,"2,519.00","3,149.00",1.25,,,,,,,,,
,,2012 - 2013,"2,107.00","3,725.00",1.77,,,,,,,,,
,,2013 - 2014,"2,111.00","2,280.00",1.08,,,,,,,,,
,,2014 - 2015,"2,028.00","2,324.00",1.15,,,,,,,,,
,,2015 - 2016,"2,019.00","2,227.00",1.1,,,,,,,,,
,,2016 - 2017,"2,012.00","2,503.00",1.24,,,,,,,,,
,,2017 - 2018,"2,031.00","2,947.00",1.45,,,,,,,,,
,,2018 - 2019,"2,030.00","3,086.00",1.52,,,,,,,,,
,,2019 - 2020,"2,030.00","2,755.00",1.36,,,,,,,,,
,,2020 - 2021,"2,030.00","2,962.00",1.46,,,,,,,,,
,,2021 - 2022,"2,030.00","2,828.00",1.39,,,,,,,,,
,,2022 - 2023,"2,030.00","3,059.00",1.51,,,,,,,,,
,37. Supaul,2000 - 2001,"1,727.00","1,960.00",1.13,,,,,,,,,
,,2001 - 2002,"2,241.00","2,373.00",1.06,,,,,,,,,
,,2002 - 2003,"1,713.00","1,262.00",0.74,,,,,,,,,
,,2003 - 2004,"1,891.00","1,469.00",0.78,,,,,,,,,
,,2004 - 2005,"1,856.00","1,936.00",1.04,,,,,,,,,
,,2005 - 2006,"1,414.00","1,200.00",0.85,,,,,,,,,
,,2006 - 2007,"1,200.00","1,418.00",1.18,,,,,,,,,
,,2007 - 2008,"1,328.00","1,154.00",0.87,,,,,,,,,
,,2008 - 2009,849,"1,019.00",1.2,,,,,,,,,
,,2009 - 2010,"1,423.00",720,0.51,,,,,,,,,
,,2010 - 2011,989,"1,025.00",1.04,,,,,,,,,
,,2011 - 2012,"1,568.00","1,065.00",0.68,,,,,,,,,
,,2012 - 2013,"1,568.00","1,519.00",0.97,,,,,,,,,
,,2013 - 2014,"1,086.00",851,0.78,,,,,,,,,
,,2014 - 2015,"1,154.00","1,133.00",0.98,,,,,,,,,
,,2015 - 2016,"1,157.00","1,253.00",1.08,,,,,,,,,
,,2016 - 2017,"1,281.00","1,131.00",0.88,,,,,,,,,
,,2017 - 2018,"1,177.00",957,0.81,,,,,,,,,
,,2018 - 2019,"1,146.00","1,038.00",0.91,,,,,,,,,
,,2019 - 2020,"1,148.00","1,312.00",1.14,,,,,,,,,
,,2020 - 2021,"1,150.00","1,129.00",0.98,,,,,,,,,
,,2021 - 2022,"1,105.00","1,206.00",1.09,,,,,,,,,
,,2022 - 2023,"1,011.00","1,155.00",1.14,,,,,,,,,
,38. Vaishali,2000 - 2001,"2,680.00","1,876.00",0.7,,,,,,,,,
,,2001 - 2002,"2,430.00","1,618.00",0.67,,,,,,,,,
,,2002 - 2003,"2,816.00","1,760.00",0.63,,,,,,,,,
,,2003 - 2004,"2,369.00","1,341.00",0.57,,,,,,,,,
,,2004 - 2005,"2,537.00","1,629.00",0.64,,,,,,,,,
,,2005 - 2006,"2,942.00","2,142.00",0.73,,,,,,,,,
,,2006 - 2007,"2,705.00","1,696.00",0.63,,,,,,,,,
,,2007 - 2008,"2,584.00","2,196.00",0.85,,,,,,,,,
,,2008 - 2009,"2,589.00","1,975.00",0.76,,,,,,,,,
,,2009 - 2010,"2,916.00","2,741.00",0.94,,,,,,,,,
,,2010 - 2011,"2,565.00","2,309.00",0.9,,,,,,,,,
,,2011 - 2012,"2,871.00","4,318.00",1.5,,,,,,,,,
,,2012 - 2013,"2,948.00","5,560.00",1.89,,,,,,,,,
,,2013 - 2014,"3,058.00","4,945.00",1.62,,,,,,,,,
,,2014 - 2015,"3,171.00","6,250.00",1.97,,,,,,,,,
,,2015 - 2016,"3,174.00","4,707.00",1.48,,,,,,,,,
,,2016 - 2017,"3,134.00","3,162.00",1.01,,,,,,,,,
,,2017 - 2018,"2,910.00","6,469.00",2.22,,,,,,,,,
,,2018 - 2019,"2,896.00","5,262.00",1.82,,,,,,,,,
,,2019 - 2020,"2,861.00","4,847.00",1.69,,,,,,,,,
,,2020 - 2021,"2,880.00","4,245.00",1.47,,,,,,,,,
,,2021 - 2022,"2,878.00","4,481.00",1.56,,,,,,,,,
,,2022 - 2023,"2,879.00","5,744.00",2,,,,,,,,,
6. Chandigarh,1. Chandigarh,2000 - 2001,80,96,1.2,,,,,,,,,
,,2001 - 2002,70,125,1.79,,,,,,,,,
,,2002 - 2003,30,50,1.67,,,,,,,,,
7. Chhattisgarh,1. Balod,2011 - 2012,"1,154.00",464,0.4,,,,,,,,,
,,2012 - 2013,"1,118.00",459,0.41,,,,,,,,,
,,2013 - 2014,903,414,0.46,,,,,,,,,
,,2014 - 2015,"1,019.00",439,0.43,,,,,,,,,
,,2015 - 2016,"1,057.00",475,0.45,,,,,,,,,
,,2016 - 2017,584,263,0.45,,,,,,,,,
,,2017 - 2018,829,375,0.45,,,,,,,,,
,,2018 - 2019,"1,046.00",460,0.44,,,,,,,,,
,,2019 - 2020,"1,088.00",455,0.42,,,,,,,,,
,,2020 - 2021,976,465,0.48,,,,,,,,,
,,2021 - 2022,"1,352.00",633,0.47,,,,,,,,,
,,2022 - 2023,"1,448.00",823,0.57,,,,,,,,,
,2. Baloda bazar,2011 - 2012,478,228,0.48,,,,,,,,,
,,2012 - 2013,504,258,0.51,,,,,,,,,
,,2013 - 2014,421,245,0.58,,,,,,,,,
,,2014 - 2015,515,293,0.57,,,,,,,,,
,,2015 - 2016,526,258,0.49,,,,,,,,,
,,2016 - 2017,285,120,0.42,,,,,,,,,
,,2017 - 2018,274,99,0.36,,,,,,,,,
,,2018 - 2019,260,104,0.4,,,,,,,,,
,,2019 - 2020,633,245,0.39,,,,,,,,,
,,2020 - 2021,499,292,0.59,,,,,,,,,
,,2021 - 2022,"1,331.00",541,0.41,,,,,,,,,
,,2022 - 2023,649,301,0.46,,,,,,,,,
,3. Balrampur,2011 - 2012,"8,619.00","3,592.00",0.42,,,,,,,,,
,,2012 - 2013,"8,342.00","4,626.00",0.55,,,,,,,,,
,,2013 - 2014,"10,084.00","6,343.00",0.63,,,,,,,,,
,,2014 - 2015,"8,051.00","4,610.00",0.57,,,,,,,,,
,,2015 - 2016,"8,546.00","5,188.00",0.61,,,,,,,,,
,,2016 - 2017,"8,598.00","3,109.00",0.36,,,,,,,,,
,,2017 - 2018,"8,026.00","3,739.00",0.47,,,,,,,,,
,,2018 - 2019,"8,743.00","4,396.00",0.5,,,,,,,,,
,,2019 - 2020,"7,614.00","3,696.00",0.49,,,,,,,,,
,,2020 - 2021,"6,570.00","3,320.00",0.51,,,,,,,,,
,,2021 - 2022,"6,019.00","3,081.00",0.51,,,,,,,,,
,,2022 - 2023,"4,057.00","2,018.00",0.5,,,,,,,,,
,4. Bastar,2000 - 2001,"4,672.00","1,542.00",0.33,,,,,,,,,
,,2001 - 2002,"4,446.00","1,658.00",0.37,,,,,,,,,
,,2002 - 2003,"3,203.00",995,0.31,,,,,,,,,
,,2003 - 2004,"3,573.00","1,559.00",0.44,,,,,,,,,
,,2004 - 2005,"3,483.00","1,397.00",0.4,,,,,,,,,
,,2005 - 2006,"3,410.00",618,0.18,,,,,,,,,
,,2006 - 2007,"2,994.00","1,586.00",0.53,,,,,,,,,
,,2007 - 2008,"2,455.00","1,158.00",0.47,,,,,,,,,
,,2008 - 2009,"2,387.00",848,0.36,,,,,,,,,
,,2009 - 2010,"2,332.00","1,428.00",0.61,,,,,,,,,
,,2010 - 2011,"2,318.00","1,350.00",0.58,,,,,,,,,
,,2011 - 2012,"1,647.00","1,114.00",0.68,,,,,,,,,
,,2012 - 2013,"1,661.00","1,261.00",0.76,,,,,,,,,
,,2013 - 2014,"1,630.00","1,135.00",0.7,,,,,,,,,
,,2014 - 2015,"1,701.00","1,077.00",0.63,,,,,,,,,
,,2015 - 2016,"1,445.00","1,294.00",0.9,,,,,,,,,
,,2016 - 2017,"1,475.00","1,027.00",0.7,,,,,,,,,
,,2017 - 2018,997,608,0.61,,,,,,,,,
,,2018 - 2019,964,635,0.66,,,,,,,,,
,,2019 - 2020,633,389,0.61,,,,,,,,,
,,2020 - 2021,367,217,0.59,,,,,,,,,
,,2021 - 2022,315,189,0.6,,,,,,,,,
,,2022 - 2023,279,197,0.71,,,,,,,,,
,5. Bemetara,2011 - 2012,171,69,0.4,,,,,,,,,
