State,District,Year,Rapeseed &Mustard,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Winter,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,155,376,2.43,,,,,,,,,
,,2011 - 2012,5,12,2.4,,,,,,,,,
,,2014 - 2015,10,6,0.6,,,,,,,,,
,,2015 - 2016,87,47,0.54,,,,,,,,,
,,2016 - 2017,40,2,0.05,,,,,,,,,
,,2017 - 2018,5,2,0.4,,,,,,,,,
,,2018 - 2019,9,3,0.33,,,,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,5,3,0.6,2,1,0.5,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,11. Spsr nellore,2014 - 2015,4,2,0.5,,,,,,,,,
,,2016 - 2017,70,29,0.41,,,,,,,,,
,,2019 - 2020,7,3,0.43,,,,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,,,,
,,2022 - 2023,3,2,0.67,,,,,,,,,
,12. Srikakulam,2022 - 2023,,,,1,1,1,,,,,,
,13. Visakhapatanam,2000 - 2001,226,17,0.08,,,,,,,,,
,14. Vizianagaram,2000 - 2001,2,,0,,,,,,,,,
,,2010 - 2011,5,12,2.4,,,,,,,,,
,15. West godavari,2009 - 2010,65,2,0.03,,,,,,,,,
,,2011 - 2012,39,95,2.44,,,,,,,,,
,,2016 - 2017,24,10,0.42,,,,,,,,,
,,2017 - 2018,24,11,0.46,,,,,,,,,
,,2019 - 2020,12,6,0.5,,,,,,,,,
3. Arunachal Pradesh,1. Anjaw,2016 - 2017,162,200,1.23,,,,,,,,,
,,2017 - 2018,182,220,1.21,,,,,,,,,
,,2018 - 2019,182,220,1.21,,,,,,,,,
,,2019 - 2020,185,223,1.21,,,,,,,,,
,,2020 - 2021,185,225,1.22,,,,,,,,,
,,2021 - 2022,198,185,0.93,,,,,,,,,
,,2022 - 2023,182,187,1.03,,,,,,,,,
,2. Changlang,2016 - 2017,"4,177.00","3,307.00",0.79,,,,,,,,,
,,2017 - 2018,"4,188.00","3,318.00",0.79,,,,,,,,,
,,2018 - 2019,"4,288.00","3,603.00",0.84,,,,,,,,,
,,2019 - 2020,"4,291.00","3,606.00",0.84,,,,,,,,,
,,2020 - 2021,"4,293.00","3,636.00",0.85,,,,,,,,,
,,2021 - 2022,"4,312.00","3,687.00",0.86,,,,,,,,,
,,2022 - 2023,"4,314.00","3,852.00",0.89,,,,,,,,,
,3. Dibang valley,2016 - 2017,53,96,1.81,,,,,,,,,
,,2017 - 2018,53,96,1.81,,,,,,,,,
,,2018 - 2019,53,96,1.81,,,,,,,,,
,,2019 - 2020,56,99,1.77,,,,,,,,,
,,2020 - 2021,57,100,1.75,,,,,,,,,
,,2021 - 2022,63,55,0.87,,,,,,,,,
,,2022 - 2023,73,57,0.78,,,,,,,,,
,4. East kameng,2016 - 2017,759,"1,036.00",1.36,,,,,,,,,
,,2017 - 2018,770,"1,047.00",1.36,,,,,,,,,
,,2018 - 2019,770,"1,047.00",1.36,,,,,,,,,
,,2019 - 2020,542,735,1.36,,,,,,,,,
,,2020 - 2021,542,740,1.37,,,,,,,,,
,,2021 - 2022,557,769,1.38,,,,,,,,,
,,2022 - 2023,559,779,1.39,,,,,,,,,
,5. East siang,2016 - 2017,"3,122.00","3,479.00",1.11,,,,,,,,,
,,2017 - 2018,"3,133.00","3,490.00",1.11,,,,,,,,,
,,2018 - 2019,"2,538.00","2,285.00",0.9,,,,,,,,,
,,2019 - 2020,"2,541.00","2,286.00",0.9,,,,,,,,,
,,2020 - 2021,"2,543.00","2,306.00",0.91,,,,,,,,,
,,2021 - 2022,"2,565.00","2,371.00",0.92,,,,,,,,,
,,2022 - 2023,"2,567.00","2,561.00",1,,,,,,,,,
,6. Kamle,2018 - 2019,353,459,1.3,,,,,,,,,
,,2019 - 2020,355,462,1.3,,,,,,,,,
,,2020 - 2021,356,466,1.31,,,,,,,,,
,,2021 - 2022,364,405,1.11,,,,,,,,,
,,2022 - 2023,366,415,1.13,,,,,,,,,
,7. Kra daadi,2016 - 2017,28,25,0.89,,,,,,,,,
,,2017 - 2018,28,25,0.89,,,,,,,,,
,,2018 - 2019,28,25,0.89,,,,,,,,,
,,2019 - 2020,30,26,0.87,,,,,,,,,
,,2020 - 2021,31,28,0.9,,,,,,,,,
,,2021 - 2022,36,35,0.97,,,,,,,,,
,,2022 - 2023,28,37,1.32,,,,,,,,,
,8. Kurung kumey,2016 - 2017,24,21,0.88,,,,,,,,,
,,2017 - 2018,24,21,0.88,,,,,,,,,
,,2018 - 2019,24,21,0.88,,,,,,,,,
,,2019 - 2020,26,23,0.88,,,,,,,,,
,,2020 - 2021,27,25,0.93,,,,,,,,,
,,2021 - 2022,30,31,1.03,,,,,,,,,
,,2022 - 2023,27,33,1.22,,,,,,,,,
,9. Leparada,2019 - 2020,325,375,1.15,,,,,,,,,
,,2020 - 2021,325,379,1.17,,,,,,,,,
,,2021 - 2022,340,405,1.19,,,,,,,,,
,,2022 - 2023,332,410,1.23,,,,,,,,,
,10. Lohit,2016 - 2017,"4,064.00","3,860.00",0.95,,,,,,,,,
,,2017 - 2018,"4,075.00","3,871.00",0.95,,,,,,,,,
,,2018 - 2019,"4,075.00","3,871.00",0.95,,,,,,,,,
,,2019 - 2020,"4,078.00","3,874.00",0.95,,,,,,,,,
,,2020 - 2021,"4,080.00","3,904.00",0.96,,,,,,,,,
,,2021 - 2022,"4,100.00","3,985.00",0.97,,,,,,,,,
,,2022 - 2023,"4,102.00","4,155.00",1.01,,,,,,,,,
,11. Longding,2016 - 2017,219,220,1,,,,,,,,,
,,2017 - 2018,230,231,1,,,,,,,,,
,,2018 - 2019,230,231,1,,,,,,,,,
,,2019 - 2020,233,234,1,,,,,,,,,
,,2020 - 2021,234,236,1.01,,,,,,,,,
,,2021 - 2022,244,234,0.96,,,,,,,,,
,,2022 - 2023,246,236,0.96,,,,,,,,,
,12. Lower dibang valley,2016 - 2017,"4,099.00","4,256.00",1.04,,,,,,,,,
,,2017 - 2018,"4,110.00","4,267.00",1.04,,,,,,,,,
,,2018 - 2019,"4,110.00","4,265.00",1.04,,,,,,,,,
,,2019 - 2020,"4,112.00","4,271.00",1.04,,,,,,,,,
,,2020 - 2021,"4,114.00","4,327.00",1.05,,,,,,,,,
,,2021 - 2022,"4,139.00","4,398.00",1.06,,,,,,,,,
,,2022 - 2023,"4,162.00","4,418.00",1.06,,,,,,,,,
,13. Lower siang,2018 - 2019,850,"2,044.00",2.4,,,,,,,,,
,,2019 - 2020,768,"1,842.00",2.4,,,,,,,,,
,,2020 - 2021,770,"1,862.00",2.42,,,,,,,,,
,,2021 - 2022,784,"1,886.00",2.41,,,,,,,,,
,,2022 - 2023,786,"1,241.00",1.58,,,,,,,,,
,14. Lower subansiri,2016 - 2017,900,"1,200.00",1.33,,,,,,,,,
,,2017 - 2018,911,"1,211.00",1.33,,,,,,,,,
,,2018 - 2019,586,782,1.33,,,,,,,,,
,,2019 - 2020,587,782,1.33,,,,,,,,,
,,2020 - 2021,588,787,1.34,,,,,,,,,
,,2021 - 2022,602,808,1.34,,,,,,,,,
,,2022 - 2023,594,810,1.36,,,,,,,,,
,15. Namsai,2016 - 2017,"5,454.00","4,639.00",0.85,,,,,,,,,
,,2017 - 2018,"5,465.00","4,650.00",0.85,,,,,,,,,
,,2018 - 2019,"5,465.00","4,650.00",0.85,,,,,,,,,
,,2019 - 2020,"5,472.00","4,657.00",0.85,,,,,,,,,
,,2020 - 2021,"5,475.00","4,714.00",0.86,,,,,,,,,
,,2021 - 2022,"5,498.00","4,776.00",0.87,,,,,,,,,
,,2022 - 2023,"5,522.00","4,906.00",0.89,,,,,,,,,
,16. Pakke kessang,2019 - 2020,231,315,1.36,,,,,,,,,
