State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,10,7,0.7,,,,,,,,,
,,2007 - 2008,10,8,0.8,,,,,,,,,
,,2009 - 2010,4,2,0.5,,,,,,,,,
,,2018 - 2019,30,29,0.97,,,,,,,,,
,,2019 - 2020,40,45,1.13,,,,,,,,,
,,2020 - 2021,138,167,1.21,,,,,,,,,
,,2021 - 2022,155,178,1.15,,,,,,,,,
,,2022 - 2023,683,809,1.18,,,,,,,,,
,8. Chamarajanagar,2000 - 2001,4,4,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2018 - 2019,46,45,0.98,,,,,,,,,
,,2019 - 2020,79,89,1.13,,,,,,,,,
,,2020 - 2021,86,104,1.21,,,,,,,,,
,,2021 - 2022,137,157,1.15,,,,,,,,,
,,2022 - 2023,94,111,1.18,,,,,,,,,
,9. Chikballapur,2018 - 2019,8,8,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,11,13,1.18,,,,,,,,,
,,2021 - 2022,19,21,1.11,,,,,,,,,
,,2022 - 2023,9,10,1.11,,,,,,,,,
,10. Chikmagalur,2000 - 2001,127,132,1.04,,,,,,,,,
,,2012 - 2013,5,5,1,,,,,,,,,
,,2018 - 2019,6,6,1,,,,,,,,,
,,2019 - 2020,15,17,1.13,,,,,,,,,
,,2020 - 2021,121,147,1.21,,,,,,,,,
,,2021 - 2022,29,34,1.17,,,,,,,,,
,,2022 - 2023,12,14,1.17,,,,,,,,,
,11. Chitradurga,2016 - 2017,61,46,0.75,,,,,,,,,
,,2018 - 2019,20,20,1,,,,,,,,,
,,2019 - 2020,16,18,1.13,,,,,,,,,
,,2020 - 2021,7,8,1.14,,,,,,,,,
,,2021 - 2022,75,87,1.16,,,,,,,,,
,,2022 - 2023,395,468,1.18,,,,,,,,,
,12. Davangere,2002 - 2003,4,3,0.75,,,,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,,,,
,,2015 - 2016,1,1,1,,,,,,,,,
,,2017 - 2018,57,87,1.53,,,,,,,,,
,,2018 - 2019,4,4,1,,,,,,,,,
,,2019 - 2020,6,7,1.17,,,,,,,,,
,,2020 - 2021,15,18,1.2,,,,,,,,,
,,2021 - 2022,141,162,1.15,,,,,,,,,
,,2022 - 2023,186,220,1.18,,,,,,,,,
,13. Dharwad,2000 - 2001,"4,020.00","2,555.00",0.64,,,,,,,,,
,,2001 - 2002,"5,027.00","3,720.00",0.74,,,,,,,,,
,,2002 - 2003,"5,720.00","3,565.00",0.62,,,,,,,,,
,,2003 - 2004,"18,343.00","11,710.00",0.64,,,,,,,,,
,,2004 - 2005,"22,827.00","16,243.00",0.71,,,,,,,,,
,,2005 - 2006,"21,646.00","8,349.00",0.39,,,,,,,,,
,,2006 - 2007,"22,431.00","10,740.00",0.48,,,,,,,,,
,,2007 - 2008,"24,847.00","13,620.00",0.55,,,,,,,,,
,,2008 - 2009,"27,471.00","19,991.00",0.73,,,,,,,,,
,,2009 - 2010,"36,033.00","19,204.00",0.53,,,,,,,,,
,,2010 - 2011,"30,809.00","25,873.00",0.84,,,,,,,,,
,,2011 - 2012,"23,219.00","17,757.00",0.76,,,,,,,,,
,,2012 - 2013,"21,244.00","15,984.00",0.75,,,,,,,,,
,,2013 - 2014,"28,677.00","28,278.00",0.99,,,,,,,,,
,,2014 - 2015,"31,984.00","32,846.00",1.03,,,,,,,,,
,,2015 - 2016,"39,628.00","22,626.00",0.57,,,,,,,,,
,,2016 - 2017,"38,754.00","51,543.00",1.33,,,,,,,,,
,,2017 - 2018,"29,565.00","23,818.00",0.81,,,,,,,,,
,,2018 - 2019,"34,554.00","27,147.00",0.79,,,,,,,,,
,,2019 - 2020,"32,399.00","32,934.00",1.02,,,,,,,,,
,,2020 - 2021,"30,001.00","32,521.00",1.08,,,,,,,,,
,,2021 - 2022,"39,900.00","27,331.00",0.68,,,,,,,,,
,,2022 - 2023,"42,623.00","35,590.00",0.83,,,,,,,,,
,14. Gadag,2004 - 2005,76,48,0.63,,,,,,,,,
,,2005 - 2006,75,42,0.56,,,,,,,,,
,,2006 - 2007,120,89,0.74,,,,,,,,,
,,2007 - 2008,41,33,0.8,,,,,,,,,
,,2008 - 2009,6,4,0.67,,,,,,,,,
,,2009 - 2010,4,2,0.5,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,3,2,0.67,,,,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,,,,
,,2018 - 2019,45,44,0.98,,,,,,,,,
,,2019 - 2020,64,72,1.13,,,,,,,,,
,,2020 - 2021,59,72,1.22,,,,,,,,,
,,2021 - 2022,438,502,1.15,,,,,,,,,
,,2022 - 2023,"1,327.00","1,571.00",1.18,,,,,,,,,
,15. Gulbarga,2000 - 2001,33,34,1.03,,,,,,,,,
,,2001 - 2002,16,13,0.81,,,,,,,,,
,,2002 - 2003,21,17,0.81,,,,,,,,,
,,2003 - 2004,177,85,0.48,,,,,,,,,
,,2004 - 2005,205,128,0.62,,,,,,,,,
,,2005 - 2006,826,463,0.56,,,,,,,,,
,,2006 - 2007,723,536,0.74,,,,,,,,,
,,2007 - 2008,418,341,0.82,,,,,,,,,
,,2008 - 2009,"1,058.00",730,0.69,,,,,,,,,
,,2009 - 2010,"1,850.00",192,0.1,,,,,,,,,
,,2010 - 2011,375,140,0.37,,,,,,,,,
,,2011 - 2012,875,320,0.37,,,,,,,,,
,,2012 - 2013,"4,512.00","3,416.00",0.76,,,,,,,,,
,,2013 - 2014,"6,054.00","8,334.00",1.38,,,,,,,,,
,,2014 - 2015,"21,695.00","13,170.00",0.61,,,,,,,,,
,,2015 - 2016,"7,222.00","5,043.00",0.7,,,,,,,,,
,,2016 - 2017,"19,828.00","16,557.00",0.84,,,,,,,,,
,,2017 - 2018,"13,354.00","26,134.00",1.96,,,,,,,,,
,,2018 - 2019,"22,325.00","30,222.00",1.35,,,,,,,,,
,,2019 - 2020,"19,182.00","27,808.00",1.45,,,,,,,,,
,,2020 - 2021,"12,293.00","14,579.00",1.19,,,,,,,,,
,,2021 - 2022,"17,913.00","24,703.00",1.38,,,,,,,,,
,,2022 - 2023,"50,156.00","65,906.00",1.31,,,,,,,,,
,16. Hassan,2000 - 2001,40,42,1.05,,,,,,,,,
,,2001 - 2002,18,15,0.83,,,,,,,,,
,,2002 - 2003,2,2,1,,,,,,,,,
,,2003 - 2004,5,2,0.4,,,,,,,,,
,,2004 - 2005,4,3,0.75,,,,,,,,,
,,2018 - 2019,24,24,1,,,,,,,,,
,,2019 - 2020,82,92,1.12,,,,,,,,,
,,2020 - 2021,10,12,1.2,,,,,,,,,
,,2021 - 2022,38,44,1.16,,,,,,,,,
,,2022 - 2023,12,14,1.17,,,,,,,,,
,17. Haveri,2000 - 2001,499,521,1.04,,,,,,,,,
,,2001 - 2002,177,147,0.83,,,,,,,,,
,,2002 - 2003,327,272,0.83,,,,,,,,,
,,2003 - 2004,544,262,0.48,,,,,,,,,
,,2004 - 2005,"1,253.00",784,0.63,,,,,,,,,
,,2005 - 2006,"2,958.00",837,0.28,,,,,,,,,
,,2006 - 2007,"6,502.00","6,022.00",0.93,,,,,,,,,
,,2007 - 2008,"5,866.00","3,962.00",0.68,,,,,,,,,
,,2008 - 2009,"9,273.00","6,228.00",0.67,,,,,,,,,
,,2009 - 2010,"11,342.00","3,739.00",0.33,,,,,,,,,
,,2010 - 2011,"7,024.00","7,794.00",1.11,,,,,,,,,
,,2011 - 2012,"5,528.00","6,024.00",1.09,,,,,,,,,
,,2012 - 2013,"6,046.00","2,499.00",0.41,,,,,,,,,
,,2013 - 2014,"5,006.00","5,873.00",1.17,,,,,,,,,
,,2014 - 2015,"5,016.00","4,150.00",0.83,,,,,,,,,
,,2015 - 2016,"7,450.00","6,533.00",0.88,,,,,,,,,
,,2016 - 2017,"9,523.00","7,762.00",0.82,,,,,,,,,
,,2017 - 2018,"6,822.00","6,643.00",0.97,,,,,,,,,
,,2018 - 2019,"6,608.00","4,664.00",0.71,,,,,,,,,
,,2019 - 2020,"6,024.00","3,039.00",0.5,,,,,,,,,
,,2020 - 2021,"7,221.00","7,120.00",0.99,,,,,,,,,
,,2021 - 2022,"17,229.00","12,009.00",0.7,,,,,,,,,
,,2022 - 2023,"15,238.00","5,074.00",0.33,,,,,,,,,
,18. Kolar,2018 - 2019,3,3,1,,,,,,,,,
,,2019 - 2020,22,25,1.14,,,,,,,,,
,,2020 - 2021,4,5,1.25,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,19. Koppal,2018 - 2019,14,14,1,,,,,,,,,
,,2019 - 2020,30,34,1.13,,,,,,,,,
,,2020 - 2021,43,52,1.21,,,,,,,,,
,,2021 - 2022,27,31,1.15,,,,,,,,,
,,2022 - 2023,99,117,1.18,,,,,,,,,
,20. Mandya,2000 - 2001,55,57,1.04,,,,,,,,,
,,2001 - 2002,11,9,0.82,,,,,,,,,
,,2002 - 2003,29,24,0.83,,,,,,,,,
,,2003 - 2004,20,10,0.5,,,,,,,,,
,,2004 - 2005,63,39,0.62,,,,,,,,,
,,2005 - 2006,84,47,0.56,,,,,,,,,
,,2006 - 2007,11,8,0.73,,,,,,,,,
,,2007 - 2008,6,5,0.83,,,,,,,,,
,,2010 - 2011,14,12,0.86,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2018 - 2019,66,65,0.98,,,,,,,,,
,,2019 - 2020,43,48,1.12,,,,,,,,,
,,2020 - 2021,48,58,1.21,,,,,,,,,
,,2021 - 2022,50,57,1.14,,,,,,,,,
,,2022 - 2023,19,22,1.16,,,,,,,,,
,21. Mysore,2000 - 2001,43,45,1.05,,,,,,,,,
,,2001 - 2002,67,56,0.84,,,,,,,,,
,,2004 - 2005,18,11,0.61,,,,,,,,,
,,2005 - 2006,11,6,0.55,,,,,,,,,
,,2006 - 2007,23,17,0.74,,,,,,,,,
,,2007 - 2008,52,42,0.81,,,,,,,,,
,,2008 - 2009,17,12,0.71,,,,,,,,,
,,2018 - 2019,70,69,0.99,,,,,,,,,
,,2019 - 2020,77,87,1.13,,,,,,,,,
,,2020 - 2021,56,68,1.21,,,,,,,,,
,,2021 - 2022,105,120,1.14,,,,,,,,,
,,2022 - 2023,95,113,1.19,,,,,,,,,
,22. Raichur,2018 - 2019,9,9,1,,,,,,,,,
,,2019 - 2020,17,19,1.12,,,,,,,,,
,,2020 - 2021,13,16,1.23,,,,,,,,,
,,2021 - 2022,18,20,1.11,,,,,,,,,
,,2022 - 2023,69,81,1.17,,,,,,,,,
,23. Ramanagara,2018 - 2019,5,5,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,5,6,1.2,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,24. Shimoga,2000 - 2001,45,47,1.04,,,,,,,,,
,,2002 - 2003,2,2,1,,,,,,,,,
,,2004 - 2005,5,3,0.6,,,,,,,,,
,,2010 - 2011,46,40,0.87,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,21,25,1.19,,,,,,,,,
,,2021 - 2022,74,85,1.15,,,,,,,,,
,,2022 - 2023,9,10,1.11,,,,,,,,,
,25. Tumkur,2000 - 2001,5,5,1,,,,,,,,,
,,2001 - 2002,5,4,0.8,,,,,,,,,
,,2003 - 2004,11,5,0.45,,,,,,,,,
,,2004 - 2005,14,9,0.64,,,,,,,,,
,,2005 - 2006,3,2,0.67,,,,,,,,,
,,2006 - 2007,5,4,0.8,,,,,,,,,
,,2007 - 2008,44,36,0.82,,,,,,,,,
,,2008 - 2009,17,12,0.71,,,,,,,,,
,,2009 - 2010,5,2,0.4,,,,,,,,,
,,2010 - 2011,15,13,0.87,,,,,,,,,
,,2011 - 2012,1,1,1,,,,,,,,,
,,2018 - 2019,11,11,1,,,,,,,,,
,,2019 - 2020,11,12,1.09,,,,,,,,,
,,2020 - 2021,6,7,1.17,,,,,,,,,
,,2021 - 2022,12,13,1.08,,,,,,,,,
,,2022 - 2023,6,7,1.17,,,,,,,,,
,26. Uttar kannad,2000 - 2001,1,1,1,,,,,,,,,
,,2005 - 2006,308,173,0.56,,,,,,,,,
,,2006 - 2007,182,135,0.74,,,,,,,,,
,,2007 - 2008,127,104,0.82,,,,,,,,,
,,2008 - 2009,31,21,0.68,,,,,,,,,
,,2009 - 2010,18,8,0.44,,,,,,,,,
,,2012 - 2013,4,4,1,,,,,,,,,
,,2014 - 2015,4,3,0.75,,,,,,,,,
,,2015 - 2016,6,3,0.5,,,,,,,,,
,,2016 - 2017,4,3,0.75,,,,,,,,,
,,2017 - 2018,7,11,1.57,,,,,,,,,
,,2018 - 2019,17,17,1,,,,,,,,,
,,2019 - 2020,18,20,1.11,,,,,,,,,
,,2020 - 2021,49,59,1.2,,,,,,,,,
,,2021 - 2022,177,203,1.15,,,,,,,,,
,,2022 - 2023,106,125,1.18,,,,,,,,,
,27. Vijayanagar,2022 - 2023,489,579,1.18,,,,,,,,,
,28. Yadgir,2019 - 2020,4,4,1,,,,,,,,,
,,2020 - 2021,5,6,1.2,,,,,,,,,
,,2021 - 2022,3,3,1,,,,,,,,,
,,2022 - 2023,19,22,1.16,,,,,,,,,
10. Kerala,1. Palakkad,2012 - 2013,,,,,,,7,10,1.43,,,
,,2013 - 2014,,,,,,,6,9,1.5,,,
,,2014 - 2015,,,,,,,1,1.4,1.4,,,
,,2015 - 2016,,,,,,,1,1,1,,,
11. Madhya Pradesh,1. Agar malwa,2013 - 2014,"1,37,322.00","80,718.00",0.59,,,,,,,,,
,,2015 - 2016,"1,29,000.00","98,000.00",0.76,,,,,,,,,
,,2016 - 2017,"1,33,000.00","1,71,000.00",1.29,,,,,,,,,
,,2017 - 2018,"1,13,390.00","1,47,410.00",1.3,,,,,,,,,
,,2018 - 2019,"1,66,167.00","1,39,248.00",0.84,,,,,,,,,
,,2019 - 2020,"1,71,309.00","1,20,259.00",0.7,,,,,,,,,
,,2020 - 2021,"1,72,726.00","92,581.00",0.54,,,,,,,,,
,,2021 - 2022,"1,74,127.00","1,07,088.00",0.61,,,,,,,,,
,,2022 - 2023,"1,82,008.00","1,47,426.00",0.81,,,,,,,,,
,2. Alirajpur,2008 - 2009,"11,244.00","8,536.00",0.76,,,,,,,,,
,,2009 - 2010,,,,,,,"14,367.00","9,770.00",0.68,,,
,,2010 - 2011,"15,590.00","12,022.00",0.77,,,,,,,,,
,,2011 - 2012,"15,785.00","11,507.00",0.73,,,,,,,,,
,,2012 - 2013,"16,206.00","15,787.00",0.97,,,,,,,,,
,,2013 - 2014,"16,990.00","8,793.00",0.52,,,,,,,,,
,,2014 - 2015,"55,000.00","1,00,000.00",1.82,,,,,,,,,
,,2015 - 2016,"23,000.00","21,000.00",0.91,,,,,,,,,
,,2016 - 2017,"20,000.00","26,000.00",1.3,,,,,,,,,
,,2017 - 2018,"16,500.00","20,310.00",1.23,,,,,,,,,
,,2018 - 2019,"22,217.00","16,529.00",0.74,,,,,,,,,
,,2019 - 2020,"38,641.00","17,929.00",0.46,,,,,,,,,
,,2020 - 2021,"42,270.00","19,613.00",0.46,,,,,,,,,
,,2021 - 2022,"43,511.00","27,412.00",0.63,,,,,,,,,
,,2022 - 2023,"53,644.00","40,501.00",0.75,,,,,,,,,
,3. Anuppur,2003 - 2004,"1,409.00",709,0.5,,,,,,,,,
,,2004 - 2005,"1,204.00",544,0.45,,,,,,,,,
,,2005 - 2006,"1,274.00",636,0.5,,,,,,,,,
,,2006 - 2007,"1,321.00",643,0.49,,,,,,,,,
,,2007 - 2008,"1,805.00",597,0.33,,,,,,,,,
,,2008 - 2009,"2,071.00","1,142.00",0.55,,,,,,,,,
,,2009 - 2010,,,,,,,"2,474.00",912,0.37,,,
,,2010 - 2011,"3,025.00","1,217.00",0.4,,,,,,,,,
,,2011 - 2012,"3,444.00","1,418.00",0.41,,,,,,,,,
,,2012 - 2013,"4,657.00","4,349.00",0.93,,,,,,,,,
,,2013 - 2014,"5,843.00","4,585.00",0.78,,,,,,,,,
,,2014 - 2015,"13,000.00","16,000.00",1.23,,,,,,,,,
,,2015 - 2016,"6,000.00","3,000.00",0.5,,,,,,,,,
,,2016 - 2017,"6,000.00","8,000.00",1.33,,,,,,,,,
,,2017 - 2018,"5,700.00","4,410.00",0.77,,,,,,,,,
,,2018 - 2019,"3,730.00","2,618.00",0.7,,,,,,,,,
,,2019 - 2020,"3,284.00","2,374.00",0.72,,,,,,,,,
,,2020 - 2021,"4,024.00","2,909.00",0.72,,,,,,,,,
,,2021 - 2022,"2,581.00","2,415.00",0.94,,,,,,,,,
,,2022 - 2023,"3,770.00","3,091.00",0.82,,,,,,,,,
,4. Ashoknagar,2003 - 2004,"46,269.00","44,370.00",0.96,,,,,,,,,
,,2004 - 2005,"58,355.00","51,007.00",0.87,,,,,,,,,
,,2005 - 2006,"42,293.00","43,586.00",1.03,,,,,,,,,
,,2006 - 2007,"45,759.00","45,262.00",0.99,,,,,,,,,
,,2007 - 2008,"48,466.00","52,085.00",1.07,,,,,,,,,
,,2008 - 2009,"53,336.00","59,436.00",1.11,,,,,,,,,
,,2009 - 2010,,,,,,,"65,199.00","72,942.00",1.12,,,
,,2010 - 2011,"65,780.00","84,245.00",1.28,,,,,,,,,
,,2011 - 2012,"1,08,023.00","1,27,275.00",1.18,,,,,,,,,
,,2012 - 2013,"1,18,835.00","2,47,776.00",2.09,,,,,,,,,
,,2013 - 2014,"1,62,861.00","1,52,419.00",0.94,,,,,,,,,
,,2014 - 2015,"1,65,000.00","1,20,000.00",0.73,,,,,,,,,
,,2015 - 2016,"1,45,000.00","1,92,000.00",1.32,,,,,,,,,
,,2016 - 2017,"1,37,000.00","89,000.00",0.65,,,,,,,,,
,,2017 - 2018,"1,40,800.00","1,45,020.00",1.03,,,,,,,,,
,,2018 - 2019,"1,77,652.00","2,64,879.00",1.49,,,,,,,,,
,,2019 - 2020,"2,65,531.00","3,40,411.00",1.28,,,,,,,,,
,,2020 - 2021,"2,83,383.00","1,30,356.00",0.46,,,,,,,,,
,,2021 - 2022,"2,38,521.00","2,25,403.00",0.95,,,,,,,,,
,,2022 - 2023,"2,26,204.00","2,08,107.00",0.92,,,,,,,,,
,5. Balaghat,2000 - 2001,197,235,1.19,,,,,,,,,
,,2001 - 2002,181,230,1.27,,,,,,,,,
,,2002 - 2003,150,180,1.2,,,,,,,,,
,,2003 - 2004,138,199,1.44,,,,,,,,,
,,2004 - 2005,125,162,1.3,,,,,,,,,
,,2005 - 2006,115,167,1.45,,,,,,,,,
,,2006 - 2007,104,129,1.24,,,,,,,,,
,,2007 - 2008,109,119,1.09,,,,,,,,,
,,2008 - 2009,97,115,1.19,,,,,,,,,
,,2009 - 2010,,,,,,,116,142,1.22,,,
,,2010 - 2011,93,162,1.74,,,,,,,,,
,,2011 - 2012,58,98,1.69,,,,,,,,,
,,2012 - 2013,44,60,1.36,,,,,,,,,
,,2013 - 2014,45,32,0.71,,,,,,,,,
,,2017 - 2018,10,10,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,20,12,0.6,,,,,,,,,
,,2022 - 2023,25,26,1.04,,,,,,,,,
,6. Barwani,2000 - 2001,"28,504.00","10,686.00",0.37,,,,,,,,,
,,2001 - 2002,"27,842.00","13,406.00",0.48,,,,,,,,,
,,2002 - 2003,"20,852.00","11,868.00",0.57,,,,,,,,,
,,2003 - 2004,"25,521.00","19,192.00",0.75,,,,,,,,,
,,2004 - 2005,"26,877.00","14,187.00",0.53,,,,,,,,,
,,2005 - 2006,"30,990.00","11,036.00",0.36,,,,,,,,,
,,2006 - 2007,"29,572.00","10,505.00",0.36,,,,,,,,,
,,2007 - 2008,"29,679.00","12,332.00",0.42,,,,,,,,,
,,2008 - 2009,"31,171.00","13,750.00",0.44,,,,,,,,,
,,2009 - 2010,,,,,,,"31,404.00","14,556.00",0.46,,,
,,2010 - 2011,"33,138.00","9,509.00",0.29,,,,,,,,,
,,2011 - 2012,"35,375.00","12,315.00",0.35,,,,,,,,,
,,2012 - 2013,"37,511.00","76,924.00",2.05,,,,,,,,,
,,2013 - 2014,"37,886.00","39,626.00",1.05,,,,,,,,,
,,2014 - 2015,"1,80,000.00","2,40,000.00",1.33,,,,,,,,,
,,2015 - 2016,"34,000.00","37,000.00",1.09,,,,,,,,,
,,2016 - 2017,"36,000.00","51,000.00",1.42,,,,,,,,,
,,2017 - 2018,"35,600.00","49,840.00",1.4,,,,,,,,,
,,2018 - 2019,"18,712.00","21,556.00",1.15,,,,,,,,,
,,2019 - 2020,"35,403.00","34,624.00",0.98,,,,,,,,,
,,2020 - 2021,"37,059.00","23,532.00",0.63,,,,,,,,,
,,2021 - 2022,"30,586.00","34,715.00",1.13,,,,,,,,,
,,2022 - 2023,"39,375.00","49,297.00",1.25,,,,,,,,,
,7. Betul,2000 - 2001,"1,60,638.00","93,409.00",0.58,,,,,,,,,
,,2001 - 2002,"1,56,462.00","1,37,978.00",0.88,,,,,,,,,
,,2002 - 2003,"1,60,842.00","1,04,794.00",0.65,,,,,,,,,
,,2003 - 2004,"1,53,247.00","1,36,725.00",0.89,,,,,,,,,
,,2004 - 2005,"1,58,212.00","1,08,929.00",0.69,,,,,,,,,
,,2005 - 2006,"1,76,721.00","1,89,912.00",1.07,,,,,,,,,
,,2006 - 2007,"1,73,919.00","1,82,385.00",1.05,,,,,,,,,
,,2007 - 2008,"1,94,077.00","2,03,262.00",1.05,,,,,,,,,
,,2008 - 2009,"1,96,974.00","2,22,831.00",1.13,,,,,,,,,
,,2009 - 2010,,,,,,,"2,10,304.00","2,56,667.00",1.22,,,
,,2010 - 2011,"2,29,015.00","2,50,962.00",1.1,,,,,,,,,
,,2011 - 2012,"2,06,858.00","2,62,469.00",1.27,,,,,,,,,
,,2012 - 2013,"2,36,004.00","4,36,686.00",1.85,,,,,,,,,
,,2013 - 2014,"2,41,852.00","1,52,296.00",0.63,,,,,,,,,
,,2014 - 2015,"1,88,000.00","3,88,000.00",2.06,,,,,,,,,
,,2015 - 2016,"2,54,000.00","1,25,000.00",0.49,,,,,,,,,
,,2016 - 2017,"2,34,000.00","3,12,000.00",1.33,,,,,,,,,
,,2017 - 2018,"2,23,000.00","2,97,710.00",1.34,,,,,,,,,
,,2018 - 2019,"1,45,330.00","93,157.00",0.64,,,,,,,,,
,,2019 - 2020,"1,96,793.00","77,342.00",0.39,,,,,,,,,
,,2020 - 2021,"2,25,016.00","88,431.00",0.39,,,,,,,,,
,,2021 - 2022,"2,08,812.00","1,16,935.00",0.56,,,,,,,,,
,,2022 - 2023,"2,16,394.00","2,20,722.00",1.02,,,,,,,,,
,8. Bhind,2000 - 2001,194,98,0.51,,,,,,,,,
,,2001 - 2002,107,88,0.82,,,,,,,,,
,,2002 - 2003,20,15,0.75,,,,,,,,,
,,2003 - 2004,31,27,0.87,,,,,,,,,
,,2004 - 2005,165,129,0.78,,,,,,,,,
,,2005 - 2006,82,67,0.82,,,,,,,,,
,,2006 - 2007,28,16,0.57,,,,,,,,,
,,2007 - 2008,26,14,0.54,,,,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,,,,
,,2009 - 2010,,,,,,,1,2,2,,,
,,2010 - 2011,2,,0,,,,,,,,,
,,2011 - 2012,17,14,0.82,,,,,,,,,
,,2012 - 2013,3,2,0.67,,,,,,,,,
,,2013 - 2014,124,140,1.13,,,,,,,,,
,,2014 - 2015,"11,000.00","10,000.00",0.91,,,,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,,,,
,,2017 - 2018,500,"1,000.00",2,,,,,,,,,
,,2018 - 2019,21,16,0.76,,,,,,,,,
,,2019 - 2020,37,27,0.73,,,,,,,,,
,,2020 - 2021,35,26,0.74,,,,,,,,,
,,2021 - 2022,32,30,0.94,,,,,,,,,
,,2022 - 2023,53,48,0.91,,,,,,,,,
,9. Bhopal,2000 - 2001,"81,954.00","98,440.00",1.2,,,,,,,,,
,,2001 - 2002,"83,994.00","82,770.00",0.99,,,,,,,,,
,,2002 - 2003,"84,692.00","77,632.00",0.92,,,,,,,,,
,,2003 - 2004,"86,430.00","91,994.00",1.06,,,,,,,,,
,,2004 - 2005,"89,662.00","88,624.00",0.99,,,,,,,,,
,,2005 - 2006,"90,623.00","1,05,066.00",1.16,,,,,,,,,
,,2006 - 2007,"92,321.00","95,412.00",1.03,,,,,,,,,
,,2007 - 2008,"96,061.00","1,19,660.00",1.25,,,,,,,,,
,,2008 - 2009,"1,03,983.00","1,38,043.00",1.33,,,,,,,,,
,,2009 - 2010,,,,,,,"1,03,292.00","1,37,770.00",1.33,,,
,,2010 - 2011,"1,06,792.00","1,23,504.00",1.16,,,,,,,,,
,,2011 - 2012,"1,07,712.00","1,28,755.00",1.2,,,,,,,,,
,,2012 - 2013,"1,10,462.00","1,60,467.00",1.45,,,,,,,,,
,,2013 - 2014,"1,14,254.00","72,556.00",0.64,,,,,,,,,
,,2014 - 2015,"1,10,000.00","1,14,000.00",1.04,,,,,,,,,
,,2015 - 2016,"97,000.00","61,000.00",0.63,,,,,,,,,
,,2016 - 2017,"88,000.00","90,000.00",1.02,,,,,,,,,
,,2017 - 2018,"95,200.00","93,500.00",0.98,,,,,,,,,
,,2018 - 2019,"1,21,317.00","82,738.00",0.68,,,,,,,,,
,,2019 - 2020,"1,20,659.00","83,617.00",0.69,,,,,,,,,
,,2020 - 2021,"1,31,160.00","80,008.00",0.61,,,,,,,,,
,,2021 - 2022,"1,04,507.00","1,15,794.00",1.11,,,,,,,,,
,,2022 - 2023,"1,15,753.00","1,34,042.00",1.16,,,,,,,,,
,10. Burhanpur,2003 - 2004,"10,383.00","7,583.00",0.73,,,,,,,,,
,,2004 - 2005,"14,214.00","6,924.00",0.49,,,,,,,,,
,,2005 - 2006,"13,081.00","8,494.00",0.65,,,,,,,,,
,,2006 - 2007,"13,126.00","9,642.00",0.73,,,,,,,,,
,,2007 - 2008,"14,324.00","8,523.00",0.6,,,,,,,,,
,,2008 - 2009,"14,321.00","9,350.00",0.65,,,,,,,,,
,,2009 - 2010,,,,,,,"15,068.00","10,477.00",0.7,,,
,,2010 - 2011,"15,113.00","7,861.00",0.52,,,,,,,,,
,,2011 - 2012,"15,618.00","8,544.00",0.55,,,,,,,,,
,,2012 - 2013,"17,179.00","16,638.00",0.97,,,,,,,,,
,,2013 - 2014,"18,301.00","26,185.00",1.43,,,,,,,,,
,,2014 - 2015,"27,000.00","17,000.00",0.63,,,,,,,,,
,,2015 - 2016,"19,000.00","10,000.00",0.53,,,,,,,,,
,,2016 - 2017,"14,000.00","21,000.00",1.5,,,,,,,,,
,,2017 - 2018,"15,000.00","25,080.00",1.67,,,,,,,,,
,,2018 - 2019,"14,377.00","16,217.00",1.13,,,,,,,,,
,,2019 - 2020,"13,124.00","12,402.00",0.94,,,,,,,,,
,,2020 - 2021,"15,790.00","8,527.00",0.54,,,,,,,,,
,,2021 - 2022,"11,473.00","11,266.00",0.98,,,,,,,,,
,,2022 - 2023,"15,046.00","16,656.00",1.11,,,,,,,,,
,11. Chhatarpur,2000 - 2001,"30,462.00","11,358.00",0.37,,,,,,,,,
