State,District,Year,Soyabean,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,15. Vizianagaram,2021 - 2022,1,2,2,,,,,,,,,
,16. West godavari,2009 - 2010,5,,0,,,,,,,,,
2. Arunachal Pradesh,1. Anjaw,2016 - 2017,20,45,2.25,,,,,,,,,
,,2017 - 2018,21,30,1.43,,,,,,,,,
,,2018 - 2019,21,30,1.43,,,,,,,,,
,,2019 - 2020,21,30,1.43,,,,,,,,,
,,2020 - 2021,22,30,1.36,,,,,,,,,
,,2021 - 2022,23,18,0.78,,,,,,,,,
,,2022 - 2023,16,18,1.13,,,,,,,,,
,2. Changlang,2016 - 2017,84,83,0.99,,,,,,,,,
,,2017 - 2018,153,456,2.98,,,,,,,,,
,,2018 - 2019,103,302,2.93,,,,,,,,,
,,2019 - 2020,103,302,2.93,,,,,,,,,
,,2020 - 2021,104,302,2.9,,,,,,,,,
,,2021 - 2022,107,208,1.94,,,,,,,,,
,,2022 - 2023,179,218,1.22,,,,,,,,,
,3. Dibang valley,2016 - 2017,88,108,1.23,,,,,,,,,
,,2017 - 2018,90,66,0.73,,,,,,,,,
,,2018 - 2019,90,66,0.73,,,,,,,,,
,,2019 - 2020,90,66,0.73,,,,,,,,,
,,2020 - 2021,90,66,0.73,,,,,,,,,
,,2021 - 2022,91,67,0.74,,,,,,,,,
,,2022 - 2023,102,77,0.75,,,,,,,,,
,4. East kameng,2016 - 2017,235,386,1.64,,,,,,,,,
,,2017 - 2018,192,201,1.05,,,,,,,,,
,,2018 - 2019,192,201,1.05,,,,,,,,,
,,2019 - 2020,134,141,1.05,,,,,,,,,
,,2020 - 2021,59,60,1.02,,,,,,,,,
,,2021 - 2022,139,173,1.24,,,,,,,,,
,,2022 - 2023,129,193,1.5,,,,,,,,,
,5. East siang,2016 - 2017,354,455,1.29,,,,,,,,,
,,2017 - 2018,305,307,1.01,,,,,,,,,
,,2018 - 2019,280,282,1.01,,,,,,,,,
,,2019 - 2020,280,282,1.01,,,,,,,,,
,,2020 - 2021,280,290,1.04,,,,,,,,,
,,2021 - 2022,291,425,1.46,,,,,,,,,
,,2022 - 2023,253,395,1.56,,,,,,,,,
,6. Kamle,2018 - 2019,31,20,0.65,,,,,,,,,
,,2019 - 2020,31,20,0.65,,,,,,,,,
,,2020 - 2021,9,13,1.44,,,,,,,,,
,,2021 - 2022,33,30,0.91,,,,,,,,,
,,2022 - 2023,33,35,1.06,,,,,,,,,
,7. Kra daadi,2016 - 2017,12,114,9.5,,,,,,,,,
,,2017 - 2018,14,5,0.36,,,,,,,,,
,,2018 - 2019,14,5,0.36,,,,,,,,,
,,2019 - 2020,14,7,0.5,,,,,,,,,
,,2020 - 2021,114,81,0.71,,,,,,,,,
,,2021 - 2022,17,18,1.06,,,,,,,,,
,,2022 - 2023,14,15,1.07,,,,,,,,,
,8. Kurung kumey,2016 - 2017,108,109,1.01,,,,,,,,,
,,2017 - 2018,11,32,2.91,,,,,,,,,
,,2018 - 2019,11,32,2.91,,,,,,,,,
,,2019 - 2020,11,32,2.91,,,,,,,,,
,,2020 - 2021,325,305,0.94,,,,,,,,,
,,2021 - 2022,13,16,1.23,,,,,,,,,
,,2022 - 2023,10,11,1.1,,,,,,,,,
,9. Leparada,2019 - 2020,13,26,2,,,,,,,,,
,,2020 - 2021,14,26,1.86,,,,,,,,,
,,2021 - 2022,18,22,1.22,,,,,,,,,
,,2022 - 2023,16,24,1.5,,,,,,,,,
,10. Lohit,2016 - 2017,139,105,0.76,,,,,,,,,
,,2017 - 2018,110,11,0.1,,,,,,,,,
,,2018 - 2019,110,11,0.1,,,,,,,,,
,,2019 - 2020,110,11,0.1,,,,,,,,,
,,2020 - 2021,110,21,0.19,,,,,,,,,
,,2021 - 2022,118,175,1.48,,,,,,,,,
,,2022 - 2023,174,195,1.12,,,,,,,,,
,11. Longding,2016 - 2017,160,201,1.26,,,,,,,,,
,,2017 - 2018,78,119,1.53,,,,,,,,,
,,2018 - 2019,78,119,1.53,,,,,,,,,
,,2019 - 2020,78,119,1.53,,,,,,,,,
,,2020 - 2021,78,119,1.53,,,,,,,,,
,,2021 - 2022,80,70,0.88,,,,,,,,,
,,2022 - 2023,83,80,0.96,,,,,,,,,
,12. Lower dibang valley,2016 - 2017,375,268,0.71,,,,,,,,,
,,2017 - 2018,574,789,1.37,,,,,,,,,
,,2018 - 2019,574,791,1.38,,,,,,,,,
,,2019 - 2020,574,791,1.38,,,,,,,,,
,,2020 - 2021,573,791,1.38,,,,,,,,,
,,2021 - 2022,588,840,1.43,,,,,,,,,
,,2022 - 2023,761,"1,010.00",1.33,,,,,,,,,
,13. Lower siang,2018 - 2019,78,185,2.37,,,,,,,,,
,,2019 - 2020,70,166,2.37,,,,,,,,,
,,2020 - 2021,69,166,2.41,,,,,,,,,
,,2021 - 2022,75,98,1.31,,,,,,,,,
,,2022 - 2023,63,78,1.24,,,,,,,,,
,14. Lower subansiri,2016 - 2017,44,136,3.09,,,,,,,,,
,,2017 - 2018,41,16,0.39,,,,,,,,,
,,2018 - 2019,30,16,0.53,,,,,,,,,
,,2019 - 2020,30,17,0.57,,,,,,,,,
,,2020 - 2021,11,32,2.91,,,,,,,,,
,,2021 - 2022,36,46,1.28,,,,,,,,,
,,2022 - 2023,14,17,1.21,,,,,,,,,
,15. Namsai,2016 - 2017,325,342,1.05,,,,,,,,,
,,2017 - 2018,462,"1,001.00",2.17,,,,,,,,,
,,2018 - 2019,462,"1,001.00",2.17,,,,,,,,,
,,2019 - 2020,462,"1,001.00",2.17,,,,,,,,,
,,2020 - 2021,461,"1,001.00",2.17,,,,,,,,,
,,2021 - 2022,470,"1,017.00",2.16,,,,,,,,,
,,2022 - 2023,548,"1,175.00",2.14,,,,,,,,,
,16. Pakke kessang,2019 - 2020,58,60,1.03,,,,,,,,,
,,2020 - 2021,135,141,1.04,,,,,,,,,
,,2021 - 2022,63,78,1.24,,,,,,,,,
,,2022 - 2023,51,88,1.73,,,,,,,,,
,17. Papum pare,2016 - 2017,364,394,1.08,,,,,,,,,
,,2017 - 2018,325,305,0.94,,,,,,,,,
,,2018 - 2019,325,305,0.94,,,,,,,,,
,,2019 - 2020,326,305,0.94,,,,,,,,,
,,2020 - 2021,14,7,0.5,,,,,,,,,
,,2021 - 2022,335,385,1.15,,,,,,,,,
,,2022 - 2023,406,465,1.15,,,,,,,,,
,18. Shi yomi,2019 - 2020,6,8,1.33,,,,,,,,,
,,2020 - 2021,7,8,1.14,,,,,,,,,
,,2021 - 2022,7,7,1,,,,,,,,,
,,2022 - 2023,10,9,0.9,,,,,,,,,
,19. Siang,2016 - 2017,77,226,2.94,,,,,,,,,
,,2017 - 2018,41,220,5.37,,,,,,,,,
,,2018 - 2019,41,220,5.37,,,,,,,,,
,,2019 - 2020,41,220,5.37,,,,,,,,,
,,2020 - 2021,40,220,5.5,,,,,,,,,
,,2021 - 2022,49,66,1.35,,,,,,,,,
,,2022 - 2023,92,115,1.25,,,,,,,,,
,20. Tawang,2016 - 2017,295,525,1.78,,,,,,,,,
,,2017 - 2018,312,456,1.46,,,,,,,,,
,,2018 - 2019,312,458,1.47,,,,,,,,,
,,2019 - 2020,315,461,1.46,,,,,,,,,
,,2020 - 2021,316,477,1.51,,,,,,,,,
,,2021 - 2022,322,486,1.51,,,,,,,,,
,,2022 - 2023,334,508,1.52,,,,,,,,,
,21. Tirap,2016 - 2017,90,242,2.69,,,,,,,,,
,,2017 - 2018,108,160,1.48,,,,,,,,,
,,2018 - 2019,108,160,1.48,,,,,,,,,
,,2019 - 2020,108,160,1.48,,,,,,,,,
,,2020 - 2021,108,160,1.48,,,,,,,,,
,,2021 - 2022,114,137,1.2,,,,,,,,,
,,2022 - 2023,113,147,1.3,,,,,,,,,
,22. Upper siang,2021 - 2022,18,24,1.33,,,,,,,,,
,,2022 - 2023,36,49,1.36,,,,,,,,,
,23. Upper subansiri,2016 - 2017,132,278,2.11,,,,,,,,,
,,2017 - 2018,134,87,0.65,,,,,,,,,
,,2018 - 2019,114,70,0.61,,,,,,,,,
,,2019 - 2020,114,71,0.62,,,,,,,,,
,,2020 - 2021,31,20,0.65,,,,,,,,,
,,2021 - 2022,120,113,0.94,,,,,,,,,
,,2022 - 2023,85,93,1.09,,,,,,,,,
,24. West kameng,2016 - 2017,133,216,1.62,,,,,,,,,
,,2017 - 2018,138,136,0.99,,,,,,,,,
,,2018 - 2019,138,136,0.99,,,,,,,,,
,,2019 - 2020,139,138,0.99,,,,,,,,,
,,2020 - 2021,139,144,1.04,,,,,,,,,
,,2021 - 2022,145,169,1.17,,,,,,,,,
,,2022 - 2023,141,189,1.34,,,,,,,,,
,25. West siang,2016 - 2017,63,165,2.62,,,,,,,,,
,,2017 - 2018,20,38,1.9,,,,,,,,,
,,2018 - 2019,20,28,1.4,,,,,,,,,
,,2019 - 2020,9,13,1.44,,,,,,,,,
,,2020 - 2021,30,17,0.57,,,,,,,,,
,,2021 - 2022,17,25,1.47,,,,,,,,,
,,2022 - 2023,24,27,1.13,,,,,,,,,
3. Bihar,1. Begusarai,2019 - 2020,"17,202.00","13,142.00",0.76,,,,,,,,,
,,2020 - 2021,"22,967.00","10,450.00",0.46,,,,,,,,,
,,2021 - 2022,"22,038.00","16,837.00",0.76,,,,,,,,,
,,2022 - 2023,"17,152.00","15,523.00",0.91,,,,,,,,,
,2. Khagaria,2019 - 2020,"1,608.00",941,0.59,,,,,,,,,
,,2020 - 2021,"1,555.00",877,0.56,,,,,,,,,
,,2021 - 2022,768,180,0.23,,,,,,,,,
,,2022 - 2023,399,420,1.05,,,,,,,,,
,3. Lakhisarai,2019 - 2020,84,63,0.75,,,,,,,,,
,,2020 - 2021,75,35,0.47,,,,,,,,,
,,2021 - 2022,9,7,0.78,,,,,,,,,
,4. Samastipur,2019 - 2020,706,633,0.9,,,,,,,,,
,,2020 - 2021,159,73,0.46,,,,,,,,,
,,2021 - 2022,619,462,0.75,,,,,,,,,
,,2022 - 2023,581,"1,412.00",2.43,,,,,,,,,
4. Chhattisgarh,1. Balod,2011 - 2012,136,101,0.74,,,,,,,,,
,,2012 - 2013,121,137,1.13,,,,,,,,,
,,2013 - 2014,141,119,0.84,,,,,,,,,
,,2014 - 2015,127,74,0.58,,,,,,,,,
,,2015 - 2016,61,24,0.39,,,,,,,,,
,,2018 - 2019,5,,0,,,,,,,,,
,,2019 - 2020,13,11,0.85,,,,,,,,,
,,2020 - 2021,29,19,0.66,,,,,,,,,
,2. Baloda bazar,2011 - 2012,215,196,0.91,,,,,,,,,
,,2012 - 2013,258,499,1.93,,,,,,,,,
,,2013 - 2014,209,339,1.62,,,,,,,,,
,,2014 - 2015,262,293,1.12,,,,,,,,,
,,2015 - 2016,271,240,0.89,,,,,,,,,
,,2016 - 2017,256,256,1,,,,,,,,,
,,2017 - 2018,4,2,0.5,,,,,,,,,
,,2018 - 2019,312,258,0.83,,,,,,,,,
,,2019 - 2020,213,271,1.27,,,,,,,,,
,,2020 - 2021,216,177,0.82,,,,,,,,,
,,2021 - 2022,191,159,0.83,,,,,,,,,
,,2022 - 2023,173,206,1.19,,,,,,,,,
,3. Balrampur,2011 - 2012,56,40,0.71,,,,,,,,,
,,2012 - 2013,14,15,1.07,,,,,,,,,
,,2013 - 2014,30,22,0.73,,,,,,,,,
,,2014 - 2015,28,15,0.54,,,,,,,,,
,,2015 - 2016,100,37,0.37,,,,,,,,,
,,2016 - 2017,100,792,7.92,,,,,,,,,
,,2017 - 2018,26,8,0.31,,,,,,,,,
,,2018 - 2019,42,24,0.57,,,,,,,,,
,,2019 - 2020,44,40,0.91,,,,,,,,,
,,2020 - 2021,38,23,0.61,,,,,,,,,
,,2021 - 2022,33,17,0.52,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,4. Bastar,2000 - 2001,64,49,0.77,,,,,,,,,
,,2001 - 2002,57,62,1.09,,,,,,,,,
,,2002 - 2003,70,56,0.8,,,,,,,,,
,,2003 - 2004,25,32,1.28,,,,,,,,,
,,2004 - 2005,25,34,1.36,,,,,,,,,
,,2005 - 2006,16,20,1.25,,,,,,,,,
,,2006 - 2007,17,29,1.71,,,,,,,,,
,,2007 - 2008,28,44,1.57,,,,,,,,,
,,2008 - 2009,22,29,1.32,,,,,,,,,
,,2009 - 2010,11,12,1.09,,,,,,,,,
,,2010 - 2011,17,25,1.47,,,,,,,,,
,,2011 - 2012,15,15,1,,,,,,,,,
,,2012 - 2013,17,30,1.76,,,,,,,,,
,,2014 - 2015,16,17,1.06,,,,,,,,,
,,2018 - 2019,10,12,1.2,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,,2021 - 2022,3,4,1.33,,,,,,,,,
,,2022 - 2023,1,1,1,,,,,,,,,
,5. Bemetara,2011 - 2012,"32,629.00","23,959.00",0.73,,,,,,,,,
,,2012 - 2013,"29,313.00","29,967.00",1.02,,,,,,,,,
,,2013 - 2014,"35,703.00","27,883.00",0.78,,,,,,,,,
,,2014 - 2015,"30,195.00","16,628.00",0.55,,,,,,,,,
,,2015 - 2016,"32,817.00",,0,,,,,,,,,
,,2016 - 2017,"29,933.00","18,480.00",0.62,,,,,,,,,
,,2017 - 2018,"29,385.00","6,392.00",0.22,,,,,,,,,
,,2018 - 2019,"27,217.00","13,631.00",0.5,,,,,,,,,
,,2019 - 2020,"24,016.00","20,863.00",0.87,,,,,,,,,
,,2020 - 2021,"18,669.00","11,345.00",0.61,,,,,,,,,
,,2021 - 2022,"5,183.00","3,107.00",0.6,,,,,,,,,
,,2022 - 2023,"3,453.00","2,776.00",0.8,,,,,,,,,
,6. Bijapur,2014 - 2015,1,1,1,,,,,,,,,
,7. Bilaspur,2000 - 2001,591,313,0.53,,,,,,,,,
,,2001 - 2002,554,503,0.91,,,,,,,,,
,,2002 - 2003,355,218,0.61,,,,,,,,,
,,2003 - 2004,525,525,1,,,,,,,,,
,,2004 - 2005,851,897,1.05,,,,,,,,,
,,2005 - 2006,"1,034.00","1,088.00",1.05,,,,,,,,,
,,2006 - 2007,"1,813.00","2,326.00",1.28,,,,,,,,,
,,2007 - 2008,"2,102.00","2,979.00",1.42,,,,,,,,,
,,2008 - 2009,"2,533.00","3,322.00",1.31,,,,,,,,,
,,2009 - 2010,"2,572.00","2,878.00",1.12,,,,,,,,,
,,2010 - 2011,"4,034.00","5,571.00",1.38,,,,,,,,,
,,2011 - 2012,215,211,0.98,,,,,,,,,
,,2012 - 2013,205,311,1.52,,,,,,,,,
,,2013 - 2014,192,239,1.24,,,,,,,,,
,,2014 - 2015,183,158,0.86,,,,,,,,,
,,2015 - 2016,114,82,0.72,,,,,,,,,
,,2017 - 2018,58,27,0.47,,,,,,,,,
,,2018 - 2019,39,36,0.92,,,,,,,,,
,,2019 - 2020,20,27,1.35,,,,,,,,,
,,2020 - 2021,7,6,0.86,,,,,,,,,
,,2021 - 2022,10,9,0.9,,,,,,,,,
,,2022 - 2023,6,7,1.17,,,,,,,,,
,8. Dantewada,2000 - 2001,9,6,0.67,,,,,,,,,
,,2001 - 2002,26,30,1.15,,,,,,,,,
,,2002 - 2003,30,20,0.67,,,,,,,,,
,,2004 - 2005,28,27,0.96,,,,,,,,,
,,2005 - 2006,27,24,0.89,,,,,,,,,
,,2006 - 2007,24,19,0.79,,,,,,,,,
,,2007 - 2008,16,22,1.38,,,,,,,,,
,,2008 - 2009,12,24,2,,,,,,,,,
,,2009 - 2010,14,16,1.14,,,,,,,,,
,,2010 - 2011,12,17,1.42,,,,,,,,,
