State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,34. Siwan,2003 - 2004,1,1,1,,,,,,
,,2004 - 2005,6,4,0.67,,,,,,
,,2005 - 2006,17,13,0.76,,,,,,
,,2016 - 2017,11,9,0.82,,,,,,
,,2017 - 2018,11,9,0.82,,,,,,
,,2018 - 2019,11,9,0.82,,,,,,
,,2019 - 2020,11,9,0.82,,,,,,
,,2020 - 2021,11,9,0.82,,,,,,
,,2021 - 2022,11,10,0.91,,,,,,
,,2022 - 2023,11,10,0.91,,,,,,
,35. Supaul,2000 - 2001,217,134,0.62,,,,,,
,,2001 - 2002,134,78,0.58,,,,,,
,,2002 - 2003,124,81,0.65,,,,,,
,,2003 - 2004,74,51,0.69,,,,,,
,,2004 - 2005,77,50,0.65,,,,,,
,,2005 - 2006,102,88,0.86,,,,,,
,,2007 - 2008,119,91,0.76,,,,,,
,,2016 - 2017,157,144,0.92,,,,,,
,,2017 - 2018,82,75,0.91,,,,,,
,,2018 - 2019,80,73,0.91,,,,,,
,,2019 - 2020,79,72,0.91,,,,,,
,,2020 - 2021,79,72,0.91,,,,,,
,,2021 - 2022,76,70,0.92,,,,,,
,,2022 - 2023,79,72,0.91,,,,,,
,36. Vaishali,2000 - 2001,255,104,0.41,,,,,,
,,2001 - 2002,187,108,0.58,,,,,,
,,2002 - 2003,170,111,0.65,,,,,,
,,2003 - 2004,179,124,0.69,,,,,,
,,2004 - 2005,177,116,0.66,,,,,,
,,2005 - 2006,166,130,0.78,,,,,,
,,2007 - 2008,208,154,0.74,,,,,,
,,2016 - 2017,12,11,0.92,,,,,,
,,2017 - 2018,9,8,0.89,,,,,,
,,2018 - 2019,8,7,0.88,,,,,,
,,2019 - 2020,7,6,0.86,,,,,,
,,2020 - 2021,7,6,0.86,,,,,,
,,2021 - 2022,8,7,0.88,,,,,,
,,2022 - 2023,9,8,0.89,,,,,,
3. Chhattisgarh,1. Balod,2011 - 2012,284,78,0.27,,,,,,
,,2012 - 2013,233,62,0.27,,,,,,
,,2013 - 2014,249,66,0.27,,,,,,
,,2014 - 2015,306,83,0.27,,,,,,
,,2015 - 2016,125,28,0.22,,,,,,
,,2016 - 2017,169,38,0.22,,,,,,
,,2017 - 2018,93,31,0.33,,,,,,
,,2018 - 2019,82,26,0.32,,,,,,
,,2019 - 2020,115,32,0.28,,,,,,
,,2020 - 2021,85,11,0.13,,,,,,
,,2021 - 2022,104,28,0.27,,,,,,
,,2022 - 2023,118,32,0.27,,,,,,
,2. Baloda bazar,2011 - 2012,128,61,0.48,,,,,,
,,2012 - 2013,122,54,0.44,,,,,,
,,2013 - 2014,105,50,0.48,,,,,,
,,2014 - 2015,116,55,0.47,,,,,,
,,2015 - 2016,125,46,0.37,,,,,,
,,2016 - 2017,86,33,0.38,,,,,,
,,2017 - 2018,41,14,0.34,,,,,,
,,2018 - 2019,11,4,0.36,,,,,,
,,2019 - 2020,94,33,0.35,,,,,,
,,2020 - 2021,176,65,0.37,,,,,,
,,2021 - 2022,30,12,0.4,,,,,,
,,2022 - 2023,13,5,0.38,,,,,,
,3. Balrampur,2011 - 2012,292,53,0.18,,,,,,
,,2012 - 2013,216,47,0.22,,,,,,
,,2013 - 2014,122,23,0.19,,,,17,9,0.53
,,2014 - 2015,95,19,0.2,,,,,,
,,2015 - 2016,329,72,0.22,,,,,,
,,2016 - 2017,252,50,0.2,,,,,,
,,2017 - 2018,264,55,0.21,,,,,,
,,2018 - 2019,373,75,0.2,,,,,,
,,2019 - 2020,220,41,0.19,,,,,,
,,2020 - 2021,158,34,0.22,,,,,,
,,2021 - 2022,61,12,0.2,,,,,,
,,2022 - 2023,8,2,0.25,,,,,,
,4. Bastar,2000 - 2001,31,8,0.26,,,,,,
,,2001 - 2002,41,11,0.27,,,,,,
,,2002 - 2003,25,6,0.24,,,,,,
,,2003 - 2004,26,6,0.23,,,,,,
,,2004 - 2005,34,8,0.24,,,,,,
,,2005 - 2006,37,10,0.27,,,,,,
,,2006 - 2007,53,13,0.25,,,,,,
,,2007 - 2008,57,15,0.26,,,,,,
,,2008 - 2009,68,18,0.26,,,,,,
,,2009 - 2010,43,9,0.21,,,,,,
,,2010 - 2011,73,20,0.27,,,,,,
,,2011 - 2012,19,5,0.26,,,,,,
,,2012 - 2013,12,3,0.25,,,,,,
,,2013 - 2014,12,3,0.25,,,,,,
,,2014 - 2015,11,3,0.27,,,,,,
,,2015 - 2016,14,4,0.29,,,,,,
,,2016 - 2017,9,3,0.33,,,,,,
,,2017 - 2018,7,1,0.14,,,,,,
,,2018 - 2019,7,2,0.29,,,,,,
,,2019 - 2020,5,1,0.2,,,,,,
,,2020 - 2021,5,1,0.2,,,,,,
,,2021 - 2022,7,2,0.29,,,,,,
,,2022 - 2023,7,2,0.29,,,,,,
,5. Bemetara,2011 - 2012,421,116,0.28,,,,,,
,,2012 - 2013,137,36,0.26,,,,,,
,,2013 - 2014,278,68,0.24,,,,,,
,,2014 - 2015,124,31,0.25,,,,,,
,,2015 - 2016,28,7,0.25,,,,,,
,,2016 - 2017,177,49,0.28,,,,,,
,,2017 - 2018,158,44,0.28,,,,,,
,,2018 - 2019,101,30,0.3,,,,,,
,,2019 - 2020,60,16,0.27,,,,,,
,,2020 - 2021,202,60,0.3,,,,,,
,,2021 - 2022,520,167,0.32,,,,,,
,,2022 - 2023,638,204,0.32,,,,,,
,6. Bijapur,2006 - 2007,10,,0,,,,,,
,,2007 - 2008,6,2,0.33,,,,,,
,,2009 - 2010,2,,0,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,,2014 - 2015,1,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2016 - 2017,1,,0,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,1,,0,,,,,,
,7. Bilaspur,2000 - 2001,621,156,0.25,,,,,,
,,2001 - 2002,607,154,0.25,,,,,,
,,2002 - 2003,549,137,0.25,,,,,,
,,2003 - 2004,615,153,0.25,,,,,,
,,2004 - 2005,657,170,0.26,,,,,,
,,2005 - 2006,580,150,0.26,,,,,,
,,2006 - 2007,505,131,0.26,,,,,,
,,2007 - 2008,566,144,0.25,,,,,,
,,2008 - 2009,450,120,0.27,,,,,,
,,2009 - 2010,484,129,0.27,,,,,,
,,2010 - 2011,410,108,0.26,,,,,,
,,2011 - 2012,240,65,0.27,,,,,,
,,2012 - 2013,243,66,0.27,,,,,,
,,2013 - 2014,236,66,0.28,,,,,,
,,2014 - 2015,11,3,0.27,,,,,,
,,2015 - 2016,11,3,0.27,,,,,,
,,2016 - 2017,27,7,0.26,,,,,,
,,2017 - 2018,11,3,0.27,,,,,,
,,2018 - 2019,32,9,0.28,,,,,,
,,2019 - 2020,105,28,0.27,,,,,,
,,2020 - 2021,9,2,0.22,,,,,,
,,2021 - 2022,64,17,0.27,,,,,,
,,2022 - 2023,42,11,0.26,,,,,,
,8. Dantewada,2000 - 2001,8,2,0.25,,,,,,
,,2001 - 2002,13,3,0.23,,,,,,
,,2003 - 2004,8,1,0.13,,,,,,
,,2004 - 2005,8,1,0.13,,,,,,
,,2005 - 2006,15,3,0.2,,,,,,
,,2006 - 2007,10,5,0.5,,,,,,
,,2007 - 2008,1,1,1,,,,,,
,,2008 - 2009,6,18,3,,,,,,
,,2009 - 2010,8,,0,,,,,,
,,2010 - 2011,8,1,0.13,,,,,,
,,2011 - 2012,6,2,0.33,,,,,,
,,2012 - 2013,3,1,0.33,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2014 - 2015,5,1,0.2,,,,,,
,,2015 - 2016,2,,0,,,,,,
,,2016 - 2017,11,3,0.27,,,,,,
,,2017 - 2018,2,1,0.5,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,,2019 - 2020,6,2,0.33,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,9. Dhamtari,2000 - 2001,141,52,0.37,,,,,,
,,2001 - 2002,147,61,0.41,,,,,,
,,2002 - 2003,184,62,0.34,,,,,,
,,2003 - 2004,411,166,0.4,,,,,,
,,2004 - 2005,301,122,0.41,,,,,,
,,2005 - 2006,323,130,0.4,,,,,,
,,2006 - 2007,331,134,0.4,,,,,,
,,2007 - 2008,255,103,0.4,,,,,,
,,2008 - 2009,226,92,0.41,,,,,,
,,2009 - 2010,354,143,0.4,,,,,,
,,2010 - 2011,226,92,0.41,,,,,,
,,2011 - 2012,459,186,0.41,,,,,,
,,2012 - 2013,224,91,0.41,,,,,,
,,2013 - 2014,182,74,0.41,,,,,,
,,2014 - 2015,184,74,0.4,,,,,,
,,2015 - 2016,204,83,0.41,,,,,,
,,2016 - 2017,179,73,0.41,,,,,,
,,2017 - 2018,86,35,0.41,,,,,,
,,2018 - 2019,59,25,0.42,,,,,,
,,2019 - 2020,39,17,0.44,,,,,,
,,2020 - 2021,68,29,0.43,,,,,,
,,2021 - 2022,36,15,0.42,,,,,,
,,2022 - 2023,36,18,0.5,,,,,,
,10. Durg,2000 - 2001,"1,283.00",311,0.24,,,,,,
,,2001 - 2002,"1,455.00",347,0.24,,,,,,
,,2002 - 2003,"1,416.00",369,0.26,,,,,,
,,2003 - 2004,"1,294.00",397,0.31,,,,,,
,,2004 - 2005,"1,386.00",279,0.2,,,,,,
,,2005 - 2006,"1,184.00",331,0.28,,,,,,
,,2006 - 2007,936,253,0.27,,,,,,
,,2007 - 2008,904,249,0.28,,,,,,
,,2008 - 2009,742,204,0.27,,,,,,
,,2009 - 2010,627,178,0.28,,,,,,
,,2010 - 2011,613,179,0.29,,,,,,
,,2011 - 2012,71,20,0.28,,,,,,
,,2012 - 2013,113,35,0.31,,,,,,
,,2013 - 2014,92,30,0.33,,,,,,
,,2014 - 2015,4,1,0.25,,,,,,
,,2015 - 2016,120,38,0.32,,,,,,
,,2016 - 2017,80,27,0.34,,,,,,
,,2017 - 2018,29,8,0.28,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,
,,2019 - 2020,40,8,0.2,,,,,,
,,2020 - 2021,70,16,0.23,,,,,,
,,2021 - 2022,71,18,0.25,,,,,,
,,2022 - 2023,63,17,0.27,,,,,,
,11. Gariyaband,2011 - 2012,54,26,0.48,,,,,,
,,2012 - 2013,58,25,0.43,,,,,,
,,2013 - 2014,74,34,0.46,,,,,,
,,2014 - 2015,62,25,0.4,,,,,,
,,2015 - 2016,69,30,0.43,,,,,,
,,2016 - 2017,85,46,0.54,,,,,,
,,2017 - 2018,35,13,0.37,,,,,,
,,2018 - 2019,43,17,0.4,,,,,,
,,2019 - 2020,21,13,0.62,,,,,,
,,2020 - 2021,9,5,0.56,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,9,9,1,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,4,1,0.25,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,,2022 - 2023,16,5,0.31,,,,,,
,13. Janjgir-champa,2000 - 2001,48,11,0.23,,,,,,
,,2001 - 2002,31,7,0.23,,,,,,
,,2002 - 2003,100,27,0.27,,,,,,
,,2003 - 2004,75,20,0.27,,,,,,
,,2004 - 2005,110,28,0.25,,,,,,
,,2005 - 2006,58,15,0.26,,,,,,
,,2006 - 2007,11,3,0.27,,,,,,
,,2007 - 2008,13,3,0.23,,,,,,
,,2008 - 2009,16,4,0.25,,,,,,
,,2009 - 2010,10,3,0.3,,,,,,
,,2010 - 2011,72,22,0.31,,,,,,
,,2011 - 2012,35,10,0.29,,,,,,
,,2012 - 2013,38,11,0.29,,,,,,
,,2013 - 2014,38,12,0.32,,,,,,
,,2014 - 2015,40,11,0.28,,,,,,
,,2015 - 2016,139,44,0.32,,,,,,
,,2016 - 2017,23,7,0.3,,,,,,
,,2017 - 2018,12,4,0.33,,,,,,
,,2019 - 2020,1,,0,,,,,,
,,2020 - 2021,7,2,0.29,,,,,,
,,2021 - 2022,5,2,0.4,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,
,14. Jashpur,2000 - 2001,33,7,0.21,,,,,,
,,2001 - 2002,24,5,0.21,,,,,,
,,2002 - 2003,25,5,0.2,,,,,,
,,2003 - 2004,27,6,0.22,,,,,,
,,2004 - 2005,29,6,0.21,,,,,,
,,2005 - 2006,28,6,0.21,,,,,,
,,2006 - 2007,35,8,0.23,,,,,,
,,2007 - 2008,28,6,0.21,,,,,,
,,2008 - 2009,29,6,0.21,,,,,,
,,2009 - 2010,37,8,0.22,,,,,,
,,2010 - 2011,39,8,0.21,,,,,,
,,2011 - 2012,39,7,0.18,,,,,,
,,2012 - 2013,38,7,0.18,,,,,,
,,2013 - 2014,33,8,0.24,,,,,,
,,2014 - 2015,44,9,0.2,,,,,,
,,2015 - 2016,40,6,0.15,,,,,,
,,2016 - 2017,40,9,0.23,,,,,,
,,2017 - 2018,39,9,0.23,,,,,,
,,2018 - 2019,38,9,0.24,,,,,,
,,2019 - 2020,48,10,0.21,,,,,,
,,2020 - 2021,50,11,0.22,,,,,,
,,2021 - 2022,46,10,0.22,,,,,,
,,2022 - 2023,46,10,0.22,,,,,,
,15. Kabirdham,2000 - 2001,79,9,0.11,,,,,,
,,2001 - 2002,78,18,0.23,,,,,,
,,2002 - 2003,104,21,0.2,,,,,,
,,2003 - 2004,95,24,0.25,,,,,,
,,2004 - 2005,123,25,0.2,,,,,,
,,2005 - 2006,123,26,0.21,,,,,,
,,2006 - 2007,115,24,0.21,,,,,,
,,2007 - 2008,111,27,0.24,,,,,,
,,2008 - 2009,109,22,0.2,,,,,,
,,2009 - 2010,80,17,0.21,,,,,,
,,2010 - 2011,88,22,0.25,,,,,,
,,2011 - 2012,70,18,0.26,,,,,,
,,2012 - 2013,59,14,0.24,,,,,,
,,2013 - 2014,91,22,0.24,,,,,,
,,2014 - 2015,108,29,0.27,,,,,,
,,2015 - 2016,76,23,0.3,,,,,,
,,2016 - 2017,34,8,0.24,,,,,,
,,2018 - 2019,19,6,0.32,,,,,,
,,2019 - 2020,16,5,0.31,,,,,,
,,2020 - 2021,15,5,0.33,,,,,,
,,2021 - 2022,15,4,0.27,,,,,,
,,2022 - 2023,17,5,0.29,,,,,,
,16. Kanker,2000 - 2001,44,9,0.2,,,,,,
,,2001 - 2002,49,16,0.33,,,,,,
,,2002 - 2003,60,10,0.17,,,,,,
,,2003 - 2004,81,23,0.28,,,,,,
,,2004 - 2005,111,29,0.26,,,,,,
,,2005 - 2006,86,21,0.24,,,,,,
,,2006 - 2007,76,19,0.25,,,,,,
,,2007 - 2008,54,14,0.26,,,,,,
,,2008 - 2009,54,11,0.2,,,,,,
,,2009 - 2010,54,12,0.22,,,,,,
,,2010 - 2011,94,27,0.29,,,,,,
,,2011 - 2012,125,30,0.24,,,,,,
,,2012 - 2013,115,26,0.23,,,,,,
,,2013 - 2014,12,2,0.17,,,,,,
,,2014 - 2015,139,22,0.16,,,,,,
,,2015 - 2016,151,31,0.21,,,,,,
,,2016 - 2017,138,30,0.22,,,,,,
,,2017 - 2018,114,32,0.28,,,,,,
,,2018 - 2019,77,17,0.22,,,,,,
,,2019 - 2020,40,9,0.23,,,,,,
,,2020 - 2021,30,10,0.33,,,,,,
,,2021 - 2022,14,4,0.29,,,,,,
,,2022 - 2023,11,3,0.27,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,4,1,0.25,,,,,,
,18. Kondagaon,2011 - 2012,25,6,0.24,,,,,,
,,2012 - 2013,21,5,0.24,,,,,,
,,2013 - 2014,23,6,0.26,,,,,,
,,2014 - 2015,28,6,0.21,,,,,,
,,2015 - 2016,33,7,0.21,,,,,,
,,2016 - 2017,23,6,0.26,,,,,,
,,2017 - 2018,12,2,0.17,,,,,,
,,2018 - 2019,16,4,0.25,,,,,,
,,2019 - 2020,7,2,0.29,,,,,,
,,2020 - 2021,5,1,0.2,,,,,,
,,2021 - 2022,14,5,0.36,,,,,,
,,2022 - 2023,15,4,0.27,,,,,,
,19. Korba,2001 - 2002,2,1,0.5,,,,,,
,,2004 - 2005,8,2,0.25,,,,,,
,,2006 - 2007,18,5,0.28,,,,,,
,,2007 - 2008,8,2,0.25,,,,,,
,,2008 - 2009,9,2,0.22,,,,,,
,,2009 - 2010,37,9,0.24,,,,,,
,,2010 - 2011,9,3,0.33,,,,,,
,,2011 - 2012,31,7,0.23,,,,,,
,,2012 - 2013,31,8,0.26,,,,,,
,,2013 - 2014,31,8,0.26,,,,,,
,,2014 - 2015,15,4,0.27,,,,,,
,,2015 - 2016,12,3,0.25,,,,,,
,,2016 - 2017,9,3,0.33,,,,,,
,,2017 - 2018,14,3,0.21,,,,,,
,,2018 - 2019,38,10,0.26,,,,,,
,,2019 - 2020,16,4,0.25,,,,,,
,,2020 - 2021,14,4,0.29,,,,,,
,,2021 - 2022,7,2,0.29,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,
,20. Korea,2000 - 2001,40,9,0.23,,,,,,
,,2001 - 2002,21,5,0.24,,,,,,
,,2002 - 2003,32,6,0.19,,,,,,
,,2003 - 2004,39,9,0.23,,,,,,
,,2004 - 2005,33,6,0.18,,,,,,
,,2005 - 2006,41,7,0.17,,,,,,
,,2006 - 2007,46,8,0.17,,,,,,
,,2007 - 2008,26,4,0.15,,,,,,
,,2008 - 2009,37,8,0.22,,,,,,
,,2009 - 2010,30,6,0.2,,,,,,
,,2010 - 2011,36,7,0.19,,,,,,
,,2011 - 2012,46,8,0.17,,,,,,
,,2012 - 2013,69,13,0.19,,,,,,
,,2013 - 2014,48,10,0.21,,,,,,
,,2014 - 2015,54,10,0.19,,,,,,
,,2015 - 2016,52,9,0.17,,,,,,
,,2016 - 2017,65,13,0.2,,,,,,
,,2017 - 2018,63,13,0.21,,,,,,
,,2018 - 2019,76,14,0.18,,,,,,
,,2019 - 2020,60,13,0.22,,,,,,
,,2020 - 2021,40,8,0.2,,,,,,
,,2021 - 2022,44,8,0.18,,,,,,
,,2022 - 2023,19,4,0.21,,,,,,
,21. Mahasamund,2000 - 2001,150,70,0.47,,,,,,
,,2001 - 2002,64,28,0.44,,,,,,
,,2002 - 2003,169,59,0.35,,,,,,
,,2003 - 2004,78,29,0.37,,,,,,
,,2004 - 2005,63,23,0.37,,,,,,
,,2005 - 2006,94,32,0.34,,,,,,
,,2006 - 2007,83,30,0.36,,,,,,
,,2007 - 2008,65,24,0.37,,,,,,
,,2008 - 2009,79,27,0.34,,,,,,
,,2009 - 2010,66,23,0.35,,,,,,
,,2010 - 2011,52,19,0.37,,,,,,
,,2011 - 2012,45,21,0.47,,,,,,
,,2012 - 2013,140,61,0.44,,,,,,
,,2013 - 2014,160,67,0.42,,,,,,
,,2014 - 2015,49,20,0.41,,,,,,
,,2015 - 2016,36,15,0.42,,,,,,
,,2016 - 2017,18,7,0.39,,,,,,
,,2017 - 2018,56,23,0.41,,,,,,
,,2018 - 2019,40,16,0.4,,,,,,
,,2019 - 2020,19,8,0.42,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,4,2,0.5,,,,,,
,,2022 - 2023,18,8,0.44,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,26,6,0.23,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,6,2,0.33,,,,,,
,24. Mungeli,2011 - 2012,165,44,0.27,,,,,,
,,2012 - 2013,196,57,0.29,,,,,,
,,2013 - 2014,228,66,0.29,,,,,,
,,2014 - 2015,288,77,0.27,,,,,,
,,2015 - 2016,232,67,0.29,,,,,,
,,2016 - 2017,326,94,0.29,,,,,,
,,2017 - 2018,115,26,0.23,,,,,,
,,2018 - 2019,33,8,0.24,,,,,,
,,2019 - 2020,81,30,0.37,,,,,,
,,2020 - 2021,18,5,0.28,,,,,,
,,2021 - 2022,174,46,0.26,,,,,,
,,2022 - 2023,297,79,0.27,,,,,,
,25. Narayanpur,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,5,1,0.2,,,,,,
,,2008 - 2009,4,12,3,,,,,,
,,2009 - 2010,8,2,0.25,,,,,,
,,2010 - 2011,7,2,0.29,,,,,,
,,2011 - 2012,6,1,0.17,,,,,,
,,2012 - 2013,1,,0,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,7,2,0.29,,,,,,
,,2015 - 2016,4,1,0.25,,,,,,
,,2016 - 2017,4,1,0.25,,,,,,
,,2017 - 2018,2,,0,,,,,,
,,2018 - 2019,5,2,0.4,,,,,,
,,2019 - 2020,1,,0,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,26. Raigarh,2000 - 2001,49,10,0.2,,,,,,
,,2001 - 2002,104,22,0.21,,,,,,
,,2002 - 2003,75,15,0.2,,,,,,
,,2003 - 2004,89,20,0.22,,,,,,
,,2004 - 2005,138,28,0.2,,,,,,
,,2005 - 2006,159,35,0.22,,,,,,
,,2006 - 2007,177,40,0.23,,,,,,
,,2007 - 2008,183,40,0.22,,,,,,
,,2008 - 2009,146,32,0.22,,,,,,
,,2009 - 2010,179,32,0.18,,,,,,
,,2010 - 2011,199,39,0.2,,,,,,
,,2011 - 2012,215,39,0.18,,,,,,
,,2012 - 2013,218,49,0.22,,,,,,
,,2013 - 2014,225,40,0.18,,,,,,
,,2015 - 2016,7,2,0.29,,,,,,
,,2017 - 2018,75,18,0.24,,,,,,
,,2019 - 2020,91,27,0.3,,,,,,
,,2020 - 2021,78,18,0.23,,,,,,
,,2021 - 2022,73,16,0.22,,,,,,
,,2022 - 2023,41,9,0.22,,,,,,
,27. Raipur,2000 - 2001,295,108,0.37,,,,,,
,,2001 - 2002,325,125,0.38,,,,,,
,,2002 - 2003,358,123,0.34,,,,,,
,,2003 - 2004,367,136,0.37,,,,,,
,,2004 - 2005,339,121,0.36,,,,,,
,,2005 - 2006,451,162,0.36,,,,,,
,,2006 - 2007,446,165,0.37,,,,,,
,,2007 - 2008,362,134,0.37,,,,,,
,,2008 - 2009,402,147,0.37,,,,,,
,,2009 - 2010,425,158,0.37,,,,,,
,,2010 - 2011,572,247,0.43,,,,,,
,,2011 - 2012,218,105,0.48,,,,,,
,,2012 - 2013,199,87,0.44,,,,,,
,,2013 - 2014,180,85,0.47,,,,,,
,,2014 - 2015,180,85,0.47,,,,,,
,,2015 - 2016,172,76,0.44,,,,,,
,,2016 - 2017,139,70,0.5,,,,,,
,,2017 - 2018,106,46,0.43,,,,,,
,,2018 - 2019,53,27,0.51,,,,,,
,,2019 - 2020,90,37,0.41,,,,,,
,,2020 - 2021,61,35,0.57,,,,,,
,,2021 - 2022,55,32,0.58,,,,,,
,,2022 - 2023,51,30,0.59,,,,,,
,28. Rajnandgaon,2000 - 2001,155,35,0.23,,,,,,
,,2001 - 2002,157,36,0.23,,,,,,
,,2002 - 2003,145,32,0.22,,,,,,
,,2003 - 2004,159,35,0.22,,,,,,
,,2004 - 2005,219,51,0.23,,,,,,
,,2005 - 2006,208,50,0.24,,,,,,
,,2006 - 2007,177,42,0.24,,,,,,
,,2007 - 2008,40,10,0.25,,,,,,
,,2008 - 2009,113,24,0.21,,,,,,
,,2009 - 2010,102,21,0.21,,,,,,
,,2010 - 2011,107,26,0.24,,,,,,
,,2011 - 2012,121,29,0.24,,,,,,
,,2012 - 2013,102,25,0.25,,,,,,
,,2013 - 2014,106,26,0.25,,,,,,
,,2014 - 2015,61,17,0.28,,,,,,
,,2015 - 2016,90,21,0.23,,,,,,
,,2016 - 2017,68,21,0.31,,,,,,
,,2017 - 2018,37,11,0.3,,,,,,
,,2018 - 2019,49,14,0.29,,,,,,
,,2019 - 2020,22,6,0.27,,,,,,
,,2020 - 2021,39,11,0.28,,,,,,
,,2021 - 2022,60,17,0.28,,,,,,
,,2022 - 2023,52,14,0.27,,,,,,
,29. Sakti,2022 - 2023,5,1,0.2,,,,,,
,30. Sukma,2011 - 2012,5,1,0.2,,,,,,
,,2012 - 2013,6,2,0.33,,,,,,
,,2013 - 2014,5,1,0.2,,,,,,
,,2015 - 2016,6,1,0.17,,,,,,
,,2016 - 2017,7,1,0.14,,,,,,
,,2017 - 2018,4,1,0.25,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,31. Surajpur,2011 - 2012,187,34,0.18,,,,,,
,,2012 - 2013,195,36,0.18,,,,,,
,,2013 - 2014,227,57,0.25,,,,,,
,,2014 - 2015,220,44,0.2,,,,,,
,,2015 - 2016,259,61,0.24,,,,,,
,,2016 - 2017,230,46,0.2,,,,,,
,,2017 - 2018,235,51,0.22,,,,,,
,,2018 - 2019,223,52,0.23,,,,,,
,,2019 - 2020,167,42,0.25,,,,,,
,,2020 - 2021,60,17,0.28,,,,,,
,,2021 - 2022,129,38,0.29,,,,,,
,,2022 - 2023,121,32,0.26,,,,,,
,32. Surguja,2000 - 2001,438,95,0.22,,,,,,
,,2001 - 2002,500,112,0.22,,,,,,
,,2002 - 2003,513,97,0.19,,,,,,
,,2003 - 2004,594,134,0.23,,,,,,
,,2004 - 2005,528,112,0.21,,,,,,
,,2005 - 2006,621,132,0.21,,,,,,
,,2006 - 2007,599,134,0.22,,,,,,
,,2007 - 2008,500,112,0.22,,,,,,
,,2008 - 2009,545,118,0.22,,,,,,
,,2009 - 2010,600,108,0.18,,,,,,
,,2010 - 2011,737,192,0.26,,,,,,
,,2011 - 2012,158,28,0.18,,,,,,
,,2012 - 2013,168,19,0.11,,,,,,
,,2013 - 2014,87,20,0.23,,,,,,
,,2014 - 2015,88,20,0.23,,,,,,
,,2015 - 2016,87,22,0.25,,,,,,
,,2016 - 2017,136,32,0.24,,,,,,
,,2017 - 2018,79,20,0.25,,,,,,
,,2018 - 2019,71,18,0.25,,,,,,
,,2019 - 2020,62,13,0.21,,,,,,
,,2020 - 2021,79,20,0.25,,,,,,
,,2021 - 2022,65,19,0.29,,,,,,
,,2022 - 2023,97,24,0.25,,,,,,
4. Haryana,1. Ambala,2008 - 2009,14,,0,,,,,,
,,2013 - 2014,150,290,1.93,,,,,,
,,2014 - 2015,132,558,4.23,,,,,,
,,2015 - 2016,149,324,2.17,,,,,,
,,2016 - 2017,137,324,2.36,,,,,,
,,2017 - 2018,40,100,2.5,,,,,,
,,2019 - 2020,7,56,8,,,,,,
,2. Bhiwani,2013 - 2014,40,58,1.45,,,,,,
,,2014 - 2015,2,5,2.5,,,,,,
,,2015 - 2016,5,31,6.2,,,,,,
,,2016 - 2017,34,43,1.26,,,,,,
,,2018 - 2019,2,12,6,,,,,,
,,2019 - 2020,3.6,10,2.78,,,,,,
,3. Charki dadri,2018 - 2019,22,24,1.09,,,,,,
,,2019 - 2020,5,8,1.6,,,,,,
,4. Faridabad,2013 - 2014,110,190,1.73,,,,,,
,,2014 - 2015,20,60,3,,,,,,
,,2015 - 2016,22,90,4.09,,,,,,
,,2016 - 2017,23,30,1.3,,,,,,
,,2017 - 2018,19,22,1.16,,,,,,
,,2018 - 2019,27,125,4.63,,,,,,
,,2019 - 2020,20,90,4.5,,,,,,
,5. Fatehabad,2013 - 2014,20,35,1.75,,,,,,
,,2014 - 2015,50,96,1.92,,,,,,
,,2015 - 2016,40,30,0.75,,,,,,
,,2016 - 2017,30,50,1.67,,,,,,
,,2017 - 2018,20,30,1.5,,,,,,
,,2021 - 2022,6,0,0,,,,,,
,6. Gurgaon,2013 - 2014,110,140,1.27,,,,,,
,,2014 - 2015,4,4,1,,,,,,
,,2015 - 2016,5,20,4,,,,,,
,,2016 - 2017,5,8,1.6,,,,,,
,,2017 - 2018,5,24,4.8,,,,,,
,,2018 - 2019,10,34,3.4,,,,,,
,,2019 - 2020,10,15,1.5,,,,,,
