State,District,Year,Coriander,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2016 - 2017,39,34,0.87,,,,,,
,,2017 - 2018,38,35,0.92,,,,,,
,,2018 - 2019,2,2,1,,,,,,
,3. Aurangabad,2000 - 2001,14,9,0.64,,,,,,
,,2001 - 2002,12,7,0.58,,,,,,
,,2002 - 2003,6,4,0.67,,,,,,
,,2003 - 2004,6,4,0.67,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,,2005 - 2006,4,3,0.75,,,,,,
,,2007 - 2008,7,5,0.71,,,,,,
,,2016 - 2017,11,10,0.91,,,,,,
,,2017 - 2018,11,10,0.91,,,,,,
,,2018 - 2019,11,10,0.91,,,,,,
,4. Banka,2000 - 2001,2,1,0.5,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2016 - 2017,6,5,0.83,,,,,,
,,2017 - 2018,5,4,0.8,,,,,,
,5. Begusarai,2000 - 2001,26,12,0.46,,,,,,
,,2001 - 2002,42,24,0.57,,,,,,
,,2002 - 2003,14,9,0.64,,,,,,
,,2003 - 2004,15,10,0.67,,,,,,
,,2004 - 2005,38,25,0.66,,,,,,
,,2005 - 2006,54,35,0.65,,,,,,
,,2007 - 2008,45,33,0.73,,,,,,
,,2016 - 2017,8,7,0.88,,,,,,
,,2017 - 2018,13,12,0.92,,,,,,
,,2018 - 2019,15,14,0.93,,,,,,
,,2019 - 2020,18,16,0.89,,,,,,
,,2020 - 2021,22,20,0.91,,,,,,
,,2021 - 2022,35,32,0.91,,,,,,
,,2022 - 2023,35,32,0.91,,,,,,
,6. Bhagalpur,2000 - 2001,67,32,0.48,,,,,,
,,2001 - 2002,131,76,0.58,,,,,,
,,2002 - 2003,24,16,0.67,,,,,,
,,2003 - 2004,48,33,0.69,,,,,,
,,2004 - 2005,46,30,0.65,,,,,,
,,2005 - 2006,109,86,0.79,,,,,,
,,2007 - 2008,42,31,0.74,,,,,,
,,2016 - 2017,98,86,0.88,,,,,,
,,2017 - 2018,92,83,0.9,,,,,,
,,2018 - 2019,92,82,0.89,,,,,,
,,2019 - 2020,93,83,0.89,,,,,,
,,2020 - 2021,92,82,0.89,,,,,,
,,2021 - 2022,88,79,0.9,,,,,,
,,2022 - 2023,89,79,0.89,,,,,,
,7. Bhojpur,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,2,2,1,,,,,,
,,2003 - 2004,4,3,0.75,,,,,,
,,2004 - 2005,4,3,0.75,,,,,,
,,2005 - 2006,20,16,0.8,,,,,,
,,2007 - 2008,15,11,0.73,,,,,,
,,2016 - 2017,34,28,0.82,,,,,,
,,2017 - 2018,13,11,0.85,,,,,,
,,2018 - 2019,2,2,1,,,,,,
,8. Buxar,2000 - 2001,7,4,0.57,,,,,,
,,2001 - 2002,9,5,0.56,,,,,,
,,2002 - 2003,6,4,0.67,,,,,,
,,2003 - 2004,6,4,0.67,,,,,,
,,2005 - 2006,6,5,0.83,,,,,,
,,2007 - 2008,7,5,0.71,,,,,,
,9. Darbhanga,2000 - 2001,58,22,0.38,,,,,,
,,2001 - 2002,63,38,0.6,,,,,,
,,2002 - 2003,125,83,0.66,,,,,,
,,2003 - 2004,79,55,0.7,,,,,,
,,2004 - 2005,122,80,0.66,,,,,,
,,2005 - 2006,57,45,0.79,,,,,,
,,2007 - 2008,68,49,0.72,,,,,,
,,2016 - 2017,13,11,0.85,,,,,,
,,2017 - 2018,12,10,0.83,,,,,,
,,2018 - 2019,12,10,0.83,,,,,,
,,2019 - 2020,13,11,0.85,,,,,,
,,2020 - 2021,16,14,0.88,,,,,,
,,2021 - 2022,13,11,0.85,,,,,,
,10. Gaya,2000 - 2001,17,10,0.59,,,,,,
,,2001 - 2002,9,5,0.56,,,,,,
,,2002 - 2003,30,20,0.67,,,,,,
,,2003 - 2004,31,21,0.68,,,,,,
,,2004 - 2005,37,24,0.65,,,,,,
,,2005 - 2006,19,16,0.84,,,,,,
,,2007 - 2008,24,17,0.71,,,,,,
,11. Gopalganj,2000 - 2001,43,20,0.47,,,,,,
,,2001 - 2002,21,12,0.57,,,,,,
,,2002 - 2003,3,2,0.67,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,,2005 - 2006,1,1,1,,,,,,
,,2007 - 2008,4,3,0.75,,,,,,
,,2022 - 2023,20,18,0.9,,,,,,
,12. Jehanabad,2000 - 2001,20,12,0.6,,,,,,
,,2001 - 2002,26,15,0.58,,,,,,
,,2002 - 2003,33,21,0.64,,,,,,
,,2003 - 2004,23,16,0.7,,,,,,
,,2004 - 2005,28,18,0.64,,,,,,
,,2005 - 2006,23,19,0.83,,,,,,
,,2007 - 2008,19,14,0.74,,,,,,
,,2016 - 2017,23,22,0.96,,,,,,
,,2017 - 2018,21,19,0.9,,,,,,
,,2018 - 2019,21,20,0.95,,,,,,
,,2019 - 2020,22,21,0.95,,,,,,
,,2020 - 2021,22,21,0.95,,,,,,
,,2021 - 2022,22,21,0.95,,,,,,
,,2022 - 2023,18,17,0.94,,,,,,
,13. Kaimur (bhabua),2000 - 2001,91,53,0.58,,,,,,
,,2001 - 2002,146,85,0.58,,,,,,
