State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2009 - 2010,,,,,,,1,1,1,,,
,,2010 - 2011,,,,,,,5,3,0.6,,,
,8. Dhemaji,2000 - 2001,,,,,,,23,15,0.65,,,
,,2001 - 2002,,,,,,,13,8,0.62,,,
,,2002 - 2003,,,,,,,10,6,0.6,,,
,,2003 - 2004,,,,,,,7,4,0.57,,,
,,2004 - 2005,,,,,,,7,4,0.57,,,
,,2005 - 2006,,,,,,,13,8,0.62,,,
,,2006 - 2007,,,,,,,13,8,0.62,,,
,,2007 - 2008,,,,,,,7,4,0.57,,,
,,2008 - 2009,,,,,,,8,5,0.63,,,
,,2009 - 2010,,,,,,,7,4,0.57,,,
,,2010 - 2011,,,,,,,7,4,0.57,,,
,,2011 - 2012,,,,,,,7,4,0.57,,,
,,2012 - 2013,,,,,,,6,3,0.5,,,
,,2013 - 2014,,,,,,,6,3,0.5,,,
,,2014 - 2015,,,,,,,3,2,0.67,,,
,,2015 - 2016,,,,,,,3,2,0.67,,,
,,2016 - 2017,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,1,1,,,
,9. Dhubri,2000 - 2001,,,,,,,11,9,0.82,,,
,,2001 - 2002,,,,,,,6,5,0.83,,,
,,2002 - 2003,,,,,,,6,5,0.83,,,
,,2003 - 2004,,,,,,,7,6,0.86,,,
,,2004 - 2005,,,,,,,4,4,1,,,
,,2005 - 2006,,,,,,,5,4,0.8,,,
,,2006 - 2007,,,,,,,6,5,0.83,,,
,,2007 - 2008,,,,,,,6,5,0.83,,,
,,2008 - 2009,,,,,,,5,4,0.8,,,
,,2009 - 2010,,,,,,,3,3,1,,,
,10. Dibrugarh,2000 - 2001,,,,,,,4,2,0.5,,,
,,2001 - 2002,,,,,,,4,2,0.5,,,
,,2002 - 2003,,,,,,,4,2,0.5,,,
,,2003 - 2004,,,,,,,4,2,0.5,,,
,,2004 - 2005,,,,,,,4,2,0.5,,,
,,2005 - 2006,,,,,,,3,2,0.67,,,
,11. Dima hasao,2000 - 2001,,,,,,,27,21,0.78,,,
,,2001 - 2002,,,,,,,29,23,0.79,,,
,,2002 - 2003,,,,,,,29,23,0.79,,,
,,2003 - 2004,,,,,,,29,23,0.79,,,
,,2004 - 2005,,,,,,,29,23,0.79,,,
,,2005 - 2006,,,,,,,29,23,0.79,,,
,,2006 - 2007,,,,,,,29,23,0.79,,,
,,2007 - 2008,,,,,,,29,23,0.79,,,
,,2008 - 2009,,,,,,,27,21,0.78,,,
,,2009 - 2010,,,,,,,34,27,0.79,,,
,,2010 - 2011,,,,,,,28,21,0.75,,,
,,2011 - 2012,,,,,,,28,22,0.79,,,
,,2012 - 2013,,,,,,,21,16,0.76,,,
,,2013 - 2014,,,,,,,19,15,0.79,,,
,,2014 - 2015,,,,,,,14,11,0.79,,,
,,2015 - 2016,,,,,,,18,14,0.78,,,
,,2016 - 2017,,,,,,,17,13,0.76,,,
,,2017 - 2018,,,,,,,17,1,0.06,,,
,,2018 - 2019,,,,,,,17,7,0.41,,,
,,2019 - 2020,,,,,,,12,5,0.42,,,
,,2020 - 2021,,,,,,,12,5,0.42,,,
,,2021 - 2022,,,,,,,12,5,0.42,,,
,,2022 - 2023,,,,,,,12,5,0.42,,,
,12. Goalpara,2000 - 2001,,,,,,,60,28,0.47,,,
,,2001 - 2002,,,,,,,60,28,0.47,,,
,,2002 - 2003,,,,,,,55,26,0.47,,,
,,2003 - 2004,,,,,,,32,15,0.47,,,
,,2004 - 2005,,,,,,,31,15,0.48,,,
,,2005 - 2006,,,,,,,24,11,0.46,,,
,,2006 - 2007,,,,,,,24,11,0.46,,,
,,2007 - 2008,,,,,,,20,9,0.45,,,
,,2008 - 2009,,,,,,,20,11,0.55,,,
,,2009 - 2010,,,,,,,15,7,0.47,,,
,,2010 - 2011,,,,,,,12,6,0.5,,,
,,2011 - 2012,,,,,,,5,2,0.4,,,
,,2012 - 2013,,,,,,,4,2,0.5,,,
,,2013 - 2014,,,,,,,9,4,0.44,,,
,,2014 - 2015,,,,,,,5,2,0.4,,,
,,2015 - 2016,,,,,,,5,2,0.4,,,
,,2016 - 2017,,,,,,,15,7,0.47,,,
,13. Golaghat,2000 - 2001,,,,,,,18,13,0.72,,,
,,2001 - 2002,,,,,,,19,13,0.68,,,
,,2002 - 2003,,,,,,,19,13,0.68,,,
,,2003 - 2004,,,,,,,20,14,0.7,,,
,,2004 - 2005,,,,,,,17,11,0.65,,,
,,2005 - 2006,,,,,,,16,11,0.69,,,
,,2006 - 2007,,,,,,,17,12,0.71,,,
,,2007 - 2008,,,,,,,16,11,0.69,,,
,,2008 - 2009,,,,,,,14,9,0.64,,,
,,2009 - 2010,,,,,,,16,11,0.69,,,
,,2010 - 2011,,,,,,,10,7,0.7,,,
,,2011 - 2012,,,,,,,10,6,0.6,,,
,,2012 - 2013,,,,,,,10,8,0.8,,,
,,2013 - 2014,,,,,,,6,5,0.83,,,
,,2014 - 2015,,,,,,,2,2,1,,,
,,2015 - 2016,,,,,,,6,4,0.67,,,
,14. Hailakandi,2000 - 2001,,,,,,,1,1,1,,,
,,2001 - 2002,,,,,,,1,1,1,,,
,,2002 - 2003,,,,,,,1,1,1,,,
,,2003 - 2004,,,,,,,1,1,1,,,
,,2004 - 2005,,,,,,,1,1,1,,,
,,2005 - 2006,,,,,,,1,,0,,,
,,2006 - 2007,,,,,,,1,1,1,,,
,,2008 - 2009,,,,,,,1,1,1,,,
,,2009 - 2010,,,,,,,1,1,1,,,
,,2010 - 2011,,,,,,,1,1,1,,,
,,2011 - 2012,,,,,,,1,1,1,,,
,,2012 - 2013,,,,,,,1,1,1,,,
,,2013 - 2014,,,,,,,1,1,1,,,
,,2014 - 2015,,,,,,,1,1,1,,,
,15. Jorhat,2000 - 2001,,,,,,,13,8,0.62,,,
,,2001 - 2002,,,,,,,12,7,0.58,,,
,,2002 - 2003,,,,,,,8,4,0.5,,,
,,2003 - 2004,,,,,,,9,5,0.56,,,
,,2004 - 2005,,,,,,,7,4,0.57,,,
,,2005 - 2006,,,,,,,10,6,0.6,,,
,,2006 - 2007,,,,,,,8,5,0.63,,,
,,2007 - 2008,,,,,,,7,5,0.71,,,
,,2008 - 2009,,,,,,,8,5,0.63,,,
,,2009 - 2010,,,,,,,8,5,0.63,,,
,,2010 - 2011,,,,,,,7,4,0.57,,,
,,2011 - 2012,,,,,,,6,3,0.5,,,
,,2012 - 2013,,,,,,,3,2,0.67,,,
,,2013 - 2014,,,,,,,4,2,0.5,,,
,,2014 - 2015,,,,,,,3,2,0.67,,,
,,2015 - 2016,,,,,,,1,1,1,,,
,,2016 - 2017,,,,,,,1,1,1,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,,2019 - 2020,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,1,1,,,
,,2022 - 2023,,,,,,,1,1,1,,,
,16. Kamrup,2000 - 2001,,,,,,,279,100,0.36,,,
,,2001 - 2002,,,,,,,258,95,0.37,,,
,,2002 - 2003,,,,,,,238,87,0.37,,,
,,2003 - 2004,,,,,,,200,69,0.35,,,
,,2004 - 2005,,,,,,,40,14,0.35,,,
,,2005 - 2006,,,,,,,11,4,0.36,,,
,,2006 - 2007,,,,,,,3,1,0.33,,,
,,2007 - 2008,,,,,,,2,1,0.5,,,
,,2008 - 2009,,,,,,,1,1,1,,,
,,2009 - 2010,,,,,,,1,1,1,,,
,,2010 - 2011,,,,,,,1,1,1,,,
,,2011 - 2012,,,,,,,2,1,0.5,,,
,,2012 - 2013,,,,,,,4,2,0.5,,,
,,2013 - 2014,,,,,,,4,2,0.5,,,
,,2014 - 2015,,,,,,,1,1,1,,,
,,2015 - 2016,,,,,,,1,1,1,,,
,17. Kamrup metro,2005 - 2006,,,,,,,1,,0,,,
,,2006 - 2007,,,,,,,1,1,1,,,
,,2007 - 2008,,,,,,,2,1,0.5,,,
,,2008 - 2009,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,2,1,0.5,,,
,,2010 - 2011,,,,,,,3,1,0.33,,,
,,2011 - 2012,,,,,,,1,1,1,,,
,,2012 - 2013,,,,,,,1,1,1,,,
,,2013 - 2014,,,,,,,1,1,1,,,
,18. Karbi anglong,2000 - 2001,,,,,,,97,39,0.4,,,
,,2001 - 2002,,,,,,,96,39,0.41,,,
,,2002 - 2003,,,,,,,94,38,0.4,,,
,,2003 - 2004,,,,,,,71,28,0.39,,,
,,2004 - 2005,,,,,,,93,37,0.4,,,
,,2005 - 2006,,,,,,,93,37,0.4,,,
,,2006 - 2007,,,,,,,92,36,0.39,,,
,,2007 - 2008,,,,,,,92,36,0.39,,,
,,2008 - 2009,,,,,,,89,38,0.43,,,
,,2009 - 2010,,,,,,,88,36,0.41,,,
,,2010 - 2011,,,,,,,65,26,0.4,,,
,,2011 - 2012,,,,,,,61,26,0.43,,,
,,2012 - 2013,,,,,,,59,24,0.41,,,
,,2013 - 2014,,,,,,,57,23,0.4,,,
,,2014 - 2015,,,,,,,63,26,0.41,,,
,,2015 - 2016,,,,,,,66,30,0.45,,,
,,2016 - 2017,,,,,,,62,26,0.42,,,
,,2017 - 2018,,,,,,,29,13,0.45,,,
,,2018 - 2019,,,,,,,27,15,0.56,,,
,,2019 - 2020,,,,,,,26,16,0.62,,,
,,2020 - 2021,,,,,,,24,13,0.54,,,
,,2021 - 2022,,,,,,,20,19,0.95,,,
,,2022 - 2023,,,,,,,24,23,0.96,,,
,19. Karimganj,2000 - 2001,,,,,,,4,2,0.5,,,
,,2001 - 2002,,,,,,,5,3,0.6,,,
,,2002 - 2003,,,,,,,4,2,0.5,,,
,,2003 - 2004,,,,,,,4,2,0.5,,,
,,2004 - 2005,,,,,,,5,3,0.6,,,
,,2005 - 2006,,,,,,,4,2,0.5,,,
,,2006 - 2007,,,,,,,4,2,0.5,,,
,,2007 - 2008,,,,,,,7,4,0.57,,,
,,2008 - 2009,,,,,,,7,4,0.57,,,
,,2009 - 2010,,,,,,,6,3,0.5,,,
,,2010 - 2011,,,,,,,6,3,0.5,,,
,,2011 - 2012,,,,,,,7,3,0.43,,,
,,2012 - 2013,,,,,,,7,4,0.57,,,
,,2013 - 2014,,,,,,,7,4,0.57,,,
,,2014 - 2015,,,,,,,8,4,0.5,,,
,,2015 - 2016,,,,,,,8,5,0.63,,,
,,2016 - 2017,,,,,,,7,4,0.57,,,
,,2017 - 2018,,,,,,,5,2,0.4,,,
,,2018 - 2019,,,,,,,5,3,0.6,,,
,,2019 - 2020,,,,,,,5,3,0.6,,,
,,2020 - 2021,,,,,,,3,1,0.33,,,
,20. Kokrajhar,2000 - 2001,,,,,,,108,53,0.49,,,
,,2001 - 2002,,,,,,,96,49,0.51,,,
,,2002 - 2003,,,,,,,98,50,0.51,,,
,,2003 - 2004,,,,,,,93,48,0.52,,,
,,2004 - 2005,,,,,,,94,48,0.51,,,
,,2005 - 2006,,,,,,,80,40,0.5,,,
,,2006 - 2007,,,,,,,72,36,0.5,,,
,,2007 - 2008,,,,,,,77,38,0.49,,,
,,2008 - 2009,,,,,,,81,41,0.51,,,
,,2009 - 2010,,,,,,,104,53,0.51,,,
,,2010 - 2011,,,,,,,117,57,0.49,,,
,,2011 - 2012,,,,,,,46,23,0.5,,,
,,2012 - 2013,,,,,,,20,9,0.45,,,
,,2013 - 2014,,,,,,,17,9,0.53,,,
,,2014 - 2015,,,,,,,16,8,0.5,,,
,,2015 - 2016,,,,,,,15,7,0.47,,,
,,2016 - 2017,,,,,,,16,7,0.44,,,
,,2017 - 2018,,,,,,,15,7,0.47,,,
,,2018 - 2019,,,,,,,15,7,0.47,,,
,,2019 - 2020,,,,,,,13,6,0.46,,,
,,2020 - 2021,,,,,,,10,5,0.5,,,
,,2021 - 2022,,,,,,,5,3,0.6,,,
,,2022 - 2023,,,,,,,4,3,0.75,,,
,21. Lakhimpur,2000 - 2001,,,,,,,193,121,0.63,,,
,,2001 - 2002,,,,,,,167,104,0.62,,,
,,2002 - 2003,,,,,,,150,93,0.62,,,
,,2003 - 2004,,,,,,,124,76,0.61,,,
,,2004 - 2005,,,,,,,117,71,0.61,,,
,,2005 - 2006,,,,,,,102,62,0.61,,,
,,2006 - 2007,,,,,,,101,62,0.61,,,
,,2007 - 2008,,,,,,,22,13,0.59,,,
,,2008 - 2009,,,,,,,20,12,0.6,,,
,,2009 - 2010,,,,,,,11,7,0.64,,,
,,2010 - 2011,,,,,,,8,5,0.63,,,
,,2011 - 2012,,,,,,,10,6,0.6,,,
,,2012 - 2013,,,,,,,5,3,0.6,,,
,,2013 - 2014,,,,,,,5,3,0.6,,,
,,2014 - 2015,,,,,,,6,4,0.67,,,
,,2015 - 2016,,,,,,,5,3,0.6,,,
,,2016 - 2017,,,,,,,5,3,0.6,,,
,,2017 - 2018,,,,,,,2,2,1,,,
,,2018 - 2019,,,,,,,5,3,0.6,,,
,,2019 - 2020,,,,,,,3,2,0.67,,,
,,2020 - 2021,,,,,,,3,2,0.67,,,
,,2021 - 2022,,,,,,,3,2,0.67,,,
,,2022 - 2023,,,,,,,3,1,0.33,,,
,22. Majuli,2020 - 2021,,,,,,,2,1,0.5,,,
,,2021 - 2022,,,,,,,2,1,0.5,,,
,,2022 - 2023,,,,,,,2,1,0.5,,,
,23. Marigaon,2000 - 2001,,,,,,,20,2,0.1,,,
,,2001 - 2002,,,,,,,10,1,0.1,,,
,,2002 - 2003,,,,,,,12,2,0.17,,,
,,2003 - 2004,,,,,,,12,1,0.08,,,
,,2004 - 2005,,,,,,,14,2,0.14,,,
,,2005 - 2006,,,,,,,20,3,0.15,,,
,,2006 - 2007,,,,,,,12,2,0.17,,,
,,2007 - 2008,,,,,,,9,1,0.11,,,
,,2008 - 2009,,,,,,,6,1,0.17,,,
,,2009 - 2010,,,,,,,9,1,0.11,,,
,,2010 - 2011,,,,,,,11,1,0.09,,,
,,2011 - 2012,,,,,,,3,1,0.33,,,
,,2012 - 2013,,,,,,,4,1,0.25,,,
,,2013 - 2014,,,,,,,2,1,0.5,,,
,,2014 - 2015,,,,,,,2,1,0.5,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,,2018 - 2019,,,,,,,2,1,0.5,,,
,24. Nagaon,2000 - 2001,,,,,,,47,22,0.47,,,
,,2001 - 2002,,,,,,,48,23,0.48,,,
,,2002 - 2003,,,,,,,46,22,0.48,,,
,,2003 - 2004,,,,,,,43,21,0.49,,,
,,2004 - 2005,,,,,,,34,16,0.47,,,
,,2005 - 2006,,,,,,,24,10,0.42,,,
,,2006 - 2007,,,,,,,18,8,0.44,,,
,,2007 - 2008,,,,,,,21,9,0.43,,,
,,2008 - 2009,,,,,,,8,5,0.63,,,
,,2009 - 2010,,,,,,,19,9,0.47,,,
,,2010 - 2011,,,,,,,6,4,0.67,,,
,,2011 - 2012,,,,,,,11,6,0.55,,,
,,2012 - 2013,,,,,,,8,4,0.5,,,
,,2013 - 2014,,,,,,,6,2,0.33,,,
,,2014 - 2015,,,,,,,6,3,0.5,,,
,,2015 - 2016,,,,,,,5,,0,,,
,,2017 - 2018,,,,,,,3,1,0.33,,,
,25. Nalbari,2000 - 2001,,,,,,,145,58,0.4,,,
,,2001 - 2002,,,,,,,140,56,0.4,,,
,,2002 - 2003,,,,,,,130,52,0.4,,,
,,2003 - 2004,,,,,,,12,5,0.42,,,
,,2004 - 2005,,,,,,,12,5,0.42,,,
,,2005 - 2006,,,,,,,6,2,0.33,,,
,,2006 - 2007,,,,,,,3,1,0.33,,,
,,2007 - 2008,,,,,,,1,1,1,,,
,,2008 - 2009,,,,,,,1,1,1,,,
,,2009 - 2010,,,,,,,1,1,1,,,
,,2010 - 2011,,,,,,,1,1,1,,,
,,2011 - 2012,,,,,,,1,1,1,,,
,,2012 - 2013,,,,,,,2,1,0.5,,,
,,2013 - 2014,,,,,,,1,1,1,,,
,,2014 - 2015,,,,,,,1,1,1,,,
,,2015 - 2016,,,,,,,1,1,1,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,26. Sivasagar,2000 - 2001,,,,,,,12,6,0.5,,,
,,2001 - 2002,,,,,,,12,6,0.5,,,
,,2002 - 2003,,,,,,,12,6,0.5,,,
,,2003 - 2004,,,,,,,10,5,0.5,,,
,,2004 - 2005,,,,,,,8,4,0.5,,,
,,2005 - 2006,,,,,,,3,2,0.67,,,
,,2006 - 2007,,,,,,,3,2,0.67,,,
,,2007 - 2008,,,,,,,5,3,0.6,,,
,,2008 - 2009,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,2,1,0.5,,,
,,2010 - 2011,,,,,,,1,1,1,,,
,27. Sonitpur,2000 - 2001,,,,,,,90,48,0.53,,,
,,2001 - 2002,,,,,,,87,46,0.53,,,
,,2002 - 2003,,,,,,,87,46,0.53,,,
,,2003 - 2004,,,,,,,45,28,0.62,,,
,,2004 - 2005,,,,,,,85,54,0.64,,,
,,2005 - 2006,,,,,,,69,43,0.62,,,
,,2006 - 2007,,,,,,,54,29,0.54,,,
,,2007 - 2008,,,,,,,74,45,0.61,,,
,,2008 - 2009,,,,,,,8,6,0.75,,,
,,2009 - 2010,,,,,,,6,4,0.67,,,
,,2010 - 2011,,,,,,,5,3,0.6,,,
,,2011 - 2012,,,,,,,16,12,0.75,,,
,,2012 - 2013,,,,,,,15,10,0.67,,,
,,2013 - 2014,,,,,,,9,7,0.78,,,
,,2014 - 2015,,,,,,,12,8,0.67,,,
,,2015 - 2016,,,,,,,12,8,0.67,,,
,,2016 - 2017,,,,,,,6,4,0.67,,,
,,2017 - 2018,,,,,,,6,4,0.67,,,
,,2019 - 2020,,,,,,,3,1,0.33,,,
,28. Tinsukia,2000 - 2001,,,,,,,1,1,1,,,
,,2001 - 2002,,,,,,,1,1,1,,,
,,2002 - 2003,,,,,,,2,1,0.5,,,
,,2003 - 2004,,,,,,,2,1,0.5,,,
,,2004 - 2005,,,,,,,2,1,0.5,,,
,,2005 - 2006,,,,,,,40,24,0.6,,,
,,2006 - 2007,,,,,,,2,1,0.5,,,
,,2007 - 2008,,,,,,,2,1,0.5,,,
,,2008 - 2009,,,,,,,1,1,1,,,
,,2009 - 2010,,,,,,,2,1,0.5,,,
,,2010 - 2011,,,,,,,2,1,0.5,,,
,,2011 - 2012,,,,,,,1,1,1,,,
,,2014 - 2015,,,,,,,1,1,1,,,
,29. Udalguri,2005 - 2006,,,,,,,2,1,0.5,,,
,,2006 - 2007,,,,,,,1,1,1,,,
,,2007 - 2008,,,,,,,2,1,0.5,,,
,,2009 - 2010,,,,,,,5,3,0.6,,,
,,2010 - 2011,,,,,,,2,1,0.5,,,
,,2011 - 2012,,,,,,,1,1,1,,,
,30. West karbi anglong,2020 - 2021,,,,,,,3,2,0.67,,,
,,2021 - 2022,,,,,,,3,3,1,,,
3. Bihar,1. Araria,2004 - 2005,,,,,,,4,5,1.25,,,
,,2013 - 2014,,,,,,,38,72,1.89,,,
,2. Begusarai,2000 - 2001,,,,,,,15,17,1.13,,,
,,2001 - 2002,,,,,,,5,7,1.4,,,
,,2002 - 2003,,,,,,,5,6,1.2,,,
,,2004 - 2005,,,,,,,2,2,1,,,
,,2005 - 2006,,,,,,,3,3,1,,,
,,2009 - 2010,,,,,,,1,2,2,,,
,,2010 - 2011,,,,,,,6,11,1.83,,,
,,2011 - 2012,,,,,,,6,11,1.83,,,
,,2013 - 2014,,,,,,,6,11,1.83,,,
,,2014 - 2015,,,,,,,6,11,1.83,,,
,,2015 - 2016,,,,,,,7,12,1.71,,,
,,2016 - 2017,,,,,,,7,12,1.71,,,
,,2022 - 2023,,,,,,,17,30,1.76,,,
,3. Bhagalpur,2000 - 2001,,,,,,,24,28,1.17,,,
,,2001 - 2002,,,,,,,25,28,1.12,,,
,,2002 - 2003,,,,,,,8,9,1.13,,,
,,2003 - 2004,,,,,,,17,19,1.12,,,
,,2004 - 2005,,,,,,,14,16,1.14,,,
,,2005 - 2006,,,,,,,28,32,1.14,,,
,,2007 - 2008,,,,,,,14,24,1.71,,,
,,2009 - 2010,,,,,,,11,21,1.91,,,
,,2010 - 2011,,,,,,,12,21,1.75,,,
,,2011 - 2012,,,,,,,10,19,1.9,,,
,,2012 - 2013,,,,,,,23,43,1.87,,,
,,2013 - 2014,,,,,,,25,48,1.92,,,
,,2014 - 2015,,,,,,,26,46,1.77,,,
,,2015 - 2016,,,,,,,27,47,1.74,,,
,,2016 - 2017,,,,,,,26,46,1.77,,,
,,2017 - 2018,,,,,,,21,37,1.76,,,
,,2018 - 2019,,,,,,,20,35,1.75,,,
,,2019 - 2020,,,,,,,21,37,1.76,,,
,,2020 - 2021,,,,,,,8,14,1.75,,,
,,2021 - 2022,,,,,,,8,14,1.75,,,
,,2022 - 2023,,,,,,,8,14,1.75,,,
,4. Darbhanga,2000 - 2001,,,,,,,21,24,1.14,,,
,,2001 - 2002,,,,,,,23,25,1.09,,,
,,2002 - 2003,,,,,,,19,21,1.11,,,
,,2003 - 2004,,,,,,,3,3,1,,,
,,2004 - 2005,,,,,,,3,3,1,,,
,,2022 - 2023,,,,,,,13,23,1.77,,,
,5. Gopalganj,2000 - 2001,,,,,,,277,322,1.16,,,
,,2001 - 2002,,,,,,,442,487,1.1,,,
,,2002 - 2003,,,,,,,407,457,1.12,,,
,,2003 - 2004,,,,,,,474,527,1.11,,,
,,2004 - 2005,,,,,,,482,560,1.16,,,
,,2005 - 2006,,,,,,,597,691,1.16,,,
,,2007 - 2008,,,,,,,132,222,1.68,,,
,,2009 - 2010,,,,,,,140,261,1.86,,,
,,2010 - 2011,,,,,,,256,456,1.78,,,
,,2011 - 2012,,,,,,,298,562,1.89,,,
,,2012 - 2013,,,,,,,268,507,1.89,,,
,,2013 - 2014,,,,,,,270,513,1.9,,,
,,2014 - 2015,,,,,,,249,436,1.75,,,
,,2015 - 2016,,,,,,,251,445,1.77,,,
,,2016 - 2017,,,,,,,130,228,1.75,,,
,,2017 - 2018,,,,,,,196,345,1.76,,,
,,2018 - 2019,,,,,,,140,247,1.76,,,
,,2019 - 2020,,,,,,,211,371,1.76,,,
,,2020 - 2021,,,,,,,190,334,1.76,,,
,,2021 - 2022,,,,,,,180,317,1.76,,,
,,2022 - 2023,,,,,,,184,323,1.76,,,
,6. Jamui,2001 - 2002,,,,,,,4,5,1.25,,,
,7. Jehanabad,2000 - 2001,,,,,,,4,5,1.25,,,
,,2001 - 2002,,,,,,,4,8,2,,,
,8. Kaimur (bhabua),2000 - 2001,,,,,,,16,19,1.19,,,
,9. Katihar,2000 - 2001,,,,,,,165,192,1.16,,,
,,2001 - 2002,,,,,,,120,139,1.16,,,
,,2002 - 2003,,,,,,,154,173,1.12,,,
,,2003 - 2004,,,,,,,43,48,1.12,,,
,,2004 - 2005,,,,,,,159,185,1.16,,,
,,2005 - 2006,,,,,,,96,111,1.16,,,
,,2007 - 2008,,,,,,,20,24,1.2,,,
,,2009 - 2010,,,,,,,21,39,1.86,,,
,,2010 - 2011,,,,,,,43,77,1.79,,,
,,2011 - 2012,,,,,,,20,38,1.9,,,
,,2012 - 2013,,,,,,,38,72,1.89,,,
,,2014 - 2015,,,,,,,51,90,1.76,,,
,,2015 - 2016,,,,,,,49,85,1.73,,,
,,2016 - 2017,,,,,,,12,21,1.75,,,
,,2017 - 2018,,,,,,,113,198,1.75,,,
,10. Khagaria,2011 - 2012,,,,,,,1,2,2,,,
,,2012 - 2013,,,,,,,1,2,2,,,
,,2013 - 2014,,,,,,,1,2,2,,,
,,2014 - 2015,,,,,,,1,2,2,,,
,,2020 - 2021,,,,,,,1,2,2,,,
,11. Kishanganj,2000 - 2001,,,,,,,189,220,1.16,,,
,,2002 - 2003,,,,,,,344,387,1.13,,,
,,2003 - 2004,,,,,,,343,381,1.11,,,
,,2004 - 2005,,,,,,,331,384,1.16,,,
,,2005 - 2006,,,,,,,170,197,1.16,,,
,,2007 - 2008,,,,,,,88,148,1.68,,,
,,2009 - 2010,,,,,,,71,133,1.87,,,
,,2010 - 2011,,,,,,,72,128,1.78,,,
,,2011 - 2012,,,,,,,69,130,1.88,,,
,,2012 - 2013,,,,,,,68,129,1.9,,,
,,2013 - 2014,,,,,,,66,125,1.89,,,
,,2014 - 2015,,,,,,,68,120,1.76,,,
,,2015 - 2016,,,,,,,70,122,1.74,,,
,,2016 - 2017,,,,,,,70,123,1.76,,,
,,2017 - 2018,,,,,,,71,125,1.76,,,
,,2018 - 2019,,,,,,,72,126,1.75,,,
,,2019 - 2020,,,,,,,71,125,1.76,,,
,,2020 - 2021,,,,,,,74,130,1.76,,,
,12. Madhepura,2007 - 2008,,,,,,,4,7,1.75,,,
,13. Madhubani,2000 - 2001,,,,,,,14,16,1.14,,,
,,2001 - 2002,,,,,,,13,14,1.08,,,
,,2003 - 2004,,,,,,,58,64,1.1,,,
,,2004 - 2005,,,,,,,6,7,1.17,,,
,,2005 - 2006,,,,,,,4,5,1.25,,,
,14. Munger,2013 - 2014,,,,,,,5,10,2,,,
,,2014 - 2015,,,,,,,5,9,1.8,,,
,,2015 - 2016,,,,,,,5,9,1.8,,,
,15. Muzaffarpur,2000 - 2001,,,,,,,534,621,1.16,,,
,,2001 - 2002,,,,,,,444,489,1.1,,,
,,2002 - 2003,,,,,,,402,452,1.12,,,
,,2003 - 2004,,,,,,,921,"1,024.00",1.11,,,
,,2004 - 2005,,,,,,,"1,051.00","1,220.00",1.16,,,
,,2005 - 2006,,,,,,,524,604,1.15,,,
,,2007 - 2008,,,,,,,"1,210.00","2,766.00",2.29,,,
,,2009 - 2010,,,,,,,435,812,1.87,,,
,,2010 - 2011,,,,,,,837,"1,492.00",1.78,,,
,,2011 - 2012,,,,,,,831,"1,566.00",1.88,,,
,,2012 - 2013,,,,,,,848,"1,603.00",1.89,,,
,,2013 - 2014,,,,,,,797,"1,515.00",1.9,,,
,,2014 - 2015,,,,,,,462,815,1.76,,,
,,2015 - 2016,,,,,,,434,753,1.74,,,
,,2016 - 2017,,,,,,,323,569,1.76,,,
,,2017 - 2018,,,,,,,331,582,1.76,,,
,,2018 - 2019,,,,,,,316,553,1.75,,,
,,2019 - 2020,,,,,,,329,578,1.76,,,
,,2020 - 2021,,,,,,,332,583,1.76,,,
,,2021 - 2022,,,,,,,334,588,1.76,,,
,,2022 - 2023,,,,,,,344,605,1.76,,,
,16. Purbi champaran,2004 - 2005,,,,,,,6,7,1.17,,,
,,2005 - 2006,,,,,,,7,8,1.14,,,
,,2007 - 2008,,,,,,,6,14,2.33,,,
,17. Purnia,2000 - 2001,,,,,,,48,56,1.17,,,
,,2001 - 2002,,,,,,,10,12,1.2,,,
,,2003 - 2004,,,,,,,14,16,1.14,,,
,,2004 - 2005,,,,,,,35,41,1.17,,,
,,2005 - 2006,,,,,,,60,69,1.15,,,
,,2007 - 2008,,,,,,,51,86,1.69,,,
,,2010 - 2011,,,,,,,41,73,1.78,,,
,,2012 - 2013,,,,,,,51,96,1.88,,,
,18. Samastipur,2000 - 2001,,,,,,,"5,927.00","6,893.00",1.16,,,
,,2001 - 2002,,,,,,,"6,181.00","6,793.00",1.1,,,
,,2002 - 2003,,,,,,,"7,104.00","7,985.00",1.12,,,
,,2003 - 2004,,,,,,,"7,233.00","8,043.00",1.11,,,
,,2004 - 2005,,,,,,,"7,235.00","8,400.00",1.16,,,
,,2005 - 2006,,,,,,,"7,259.00","8,428.00",1.16,,,
,,2007 - 2008,,,,,,,"6,849.00","7,842.00",1.14,,,
