State,District,Year,Tobacco,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2013 - 2014,8,15,1.88,64,116,1.81,,,,,,
,,2014 - 2015,,,,47,141,3,,,,,,
,,2015 - 2016,,,,4,7,1.75,,,,,,
,6. East godavari,2000 - 2001,,,,,,,"5,654.00","9,185.00",1.62,,,
,,2001 - 2002,,,,,,,"9,071.00","14,429.00",1.59,,,
,,2002 - 2003,,,,,,,"4,577.00","12,632.00",2.76,,,
,,2003 - 2004,,,,,,,"6,672.00","20,151.00",3.02,,,
,,2004 - 2005,,,,,,,"4,881.00","6,777.00",1.39,,,
,,2005 - 2006,,,,,,,"7,970.00","14,449.00",1.81,,,
,,2006 - 2007,,,,,,,"7,116.00","13,194.00",1.85,,,
,,2007 - 2008,,,,,,,"7,000.00","7,000.00",1,,,
,,2008 - 2009,,,,,,,"8,227.00","32,814.00",3.99,,,
,,2009 - 2010,,,,,,,"8,990.00","18,802.00",2.09,,,
,,2010 - 2011,,,,,,,"4,804.00","11,761.00",2.45,,,
,,2011 - 2012,,,,,,,"4,538.00","12,728.00",2.8,,,
,,2012 - 2013,,,,,,,"5,000.00","15,000.00",3,,,
,,2013 - 2014,"1,070.00","2,805.00",2.62,"2,828.00","9,202.00",3.25,,,,,,
,,2014 - 2015,"1,007.00","4,578.00",4.55,"3,010.00","13,721.00",4.56,,,,,,
,,2015 - 2016,377,"1,606.00",4.26,"2,119.00","9,375.00",4.42,,,,,,
,,2016 - 2017,971,"2,201.00",2.27,"1,984.00","6,798.00",3.43,,,,,,
,,2017 - 2018,510,"1,579.00",3.1,"1,897.00","6,524.00",3.44,,,,,,
,,2018 - 2019,728,"1,771.00",2.43,"2,149.00","6,251.00",2.91,,,,,,
,,2019 - 2020,631,"1,737.00",2.75,"2,021.00","6,623.00",3.28,,,,,,
,,2020 - 2021,61,152,2.49,"1,430.00","4,014.00",2.81,,,,,,
,,2021 - 2022,118,332,2.81,"1,113.00","3,411.00",3.06,,,,,,
,,2022 - 2023,,,,"5,095.00","14,881.00",2.92,,,,,,
,7. Eluru,2022 - 2023,,,,"8,639.00","19,385.00",2.24,,,,,,
