State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2001 - 2002,,,,,,,279,"3,130.00",11.22,,,
,,2002 - 2003,,,,,,,226,"1,058.00",4.68,,,
,,2003 - 2004,,,,,,,434,"3,702.00",8.53,,,
,,2004 - 2005,,,,,,,246,"2,044.00",8.31,,,
,,2005 - 2006,,,,,,,"1,317.00","10,352.00",7.86,,,
,,2007 - 2008,,,,,,,374,"4,507.00",12.05,,,
,,2008 - 2009,,,,,,,374,"2,745.00",7.34,,,
,,2016 - 2017,,,,98,727,7.42,,,,,,
,,2017 - 2018,,,,93,"1,145.00",12.31,,,,,,
,,2018 - 2019,,,,3,19,6.33,,,,,,
,,2019 - 2020,,,,115,"1,222.00",10.63,,,,,,
,,2020 - 2021,,,,120,"1,274.00",10.62,,,,,,
,,2021 - 2022,,,,113,"1,708.00",15.12,,,,,,
,,2022 - 2023,,,,122,"1,869.00",15.32,,,,,,
,4. Banka,2000 - 2001,,,,,,,87,888,10.21,,,
,,2001 - 2002,,,,,,,124,"1,184.00",9.55,,,
,,2002 - 2003,,,,,,,13,112,8.62,,,
,,2003 - 2004,,,,,,,29,275,9.48,,,
,,2004 - 2005,,,,,,,15,113,7.53,,,
,,2005 - 2006,,,,,,,18,157,8.72,,,
,,2007 - 2008,,,,,,,36,324,9,,,
,,2008 - 2009,,,,,,,24,223,9.29,,,
,,2016 - 2017,,,,83,984,11.86,,,,,,
,,2017 - 2018,,,,86,"1,217.00",14.15,,,,,,
,,2018 - 2019,,,,29,381,13.14,,,,,,
,,2019 - 2020,,,,29,387,13.34,,,,,,
,,2020 - 2021,,,,36,538,14.94,,,,,,
,,2021 - 2022,,,,32,446,13.94,,,,,,
,,2022 - 2023,,,,27,395,14.63,,,,,,
,5. Begusarai,2000 - 2001,,,,,,,187,"2,102.00",11.24,,,
,,2001 - 2002,,,,,,,143,"1,594.00",11.15,,,
,,2002 - 2003,,,,,,,101,868,8.59,,,
,,2003 - 2004,,,,,,,161,"1,528.00",9.49,,,
,,2004 - 2005,,,,,,,164,956,5.83,,,
,,2005 - 2006,,,,,,,180,"1,571.00",8.73,,,
,,2007 - 2008,,,,,,,196,"1,676.00",8.55,,,
,,2016 - 2017,,,,39,434,11.13,,,,,,
,,2017 - 2018,,,,36,442,12.28,,,,,,
,,2019 - 2020,,,,28,167,5.96,,,,,,
,,2021 - 2022,,,,69,"1,034.00",14.99,,,,,,
,,2022 - 2023,,,,62,905,14.6,,,,,,
,6. Bhagalpur,2000 - 2001,,,,,,,229,"2,338.00",10.21,,,
,,2001 - 2002,,,,,,,203,"1,939.00",9.55,,,
,,2002 - 2003,,,,,,,163,"1,400.00",8.59,,,
,,2003 - 2004,,,,,,,189,"1,794.00",9.49,,,
,,2004 - 2005,,,,,,,127,959,7.55,,,
,,2005 - 2006,,,,,,,214,"1,868.00",8.73,,,
,,2007 - 2008,,,,,,,127,"1,142.00",8.99,,,
,,2008 - 2009,,,,,,,127,"1,182.00",9.31,,,
,,2016 - 2017,,,,244,"2,894.00",11.86,,,,,,
,,2017 - 2018,,,,247,"3,494.00",14.15,,,,,,
,,2018 - 2019,,,,249,"3,269.00",13.13,,,,,,
,,2019 - 2020,,,,251,"3,351.00",13.35,,,,,,
,,2020 - 2021,,,,149,"2,228.00",14.95,,,,,,
,,2021 - 2022,,,,133,"1,853.00",13.93,,,,,,
,,2022 - 2023,,,,133,"1,947.00",14.64,,,,,,
,7. Bhojpur,2000 - 2001,,,,,,,318,"3,387.00",10.65,,,
,,2001 - 2002,,,,,,,317,"2,663.00",8.4,,,
,,2002 - 2003,,,,,,,326,"2,621.00",8.04,,,
,,2003 - 2004,,,,,,,376,"3,042.00",8.09,,,
,,2004 - 2005,,,,,,,387,"2,825.00",7.3,,,
