State,District,Year,Onion,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,,,,,,,209,"1,848.00",8.84,,,
,,2003 - 2004,,,,,,,89,887,9.97,,,
,,2004 - 2005,,,,,,,176,"1,278.00",7.26,,,
,,2005 - 2006,,,,,,,47,295,6.28,,,
,,2006 - 2007,,,,,,,39,"1,774.00",45.49,,,
,,2007 - 2008,,,,,,,115,600,5.22,,,
,,2008 - 2009,,,,,,,123,774,6.29,,,
,,2009 - 2010,,,,,,,319,"1,907.00",5.98,,,
,,2010 - 2011,,,,,,,382,"2,143.00",5.61,,,
,,2011 - 2012,,,,,,,249,"1,468.00",5.9,,,
,,2012 - 2013,,,,,,,257,"1,024.00",3.98,,,
,,2013 - 2014,,,,,,,257,"2,063.00",8.03,,,
,,2014 - 2015,,,,,,,255,"2,799.00",10.98,,,
,,2015 - 2016,,,,,,,221,"1,503.00",6.8,,,
,,2016 - 2017,,,,,,,218,825,3.78,,,
,,2017 - 2018,,,,,,,123,969,7.88,,,
,,2018 - 2019,,,,,,,160,"1,160.00",7.25,,,
,,2019 - 2020,,,,,,,93,676,7.27,,,
,,2020 - 2021,,,,,,,58,343,5.91,,,
,,2021 - 2022,,,,,,,36,278,7.72,,,
,,2022 - 2023,,,,,,,17,163,9.59,,,
,8. Dantewada,2004 - 2005,,,,,,,4,34,8.5,,,
,,2013 - 2014,,,,,,,1,6,6,,,
,,2019 - 2020,,,,,,,1,,0,,,
,9. Dhamtari,2000 - 2001,,,,,,,148,"1,132.00",7.65,,,
,,2001 - 2002,,,,,,,169,"1,463.00",8.66,,,
,,2002 - 2003,,,,,,,83,648,7.81,,,
,,2003 - 2004,,,,,,,74,492,6.65,,,
,,2004 - 2005,,,,,,,162,924,5.7,,,
,,2005 - 2006,,,,,,,114,590,5.18,,,
,,2006 - 2007,,,,,,,111,478,4.31,,,
,,2007 - 2008,,,,,,,149,631,4.23,,,
,,2008 - 2009,,,,,,,92,527,5.73,,,
,,2009 - 2010,,,,,,,49,208,4.24,,,
,,2010 - 2011,,,,,,,53,303,5.72,,,
,,2011 - 2012,,,,,,,75,374,4.99,,,
,,2012 - 2013,,,,,,,91,307,3.37,,,
,,2013 - 2014,,,,,,,85,579,6.81,,,
,,2014 - 2015,,,,,,,92,829,9.01,,,
,,2015 - 2016,,,,,,,371,"2,138.00",5.76,,,
,,2016 - 2017,,,,,,,226,621,2.75,,,
,,2017 - 2018,,,,,,,26,173,6.65,,,
,,2018 - 2019,,,,,,,27,146,5.41,,,
,,2019 - 2020,,,,,,,9,51,5.67,,,
,,2020 - 2021,,,,,,,11,66,6,,,
,,2021 - 2022,,,,,,,4,31,7.75,,,
,,2022 - 2023,,,,,,,4,38,9.5,,,
,10. Durg,2000 - 2001,,,,,,,128,733,5.73,,,
,,2001 - 2002,,,,,,,169,990,5.86,,,
,,2002 - 2003,,,,,,,91,550,6.04,,,
,,2003 - 2004,,,,,,,244,"1,392.00",5.7,,,
,,2004 - 2005,,,,,,,148,695,4.7,,,
,,2005 - 2006,,,,,,,155,651,4.2,,,
,,2006 - 2007,,,,,,,159,598,3.76,,,
,,2007 - 2008,,,,,,,61,226,3.7,,,
,,2008 - 2009,,,,,,,74,331,4.47,,,
,,2009 - 2010,,,,,,,158,491,3.11,,,
,,2010 - 2011,,,,,,,165,685,4.15,,,
,,2011 - 2012,,,,,,,42,160,3.81,,,
,,2012 - 2013,,,,,,,36,87,2.42,,,
,,2013 - 2014,,,,,,,31,138,4.45,,,
,,2014 - 2015,,,,,,,32,246,7.69,,,
,,2015 - 2016,,,,,,,33,137,4.15,,,
,,2016 - 2017,,,,,,,95,136,1.43,,,
,,2017 - 2018,,,,,,,11,15,1.36,,,
,,2018 - 2019,,,,,,,14,56,4,,,
,,2019 - 2020,,,,,,,16,71,4.44,,,
,,2020 - 2021,,,,,,,27,106,3.93,,,
,,2021 - 2022,,,,,,,80,502,6.28,,,
,,2022 - 2023,,,,,,,3,20,6.67,,,
,11. Gariyaband,2011 - 2012,,,,,,,55,237,4.31,,,
,,2012 - 2013,,,,,,,56,175,3.13,,,
,,2013 - 2014,,,,,,,82,463,5.65,,,
,,2014 - 2015,,,,,,,79,682,8.63,,,
,,2015 - 2016,,,,,,,158,"1,017.00",6.44,,,
,,2016 - 2017,,,,,,,116,356,3.07,,,
,,2017 - 2018,,,,,,,84,435,5.18,,,
,,2018 - 2019,,,,,,,99,435,4.39,,,
,,2019 - 2020,,,,,,,90,408,4.53,,,
,,2020 - 2021,,,,,,,21,136,6.48,,,
,,2021 - 2022,,,,,,,7,50,7.14,,,
,,2022 - 2023,,,,,,,39,350,8.97,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,,,,,,,28,197,7.04,,,
,,2020 - 2021,,,,,,,33,196,5.94,,,
,,2021 - 2022,,,,,,,34,262,7.71,,,
,,2022 - 2023,,,,,,,12,115,9.58,,,
,13. Janjgir-champa,2000 - 2001,,,,,,,108,969,8.97,,,
,,2001 - 2002,,,,,,,80,813,10.16,,,
,,2002 - 2003,,,,,,,313,"3,013.00",9.63,,,
,,2003 - 2004,,,,,,,299,"2,638.00",8.82,,,
,,2004 - 2005,,,,,,,337,"2,366.00",7.02,,,
,,2005 - 2006,,,,,,,369,"2,353.00",6.38,,,
,,2006 - 2007,,,,,,,364,"1,928.00",5.3,,,
,,2007 - 2008,,,,,,,388,"2,020.00",5.21,,,
,,2008 - 2009,,,,,,,385,"2,220.00",5.77,,,
,,2009 - 2010,,,,,,,394,"2,147.00",5.45,,,
,,2010 - 2011,,,,,,,406,"2,277.00",5.61,,,
,,2011 - 2012,,,,,,,365,"2,300.00",6.3,,,
,,2012 - 2013,,,,,,,383,"1,526.00",3.98,,,
,,2013 - 2014,,,,,,,406,"3,260.00",8.03,,,
,,2014 - 2015,,,,,,,381,"3,373.00",8.85,,,
,,2015 - 2016,,,,,,,344,"2,338.00",6.8,,,
,,2016 - 2017,,,,,,,447,"1,410.00",3.15,,,
,,2017 - 2018,,,,,,,401,"3,161.00",7.88,,,
,,2018 - 2019,,,,,,,383,"2,238.00",5.84,,,
,,2019 - 2020,,,,,,,240,"1,246.00",5.19,,,
,,2020 - 2021,,,,,,,224,"1,334.00",5.96,,,
,,2021 - 2022,,,,,,,191,"1,472.00",7.71,,,
,,2022 - 2023,,,,,,,55,547,9.95,,,
,14. Jashpur,2000 - 2001,,,,,,,311,"3,410.00",10.96,,,
,,2001 - 2002,,,,,,,344,"4,269.00",12.41,,,
,,2002 - 2003,,,,,,,357,"4,059.00",11.37,,,
,,2003 - 2004,,,,,,,350,"3,431.00",9.8,,,
,,2004 - 2005,,,,,,,366,"3,088.00",8.44,,,
,,2005 - 2006,,,,,,,389,"3,082.00",7.92,,,
,,2006 - 2007,,,,,,,397,"2,399.00",6.04,,,
,,2007 - 2008,,,,,,,409,"2,429.00",5.94,,,
,,2008 - 2009,,,,,,,413,"3,070.00",7.43,,,
,,2009 - 2010,,,,,,,822,"4,969.00",6.05,,,
,,2010 - 2011,,,,,,,421,"3,463.00",8.23,,,
,,2011 - 2012,,,,,,,444,"2,986.00",6.73,,,
,,2012 - 2013,,,,,,,453,"2,205.00",4.87,,,
,,2013 - 2014,,,,,,,447,"4,459.00",9.98,,,
,,2014 - 2015,,,,,,,448,"5,815.00",12.98,,,
,,2015 - 2016,,,,,,,454,"3,771.00",8.31,,,
,,2016 - 2017,,,,,,,524,"2,042.00",3.9,,,
,,2017 - 2018,,,,,,,425,"4,162.00",9.79,,,
,,2018 - 2019,,,,,,,402,"3,185.00",7.92,,,
,,2019 - 2020,,,,,,,492,"3,783.00",7.69,,,
,,2020 - 2021,,,,,,,456,"3,374.00",7.4,,,
,,2021 - 2022,,,,,,,465,"4,453.00",9.58,,,
,,2022 - 2023,,,,,,,484,"5,783.00",11.95,,,
,15. Kabirdham,2000 - 2001,,,,,,,200,"1,088.00",5.44,,,
,,2001 - 2002,,,,,,,227,"1,670.00",7.36,,,
,,2002 - 2003,,,,,,,215,"1,221.00",5.68,,,
,,2003 - 2004,,,,,,,205,"1,137.00",5.55,,,
,,2004 - 2005,,,,,,,179,680,3.8,,,
,,2005 - 2006,,,,,,,212,732,3.45,,,
,,2006 - 2007,,,,,,,158,635,4.02,,,
,,2007 - 2008,,,,,,,168,663,3.95,,,
,,2008 - 2009,,,,,,,172,586,3.41,,,
,,2009 - 2010,,,,,,,185,503,2.72,,,
,,2010 - 2011,,,,,,,210,917,4.37,,,
,,2011 - 2012,,,,,,,291,928,3.19,,,
,,2012 - 2013,,,,,,,281,727,2.59,,,
,,2013 - 2014,,,,,,,227,"1,380.00",6.08,,,
,,2014 - 2015,,,,,,,308,"2,478.00",8.05,,,
,,2015 - 2016,,,,,,,313,"1,726.00",5.51,,,
,,2016 - 2017,,,,,,,96,234,2.44,,,
,,2017 - 2018,,,,,,,45,249,5.53,,,
,,2018 - 2019,,,,,,,168,754,4.49,,,
,,2019 - 2020,,,,,,,101,447,4.43,,,
,,2020 - 2021,,,,,,,99,479,4.84,,,
,,2021 - 2022,,,,,,,196,"1,225.00",6.25,,,
,,2022 - 2023,,,,,,,106,828,7.81,,,
,16. Kanker,2000 - 2001,,,,,,,83,650,7.83,,,
,,2001 - 2002,,,,,,,81,819,10.11,,,
,,2002 - 2003,,,,,,,102,549,5.38,,,
,,2003 - 2004,,,,,,,55,389,7.07,,,
,,2004 - 2005,,,,,,,72,446,6.19,,,
,,2005 - 2006,,,,,,,80,444,5.55,,,
,,2006 - 2007,,,,,,,68,314,4.62,,,
,,2007 - 2008,,,,,,,41,186,4.54,,,
,,2008 - 2009,,,,,,,41,225,5.49,,,
,,2009 - 2010,,,,,,,41,167,4.07,,,
,,2010 - 2011,,,,,,,86,468,5.44,,,
,,2011 - 2012,,,,,,,93,380,4.09,,,
,,2012 - 2013,,,,,,,90,182,2.02,,,
,,2013 - 2014,,,,,,,135,511,3.79,,,
,,2014 - 2015,,,,,,,133,789,5.93,,,
,,2015 - 2016,,,,,,,120,557,4.64,,,
,,2016 - 2017,,,,,,,126,284,2.25,,,
,,2017 - 2018,,,,,,,101,531,5.26,,,
,,2018 - 2019,,,,,,,77,329,4.27,,,
,,2019 - 2020,,,,,,,16,69,4.31,,,
,,2020 - 2021,,,,,,,6,25,4.17,,,
,,2021 - 2022,,,,,,,5,27,5.4,,,
,,2022 - 2023,,,,,,,5,33,6.6,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,,,,,,,38,255,6.71,,,
,18. Kondagaon,2011 - 2012,,,,,,,49,234,4.78,,,
,,2012 - 2013,,,,,,,73,235,3.22,,,
,,2013 - 2014,,,,,,,23,114,4.96,,,
,,2014 - 2015,,,,,,,43,351,8.16,,,
,,2015 - 2016,,,,,,,27,136,5.04,,,
,,2016 - 2017,,,,,,,47,101,2.15,,,
,,2017 - 2018,,,,,,,1,,0,,,
,,2018 - 2019,,,,,,,30,142,4.73,,,
,,2019 - 2020,,,,,,,50,225,4.5,,,
,,2020 - 2021,,,,,,,39,174,4.46,,,
,,2021 - 2022,,,,,,,15,87,5.8,,,
,,2022 - 2023,,,,,,,5,36,7.2,,,
,19. Korba,2000 - 2001,,,,,,,101,906,8.97,,,
,,2001 - 2002,,,,,,,109,"1,107.00",10.16,,,
,,2002 - 2003,,,,,,,101,968,9.58,,,
,,2003 - 2004,,,,,,,110,895,8.14,,,
,,2004 - 2005,,,,,,,119,696,5.85,,,
,,2005 - 2006,,,,,,,131,725,5.53,,,
,,2006 - 2007,,,,,,,139,737,5.3,,,
,,2007 - 2008,,,,,,,136,708,5.21,,,
,,2008 - 2009,,,,,,,118,618,5.24,,,
,,2009 - 2010,,,,,,,148,620,4.19,,,
,,2010 - 2011,,,,,,,156,875,5.61,,,
,,2011 - 2012,,,,,,,150,739,4.93,,,
,,2012 - 2013,,,,,,,157,521,3.32,,,
,,2013 - 2014,,,,,,,157,"1,051.00",6.69,,,
,,2014 - 2015,,,,,,,155,"1,372.00",8.85,,,
,,2015 - 2016,,,,,,,158,896,5.67,,,
,,2016 - 2017,,,,,,,149,480,3.22,,,
,,2017 - 2018,,,,,,,113,883,7.81,,,
,,2018 - 2019,,,,,,,124,707,5.7,,,
,,2019 - 2020,,,,,,,96,602,6.27,,,
,,2020 - 2021,,,,,,,80,477,5.96,,,
,,2021 - 2022,,,,,,,72,536,7.44,,,
,,2022 - 2023,,,,,,,37,344,9.3,,,
,20. Korea,2000 - 2001,,,,,,,92,634,6.89,,,
,,2001 - 2002,,,,,,,86,620,7.21,,,
,,2002 - 2003,,,,,,,80,610,7.63,,,
,,2003 - 2004,,,,,,,90,563,6.26,,,
,,2004 - 2005,,,,,,,91,468,5.14,,,
,,2005 - 2006,,,,,,,94,369,3.93,,,
,,2006 - 2007,,,,,,,105,401,3.82,,,
,,2007 - 2008,,,,,,,101,379,3.75,,,
,,2008 - 2009,,,,,,,116,535,4.61,,,
,,2009 - 2010,,,,,,,103,361,3.5,,,
,,2010 - 2011,,,,,,,116,434,3.74,,,
,,2011 - 2012,,,,,,,138,491,3.56,,,
,,2012 - 2013,,,,,,,122,322,2.64,,,
,,2013 - 2014,,,,,,,144,820,5.69,,,
,,2014 - 2015,,,,,,,152,"1,166.00",7.67,,,
,,2015 - 2016,,,,,,,149,659,4.42,,,
,,2016 - 2017,,,,,,,151,319,2.11,,,
,,2017 - 2018,,,,,,,150,840,5.6,,,
,,2018 - 2019,,,,,,,145,645,4.45,,,
,,2019 - 2020,,,,,,,161,563,3.5,,,
,,2022 - 2023,,,,,,,98,692,7.06,,,
,21. Mahasamund,2000 - 2001,,,,,,,203,"1,650.00",8.13,,,
,,2001 - 2002,,,,,,,253,"1,740.00",6.88,,,
,,2002 - 2003,,,,,,,247,"1,834.00",7.43,,,
,,2003 - 2004,,,,,,,261,"1,611.00",6.17,,,
,,2004 - 2005,,,,,,,216,"1,108.00",5.13,,,
,,2005 - 2006,,,,,,,230,"1,191.00",5.18,,,
,,2006 - 2007,,,,,,,219,958,4.37,,,
,,2007 - 2008,,,,,,,212,911,4.3,,,
,,2008 - 2009,,,,,,,188,880,4.68,,,
,,2009 - 2010,,,,,,,219,894,4.08,,,
,,2010 - 2011,,,,,,,8,42,5.25,,,
,,2011 - 2012,,,,,,,109,530,4.86,,,
,,2012 - 2013,,,,,,,243,799,3.29,,,
,,2013 - 2014,,,,,,,242,"1,578.00",6.52,,,
,,2014 - 2015,,,,,,,242,"2,087.00",8.62,,,
,,2015 - 2016,,,,,,,213,"1,176.00",5.52,,,
,,2016 - 2017,,,,,,,151,387,2.56,,,
,,2017 - 2018,,,,,,,168,"1,062.00",6.32,,,
,,2019 - 2020,,,,,,,110,496,4.51,,,
,,2020 - 2021,,,,,,,28,135,4.82,,,
,,2021 - 2022,,,,,,,38,237,6.24,,,
,,2022 - 2023,,,,,,,12,129,10.75,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,,,,,,,44,416,9.45,,,
,23. Mungeli,2011 - 2012,,,,,,,200,"1,186.00",5.93,,,
,,2012 - 2013,,,,,,,211,840,3.98,,,
,,2013 - 2014,,,,,,,205,"1,653.00",8.06,,,
,,2014 - 2015,,,,,,,193,"2,050.00",10.62,,,
,,2015 - 2016,,,,,,,206,"1,446.00",7.02,,,
,,2016 - 2017,,,,,,,207,727,3.51,,,
,,2017 - 2018,,,,,,,143,"1,447.00",10.12,,,
,,2018 - 2019,,,,,,,74,966,13.05,,,
,,2019 - 2020,,,,,,,54,342,6.33,,,
,,2020 - 2021,,,,,,,68,439,6.46,,,
,,2021 - 2022,,,,,,,68,568,8.35,,,
,24. Narayanpur,2006 - 2007,,,,,,,2,,0,,,
,,2007 - 2008,,,,,,,1,9,9,,,
,,2008 - 2009,,,,,,,1,6,6,,,
,,2009 - 2010,,,,,,,1,4,4,,,
,,2010 - 2011,,,,,,,8,40,5,,,
,,2017 - 2018,,,,,,,2,15,7.5,,,
,,2018 - 2019,,,,,,,3,29,9.67,,,
,,2019 - 2020,,,,,,,1,10,10,,,
,,2020 - 2021,,,,,,,1,1,1,,,
,,2021 - 2022,,,,,,,1,10,10,,,
,,2022 - 2023,,,,,,,1,10,10,,,
,25. Raigarh,2000 - 2001,,,,,,,368,"3,698.00",10.05,,,
,,2001 - 2002,,,,,,,421,"5,226.00",12.41,,,
,,2002 - 2003,,,,,,,447,"5,170.00",11.57,,,
,,2003 - 2004,,,,,,,629,"6,156.00",9.79,,,
,,2004 - 2005,,,,,,,562,"4,499.00",8.01,,,
,,2005 - 2006,,,,,,,560,"4,220.00",7.54,,,
,,2006 - 2007,,,,,,,563,"3,707.00",6.58,,,
,,2007 - 2008,,,,,,,568,"3,675.00",6.47,,,
,,2008 - 2009,,,,,,,521,"4,139.00",7.94,,,
,,2009 - 2010,,,,,,,550,"3,380.00",6.15,,,
,,2010 - 2011,,,,,,,577,"4,745.00",8.22,,,
,,2011 - 2012,,,,,,,599,"4,173.00",6.97,,,
,,2012 - 2013,,,,,,,565,"2,659.00",4.71,,,
,,2013 - 2014,,,,,,,621,"6,295.00",10.14,,,
,,2017 - 2018,,,,,,,77,779,10.12,,,
,,2018 - 2019,,,,,,,519,"4,046.00",7.8,,,
,,2019 - 2020,,,,,,,432,"3,275.00",7.58,,,
,,2020 - 2021,,,,,,,412,"2,797.00",6.79,,,
,26. Raipur,2000 - 2001,,,,,,,290,"2,078.00",7.17,,,
,,2001 - 2002,,,,,,,336,"2,817.00",8.38,,,
,,2002 - 2003,,,,,,,378,"2,952.00",7.81,,,
,,2003 - 2004,,,,,,,391,"2,590.00",6.62,,,
,,2004 - 2005,,,,,,,348,"2,016.00",5.79,,,
,,2005 - 2006,,,,,,,422,"2,185.00",5.18,,,
,,2006 - 2007,,,,,,,427,"1,868.00",4.37,,,
,,2007 - 2008,,,,,,,285,"1,225.00",4.3,,,
,,2008 - 2009,,,,,,,358,"1,615.00",4.51,,,
,,2009 - 2010,,,,,,,392,"1,600.00",4.08,,,
,,2010 - 2011,,,,,,,507,"2,400.00",4.73,,,
,,2011 - 2012,,,,,,,98,422,4.31,,,
,,2012 - 2013,,,,,,,112,326,2.91,,,
,,2013 - 2014,,,,,,,105,742,7.07,,,
,,2014 - 2015,,,,,,,90,777,8.63,,,
,,2015 - 2016,,,,,,,103,663,6.44,,,
,,2016 - 2017,,,,,,,134,377,2.81,,,
,,2017 - 2018,,,,,,,121,903,7.46,,,
,,2018 - 2019,,,,,,,60,336,5.6,,,
,,2019 - 2020,,,,,,,54,296,5.48,,,
,,2020 - 2021,,,,,,,36,156,4.33,,,
,,2021 - 2022,,,,,,,37,248,6.7,,,
,,2022 - 2023,,,,,,,37,297,8.03,,,
,27. Rajnandgaon,2000 - 2001,,,,,,,145,873,6.02,,,
,,2001 - 2002,,,,,,,273,"1,741.00",6.38,,,
,,2002 - 2003,,,,,,,264,"1,650.00",6.25,,,
,,2003 - 2004,,,,,,,240,"1,495.00",6.23,,,
,,2004 - 2005,,,,,,,315,"1,585.00",5.03,,,
,,2005 - 2006,,,,,,,264,"1,130.00",4.28,,,
,,2006 - 2007,,,,,,,238,846,3.55,,,
,,2007 - 2008,,,,,,,206,719,3.49,,,
,,2008 - 2009,,,,,,,219,790,3.61,,,
,,2009 - 2010,,,,,,,223,728,3.26,,,
,,2010 - 2011,,,,,,,165,721,4.37,,,
,,2011 - 2012,,,,,,,161,616,3.83,,,
,,2012 - 2013,,,,,,,157,372,2.37,,,
,,2013 - 2014,,,,,,,184,"1,377.00",7.48,,,
,,2014 - 2015,,,,,,,145,"1,167.00",8.05,,,
,,2015 - 2016,,,,,,,162,834,5.15,,,
,,2016 - 2017,,,,,,,122,231,1.89,,,
,,2017 - 2018,,,,,,,52,286,5.5,,,
,,2018 - 2019,,,,,,,297,233,0.78,,,
,,2019 - 2020,,,,,,,26,119,4.58,,,
,,2020 - 2021,,,,,,,20,89,4.45,,,
,,2021 - 2022,,,,,,,35,196,5.6,,,
,,2022 - 2023,,,,,,,14,121,8.64,,,
,28. Sakti,2022 - 2023,,,,,,,86,"1,144.00",13.3,,,
,29. Sarangarh bilaigarh,2022 - 2023,,,,,,,52,561,10.79,,,
,30. Surajpur,2011 - 2012,,,,,,,676,"3,252.00",4.81,,,
,,2012 - 2013,,,,,,,748,"1,938.00",2.59,,,
,,2013 - 2014,,,,,,,879,"5,928.00",6.74,,,
,,2014 - 2015,,,,,,,675,"2,390.00",3.54,,,
,,2015 - 2016,,,,,,,749,"1,961.00",2.62,,,
,,2016 - 2017,,,,,,,796,"4,441.00",5.58,,,
,,2017 - 2018,,,,,,,663,"4,326.00",6.52,,,
,,2018 - 2019,,,,,,,623,"3,289.00",5.28,,,
,,2019 - 2020,,,,,,,743,"3,878.00",5.22,,,
,,2020 - 2021,,,,,,,78,385,4.94,,,
,,2021 - 2022,,,,,,,50,297,5.94,,,
,,2022 - 2023,,,,,,,72,615,8.54,,,
,31. Surguja,2000 - 2001,,,,,,,883,"6,369.00",7.21,,,
,,2001 - 2002,,,,,,,"1,003.00","7,950.00",7.93,,,
,,2002 - 2003,,,,,,,"1,038.00","7,916.00",7.63,,,
,,2003 - 2004,,,,,,,"1,166.00","7,187.00",6.16,,,
,,2004 - 2005,,,,,,,"1,144.00","5,697.00",4.98,,,
,,2005 - 2006,,,,,,,"1,245.00","6,292.00",5.05,,,
,,2006 - 2007,,,,,,,"1,245.00","5,306.00",4.26,,,
,,2007 - 2008,,,,,,,"1,275.00","5,341.00",4.19,,,
,,2008 - 2009,,,,,,,"1,337.00","4,974.00",3.72,,,
,,2009 - 2010,,,,,,,"1,409.00","4,945.00",3.51,,,
,,2010 - 2011,,,,,,,"1,642.00","6,143.00",3.74,,,
,,2011 - 2012,,,,,,,450,"2,164.00",4.81,,,
,,2012 - 2013,,,,,,,462,"1,502.00",3.25,,,
,,2013 - 2014,,,,,,,512,"3,014.00",5.89,,,
,,2014 - 2015,,,,,,,518,"3,904.00",7.54,,,
,,2015 - 2016,,,,,,,510,"2,378.00",4.66,,,
,,2016 - 2017,,,,,,,537,"1,235.00",2.3,,,
,,2017 - 2018,,,,,,,560,"3,445.00",6.15,,,
,,2018 - 2019,,,,,,,577,"2,873.00",4.98,,,
,,2019 - 2020,,,,,,,551,"2,673.00",4.85,,,
,,2020 - 2021,,,,,,,569,"2,693.00",4.73,,,
,,2021 - 2022,,,,,,,539,"3,301.00",6.12,,,
,,2022 - 2023,,,,,,,568,"4,147.00",7.3,,,
6. Gujarat,1. Ahmadabad,2001 - 2002,,,,,,,100,"3,900.00",39,,,
,,2002 - 2003,,,,,,,100,"2,700.00",27,,,
,,2007 - 2008,,,,,,,600,"19,100.00",31.83,,,
,,2010 - 2011,,,,,,,200,"4,100.00",20.5,,,
,,2011 - 2012,,,,100,"2,200.00",22,,,,,,
,,2015 - 2016,,,,170,"4,578.00",26.93,,,,,,
,,2016 - 2017,,,,63,"1,641.00",26.05,,,,,,
,,2017 - 2018,,,,120,"3,441.00",28.68,,,,30,869,28.97
,,2020 - 2021,,,,89,"2,631.00",29.56,,,,,,
,,2021 - 2022,,,,130,"3,609.00",27.76,,,,,,
,,2022 - 2023,,,,46,"1,267.00",27.54,,,,15,323,21.53
,2. Amreli,2000 - 2001,,,,,,,100,"2,100.00",21,,,
,,2001 - 2002,,,,,,,800,"22,100.00",27.63,,,
,,2002 - 2003,,,,,,,800,"22,800.00",28.5,,,
,,2003 - 2004,,,,,,,"1,900.00","62,800.00",33.05,,,
,,2004 - 2005,,,,,,,"2,800.00","82,500.00",29.46,,,
,,2005 - 2006,,,,,,,"2,000.00","58,900.00",29.45,,,
,,2006 - 2007,,,,,,,"1,000.00","22,400.00",22.4,,,
,,2007 - 2008,,,,,,,"7,100.00","2,11,700.00",29.82,,,
,,2008 - 2009,,,,"4,200.00","1,15,100.00",27.4,,,,,,
,,2009 - 2010,,,,"1,900.00","52,100.00",27.42,,,,,,
,,2010 - 2011,,,,,,,"5,900.00","1,61,600.00",27.39,,,
,,2011 - 2012,,,,"4,200.00","1,23,400.00",29.38,,,,,,
,,2012 - 2013,,,,900,"21,000.00",23.33,,,,,,
,,2013 - 2014,,,,"3,531.00","1,53,714.00",43.53,,,,,,
,,2014 - 2015,,,,781,"23,094.00",29.57,,,,15,402,26.8
,,2015 - 2016,,,,"4,278.00","1,27,589.00",29.82,,,,50,"1,340.00",26.8
,,2016 - 2017,,,,"2,238.00","79,083.00",35.34,,,,804,"12,747.00",15.85
,,2017 - 2018,,,,"2,832.00","1,04,920.00",37.05,,,,"1,577.00","18,405.00",11.67
,,2018 - 2019,,,,"1,909.00","58,543.00",30.67,,,,556,"15,314.00",27.54
,,2019 - 2020,,,,"6,118.00","2,39,584.00",39.16,,,,"2,689.00","76,568.00",28.47
,,2020 - 2021,,,,"8,476.00","3,28,161.00",38.72,,,,"3,170.00","79,250.00",25
,,2021 - 2022,,,,"13,865.00","4,95,516.00",35.74,,,,"1,804.00","48,708.00",27
,,2022 - 2023,,,,"10,213.00","3,50,315.00",34.3,,,,"4,206.00","1,13,562.00",27
,3. Anand,2003 - 2004,,,,,,,100,"3,400.00",34,,,
,,2004 - 2005,,,,,,,200,"4,700.00",23.5,,,
,,2005 - 2006,,,,,,,200,"4,900.00",24.5,,,
,,2006 - 2007,,,,,,,300,"5,400.00",18,,,
,,2007 - 2008,,,,,,,200,"6,800.00",34,,,
,,2008 - 2009,,,,200,"5,200.00",26,,,,,,
,,2009 - 2010,,,,300,"8,800.00",29.33,,,,,,
,,2010 - 2011,,,,,,,200,"4,600.00",23,,,
,,2011 - 2012,,,,600,"17,500.00",29.17,,,,,,
,,2012 - 2013,,,,400,"10,500.00",26.25,,,,,,
,,2013 - 2014,,,,470,"14,340.00",30.51,,,,,,
,,2014 - 2015,,,,481,"13,410.00",27.88,,,,,,
,,2015 - 2016,,,,189,"5,090.00",26.93,,,,,,
,,2017 - 2018,,,,234,"6,711.00",28.68,,,,,,
,,2019 - 2020,,,,,,,,,,47,"1,338.00",28.47
,,2021 - 2022,,,,,,,,,,15,428,28.53
,,2022 - 2023,,,,25,689,27.56,,,,,,
,4. Aravalli,2014 - 2015,,,,300,"8,364.00",27.88,,,,,,
,,2015 - 2016,,,,635,"17,102.00",26.93,,,,,,
,,2016 - 2017,,,,360,"9,377.00",26.05,,,,,,
,,2017 - 2018,,,,637,"18,268.00",28.68,,,,,,
,,2018 - 2019,,,,119,"3,358.00",28.22,,,,,,
,,2019 - 2020,,,,137,"4,010.00",29.27,,,,,,
,,2020 - 2021,,,,165,"4,877.00",29.56,,,,,,
,,2021 - 2022,,,,105,"2,915.00",27.76,,,,,,
,,2022 - 2023,,,,67,"1,846.00",27.55,,,,,,
,5. Banas kantha,2000 - 2001,,,,,,,300,"5,600.00",18.67,,,
,,2001 - 2002,,,,,,,300,"8,800.00",29.33,,,
,,2002 - 2003,,,,,,,200,"5,000.00",25,,,
,,2004 - 2005,,,,,,,100,"3,900.00",39,,,
,,2006 - 2007,,,,,,,100,"1,800.00",18,,,
,,2007 - 2008,,,,,,,200,"5,000.00",25,,,
,,2008 - 2009,,,,200,"5,600.00",28,,,,,,
,,2009 - 2010,,,,300,"8,000.00",26.67,,,,,,
,,2011 - 2012,,,,100,700,7,,,,,,
,,2013 - 2014,,,,24,732,30.5,,,,,,
,,2014 - 2015,,,,6,167,27.83,,,,,,
,,2015 - 2016,,,,11,296,26.91,,,,,,
,,2016 - 2017,,,,6,156,26,,,,,,
