State,District,Year,Niger seed,,,,,,,,,,,
,,2002 - 2003,,,,"1,480.00",770,0.52,,,,,,
,,2003 - 2004,,,,"1,480.00",770,0.52,,,,,,
,,2004 - 2005,,,,"1,500.00",780,0.52,,,,,,
,,2005 - 2006,,,,362,188,0.52,,,,,,
,,2006 - 2007,,,,"1,470.00",764,0.52,,,,,,
,,2007 - 2008,,,,"1,325.00",689,0.52,,,,,,
,,2008 - 2009,,,,102,53,0.52,,,,,,
,,2009 - 2010,,,,105,55,0.52,,,,,,
,,2010 - 2011,,,,130,68,0.52,,,,,,
,,2011 - 2012,,,,131,69,0.53,,,,,,
,,2012 - 2013,,,,180,96,0.53,,,,,,
,,2013 - 2014,,,,221,121,0.55,,,,,,
,,2014 - 2015,,,,182,100,0.55,,,,,,
,,2015 - 2016,,,,120,65,0.54,,,,,,
,,2016 - 2017,,,,125,50,0.4,,,,,,
,,2017 - 2018,,,,142,69,0.49,,,,,,
,,2018 - 2019,,,,129,52,0.4,,,,,,
,,2019 - 2020,,,,144,58,0.4,,,,,,
,,2020 - 2021,,,,23,9,0.39,,,,,,
,,2021 - 2022,,,,29,11,0.38,,,,,,
,,2022 - 2023,,,,29,11,0.38,,,,,,
,27. Sivasagar,2006 - 2007,,,,105,53,0.5,,,,,,
,,2010 - 2011,,,,1,1,1,,,,,,
,,2011 - 2012,,,,1,1,1,,,,,,
,,2013 - 2014,,,,35,19,0.54,,,,,,
,28. Sonitpur,2000 - 2001,,,,295,172,0.58,,,,,,
,,2001 - 2002,,,,240,131,0.55,,,,,,
,,2002 - 2003,,,,222,122,0.55,,,,,,
,,2003 - 2004,,,,226,126,0.56,,,,,,
,,2004 - 2005,,,,305,169,0.55,,,,,,
,,2005 - 2006,,,,237,142,0.6,,,,,,
,,2006 - 2007,,,,295,171,0.58,,,,,,
,,2007 - 2008,,,,342,187,0.55,,,,,,
,,2008 - 2009,,,,247,143,0.58,,,,,,
,,2009 - 2010,,,,247,143,0.58,,,,,,
,,2010 - 2011,,,,309,175,0.57,,,,,,
,,2011 - 2012,,,,268,156,0.58,,,,,,
,,2012 - 2013,,,,187,108,0.58,,,,,,
,,2013 - 2014,,,,113,67,0.59,,,,,,
,,2014 - 2015,,,,148,90,0.61,,,,,,
,,2015 - 2016,,,,133,74,0.56,,,,,,
,,2016 - 2017,,,,188,107,0.57,,,,,,
,,2017 - 2018,,,,186,97,0.52,,,,,,
,,2018 - 2019,,,,167,92,0.55,,,,,,
,,2019 - 2020,,,,227,130,0.57,,,,,,
,,2020 - 2021,,,,185,105,0.57,,,,,,
,,2021 - 2022,,,,209,139,0.67,,,,,,
,,2022 - 2023,,,,90,51,0.57,,,,,,
,29. South salmara mancachar,2020 - 2021,,,,20,14,0.7,,,,,,
,,2021 - 2022,,,,25,18,0.72,,,,,,
,,2022 - 2023,,,,14,9,0.64,,,,,,
,30. Tinsukia,2000 - 2001,,,,5,2,0.4,,,,,,
,,2001 - 2002,,,,2,1,0.5,,,,,,
,,2002 - 2003,,,,3,1,0.33,,,,,,
,,2003 - 2004,,,,3,1,0.33,,,,,,
,,2004 - 2005,,,,3,1,0.33,,,,,,
,,2005 - 2006,,,,3,1,0.33,,,,,,
,,2006 - 2007,,,,65,31,0.48,,,,,,
,,2007 - 2008,,,,60,28,0.47,,,,,,
,,2008 - 2009,,,,35,16,0.46,,,,,,
,,2009 - 2010,,,,35,17,0.49,,,,,,
,,2010 - 2011,,,,26,13,0.5,,,,,,
,,2011 - 2012,,,,19,10,0.53,,,,,,
,,2012 - 2013,,,,19,10,0.53,,,,,,
,,2013 - 2014,,,,19,10,0.53,,,,,,
,,2014 - 2015,,,,18,9,0.5,,,,,,
,,2015 - 2016,,,,23,11,0.48,,,,,,
,,2016 - 2017,,,,20,10,0.5,,,,,,
,,2017 - 2018,,,,20,10,0.5,,,,,,
,,2018 - 2019,,,,20,10,0.5,,,,,,
,,2019 - 2020,,,,19,10,0.53,,,,,,
,,2020 - 2021,,,,8,4,0.5,,,,,,
,,2021 - 2022,,,,3,1,0.33,,,,,,
,,2022 - 2023,,,,32,14,0.44,,,,,,
,31. Udalguri,2005 - 2006,,,,773,397,0.51,,,,,,
,,2006 - 2007,,,,915,474,0.52,,,,,,
,,2007 - 2008,,,,837,432,0.52,,,,,,
,,2008 - 2009,,,,216,111,0.51,,,,,,
,,2009 - 2010,,,,250,129,0.52,,,,,,
,,2010 - 2011,,,,372,192,0.52,,,,,,
,,2011 - 2012,,,,279,146,0.52,,,,,,
,,2012 - 2013,,,,296,158,0.53,,,,,,
,,2013 - 2014,,,,343,187,0.55,,,,,,
,,2014 - 2015,,,,343,187,0.55,,,,,,
,,2015 - 2016,,,,340,138,0.41,,,,,,
,,2016 - 2017,,,,475,292,0.61,,,,,,
,,2017 - 2018,,,,386,251,0.65,,,,,,
,,2018 - 2019,,,,400,216,0.54,,,,,,
,,2019 - 2020,,,,412,293,0.71,,,,,,
,,2020 - 2021,,,,392,274,0.7,,,,,,
,,2021 - 2022,,,,341,242,0.71,,,,,,
,,2022 - 2023,,,,340,188,0.55,,,,,,
,32. West karbi anglong,2020 - 2021,,,,20,8,0.4,,,,,,
,,2021 - 2022,,,,20,10,0.5,,,,,,
,,2022 - 2023,,,,19,10,0.53,,,,,,
3. Chhattisgarh,1. Balod,2012 - 2013,,,,5,1,0.2,,,,,,
,,2015 - 2016,,,,4,1,0.25,,,,,,
,,2019 - 2020,,,,4,1,0.25,,,,,,
,2. Baloda bazar,2015 - 2016,,,,5,1,0.2,,,,,,
,3. Balrampur,2011 - 2012,,,,"12,779.00","1,995.00",0.16,,,,,,
,,2012 - 2013,,,,"13,406.00","2,326.00",0.17,,,,,,
,,2013 - 2014,,,,"13,193.00","2,404.00",0.18,,,,,,
,,2014 - 2015,,,,"11,983.00","1,871.00",0.16,,,,,,
,,2015 - 2016,,,,"12,115.00","1,892.00",0.16,,,,,,
,,2016 - 2017,,,,"11,923.00","2,155.00",0.18,,,,,,
,,2017 - 2018,,,,"9,016.00","1,564.00",0.17,,,,,,
,,2018 - 2019,,,,"11,277.00","1,891.00",0.17,,,,,,
,,2019 - 2020,,,,"3,221.00",559,0.17,,,,,,
,,2020 - 2021,,,,"4,712.00",920,0.2,,,,,,
,,2021 - 2022,,,,"3,527.00",700,0.2,,,,,,
,,2022 - 2023,,,,"1,124.00",194,0.17,,,,,,
,4. Bastar,2000 - 2001,,,,"16,287.00","3,242.00",0.2,,,,,,
,,2001 - 2002,,,,"16,219.00","3,776.00",0.23,,,,,,
,,2002 - 2003,,,,"14,806.00","2,597.00",0.18,,,,,,
,,2003 - 2004,,,,"15,531.00","3,249.00",0.21,,,,,,
,,2004 - 2005,,,,"15,075.00","3,153.00",0.21,,,,,,
,,2005 - 2006,,,,"14,924.00","3,122.00",0.21,,,,,,
,,2006 - 2007,,,,"13,190.00","2,900.00",0.22,,,,,,
,,2007 - 2008,,,,"12,969.00","2,975.00",0.23,,,,,,
,,2008 - 2009,,,,"12,538.00","2,622.00",0.21,,,,,,
,,2009 - 2010,,,,"11,994.00","2,226.00",0.19,,,,,,
,,2010 - 2011,,,,"12,189.00","2,591.00",0.21,,,,,,
,,2011 - 2012,,,,"9,369.00","1,896.00",0.2,,,,,,
,,2012 - 2013,,,,"9,022.00","1,978.00",0.22,,,,,,
,,2013 - 2014,,,,"8,418.00",495,0.06,,,,,,
,,2014 - 2015,,,,"8,087.00","1,692.00",0.21,,,,,,
,,2015 - 2016,,,,"7,692.00",883,0.11,,,,,,
,,2016 - 2017,,,,"6,830.00","1,497.00",0.22,,,,,,
,,2017 - 2018,,,,"7,036.00","1,496.00",0.21,,,,,,
,,2018 - 2019,,,,"6,183.00","1,314.00",0.21,,,,,,
,,2019 - 2020,,,,"3,592.00",752,0.21,,,,,,
,,2020 - 2021,,,,"2,483.00",478,0.19,,,,,,
,,2021 - 2022,,,,"2,522.00",451,0.18,,,,,,
,,2022 - 2023,,,,"2,134.00",403,0.19,,,,,,
,5. Bijapur,2006 - 2007,,,,30,,0,,,,,,
,,2007 - 2008,,,,46,10,0.22,,,,,,
,,2008 - 2009,,,,45,5,0.11,,,,,,
,,2009 - 2010,,,,45,5,0.11,,,,,,
,,2010 - 2011,,,,46,10,0.22,,,,,,
,,2011 - 2012,,,,41,8,0.2,,,,,,
,,2012 - 2013,,,,13,3,0.23,,,,,,
,,2013 - 2014,,,,12,79,6.58,,,,,,
,,2014 - 2015,,,,11,3,0.27,,,,,,
,,2015 - 2016,,,,5,1,0.2,,,,,,
,,2017 - 2018,,,,10,3,0.3,,,,,,
,,2018 - 2019,,,,1,,0,,,,,,
,6. Bilaspur,2000 - 2001,,,,"1,015.00",249,0.25,,,,,,
,,2001 - 2002,,,,826,202,0.24,,,,,,
,,2002 - 2003,,,,678,100,0.15,,,,,,
,,2003 - 2004,,,,717,179,0.25,,,,,,
,,2004 - 2005,,,,585,102,0.17,,,,,,
,,2005 - 2006,,,,666,163,0.24,,,,,,
,,2006 - 2007,,,,594,149,0.25,,,,,,
,,2007 - 2008,,,,576,142,0.25,,,,,,
,,2008 - 2009,,,,582,143,0.25,,,,,,
,,2009 - 2010,,,,587,131,0.22,,,,,,
,,2010 - 2011,,,,332,81,0.24,,,,,,
,,2011 - 2012,,,,354,85,0.24,,,,,,
,,2012 - 2013,,,,328,90,0.27,,,,,,
,,2013 - 2014,,,,320,,0,,,,,,
,,2014 - 2015,,,,322,86,0.27,,,,,,
,,2015 - 2016,,,,242,49,0.2,,,,,,
,,2016 - 2017,,,,242,65,0.27,,,,,,
,,2017 - 2018,,,,230,42,0.18,,,,,,
,,2018 - 2019,,,,73,21,0.29,,,,,,
,7. Dantewada,2000 - 2001,,,,698,125,0.18,,,,,,
,,2001 - 2002,,,,724,139,0.19,,,,,,
,,2002 - 2003,,,,457,72,0.16,,,,,,
,,2003 - 2004,,,,530,103,0.19,,,,,,
,,2004 - 2005,,,,539,99,0.18,,,,,,
,,2005 - 2006,,,,429,71,0.17,,,,,,
,,2006 - 2007,,,,435,83,0.19,,,,,,
,,2007 - 2008,,,,475,99,0.21,,,,,,
,,2008 - 2009,,,,459,79,0.17,,,,,,
,,2009 - 2010,,,,456,55,0.12,,,,,,
,,2010 - 2011,,,,456,100,0.22,,,,,,
,,2011 - 2012,,,,406,82,0.2,,,,,,
,,2012 - 2013,,,,419,83,0.2,,,,,,
,,2013 - 2014,,,,421,6,0.01,,,,,,
,,2014 - 2015,,,,436,93,0.21,,,,,,
,,2015 - 2016,,,,380,59,0.16,,,,,,
,,2016 - 2017,,,,361,83,0.23,,,,,,
,,2017 - 2018,,,,336,48,0.14,,,,,,
,,2018 - 2019,,,,317,89,0.28,,,,,,
,,2019 - 2020,,,,198,39,0.2,,,,,,
,,2020 - 2021,,,,223,48,0.22,,,,,,
,,2021 - 2022,,,,205,44,0.21,,,,,,
,,2022 - 2023,,,,128,36,0.28,,,,,,
,8. Dhamtari,2001 - 2002,,,,3,1,0.33,,,,,,
,,2002 - 2003,,,,3,,0,,,,,,
,,2003 - 2004,,,,3,1,0.33,,,,,,
,,2010 - 2011,,,,33,6,0.18,,,,,,
,,2011 - 2012,,,,12,2,0.17,,,,,,
,,2017 - 2018,,,,1,1,1,,,,,,
,,2018 - 2019,,,,7,2,0.29,,,,,,
,,2019 - 2020,,,,1,,0,,,,,,
,9. Durg,2005 - 2006,,,,1,,0,,,,,,
,,2006 - 2007,,,,5,1,0.2,,,,,,
,,2008 - 2009,,,,91,16,0.18,,,,,,
,,2009 - 2010,,,,1,,0,,,,,,
,10. Gariyaband,2011 - 2012,,,,22,3,0.14,,,,,,
,,2012 - 2013,,,,22,4,0.18,,,,,,
,,2022 - 2023,,,,1,0,0,,,,,,
,11. Gaurella-pendra-marwahi,2019 - 2020,,,,21,6,0.29,,,,,,
,,2020 - 2021,,,,30,7,0.23,,,,,,
,,2021 - 2022,,,,18,5,0.28,,,,,,
,,2022 - 2023,,,,146,37,0.25,,,,,,
,12. Janjgir-champa,2007 - 2008,,,,87,21,0.24,,,,,,
,13. Jashpur,2000 - 2001,,,,"23,175.00","3,661.00",0.16,,,,,,
,,2001 - 2002,,,,"23,072.00","3,900.00",0.17,,,,,,
,,2002 - 2003,,,,"22,600.00","3,570.00",0.16,,,,,,
,,2003 - 2004,,,,"23,360.00","3,689.00",0.16,,,,,,
,,2004 - 2005,,,,"23,047.00","3,577.00",0.16,,,,,,
,,2005 - 2006,,,,"23,087.00","3,455.00",0.15,,,,,,
,,2006 - 2007,,,,"24,006.00","3,859.00",0.16,,,,,,
,,2007 - 2008,,,,"23,311.00","3,811.00",0.16,,,,,,
,,2008 - 2009,,,,"23,250.00","3,865.00",0.17,,,,,,
,,2009 - 2010,,,,"21,508.00","3,576.00",0.17,,,,,,
,,2010 - 2011,,,,"21,364.00","3,359.00",0.16,,,,,,
,,2011 - 2012,,,,"21,053.00","3,559.00",0.17,,,,,,
,,2012 - 2013,,,,"21,169.00","3,520.00",0.17,,,,,,
,,2013 - 2014,,,,"19,640.00","3,266.00",0.17,,,,,,
,,2014 - 2015,,,,"20,801.00","3,516.00",0.17,,,,,,
,,2015 - 2016,,,,"23,074.00","3,831.00",0.17,,,,,,
,,2016 - 2017,,,,"22,108.00","4,224.00",0.19,,,,,,
,,2017 - 2018,,,,"20,860.00","4,051.00",0.19,,,,,,
,,2018 - 2019,,,,"20,053.00","3,895.00",0.19,,,,,,
,,2019 - 2020,,,,"18,037.00","3,334.00",0.18,,,,,,
,,2020 - 2021,,,,"15,254.00","2,772.00",0.18,,,,,,
,,2021 - 2022,,,,"15,280.00","2,871.00",0.19,,,,,,
,,2022 - 2023,,,,"11,890.00","2,347.00",0.2,,,,,,
,14. Kabirdham,2000 - 2001,,,,230,30,0.13,,,,,,
,,2001 - 2002,,,,246,47,0.19,,,,,,
,,2002 - 2003,,,,240,60,0.25,,,,,,
,,2003 - 2004,,,,313,56,0.18,,,,,,
,,2004 - 2005,,,,320,58,0.18,,,,,,
,,2005 - 2006,,,,306,55,0.18,,,,,,
,,2006 - 2007,,,,262,59,0.23,,,,,,
,,2007 - 2008,,,,262,50,0.19,,,,,,
,,2008 - 2009,,,,455,82,0.18,,,,,,
,,2009 - 2010,,,,336,61,0.18,,,,,,
,,2010 - 2011,,,,385,70,0.18,,,,,,
,,2011 - 2012,,,,292,55,0.19,,,,,,
,,2012 - 2013,,,,314,68,0.22,,,,,,
,,2013 - 2014,,,,329,"1,789.00",5.44,,,,,,
,,2014 - 2015,,,,356,71,0.2,,,,,,
,,2015 - 2016,,,,338,73,0.22,,,,,,
,,2016 - 2017,,,,99,23,0.23,,,,,,
,,2017 - 2018,,,,159,41,0.26,,,,,,
,,2018 - 2019,,,,117,19,0.16,,,,,,
,,2019 - 2020,,,,170,33,0.19,,,,,,
,,2020 - 2021,,,,135,25,0.19,,,,,,
,,2021 - 2022,,,,119,24,0.2,,,,,,
,,2022 - 2023,,,,138,31,0.22,,,,,,
,15. Kanker,2000 - 2001,,,,555,110,0.2,,,,,,
,,2001 - 2002,,,,561,123,0.22,,,,,,
,,2002 - 2003,,,,547,53,0.1,,,,,,
,,2003 - 2004,,,,548,129,0.24,,,,,,
,,2004 - 2005,,,,523,99,0.19,,,,,,
,,2005 - 2006,,,,578,133,0.23,,,,,,
,,2006 - 2007,,,,518,105,0.2,,,,,,
,,2007 - 2008,,,,524,117,0.22,,,,,,
,,2008 - 2009,,,,524,117,0.22,,,,,,
,,2009 - 2010,,,,524,115,0.22,,,,,,
,,2010 - 2011,,,,432,95,0.22,,,,,,
,,2011 - 2012,,,,493,99,0.2,,,,,,
,,2012 - 2013,,,,481,90,0.19,,,,,,
,,2013 - 2014,,,,475,75,0.16,,,,,,
,,2014 - 2015,,,,597,110,0.18,,,,,,
,,2015 - 2016,,,,93,14,0.15,,,,,,
,,2016 - 2017,,,,122,25,0.2,,,,,,
,,2017 - 2018,,,,509,83,0.16,,,,,,
,,2018 - 2019,,,,444,87,0.2,,,,,,
,,2019 - 2020,,,,209,30,0.14,,,,,,
,,2020 - 2021,,,,192,45,0.23,,,,,,
,,2021 - 2022,,,,160,40,0.25,,,,,,
,,2022 - 2023,,,,114,27,0.24,,,,,,
,16. Kondagaon,2011 - 2012,,,,"2,501.00",506,0.2,,,,,,
,,2012 - 2013,,,,"2,308.00",421,0.18,,,,,,
,,2013 - 2014,,,,"2,328.00",133,0.06,,,,,,
,,2014 - 2015,,,,"2,305.00",482,0.21,,,,,,
,,2015 - 2016,,,,"1,797.00",228,0.13,,,,,,
,,2016 - 2017,,,,"1,568.00",351,0.22,,,,,,
,,2017 - 2018,,,,"1,555.00",331,0.21,,,,,,
,,2018 - 2019,,,,"1,461.00",327,0.22,,,,,,
,,2019 - 2020,,,,"1,061.00",257,0.24,,,,,,
,,2020 - 2021,,,,729,258,0.35,,,,,,
,,2021 - 2022,,,,635,225,0.35,,,,,,
,,2022 - 2023,,,,631,223,0.35,,,,,,
,17. Korba,2000 - 2001,,,,229,59,0.26,,,,,,
,,2001 - 2002,,,,316,81,0.26,,,,,,
,,2002 - 2003,,,,296,66,0.22,,,,,,
,,2003 - 2004,,,,343,76,0.22,,,,,,
,,2004 - 2005,,,,361,73,0.2,,,,,,
,,2005 - 2006,,,,370,93,0.25,,,,,,
,,2006 - 2007,,,,378,76,0.2,,,,,,
,,2007 - 2008,,,,402,98,0.24,,,,,,
,,2008 - 2009,,,,407,109,0.27,,,,,,
,,2009 - 2010,,,,398,89,0.22,,,,,,
,,2010 - 2011,,,,405,99,0.24,,,,,,
,,2011 - 2012,,,,394,94,0.24,,,,,,
,,2012 - 2013,,,,411,92,0.22,,,,,,
,,2013 - 2014,,,,411,101,0.25,,,,,,
,,2014 - 2015,,,,393,105,0.27,,,,,,
,,2015 - 2016,,,,384,77,0.2,,,,,,
,,2016 - 2017,,,,372,99,0.27,,,,,,
,,2017 - 2018,,,,369,98,0.27,,,,,,
,,2018 - 2019,,,,321,79,0.25,,,,,,
,,2019 - 2020,,,,230,56,0.24,,,,,,
,,2020 - 2021,,,,116,28,0.24,,,,,,
,,2021 - 2022,,,,36,10,0.28,,,,,,
,,2022 - 2023,,,,40,10,0.25,,,,,,
,18. Korea,2000 - 2001,,,,"2,320.00",416,0.18,,,,,,
,,2001 - 2002,,,,"2,321.00",436,0.19,,,,,,
,,2002 - 2003,,,,"1,992.00",311,0.16,,,,,,
,,2003 - 2004,,,,"2,015.00",333,0.17,,,,,,
,,2004 - 2005,,,,"2,039.00",265,0.13,,,,,,
,,2005 - 2006,,,,"2,074.00",270,0.13,,,,,,
,,2006 - 2007,,,,"2,128.00",289,0.14,,,,,,
,,2007 - 2008,,,,"2,007.00",273,0.14,,,,,,
,,2008 - 2009,,,,"2,115.00",367,0.17,,,,,,
,,2009 - 2010,,,,"2,214.00",268,0.12,,,,,,
,,2010 - 2011,,,,"2,101.00",364,0.17,,,,,,
,,2011 - 2012,,,,"2,417.00",427,0.18,,,,,,
,,2012 - 2013,,,,"2,368.00",336,0.14,,,,,,
,,2013 - 2014,,,,"2,418.00",357,0.15,,,,,,
,,2014 - 2015,,,,"2,394.00",416,0.17,,,,,,
,,2015 - 2016,,,,"2,076.00",427,0.21,,,,,,
,,2016 - 2017,,,,"1,951.00",401,0.21,,,,,,
,,2017 - 2018,,,,"1,956.00",439,0.22,,,,,,
,,2018 - 2019,,,,"1,802.00",370,0.21,,,,,,
,,2019 - 2020,,,,906,203,0.22,,,,,,
,,2020 - 2021,,,,375,76,0.2,,,,,,
,,2021 - 2022,,,,242,59,0.24,,,,,,
,,2022 - 2023,,,,157,37,0.24,,,,,,
,19. Mahasamund,2000 - 2001,,,,6,1,0.17,,,,,,
,,2003 - 2004,,,,1,,0,,,,,,
,,2004 - 2005,,,,3,,0,,,,,,
,,2005 - 2006,,,,1,,0,,,,,,
,,2006 - 2007,,,,1,,0,,,,,,
,,2008 - 2009,,,,1,,0,,,,,,
,,2009 - 2010,,,,1,,0,,,,,,
,20. Manendragarh chirimiri bharatpur,2022 - 2023,,,,49,11,0.22,,,,,,
,21. Narayanpur,2006 - 2007,,,,674,,0,,,,,,
,,2007 - 2008,,,,730,167,0.23,,,,,,
,,2008 - 2009,,,,731,153,0.21,,,,,,
,,2009 - 2010,,,,737,124,0.17,,,,,,
,,2010 - 2011,,,,"2,509.00",598,0.24,,,,,,
,,2011 - 2012,,,,574,116,0.2,,,,,,
,,2012 - 2013,,,,581,128,0.22,,,,,,
,,2013 - 2014,,,,623,87,0.14,,,,,,
,,2014 - 2015,,,,618,129,0.21,,,,,,
,,2015 - 2016,,,,593,68,0.11,,,,,,
,,2016 - 2017,,,,561,91,0.16,,,,,,
,,2017 - 2018,,,,512,98,0.19,,,,,,
,,2018 - 2019,,,,524,92,0.18,,,,,,
,,2019 - 2020,,,,230,43,0.19,,,,,,
,,2020 - 2021,,,,40,8,0.2,,,,,,
,,2021 - 2022,,,,18,3,0.17,,,,,,
,,2022 - 2023,,,,28,6,0.21,,,,,,
,22. Raigarh,2000 - 2001,,,,"1,257.00",150,0.12,,,,,,
,,2001 - 2002,,,,"1,304.00",203,0.16,,,,,,
,,2002 - 2003,,,,"1,373.00",156,0.11,,,,,,
,,2003 - 2004,,,,"1,359.00",225,0.17,,,,,,
,,2004 - 2005,,,,"1,331.00",207,0.16,,,,,,
,,2005 - 2006,,,,"1,300.00",194,0.15,,,,,,
,,2006 - 2007,,,,"1,371.00",205,0.15,,,,,,
,,2007 - 2008,,,,"1,357.00",225,0.17,,,,,,
,,2008 - 2009,,,,"1,356.00",225,0.17,,,,,,
,,2009 - 2010,,,,"1,264.00",210,0.17,,,,,,
,,2010 - 2011,,,,"1,318.00",223,0.17,,,,,,
,,2011 - 2012,,,,"1,332.00",200,0.15,,,,,,
,,2012 - 2013,,,,"1,331.00",229,0.17,,,,,,
,,2013 - 2014,,,,"1,365.00",220,0.16,,,,,,
,,2014 - 2015,,,,"1,350.00",243,0.18,,,,,,
,,2015 - 2016,,,,"1,367.00",247,0.18,,,,,,
,,2016 - 2017,,,,"1,205.00",217,0.18,,,,,,
,,2017 - 2018,,,,"1,137.00",195,0.17,,,,,,
,,2018 - 2019,,,,"1,007.00",173,0.17,,,,,,
,,2019 - 2020,,,,661,119,0.18,,,,,,
,,2020 - 2021,,,,552,84,0.15,,,,,,
,,2021 - 2022,,,,418,64,0.15,,,,,,
,,2022 - 2023,,,,78,13,0.17,,,,,,
,23. Raipur,2000 - 2001,,,,108,13,0.12,,,,,,
,,2001 - 2002,,,,105,18,0.17,,,,,,
,,2002 - 2003,,,,90,15,0.17,,,,,,
,,2003 - 2004,,,,80,13,0.16,,,,,,
,,2004 - 2005,,,,48,8,0.17,,,,,,
,,2005 - 2006,,,,66,11,0.17,,,,,,
,,2006 - 2007,,,,63,11,0.17,,,,,,
,,2007 - 2008,,,,63,11,0.17,,,,,,
,,2008 - 2009,,,,47,8,0.17,,,,,,
,,2009 - 2010,,,,31,5,0.16,,,,,,
,,2010 - 2011,,,,22,4,0.18,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2021 - 2022,,,,1,0,0,,,,,,
,24. Rajnandgaon,2000 - 2001,,,,1,,0,,,,,,
,,2001 - 2002,,,,3,1,0.33,,,,,,
,,2002 - 2003,,,,4,1,0.25,,,,,,
,,2003 - 2004,,,,4,1,0.25,,,,,,
,,2004 - 2005,,,,10,2,0.2,,,,,,
,,2005 - 2006,,,,4,1,0.25,,,,,,
,,2006 - 2007,,,,18,3,0.17,,,,,,
,,2007 - 2008,,,,55,11,0.2,,,,,,
,,2008 - 2009,,,,55,10,0.18,,,,,,
,,2010 - 2011,,,,1,,0,,,,,,
,,2011 - 2012,,,,1,,0,,,,,,
,,2012 - 2013,,,,1,,0,,,,,,
,,2013 - 2014,,,,1,71,71,,,,,,
,,2014 - 2015,,,,35,9,0.26,,,,,,
,,2015 - 2016,,,,131,28,0.21,,,,,,
,,2016 - 2017,,,,45,11,0.24,,,,,,
,,2017 - 2018,,,,36,12,0.33,,,,,,
,,2018 - 2019,,,,15,3,0.2,,,,,,
,,2022 - 2023,,,,1,1,1,,,,,,
,25. Sakti,2022 - 2023,,,,1,0,0,,,,,,
,26. Sukma,2011 - 2012,,,,35,7,0.2,,,,,,
,,2012 - 2013,,,,32,6,0.19,,,,,,
,,2013 - 2014,,,,30,2,0.07,,,,,,
,,2014 - 2015,,,,230,38,0.17,,,,,,
,,2015 - 2016,,,,185,34,0.18,,,,,,
,,2016 - 2017,,,,185,36,0.19,,,,,,
,,2017 - 2018,,,,185,37,0.2,,,,,,
,,2018 - 2019,,,,181,37,0.2,,,,,,
,,2019 - 2020,,,,10,2,0.2,,,,,,
,,2020 - 2021,,,,1,0,0,,,,,,
,,2021 - 2022,,,,1,0,0,,,,,,
,,2022 - 2023,,,,1,0,0,,,,,,
,27. Surajpur,2011 - 2012,,,,"4,590.00",717,0.16,,,,,,
,,2012 - 2013,,,,"4,339.00",690,0.16,,,,,,
,,2013 - 2014,,,,"4,300.00",783,0.18,,,,,,
,,2014 - 2015,,,,"4,392.00",800,0.18,,,,,,
,,2015 - 2016,,,,"4,519.00",719,0.16,,,,,,
,,2016 - 2017,,,,"4,290.00",620,0.14,,,,,,
,,2017 - 2018,,,,"4,124.00",716,0.17,,,,,,
,,2018 - 2019,,,,"3,602.00",677,0.19,,,,,,
,,2019 - 2020,,,,"2,687.00",505,0.19,,,,,,
,,2020 - 2021,,,,"1,107.00",217,0.2,,,,,,
,,2021 - 2022,,,,699,137,0.2,,,,,,
,,2022 - 2023,,,,642,108,0.17,,,,,,
,28. Surguja,2000 - 2001,,,,"28,375.00","5,087.00",0.18,,,,,,
,,2001 - 2002,,,,"28,859.00","5,341.00",0.19,,,,,,
,,2002 - 2003,,,,"28,893.00","4,511.00",0.16,,,,,,
,,2003 - 2004,,,,"29,577.00","5,046.00",0.17,,,,,,
,,2004 - 2005,,,,"29,223.00","4,478.00",0.15,,,,,,
,,2005 - 2006,,,,"28,992.00","4,695.00",0.16,,,,,,
,,2006 - 2007,,,,"29,115.00","5,051.00",0.17,,,,,,
,,2007 - 2008,,,,"29,082.00","4,793.00",0.16,,,,,,
,,2008 - 2009,,,,"28,220.00","4,896.00",0.17,,,,,,
,,2009 - 2010,,,,"27,936.00","4,039.00",0.14,,,,,,
,,2010 - 2011,,,,"27,815.00","4,424.00",0.16,,,,,,
,,2011 - 2012,,,,"9,851.00","1,538.00",0.16,,,,,,
,,2012 - 2013,,,,"9,634.00","1,671.00",0.17,,,,,,
,,2013 - 2014,,,,"9,327.00","1,699.00",0.18,,,,,,
,,2014 - 2015,,,,"9,249.00","1,685.00",0.18,,,,,,
,,2015 - 2016,,,,"9,276.00","1,609.00",0.17,,,,,,
,,2016 - 2017,,,,"8,874.00","1,489.00",0.17,,,,,,
,,2017 - 2018,,,,"8,289.00","1,438.00",0.17,,,,,,
,,2018 - 2019,,,,"7,366.00","1,427.00",0.19,,,,,,
,,2019 - 2020,,,,"5,080.00",954,0.19,,,,,,
,,2020 - 2021,,,,"3,352.00",971,0.29,,,,,,
,,2021 - 2022,,,,"3,191.00",925,0.29,,,,,,
,,2022 - 2023,,,,"2,575.00",700,0.27,,,,,,
4. Dadra and Nagar Haveli,1. Dadra and Nagar Haveli,2000 - 2001,,,,105,105,1,30,30,1,,,
,,2001 - 2002,,,,90,273,3.03,70,82,1.17,,,
,,2002 - 2003,,,,182,553,3.04,20,23,1.15,,,
,,2003 - 2004,,,,170,171,1.01,30,30,1,,,
,,2004 - 2005,,,,186,187,1.01,30,30,1,,,
,,2005 - 2006,,,,177,156,0.88,,,,,,
,,2006 - 2007,,,,168,168,1,,,,,,
,,2010 - 2011,,,,80,60,0.75,,,,,,
