State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,240,"3,618.00",15.08,845,"12,739.00",15.08,,,,,,,,,
,,2013 - 2014,356,"6,293.00",17.68,941,"16,633.00",17.68,,,,,,,,,
,,2014 - 2015,302,"5,186.00",17.17,920,"15,799.00",17.17,,,,,,,,,
,,2015 - 2016,511,"7,606.00",14.88,"1,025.00","15,257.00",14.88,,,,,,,,,
,,2016 - 2017,488,"4,393.00",9,782,"7,040.00",9,,,,,,,,,
,,2017 - 2018,398,"4,596.00",11.55,922,"10,646.00",11.55,,,,,,,,,
,,2018 - 2019,470,"2,851.00",6.07,920,"5,582.00",6.07,,,,,,,,,
,,2019 - 2020,383,"6,043.00",15.78,948,"14,957.00",15.78,,,,,,,,,
,,2020 - 2021,162,"3,165.00",19.54,"1,081.00","21,123.00",19.54,,,,,,,,,
,,2021 - 2022,361,"9,130.00",25.29,517,"13,075.00",25.29,,,,,,,,,
,,2022 - 2023,363,"7,457.00",20.54,471,"9,720.00",20.64,,,,,,,,,
,5. Guntur,2016 - 2017,,,,2,18,9,,,,,,,,,
,,2021 - 2022,,,,3,71,23.67,,,,,,,,,
,6. Kadapa,2010 - 2011,,,,,,,1,11,11,,,,,,
,,2012 - 2013,,,,1,18,18,,,,,,,,,
,,2014 - 2015,,,,3,52,17.33,,,,,,,,,
,,2016 - 2017,,,,1,9,9,,,,,,,,,
,,2019 - 2020,,,,2,30,15,,,,,,,,,
,,2020 - 2021,1,9,9,,,,,,,,,,,,
,7. Kurnool,2002 - 2003,,,,,,,1,5,5,,,,,,
,,2004 - 2005,,,,,,,142,"1,406.00",9.9,,,,,,
,,2008 - 2009,,,,,,,15,135,9,,,,,,
,,2009 - 2010,,,,,,,8,69,8.63,,,,,,
,,2010 - 2011,,,,,,,14,157,11.21,,,,,,
,,2011 - 2012,,,,,,,32,321,10.03,,,,,,
,,2012 - 2013,,,,25,440,17.6,,,,,,,,,
,,2013 - 2014,,,,17,244,14.35,,,,,,,,,
,,2014 - 2015,,,,7,121,17.29,,,,,,,,,
,,2015 - 2016,,,,43,500,11.63,,,,,,,,,
,,2016 - 2017,,,,22,202,9.18,,,,,,,,,
,,2017 - 2018,,,,4,44,11,,,,,,,,,
,,2020 - 2021,,,,1,19,19,,,,,,,,,
,,2021 - 2022,,,,17,402,23.65,,,,,,,,,
,,2022 - 2023,,,,1,21,21,,,,,,,,,
,8. Spsr nellore,2013 - 2014,,,,9,129,14.33,,,,,,,,,
,9. Sri sathya sai,2022 - 2023,1,21,21,29,367,12.66,,,,,,,,,
,10. Srikakulam,2000 - 2001,,,,,,,7,60,8.57,,,,,,
,,2001 - 2002,,,,,,,8,52,6.5,,,,,,
,,2014 - 2015,10,173,17.3,,,,,,,,,,,,
,11. Visakhapatanam,2000 - 2001,,,,,,,136,"1,163.00",8.55,,,,,,
,,2001 - 2002,,,,,,,173,"1,117.00",6.46,,,,,,
,,2002 - 2003,,,,,,,161,"1,398.00",8.68,,,,,,
,,2003 - 2004,,,,,,,201,"1,875.00",9.33,,,,,,
,,2004 - 2005,,,,,,,181,"1,791.00",9.9,,,,,,
,,2005 - 2006,,,,,,,138,"1,351.00",9.79,,,,,,
,,2006 - 2007,,,,,,,134,"1,134.00",8.46,,,,,,
,,2008 - 2009,,,,,,,95,857,9.02,,,,,,
,,2009 - 2010,,,,,,,36,311,8.64,,,,,,
,,2010 - 2011,,,,,,,96,"1,076.00",11.21,,,,,,
,,2011 - 2012,,,,,,,46,462,10.04,,,,,,
,,2012 - 2013,27,475,17.59,,,,,,,,,,,,
,,2013 - 2014,29,417,14.38,24,345,14.38,,,,,,,,,
,,2014 - 2015,24,415,17.29,27,467,17.3,,,,,,,,,
,,2015 - 2016,42,112,2.67,330,880,2.67,,,,,,,,,
,,2016 - 2017,39,358,9.18,322,"2,953.00",9.17,,,,,,,,,
,,2017 - 2018,59,162,2.75,62,170,2.74,,,,,,,,,
,,2018 - 2019,16,141,8.81,45,397,8.82,,,,,,,,,
,,2019 - 2020,70,605,8.64,85,734,8.64,,,,,,,,,
,,2020 - 2021,12,106,8.83,54,478,8.85,,,,,,,,,
,,2021 - 2022,30,265,8.83,24,212,8.83,,,,,,,,,
,12. Vizianagaram,2010 - 2011,,,,,,,2,22,11,,,,,,
,,2012 - 2013,,,,27,475,17.59,,,,,,,,,
2. Arunachal Pradesh,1. Anjaw,2004 - 2005,,,,,,,86,688,8,,,,,,
,,2005 - 2006,,,,,,,90,720,8,,,,,,
,,2006 - 2007,,,,,,,102,925,9.07,,,,,,
,,2007 - 2008,,,,,,,104,847,8.14,,,,,,
,,2008 - 2009,,,,,,,115,936,8.14,,,,,,
,,2009 - 2010,,,,,,,120,"1,080.00",9,,,,,,
