State,District,Year,Potato,,,,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Winter,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2005 - 2006,,,,,,,"4,600.00","95,500.00",20.76,,,,,,
,,2006 - 2007,,,,,,,"4,700.00","96,900.00",20.62,,,,,,
,,2007 - 2008,,,,,,,"4,000.00","82,500.00",20.63,,,,,,
,,2008 - 2009,,,,,,,"3,900.00","67,000.00",17.18,,,,,,
,,2009 - 2010,,,,,,,"3,000.00","49,300.00",16.43,,,,,,
,,2010 - 2011,,,,,,,"3,100.00","52,400.00",16.9,,,,,,
,,2011 - 2012,,,,,,,"4,000.00","87,300.00",21.83,,,,,,
,,2012 - 2013,,,,,,,"5,000.00","1,01,700.00",20.34,,,,,,
,,2013 - 2014,,,,,,,"3,571.00","78,948.00",22.11,,,,,,
,,2014 - 2015,,,,,,,"3,392.00","68,380.00",20.16,,,,,,
,,2015 - 2016,,,,,,,"3,277.00","55,126.00",16.82,,,,,,
,,2016 - 2017,,,,,,,"2,584.00","54,388.00",21.05,,,,,,
,,2017 - 2018,,,,,,,"1,557.00","32,089.00",20.61,,,,,,
,,2018 - 2019,,,,,,,"1,528.00","31,021.00",20.3,,,,,,
,,2019 - 2020,,,,,,,"1,590.00","32,363.00",20.35,,,,,,
,,2020 - 2021,,,,,,,"1,687.00","33,401.00",19.8,,,,,,
,,2021 - 2022,,,,,,,"1,440.00","27,852.00",19.34,,,,,,
,,2022 - 2023,,,,,,,"1,315.00","34,799.00",26.46,,,,,,
,4. Aravalli,2014 - 2015,,,,,,,"11,000.00","3,25,380.00",29.58,,,,,,
,,2015 - 2016,,,,,,,"21,930.00","5,40,289.00",24.64,,,,,,
,,2016 - 2017,,,,,,,"21,870.00","6,19,793.00",28.34,,,,,,
,,2017 - 2018,,,,,,,"20,320.00","5,39,482.00",26.55,,,,,,
,,2018 - 2019,,,,,,,"18,768.00","6,32,082.00",33.68,,,,,,
,,2019 - 2020,,,,,,,"18,014.00","4,95,288.00",27.49,,,,,,
,,2020 - 2021,,,,,,,"19,247.00","6,85,750.00",35.63,,,,,,
,,2021 - 2022,,,,,,,"17,513.00","6,39,646.00",36.52,,,,,,
,,2022 - 2023,,,,,,,"15,574.00","4,63,561.00",29.77,,,,,,
,5. Banas kantha,2000 - 2001,,,,,,,"15,300.00","3,96,400.00",25.91,,,,,,
,,2001 - 2002,,,,,,,"14,300.00","4,38,600.00",30.67,,,,,,
,,2002 - 2003,,,,,,,"16,500.00","4,33,100.00",26.25,,,,,,
,,2003 - 2004,,,,,,,"13,000.00","3,64,900.00",28.07,,,,,,
,,2004 - 2005,,,,,,,"22,500.00","6,78,900.00",30.17,,,,,,
,,2005 - 2006,,,,,,,"21,800.00","6,75,600.00",30.99,,,,,,
,,2006 - 2007,,,,,,,"23,300.00","4,94,400.00",21.22,,,,,,
,,2007 - 2008,,,,,,,"31,900.00","8,67,700.00",27.2,,,,,,
,,2008 - 2009,,,,,,,"25,100.00","5,99,400.00",23.88,,,,,,
,,2009 - 2010,,,,,,,"21,100.00","5,14,900.00",24.4,,,,,,
,,2010 - 2011,,,,,,,"25,600.00","6,63,000.00",25.9,,,,,,
,,2011 - 2012,,,,,,,"39,900.00","9,43,000.00",23.63,,,,,,
,,2012 - 2013,,,,,,,"39,400.00","10,21,700.00",25.93,,,,,,
,,2013 - 2014,,,,,,,"31,424.00","8,70,225.00",27.69,,,,,,
,,2014 - 2015,,,,,,,"52,835.00","13,43,251.00",25.42,,,,,,
,,2015 - 2016,,,,,,,"52,332.00","14,47,126.00",27.65,,,,,,
,,2016 - 2017,,,,,,,"76,170.00","19,85,096.00",26.06,,,,,,
,,2017 - 2018,,,,,,,"78,132.00","23,90,817.00",30.6,,,,,,
,,2018 - 2019,,,,,,,"68,143.00","20,26,905.00",29.74,,,,,,
,,2019 - 2020,,,,,,,"62,960.00","19,29,981.00",30.65,,,,,,
,,2020 - 2021,,,,,,,"59,903.00","18,42,039.00",30.75,,,,,,
,,2021 - 2022,,,,,,,"58,902.00","17,98,232.00",30.53,,,,,,
,,2022 - 2023,,,,,,,"1,035.00","26,242.00",25.35,,,,,,
,6. Devbhumi dwarka,2014 - 2015,,,,,,,40,"1,027.00",25.68,,,,,,
,,2015 - 2016,,,,,,,30,762,25.4,,,,,,
,,2016 - 2017,,,,,,,175,"4,490.00",25.66,,,,,,
,,2017 - 2018,,,,,,,170,"4,893.00",28.78,,,,,,
,,2018 - 2019,,,,,,,15,452,30.13,,,,,,
,,2019 - 2020,,,,,,,275,"8,314.00",30.23,,,,,,
,,2020 - 2021,,,,,,,160,"4,993.00",31.21,,,,,,
,,2021 - 2022,,,,,,,132,"4,079.00",30.9,,,,,,
,,2022 - 2023,,,,,,,141,"4,480.00",31.77,,,,,,
,7. Dohad,2014 - 2015,,,,,,,"1,000.00","25,669.00",25.67,,,,,,
,,2018 - 2019,,,,,,,2,60,30,,,,,,
,8. Gandhinagar,2000 - 2001,,,,,,,600,"11,500.00",19.17,,,,,,
,,2001 - 2002,,,,,,,500,"11,500.00",23,,,,,,
,,2002 - 2003,,,,,,,600,"13,900.00",23.17,,,,,,
,,2003 - 2004,,,,,,,"3,600.00","73,300.00",20.36,,,,,,
,,2004 - 2005,,,,,,,"2,200.00","52,600.00",23.91,,,,,,
,,2005 - 2006,,,,,,,"4,800.00","1,09,300.00",22.77,,,,,,
,,2006 - 2007,,,,,,,"3,800.00","93,600.00",24.63,,,,,,
,,2007 - 2008,,,,,,,"5,900.00","1,51,800.00",25.73,,,,,,
,,2008 - 2009,,,,,,,"5,700.00","1,18,700.00",20.82,,,,,,
,,2009 - 2010,,,,,,,"5,100.00","1,15,300.00",22.61,,,,,,
,,2010 - 2011,,,,,,,"5,200.00","1,26,800.00",24.38,,,,,,
,,2011 - 2012,,,,,,,"3,400.00","88,500.00",26.03,,,,,,
,,2012 - 2013,,,,,,,"5,900.00","1,47,500.00",25,,,,,,
,,2013 - 2014,,,,,,,"8,001.00","1,97,609.00",24.7,,,,,,
,,2014 - 2015,,,,,,,"8,465.00","2,45,281.00",28.98,,,,,,
,,2015 - 2016,,,,,,,"6,720.00","1,74,121.00",25.91,,,,,,
,,2016 - 2017,,,,,,,"8,405.00","2,00,408.00",23.84,,,,,,
,,2017 - 2018,,,,,,,"7,238.00","1,99,753.00",27.6,,,,,,
,,2018 - 2019,,,,,,,"9,613.00","2,83,339.00",29.47,,,,,,
,,2019 - 2020,,,,,,,"9,662.00","3,08,769.00",31.96,,,,,,
,,2020 - 2021,,,,,,,"12,134.00","3,71,666.00",30.63,,,,,,
,,2021 - 2022,,,,,,,"12,677.00","3,74,162.00",29.52,,,,,,
,,2022 - 2023,,,,,,,115,"3,654.00",31.77,,,,,,
,9. Gir somnath,2021 - 2022,,,,,,,2,62,31,,,,,,
,10. Jamnagar,2000 - 2001,,,,,,,100,"2,800.00",28,,,,,,
,,2002 - 2003,,,,,,,100,"1,600.00",16,,,,,,
,,2003 - 2004,,,,,,,400,"9,100.00",22.75,,,,,,
,,2004 - 2005,,,,,,,700,"18,300.00",26.14,,,,,,
,,2005 - 2006,,,,,,,"1,000.00","28,400.00",28.4,,,,,,
,,2006 - 2007,,,,,,,"1,000.00","20,500.00",20.5,,,,,,
,,2007 - 2008,,,,,,,"1,200.00","28,600.00",23.83,,,,,,
,,2008 - 2009,,,,,,,"1,100.00","23,000.00",20.91,,,,,,
,,2009 - 2010,,,,,,,900,"18,800.00",20.89,,,,,,
,,2010 - 2011,,,,,,,"1,100.00","25,600.00",23.27,,,,,,
,,2011 - 2012,,,,,,,"1,000.00","21,800.00",21.8,,,,,,
,,2012 - 2013,,,,,,,100,"3,100.00",31,,,,,,
,,2013 - 2014,,,,,,,668,"17,741.00",26.56,,,,,,
,,2014 - 2015,,,,,,,10,257,25.7,,,,,,
,,2016 - 2017,,,,,,,15,385,25.67,,,,,,
,,2017 - 2018,,,,,,,130,"3,741.00",28.78,,,,,,
,,2020 - 2021,,,,,,,1,31,31,,,,,,
,,2021 - 2022,,,,,,,2,62,31,,,,,,
,11. Kachchh,2000 - 2001,,,,,,,200,"4,800.00",24,,,,,,
,,2001 - 2002,,,,,,,100,"2,700.00",27,,,,,,
,,2002 - 2003,,,,,,,200,"4,200.00",21,,,,,,
,,2003 - 2004,,,,,,,200,"3,800.00",19,,,,,,
,,2005 - 2006,,,,,,,300,"10,000.00",33.33,,,,,,
,,2006 - 2007,,,,,,,400,"7,600.00",19,,,,,,
,,2007 - 2008,,,,,,,400,"9,400.00",23.5,,,,,,
,,2008 - 2009,,,,,,,200,"5,500.00",27.5,,,,,,
,,2009 - 2010,,,,,,,100,"1,000.00",10,,,,,,
,,2010 - 2011,,,,,,,300,"6,500.00",21.67,,,,,,
,,2011 - 2012,,,,,,,300,"5,700.00",19,,,,,,
,,2012 - 2013,,,,,,,100,"2,100.00",21,,,,,,
,,2013 - 2014,,,,,,,111,"2,948.00",26.56,,,,,,
,,2014 - 2015,,,,,,,126,"3,234.00",25.67,,,,,,
,,2015 - 2016,,,,,,,52,"1,321.00",25.4,,,,,,
,,2016 - 2017,,,,,,,132,"3,387.00",25.66,,,,,,
,,2017 - 2018,,,,,,,15,432,28.8,,,,,,
,,2018 - 2019,,,,,,,20,602,30.1,,,,,,
,,2019 - 2020,,,,,,,8,242,30.25,,,,,,
,,2022 - 2023,,,,,,,"53,548.00","17,36,312.00",32.43,,,,,,
,12. Kheda,2000 - 2001,,,,,,,"6,400.00","1,08,600.00",16.97,,,,,,
,,2001 - 2002,,,,,,,"6,500.00","1,26,200.00",19.42,,,,,,
,,2002 - 2003,,,,,,,"8,700.00","1,54,400.00",17.75,,,,,,
,,2003 - 2004,,,,,,,"3,300.00","65,100.00",19.73,,,,,,
,,2004 - 2005,,,,,,,"3,900.00","1,09,400.00",28.05,,,,,,
,,2005 - 2006,,,,,,,"4,800.00","1,31,200.00",27.33,,,,,,
,,2006 - 2007,,,,,,,"5,900.00","1,10,000.00",18.64,,,,,,
,,2007 - 2008,,,,,,,"7,400.00","1,68,900.00",22.82,,,,,,
,,2008 - 2009,,,,,,,"6,600.00","1,10,000.00",16.67,,,,,,
,,2009 - 2010,,,,,,,"5,800.00","95,400.00",16.45,,,,,,
,,2010 - 2011,,,,,,,"4,700.00","92,000.00",19.57,,,,,,
,,2011 - 2012,,,,,,,"4,300.00","99,100.00",23.05,,,,,,
,,2012 - 2013,,,,,,,"4,100.00","81,900.00",19.98,,,,,,
,,2013 - 2014,,,,,,,"3,888.00","93,081.00",23.94,,,,,,
,,2014 - 2015,,,,,,,"5,376.00","1,39,072.00",25.87,,,,,,
,,2015 - 2016,,,,,,,"6,040.00","1,19,174.00",19.73,,,,,,
,,2016 - 2017,,,,,,,"6,305.00","1,31,821.00",20.91,,,,,,
,,2017 - 2018,,,,,,,"5,998.00","1,22,526.00",20.43,,,,,,
,,2018 - 2019,,,,,,,"5,317.00","1,21,553.00",22.86,,,,,,
,,2019 - 2020,,,,,,,"5,091.00","1,41,587.00",27.81,,,,,,
,,2020 - 2021,,,,,,,"4,158.00","1,05,375.00",25.34,,,,,,
,,2021 - 2022,,,,,,,"4,838.00","1,26,454.00",26.14,,,,,,
,,2022 - 2023,,,,,,,"4,923.00","1,40,409.00",28.52,,,,,,
,13. Mahesana,2000 - 2001,,,,,,,"5,600.00","1,02,800.00",18.36,,,,,,
,,2001 - 2002,,,,,,,"4,500.00","82,600.00",18.36,,,,,,
,,2002 - 2003,,,,,,,"4,800.00","78,800.00",16.42,,,,,,
,,2003 - 2004,,,,,,,"2,800.00","61,100.00",21.82,,,,,,
,,2004 - 2005,,,,,,,"2,300.00","53,500.00",23.26,,,,,,
,,2005 - 2006,,,,,,,"2,700.00","71,200.00",26.37,,,,,,
,,2006 - 2007,,,,,,,"4,100.00","92,200.00",22.49,,,,,,
,,2007 - 2008,,,,,,,"5,400.00","1,42,900.00",26.46,,,,,,
,,2008 - 2009,,,,,,,"4,800.00","95,100.00",19.81,,,,,,
,,2009 - 2010,,,,,,,"4,000.00","85,100.00",21.28,,,,,,
,,2010 - 2011,,,,,,,"5,100.00","1,22,300.00",23.98,,,,,,
,,2011 - 2012,,,,,,,"8,700.00","2,22,100.00",25.53,,,,,,
,,2012 - 2013,,,,,,,"6,800.00","1,75,200.00",25.76,,,,,,
,,2013 - 2014,,,,,,,"6,287.00","1,70,881.00",27.18,,,,,,
,,2014 - 2015,,,,,,,"6,551.00","1,58,408.00",24.18,,,,,,
,,2015 - 2016,,,,,,,"6,201.00","1,48,464.00",23.94,,,,,,
,,2016 - 2017,,,,,,,"7,869.00","1,92,680.00",24.49,,,,,,
,,2017 - 2018,,,,,,,"7,588.00","1,96,468.00",25.89,,,,,,
,,2018 - 2019,,,,,,,"7,732.00","2,37,388.00",30.7,,,,,,
,,2019 - 2020,,,,,,,"7,321.00","2,22,137.00",30.34,,,,,,
,,2020 - 2021,,,,,,,"8,261.00","2,46,161.00",29.8,,,,,,
,,2021 - 2022,,,,,,,"8,569.00","2,45,056.00",28.6,,,,,,
,,2022 - 2023,,,,,,,"24,661.00","8,02,013.00",32.52,,,,,,
,14. Mahisagar,2014 - 2015,,,,,,,167,"4,287.00",25.67,,,,,,
,,2015 - 2016,,,,,,,93,"2,362.00",25.4,,,,,,
,,2016 - 2017,,,,,,,163,"4,182.00",25.66,,,,,,
,,2017 - 2018,,,,,,,33,950,28.79,,,,,,
,,2018 - 2019,,,,,,,86,"2,589.00",30.1,,,,,,
,,2019 - 2020,,,,,,,278,"8,405.00",30.23,,,,,,
,,2020 - 2021,,,,,,,154,"4,806.00",31.21,,,,,,
,,2021 - 2022,,,,,,,148,"4,574.00",30.91,,,,,,
,,2022 - 2023,,,,,,,136,"4,321.00",31.77,,,,,,
,15. Panch mahals,2005 - 2006,,,,,,,100,"1,700.00",17,,,,,,
,,2006 - 2007,,,,,,,100,"1,900.00",19,,,,,,
,,2007 - 2008,,,,,,,100,"3,100.00",31,,,,,,
,,2008 - 2009,,,,,,,100,"2,500.00",25,,,,,,
,,2009 - 2010,,,,,,,600,"13,300.00",22.17,,,,,,
,,2010 - 2011,,,,,,,200,"3,700.00",18.5,,,,,,
,,2011 - 2012,,,,,,,300,"7,300.00",24.33,,,,,,
,,2012 - 2013,,,,,,,100,"1,100.00",11,,,,,,
,,2013 - 2014,,,,,,,56,"1,487.00",26.55,,,,,,
,,2015 - 2016,,,,,,,25,635,25.4,,,,,,
,,2016 - 2017,,,,,,,65,"1,668.00",25.66,,,,,,
,,2017 - 2018,,,,,,,35,"1,007.00",28.77,,,,,,
,,2019 - 2020,,,,,,,10,302,30.2,,,,,,
,,2020 - 2021,,,,,,,2,62,31,,,,,,
,,2022 - 2023,,,,,,,10,318,31.8,,,,,,
,16. Patan,2003 - 2004,,,,,,,100,"2,600.00",26,,,,,,
,,2004 - 2005,,,,,,,100,"3,000.00",30,,,,,,
,,2005 - 2006,,,,,,,100,"3,300.00",33,,,,,,
,,2006 - 2007,,,,,,,200,"4,200.00",21,,,,,,
,,2007 - 2008,,,,,,,300,"6,300.00",21,,,,,,
,,2008 - 2009,,,,,,,300,"6,100.00",20.33,,,,,,
,,2009 - 2010,,,,,,,500,"10,900.00",21.8,,,,,,
,,2010 - 2011,,,,,,,700,"15,700.00",22.43,,,,,,
,,2011 - 2012,,,,,,,700,"15,900.00",22.71,,,,,,
,,2012 - 2013,,,,,,,500,"11,400.00",22.8,,,,,,
,,2013 - 2014,,,,,,,580,"15,404.00",26.56,,,,,,
,,2014 - 2015,,,,,,,841,"21,587.00",25.67,,,,,,
,,2015 - 2016,,,,,,,873,"22,175.00",25.4,,,,,,
,,2016 - 2017,,,,,,,"1,060.00","27,196.00",25.66,,,,,,
,,2017 - 2018,,,,,,,630,"17,141.00",27.21,,,,,,
,,2018 - 2019,,,,,,,767,"19,012.00",24.79,,,,,,
,,2019 - 2020,,,,,,,627,"16,498.00",26.31,,,,,,
,,2020 - 2021,,,,,,,830,"22,528.00",27.14,,,,,,
,,2021 - 2022,,,,,,,698,"18,699.00",26.79,,,,,,
,,2022 - 2023,,,,,,,"10,572.00","3,00,520.00",28.43,,,,,,
,17. Rajkot,2011 - 2012,,,,,,,100,"1,300.00",13,,,,,,
,,2021 - 2022,,,,,,,1,31,31,,,,,,
,18. Sabar kantha,2000 - 2001,,,,,,,"2,100.00","37,400.00",17.81,,,,,,
,,2001 - 2002,,,,,,,"3,700.00","81,700.00",22.08,,,,,,
,,2002 - 2003,,,,,,,"3,400.00","60,600.00",17.82,,,,,,
,,2003 - 2004,,,,,,,"3,400.00","63,000.00",18.53,,,,,,
,,2004 - 2005,,,,,,,"3,800.00","87,900.00",23.13,,,,,,
,,2005 - 2006,,,,,,,"4,100.00","1,04,400.00",25.46,,,,,,
,,2006 - 2007,,,,,,,"7,800.00","1,49,600.00",19.18,,,,,,
,,2007 - 2008,,,,,,,"13,500.00","2,79,900.00",20.73,,,,,,
,,2008 - 2009,,,,,,,"7,600.00","1,36,300.00",17.93,,,,,,
,,2009 - 2010,,,,,,,"5,800.00","75,800.00",13.07,,,,,,
,,2010 - 2011,,,,,,,"8,800.00","1,68,200.00",19.11,,,,,,
,,2011 - 2012,,,,,,,"14,700.00","2,92,100.00",19.87,,,,,,
,,2012 - 2013,,,,,,,"9,100.00","2,34,300.00",25.75,,,,,,
,,2013 - 2014,,,,,,,"16,875.00","4,49,612.00",26.64,,,,,,
,,2014 - 2015,,,,,,,"10,400.00","2,36,117.00",22.7,,,,,,
,,2015 - 2016,,,,,,,"11,335.00","2,54,413.00",22.44,,,,,,
,,2016 - 2017,,,,,,,"9,347.00","2,16,658.00",23.18,,,,,,
,,2017 - 2018,,,,,,,"8,155.00","2,32,177.00",28.47,,,,,,
,,2018 - 2019,,,,,,,"9,209.00","2,93,108.00",31.83,,,,,,
,,2019 - 2020,,,,,,,"12,195.00","4,04,616.00",33.18,,,,,,
,,2020 - 2021,,,,,,,"18,571.00","5,87,340.00",31.63,,,,,,
,,2021 - 2022,,,,,,,"22,587.00","7,01,577.00",31.06,,,,,,
,,2022 - 2023,,,,,,,"19,238.00","6,54,368.00",34.01,,,,,,
,19. Surat,2011 - 2012,,,,,,,100,"1,400.00",14,,,,,,
,,2018 - 2019,,,,,,,2,60,30,,,,,,
,20. Surendranagar,2009 - 2010,,,,,,,100,"1,600.00",16,,,,,,
,,2012 - 2013,,,,,,,100,"2,000.00",20,,,,,,
,,2013 - 2014,,,,,,,25,664,26.56,,,,,,
,,2014 - 2015,,,,,,,60,"1,540.00",25.67,,,,,,
,,2015 - 2016,,,,,,,30,762,25.4,,,,,,
,,2016 - 2017,,,,,,,30,770,25.67,,,,,,
,,2017 - 2018,,,,,,,10,288,28.8,,,,,,
,21. Vadodara,2000 - 2001,,,,,,,500,"10,600.00",21.2,,,,,,
,,2001 - 2002,,,,,,,600,"13,000.00",21.67,,,,,,
,,2002 - 2003,,,,,,,600,"12,600.00",21,,,,,,
,,2003 - 2004,,,,,,,700,"15,700.00",22.43,,,,,,
,,2004 - 2005,,,,,,,500,"14,800.00",29.6,,,,,,
,,2005 - 2006,,,,,,,300,"7,700.00",25.67,,,,,,
,,2006 - 2007,,,,,,,400,"7,500.00",18.75,,,,,,
,,2007 - 2008,,,,,,,800,"21,000.00",26.25,,,,,,
,,2008 - 2009,,,,,,,400,"7,800.00",19.5,,,,,,
,,2009 - 2010,,,,,,,300,"6,500.00",21.67,,,,,,
,,2010 - 2011,,,,,,,300,"6,500.00",21.67,,,,,,
,,2011 - 2012,,,,,,,300,"6,800.00",22.67,,,,,,
,,2012 - 2013,,,,,,,300,"7,200.00",24,,,,,,
,,2013 - 2014,,,,,,,"7,660.00","2,03,442.00",26.56,,,,,,
,,2014 - 2015,,,,,,,220,"5,647.00",25.67,,,,,,
,,2015 - 2016,,,,,,,250,"6,350.00",25.4,,,,,,
,,2016 - 2017,,,,,,,70,"1,796.00",25.66,,,,,,
,,2017 - 2018,,,,,,,334,"9,613.00",28.78,,,,,,
,,2018 - 2019,,,,,,,247,"7,435.00",30.1,,,,,,
,,2019 - 2020,,,,,,,242,"7,317.00",30.24,,,,,,
,,2020 - 2021,,,,,,,184,"5,742.00",31.21,,,,,,
,,2021 - 2022,,,,,,,197,"6,088.00",30.9,,,,,,
,,2022 - 2023,,,,,,,161,"5,116.00",31.78,,,,,,
9. Haryana,1. Ambala,2000 - 2001,,,,,,,"1,882.00","29,600.00",15.73,,,,,,
,,2001 - 2002,,,,,,,"1,698.00","37,500.00",22.08,,,,,,
,,2002 - 2003,,,,,,,"2,300.00","62,400.00",27.13,,,,,,
,,2003 - 2004,,,,,,,"1,221.00","33,000.00",27.03,,,,,,
,,2004 - 2005,,,,,,,"2,019.00","54,500.00",26.99,,,,,,
,,2005 - 2006,,,,,,,"2,654.00","71,600.00",26.98,,,,,,
,,2006 - 2007,,,,,,,"2,690.00","72,600.00",26.99,,,,,,
,,2007 - 2008,,,,,,,"1,947.00","24,100.00",12.38,,,,,,
,,2008 - 2009,,,,,,,"2,150.00","23,000.00",10.7,,,,,,
,,2009 - 2010,,,,,,,"1,698.00","26,600.00",15.67,,,,,,
,,2010 - 2011,,,,,,,"1,662.00","33,400.00",20.1,,,,,,
,,2011 - 2012,,,,,,,"1,874.00","41,300.00",22.04,,,,,,
,,2012 - 2013,,,,,,,"1,817.00","43,700.00",24.05,,,,,,
,,2013 - 2014,,,,,,,"2,360.00","57,258.00",24.26,,,,,,
,,2014 - 2015,,,,,,,"2,316.00","54,427.00",23.5,,,,,,
,,2015 - 2016,,,,,,,"2,335.00","54,449.00",23.32,,,,,,
,,2016 - 2017,,,,,,,"2,316.00","54,562.00",23.56,,,,,,
,,2017 - 2018,,,,,,,"3,153.00","83,457.00",26.47,,,,,,
,,2018 - 2019,,,,,,,"3,500.00","99,987.00",28.57,,,,,,
,,2019 - 2020,,,,,,,"3,900.00","91,700.00",23.51,,,,,,
,,2021 - 2022,,,,,,,"8,274.00","1,94,439.00",23.5,,,,,,
,2. Bhiwani,2000 - 2001,,,,,,,11,200,18.18,,,,,,
,,2001 - 2002,,,,,,,"1,225.00","23,700.00",19.35,,,,,,
,,2007 - 2008,,,,,,,2,,0,,,,,,
,,2013 - 2014,,,,,,,135,"3,137.00",23.24,,,,,,
,,2014 - 2015,,,,,,,177,"4,244.00",23.98,,,,,,
,,2015 - 2016,,,,,,,223,"5,555.00",24.91,,,,,,
,,2016 - 2017,,,,,,,177,"4,244.00",23.98,,,,,,
,,2017 - 2018,,,,,,,420,"10,858.00",25.85,,,,,,
,,2018 - 2019,,,,,,,210,"5,428.00",25.85,,,,,,
,,2019 - 2020,,,,,,,311,"7,886.00",25.36,,,,,,
,3. Charki dadri,2018 - 2019,,,,,,,40,"1,034.00",25.85,,,,,,
,,2019 - 2020,,,,,,,15,398,26.53,,,,,,
,4. Faridabad,2000 - 2001,,,,,,,66,"1,000.00",15.15,,,,,,
,,2001 - 2002,,,,,,,214,"4,400.00",20.56,,,,,,
,,2002 - 2003,,,,,,,347,"6,600.00",19.02,,,,,,
,,2003 - 2004,,,,,,,251,"4,900.00",19.52,,,,,,
,,2004 - 2005,,,,,,,255,"4,800.00",18.82,,,,,,
,,2005 - 2006,,,,,,,249,"4,700.00",18.88,,,,,,
,,2006 - 2007,,,,,,,183,"3,500.00",19.13,,,,,,
,,2008 - 2009,,,,,,,85,"1,900.00",22.35,,,,,,
,,2009 - 2010,,,,,,,74,"1,600.00",21.62,,,,,,
,,2013 - 2014,,,,,,,200,"4,007.00",20.04,,,,,,
,,2014 - 2015,,,,,,,166,"3,981.00",23.98,,,,,,
,,2015 - 2016,,,,,,,180,"4,484.00",24.91,,,,,,
,,2016 - 2017,,,,,,,465,"9,044.00",19.45,,,,,,
,,2017 - 2018,,,,,,,50,"1,293.00",25.86,,,,,,
,,2018 - 2019,,,,,,,118,"2,301.00",19.5,,,,,,
,,2019 - 2020,,,,,,,244,"4,855.00",19.9,,,,,,
,5. Fatehabad,2000 - 2001,,,,,,,459,"7,200.00",15.69,,,,,,
,,2001 - 2002,,,,,,,279,"6,300.00",22.58,,,,,,
,,2002 - 2003,,,,,,,255,"6,500.00",25.49,,,,,,
,,2003 - 2004,,,,,,,345,"8,800.00",25.51,,,,,,
,,2004 - 2005,,,,,,,252,"6,500.00",25.79,,,,,,
,,2005 - 2006,,,,,,,363,"9,300.00",25.62,,,,,,
,,2006 - 2007,,,,,,,349,"8,900.00",25.5,,,,,,
,,2007 - 2008,,,,,,,360,"5,700.00",15.83,,,,,,
,,2008 - 2009,,,,,,,129,"3,700.00",28.68,,,,,,
,,2009 - 2010,,,,,,,119,"2,800.00",23.53,,,,,,
,,2010 - 2011,,,,,,,320,"9,400.00",29.38,,,,,,
,,2011 - 2012,,,,,,,197,"3,900.00",19.8,,,,,,
,,2012 - 2013,,,,,,,225,"4,700.00",20.89,,,,,,
,,2013 - 2014,,,,,,,425,"10,679.00",25.13,,,,,,
,,2014 - 2015,,,,,,,423,"9,750.00",23.05,,,,,,
,,2015 - 2016,,,,,,,460,"12,082.00",26.27,,,,,,
,,2016 - 2017,,,,,,,438,"11,827.00",27,,,,,,
,,2017 - 2018,,,,,,,475,"12,255.00",25.8,,,,,,
,,2018 - 2019,,,,,,,480,"12,960.00",27,,,,,,
,,2019 - 2020,,,,,,,536,"14,229.00",26.55,,,,,,
,,2021 - 2022,,,,,,,"1,210.00","17,545.00",14.5,,,,,,
,6. Gurgaon,2000 - 2001,,,,,,,27,500,18.52,,,,,,
,,2001 - 2002,,,,,,,16,400,25,,,,,,
,,2002 - 2003,,,,,,,8,200,25,,,,,,
,,2006 - 2007,,,,,,,2,,0,,,,,,
,,2010 - 2011,,,,,,,3,100,33.33,,,,,,
,,2011 - 2012,,,,,,,12,300,25,,,,,,
,,2013 - 2014,,,,,,,110,"2,556.00",23.24,,,,,,
,,2014 - 2015,,,,,,,150,"3,597.00",23.98,,,,,,
,,2015 - 2016,,,,,,,160,"3,986.00",24.91,,,,,,
,,2016 - 2017,,,,,,,136,"3,248.00",23.88,,,,,,
,,2017 - 2018,,,,,,,80,"2,068.00",25.85,,,,,,
,,2018 - 2019,,,,,,,70,"1,809.00",25.84,,,,,,
,,2019 - 2020,,,,,,,110,"2,737.00",24.88,,,,,,
,7. Hisar,2000 - 2001,,,,,,,272,"4,300.00",15.81,,,,,,
,,2001 - 2002,,,,,,,86,"1,600.00",18.6,,,,,,
,,2002 - 2003,,,,,,,174,"3,000.00",17.24,,,,,,
,,2003 - 2004,,,,,,,254,"4,500.00",17.72,,,,,,
,,2004 - 2005,,,,,,,200,"3,500.00",17.5,,,,,,
,,2005 - 2006,,,,,,,157,"2,700.00",17.2,,,,,,
,,2006 - 2007,,,,,,,216,"3,800.00",17.59,,,,,,
,,2007 - 2008,,,,,,,250,"4,200.00",16.8,,,,,,
,,2008 - 2009,,,,,,,76,"1,100.00",14.47,,,,,,
,,2009 - 2010,,,,,,,173,"3,200.00",18.5,,,,,,
,,2010 - 2011,,,,,,,151,"2,500.00",16.56,,,,,,
,,2011 - 2012,,,,,,,229,"3,200.00",13.97,,,,,,
,,2012 - 2013,,,,,,,145,"3,400.00",23.45,,,,,,
,,2013 - 2014,,,,,,,395,"9,480.00",24,,,,,,
,,2014 - 2015,,,,,,,420,"10,071.00",23.98,,,,,,
,,2015 - 2016,,,,,,,500,"12,350.00",24.7,,,,,,
