State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,"14,103.00","45,637.00",3.24,"1,32,056.00","82,799.00",0.63,,,,,,,,,,,,
,,2012 - 2013,"15,000.00","40,000.00",2.67,"1,35,000.00","87,000.00",0.64,,,,,,,,,,,,
,,2013 - 2014,"12,051.00","32,863.00",2.73,"1,43,027.00","1,42,455.00",1,,,,,,,,,,,,
,,2014 - 2015,"8,830.00","23,002.00",2.6,"1,22,578.00","72,811.00",0.59,,,,,,,,,,,,
,,2015 - 2016,"12,180.00","33,227.00",2.73,"1,14,394.00","1,30,867.00",1.14,,,,,,,,,,,,
,,2016 - 2017,"14,374.00","48,081.00",3.34,"1,33,124.00","71,887.00",0.54,,,,,,,,,,,,
,,2017 - 2018,"14,484.00","48,927.00",3.38,"1,15,048.00","2,14,449.00",1.86,,,,,,,,,,,,
,,2018 - 2019,"10,478.00","32,618.00",3.11,"99,275.00","89,645.00",0.9,,,,,,,,,,,,
,,2019 - 2020,"12,523.00","38,195.00",3.05,"95,746.00","1,65,832.00",1.73,,,,,,,,,,,,
,,2020 - 2021,"10,087.00","26,922.00",2.67,"1,22,977.00","1,27,404.00",1.04,,,,,,,,,,,,
,,2021 - 2022,"9,490.00","28,593.00",3.01,"93,394.00","1,07,870.00",1.15,,,,,,,,,,,,
,,2022 - 2023,"2,946.00","5,574.00",1.89,"34,308.00","53,418.00",1.56,,,,,,,,,,,,
,7. East godavari,2000 - 2001,766,"1,206.00",1.57,344,354,1.03,,,,,,,,,,,,
,,2001 - 2002,494,979,1.98,140,72,0.51,,,,,,,,,,,,
,,2002 - 2003,526,920,1.75,50,48,0.96,,,,,,,,,,,,
,,2003 - 2004,580,977,1.68,125,120,0.96,,,,,,,,,,,,
,,2004 - 2005,434,897,2.07,60,58,0.97,,,,,,,,,,,,
,,2005 - 2006,546,"1,289.00",2.36,85,95,1.12,,,,,,,,,,,,
,,2006 - 2007,407,963,2.37,122,118,0.97,,,,,,,,,,,,
,,2008 - 2009,451,"1,011.00",2.24,35,42,1.2,,,,,,,,,,,,
,,2009 - 2010,479,"1,197.00",2.5,89,99,1.11,,,,,,,,,,,,
,,2010 - 2011,290,635,2.19,66,82,1.24,,,,,,,,,,,,
,,2011 - 2012,227,544,2.4,47,66,1.4,,,,,,,,,,,,
,,2013 - 2014,127,328,2.58,61,114,1.87,,,,,,,,,,,,
,,2014 - 2015,338,"1,099.00",3.25,27,44,1.63,,,,,,,,,,,,
,,2015 - 2016,300,876,2.92,57,119,2.09,,,,,,,,,,,,
,,2016 - 2017,266,821,3.09,45,101,2.24,,,,,,,,,,,,
,,2017 - 2018,157,494,3.15,7,18,2.57,,,,,,,,,,,,
,,2018 - 2019,181,530,2.93,,,,,,,,,,,,,,,
,,2019 - 2020,142,419,2.95,9,27,3,,,,,,,,,,,,
,,2020 - 2021,234,717,3.06,12,41,3.42,,,,,,,,,,,,
,,2021 - 2022,216,718,3.32,11,35,3.18,,,,,,,,,,,,
,,2022 - 2023,206,640,3.11,280,867,3.1,,,,,,,,,,,,
,8. Eluru,2022 - 2023,"1,012.00","4,034.00",3.99,774,"2,512.00",3.25,,,,,,,,,,,,
,9. Guntur,2000 - 2001,"3,984.00","8,956.00",2.25,255,278,1.09,,,,,,,,,,,,
,,2001 - 2002,"5,092.00","12,954.00",2.54,189,138,0.73,,,,,,,,,,,,
,,2002 - 2003,"3,624.00","7,802.00",2.15,161,141,0.88,,,,,,,,,,,,
,,2003 - 2004,"8,348.00","11,178.00",1.34,265,254,0.96,,,,,,,,,,,,
,,2004 - 2005,"4,585.00","11,582.00",2.53,184,176,0.96,,,,,,,,,,,,
,,2005 - 2006,"4,834.00","16,262.00",3.36,235,263,1.12,,,,,,,,,,,,
,,2006 - 2007,"3,690.00","8,310.00",2.25,178,173,0.97,,,,,,,,,,,,
,,2007 - 2008,"7,000.00","9,000.00",1.29,,,,,,,,,,,,,,,
,,2008 - 2009,"4,950.00","12,251.00",2.47,292,350,1.2,,,,,,,,,,,,
,,2009 - 2010,"3,588.00","9,914.00",2.76,256,284,1.11,,,,,,,,,,,,
,,2010 - 2011,"4,389.00","13,092.00",2.98,357,442,1.24,,,,,,,,,,,,
,,2011 - 2012,"4,750.00","13,775.00",2.9,341,477,1.4,,,,,,,,,,,,
,,2012 - 2013,"7,000.00","13,000.00",1.86,,,,,,,,,,,,,,,
,,2013 - 2014,"4,689.00","16,791.00",3.58,510,955,1.87,,,,,,,,,,,,
,,2014 - 2015,"3,839.00","19,771.00",5.15,804,"1,298.00",1.61,,,,,,,,,,,,
,,2015 - 2016,"2,333.00","8,548.00",3.66,559,"1,168.00",2.09,,,,,,,,,,,,
,,2016 - 2017,"3,043.00","10,450.00",3.43,698,"1,572.00",2.25,,,,,,,,,,,,
,,2017 - 2018,"3,320.00","15,040.00",4.53,584,"1,465.00",2.51,,,,,,,,,,,,
,,2018 - 2019,"2,210.00","8,692.00",3.93,597,"1,732.00",2.9,,,,,,,,,,,,
,,2019 - 2020,"2,821.00","10,491.00",3.72,390,"1,190.00",3.05,,,,,,,,,,,,
,,2020 - 2021,"3,562.00","15,541.00",4.36,434,"1,568.00",3.61,,,,,,,,,,,,
,,2021 - 2022,"4,724.00","22,727.00",4.81,328,"1,427.00",4.35,,,,,,,,,,,,
,,2022 - 2023,2,8,4,16,50,3.13,,,,,,,,,,,,
,10. Kadapa,2000 - 2001,"26,324.00","32,589.00",1.24,"1,50,521.00","1,74,153.00",1.16,,,,,,,,,,,,
,,2001 - 2002,"20,282.00","34,824.00",1.72,"1,19,708.00","43,693.00",0.36,,,,,,,,,,,,
,,2002 - 2003,"18,282.00","24,772.00",1.35,"87,896.00","11,778.00",0.13,,,,,,,,,,,,
,,2003 - 2004,"19,746.00","33,430.00",1.69,"1,09,650.00","21,711.00",0.2,,,,,,,,,,,,
,,2004 - 2005,"17,604.00","45,506.00",2.58,"2,01,338.00","1,09,327.00",0.54,,,,,,,,,,,,
,,2005 - 2006,"22,988.00","42,229.00",1.84,"1,84,333.00","17,143.00",0.09,,,,,,,,,,,,
,,2006 - 2007,"16,080.00","33,157.00",2.06,"46,532.00","12,471.00",0.27,,,,,,,,,,,,
,,2007 - 2008,"28,000.00","35,000.00",1.25,"1,45,000.00","2,75,000.00",1.9,,,,,,,,,,,,
,,2008 - 2009,"16,630.00","35,888.00",2.16,"1,24,382.00","28,483.00",0.23,,,,,,,,,,,,
,,2009 - 2010,"19,013.00","59,796.00",3.15,"1,11,105.00","35,887.00",0.32,,,,,,,,,,,,
,,2010 - 2011,"17,296.00","51,750.00",2.99,"1,43,299.00","87,126.00",0.61,,,,,,,,,,,,
,,2011 - 2012,"20,188.00","48,350.00",2.39,"36,869.00","12,167.00",0.33,,,,,,,,,,,,
,,2012 - 2013,"21,000.00","32,000.00",1.52,"44,000.00","11,000.00",0.25,,,,,,,,,,,,
,,2013 - 2014,"17,263.00","37,374.00",2.16,"42,251.00","43,307.00",1.02,,,,,,,,,,,,
,,2014 - 2015,"11,588.00","15,435.00",1.33,"15,754.00","6,963.00",0.44,,,,,,,,,,,,
,,2015 - 2016,"21,983.00","47,022.00",2.14,"28,676.00","36,619.00",1.28,,,,,,,,,,,,
,,2016 - 2017,"13,396.00","45,988.00",3.43,"52,015.00","19,558.00",0.38,,,,,,,,,,,,
,,2017 - 2018,"19,056.00","32,167.00",1.69,"25,317.00","39,495.00",1.56,,,,,,,,,,,,
,,2018 - 2019,"11,113.00","10,813.00",0.97,"8,627.00","4,443.00",0.52,,,,,,,,,,,,
,,2019 - 2020,"13,495.00","39,662.00",2.94,"8,332.00","13,156.00",1.58,,,,,,,,,,,,
,,2020 - 2021,"12,187.00","23,996.00",1.97,"29,827.00","28,932.00",0.97,,,,,,,,,,,,
,,2021 - 2022,"12,233.00","25,812.00",2.11,"23,329.00","18,990.00",0.81,,,,,,,,,,,,
,,2022 - 2023,"5,634.00","15,274.00",2.71,"3,651.00","6,203.00",1.7,,,,,,,,,,,,
,11. Kakinada,2022 - 2023,101,379,3.75,5,15,3,,,,,,,,,,,,
,12. Konaseema,2022 - 2023,37,88,2.38,,,,,,,,,,,,,,,
,13. Krishna,2000 - 2001,"5,937.00","14,065.00",2.37,"2,979.00","2,333.00",0.78,,,,,,,,,,,,
,,2001 - 2002,"4,757.00","10,665.00",2.24,"1,720.00","1,369.00",0.8,,,,,,,,,,,,
,,2002 - 2003,"3,447.00","6,449.00",1.87,985,977,0.99,,,,,,,,,,,,
