State,District,Year,Groundnut,,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2010 - 2011,"10,826.00","10,141.00",0.94,"55,460.00","40,430.00",0.73,,,,,,,,,,,,
,,2011 - 2012,"8,294.00","8,194.00",0.99,"42,233.00","30,300.00",0.72,,,,,,,,,,,,
,,2012 - 2013,,,,"19,090.00","12,822.00",0.67,"9,160.00","7,519.00",0.82,,,,,,,,,
,,2013 - 2014,,,,"37,982.00","30,959.00",0.82,"7,050.00","6,778.00",0.96,,,,,,,,,
,,2014 - 2015,,,,"37,259.00","29,662.00",0.8,"6,174.00","6,692.00",1.08,,,,,,,,,
,,2015 - 2016,,,,"34,991.00","16,455.00",0.47,"6,183.00","4,999.00",0.81,,,,,,,,,
,,2016 - 2017,,,,"38,919.00","23,515.00",0.6,"5,156.00","3,012.00",0.58,,,,,,,,,
,,2017 - 2018,,,,"31,104.00","28,544.00",0.92,"5,171.00","3,797.00",0.73,,,,,,,,,
,,2018 - 2019,,,,"37,915.00","14,156.00",0.37,"2,165.00","1,438.00",0.66,,,,,,,,,
,,2019 - 2020,,,,"35,235.00","29,088.00",0.83,"7,368.00","4,571.00",0.62,,,,,,,,,
,,2020 - 2021,,,,"38,857.00","23,470.00",0.6,"16,558.00","9,918.00",0.6,,,,,,,,,
,,2021 - 2022,,,,"33,294.00","17,945.00",0.54,"12,856.00","9,513.00",0.74,,,,,,,,,
,,2022 - 2023,"9,880.00","21,539.00",2.18,"17,352.00","10,324.00",0.59,"4,813.00","3,321.00",0.69,,,,,,,,,
,16. Gulbarga,2000 - 2001,"44,896.00","37,107.00",0.83,"46,936.00","35,519.00",0.76,,,,,,,,,,,,
,,2001 - 2002,,,,"63,796.00","50,187.00",0.79,,,,,,,,,,,,
,,2002 - 2003,"37,911.00","47,648.00",1.26,"26,278.00","15,291.00",0.58,,,,,,,,,,,,
,,2003 - 2004,"34,651.00","31,997.00",0.92,"26,296.00","17,995.00",0.68,,,,,,,,,,,,
,,2004 - 2005,"36,364.00","30,297.00",0.83,"22,683.00","10,724.00",0.47,,,,,,,,,,,,
,,2005 - 2006,"35,892.00","36,587.00",1.02,"24,657.00","12,419.00",0.5,,,,,,,,,,,,
,,2006 - 2007,"31,340.00","18,072.00",0.58,"20,939.00","6,495.00",0.31,,,,,,,,,,,,
,,2007 - 2008,"33,452.00","26,538.00",0.79,"18,811.00","12,907.00",0.69,,,,,,,,,,,,
,,2008 - 2009,"27,934.00","17,647.00",0.63,"13,393.00","9,100.00",0.68,,,,,,,,,,,,
,,2009 - 2010,"50,491.00","35,207.00",0.7,"9,545.00","3,610.00",0.38,,,,,,,,,,,,
,,2010 - 2011,"4,129.00","2,930.00",0.71,"1,638.00",583,0.36,,,,,,,,,,,,
,,2011 - 2012,"5,991.00","4,195.00",0.7,"1,555.00",932,0.6,,,,,,,,,,,,
,,2012 - 2013,673,"1,137.00",1.69,"1,085.00",610,0.56,"2,811.00","2,310.00",0.82,,,,,,,,,
,,2013 - 2014,,,,"1,249.00",592,0.47,"2,996.00","2,416.00",0.81,,,,,,,,,
,,2014 - 2015,,,,649,235,0.36,"3,447.00","2,914.00",0.85,,,,,,,,,
,,2015 - 2016,,,,"2,384.00","1,558.00",0.65,"1,433.00",622,0.43,,,,,,,,,
,,2016 - 2017,,,,864,"1,372.00",1.59,"4,642.00","5,521.00",1.19,,,,,,,,,
,,2017 - 2018,,,,584,800,1.37,"7,414.00","9,530.00",1.29,,,,,,,,,
,,2018 - 2019,,,,"1,403.00","1,317.00",0.94,"5,614.00","4,411.00",0.79,,,,,,,,,
,,2019 - 2020,,,,470,534,1.14,"1,775.00","2,246.00",1.27,,,,,,,,,
,,2020 - 2021,,,,498,622,1.25,"5,437.00","6,921.00",1.27,,,,,,,,,
,,2021 - 2022,,,,368,323,0.88,"4,654.00","3,309.00",0.71,,,,,,,,,
,,2022 - 2023,"4,630.00","10,092.00",2.18,297,308,1.04,119,92,0.77,,,,,,,,,
,17. Hassan,2000 - 2001,"3,108.00","3,413.00",1.1,"1,167.00","1,172.00",1,,,,,,,,,,,,
,,2001 - 2002,,,,"1,897.00","1,274.00",0.67,,,,,,,,,,,,
,,2002 - 2003,"1,776.00","1,569.00",0.88,590,314,0.53,,,,,,,,,,,,
,,2003 - 2004,688,669,0.97,256,103,0.4,,,,,,,,,,,,
,,2004 - 2005,"1,418.00","2,104.00",1.48,"1,332.00",941,0.71,,,,,,,,,,,,
,,2005 - 2006,"1,274.00","2,113.00",1.66,921,457,0.5,,,,,,,,,,,,
,,2006 - 2007,424,395,0.93,"1,246.00",463,0.37,,,,,,,,,,,,
,,2007 - 2008,680,453,0.67,630,516,0.82,,,,,,,,,,,,
,,2008 - 2009,294,372,1.27,509,293,0.58,,,,,,,,,,,,
,,2009 - 2010,370,286,0.77,866,398,0.46,,,,,,,,,,,,
,,2010 - 2011,523,663,1.27,505,323,0.64,,,,,,,,,,,,
,,2011 - 2012,210,203,0.97,583,368,0.63,,,,,,,,,,,,
,,2012 - 2013,,,,552,310,0.56,104,128,1.23,,,,,,,,,
,,2013 - 2014,,,,980,828,0.84,47,42,0.89,,,,,,,,,
,,2014 - 2015,,,,739,538,0.73,75,64,0.85,,,,,,,,,
,,2015 - 2016,,,,731,492,0.67,131,93,0.71,,,,,,,,,
,,2016 - 2017,,,,617,467,0.76,30,30,1,,,,,,,,,
,,2017 - 2018,,,,599,369,0.62,123,143,1.16,,,,,,,,,
,,2018 - 2019,,,,310,255,0.82,20,17,0.85,,,,,,,,,
,,2019 - 2020,,,,371,103,0.28,79,88,1.11,,,,,,,,,
,,2020 - 2021,,,,169,159,0.94,196,310,1.58,,,,,,,,,
,,2021 - 2022,,,,425,383,0.9,166,177,1.07,,,,,,,,,
,,2022 - 2023,12,26,2.17,215,109,0.51,37,45,1.22,,,,,,,,,
,18. Haveri,2000 - 2001,"7,851.00","11,091.00",1.41,"24,709.00","28,329.00",1.15,,,,,,,,,,,,
,,2001 - 2002,,,,"23,640.00","13,270.00",0.56,,,,,,,,,,,,
,,2002 - 2003,"3,153.00","3,696.00",1.17,"20,724.00","7,885.00",0.38,,,,,,,,,,,,
,,2003 - 2004,"5,398.00","5,492.00",1.02,"18,533.00","5,928.00",0.32,,,,,,,,,,,,
,,2004 - 2005,"5,251.00","4,465.00",0.85,"20,345.00","13,936.00",0.68,,,,,,,,,,,,
,,2005 - 2006,"4,997.00","5,597.00",1.12,"22,119.00","9,725.00",0.44,,,,,,,,,,,,
,,2006 - 2007,"2,808.00","2,726.00",0.97,"17,577.00","11,561.00",0.66,,,,,,,,,,,,
,,2007 - 2008,"3,733.00","3,256.00",0.87,"15,853.00","12,018.00",0.76,,,,,,,,,,,,
,,2008 - 2009,"2,800.00","2,229.00",0.8,"18,076.00","10,852.00",0.6,,,,,,,,,,,,
,,2009 - 2010,"2,992.00","2,487.00",0.83,"17,403.00","11,384.00",0.65,,,,,,,,,,,,
,,2010 - 2011,"2,669.00","3,261.00",1.22,"16,319.00","19,306.00",1.18,,,,,,,,,,,,
,,2011 - 2012,"2,942.00","3,007.00",1.02,"17,143.00","18,062.00",1.05,,,,,,,,,,,,
,,2012 - 2013,,,,"20,312.00","12,002.00",0.59,"2,766.00","2,121.00",0.77,,,,,,,,,
,,2013 - 2014,,,,"20,418.00","29,425.00",1.44,"1,693.00","1,723.00",1.02,,,,,,,,,
,,2014 - 2015,,,,"15,918.00","20,490.00",1.29,"1,676.00","1,771.00",1.06,,,,,,,,,
,,2015 - 2016,,,,"16,021.00","13,394.00",0.84,"1,768.00","1,547.00",0.88,,,,,,,,,
,,2016 - 2017,,,,"19,876.00","14,728.00",0.74,"1,063.00",840,0.79,,,,,,,,,
,,2017 - 2018,,,,"22,077.00","28,796.00",1.3,"1,102.00","1,024.00",0.93,,,,,,,,,
,,2018 - 2019,,,,"18,829.00","14,221.00",0.76,"1,014.00",878,0.87,,,,,,,,,
,,2019 - 2020,,,,"19,512.00","11,900.00",0.61,"3,155.00","3,573.00",1.13,,,,,,,,,
,,2020 - 2021,,,,"24,105.00","29,360.00",1.22,"9,343.00","9,960.00",1.07,,,,,,,,,
,,2021 - 2022,,,,"19,220.00","18,470.00",0.96,"5,644.00","5,158.00",0.91,,,,,,,,,
,,2022 - 2023,934,"2,036.00",2.18,"8,259.00","4,518.00",0.55,"2,231.00","1,138.00",0.51,,,,,,,,,
,19. Kodagu,2000 - 2001,5,5,1,,,,,,,,,,,,,,,
,,2001 - 2002,,,,2,1,0.5,,,,,,,,,,,,
,,2002 - 2003,,,,3,2,0.67,,,,,,,,,,,,
,,2003 - 2004,,,,2,1,0.5,,,,,,,,,,,,
,,2004 - 2005,40,36,0.9,3,2,0.67,,,,,,,,,,,,
,,2005 - 2006,,,,10,5,0.5,,,,,,,,,,,,
,,2006 - 2007,,,,10,3,0.3,,,,,,,,,,,,
,,2007 - 2008,5,4,0.8,12,9,0.75,,,,,,,,,,,,
,,2008 - 2009,28,21,0.75,10,4,0.4,,,,,,,,,,,,
,,2009 - 2010,33,26,0.79,,,,,,,,,,,,,,,
,,2010 - 2011,23,20,0.87,,,,,,,,,,,,,,,
,,2012 - 2013,,,,1,1,1,,,,,,,,,,,,
,,2013 - 2014,,,,7,6,0.86,4,4,1,,,,,,,,,
,,2014 - 2015,,,,60,44,0.73,11,9,0.82,,,,,,,,,
,,2015 - 2016,,,,56,38,0.68,7,5,0.71,,,,,,,,,
,,2016 - 2017,,,,56,28,0.5,,,,,,,,,,,,
,,2017 - 2018,,,,56,62,1.11,7,8,1.14,,,,,,,,,
,,2018 - 2019,,,,,,,8,7,0.88,,,,,,,,,
,,2019 - 2020,,,,1,1,1,8,9,1.13,,,,,,,,,
,,2020 - 2021,,,,4,4,1,,,,,,,,,,,,
,,2021 - 2022,,,,1,1,1,,,,,,,,,,,,
,20. Kolar,2000 - 2001,"1,943.00","2,697.00",1.39,"53,073.00","75,207.00",1.42,,,,,,,,,,,,
,,2001 - 2002,,,,"54,751.00","30,857.00",0.56,,,,,,,,,,,,
,,2002 - 2003,209,227,1.09,"33,281.00","10,445.00",0.31,,,,,,,,,,,,
,,2003 - 2004,225,219,0.97,"43,008.00","30,706.00",0.71,,,,,,,,,,,,
,,2004 - 2005,79,72,0.91,"50,172.00","31,973.00",0.64,,,,,,,,,,,,
,,2005 - 2006,382,376,0.98,"51,664.00","36,605.00",0.71,,,,,,,,,,,,
,,2006 - 2007,273,330,1.21,"37,775.00","11,709.00",0.31,,,,,,,,,,,,
,,2007 - 2008,95,82,0.86,"10,776.00","11,155.00",1.04,,,,,,,,,,,,
,,2008 - 2009,35,26,0.74,"12,475.00","7,626.00",0.61,,,,,,,,,,,,
,,2009 - 2010,64,50,0.78,"7,814.00","7,002.00",0.9,,,,,,,,,,,,
,,2010 - 2011,15,13,0.87,"11,163.00","10,313.00",0.92,,,,,,,,,,,,
,,2011 - 2012,15,12,0.8,"10,513.00","14,532.00",1.38,,,,,,,,,,,,
,,2012 - 2013,,,,"10,401.00","6,640.00",0.64,7,6,0.86,,,,,,,,,
,,2013 - 2014,,,,"6,733.00","6,914.00",1.03,,,,,,,,,,,,
,,2014 - 2015,,,,"13,160.00","5,663.00",0.43,,,,,,,,,,,,
,,2015 - 2016,,,,"8,608.00","5,700.00",0.66,,,,,,,,,,,,
,,2016 - 2017,,,,"9,854.00","4,512.00",0.46,,,,,,,,,,,,
,,2017 - 2018,,,,"6,728.00","10,080.00",1.5,,,,,,,,,,,,
,,2018 - 2019,,,,"12,104.00","6,899.00",0.57,,,,,,,,,,,,
,,2019 - 2020,,,,"7,277.00","6,720.00",0.92,93,104,1.12,,,,,,,,,
,,2020 - 2021,,,,"11,368.00","12,948.00",1.14,179,200,1.12,,,,,,,,,
,,2021 - 2022,,,,"8,574.00","8,866.00",1.03,35,38,1.09,,,,,,,,,
,,2022 - 2023,105,229,2.18,"3,631.00","4,078.00",1.12,8,7,0.88,,,,,,,,,
,21. Koppal,2000 - 2001,"21,225.00","23,430.00",1.1,"34,526.00","22,654.00",0.66,,,,,,,,,,,,
,,2001 - 2002,,,,"47,029.00","43,902.00",0.93,,,,,,,,,,,,
,,2002 - 2003,"14,398.00","12,721.00",0.88,"30,680.00","10,837.00",0.35,,,,,,,,,,,,
,,2003 - 2004,"16,907.00","15,082.00",0.89,"26,530.00","13,614.00",0.51,,,,,,,,,,,,
,,2004 - 2005,"16,148.00","8,821.00",0.55,"25,682.00","13,677.00",0.53,,,,,,,,,,,,
,,2005 - 2006,"15,624.00","10,553.00",0.68,"29,315.00","14,847.00",0.51,,,,,,,,,,,,
,,2006 - 2007,"13,175.00","8,198.00",0.62,"19,135.00","2,786.00",0.15,,,,,,,,,,,,
,,2007 - 2008,"13,716.00","11,844.00",0.86,"18,185.00","11,649.00",0.64,,,,,,,,,,,,
,,2008 - 2009,"18,791.00","13,424.00",0.71,"23,118.00","12,154.00",0.53,,,,,,,,,,,,
,,2009 - 2010,"25,107.00","18,032.00",0.72,"22,986.00","7,712.00",0.34,,,,,,,,,,,,
,,2010 - 2011,"24,183.00","22,836.00",0.94,"22,818.00","18,681.00",0.82,,,,,,,,,,,,
,,2011 - 2012,"23,893.00","18,022.00",0.75,"18,007.00","15,435.00",0.86,,,,,,,,,,,,
,,2012 - 2013,,,,"10,639.00","6,559.00",0.62,"21,722.00","10,937.00",0.5,,,,,,,,,
,,2013 - 2014,,,,"13,048.00","11,627.00",0.89,"20,324.00","17,396.00",0.86,,,,,,,,,
,,2014 - 2015,,,,"13,360.00","10,750.00",0.8,"21,705.00","19,197.00",0.88,,,,,,,,,
,,2015 - 2016,,,,"9,300.00","5,354.00",0.58,"12,974.00","11,845.00",0.91,,,,,,,,,
,,2016 - 2017,,,,"20,085.00","10,113.00",0.5,"13,541.00","7,873.00",0.58,,,,,,,,,
,,2017 - 2018,,,,"12,639.00","15,489.00",1.23,"21,555.00","25,207.00",1.17,,,,,,,,,
,,2018 - 2019,,,,"11,973.00","5,972.00",0.5,"18,825.00","15,380.00",0.82,,,,,,,,,
,,2019 - 2020,,,,"10,609.00","7,438.00",0.7,"15,301.00","15,306.00",1,,,,,,,,,
,,2020 - 2021,,,,"11,018.00","10,654.00",0.97,"33,001.00","31,252.00",0.95,,,,,,,,,
,,2021 - 2022,,,,"8,428.00","6,439.00",0.76,"35,776.00","30,803.00",0.86,,,,,,,,,
,,2022 - 2023,"33,322.00","72,642.00",2.18,"4,068.00","3,673.00",0.9,"1,280.00","1,433.00",1.12,,,,,,,,,
,22. Mandya,2000 - 2001,60,66,1.1,"8,177.00","6,231.00",0.76,,,,,,,,,,,,
,,2001 - 2002,,,,"5,785.00","4,537.00",0.78,,,,,,,,,,,,
,,2002 - 2003,27,30,1.11,"1,977.00","1,707.00",0.86,,,,,,,,,,,,
,,2003 - 2004,50,49,0.98,"2,726.00","3,194.00",1.17,,,,,,,,,,,,
,,2004 - 2005,130,118,0.91,"4,041.00","4,651.00",1.15,,,,,,,,,,,,
,,2005 - 2006,57,48,0.84,"4,157.00","2,519.00",0.61,,,,,,,,,,,,
,,2006 - 2007,23,17,0.74,"2,441.00","1,021.00",0.42,,,,,,,,,,,,
,,2007 - 2008,12,10,0.83,"2,541.00","1,910.00",0.75,,,,,,,,,,,,
,,2008 - 2009,46,35,0.76,"1,683.00","1,113.00",0.66,,,,,,,,,,,,
,,2009 - 2010,18,24,1.33,"1,245.00","1,403.00",1.13,,,,,,,,,,,,
,,2010 - 2011,51,45,0.88,"1,524.00","1,220.00",0.8,,,,,,,,,,,,
,,2011 - 2012,22,18,0.82,"1,773.00",956,0.54,,,,,,,,,,,,
,,2012 - 2013,,,,"1,447.00",767,0.53,,,,,,,,,,,,
,,2013 - 2014,,,,"1,297.00","1,030.00",0.79,,,,,,,,,,,,
,,2014 - 2015,,,,"1,176.00",824,0.7,,,,,,,,,,,,
,,2015 - 2016,,,,"1,361.00","1,118.00",0.82,,,,,,,,,,,,
,,2016 - 2017,,,,711,32,0.05,,,,,,,,,,,,
,,2017 - 2018,,,,545,461,0.85,,,,,,,,,,,,
,,2018 - 2019,,,,344,234,0.68,145,123,0.85,,,,,,,,,
,,2019 - 2020,,,,266,277,1.04,8,9,1.13,,,,,,,,,
,,2020 - 2021,,,,433,469,1.08,41,46,1.12,,,,,,,,,
,,2021 - 2022,,,,406,405,1,29,31,1.07,,,,,,,,,
,,2022 - 2023,2,4,2,250,226,0.9,28,25,0.89,,,,,,,,,
,23. Mysore,2000 - 2001,486,534,1.1,"6,818.00","6,483.00",0.95,,,,,,,,,,,,
,,2001 - 2002,,,,"7,817.00","6,958.00",0.89,,,,,,,,,,,,
,,2002 - 2003,255,333,1.31,"6,041.00","4,563.00",0.76,,,,,,,,,,,,
,,2003 - 2004,43,42,0.98,"4,965.00","2,933.00",0.59,,,,,,,,,,,,
,,2004 - 2005,735,669,0.91,"7,168.00","5,640.00",0.79,,,,,,,,,,,,
,,2005 - 2006,180,152,0.84,"14,357.00","8,771.00",0.61,,,,,,,,,,,,
,,2006 - 2007,172,131,0.76,"9,204.00","3,747.00",0.41,,,,,,,,,,,,
,,2007 - 2008,271,238,0.88,"9,744.00","6,569.00",0.67,,,,,,,,,,,,
,,2008 - 2009,185,139,0.75,"3,761.00","2,744.00",0.73,,,,,,,,,,,,
,,2009 - 2010,17,13,0.76,"5,838.00","4,330.00",0.74,,,,,,,,,,,,
,,2010 - 2011,70,62,0.89,"4,220.00","3,638.00",0.86,,,,,,,,,,,,
,,2011 - 2012,129,129,1,"4,440.00","3,051.00",0.69,,,,,,,,,,,,
,,2012 - 2013,16,27,1.69,"4,164.00","1,903.00",0.46,,,,,,,,,,,,
,,2013 - 2014,,,,"2,532.00","1,710.00",0.68,49,44,0.9,,,,,,,,,
,,2014 - 2015,,,,"2,567.00","1,853.00",0.72,,,,,,,,,,,,
,,2015 - 2016,,,,"2,344.00","1,550.00",0.66,43,31,0.72,,,,,,,,,
,,2016 - 2017,,,,"2,482.00",905,0.36,,,,,,,,,,,,
,,2017 - 2018,,,,"2,550.00","2,662.00",1.04,,,,,,,,,,,,
,,2018 - 2019,,,,"1,673.00","1,774.00",1.06,,,,,,,,,,,,
,,2019 - 2020,,,,"1,454.00","1,221.00",0.84,,,,,,,,,,,,
,,2020 - 2021,,,,"1,488.00","1,530.00",1.03,8,9,1.13,,,,,,,,,
,,2021 - 2022,,,,"1,271.00","1,126.00",0.89,5,5,1,,,,,,,,,
,,2022 - 2023,,,,829,842,1.02,15,13,0.87,,,,,,,,,
,24. Raichur,2000 - 2001,"17,058.00","21,342.00",1.25,"35,823.00","20,610.00",0.58,,,,,,,,,,,,
,,2001 - 2002,,,,"40,392.00","28,282.00",0.7,,,,,,,,,,,,
,,2002 - 2003,"15,674.00","18,940.00",1.21,"26,591.00","10,245.00",0.39,,,,,,,,,,,,
,,2003 - 2004,"15,973.00","14,385.00",0.9,"20,561.00","10,247.00",0.5,,,,,,,,,,,,
,,2004 - 2005,"17,456.00","18,076.00",1.04,"17,913.00","10,880.00",0.61,,,,,,,,,,,,
,,2005 - 2006,"24,013.00","17,976.00",0.75,"20,330.00","16,726.00",0.82,,,,,,,,,,,,
,,2006 - 2007,"25,156.00","23,420.00",0.93,"14,477.00","5,747.00",0.4,,,,,,,,,,,,
,,2007 - 2008,"31,075.00","28,193.00",0.91,"15,476.00","9,497.00",0.61,,,,,,,,,,,,
,,2008 - 2009,"28,747.00","22,285.00",0.78,"10,493.00","7,451.00",0.71,,,,,,,,,,,,
,,2009 - 2010,"30,330.00","21,869.00",0.72,"8,592.00","3,879.00",0.45,,,,,,,,,,,,
,,2010 - 2011,"27,558.00","24,766.00",0.9,"10,064.00","6,106.00",0.61,,,,,,,,,,,,
,,2011 - 2012,"28,115.00","21,661.00",0.77,"9,933.00","5,472.00",0.55,,,,,,,,,,,,
,,2012 - 2013,,,,"5,363.00","3,831.00",0.71,"38,169.00","34,629.00",0.91,,,,,,,,,
,,2013 - 2014,,,,"4,165.00","2,888.00",0.69,"48,600.00","44,231.00",0.91,,,,,,,,,
,,2014 - 2015,,,,"2,847.00","1,571.00",0.55,"30,100.00","29,081.00",0.97,,,,,,,,,
,,2015 - 2016,,,,452,431,0.95,"35,508.00","26,413.00",0.74,,,,,,,,,
,,2016 - 2017,,,,"5,457.00","6,470.00",1.19,"30,153.00","37,525.00",1.24,,,,,,,,,
,,2017 - 2018,,,,343,422,1.23,"17,817.00","23,680.00",1.33,,,,,,,,,
,,2018 - 2019,,,,"1,522.00","1,304.00",0.86,"33,281.00","26,369.00",0.79,,,,,,,,,
,,2019 - 2020,,,,466,532,1.14,"4,030.00","4,472.00",1.11,,,,,,,,,
,,2020 - 2021,,,,573,774,1.35,"14,185.00","12,610.00",0.89,,,,,,,,,
,,2021 - 2022,,,,808,879,1.09,"14,694.00","17,177.00",1.17,,,,,,,,,
,,2022 - 2023,"18,041.00","39,329.00",2.18,606,786,1.3,87,77,0.89,,,,,,,,,
,25. Ramanagara,2007 - 2008,20,17,0.85,"7,810.00","5,750.00",0.74,,,,,,,,,,,,
,,2008 - 2009,52,39,0.75,"7,723.00","3,903.00",0.51,,,,,,,,,,,,
,,2009 - 2010,77,60,0.78,"7,464.00","5,368.00",0.72,,,,,,,,,,,,
,,2010 - 2011,71,83,1.17,"4,204.00","4,521.00",1.08,,,,,,,,,,,,
,,2011 - 2012,24,20,0.83,"4,700.00","4,401.00",0.94,,,,,,,,,,,,
,,2012 - 2013,,,,"3,168.00","2,387.00",0.75,5,4,0.8,,,,,,,,,
,,2013 - 2014,,,,"5,588.00","7,342.00",1.31,38,34,0.89,,,,,,,,,
,,2014 - 2015,,,,"3,648.00","4,332.00",1.19,42,36,0.86,,,,,,,,,
,,2015 - 2016,,,,"3,307.00","4,756.00",1.44,,,,,,,,,,,,
,,2016 - 2017,,,,"2,527.00","2,713.00",1.07,,,,,,,,,,,,
,,2017 - 2018,,,,"1,510.00","1,819.00",1.2,,,,,,,,,,,,
,,2018 - 2019,,,,"1,169.00","1,273.00",1.09,,,,,,,,,,,,
,,2019 - 2020,,,,900,"1,191.00",1.32,10,11,1.1,,,,,,,,,
,,2020 - 2021,,,,951,"1,242.00",1.31,11,12,1.09,,,,,,,,,
,,2021 - 2022,,,,848,"1,362.00",1.61,,,,,,,,,,,,
,,2022 - 2023,,,,587,"1,039.00",1.77,,,,,,,,,,,,
,26. Shimoga,2000 - 2001,"2,026.00","2,967.00",1.46,"2,111.00","2,814.00",1.33,,,,,,,,,,,,
,,2001 - 2002,,,,"2,535.00","2,251.00",0.89,,,,,,,,,,,,
,,2002 - 2003,"1,227.00","1,489.00",1.21,"1,682.00","1,449.00",0.86,,,,,,,,,,,,
,,2003 - 2004,"2,476.00","2,408.00",0.97,"1,812.00","1,622.00",0.9,,,,,,,,,,,,
,,2004 - 2005,"1,913.00","2,839.00",1.48,"2,037.00","2,340.00",1.15,,,,,,,,,,,,
,,2005 - 2006,"1,734.00","2,356.00",1.36,"1,805.00",989,0.55,,,,,,,,,,,,
,,2006 - 2007,773,"1,240.00",1.6,"1,309.00",992,0.76,,,,,,,,,,,,
,,2007 - 2008,849,"1,131.00",1.33,828,739,0.89,,,,,,,,,,,,
,,2008 - 2009,640,907,1.42,908,985,1.08,,,,,,,,,,,,
,,2009 - 2010,430,525,1.22,508,375,0.74,,,,,,,,,,,,
,,2010 - 2011,404,355,0.88,530,751,1.42,,,,,,,,,,,,
,,2011 - 2012,316,257,0.81,756,565,0.75,,,,,,,,,,,,
,,2012 - 2013,54,91,1.69,473,266,0.56,156,128,0.82,,,,,,,,,
,,2013 - 2014,,,,343,290,0.85,132,118,0.89,,,,,,,,,
,,2014 - 2015,,,,249,181,0.73,19,16,0.84,,,,,,,,,
,,2015 - 2016,,,,167,112,0.67,272,194,0.71,,,,,,,,,
,,2016 - 2017,,,,139,69,0.5,23,23,1,,,,,,,,,
,,2017 - 2018,,,,154,170,1.1,110,128,1.16,,,,,,,,,
,,2018 - 2019,,,,97,66,0.68,39,33,0.85,,,,,,,,,
,,2019 - 2020,,,,66,59,0.89,52,58,1.12,,,,,,,,,
,,2020 - 2021,,,,95,89,0.94,216,241,1.12,,,,,,,,,
,,2021 - 2022,,,,126,94,0.75,65,69,1.06,,,,,,,,,
,,2022 - 2023,1,2,2,72,58,0.81,8,7,0.88,,,,,,,,,
,27. Tumkur,2000 - 2001,"14,851.00","20,612.00",1.39,"1,56,788.00","2,15,651.00",1.38,,,,,,,,,,,,
,,2001 - 2002,,,,"1,40,165.00","53,139.00",0.38,,,,,,,,,,,,
,,2002 - 2003,"3,367.00","4,641.00",1.38,"1,16,447.00","62,636.00",0.54,,,,,,,,,,,,
,,2003 - 2004,"3,228.00","3,530.00",1.09,"1,37,987.00","42,297.00",0.31,,,,,,,,,,,,
,,2004 - 2005,"2,066.00","2,758.00",1.33,"1,50,455.00","99,138.00",0.66,,,,,,,,,,,,
,,2005 - 2006,"5,715.00","7,384.00",1.29,"1,69,958.00","69,921.00",0.41,,,,,,,,,,,,
,,2006 - 2007,"3,642.00","3,463.00",0.95,"95,256.00","21,263.00",0.22,,,,,,,,,,,,
,,2007 - 2008,"5,652.00","4,317.00",0.76,"1,53,431.00","1,31,100.00",0.85,,,,,,,,,,,,
,,2008 - 2009,"4,302.00","4,737.00",1.1,"1,52,340.00","41,434.00",0.27,,,,,,,,,,,,
,,2009 - 2010,"5,025.00","4,917.00",0.98,"94,748.00","31,215.00",0.33,,,,,,,,,,,,
,,2010 - 2011,"2,775.00","3,374.00",1.22,"1,32,244.00","64,549.00",0.49,,,,,,,,,,,,
,,2011 - 2012,"1,498.00","2,177.00",1.45,"87,050.00","20,326.00",0.23,,,,,,,,,,,,
,,2012 - 2013,17,29,1.71,"82,878.00","23,699.00",0.29,"1,089.00","1,302.00",1.2,,,,,,,,,
,,2013 - 2014,,,,"71,042.00","35,230.00",0.5,830,"1,090.00",1.31,,,,,,,,,
,,2014 - 2015,,,,"86,127.00","42,056.00",0.49,"1,884.00","2,400.00",1.27,,,,,,,,,
,,2015 - 2016,,,,"63,437.00","43,150.00",0.68,"1,453.00","1,440.00",0.99,,,,,,,,,
,,2016 - 2017,,,,"92,135.00","29,935.00",0.32,"1,114.00","1,317.00",1.18,,,,,,,,,
,,2017 - 2018,,,,"53,872.00","42,120.00",0.78,"1,427.00","1,474.00",1.03,,,,,,,,,
,,2018 - 2019,,,,"63,528.00","36,332.00",0.57,601,589,0.98,,,,,,,,,
,,2019 - 2020,,,,"48,641.00","43,205.00",0.89,620,727,1.17,,,,,,,,,
,,2020 - 2021,,,,"85,134.00","68,618.00",0.81,"1,033.00",981,0.95,,,,,,,,,
,,2021 - 2022,,,,"66,379.00","40,956.00",0.62,397,289,0.73,,,,,,,,,
,,2022 - 2023,"2,659.00","5,796.00",2.18,"46,136.00","32,526.00",0.71,918,597,0.65,,,,,,,,,
,28. Udupi,2000 - 2001,"2,688.00","3,961.00",1.47,4,4,1,,,,,,,,,,,,
,,2001 - 2002,,,,"2,313.00","4,247.00",1.84,,,,,,,,,,,,
,,2002 - 2003,"2,188.00","3,290.00",1.5,,,,,,,,,,,,,,,
,,2003 - 2004,"1,998.00","3,138.00",1.57,,,,,,,,,,,,,,,
,,2004 - 2005,"2,006.00","3,423.00",1.71,,,,,,,,,,,,,,,
