State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,23. Mungeli,2011 - 2012,803,257,0.32,,,,,,,,,
,,2012 - 2013,843,283,0.34,,,,,,,,,
,,2013 - 2014,826,291,0.35,,,,,,,,,
,,2014 - 2015,785,264,0.34,,,,,,,,,
,,2015 - 2016,848,299,0.35,,,,,,,,,
,,2016 - 2017,811,286,0.35,,,,,,,,,
,,2017 - 2018,608,164,0.27,,,,,,,,,
,,2018 - 2019,388,126,0.32,,,,,,,,,
,,2019 - 2020,523,85,0.16,,,,,,,,,
,,2020 - 2021,321,104,0.32,,,,,,,,,
,,2021 - 2022,241,78,0.32,,,,,,,,,
,,2022 - 2023,237,77,0.32,,,,,,,,,
,24. Narayanpur,2017 - 2018,2,1,0.5,,,,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,,,,
,,2019 - 2020,1,,0,,,,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,,,,
,,2022 - 2023,2,1,0.5,,,,,,,,,
,25. Raigarh,2000 - 2001,121,34,0.28,,,,,,,,,
,,2001 - 2002,104,30,0.29,,,,,,,,,
,,2002 - 2003,108,31,0.29,,,,,,,,,
,,2003 - 2004,217,60,0.28,,,,,,,,,
,,2004 - 2005,166,45,0.27,,,,,,,,,
,,2005 - 2006,151,42,0.28,,,,,,,,,
,,2006 - 2007,166,53,0.32,,,,,,,,,
,,2007 - 2008,144,45,0.31,,,,,,,,,
,,2008 - 2009,142,45,0.32,,,,,,,,,
,,2009 - 2010,140,40,0.29,,,,,,,,,
,,2010 - 2011,181,59,0.33,,,,,,,,,
,,2011 - 2012,130,41,0.32,,,,,,,,,
,,2012 - 2013,117,39,0.33,,,,,,,,,
,,2013 - 2014,116,37,0.32,,,,,,,,,
,,2014 - 2015,124,42,0.34,,,,,,,,,
,,2015 - 2016,114,38,0.33,,,,,,,,,
,,2016 - 2017,132,43,0.33,,,,,,,,,
,,2017 - 2018,132,42,0.32,,,,,,,,,
,,2018 - 2019,120,34,0.28,,,,,,,,,
,,2019 - 2020,92,29,0.32,,,,,,,,,
,,2020 - 2021,255,87,0.34,,,,,,,,,
,,2021 - 2022,79,26,0.33,,,,,,,,,
,,2022 - 2023,79,25,0.32,,,,,,,,,
,26. Raipur,2000 - 2001,"1,087.00",361,0.33,,,,,,,,,
,,2001 - 2002,"1,861.00",702,0.38,,,,,,,,,
,,2002 - 2003,"1,794.00",619,0.35,,,,,,,,,
,,2003 - 2004,"2,172.00",763,0.35,,,,,,,,,
,,2004 - 2005,"2,148.00",615,0.29,,,,,,,,,
,,2005 - 2006,"2,491.00",827,0.33,,,,,,,,,
,,2006 - 2007,"2,298.00",763,0.33,,,,,,,,,
,,2007 - 2008,"2,046.00",679,0.33,,,,,,,,,
,,2008 - 2009,"1,929.00",640,0.33,,,,,,,,,
,,2009 - 2010,"1,992.00",700,0.35,,,,,,,,,
,,2010 - 2011,"2,524.00",953,0.38,,,,,,,,,
,,2011 - 2012,"1,295.00",463,0.36,,,,,,,,,
,,2012 - 2013,"1,191.00",504,0.42,,,,,,,,,
,,2013 - 2014,"1,237.00",483,0.39,,,,,,,,,
,,2014 - 2015,"1,056.00",481,0.46,,,,,,,,,
,,2015 - 2016,"1,497.00",633,0.42,,,,,,,,,
,,2016 - 2017,"1,543.00",753,0.49,,,,,,,,,
,,2017 - 2018,"1,714.00",836,0.49,,,,,,,,,
,,2018 - 2019,"1,398.00",682,0.49,,,,,,,,,
,,2019 - 2020,"1,522.00",544,0.36,,,,,,,,,
,,2020 - 2021,"1,204.00",731,0.61,,,,,,,,,
,,2021 - 2022,510,310,0.61,,,,,,,,,
,,2022 - 2023,285,173,0.61,,,,,,,,,
,27. Rajnandgaon,2000 - 2001,924,261,0.28,,,,,,,,,
,,2001 - 2002,"1,014.00",296,0.29,,,,,,,,,
,,2002 - 2003,972,258,0.27,,,,,,,,,
,,2003 - 2004,"1,200.00",417,0.35,,,,,,,,,
,,2004 - 2005,"1,796.00",545,0.3,,,,,,,,,
,,2005 - 2006,"1,289.00",399,0.31,,,,,,,,,
,,2006 - 2007,"1,188.00",374,0.31,,,,,,,,,
,,2007 - 2008,"1,221.00",377,0.31,,,,,,,,,
,,2008 - 2009,"1,053.00",285,0.27,,,,,,,,,
,,2009 - 2010,"1,175.00",332,0.28,,,,,,,,,
,,2010 - 2011,"1,322.00",430,0.33,,,,,,,,,
,,2011 - 2012,"1,578.00",514,0.33,,,,,,,,,
,,2012 - 2013,"1,388.00",377,0.27,,,,,,,,,
,,2013 - 2014,"1,355.00",375,0.28,,,,,,,,,
,,2014 - 2015,"1,476.00",520,0.35,,,,,,,,,
,,2015 - 2016,"2,485.00",808,0.33,,,,,,,,,
,,2016 - 2017,"3,437.00","1,155.00",0.34,,,,,,,,,
,,2017 - 2018,"1,666.00",587,0.35,,,,,,,,,
,,2018 - 2019,"1,962.00",691,0.35,,,,,,,,,
,,2019 - 2020,"2,533.00",700,0.28,,,,,,,,,
,,2020 - 2021,"3,629.00","1,390.00",0.38,,,,,,,,,
,,2021 - 2022,"4,017.00","1,538.00",0.38,,,,,,,,,
,,2022 - 2023,"2,798.00","1,162.00",0.42,,,,,,,,,
,28. Sakti,2022 - 2023,2,1,0.5,,,,,,,,,
,29. Surajpur,2011 - 2012,513,155,0.3,,,,,,,,,
,,2012 - 2013,514,167,0.32,,,,,,,,,
,,2013 - 2014,578,203,0.35,,,,,,,,,
,,2014 - 2015,579,188,0.32,,,,,,,,,
,,2015 - 2016,569,166,0.29,,,,,,,,,
,,2016 - 2017,588,192,0.33,,,,,,,,,
,,2017 - 2018,464,156,0.34,,,,,,,,,
,,2018 - 2019,410,151,0.37,,,,,,,,,
,,2019 - 2020,460,186,0.4,,,,,,,,,
,,2020 - 2021,430,158,0.37,,,,,,,,,
,,2021 - 2022,358,142,0.4,,,,,,,,,
,,2022 - 2023,369,124,0.34,,,,,,,,,
,30. Surguja,2000 - 2001,"2,069.00",651,0.31,,,,,,,,,
,,2001 - 2002,"2,173.00",731,0.34,,,,,,,,,
,,2002 - 2003,"2,184.00",687,0.31,,,,,,,,,
,,2003 - 2004,"2,191.00",724,0.33,,,,,,,,,
,,2004 - 2005,"2,189.00",677,0.31,,,,,,,,,
,,2005 - 2006,"2,173.00",671,0.31,,,,,,,,,
,,2006 - 2007,"2,230.00",714,0.32,,,,,,,,,
,,2007 - 2008,"2,325.00",756,0.33,,,,,,,,,
,,2008 - 2009,"2,168.00",705,0.33,,,,,,,,,
,,2009 - 2010,"2,253.00",611,0.27,,,,,,,,,
,,2010 - 2011,"2,257.00",416,0.18,,,,,,,,,
,,2011 - 2012,"1,252.00",407,0.33,,,,,,,,,
,,2012 - 2013,"1,261.00",424,0.34,,,,,,,,,
,,2013 - 2014,"1,252.00",421,0.34,,,,,,,,,
,,2014 - 2015,"1,233.00",428,0.35,,,,,,,,,
,,2015 - 2016,"1,235.00",334,0.27,,,,,,,,,
,,2016 - 2017,"1,270.00",400,0.31,,,,,,,,,
,,2017 - 2018,"1,210.00",427,0.35,,,,,,,,,
,,2018 - 2019,"1,225.00",425,0.35,,,,,,,,,
,,2019 - 2020,"1,319.00",430,0.33,,,,,,,,,
,,2020 - 2021,"1,210.00",543,0.45,,,,,,,,,
,,2021 - 2022,"1,170.00",532,0.45,,,,,,,,,
,,2022 - 2023,"1,129.00",545,0.48,,,,,,,,,
6. Haryana,1. Ambala,2000 - 2001,"1,811.00","1,300.00",0.72,,,,,,,,,
,,2001 - 2002,"1,777.00","1,300.00",0.73,,,,,,,,,
,,2002 - 2003,"1,863.00","1,400.00",0.75,,,,,,,,,
,,2003 - 2004,"1,834.00","1,300.00",0.71,,,,,,,,,
,,2004 - 2005,"1,706.00","1,200.00",0.7,,,,,,,,,
,,2005 - 2006,"1,400.00",900,0.64,,,,,,,,,
,,2006 - 2007,"1,195.00",800,0.67,,,,,,,,,
,,2007 - 2008,"1,077.00",700,0.65,,,,,,,,,
,,2008 - 2009,"1,062.00",600,0.56,,,,,,,,,
,,2009 - 2010,857,700,0.82,,,,,,,,,
,,2010 - 2011,814,700,0.86,,,,,,,,,
,,2011 - 2012,664,600,0.9,,,,,,,,,
,,2012 - 2013,555,506,0.91,,,,,,,,,
,,2013 - 2014,600,500,0.83,,,,,,,,,
,,2014 - 2015,500,300,0.6,,,,,,,,,
,,2015 - 2016,500,300,0.6,,,,,,,,,
,,2016 - 2017,500,400,0.8,,,,,,,,,
,,2017 - 2018,340,330,0.97,,,,,,,,,
,,2018 - 2019,313,157,0.5,,,,,,,,,
,,2019 - 2020,60,48,0.8,,,,,,,,,
,,2020 - 2021,60,48,0.8,,,,,,,,,
,,2021 - 2022,43,34.4,0.8,,,,,,,,,
,2. Bhiwani,2000 - 2001,5,0,0,,,,,,,,,
,,2001 - 2002,11,0,0,,,,,,,,,
,,2002 - 2003,10,0,0,,,,,,,,,
,,2003 - 2004,20,0,0,,,,,,,,,
,,2006 - 2007,2,,0,,,,,,,,,
,,2010 - 2011,9,,0,,,,,,,,,
,,2012 - 2013,1,,0,,,,,,,,,
,3. Charki dadri,2021 - 2022,1,0.8,0.8,,,,,,,,,
,4. Faridabad,2000 - 2001,34,0,0,,,,,,,,,
,,2001 - 2002,9,0,0,,,,,,,,,
,,2002 - 2003,21,0,0,,,,,,,,,
,,2003 - 2004,58,0,0,,,,,,,,,
,,2004 - 2005,113,,0,,,,,,,,,
,,2005 - 2006,9,,0,,,,,,,,,
,,2006 - 2007,16,,0,,,,,,,,,
,,2007 - 2008,2,,0,,,,,,,,,
,,2014 - 2015,400,200,0.5,,,,,,,,,
,5. Fatehabad,2000 - 2001,27,0,0,,,,,,,,,
,,2001 - 2002,28,100,3.57,,,,,,,,,
,,2002 - 2003,10,0,0,,,,,,,,,
,,2003 - 2004,5,0,0,,,,,,,,,
,,2004 - 2005,19,,0,,,,,,,,,
,,2005 - 2006,3,,0,,,,,,,,,
,,2006 - 2007,6,,0,,,,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2010 - 2011,2,,0,,,,,,,,,
,,2011 - 2012,3,,0,,,,,,,,,
,6. Gurgaon,2000 - 2001,352,100,0.28,,,,,,,,,
,,2001 - 2002,"1,800.00","1,000.00",0.56,,,,,,,,,
,,2002 - 2003,91,0,0,,,,,,,,,
,,2003 - 2004,887,400,0.45,,,,,,,,,
,,2004 - 2005,864,400,0.46,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,7. Hisar,2000 - 2001,41,0,0,,,,,,,,,
,,2002 - 2003,54,0,0,,,,,,,,,
,,2003 - 2004,5,0,0,,,,,,,,,
,,2004 - 2005,2,,0,,,,,,,,,
,,2005 - 2006,91,100,1.1,,,,,,,,,
,,2007 - 2008,35,100,2.86,,,,,,,,,
,,2008 - 2009,3,,0,,,,,,,,,
,,2009 - 2010,4,,0,,,,,,,,,
,,2010 - 2011,8,,0,,,,,,,,,
,,2011 - 2012,7,,0,,,,,,,,,
,,2013 - 2014,200,200,1,,,,,,,,,
,,2017 - 2018,10,10,1,,,,,,,,,
,,2018 - 2019,8,6,0.75,,,,,,,,,
,,2019 - 2020,6,6,1,,,,,,,,,
,,2021 - 2022,1,0.8,0.8,,,,,,,,,
,8. Jhajjar,2008 - 2009,75,100,1.33,,,,,,,,,
,9. Jind,2000 - 2001,72,100,1.39,,,,,,,,,
,,2001 - 2002,65,100,1.54,,,,,,,,,
,,2002 - 2003,42,100,2.38,,,,,,,,,
,,2003 - 2004,48,100,2.08,,,,,,,,,
,,2004 - 2005,36,100,2.78,,,,,,,,,
,,2005 - 2006,35,100,2.86,,,,,,,,,
,,2006 - 2007,26,,0,,,,,,,,,
,,2007 - 2008,15,,0,,,,,,,,,
,,2008 - 2009,13,,0,,,,,,,,,
,,2009 - 2010,8,,0,,,,,,,,,
,,2010 - 2011,20,,0,,,,,,,,,
,,2011 - 2012,21,,0,,,,,,,,,
,,2012 - 2013,23,30,1.3,,,,,,,,,
,10. Kaithal,2000 - 2001,219,300,1.37,,,,,,,,,
,,2001 - 2002,325,400,1.23,,,,,,,,,
,,2002 - 2003,293,400,1.37,,,,,,,,,
,,2003 - 2004,294,400,1.36,,,,,,,,,
,,2004 - 2005,191,200,1.05,,,,,,,,,
,,2005 - 2006,175,200,1.14,,,,,,,,,
,,2006 - 2007,179,200,1.12,,,,,,,,,
,,2007 - 2008,134,200,1.49,,,,,,,,,
,,2008 - 2009,107,300,2.8,,,,,,,,,
,,2009 - 2010,111,200,1.8,,,,,,,,,
,,2010 - 2011,107,200,1.87,,,,,,,,,
,,2011 - 2012,107,200,1.87,,,,,,,,,
,,2012 - 2013,108,151,1.4,,,,,,,,,
,,2013 - 2014,100,100,1,,,,,,,,,
,,2017 - 2018,20,10,0.5,,,,,,,,,
,,2018 - 2019,14,8,0.57,,,,,,,,,
,,2020 - 2021,12,12,1,,,,,,,,,
,11. Karnal,2000 - 2001,714,600,0.84,,,,,,,,,
,,2001 - 2002,703,700,1,,,,,,,,,
,,2002 - 2003,683,700,1.02,,,,,,,,,
,,2003 - 2004,453,500,1.1,,,,,,,,,
,,2004 - 2005,449,500,1.11,,,,,,,,,
,,2005 - 2006,348,300,0.86,,,,,,,,,
,,2006 - 2007,304,300,0.99,,,,,,,,,
,,2007 - 2008,228,200,0.88,,,,,,,,,
,,2008 - 2009,704,600,0.85,,,,,,,,,
,,2009 - 2010,271,300,1.11,,,,,,,,,
,,2010 - 2011,251,300,1.2,,,,,,,,,
,,2011 - 2012,352,400,1.14,,,,,,,,,
,,2012 - 2013,238,262,1.1,,,,,,,,,
,,2013 - 2014,200,300,1.5,,,,,,,,,
,,2014 - 2015,200,300,1.5,,,,,,,,,
,,2015 - 2016,200,200,1,,,,,,,,,
,,2016 - 2017,100,100,1,,,,,,,,,
,,2017 - 2018,30,30,1,,,,,,,,,
,,2018 - 2019,69,35,0.51,,,,,,,,,
,,2019 - 2020,59,59,1,,,,,,,,,
,,2020 - 2021,59,59,1,,,,,,,,,
,,2021 - 2022,17,17,1,,,,,,,,,
,12. Kurukshetra,2000 - 2001,668,800,1.2,,,,,,,,,
,,2001 - 2002,824,"1,000.00",1.21,,,,,,,,,
,,2002 - 2003,609,800,1.31,,,,,,,,,
,,2003 - 2004,472,600,1.27,,,,,,,,,
,,2004 - 2005,437,500,1.14,,,,,,,,,
,,2005 - 2006,353,400,1.13,,,,,,,,,
,,2006 - 2007,386,500,1.3,,,,,,,,,
,,2007 - 2008,241,300,1.24,,,,,,,,,
,,2008 - 2009,216,300,1.39,,,,,,,,,
,,2009 - 2010,248,300,1.21,,,,,,,,,
,,2010 - 2011,287,400,1.39,,,,,,,,,
,,2011 - 2012,333,500,1.5,,,,,,,,,
,,2012 - 2013,216,302,1.4,,,,,,,,,
,,2013 - 2014,100,200,2,,,,,,,,,
,,2014 - 2015,100,100,1,,,,,,,,,
,,2015 - 2016,100,200,2,,,,,,,,,
,,2016 - 2017,100,100,1,,,,,,,,,
,,2017 - 2018,50,50,1,,,,,,,,,
,,2018 - 2019,48,24,0.5,,,,,,,,,
,,2019 - 2020,12,12,1,,,,,,,,,
,,2020 - 2021,7,7,1,,,,,,,,,
,,2021 - 2022,3,3,1,,,,,,,,,
,13. Mahendragarh,2017 - 2018,350,280,0.8,,,,,,,,,
,,2018 - 2019,352,176,0.5,,,,,,,,,
,14. Mewat,2005 - 2006,"1,031.00",500,0.48,,,,,,,,,
,,2006 - 2007,528,300,0.57,,,,,,,,,
,,2007 - 2008,697,300,0.43,,,,,,,,,
,,2008 - 2009,954,400,0.42,,,,,,,,,
,,2009 - 2010,"1,606.00",700,0.44,,,,,,,,,
,,2010 - 2011,877,400,0.46,,,,,,,,,
,,2011 - 2012,"1,222.00",600,0.49,,,,,,,,,
,,2012 - 2013,515,349,0.68,,,,,,,,,
,,2013 - 2014,400,200,0.5,,,,,,,,,
,,2014 - 2015,100,100,1,,,,,,,,,
,,2015 - 2016,500,200,0.4,,,,,,,,,
,,2016 - 2017,500,200,0.4,,,,,,,,,
,,2017 - 2018,300,290,0.97,,,,,,,,,
,,2018 - 2019,98,44,0.45,,,,,,,,,
,,2019 - 2020,439,176,0.4,,,,,,,,,
,,2020 - 2021,440,176,0.4,,,,,,,,,
,,2021 - 2022,68,27.2,0.4,,,,,,,,,
,15. Palwal,2008 - 2009,21,,0,,,,,,,,,
,,2009 - 2010,4,,0,,,,,,,,,
,,2010 - 2011,3,,0,,,,,,,,,
,,2011 - 2012,3,,0,,,,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,,,,
,,2017 - 2018,10,10,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2021 - 2022,3,1.2,0.4,,,,,,,,,
,16. Panchkula,2000 - 2001,457,400,0.88,,,,,,,,,
,,2001 - 2002,382,300,0.79,,,,,,,,,
,,2002 - 2003,339,300,0.88,,,,,,,,,
,,2003 - 2004,395,300,0.76,,,,,,,,,
,,2004 - 2005,335,300,0.9,,,,,,,,,
,,2005 - 2006,378,300,0.79,,,,,,,,,
,,2006 - 2007,311,200,0.64,,,,,,,,,
,,2007 - 2008,25,,0,,,,,,,,,
,,2008 - 2009,612,500,0.82,,,,,,,,,
,,2009 - 2010,404,400,0.99,,,,,,,,,
,,2010 - 2011,185,200,1.08,,,,,,,,,
,,2011 - 2012,200,200,1,,,,,,,,,
,,2012 - 2013,200,187,0.94,,,,,,,,,
,,2013 - 2014,200,200,1,,,,,,,,,
,,2014 - 2015,200,100,0.5,,,,,,,,,
,,2015 - 2016,100,100,1,,,,,,,,,
,,2016 - 2017,100,100,1,,,,,,,,,
,,2017 - 2018,140,60,0.43,,,,,,,,,
,,2018 - 2019,104,52,0.5,,,,,,,,,
,,2019 - 2020,58,58,1,,,,,,,,,
,,2020 - 2021,75,75,1,,,,,,,,,
,,2021 - 2022,39,39,1,,,,,,,,,
,17. Panipat,2000 - 2001,52,100,1.92,,,,,,,,,
,,2001 - 2002,28,0,0,,,,,,,,,
,,2002 - 2003,34,0,0,,,,,,,,,
,,2003 - 2004,57,100,1.75,,,,,,,,,
,,2004 - 2005,37,100,2.7,,,,,,,,,
,,2005 - 2006,52,100,1.92,,,,,,,,,
,,2006 - 2007,118,100,0.85,,,,,,,,,
,,2007 - 2008,53,100,1.89,,,,,,,,,
,,2008 - 2009,44,,0,,,,,,,,,
,,2009 - 2010,40,100,2.5,,,,,,,,,
,,2010 - 2011,25,,0,,,,,,,,,
,,2011 - 2012,37,,0,,,,,,,,,
,,2012 - 2013,38,47,1.24,,,,,,,,,
,,2013 - 2014,100,100,1,,,,,,,,,
,,2018 - 2019,2,1,0.5,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2021 - 2022,190,190,1,,,,,,,,,
,18. Rohtak,2001 - 2002,"1,400.00","1,000.00",0.71,,,,,,,,,
,,2002 - 2003,4,0,0,,,,,,,,,
,,2003 - 2004,3,0,0,,,,,,,,,
,,2004 - 2005,1,,0,,,,,,,,,
,,2005 - 2006,4,,0,,,,,,,,,
,19. Sirsa,2000 - 2001,33,0,0,,,,,,,,,
,,2001 - 2002,25,0,0,,,,,,,,,
,,2002 - 2003,47,100,2.13,,,,,,,,,
,,2003 - 2004,9,0,0,,,,,,,,,
,,2004 - 2005,11,,0,,,,,,,,,
,,2005 - 2006,10,,0,,,,,,,,,
,,2006 - 2007,8,,0,,,,,,,,,
,,2007 - 2008,24,,0,,,,,,,,,
,,2008 - 2009,22,,0,,,,,,,,,
,,2009 - 2010,27,,0,,,,,,,,,
,,2010 - 2011,10,,0,,,,,,,,,
,,2011 - 2012,12,,0,,,,,,,,,
,,2012 - 2013,14,13,0.93,,,,,,,,,
,,2018 - 2019,6,4,0.67,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,20. Sonipat,2000 - 2001,16,0,0,,,,,,,,,
,,2001 - 2002,26,0,0,,,,,,,,,
,,2002 - 2003,32,0,0,,,,,,,,,
,,2003 - 2004,21,0,0,,,,,,,,,
,,2004 - 2005,21,,0,,,,,,,,,
,,2005 - 2006,21,,0,,,,,,,,,
,,2007 - 2008,14,,0,,,,,,,,,
,,2009 - 2010,2,,0,,,,,,,,,
,21. Yamunanagar,2000 - 2001,"1,992.00","1,500.00",0.75,,,,,,,,,
,,2001 - 2002,"1,922.00","1,600.00",0.83,,,,,,,,,
,,2002 - 2003,"1,896.00","1,600.00",0.84,,,,,,,,,
,,2003 - 2004,"1,703.00","1,400.00",0.82,,,,,,,,,
,,2004 - 2005,"1,689.00","1,400.00",0.83,,,,,,,,,
,,2005 - 2006,"1,295.00","1,000.00",0.77,,,,,,,,,
,,2006 - 2007,"1,382.00","1,100.00",0.8,,,,,,,,,
,,2007 - 2008,885,700,0.79,,,,,,,,,
,,2008 - 2009,"1,024.00",800,0.78,,,,,,,,,
,,2009 - 2010,"1,064.00",900,0.85,,,,,,,,,
,,2010 - 2011,"1,064.00","1,100.00",1.03,,,,,,,,,
,,2011 - 2012,833,900,1.08,,,,,,,,,
,,2012 - 2013,707,725,1.03,,,,,,,,,
,,2013 - 2014,600,600,1,,,,,,,,,
,,2014 - 2015,500,500,1,,,,,,,,,
,,2015 - 2016,400,300,0.75,,,,,,,,,
,,2016 - 2017,300,300,1,,,,,,,,,
,,2017 - 2018,280,220,0.79,,,,,,,,,
,,2018 - 2019,245,124,0.51,,,,,,,,,
,,2019 - 2020,244,244,1,,,,,,,,,
,,2020 - 2021,244,244,1,,,,,,,,,
,,2021 - 2022,145,145,1,,,,,,,,,
7. Himachal Pradesh,1. Bilaspur,2000 - 2001,,,,5,1,0.2,,,,,,
,,2001 - 2002,,,,4,1,0.25,,,,,,
,,2002 - 2003,,,,17,5,0.29,,,,,,
,,2005 - 2006,6,2,0.33,,,,,,,,,
,,2006 - 2007,7,6,0.86,,,,,,,,,
,,2007 - 2008,,,,3,2,0.67,,,,,,
,,2012 - 2013,3,3,1,,,,,,,,,
,,2020 - 2021,2,2,1,,,,,,,,,
,,2021 - 2022,1,1,1,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,2. Chamba,2000 - 2001,,,,42,11,0.26,,,,,,
,,2001 - 2002,,,,36,12,0.33,,,,,,
,,2002 - 2003,,,,14,3,0.21,,,,,,
,,2005 - 2006,22,1,0.05,,,,,,,,,
,,2006 - 2007,17,6,0.35,,,,,,,,,
,,2007 - 2008,,,,10,6,0.6,,,,,,
,,2008 - 2009,3,2,0.67,,,,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,,,,
,,2010 - 2011,2,1,0.5,,,,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,,,,
,,2013 - 2014,21,18,0.86,,,,,,,,,
,,2014 - 2015,2,1,0.5,,,,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,,,,
,,2016 - 2017,2,1,0.5,,,,,,,,,
,,2017 - 2018,2,2,1,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2019 - 2020,4,4,1,,,,,,,,,
,,2020 - 2021,143,172,1.2,,,,,,,,,
,,2021 - 2022,75,90,1.2,,,,,,,,,
,,2022 - 2023,12,14,1.17,,,,,,,,,
,3. Hamirpur,2000 - 2001,,,,5,1,0.2,,,,,,
,,2001 - 2002,,,,7,2,0.29,,,,,,
,,2002 - 2003,,,,5,2,0.4,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2007 - 2008,,,,2,2,1,,,,,,
,,2008 - 2009,1,,0,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,1,,0,,,,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,,,,
,,2013 - 2014,11,9,0.82,,,,,,,,,
,,2014 - 2015,1,,0,,,,,,,,,
,,2015 - 2016,1,,0,,,,,,,,,
,,2016 - 2017,1,,0,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,4. Kangra,2000 - 2001,,,,142,28,0.2,,,,,,
,,2001 - 2002,,,,99,33,0.33,,,,,,
,,2002 - 2003,,,,133,29,0.22,,,,,,
,,2005 - 2006,102,20,0.2,,,,,,,,,
,,2006 - 2007,92,68,0.74,,,,,,,,,
,,2007 - 2008,,,,106,82,0.77,,,,,,
,,2008 - 2009,104,69,0.66,,,,,,,,,
,,2009 - 2010,122,83,0.68,,,,,,,,,
,,2010 - 2011,105,75,0.71,,,,,,,,,
,,2011 - 2012,96,89,0.93,,,,,,,,,
,,2012 - 2013,93,68,0.73,,,,,,,,,
,,2013 - 2014,86,66,0.77,,,,,,,,,
,,2014 - 2015,86,81,0.94,,,,,,,,,
,,2015 - 2016,85,56,0.66,,,,,,,,,
,,2016 - 2017,84,46,0.55,,,,,,,,,
,,2017 - 2018,85,69,0.81,,,,,,,,,
,,2018 - 2019,86,74,0.86,,,,,,,,,
,,2019 - 2020,84,82,0.98,,,,,,,,,
,,2020 - 2021,21,25,1.19,,,,,,,,,
,,2021 - 2022,8,10,1.25,,,,,,,,,
,,2022 - 2023,14,17,1.21,,,,,,,,,
,5. Kinnaur,2000 - 2001,,,,5,7,1.4,,,,,,
,,2001 - 2002,,,,2,3,1.5,,,,,,
,,2002 - 2003,,,,1,1,1,,,,,,
,,2006 - 2007,1,1,1,,,,,,,,,
,,2020 - 2021,1,1,1,,,,,,,,,
,6. Kullu,2000 - 2001,,,,100,20,0.2,,,,,,
,,2001 - 2002,,,,71,16,0.23,,,,,,
,,2002 - 2003,,,,95,15,0.16,,,,,,
,,2005 - 2006,76,7,0.09,,,,,,,,,
,,2006 - 2007,77,43,0.56,,,,,,,,,
,,2007 - 2008,,,,113,82,0.73,,,,,,
,,2008 - 2009,67,18,0.27,,,,,,,,,
,,2009 - 2010,68,22,0.32,,,,,,,,,
,,2010 - 2011,62,40,0.65,,,,,,,,,
,,2011 - 2012,78,69,0.88,,,,,,,,,
,,2012 - 2013,56,49,0.88,,,,,,,,,
,,2013 - 2014,48,34,0.71,,,,,,,,,
,,2014 - 2015,48,37,0.77,,,,,,,,,
,,2015 - 2016,47,36,0.77,,,,,,,,,
,,2016 - 2017,47,12,0.26,,,,,,,,,
,,2017 - 2018,47,42,0.89,,,,,,,,,
,,2018 - 2019,48,34,0.71,,,,,,,,,
,,2019 - 2020,54,44,0.81,,,,,,,,,
,,2020 - 2021,49,59,1.2,,,,,,,,,
,,2021 - 2022,34,41,1.21,,,,,,,,,
,,2022 - 2023,40,48,1.2,,,,,,,,,
,7. Lahul and spiti,2001 - 2002,,,,4,1,0.25,,,,,,
,8. Mandi,2000 - 2001,,,,165,32,0.19,,,,,,
,,2001 - 2002,,,,167,33,0.2,,,,,,
,,2002 - 2003,,,,138,41,0.3,,,,,,
,,2005 - 2006,193,47,0.24,,,,,,,,,
,,2006 - 2007,169,59,0.35,,,,,,,,,
,,2007 - 2008,,,,93,32,0.34,,,,,,
,,2008 - 2009,188,13,0.07,,,,,,,,,
,,2009 - 2010,189,17,0.09,,,,,,,,,
,,2010 - 2011,139,88,0.63,,,,,,,,,
,,2011 - 2012,152,138,0.91,,,,,,,,,
,,2012 - 2013,174,112,0.64,,,,,,,,,
,,2013 - 2014,134,97,0.72,,,,,,,,,
,,2014 - 2015,133,10,0.08,,,,,,,,,
,,2015 - 2016,132,85,0.64,,,,,,,,,
