State,District,Year,Masoor,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,"4,970.00","2,494.00",0.5,,,,,,,,,
,,2012 - 2013,"4,905.00","2,697.00",0.55,,,,,,,,,
,,2013 - 2014,"4,963.00","2,461.00",0.5,,,,,,,,,
,,2014 - 2015,"4,965.00","3,615.00",0.73,,,,,,,,,
,,2015 - 2016,"4,716.00","3,759.00",0.8,,,,,,,,,
,,2016 - 2017,"4,684.00","2,549.00",0.54,,,,,,,,,
,,2017 - 2018,"6,211.00","3,282.00",0.53,,,,,,,,,
,,2018 - 2019,"5,320.00","2,866.00",0.54,,,,,,,,,
,,2019 - 2020,"4,313.00","2,316.00",0.54,,,,,,,,,
,,2020 - 2021,"4,267.00","2,302.00",0.54,,,,,,,,,
,,2021 - 2022,"4,104.00","2,489.00",0.61,,,,,,,,,
,,2022 - 2023,"4,035.00","2,469.00",0.61,,,,,,,,,
,3. Biswanath,2020 - 2021,683,737,1.08,,,,,,,,,
,,2021 - 2022,709,759,1.07,,,,,,,,,
,,2022 - 2023,"1,202.00","1,296.00",1.08,,,,,,,,,
,4. Bongaigaon,2001 - 2002,"1,142.00",672,0.59,,,,,,,,,
,,2002 - 2003,"1,991.00","1,339.00",0.67,,,,,,,,,
,,2003 - 2004,"2,130.00","1,371.00",0.64,,,,,,,,,
,,2004 - 2005,"2,473.00","1,519.00",0.61,,,,,,,,,
,,2005 - 2006,"1,458.00",805,0.55,,,,,,,,,
,,2006 - 2007,"1,605.00",910,0.57,,,,,,,,,
,,2007 - 2008,"1,338.00",721,0.54,,,,,,,,,
,,2008 - 2009,"1,288.00",686,0.53,,,,,,,,,
,,2009 - 2010,"1,390.00",759,0.55,,,,,,,,,
,,2010 - 2011,"1,413.00",769,0.54,,,,,,,,,
,,2011 - 2012,"1,348.00",821,0.61,,,,,,,,,
,,2012 - 2013,"1,331.00",899,0.68,,,,,,,,,
,,2013 - 2014,"1,514.00","1,009.00",0.67,,,,,,,,,
,,2014 - 2015,"1,535.00","1,385.00",0.9,,,,,,,,,
,,2015 - 2016,"1,621.00",992,0.61,,,,,,,,,
,,2016 - 2017,"1,727.00","1,314.00",0.76,,,,,,,,,
,,2017 - 2018,"1,719.00","1,132.00",0.66,,,,,,,,,
,,2018 - 2019,"1,680.00","1,591.00",0.95,,,,,,,,,
,,2019 - 2020,"1,308.00","1,243.00",0.95,,,,,,,,,
,,2020 - 2021,"1,117.00",986,0.88,,,,,,,,,
,,2021 - 2022,"1,428.00","1,238.00",0.87,,,,,,,,,
,,2022 - 2023,"1,335.00",861,0.64,,,,,,,,,
,5. Cachar,2001 - 2002,13,7,0.54,,,,,,,,,
,,2002 - 2003,14,7,0.5,,,,,,,,,
,,2003 - 2004,15,8,0.53,,,,,,,,,
,,2004 - 2005,19,10,0.53,,,,,,,,,
,,2005 - 2006,21,11,0.52,,,,,,,,,
,,2006 - 2007,36,19,0.53,,,,,,,,,
,,2007 - 2008,26,13,0.5,,,,,,,,,
,,2008 - 2009,26,11,0.42,,,,,,,,,
,,2009 - 2010,25,12,0.48,,,,,,,,,
,,2010 - 2011,26,12,0.46,,,,,,,,,
,,2011 - 2012,30,16,0.53,,,,,,,,,
,,2012 - 2013,29,15,0.52,,,,,,,,,
,,2013 - 2014,30,17,0.57,,,,,,,,,
,,2014 - 2015,33,22,0.67,,,,,,,,,
,,2015 - 2016,31,21,0.68,,,,,,,,,
,,2016 - 2017,32,21,0.66,,,,,,,,,
,,2017 - 2018,35,24,0.69,,,,,,,,,
,,2018 - 2019,38,25,0.66,,,,,,,,,
,,2019 - 2020,41,27,0.66,,,,,,,,,
,,2020 - 2021,44,29,0.66,,,,,,,,,
,,2021 - 2022,64,42,0.66,,,,,,,,,
,,2022 - 2023,530,302,0.57,,,,,,,,,
,6. Charaideo,2020 - 2021,10,6,0.6,,,,,,,,,
,,2021 - 2022,15,9,0.6,,,,,,,,,
,,2022 - 2023,35,21,0.6,,,,,,,,,
,7. Chirang,2005 - 2006,"1,043.00",576,0.55,,,,,,,,,
,,2006 - 2007,"1,258.00",694,0.55,,,,,,,,,
,,2007 - 2008,"1,462.00",788,0.54,,,,,,,,,
,,2008 - 2009,"1,364.00",662,0.49,,,,,,,,,
,,2009 - 2010,"1,361.00",715,0.53,,,,,,,,,
,,2010 - 2011,"1,382.00",714,0.52,,,,,,,,,
,,2011 - 2012,"1,170.00",621,0.53,,,,,,,,,
,,2012 - 2013,"1,880.00","1,114.00",0.59,,,,,,,,,
,,2013 - 2014,"1,914.00","1,599.00",0.84,,,,,,,,,
,,2014 - 2015,"1,994.00","1,558.00",0.78,,,,,,,,,
,,2015 - 2016,"1,902.00","1,026.00",0.54,,,,,,,,,
,,2016 - 2017,"1,968.00","1,290.00",0.66,,,,,,,,,
,,2017 - 2018,"1,970.00","1,084.00",0.55,,,,,,,,,
,,2018 - 2019,"1,947.00",974,0.5,,,,,,,,,
,,2019 - 2020,"2,001.00","1,093.00",0.55,,,,,,,,,
,,2020 - 2021,"1,701.00",859,0.5,,,,,,,,,
,,2021 - 2022,"1,933.00","1,953.00",1.01,,,,,,,,,
,,2022 - 2023,"2,507.00","1,129.00",0.45,,,,,,,,,
,8. Darrang,2001 - 2002,"1,172.00",820,0.7,,,,,,,,,
,,2002 - 2003,915,641,0.7,,,,,,,,,
,,2003 - 2004,"1,077.00",716,0.66,,,,,,,,,
,,2004 - 2005,900,622,0.69,,,,,,,,,
,,2005 - 2006,391,274,0.7,,,,,,,,,
,,2006 - 2007,274,192,0.7,,,,,,,,,
,,2007 - 2008,945,662,0.7,,,,,,,,,
,,2008 - 2009,845,592,0.7,,,,,,,,,
,,2009 - 2010,896,627,0.7,,,,,,,,,
,,2010 - 2011,"1,037.00",726,0.7,,,,,,,,,
,,2011 - 2012,"1,016.00",633,0.62,,,,,,,,,
,,2012 - 2013,"2,051.00","1,598.00",0.78,,,,,,,,,
,,2013 - 2014,"1,883.00","4,519.00",2.4,,,,,,,,,
,,2014 - 2015,"1,859.00","1,918.00",1.03,,,,,,,,,
,,2015 - 2016,"1,829.00","1,363.00",0.75,,,,,,,,,
,,2016 - 2017,"1,578.00","1,176.00",0.75,,,,,,,,,
,,2017 - 2018,"1,755.00","2,855.00",1.63,,,,,,,,,
,,2018 - 2019,"1,620.00","2,639.00",1.63,,,,,,,,,
,,2019 - 2020,"1,559.00","1,949.00",1.25,,,,,,,,,
,,2020 - 2021,"1,564.00","1,195.00",0.76,,,,,,,,,
,,2021 - 2022,"1,188.00","1,224.00",1.03,,,,,,,,,
,,2022 - 2023,"1,191.00","1,370.00",1.15,,,,,,,,,
,9. Dhemaji,2001 - 2002,315,140,0.44,,,,,,,,,
,,2002 - 2003,362,163,0.45,,,,,,,,,
,,2003 - 2004,550,256,0.47,,,,,,,,,
,,2004 - 2005,126,48,0.38,,,,,,,,,
,,2005 - 2006,111,40,0.36,,,,,,,,,
,,2006 - 2007,332,149,0.45,,,,,,,,,
,,2007 - 2008,130,50,0.38,,,,,,,,,
,,2008 - 2009,111,47,0.42,,,,,,,,,
,,2009 - 2010,95,38,0.4,,,,,,,,,
,,2010 - 2011,92,38,0.41,,,,,,,,,
,,2011 - 2012,49,22,0.45,,,,,,,,,
,,2012 - 2013,165,87,0.53,,,,,,,,,
,,2013 - 2014,154,85,0.55,,,,,,,,,
,,2014 - 2015,404,289,0.72,,,,,,,,,
,,2015 - 2016,326,233,0.71,,,,,,,,,
,,2016 - 2017,230,164,0.71,,,,,,,,,
,,2017 - 2018,233,165,0.71,,,,,,,,,
,,2018 - 2019,235,188,0.8,,,,,,,,,
,,2019 - 2020,232,145,0.63,,,,,,,,,
,,2020 - 2021,232,190,0.82,,,,,,,,,
,,2021 - 2022,222,120,0.54,,,,,,,,,
,,2022 - 2023,262,137,0.52,,,,,,,,,
,10. Dhubri,2001 - 2002,"1,553.00","1,191.00",0.77,,,,,,,,,
,,2002 - 2003,"1,435.00","1,099.00",0.77,,,,,,,,,
,,2003 - 2004,"1,490.00","1,145.00",0.77,,,,,,,,,
,,2004 - 2005,"1,365.00","1,047.00",0.77,,,,,,,,,
,,2005 - 2006,"1,109.00",851,0.77,,,,,,,,,
,,2006 - 2007,"1,174.00",900,0.77,,,,,,,,,
,,2007 - 2008,"1,198.00",919,0.77,,,,,,,,,
,,2008 - 2009,"1,265.00",970,0.77,,,,,,,,,
,,2009 - 2010,"1,206.00",925,0.77,,,,,,,,,
,,2010 - 2011,"1,205.00",926,0.77,,,,,,,,,
,,2011 - 2012,"1,520.00","1,130.00",0.74,,,,,,,,,
,,2012 - 2013,"1,220.00",973,0.8,,,,,,,,,
,,2013 - 2014,"1,186.00",961,0.81,,,,,,,,,
