State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2011 - 2012,96,"3,557.00",37.05,,,,,,,,,,,,,,,
,,2012 - 2013,193,"6,873.00",35.61,,,,,,,,,,,,,,,
,,2013 - 2014,209,"7,727.00",36.97,,,,,,,,,,,,,,,
,,2014 - 2015,147,"5,404.00",36.76,,,,,,,,,,,,,,,
,,2015 - 2016,255,"8,988.00",35.25,,,,,,,,,,,,,,,
,,2016 - 2017,178,"6,847.00",38.47,,,,,,,,,,,,,,,
,,2017 - 2018,103,"3,852.00",37.4,,,,,,,,,,,,,,,
,,2018 - 2019,178,"6,241.00",35.06,,,,,,,,,,,,,,,
,,2019 - 2020,138,"5,660.00",41.01,,,,,,,,,,,,,,,
,,2020 - 2021,90,"3,226.00",35.84,,,,,,,,,,,,,,,
,,2021 - 2022,80,"3,117.00",38.96,,,,,,,,,,,,,,,
,,2022 - 2023,39,"1,738.00",44.56,,,,,,,,,,,,,,,
,8. Darrang,2000 - 2001,"1,118.00","33,668.00",30.11,,,,,,,,,,,,,,,
,,2001 - 2002,"1,143.00","36,145.00",31.62,,,,,,,,,,,,,,,
,,2002 - 2003,"1,090.00","37,462.00",34.37,,,,,,,,,,,,,,,
,,2003 - 2004,990,"40,285.00",40.69,,,,,,,,,,,,,,,
,,2004 - 2005,"1,080.00","37,380.00",34.61,,,,,,,,,,,,,,,
,,2005 - 2006,469,"13,245.00",28.24,,,,,,,,,,,,,,,
,,2006 - 2007,240,"7,594.00",31.64,,,,,,,,,,,,,,,
,,2007 - 2008,337,"11,694.00",34.7,,,,,,,,,,,,,,,
,,2008 - 2009,477,"18,441.00",38.66,,,,,,,,,,,,,,,
,,2009 - 2010,563,"22,254.00",39.53,,,,,,,,,,,,,,,
,,2010 - 2011,609,"23,402.00",38.43,,,,,,,,,,,,,,,
,,2011 - 2012,471,"19,800.00",42.04,,,,,,,,,,,,,,,
,,2012 - 2013,495,"20,037.00",40.48,,,,,,,,,,,,,,,
,,2013 - 2014,527,"22,015.00",41.77,,,,,,,,,,,,,,,
,,2014 - 2015,516,"22,429.00",43.47,,,,,,,,,,,,,,,
,,2015 - 2016,543,"21,790.00",40.13,,,,,,,,,,,,,,,
,,2016 - 2017,527,"24,202.00",45.92,,,,,,,,,,,,,,,
,,2017 - 2018,529,"21,115.00",39.91,,,,,,,,,,,,,,,
,,2018 - 2019,505,"20,251.00",40.1,,,,,,,,,,,,,,,
,,2019 - 2020,344,"14,138.00",41.1,,,,,,,,,,,,,,,
,,2020 - 2021,487,"21,087.00",43.3,,,,,,,,,,,,,,,
,,2021 - 2022,497,"19,847.00",39.93,,,,,,,,,,,,,,,
,,2022 - 2023,495,"19,669.00",39.74,,,,,,,,,,,,,,,
,9. Dhemaji,2000 - 2001,95,"3,505.00",36.89,,,,,,,,,,,,,,,
,,2001 - 2002,82,"3,053.00",37.23,,,,,,,,,,,,,,,
,,2002 - 2003,90,"3,278.00",36.42,,,,,,,,,,,,,,,
,,2003 - 2004,87,"3,357.00",38.59,,,,,,,,,,,,,,,
,,2004 - 2005,35,"1,293.00",36.94,,,,,,,,,,,,,,,
,,2005 - 2006,93,"3,459.00",37.19,,,,,,,,,,,,,,,
,,2006 - 2007,102,"4,042.00",39.63,,,,,,,,,,,,,,,
,,2007 - 2008,102,"3,884.00",38.08,,,,,,,,,,,,,,,
,,2008 - 2009,90,"3,455.00",38.39,,,,,,,,,,,,,,,
,,2009 - 2010,90,"3,520.00",39.11,,,,,,,,,,,,,,,
