State,District,Year,Sugarcane,,,,,,,,,,,,,,,,,
,,,Whole Year,,,Autumn,,,Kharif,,,Winter,,,Rabi,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2003 - 2004,"1,02,700.00","77,17,000.00",75.14,,,,,,,,,,,,,,,
,,2004 - 2005,"1,16,500.00","90,71,000.00",77.86,,,,,,,,,,,,,,,
,,2005 - 2006,"1,30,600.00","1,17,54,000.00",90,,,,,,,,,,,,,,,
,,2006 - 2007,"1,19,600.00","91,47,000.00",76.48,,,,,,,,,,,,,,,
,,2007 - 2008,"1,25,900.00","90,20,000.00",71.64,,,,,,,,,,,,,,,
,,2008 - 2009,"1,12,400.00","79,74,000.00",70.94,,,,,,,,,,,,,,,
,,2009 - 2010,"1,01,400.00","70,07,000.00",69.1,,,,,,,,,,,,,,,
,,2010 - 2011,"98,900.00","74,11,000.00",74.93,,,,,,,,,,,,,,,
,,2011 - 2012,"1,05,900.00","69,42,000.00",65.55,,,,,,,,,,,,,,,
,,2012 - 2013,"84,400.00","6,11,300.00",7.24,,,,,,,,,,,,,,,
,,2013 - 2014,"87,905.00","62,49,166.00",71.09,,,,,,,,,,,,,,,
,,2014 - 2015,"98,025.00","70,63,191.00",72.05,,,,,,,,,,,,,,,
,,2015 - 2016,"66,310.00","51,05,538.00",76.99,,,,,,,,,,,,,,,
,,2016 - 2017,"77,031.00","57,13,697.00",74.17,,,,,,,,,,,,,,,
,,2017 - 2018,"85,998.00","58,47,864.00",68,,,,,,,,,,,,,,,
,,2018 - 2019,"76,286.00","57,21,450.00",75,,,,,,,,,,,,,,,
,,2019 - 2020,"68,372.00","50,25,342.00",73.5,,,,,,,,,,,,,,,
,,2020 - 2021,"77,383.00","65,77,555.00",85,,,,,,,,,,,,,,,
,,2021 - 2022,"79,989.00","69,23,848.00",86.56,,,,,,,,,,,,,,,
,,2022 - 2023,"84,269.00","62,71,510.00",74.42,,,,,,,,,,,,,,,
,22. Surendranagar,2000 - 2001,400,"29,000.00",72.5,,,,,,,,,,,,,,,
,,2001 - 2002,100,"5,000.00",50,,,,,,,,,,,,,,,
,,2002 - 2003,400,"26,000.00",65,,,,,,,,,,,,,,,
,,2004 - 2005,500,"35,000.00",70,,,,,,,,,,,,,,,
,,2005 - 2006,100,"5,000.00",50,,,,,,,,,,,,,,,
,,2006 - 2007,300,"21,000.00",70,,,,,,,,,,,,,,,
,,2007 - 2008,300,"22,000.00",73.33,,,,,,,,,,,,,,,
,,2008 - 2009,100,"6,000.00",60,,,,,,,,,,,,,,,
,,2009 - 2010,100,"7,000.00",70,,,,,,,,,,,,,,,
,,2010 - 2011,100,"7,000.00",70,,,,,,,,,,,,,,,
,,2011 - 2012,100,"6,000.00",60,,,,,,,,,,,,,,,
,,2013 - 2014,55,"3,849.00",69.98,,,,,,,,,,,,,,,
,,2016 - 2017,20,"1,437.00",71.85,,,,,,,,,,,,,,,
,,2021 - 2022,10,700,70,,,,,,,,,,,,,,,
,23. Tapi,2008 - 2009,"19,500.00","14,20,000.00",72.82,,,,,,,,,,,,,,,
,,2009 - 2010,"15,800.00","11,22,000.00",71.01,,,,,,,,,,,,,,,
,,2010 - 2011,"10,100.00","5,16,000.00",51.09,,,,,,,,,,,,,,,
,,2011 - 2012,"18,100.00","8,03,000.00",44.36,,,,,,,,,,,,,,,
,,2012 - 2013,"22,400.00","1,67,300.00",7.47,,,,,,,,,,,,,,,
,,2013 - 2014,"25,601.00","14,33,656.00",56,,,,,,,,,,,,,,,
,,2014 - 2015,"27,088.00","15,93,668.00",58.83,,,,,,,,,,,,,,,
,,2015 - 2016,"25,619.00","14,17,755.00",55.34,,,,,,,,,,,,,,,
,,2016 - 2017,"23,670.00","13,01,850.00",55,,,,,,,,,,,,,,,
,,2017 - 2018,"24,656.00","12,82,112.00",52,,,,,,,,,,,,,,,
,,2018 - 2019,"20,145.00","15,71,310.00",78,,,,,,,,,,,,,,,
,,2019 - 2020,"21,004.00","15,96,304.00",76,,,,,,,,,,,,,,,
,,2020 - 2021,"24,261.00","19,40,880.00",80,,,,,,,,,,,,,,,
,,2021 - 2022,"24,934.00","20,99,443.00",84.2,,,,,,,,,,,,,,,
,,2022 - 2023,"25,054.00","21,35,403.00",85.23,,,,,,,,,,,,,,,
,24. Vadodara,2000 - 2001,"1,000.00","76,000.00",76,,,,,,,,,,,,,,,
,,2001 - 2002,"1,200.00","86,000.00",71.67,,,,,,,,,,,,,,,
,,2002 - 2003,"1,800.00","1,28,000.00",71.11,,,,,,,,,,,,,,,
,,2003 - 2004,"2,700.00","1,94,000.00",71.85,,,,,,,,,,,,,,,
,,2004 - 2005,"2,300.00","1,68,000.00",73.04,,,,,,,,,,,,,,,
,,2005 - 2006,"2,400.00","1,55,000.00",64.58,,,,,,,,,,,,,,,
,,2006 - 2007,"3,200.00","2,23,000.00",69.69,,,,,,,,,,,,,,,
,,2007 - 2008,"3,900.00","2,79,000.00",71.54,,,,,,,,,,,,,,,
,,2008 - 2009,"6,600.00","4,61,000.00",69.85,,,,,,,,,,,,,,,
,,2009 - 2010,"5,600.00","4,04,000.00",72.14,,,,,,,,,,,,,,,
,,2010 - 2011,"7,700.00","4,70,000.00",61.04,,,,,,,,,,,,,,,
,,2011 - 2012,"7,000.00","3,17,000.00",45.29,,,,,,,,,,,,,,,
,,2012 - 2013,"7,400.00","45,200.00",6.11,,,,,,,,,,,,,,,
,,2013 - 2014,"7,450.00","4,54,450.00",61,,,,,,,,,,,,,,,
,,2014 - 2015,"6,490.00","3,95,890.00",61,,,,,,,,,,,,,,,
,,2015 - 2016,"10,010.00","6,75,675.00",67.5,,,,,,,,,,,,,,,
,,2016 - 2017,"2,050.00","1,33,250.00",65,,,,,,,,,,,,,,,
,,2017 - 2018,"4,444.00","2,79,972.00",63,,,,,,,,,,,,,,,
,,2018 - 2019,"1,547.00","10,056.00",6.5,,,,,,,,,,,,,,,
,,2019 - 2020,59,"3,770.00",63.9,,,,,,,,,,,,,,,
,,2020 - 2021,969,"63,954.00",66,,,,,,,,,,,,,,,
,,2021 - 2022,"1,169.00","76,803.00",65.7,,,,,,,,,,,,,,,
,,2022 - 2023,199,"12,622.00",63.43,,,,,,,,,,,,,,,
,25. Valsad,2000 - 2001,"26,900.00","15,73,000.00",58.48,,,,,,,,,,,,,,,
,,2001 - 2002,"24,000.00","13,90,000.00",57.92,,,,,,,,,,,,,,,
,,2002 - 2003,"39,300.00","27,33,000.00",69.54,,,,,,,,,,,,,,,
,,2003 - 2004,"11,200.00","6,38,000.00",56.96,,,,,,,,,,,,,,,
,,2004 - 2005,"14,000.00","8,35,000.00",59.64,,,,,,,,,,,,,,,
,,2005 - 2006,"15,900.00","10,44,000.00",65.66,,,,,,,,,,,,,,,
,,2006 - 2007,"16,200.00","11,27,000.00",69.57,,,,,,,,,,,,,,,
,,2007 - 2008,"9,900.00","6,57,000.00",66.36,,,,,,,,,,,,,,,
,,2008 - 2009,"9,600.00","6,50,000.00",67.71,,,,,,,,,,,,,,,
,,2009 - 2010,"8,600.00","6,15,000.00",71.51,,,,,,,,,,,,,,,
,,2010 - 2011,"8,800.00","5,98,000.00",67.95,,,,,,,,,,,,,,,
,,2011 - 2012,"7,600.00","5,32,000.00",70,,,,,,,,,,,,,,,
,,2012 - 2013,"8,600.00","65,500.00",7.62,,,,,,,,,,,,,,,
,,2013 - 2014,"8,602.00","3,75,907.00",43.7,,,,,,,,,,,,,,,
,,2014 - 2015,"7,172.00","5,30,728.00",74,,,,,,,,,,,,,,,
,,2015 - 2016,"7,280.00","4,36,800.00",60,,,,,,,,,,,,,,,
,,2016 - 2017,"8,978.00","5,38,680.00",60,,,,,,,,,,,,,,,
,,2017 - 2018,"6,918.00","3,59,736.00",52,,,,,,,,,,,,,,,
,,2018 - 2019,"6,150.00","4,12,050.00",67,,,,,,,,,,,,,,,
,,2019 - 2020,"6,120.00","4,10,652.00",67.1,,,,,,,,,,,,,,,
,,2020 - 2021,"6,069.00","4,09,658.00",67.5,,,,,,,,,,,,,,,
,,2021 - 2022,"5,341.00","3,62,120.00",67.8,,,,,,,,,,,,,,,
,,2022 - 2023,"5,929.00","4,00,812.00",67.6,,,,,,,,,,,,,,,
11. Haryana,1. Ambala,2000 - 2001,"15,726.00","9,20,000.00",58.5,,,,,,,,,,,,,,,
,,2001 - 2002,"17,294.00","9,90,000.00",57.25,,,,,,,,,,,,,,,
,,2002 - 2003,"17,437.00","10,60,000.00",60.79,,,,,,,,,,,,,,,
,,2003 - 2004,"14,517.00","8,90,000.00",61.31,,,,,,,,,,,,,,,
,,2004 - 2005,"12,669.00","8,20,000.00",64.72,,,,,,,,,,,,,,,
,,2005 - 2006,"13,214.00","8,50,000.00",64.33,,,,,,,,,,,,,,,
,,2006 - 2007,"14,345.00","9,10,000.00",63.44,,,,,,,,,,,,,,,
,,2007 - 2008,"15,219.00","10,30,000.00",67.68,,,,,,,,,,,,,,,
,,2008 - 2009,"11,101.00","6,16,000.00",55.49,,,,,,,,,,,,,,,
,,2009 - 2010,"9,639.00","7,14,000.00",74.07,,,,,,,,,,,,,,,
,,2010 - 2011,"9,608.00","67,000.00",6.97,,,,,,,,,,,,,,,
,,2011 - 2012,"9,637.00","72,000.00",7.47,,,,,,,,,,,,,,,
,,2012 - 2013,"10,110.00","7,97,000.00",78.83,,,,,,,,,,,,,,,
,,2013 - 2014,"10,000.00","7,12,000.00",71.2,,,,,,,,,,,,,,,
,,2014 - 2015,"10,000.00","7,06,000.00",70.6,,,,,,,,,,,,,,,
,,2015 - 2016,"10,000.00","6,75,000.00",67.5,,,,,,,,,,,,,,,
,,2016 - 2017,"9,800.00","7,66,000.00",78.16,,,,,,,,,,,,,,,
,,2017 - 2018,"11,800.00","9,58,200.00",81.2,,,,,,,,,,,,,,,
,,2018 - 2019,"11,500.00","8,29,600.00",72.14,,,,,,,,,,,,,,,
,,2019 - 2020,"11,400.00","9,09,600.00",79.79,,,,,,,,,,,,,,,
,,2020 - 2021,"10,300.00","7,99,740.00",77.64,,,,,,,,,,,,,,,
,,2021 - 2022,"9,951.00","8,07,820.00",81.18,,,,,,,,,,,,,,,
,2. Bhiwani,2000 - 2001,"1,069.00","50,000.00",46.77,,,,,,,,,,,,,,,
,,2001 - 2002,"1,553.00","50,000.00",32.2,,,,,,,,,,,,,,,
,,2002 - 2003,"2,949.00","1,50,000.00",50.86,,,,,,,,,,,,,,,
,,2003 - 2004,"2,581.00","1,60,000.00",61.99,,,,,,,,,,,,,,,
,,2004 - 2005,"1,425.00","50,000.00",35.09,,,,,,,,,,,,,,,
,,2005 - 2006,"1,668.00","1,20,000.00",71.94,,,,,,,,,,,,,,,
,,2006 - 2007,"1,752.00","1,04,000.00",59.36,,,,,,,,,,,,,,,
,,2007 - 2008,"1,859.00","1,20,000.00",64.55,,,,,,,,,,,,,,,
,,2008 - 2009,"1,217.00","61,000.00",50.12,,,,,,,,,,,,,,,
,,2009 - 2010,909,"83,000.00",91.31,,,,,,,,,,,,,,,
,,2010 - 2011,"1,047.00","9,000.00",8.6,,,,,,,,,,,,,,,
,,2011 - 2012,"2,462.00","16,000.00",6.5,,,,,,,,,,,,,,,
,,2012 - 2013,"2,463.00","1,28,000.00",51.97,,,,,,,,,,,,,,,
,,2013 - 2014,"2,000.00","1,51,000.00",75.5,,,,,,,,,,,,,,,
,,2014 - 2015,"2,000.00","1,52,000.00",76,,,,,,,,,,,,,,,
,,2015 - 2016,"2,000.00","1,44,000.00",72,,,,,,,,,,,,,,,
,,2016 - 2017,"4,000.00","2,50,000.00",62.5,,,,,,,,,,,,,,,
,,2017 - 2018,"2,800.00","2,14,900.00",76.75,,,,,,,,,,,,,,,
,,2018 - 2019,"2,700.00","1,99,700.00",73.96,,,,,,,,,,,,,,,
,,2019 - 2020,"2,400.00","1,90,000.00",79.17,,,,,,,,,,,,,,,
,,2020 - 2021,"2,960.00","2,16,650.00",73.19,,,,,,,,,,,,,,,
,,2021 - 2022,"2,962.00","1,94,040.00",65.51,,,,,,,,,,,,,,,
,3. Charki dadri,2017 - 2018,"1,300.00","99,500.00",76.54,,,,,,,,,,,,,,,
,,2018 - 2019,"1,300.00","1,20,000.00",92.31,,,,,,,,,,,,,,,
,,2019 - 2020,"1,100.00","88,300.00",80.27,,,,,,,,,,,,,,,
,,2020 - 2021,"1,900.00","1,63,740.00",86.18,,,,,,,,,,,,,,,
,,2021 - 2022,"1,436.00","1,36,310.00",94.92,,,,,,,,,,,,,,,
,4. Faridabad,2000 - 2001,"7,418.00","3,60,000.00",48.53,,,,,,,,,,,,,,,
,,2001 - 2002,"6,596.00","3,70,000.00",56.09,,,,,,,,,,,,,,,
,,2002 - 2003,"7,753.00","4,00,000.00",51.59,,,,,,,,,,,,,,,
,,2003 - 2004,"7,174.00","3,40,000.00",47.39,,,,,,,,,,,,,,,
,,2004 - 2005,"5,833.00","2,90,000.00",49.72,,,,,,,,,,,,,,,
,,2005 - 2006,"5,184.00","2,40,000.00",46.3,,,,,,,,,,,,,,,
,,2006 - 2007,"5,425.00","2,67,000.00",49.22,,,,,,,,,,,,,,,
,,2007 - 2008,"4,820.00","2,90,000.00",60.17,,,,,,,,,,,,,,,
,,2008 - 2009,906,"54,000.00",59.6,,,,,,,,,,,,,,,
,,2009 - 2010,801,"54,000.00",67.42,,,,,,,,,,,,,,,
,,2010 - 2011,809,"5,000.00",6.18,,,,,,,,,,,,,,,
,,2011 - 2012,579,"8,000.00",13.82,,,,,,,,,,,,,,,
,,2012 - 2013,668,"74,000.00",110.78,,,,,,,,,,,,,,,
,,2015 - 2016,"1,000.00","72,000.00",72,,,,,,,,,,,,,,,
,,2016 - 2017,"1,500.00","1,21,000.00",80.67,,,,,,,,,,,,,,,
,,2017 - 2018,300,"27,600.00",92,,,,,,,,,,,,,,,
,,2018 - 2019,400,"22,000.00",55,,,,,,,,,,,,,,,
,,2019 - 2020,200,"13,500.00",67.5,,,,,,,,,,,,,,,
,,2020 - 2021,280,"17,020.00",60.79,,,,,,,,,,,,,,,
,,2021 - 2022,321,"26,300.00",81.93,,,,,,,,,,,,,,,
,5. Fatehabad,2000 - 2001,"2,090.00","1,20,000.00",57.42,,,,,,,,,,,,,,,
,,2001 - 2002,"3,036.00","1,80,000.00",59.29,,,,,,,,,,,,,,,
,,2002 - 2003,"3,774.00","2,10,000.00",55.64,,,,,,,,,,,,,,,
,,2003 - 2004,"2,028.00","1,00,000.00",49.31,,,,,,,,,,,,,,,
,,2004 - 2005,874,"80,000.00",91.53,,,,,,,,,,,,,,,
,,2005 - 2006,482,,0,,,,,,,,,,,,,,,
,,2006 - 2007,644,"65,000.00",100.93,,,,,,,,,,,,,,,
,,2007 - 2008,"1,433.00","80,000.00",55.83,,,,,,,,,,,,,,,
,,2008 - 2009,845,"73,000.00",86.39,,,,,,,,,,,,,,,
,,2009 - 2010,176,,0,,,,,,,,,,,,,,,
,,2010 - 2011,183,,0,,,,,,,,,,,,,,,
,,2011 - 2012,57,,0,,,,,,,,,,,,,,,
,,2012 - 2013,97,,0,,,,,,,,,,,,,,,
,,2016 - 2017,500,"31,000.00",62,,,,,,,,,,,,,,,
,,2017 - 2018,"1,300.00","1,10,500.00",85,,,,,,,,,,,,,,,
,,2018 - 2019,"1,500.00","1,17,400.00",78.27,,,,,,,,,,,,,,,
,,2019 - 2020,"1,100.00","96,100.00",87.36,,,,,,,,,,,,,,,
,,2020 - 2021,"1,500.00","1,07,580.00",71.72,,,,,,,,,,,,,,,
,,2021 - 2022,"1,196.00","92,120.00",77.02,,,,,,,,,,,,,,,
,6. Gurgaon,2000 - 2001,202,,0,,,,,,,,,,,,,,,
,,2001 - 2002,152,0,0,,,,,,,,,,,,,,,
,,2002 - 2003,182,0,0,,,,,,,,,,,,,,,
,,2003 - 2004,86,0,0,,,,,,,,,,,,,,,
,,2004 - 2005,100,,0,,,,,,,,,,,,,,,
,,2005 - 2006,11,,0,,,,,,,,,,,,,,,
,,2006 - 2007,6,,0,,,,,,,,,,,,,,,
,,2007 - 2008,15,,0,,,,,,,,,,,,,,,
,,2008 - 2009,3,,0,,,,,,,,,,,,,,,
,,2009 - 2010,5,,0,,,,,,,,,,,,,,,
,,2010 - 2011,42,,0,,,,,,,,,,,,,,,
,,2011 - 2012,5,,0,,,,,,,,,,,,,,,
,,2012 - 2013,68,,0,,,,,,,,,,,,,,,
,,2018 - 2019,100,"7,800.00",78,,,,,,,,,,,,,,,
,,2021 - 2022,6,0,0,,,,,,,,,,,,,,,
,7. Hisar,2000 - 2001,"4,946.00","2,60,000.00",52.57,,,,,,,,,,,,,,,
,,2001 - 2002,"6,176.00","3,10,000.00",50.19,,,,,,,,,,,,,,,
,,2002 - 2003,"6,635.00","3,80,000.00",57.27,,,,,,,,,,,,,,,
,,2003 - 2004,"5,881.00","3,20,000.00",54.41,,,,,,,,,,,,,,,
,,2004 - 2005,"2,536.00","90,000.00",35.49,,,,,,,,,,,,,,,
,,2005 - 2006,"2,561.00","1,60,000.00",62.48,,,,,,,,,,,,,,,
,,2006 - 2007,"3,246.00","1,85,000.00",56.99,,,,,,,,,,,,,,,
,,2007 - 2008,"2,669.00","1,70,000.00",63.69,,,,,,,,,,,,,,,
,,2008 - 2009,"1,341.00","50,000.00",37.29,,,,,,,,,,,,,,,
,,2009 - 2010,757,"55,000.00",72.66,,,,,,,,,,,,,,,
,,2010 - 2011,"1,120.00","7,000.00",6.25,,,,,,,,,,,,,,,
,,2011 - 2012,"1,193.00","7,000.00",5.87,,,,,,,,,,,,,,,
,,2012 - 2013,"1,035.00","60,000.00",57.97,,,,,,,,,,,,,,,
,,2013 - 2014,"1,000.00","88,000.00",88,,,,,,,,,,,,,,,
,,2014 - 2015,"1,000.00","70,000.00",70,,,,,,,,,,,,,,,
,,2015 - 2016,"1,000.00","64,000.00",64,,,,,,,,,,,,,,,
,,2016 - 2017,"1,700.00","1,14,000.00",67.06,,,,,,,,,,,,,,,
,,2017 - 2018,"1,800.00","1,35,300.00",75.17,,,,,,,,,,,,,,,
,,2018 - 2019,"1,500.00","1,16,500.00",77.67,,,,,,,,,,,,,,,
,,2019 - 2020,"1,300.00","95,100.00",73.15,,,,,,,,,,,,,,,
,,2020 - 2021,"1,540.00","1,18,190.00",76.75,,,,,,,,,,,,,,,
,,2021 - 2022,"1,989.00","1,66,180.00",83.55,,,,,,,,,,,,,,,
,8. Jhajjar,2000 - 2001,"2,005.00","90,000.00",44.89,,,,,,,,,,,,,,,
,,2001 - 2002,"2,577.00","1,50,000.00",58.21,,,,,,,,,,,,,,,
,,2002 - 2003,"3,379.00","1,50,000.00",44.39,,,,,,,,,,,,,,,
,,2003 - 2004,"2,772.00","1,50,000.00",54.11,,,,,,,,,,,,,,,
,,2004 - 2005,"2,373.00","90,000.00",37.93,,,,,,,,,,,,,,,
,,2005 - 2006,"1,857.00","1,20,000.00",64.62,,,,,,,,,,,,,,,
,,2006 - 2007,"2,559.00","1,92,000.00",75.03,,,,,,,,,,,,,,,
,,2007 - 2008,"2,474.00","1,80,000.00",72.76,,,,,,,,,,,,,,,
,,2008 - 2009,"1,416.00","44,000.00",31.07,,,,,,,,,,,,,,,
,,2009 - 2010,791,"70,000.00",88.5,,,,,,,,,,,,,,,
,,2010 - 2011,"1,973.00","14,000.00",7.1,,,,,,,,,,,,,,,
,,2011 - 2012,"2,750.00","21,000.00",7.64,,,,,,,,,,,,,,,
,,2012 - 2013,"2,970.00","1,91,000.00",64.31,,,,,,,,,,,,,,,
,,2013 - 2014,"3,000.00","2,46,000.00",82,,,,,,,,,,,,,,,
,,2014 - 2015,"3,000.00","2,14,000.00",71.33,,,,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","2,29,000.00",76.33,,,,,,,,,,,,,,,
,,2016 - 2017,"3,000.00","2,27,000.00",75.67,,,,,,,,,,,,,,,
,,2017 - 2018,"2,900.00","1,93,100.00",66.59,,,,,,,,,,,,,,,
,,2018 - 2019,"2,200.00","1,75,300.00",79.68,,,,,,,,,,,,,,,
,,2019 - 2020,"1,600.00","1,21,000.00",75.63,,,,,,,,,,,,,,,
,,2020 - 2021,"2,310.00","1,86,810.00",80.87,,,,,,,,,,,,,,,
,,2021 - 2022,"3,653.00","2,46,610.00",67.51,,,,,,,,,,,,,,,
,9. Jind,2000 - 2001,"7,074.00","3,80,000.00",53.72,,,,,,,,,,,,,,,
,,2001 - 2002,"8,802.00","5,00,000.00",56.81,,,,,,,,,,,,,,,
,,2002 - 2003,"11,913.00","6,10,000.00",51.2,,,,,,,,,,,,,,,
,,2003 - 2004,"9,347.00","5,30,000.00",56.7,,,,,,,,,,,,,,,
,,2004 - 2005,"5,708.00","3,70,000.00",64.82,,,,,,,,,,,,,,,
,,2005 - 2006,"3,608.00","2,70,000.00",74.83,,,,,,,,,,,,,,,
,,2006 - 2007,"5,081.00","4,45,000.00",87.58,,,,,,,,,,,,,,,
,,2007 - 2008,"5,327.00","3,20,000.00",60.07,,,,,,,,,,,,,,,
,,2008 - 2009,"2,088.00","1,16,000.00",55.56,,,,,,,,,,,,,,,
,,2009 - 2010,"1,201.00","62,000.00",51.62,,,,,,,,,,,,,,,
,,2010 - 2011,"2,064.00","14,000.00",6.78,,,,,,,,,,,,,,,
,,2011 - 2012,"2,949.00","22,000.00",7.46,,,,,,,,,,,,,,,
,,2012 - 2013,"3,387.00","1,95,000.00",57.57,,,,,,,,,,,,,,,
,,2013 - 2014,"4,000.00","3,18,000.00",79.5,,,,,,,,,,,,,,,
,,2014 - 2015,"4,000.00","2,71,000.00",67.75,,,,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","2,14,000.00",71.33,,,,,,,,,,,,,,,
,,2016 - 2017,"4,600.00","3,47,000.00",75.43,,,,,,,,,,,,,,,
,,2017 - 2018,"4,900.00","3,91,600.00",79.92,,,,,,,,,,,,,,,
,,2018 - 2019,"4,700.00","3,69,100.00",78.53,,,,,,,,,,,,,,,
,,2019 - 2020,"3,900.00","3,12,600.00",80.15,,,,,,,,,,,,,,,
,,2020 - 2021,"4,500.00","4,13,100.00",91.8,,,,,,,,,,,,,,,
,,2021 - 2022,"5,352.00","3,91,190.00",73.09,,,,,,,,,,,,,,,
,10. Kaithal,2000 - 2001,"4,683.00","2,90,000.00",61.93,,,,,,,,,,,,,,,
,,2001 - 2002,"5,177.00","2,90,000.00",56.02,,,,,,,,,,,,,,,
,,2002 - 2003,"4,785.00","2,80,000.00",58.52,,,,,,,,,,,,,,,
,,2003 - 2004,"3,418.00","1,60,000.00",46.81,,,,,,,,,,,,,,,
,,2004 - 2005,"2,315.00","1,20,000.00",51.84,,,,,,,,,,,,,,,
,,2005 - 2006,"2,268.00","1,00,000.00",44.09,,,,,,,,,,,,,,,
,,2006 - 2007,"2,507.00","1,31,000.00",52.25,,,,,,,,,,,,,,,
,,2007 - 2008,"3,384.00","1,90,000.00",56.15,,,,,,,,,,,,,,,
,,2008 - 2009,"1,743.00","1,42,000.00",81.47,,,,,,,,,,,,,,,
,,2009 - 2010,"2,926.00","2,25,000.00",76.9,,,,,,,,,,,,,,,
,,2010 - 2011,"1,981.00","15,000.00",7.57,,,,,,,,,,,,,,,
,,2011 - 2012,"2,617.00","16,000.00",6.11,,,,,,,,,,,,,,,
,,2012 - 2013,"3,511.00","3,49,000.00",99.4,,,,,,,,,,,,,,,
,,2013 - 2014,"4,000.00","3,36,000.00",84,,,,,,,,,,,,,,,
,,2014 - 2015,"3,000.00","2,14,000.00",71.33,,,,,,,,,,,,,,,
,,2015 - 2016,"3,000.00","2,75,000.00",91.67,,,,,,,,,,,,,,,
,,2016 - 2017,"4,000.00","3,80,000.00",95,,,,,,,,,,,,,,,
,,2017 - 2018,"5,200.00","4,70,400.00",90.46,,,,,,,,,,,,,,,
,,2018 - 2019,"4,900.00","4,71,500.00",96.22,,,,,,,,,,,,,,,
,,2019 - 2020,"4,600.00","4,31,300.00",93.76,,,,,,,,,,,,,,,
,,2020 - 2021,"4,500.00","4,79,910.00",106.65,,,,,,,,,,,,,,,
,,2021 - 2022,"4,553.00","4,17,500.00",91.7,,,,,,,,,,,,,,,
,11. Karnal,2000 - 2001,"9,611.00","6,20,000.00",64.51,,,,,,,,,,,,,,,
,,2001 - 2002,"11,670.00","7,60,000.00",65.12,,,,,,,,,,,,,,,
,,2002 - 2003,"13,535.00","8,70,000.00",64.28,,,,,,,,,,,,,,,
,,2003 - 2004,"11,343.00","7,20,000.00",63.48,,,,,,,,,,,,,,,
,,2004 - 2005,"10,632.00","7,40,000.00",69.6,,,,,,,,,,,,,,,
,,2005 - 2006,"11,976.00","8,20,000.00",68.47,,,,,,,,,,,,,,,
,,2006 - 2007,"12,364.00","8,70,000.00",70.37,,,,,,,,,,,,,,,
,,2007 - 2008,"12,329.00","8,30,000.00",67.32,,,,,,,,,,,,,,,
,,2008 - 2009,"9,611.00","6,38,000.00",66.38,,,,,,,,,,,,,,,
,,2009 - 2010,"8,000.00","6,37,000.00",79.63,,,,,,,,,,,,,,,
,,2010 - 2011,"11,587.00","91,000.00",7.85,,,,,,,,,,,,,,,
,,2011 - 2012,"10,732.00","88,000.00",8.2,,,,,,,,,,,,,,,
,,2012 - 2013,"10,609.00","8,62,000.00",81.25,,,,,,,,,,,,,,,
,,2013 - 2014,"12,000.00","9,46,000.00",78.83,,,,,,,,,,,,,,,
,,2014 - 2015,"11,000.00","9,35,000.00",85,,,,,,,,,,,,,,,
,,2015 - 2016,"11,000.00","9,44,000.00",85.82,,,,,,,,,,,,,,,
,,2016 - 2017,"11,800.00","11,04,000.00",93.56,,,,,,,,,,,,,,,
,,2017 - 2018,"13,300.00","12,38,600.00",93.13,,,,,,,,,,,,,,,
,,2018 - 2019,"13,300.00","11,17,000.00",83.98,,,,,,,,,,,,,,,
,,2019 - 2020,"12,000.00","10,10,800.00",84.23,,,,,,,,,,,,,,,
,,2020 - 2021,"11,400.00","11,95,600.00",104.88,,,,,,,,,,,,,,,
,,2021 - 2022,"11,188.00","10,26,600.00",91.76,,,,,,,,,,,,,,,
,12. Kurukshetra,2000 - 2001,"15,945.00","10,40,000.00",65.22,,,,,,,,,,,,,,,
,,2001 - 2002,"17,981.00","11,80,000.00",65.62,,,,,,,,,,,,,,,
,,2002 - 2003,"18,218.00","12,10,000.00",66.42,,,,,,,,,,,,,,,
,,2003 - 2004,"14,847.00","10,20,000.00",68.7,,,,,,,,,,,,,,,
,,2004 - 2005,"11,792.00","9,10,000.00",77.17,,,,,,,,,,,,,,,
,,2005 - 2006,"13,450.00","9,90,000.00",73.61,,,,,,,,,,,,,,,
,,2006 - 2007,"15,187.00","10,34,000.00",68.08,,,,,,,,,,,,,,,
,,2007 - 2008,"16,038.00","11,10,000.00",69.21,,,,,,,,,,,,,,,
,,2008 - 2009,"11,332.00","6,88,000.00",60.71,,,,,,,,,,,,,,,
,,2009 - 2010,"13,833.00","10,38,000.00",75.04,,,,,,,,,,,,,,,
,,2010 - 2011,"8,451.00","63,000.00",7.45,,,,,,,,,,,,,,,
,,2011 - 2012,"9,928.00","77,000.00",7.76,,,,,,,,,,,,,,,
,,2012 - 2013,"9,301.00","7,50,000.00",80.64,,,,,,,,,,,,,,,
,,2013 - 2014,"12,000.00","9,06,000.00",75.5,,,,,,,,,,,,,,,
,,2014 - 2015,"11,000.00","8,98,000.00",81.64,,,,,,,,,,,,,,,
