State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2002 - 2003,39,17,0.44,,,,,,
,,2003 - 2004,40,17,0.43,,,,,,
,,2004 - 2005,43,20,0.47,,,,,,
,,2005 - 2006,44,20,0.45,,,,,,
,,2006 - 2007,46,20,0.43,,,,,,
,,2007 - 2008,30,13,0.43,,,,,,
,,2008 - 2009,30,14,0.47,,,,,,
,,2009 - 2010,31,14,0.45,,,,,,
,,2010 - 2011,25,11,0.44,,,,,,
,,2011 - 2012,25,14,0.56,,,,,,
,,2012 - 2013,26,14,0.54,,,,,,
,,2013 - 2014,26,13,0.5,,,,,,
,,2014 - 2015,27,17,0.63,,,,,,
,,2015 - 2016,25,10,0.4,,,,,,
,,2016 - 2017,23,10,0.43,,,,,,
,,2017 - 2018,21,8,0.38,,,,,,
,,2018 - 2019,23,10,0.43,,,,,,
,,2019 - 2020,24,13,0.54,,,,,,
,,2020 - 2021,29,16,0.55,,,,,,
,,2021 - 2022,34,19,0.56,,,,,,
,,2022 - 2023,32,13,0.41,,,,,,
,6. Chirang,2005 - 2006,247,103,0.42,,,,,,
,,2006 - 2007,244,102,0.42,,,,,,
,,2007 - 2008,247,105,0.43,,,,,,
,,2008 - 2009,238,107,0.45,,,,,,
,,2009 - 2010,343,148,0.43,,,,,,
,,2010 - 2011,227,100,0.44,,,,,,
,,2011 - 2012,269,126,0.47,,,,,,
,,2012 - 2013,203,102,0.5,,,,,,
,,2013 - 2014,197,131,0.66,,,,,,
,,2014 - 2015,189,111,0.59,,,,,,
,,2015 - 2016,170,113,0.66,,,,,,
,,2016 - 2017,231,154,0.67,,,,,,
,,2017 - 2018,172,115,0.67,,,,,,
,,2018 - 2019,191,125,0.65,,,,,,
,,2019 - 2020,198,140,0.71,,,,,,
,,2020 - 2021,200,145,0.73,,,,,,
,,2021 - 2022,201,136,0.68,,,,,,
,,2022 - 2023,222,131,0.59,,,,,,
,7. Darrang,2000 - 2001,625,288,0.46,,,,,,
,,2001 - 2002,855,367,0.43,,,,,,
,,2002 - 2003,835,369,0.44,,,,,,
,,2003 - 2004,650,311,0.48,,,,,,
,,2004 - 2005,795,357,0.45,,,,,,
,,2005 - 2006,266,139,0.52,,,,,,
,,2006 - 2007,343,180,0.52,,,,,,
,,2007 - 2008,325,170,0.52,,,,,,
,,2008 - 2009,523,274,0.52,,,,,,
,,2009 - 2010,525,275,0.52,,,,,,
,,2010 - 2011,521,273,0.52,,,,,,
,,2011 - 2012,500,293,0.59,,,,,,
,,2012 - 2013,480,304,0.63,,,,,,
,,2013 - 2014,434,423,0.97,,,,,,
,,2014 - 2015,417,309,0.74,,,,,,
,,2015 - 2016,437,285,0.65,,,,,,
,,2016 - 2017,379,229,0.6,,,,,,
,,2017 - 2018,411,300,0.73,,,,,,
,,2018 - 2019,346,254,0.73,,,,,,
,,2019 - 2020,348,255,0.73,,,,,,
,,2020 - 2021,345,211,0.61,,,,,,
,,2021 - 2022,344,223,0.65,,,,,,
,,2022 - 2023,344,262,0.76,,,,,,
,8. Dhemaji,2000 - 2001,21,10,0.48,,,,,,
,,2001 - 2002,40,21,0.53,,,,,,
,,2002 - 2003,20,10,0.5,,,,,,
,,2003 - 2004,22,11,0.5,,,,,,
,,2004 - 2005,20,10,0.5,,,,,,
,,2005 - 2006,25,12,0.48,,,,,,
,,2006 - 2007,20,10,0.5,,,,,,
