State,District,Year,Linseed,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,2. Baloda bazar,2011 - 2012,116,43,0.37,,,,,,
,,2012 - 2013,124,59,0.48,,,,,,
,,2013 - 2014,198,85,0.43,,,,,,
,,2014 - 2015,172,80,0.47,,,,,,
,,2015 - 2016,128,57,0.45,,,,,,
,,2017 - 2018,67,,0,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,
,,2019 - 2020,20,7,0.35,,,,,,
,,2020 - 2021,28,11,0.39,,,,,,
,,2021 - 2022,75,24,0.32,,,,,,
,,2022 - 2023,31,10,0.32,,,,,,
,3. Balrampur,2011 - 2012,"4,146.00","1,659.00",0.4,,,,,,
,,2012 - 2013,"4,264.00","1,711.00",0.4,,,,,,
,,2013 - 2014,"4,911.00","1,780.00",0.36,,,,,,
,,2014 - 2015,"4,206.00","1,791.00",0.43,,,,,,
,,2015 - 2016,"4,056.00","1,797.00",0.44,,,,,,
,,2017 - 2018,"4,010.00","1,104.00",0.28,,,,,,
,,2018 - 2019,"4,034.00","1,137.00",0.28,,,,,,
,,2019 - 2020,"3,438.00","1,458.00",0.42,,,,,,
,,2020 - 2021,"2,326.00",820,0.35,,,,,,
,,2021 - 2022,"2,604.00",722,0.28,,,,,,
,,2022 - 2023,874,222,0.25,,,,,,
,4. Bastar,2000 - 2001,755,189,0.25,,,,,,
,,2001 - 2002,625,193,0.31,,,,,,
,,2002 - 2003,358,120,0.34,,,,,,
,,2003 - 2004,540,196,0.36,,,,,,
,,2004 - 2005,610,190,0.31,,,,,,
,,2005 - 2006,580,165,0.28,,,,,,
,,2006 - 2007,817,249,0.3,,,,,,
,,2007 - 2008,751,280,0.37,,,,,,
,,2008 - 2009,634,171,0.27,,,,,,
,,2009 - 2010,577,199,0.34,,,,,,
,,2010 - 2011,459,133,0.29,,,,,,
,,2011 - 2012,50,21,0.42,,,,,,
,,2012 - 2013,71,37,0.52,,,,,,
,,2013 - 2014,40,17,0.43,,,,,,
,,2014 - 2015,26,11,0.42,,,,,,
,,2015 - 2016,31,14,0.45,,,,,,
,,2017 - 2018,7,2,0.29,,,,,,
,,2018 - 2019,18,5,0.28,,,,,,
,,2019 - 2020,21,8,0.38,,,,,,
,,2020 - 2021,13,3,0.23,,,,,,
,,2021 - 2022,8,2,0.25,,,,,,
,,2022 - 2023,8,2,0.25,,,,,,
,5. Bemetara,2011 - 2012,952,342,0.36,,,,,,
,,2012 - 2013,708,267,0.38,,,,,,
,,2013 - 2014,654,223,0.34,,,,,,
,,2014 - 2015,96,34,0.35,,,,,,
,,2015 - 2016,452,172,0.38,,,,,,
,,2017 - 2018,24,5,0.21,,,,,,
,,2018 - 2019,52,13,0.25,,,,,,
,,2019 - 2020,26,9,0.35,,,,,,
,,2020 - 2021,52,20,0.38,,,,,,
,,2021 - 2022,71,23,0.32,,,,,,
,,2022 - 2023,78,24,0.31,,,,,,
,6. Bijapur,2020 - 2021,1,0,0,,,,,,
,7. Bilaspur,2000 - 2001,"4,350.00",816,0.19,,,,,,
,,2001 - 2002,"4,567.00","1,164.00",0.25,,,,,,
,,2002 - 2003,"3,398.00",968,0.28,,,,,,
,,2003 - 2004,"4,283.00","1,273.00",0.3,,,,,,
,,2004 - 2005,"4,094.00",906,0.22,,,,,,
,,2005 - 2006,"4,113.00",943,0.23,,,,,,
,,2006 - 2007,"4,042.00",996,0.25,,,,,,
,,2007 - 2008,"3,728.00","1,125.00",0.3,,,,,,
,,2008 - 2009,"3,586.00",981,0.27,,,,,,
,,2009 - 2010,"3,208.00","1,032.00",0.32,,,,,,
,,2010 - 2011,"2,461.00",625,0.25,,,,,,
,,2011 - 2012,"2,142.00",730,0.34,,,,,,
,,2012 - 2013,"1,746.00",745,0.43,,,,,,
,,2013 - 2014,"1,706.00",687,0.4,,,,,,
,,2014 - 2015,"1,765.00",683,0.39,,,,,,
,,2015 - 2016,"1,312.00",514,0.39,,,,,,
,,2017 - 2018,770,181,0.24,,,,,,
,,2018 - 2019,455,125,0.27,,,,,,
,,2019 - 2020,13,4,0.31,,,,,,
,,2020 - 2021,9,3,0.33,,,,,,
,,2021 - 2022,10,2,0.2,,,,,,
,,2022 - 2023,7,2,0.29,,,,,,
,8. Dantewada,2002 - 2003,2,,0,,,,,,
,,2014 - 2015,2,,0,,,,,,
,,2015 - 2016,1,,0,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,1,,0,,,,,,
,,2019 - 2020,1,,0,,,,,,
,,2021 - 2022,2,1,0.5,,,,,,
,9. Dhamtari,2000 - 2001,"3,339.00",891,0.27,,,,,,
,,2001 - 2002,"5,280.00","1,481.00",0.28,,,,,,
,,2002 - 2003,"3,820.00","1,161.00",0.3,,,,,,
,,2003 - 2004,"7,751.00","2,490.00",0.32,,,,,,
,,2004 - 2005,"7,365.00","1,701.00",0.23,,,,,,
,,2005 - 2006,"8,056.00","2,067.00",0.26,,,,,,
,,2006 - 2007,"6,557.00","1,748.00",0.27,,,,,,
,,2007 - 2008,"3,126.00","1,019.00",0.33,,,,,,
,,2008 - 2009,"5,446.00","1,612.00",0.3,,,,,,
,,2009 - 2010,"6,007.00","2,166.00",0.36,,,,,,
,,2010 - 2011,"2,531.00",663,0.26,,,,,,
,,2011 - 2012,"2,555.00","1,025.00",0.4,,,,,,
,,2012 - 2013,"1,305.00",603,0.46,,,,,,
,,2013 - 2014,814,339,0.42,,,,,,
,,2014 - 2015,702,305,0.43,,,,,,
,,2015 - 2016,615,263,0.43,,,,,,
,,2017 - 2018,166,42,0.25,,,,,,
,,2018 - 2019,66,18,0.27,,,,,,
,,2019 - 2020,45,15,0.33,,,,,,
,,2020 - 2021,40,17,0.43,,,,,,
,,2021 - 2022,27,10,0.37,,,,,,
,,2022 - 2023,28,8,0.29,,,,,,
,10. Durg,2000 - 2001,"14,648.00","2,431.00",0.17,,,,,,
,,2001 - 2002,"21,274.00","5,707.00",0.27,,,,,,
,,2002 - 2003,"15,824.00","4,229.00",0.27,,,,,,
,,2003 - 2004,"18,665.00","5,450.00",0.29,,,,,,
,,2004 - 2005,"18,433.00","3,098.00",0.17,,,,,,
,,2005 - 2006,"17,683.00","4,052.00",0.23,,,,,,
,,2006 - 2007,"15,147.00","3,540.00",0.23,,,,,,
,,2007 - 2008,"12,371.00","3,538.00",0.29,,,,,,
,,2008 - 2009,"6,991.00","1,649.00",0.24,,,,,,
,,2009 - 2010,"6,558.00","1,760.00",0.27,,,,,,
,,2010 - 2011,"6,646.00","1,530.00",0.23,,,,,,
,,2011 - 2012,774,277,0.36,,,,,,
,,2012 - 2013,603,244,0.4,,,,,,
,,2013 - 2014,490,187,0.38,,,,,,
,,2014 - 2015,167,65,0.39,,,,,,
,,2015 - 2016,414,151,0.36,,,,,,
,,2017 - 2018,112,21,0.19,,,,,,
,,2018 - 2019,51,10,0.2,,,,,,
,,2019 - 2020,104,8,0.08,,,,,,
,,2020 - 2021,44,20,0.45,,,,,,
,,2021 - 2022,41,12,0.29,,,,,,
,,2022 - 2023,42,11,0.26,,,,,,
,11. Gariyaband,2011 - 2012,506,188,0.37,,,,,,
,,2012 - 2013,491,194,0.4,,,,,,
,,2013 - 2014,512,167,0.33,,,,,,
,,2014 - 2015,375,176,0.47,,,,,,
,,2015 - 2016,182,76,0.42,,,,,,
,,2017 - 2018,104,24,0.23,,,,,,
,,2018 - 2019,26,7,0.27,,,,,,
,,2019 - 2020,7,1,0.14,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,,2022 - 2023,1,0,0,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,238,79,0.33,,,,,,
,,2020 - 2021,251,73,0.29,,,,,,
,,2021 - 2022,237,66,0.28,,,,,,
,,2022 - 2023,142,36,0.25,,,,,,
,13. Janjgir-champa,2000 - 2001,"2,598.00",607,0.23,,,,,,
,,2001 - 2002,"2,620.00",657,0.25,,,,,,
,,2002 - 2003,"2,109.00",601,0.28,,,,,,
,,2003 - 2004,"2,775.00",853,0.31,,,,,,
,,2004 - 2005,"2,468.00",601,0.24,,,,,,
,,2005 - 2006,"2,627.00",699,0.27,,,,,,
,,2006 - 2007,"2,739.00",699,0.26,,,,,,
,,2007 - 2008,"3,085.00",994,0.32,,,,,,
,,2008 - 2009,"2,696.00",790,0.29,,,,,,
,,2009 - 2010,"2,459.00",824,0.34,,,,,,
,,2010 - 2011,"2,497.00",658,0.26,,,,,,
,,2011 - 2012,"1,639.00",631,0.38,,,,,,
,,2012 - 2013,"2,141.00",950,0.44,,,,,,
,,2013 - 2014,"2,098.00",950,0.45,,,,,,
,,2014 - 2015,"2,003.00",809,0.4,,,,,,
,,2015 - 2016,"1,175.00",569,0.48,,,,,,
,,2017 - 2018,388,105,0.27,,,,,,
,,2018 - 2019,44,14,0.32,,,,,,
,,2019 - 2020,4,1,0.25,,,,,,
,,2020 - 2021,27,9,0.33,,,,,,
,,2021 - 2022,8,2,0.25,,,,,,
,,2022 - 2023,3,1,0.33,,,,,,
,14. Jashpur,2000 - 2001,"1,055.00",279,0.26,,,,,,
,,2001 - 2002,"1,183.00",323,0.27,,,,,,
,,2002 - 2003,"1,234.00",416,0.34,,,,,,
,,2003 - 2004,"1,242.00",369,0.3,,,,,,
,,2004 - 2005,"1,132.00",251,0.22,,,,,,
,,2005 - 2006,"1,134.00",248,0.22,,,,,,
,,2006 - 2007,"1,133.00",288,0.25,,,,,,
,,2007 - 2008,"1,239.00",388,0.31,,,,,,
,,2008 - 2009,"1,258.00",381,0.3,,,,,,
,,2009 - 2010,"1,188.00",378,0.32,,,,,,
,,2010 - 2011,"1,144.00",275,0.24,,,,,,
,,2011 - 2012,"1,023.00",390,0.38,,,,,,
,,2012 - 2013,950,418,0.44,,,,,,
,,2013 - 2014,981,408,0.42,,,,,,
,,2014 - 2015,"1,013.00",432,0.43,,,,,,
,,2015 - 2016,998,356,0.36,,,,,,
,,2017 - 2018,698,166,0.24,,,,,,
,,2018 - 2019,644,171,0.27,,,,,,
,,2019 - 2020,654,198,0.3,,,,,,
,,2020 - 2021,627,193,0.31,,,,,,
,,2021 - 2022,612,174,0.28,,,,,,
,,2022 - 2023,629,181,0.29,,,,,,
,15. Kabirdham,2000 - 2001,"5,567.00",905,0.16,,,,,,
,,2001 - 2002,"4,612.00","1,103.00",0.24,,,,,,
,,2002 - 2003,"5,254.00","2,165.00",0.41,,,,,,
,,2003 - 2004,"3,635.00","1,016.00",0.28,,,,,,
,,2004 - 2005,"2,569.00",644,0.25,,,,,,
,,2005 - 2006,"1,968.00",439,0.22,,,,,,
,,2006 - 2007,"1,652.00",384,0.23,,,,,,
,,2007 - 2008,"1,168.00",377,0.32,,,,,,
,,2008 - 2009,"1,008.00",259,0.26,,,,,,
,,2009 - 2010,903,230,0.25,,,,,,
,,2010 - 2011,752,206,0.27,,,,,,
,,2011 - 2012,645,271,0.42,,,,,,
,,2012 - 2013,496,222,0.45,,,,,,
,,2013 - 2014,418,141,0.34,,,,,,
,,2014 - 2015,390,163,0.42,,,,,,
,,2015 - 2016,309,103,0.33,,,,,,
,,2017 - 2018,134,30,0.22,,,,,,
,,2018 - 2019,39,6,0.15,,,,,,
,,2019 - 2020,11,4,0.36,,,,,,
,,2020 - 2021,10,4,0.4,,,,,,
,,2021 - 2022,18,4,0.22,,,,,,
,,2022 - 2023,32,9,0.28,,,,,,
,16. Kanker,2000 - 2001,"1,477.00",358,0.24,,,,,,
,,2001 - 2002,"1,832.00",698,0.38,,,,,,
,,2002 - 2003,855,166,0.19,,,,,,
,,2003 - 2004,"1,404.00",654,0.47,,,,,,
,,2004 - 2005,"1,512.00",608,0.4,,,,,,
,,2005 - 2006,"1,393.00",486,0.35,,,,,,
,,2006 - 2007,"1,489.00",539,0.36,,,,,,
,,2007 - 2008,"1,419.00",587,0.41,,,,,,
,,2008 - 2009,"1,419.00",418,0.29,,,,,,
,,2009 - 2010,"1,419.00",555,0.39,,,,,,
,,2010 - 2011,927,314,0.34,,,,,,
,,2011 - 2012,832,397,0.48,,,,,,
,,2012 - 2013,797,423,0.53,,,,,,
,,2013 - 2014,817,425,0.52,,,,,,
,,2014 - 2015,784,403,0.51,,,,,,
,,2015 - 2016,691,259,0.37,,,,,,
,,2017 - 2018,312,77,0.25,,,,,,
,,2018 - 2019,136,41,0.3,,,,,,
,,2019 - 2020,147,63,0.43,,,,,,
,,2020 - 2021,62,22,0.35,,,,,,
,,2021 - 2022,52,16,0.31,,,,,,
,,2022 - 2023,50,15,0.3,,,,,,
,17. Khairgarh chhuikhadan gandai,2022 - 2023,56,21,0.38,,,,,,
,18. Kondagaon,2011 - 2012,248,104,0.42,,,,,,
,,2012 - 2013,208,96,0.46,,,,,,
,,2013 - 2014,161,68,0.42,,,,,,
,,2014 - 2015,154,68,0.44,,,,,,
,,2015 - 2016,151,78,0.52,,,,,,
,,2017 - 2018,80,24,0.3,,,,,,
,,2018 - 2019,124,43,0.35,,,,,,
,,2019 - 2020,111,53,0.48,,,,,,
,,2020 - 2021,50,19,0.38,,,,,,
,,2021 - 2022,45,15,0.33,,,,,,
,,2022 - 2023,41,13,0.32,,,,,,
,19. Korba,2000 - 2001,924,209,0.23,,,,,,
,,2001 - 2002,"1,276.00",333,0.26,,,,,,
,,2002 - 2003,954,253,0.27,,,,,,
,,2003 - 2004,"1,182.00",289,0.24,,,,,,
,,2004 - 2005,"1,052.00",186,0.18,,,,,,
,,2005 - 2006,"1,599.00",318,0.2,,,,,,
,,2006 - 2007,"1,603.00",312,0.19,,,,,,
,,2007 - 2008,"1,610.00",383,0.24,,,,,,
,,2008 - 2009,"1,624.00",454,0.28,,,,,,
,,2009 - 2010,"1,493.00",384,0.26,,,,,,
,,2010 - 2011,"1,444.00",352,0.24,,,,,,
,,2011 - 2012,"1,487.00",529,0.36,,,,,,
,,2012 - 2013,982,324,0.33,,,,,,
,,2013 - 2014,"1,421.00",424,0.3,,,,,,
,,2014 - 2015,893,333,0.37,,,,,,
,,2015 - 2016,"1,308.00",350,0.27,,,,,,
,,2017 - 2018,292,63,0.22,,,,,,
,,2018 - 2019,190,40,0.21,,,,,,
,,2019 - 2020,102,28,0.27,,,,,,
,,2020 - 2021,59,15,0.25,,,,,,
,,2021 - 2022,31,7,0.23,,,,,,
,,2022 - 2023,22,5,0.23,,,,,,
,20. Korea,2000 - 2001,"1,730.00",379,0.22,,,,,,
,,2001 - 2002,"1,680.00",466,0.28,,,,,,
,,2002 - 2003,"1,144.00",234,0.2,,,,,,
,,2003 - 2004,"1,503.00",496,0.33,,,,,,
,,2004 - 2005,"1,570.00",348,0.22,,,,,,
,,2005 - 2006,"1,517.00",326,0.21,,,,,,
,,2006 - 2007,"1,566.00",363,0.23,,,,,,
,,2007 - 2008,"1,384.00",353,0.26,,,,,,
,,2008 - 2009,"1,435.00",450,0.31,,,,,,
,,2009 - 2010,"1,433.00",344,0.24,,,,,,
,,2010 - 2011,"1,271.00",298,0.23,,,,,,
,,2011 - 2012,"1,215.00",391,0.32,,,,,,
,,2012 - 2013,"1,276.00",482,0.38,,,,,,
,,2013 - 2014,"1,381.00",473,0.34,,,,,,
,,2014 - 2015,"1,368.00",487,0.36,,,,,,
,,2015 - 2016,"1,131.00",335,0.3,,,,,,
,,2017 - 2018,"1,168.00",229,0.2,,,,,,
,,2018 - 2019,871,158,0.18,,,,,,
,,2019 - 2020,873,287,0.33,,,,,,
,,2020 - 2021,742,175,0.24,,,,,,
,,2021 - 2022,726,138,0.19,,,,,,
,,2022 - 2023,307,63,0.21,,,,,,
,21. Mahasamund,2000 - 2001,325,88,0.27,,,,,,
,,2001 - 2002,552,129,0.23,,,,,,
,,2002 - 2003,451,151,0.33,,,,,,
,,2003 - 2004,533,144,0.27,,,,,,
,,2004 - 2005,609,122,0.2,,,,,,
,,2005 - 2006,459,99,0.22,,,,,,
,,2006 - 2007,410,102,0.25,,,,,,
,,2007 - 2008,310,95,0.31,,,,,,
,,2008 - 2009,270,66,0.24,,,,,,
,,2009 - 2010,244,67,0.27,,,,,,
,,2010 - 2011,159,41,0.26,,,,,,
,,2011 - 2012,167,67,0.4,,,,,,
,,2012 - 2013,83,37,0.45,,,,,,
,,2013 - 2014,62,24,0.39,,,,,,
,,2014 - 2015,26,10,0.38,,,,,,
,,2015 - 2016,8,3,0.38,,,,,,
,,2017 - 2018,1,,0,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,
,,2019 - 2020,14,4,0.29,,,,,,
,,2020 - 2021,4,2,0.5,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,,2022 - 2023,17,6,0.35,,,,,,
,22. Manendragarh chirimiri bharatpur,2022 - 2023,379,78,0.21,,,,,,
,23. Mohla manpur ambagarh chouki,2022 - 2023,"1,825.00",605,0.33,,,,,,
,24. Mungeli,2011 - 2012,336,115,0.34,,,,,,
,,2012 - 2013,345,144,0.42,,,,,,
,,2013 - 2014,356,132,0.37,,,,,,
,,2014 - 2015,305,122,0.4,,,,,,
,,2015 - 2016,283,137,0.48,,,,,,
,,2017 - 2018,144,32,0.22,,,,,,
,,2018 - 2019,31,8,0.26,,,,,,
,,2019 - 2020,43,5,0.12,,,,,,
,,2020 - 2021,14,5,0.36,,,,,,
,,2021 - 2022,10,4,0.4,,,,,,
,,2022 - 2023,8,3,0.38,,,,,,
,25. Narayanpur,2006 - 2007,26,,0,,,,,,
,,2007 - 2008,5,2,0.4,,,,,,
,,2008 - 2009,4,2,0.5,,,,,,
,,2009 - 2010,5,3,0.6,,,,,,
,,2010 - 2011,5,1,0.2,,,,,,
,,2011 - 2012,3,2,0.67,,,,,,
,,2012 - 2013,3,2,0.67,,,,,,
,,2013 - 2014,2,1,0.5,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2022 - 2023,4,2,0.5,,,,,,
,26. Raigarh,2000 - 2001,240,58,0.24,,,,,,
,,2001 - 2002,228,59,0.26,,,,,,
,,2002 - 2003,434,138,0.32,,,,,,
,,2003 - 2004,497,156,0.31,,,,,,
,,2004 - 2005,372,97,0.26,,,,,,
,,2005 - 2006,477,117,0.25,,,,,,
,,2006 - 2007,402,103,0.26,,,,,,
,,2007 - 2008,401,142,0.35,,,,,,
,,2008 - 2009,376,118,0.31,,,,,,
,,2009 - 2010,357,99,0.28,,,,,,
,,2010 - 2011,327,89,0.27,,,,,,
,,2011 - 2012,341,135,0.4,,,,,,
,,2012 - 2013,336,167,0.5,,,,,,
,,2013 - 2014,336,146,0.43,,,,,,
,,2014 - 2015,299,147,0.49,,,,,,
,,2015 - 2016,292,135,0.46,,,,,,
,,2017 - 2018,273,72,0.26,,,,,,
,,2018 - 2019,213,59,0.28,,,,,,
,,2019 - 2020,203,74,0.36,,,,,,
,,2020 - 2021,130,48,0.37,,,,,,
,,2021 - 2022,129,46,0.36,,,,,,
,,2022 - 2023,129,41,0.32,,,,,,
,27. Raipur,2000 - 2001,"1,942.00",380,0.2,,,,,,
,,2001 - 2002,"2,306.00",593,0.26,,,,,,
,,2002 - 2003,"2,151.00",665,0.31,,,,,,
,,2003 - 2004,"2,374.00",699,0.29,,,,,,
,,2004 - 2005,"2,169.00",492,0.23,,,,,,
,,2005 - 2006,"2,047.00",464,0.23,,,,,,
,,2006 - 2007,"1,710.00",410,0.24,,,,,,
,,2007 - 2008,"1,561.00",449,0.29,,,,,,
,,2008 - 2009,"1,235.00",340,0.28,,,,,,
,,2009 - 2010,"1,187.00",365,0.31,,,,,,
,,2010 - 2011,920,187,0.2,,,,,,
,,2011 - 2012,252,94,0.37,,,,,,
,,2012 - 2013,291,135,0.46,,,,,,
,,2013 - 2014,153,64,0.42,,,,,,
,,2014 - 2015,71,33,0.46,,,,,,
,,2015 - 2016,61,25,0.41,,,,,,
,,2017 - 2018,73,18,0.25,,,,,,
,,2018 - 2019,38,10,0.26,,,,,,
,,2019 - 2020,41,11,0.27,,,,,,
,,2020 - 2021,58,34,0.59,,,,,,
,,2021 - 2022,23,13,0.57,,,,,,
,,2022 - 2023,35,18,0.51,,,,,,
,28. Rajnandgaon,2000 - 2001,"25,199.00","5,966.00",0.24,,,,,,
,,2001 - 2002,"23,940.00","6,538.00",0.27,,,,,,
,,2002 - 2003,"19,985.00","5,320.00",0.27,,,,,,
,,2003 - 2004,"18,508.00","5,998.00",0.32,,,,,,
,,2004 - 2005,"17,234.00","4,737.00",0.27,,,,,,
,,2005 - 2006,"17,486.00","4,917.00",0.28,,,,,,
,,2006 - 2007,"15,710.00","4,078.00",0.26,,,,,,
,,2007 - 2008,"13,862.00","4,482.00",0.32,,,,,,
,,2008 - 2009,"10,047.00","2,636.00",0.26,,,,,,
,,2009 - 2010,"8,139.00","2,083.00",0.26,,,,,,
,,2010 - 2011,"6,743.00","1,847.00",0.27,,,,,,
,,2011 - 2012,"6,149.00","2,579.00",0.42,,,,,,
,,2012 - 2013,"5,433.00","2,383.00",0.44,,,,,,
,,2013 - 2014,"4,378.00","1,705.00",0.39,,,,,,
,,2014 - 2015,"3,632.00","1,521.00",0.42,,,,,,
,,2015 - 2016,"3,752.00","1,137.00",0.3,,,,,,
,,2017 - 2018,"3,170.00",818,0.26,,,,,,
,,2018 - 2019,"3,534.00","1,001.00",0.28,,,,,,
,,2019 - 2020,"2,192.00",666,0.3,,,,,,
,,2020 - 2021,"1,402.00",567,0.4,,,,,,
,,2021 - 2022,"2,207.00",870,0.39,,,,,,
,,2022 - 2023,160,53,0.33,,,,,,
,29. Surajpur,2011 - 2012,"2,241.00",897,0.4,,,,,,
,,2012 - 2013,"2,307.00",857,0.37,,,,,,
,,2013 - 2014,"2,389.00","1,122.00",0.47,,,,,,
,,2014 - 2015,"2,208.00",924,0.42,,,,,,
,,2015 - 2016,"2,396.00",962,0.4,,,,,,
,,2017 - 2018,"1,795.00",582,0.32,,,,,,
,,2018 - 2019,"1,396.00",419,0.3,,,,,,
,,2019 - 2020,"1,508.00",724,0.48,,,,,,
,,2020 - 2021,"1,237.00",503,0.41,,,,,,
,,2021 - 2022,"1,096.00",403,0.37,,,,,,
,,2022 - 2023,"1,112.00",334,0.3,,,,,,
,30. Surguja,2000 - 2001,"9,871.00","2,284.00",0.23,,,,,,
,,2001 - 2002,"10,285.00","2,766.00",0.27,,,,,,
,,2002 - 2003,"9,651.00","3,159.00",0.33,,,,,,
,,2003 - 2004,"10,083.00","3,009.00",0.3,,,,,,
,,2004 - 2005,"9,982.00","2,317.00",0.23,,,,,,
,,2005 - 2006,"9,677.00","2,155.00",0.22,,,,,,
,,2006 - 2007,"9,624.00","2,381.00",0.25,,,,,,
,,2007 - 2008,"9,880.00","2,893.00",0.29,,,,,,
,,2008 - 2009,"9,565.00","2,670.00",0.28,,,,,,
,,2009 - 2010,"9,631.00","2,512.00",0.26,,,,,,
,,2010 - 2011,"9,313.00","2,550.00",0.27,,,,,,
,,2011 - 2012,"3,057.00","1,223.00",0.4,,,,,,
,,2012 - 2013,"3,014.00","1,209.00",0.4,,,,,,
,,2013 - 2014,"3,081.00","1,095.00",0.36,,,,,,
,,2014 - 2015,"2,981.00","1,268.00",0.43,,,,,,
,,2015 - 2016,"2,988.00","1,151.00",0.39,,,,,,
,,2017 - 2018,"2,778.00",675,0.24,,,,,,
,,2018 - 2019,"3,292.00",850,0.26,,,,,,
,,2019 - 2020,"2,511.00",879,0.35,,,,,,
,,2020 - 2021,"2,313.00","1,111.00",0.48,,,,,,
,,2021 - 2022,"2,237.00",886,0.4,,,,,,
,,2022 - 2023,"2,200.00",801,0.36,,,,,,
5. Haryana,1. Panchkula,2020 - 2021,418,"3,344.00",8,,,,,,
,2. Yamunanagar,2020 - 2021,3,24,8,,,,,,
6. Himachal Pradesh,1. Chamba,2000 - 2001,53,6,0.11,,,,,,
,,2001 - 2002,50,9,0.18,,,,,,
,,2002 - 2003,38,7,0.18,,,,,,
,,2005 - 2006,46,4,0.09,,,,,,
,,2006 - 2007,41,8,0.2,,,,,,
,,2007 - 2008,38,7,0.18,,,,,,
,2. Hamirpur,2001 - 2002,1,1,1,,,,,,
,,2002 - 2003,1,0,0,,,,,,
,,2013 - 2014,251,56,0.22,,,,,,
,3. Kangra,2000 - 2001,"2,063.00",320,0.16,,,,,,
,,2001 - 2002,"1,907.00",528,0.28,,,,,,
,,2002 - 2003,"1,256.00",324,0.26,,,,,,
,,2005 - 2006,671,87,0.13,,,,,,
,,2006 - 2007,"1,128.00",288,0.26,,,,,,
,,2007 - 2008,"1,229.00",324,0.26,,,,,,
,,2008 - 2009,486,137,0.28,,,,,,
,,2009 - 2010,580,135,0.23,,,,,,
,,2010 - 2011,752,202,0.27,,,,,,
,,2011 - 2012,651,241,0.37,,,,,,
,,2012 - 2013,634,236,0.37,,,,,,
,,2013 - 2014,327,113,0.35,,,,,,
,,2014 - 2015,391,112,0.29,,,,,,
,,2015 - 2016,594,176,0.3,,,,,,
,,2016 - 2017,317,110,0.35,,,,,,
,,2017 - 2018,594,179,0.3,,,,,,
,,2018 - 2019,557,173,0.31,,,,,,
,,2019 - 2020,560,235,0.42,,,,,,
,4. Kullu,2009 - 2010,315,90,0.29,,,,,,
,5. Mandi,2000 - 2001,328,23,0.07,,,,,,
,,2001 - 2002,314,20,0.06,,,,,,
,,2002 - 2003,315,33,0.1,,,,,,
,,2005 - 2006,290,20,0.07,,,,,,
,,2006 - 2007,303,63,0.21,,,,,,
,,2007 - 2008,304,64,0.21,,,,,,
,,2008 - 2009,209,11,0.05,,,,,,
,,2009 - 2010,260,60,0.23,,,,,,
,,2010 - 2011,203,56,0.28,,,,,,
,,2011 - 2012,389,68,0.17,,,,,,
,,2012 - 2013,298,108,0.36,,,,,,
,,2013 - 2014,200,4,0.02,,,,,,
,,2014 - 2015,289,51,0.18,,,,,,
,,2015 - 2016,209,59,0.28,,,,,,
,,2016 - 2017,100,4,0.04,,,,,,
,,2017 - 2018,209,61,0.29,,,,,,
,,2018 - 2019,254,70,0.28,,,,,,
,,2019 - 2020,260,107,0.41,,,,,,
,,2020 - 2021,134,66,0.49,,,,,,
,,2021 - 2022,129,35,0.27,,,,,,
,,2022 - 2023,136,37,0.27,,,,,,
,6. Una,2005 - 2006,1,,0,,,,,,
,,2009 - 2010,260,70,0.27,,,,,,
,,2013 - 2014,309,100,0.32,,,,,,
7. Jammu and Kashmir,1. Badgam,2003 - 2004,8,7,0.88,,,,,,
,,2006 - 2007,35,33.6,0.96,,,,,,
,,2007 - 2008,35,33.6,0.96,,,,,,
,,2011 - 2012,4,4.8,1.2,,,,,,
,,2018 - 2019,16,17.9,1.12,,,,,,
,2. Bandipora,2007 - 2008,1,1,1,,,,,,
,,2008 - 2009,1,0.3,0.3,,,,,,
,,2009 - 2010,1,1,1,,,,,,
,,2010 - 2011,1,2,2,,,,,,
,3. Baramulla,2002 - 2003,2,0.1,0.05,,,,,,
,,2003 - 2004,5,4,0.8,,,,,,
,,2006 - 2007,1,1,1,,,,,,
,,2009 - 2010,7,1.7,0.24,,,,,,
,,2010 - 2011,7,3.1,0.44,,,,,,
,4. Doda,2000 - 2001,99,20,0.2,,,,,,
,,2001 - 2002,99,26,0.26,,,,,,
,,2012 - 2013,6,2.1,0.35,,,,,,
,,2013 - 2014,6,2.1,0.35,,,,,,
,5. Jammu,2000 - 2001,88,20,0.23,,,,,,
,,2001 - 2002,62,49,0.79,,,,,,
,,2002 - 2003,84,57,0.68,,,,,,
,,2003 - 2004,38,9,0.24,,,,,,
,,2006 - 2007,47,19.4,0.41,,,,,,
