State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2006 - 2007,10,8,0.8,104,60,0.58,,,,75,59,0.79
,,2007 - 2008,78,68,0.87,62,25,0.4,,,,65,66,1.02
,,2008 - 2009,96,75,0.78,32,11,0.34,,,,250,200,0.8
,,2009 - 2010,89,56,0.63,12,3,0.25,,,,91,78,0.86
,,2010 - 2011,15,13,0.87,13,9,0.69,,,,12,12,1
,,2011 - 2012,5,4,0.8,3,1,0.33,,,,13,13,1
,,2012 - 2013,,,,7,4,0.57,,,,1,1,1
,,2013 - 2014,,,,13,8,0.62,,,,2,2,1
,,2014 - 2015,1,1,1,18,10,0.56,,,,1,1,1
,,2015 - 2016,,,,4,2,0.5,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,7,5,0.71,,,,,,
,,2020 - 2021,1,1,1,5,4,0.8,,,,3,4,1.33
,,2021 - 2022,2,2,1,10,8,0.8,,,,,,
,,2022 - 2023,,,,2,2,1,,,,,,
,3. Belgaum,2000 - 2001,"5,740.00","3,077.00",0.54,"8,355.00","4,971.00",0.59,,,,440,315,0.72
,,2001 - 2002,"5,687.00","3,052.00",0.54,"3,201.00","2,501.00",0.78,,,,771,630,0.82
,,2002 - 2003,"10,272.00","4,330.00",0.42,"9,632.00","4,590.00",0.48,,,,769,468,0.61
,,2003 - 2004,"22,349.00","8,675.00",0.39,"6,917.00","5,032.00",0.73,,,,"1,507.00",796,0.53
,,2004 - 2005,"22,293.00","8,781.00",0.39,"33,145.00","23,695.00",0.71,,,,"1,010.00",655,0.65
,,2005 - 2006,"15,159.00","6,477.00",0.43,"27,338.00","12,439.00",0.46,,,,782,374,0.48
,,2006 - 2007,"20,518.00","9,609.00",0.47,"20,676.00","14,799.00",0.72,,,,"1,086.00",459,0.42
,,2007 - 2008,"16,451.00","10,504.00",0.64,"23,978.00","15,859.00",0.66,,,,"1,328.00","1,269.00",0.96
,,2008 - 2009,"19,962.00","12,082.00",0.61,"18,343.00","13,176.00",0.72,,,,"4,100.00","2,902.00",0.71
,,2009 - 2010,"16,791.00","7,676.00",0.46,"12,972.00","5,592.00",0.43,,,,"1,910.00","1,606.00",0.84
,,2010 - 2011,"10,489.00","8,464.00",0.81,"9,220.00","7,805.00",0.85,,,,"1,160.00",659,0.57
,,2011 - 2012,"11,890.00","7,760.00",0.65,"4,426.00","4,284.00",0.97,,,,490,518,1.06
,,2012 - 2013,"8,506.00","4,751.00",0.56,"4,473.00","2,409.00",0.54,,,,474,417,0.88
,,2013 - 2014,"6,527.00","4,223.00",0.65,"3,335.00","1,996.00",0.6,,,,816,867,1.06
,,2014 - 2015,"8,150.00","4,963.00",0.61,"6,253.00","4,295.00",0.69,,,,"1,047.00",764,0.73
,,2015 - 2016,"12,948.00","5,166.00",0.4,"10,120.00","3,480.00",0.34,,,,914,777,0.85
,,2016 - 2017,"3,029.00","2,023.00",0.67,"6,540.00","3,691.00",0.56,,,,200,332,1.66
,,2017 - 2018,"4,662.00","5,111.00",1.1,"2,639.00","3,342.00",1.27,,,,492,610,1.24
,,2018 - 2019,"4,992.00","4,031.00",0.81,"6,667.00","7,404.00",1.11,,,,483,563,1.17
,,2019 - 2020,"2,523.00","1,956.00",0.78,"6,924.00","5,979.00",0.86,,,,875,"1,115.00",1.27
,,2020 - 2021,"9,109.00","8,981.00",0.99,"7,933.00","6,814.00",0.86,,,,169,220,1.3
,,2021 - 2022,"10,470.00","9,319.00",0.89,"3,822.00","3,493.00",0.91,,,,258,284,1.1
,,2022 - 2023,"12,449.00","10,046.00",0.81,"4,075.00","4,226.00",1.04,,,,147,171,1.16
,4. Bellary,2000 - 2001,"19,149.00","5,980.00",0.31,"19,274.00","11,546.00",0.6,,,,"3,824.00","2,630.00",0.69
,,2001 - 2002,"31,843.00","12,359.00",0.39,"13,975.00","6,648.00",0.48,,,,"4,054.00","2,734.00",0.67
,,2002 - 2003,"35,564.00","9,300.00",0.26,"22,834.00","10,031.00",0.44,,,,"3,448.00","2,057.00",0.6
,,2003 - 2004,"58,584.00","14,922.00",0.25,"29,880.00","13,043.00",0.44,,,,"4,252.00","2,210.00",0.52
,,2004 - 2005,"42,374.00","13,615.00",0.32,"39,224.00","18,559.00",0.47,,,,"6,560.00","4,294.00",0.65
,,2005 - 2006,"58,156.00","17,037.00",0.29,"45,056.00","18,516.00",0.41,,,,"5,907.00","4,551.00",0.77
,,2006 - 2007,"50,126.00","16,144.00",0.32,"48,648.00","18,060.00",0.37,,,,"8,395.00","7,353.00",0.88
,,2007 - 2008,"42,833.00","16,935.00",0.4,"49,902.00","18,862.00",0.38,,,,"7,283.00","7,472.00",1.03
,,2008 - 2009,"52,536.00","17,629.00",0.34,"36,013.00","15,316.00",0.43,,,,"4,680.00","3,881.00",0.83
,,2009 - 2010,"40,331.00","14,103.00",0.35,"24,040.00","8,523.00",0.35,,,,"3,224.00","2,625.00",0.81
,,2010 - 2011,"25,145.00","12,560.00",0.5,"13,422.00","7,750.00",0.58,,,,"1,882.00","1,745.00",0.93
,,2011 - 2012,"8,363.00","3,976.00",0.48,"10,225.00","3,482.00",0.34,,,,"3,045.00","3,277.00",1.08
,,2012 - 2013,"21,005.00","10,855.00",0.52,"14,820.00","7,870.00",0.53,,,,"3,045.00","2,300.00",0.76
,,2013 - 2014,"11,730.00","7,444.00",0.63,"7,895.00","4,890.00",0.62,,,,"1,909.00","2,372.00",1.24
,,2014 - 2015,"13,580.00","8,063.00",0.59,"10,633.00","6,495.00",0.61,,,,"1,776.00","1,255.00",0.71
,,2015 - 2016,"6,074.00","2,926.00",0.48,"11,780.00","5,954.00",0.51,,,,945,656,0.69
,,2016 - 2017,"2,993.00",429,0.14,"10,649.00","8,822.00",0.83,,,,130,25,0.19
,,2017 - 2018,"2,360.00","2,161.00",0.92,"5,663.00","8,129.00",1.44,,,,17,19,1.12
,,2018 - 2019,"5,956.00","3,797.00",0.64,"7,722.00","7,783.00",1.01,,,,10,10,1
,,2019 - 2020,"2,162.00","1,883.00",0.87,"10,135.00","10,485.00",1.03,,,,100,106,1.06
,,2020 - 2021,"1,712.00","1,493.00",0.87,"4,473.00","5,171.00",1.16,,,,41,49,1.2
,,2021 - 2022,"1,795.00","1,521.00",0.85,"11,083.00","12,036.00",1.09,,,,42,51,1.21
,,2022 - 2023,221,172,0.78,"1,507.00","2,053.00",1.36,,,,10,12,1.2
,5. Bengaluru urban,2000 - 2001,,,,10,8,0.8,,,,,,
,,2001 - 2002,,,,8,7,0.88,,,,,,
,,2002 - 2003,,,,7,5,0.71,,,,1,1,1
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,,,,3,2,0.67,,,,8,5,0.63
,,2005 - 2006,1,1,1,12,9,0.75,,,,1,1,1
,,2006 - 2007,,,,12,7,0.58,,,,5,4,0.8
,,2007 - 2008,,,,9,7,0.78,,,,,,
,,2008 - 2009,,,,6,5,0.83,,,,,,
,,2009 - 2010,4,3,0.75,5,3,0.6,,,,,,
,,2010 - 2011,,,,1,1,1,,,,22,22,1
,,2011 - 2012,,,,,,,,,,6,6,1
,,2012 - 2013,,,,1,1,1,,,,,,
,,2014 - 2015,,,,4,2,0.5,,,,,,
,,2015 - 2016,,,,8,3,0.38,,,,,,
,,2016 - 2017,,,,2,1,0.5,,,,,,
,,2017 - 2018,,,,2,2,1,,,,,,
,,2018 - 2019,,,,1,1,1,,,,,,
,,2019 - 2020,,,,6,5,0.83,,,,,,
,,2020 - 2021,,,,3,3,1,,,,,,
,,2021 - 2022,,,,5,4,0.8,,,,,,
,,2022 - 2023,1,1,1,13,12,0.92,,,,,,
,6. Bidar,2000 - 2001,"3,420.00","1,223.00",0.36,"3,277.00","1,167.00",0.36,,,,100,72,0.72
,,2001 - 2002,"4,489.00","1,817.00",0.4,"4,122.00","1,119.00",0.27,,,,202,165,0.82
,,2002 - 2003,"4,671.00","2,482.00",0.53,"4,461.00","1,551.00",0.35,,,,83,50,0.6
,,2003 - 2004,"5,052.00","2,838.00",0.56,"5,560.00","2,501.00",0.45,,,,39,21,0.54
,,2004 - 2005,"5,348.00","3,004.00",0.56,"6,765.00","2,201.00",0.33,,,,169,110,0.65
,,2005 - 2006,"5,502.00","3,124.00",0.57,"9,459.00","3,219.00",0.34,,,,77,60,0.78
,,2006 - 2007,"5,261.00","2,573.00",0.49,"9,442.00","3,717.00",0.39,,,,63,50,0.79
,,2007 - 2008,"5,444.00","2,817.00",0.52,"7,658.00","3,358.00",0.44,,,,94,96,1.02
,,2008 - 2009,"5,405.00","2,586.00",0.48,"8,157.00","3,056.00",0.37,,,,226,180,0.8
,,2009 - 2010,"3,306.00","1,621.00",0.49,"5,912.00","1,805.00",0.31,,,,191,164,0.86
,,2010 - 2011,"3,062.00","1,327.00",0.43,"2,884.00",961,0.33,,,,236,239,1.01
,,2011 - 2012,"2,682.00","1,043.00",0.39,"2,749.00",997,0.36,,,,201,205,1.02
,,2012 - 2013,"1,874.00","1,004.00",0.54,"2,514.00","1,364.00",0.54,,,,294,294,1
,,2013 - 2014,"2,262.00",810,0.36,"1,780.00",834,0.47,,,,247,246,1
,,2014 - 2015,960,378,0.39,"1,014.00",412,0.41,,,,10,9,0.9
,,2015 - 2016,614,180,0.29,527,45,0.09,,,,,,
,,2016 - 2017,4,2,0.5,17,7,0.41,,,,,,
,,2017 - 2018,,,,11,5,0.45,,,,,,
,,2018 - 2019,,,,23,2,0.09,,,,,,
,,2019 - 2020,26,19,0.73,133,24,0.18,,,,,,
,,2020 - 2021,37,34,0.92,66,1,0.02,,,,,,
,,2021 - 2022,92,72,0.78,43,36,0.84,,,,196,269,1.37
,,2022 - 2023,203,175,0.86,6,6,1,,,,32,39,1.22
,7. Bijapur,2000 - 2001,"62,338.00","26,988.00",0.43,"29,059.00","14,149.00",0.49,,,,819,611,0.75
,,2001 - 2002,"1,48,524.00","55,310.00",0.37,"13,307.00","6,112.00",0.46,,,,"1,706.00",942,0.55
,,2002 - 2003,"1,56,710.00","64,332.00",0.41,"40,590.00","16,724.00",0.41,,,,"2,130.00","1,295.00",0.61
,,2003 - 2004,"2,13,421.00","30,700.00",0.14,"48,810.00","23,928.00",0.49,,,,"3,133.00","1,432.00",0.46
,,2004 - 2005,"1,86,167.00","53,765.00",0.29,"1,19,295.00","41,441.00",0.35,,,,"2,212.00",862,0.39
,,2005 - 2006,"2,14,078.00","98,845.00",0.46,"1,27,248.00","37,382.00",0.29,,,,"1,625.00",786,0.48
,,2006 - 2007,"1,25,478.00","30,931.00",0.25,"1,17,758.00","20,809.00",0.18,,,,"3,854.00","1,930.00",0.5
,,2007 - 2008,"87,034.00","30,627.00",0.35,"58,479.00","22,743.00",0.39,,,,"4,212.00","2,993.00",0.71
,,2008 - 2009,"93,866.00","22,056.00",0.23,"44,342.00","16,658.00",0.38,,,,"4,593.00","2,635.00",0.57
,,2009 - 2010,"67,856.00","12,075.00",0.18,"47,917.00","12,729.00",0.27,,,,"3,749.00","1,710.00",0.46
,,2010 - 2011,"35,133.00","12,115.00",0.34,"21,566.00","7,156.00",0.33,,,,"2,899.00","1,820.00",0.63
,,2011 - 2012,"33,202.00","6,549.00",0.2,"25,394.00","7,778.00",0.31,,,,"1,555.00",703,0.45
,,2012 - 2013,"49,119.00","20,065.00",0.41,"23,679.00","11,090.00",0.47,,,,"1,383.00",838,0.61
,,2013 - 2014,"33,664.00","17,749.00",0.53,"23,887.00","12,390.00",0.52,,,,"1,401.00",966,0.69
,,2014 - 2015,"27,262.00","11,240.00",0.41,"30,515.00","15,132.00",0.5,,,,"1,183.00",691,0.58
,,2015 - 2016,"35,288.00","7,744.00",0.22,"9,267.00","2,712.00",0.29,,,,780,239,0.31
,,2016 - 2017,"3,496.00","1,737.00",0.5,"17,783.00","15,373.00",0.86,,,,166,116,0.7
,,2017 - 2018,72,31,0.43,"16,331.00","14,816.00",0.91,,,,,,
,,2018 - 2019,"1,960.00",626,0.32,"7,034.00","4,130.00",0.59,,,,,,
,,2019 - 2020,123,60,0.49,"7,539.00","3,825.00",0.51,,,,20,18,0.9
,,2020 - 2021,411,380,0.92,"6,651.00","6,159.00",0.93,,,,257,252,0.98
,,2021 - 2022,552,513,0.93,"12,771.00","12,669.00",0.99,,,,124,182,1.47
,,2022 - 2023,"1,124.00",794,0.71,"39,329.00","32,014.00",0.81,,,,258,204,0.79
,8. Chamarajanagar,2000 - 2001,8,6,0.75,"2,686.00","1,186.00",0.44,,,,154,110,0.71
,,2001 - 2002,2,1,0.5,"1,952.00",641,0.33,,,,225,184,0.82
,,2002 - 2003,12,8,0.67,"6,219.00","1,380.00",0.22,,,,72,44,0.61
,,2003 - 2004,414,317,0.77,"3,114.00",502,0.16,,,,419,221,0.53
,,2004 - 2005,249,224,0.9,"5,437.00","2,913.00",0.54,,,,189,123,0.65
,,2005 - 2006,170,152,0.89,"6,424.00","2,331.00",0.36,,,,223,173,0.78
,,2006 - 2007,75,61,0.81,"15,412.00","8,045.00",0.52,,,,395,313,0.79
,,2007 - 2008,368,305,0.83,"15,261.00","4,904.00",0.32,,,,871,890,1.02
,,2008 - 2009,240,155,0.65,"16,427.00","10,840.00",0.66,,,,199,159,0.8
,,2009 - 2010,124,49,0.4,"16,034.00","3,346.00",0.21,,,,23,20,0.87
,,2010 - 2011,28,24,0.86,"12,268.00","5,234.00",0.43,,,,75,76,1.01
,,2011 - 2012,15,11,0.73,"9,315.00","4,488.00",0.48,,,,38,39,1.03
,,2012 - 2013,598,297,0.5,"8,933.00","1,061.00",0.12,,,,66,66,1
,,2013 - 2014,56,33,0.59,"7,620.00","3,960.00",0.52,,,,70,70,1
,,2014 - 2015,1,1,1,"9,141.00","2,223.00",0.24,,,,,,
,,2015 - 2016,6,2,0.33,"8,836.00","2,778.00",0.31,,,,,,
,,2016 - 2017,23,5,0.22,"9,924.00","3,253.00",0.33,,,,38,16,0.42
,,2017 - 2018,,,,"8,256.00","6,063.00",0.73,,,,27,32,1.19
,,2018 - 2019,98,51,0.52,"5,914.00","5,736.00",0.97,,,,16,14,0.88
,,2019 - 2020,595,433,0.73,"16,312.00","12,862.00",0.79,,,,30,33,1.1
,,2020 - 2021,"1,060.00",975,0.92,"4,045.00","4,243.00",1.05,,,,272,346,1.27
,,2021 - 2022,172,135,0.78,"14,259.00","13,774.00",0.97,,,,51,70,1.37
,,2022 - 2023,404,349,0.86,"18,235.00","20,751.00",1.14,,,,384,468,1.22
,9. Chikballapur,2007 - 2008,495,510,1.03,411,163,0.4,,,,"1,391.00","1,580.00",1.14
,,2008 - 2009,900,"1,064.00",1.18,782,392,0.5,,,,"1,693.00","1,800.00",1.06
,,2009 - 2010,385,415,1.08,460,202,0.44,,,,"1,556.00","1,731.00",1.11
,,2010 - 2011,851,811,0.95,148,79,0.53,,,,723,738,1.02
,,2011 - 2012,400,267,0.67,97,60,0.62,,,,948,"1,279.00",1.35
,,2012 - 2013,498,408,0.82,42,21,0.5,,,,405,757,1.87
,,2013 - 2014,110,107,0.97,10,6,0.6,,,,90,121,1.34
,,2014 - 2015,30,36,1.2,5,3,0.6,,,,41,62,1.51
,,2015 - 2016,39,37,0.95,9,4,0.44,,,,30,47,1.57
,,2016 - 2017,5,1,0.2,4,2,0.5,,,,,,
,,2017 - 2018,7,23,3.29,10,10,1,,,,91,82,0.9
,,2019 - 2020,48,148,3.08,3,2,0.67,,,,,,
,,2020 - 2021,99,91,0.92,4,3,0.75,,,,64,73,1.14
,,2021 - 2022,94,74,0.79,18,15,0.83,,,,270,517,1.91
,,2022 - 2023,772,668,0.87,135,132,0.98,,,,564,949,1.68
,10. Chikmagalur,2000 - 2001,20,8,0.4,"6,925.00","5,013.00",0.72,,,,,,
,,2001 - 2002,283,100,0.35,"3,268.00","1,645.00",0.5,,,,,,
,,2002 - 2003,11,4,0.36,"8,498.00","2,091.00",0.25,,,,,,
,,2003 - 2004,173,31,0.18,"9,162.00","1,854.00",0.2,,,,5,3,0.6
,,2004 - 2005,722,211,0.29,"14,147.00","8,589.00",0.61,,,,40,26,0.65
,,2005 - 2006,464,187,0.4,"12,109.00","9,281.00",0.77,,,,,,
,,2006 - 2007,185,51,0.28,"16,374.00","6,627.00",0.4,,,,,,
,,2007 - 2008,100,37,0.37,"16,504.00","11,493.00",0.7,,,,,,
,,2008 - 2009,134,36,0.27,"13,817.00","5,920.00",0.43,,,,,,
,,2009 - 2010,109,43,0.39,"13,566.00","6,199.00",0.46,,,,,,
,,2010 - 2011,45,17,0.38,"4,800.00","2,905.00",0.61,,,,,,
,,2011 - 2012,45,14,0.31,"3,875.00","1,314.00",0.34,,,,,,
,,2012 - 2013,21,6,0.29,"3,725.00","1,097.00",0.29,,,,,,
,,2013 - 2014,10,4,0.4,"4,059.00","1,747.00",0.43,,,,,,
,,2014 - 2015,9,4,0.44,"3,240.00","1,468.00",0.45,,,,,,
,,2015 - 2016,26,12,0.46,"5,062.00","1,558.00",0.31,,,,,,
,,2016 - 2017,,,,"3,796.00","3,199.00",0.84,,,,,,
,,2017 - 2018,,,,652,416,0.64,,,,,,
,,2018 - 2019,,,,"1,716.00","1,231.00",0.72,,,,,,
,,2019 - 2020,,,,328,308,0.94,,,,,,
,,2020 - 2021,,,,78,74,0.95,,,,,,
,,2021 - 2022,5,4,0.8,"1,088.00",874,0.8,,,,,,
,,2022 - 2023,,,,"1,845.00","1,508.00",0.82,,,,,,
,11. Chitradurga,2000 - 2001,"14,787.00","6,939.00",0.47,"14,137.00","8,901.00",0.63,,,,938,539,0.57
,,2001 - 2002,"12,816.00","6,531.00",0.51,"7,559.00","5,409.00",0.72,,,,"1,411.00","1,153.00",0.82
,,2002 - 2003,"25,592.00","11,752.00",0.46,"18,123.00","8,681.00",0.48,,,,"1,965.00","1,195.00",0.61
,,2003 - 2004,"31,182.00","10,457.00",0.34,"13,230.00","6,163.00",0.47,,,,"1,375.00","1,049.00",0.76
,,2004 - 2005,"15,956.00","8,313.00",0.52,"26,255.00","15,214.00",0.58,,,,"1,111.00","1,127.00",1.01
,,2005 - 2006,"20,044.00","13,671.00",0.68,"34,296.00","16,429.00",0.48,,,,"3,560.00","3,301.00",0.93
,,2006 - 2007,"24,868.00","8,222.00",0.33,"35,474.00","18,184.00",0.51,,,,"2,238.00","2,298.00",1.03
,,2007 - 2008,"7,458.00","3,482.00",0.47,"44,108.00","23,939.00",0.54,,,,"1,134.00","1,362.00",1.2
,,2008 - 2009,"12,391.00","4,959.00",0.4,"29,010.00","11,678.00",0.4,,,,752,648,0.86
,,2009 - 2010,"5,134.00","1,959.00",0.38,"23,861.00","8,581.00",0.36,,,,756,783,1.04
,,2010 - 2011,"2,895.00","1,358.00",0.47,"9,797.00","5,626.00",0.57,,,,967,"1,098.00",1.14
,,2011 - 2012,"8,677.00","2,461.00",0.28,"3,971.00","1,197.00",0.3,,,,469,401,0.86
,,2012 - 2013,"18,259.00","7,858.00",0.43,"32,354.00","15,245.00",0.47,,,,475,464,0.98
,,2013 - 2014,"2,679.00","1,583.00",0.59,"14,353.00","6,899.00",0.48,,,,190,203,1.07
,,2014 - 2015,"2,361.00","1,305.00",0.55,"12,272.00","6,307.00",0.51,,,,341,318,0.93
,,2015 - 2016,"2,076.00","1,116.00",0.54,"18,235.00","9,043.00",0.5,,,,260,269,1.03
,,2016 - 2017,190,42,0.22,"6,089.00","1,602.00",0.26,,,,,,
,,2017 - 2018,"1,011.00",618,0.61,550,645,1.17,,,,13,16,1.23
,,2018 - 2019,234,201,0.86,849,520,0.61,,,,,,
,,2019 - 2020,235,186,0.79,"2,343.00","1,251.00",0.53,,,,,,
,,2020 - 2021,349,491,1.41,"1,192.00",952,0.8,,,,90,52,0.58
,,2021 - 2022,181,172,0.95,"3,585.00","2,588.00",0.72,,,,12,16,1.33
,,2022 - 2023,439,394,0.9,"9,002.00","8,057.00",0.9,,,,8,10,1.25
,12. Davangere,2000 - 2001,"3,242.00","1,155.00",0.36,"6,842.00","4,171.00",0.61,,,,"1,929.00","2,227.00",1.15
,,2001 - 2002,"4,358.00","1,369.00",0.31,"4,899.00","2,446.00",0.5,,,,986,964,0.98
,,2002 - 2003,"5,749.00","1,735.00",0.3,"8,594.00","3,562.00",0.41,,,,"1,192.00",711,0.6
,,2003 - 2004,"11,227.00","4,189.00",0.37,"11,385.00","4,797.00",0.42,,,,"2,583.00","1,364.00",0.53
,,2004 - 2005,"4,108.00","1,868.00",0.45,"8,025.00","4,400.00",0.55,,,,"2,519.00","1,881.00",0.75
,,2005 - 2006,"4,910.00","3,805.00",0.77,"14,400.00","5,695.00",0.4,,,,"1,603.00","1,243.00",0.78
,,2006 - 2007,"7,937.00","3,805.00",0.48,"9,846.00","5,995.00",0.61,,,,"1,400.00","1,361.00",0.97
,,2007 - 2008,"5,838.00","2,917.00",0.5,"10,539.00","5,520.00",0.52,,,,"2,690.00","1,996.00",0.74
,,2008 - 2009,"4,125.00","3,061.00",0.74,"10,726.00","6,226.00",0.58,,,,"1,866.00","1,796.00",0.96
,,2009 - 2010,"3,001.00","2,453.00",0.82,"7,031.00","3,991.00",0.57,,,,"2,207.00","3,625.00",1.64
,,2010 - 2011,"1,372.00","1,347.00",0.98,"2,161.00","1,282.00",0.59,,,,"1,188.00","1,436.00",1.21
,,2011 - 2012,"1,306.00","1,449.00",1.11,"1,185.00",716,0.6,,,,"1,270.00","1,803.00",1.42
,,2012 - 2013,"2,813.00","2,317.00",0.82,"4,107.00","2,946.00",0.72,,,,"3,243.00","4,757.00",1.47
,,2013 - 2014,"1,439.00","1,192.00",0.83,"1,187.00",594,0.5,,,,800,961,1.2
,,2014 - 2015,"2,137.00","2,109.00",0.99,"1,204.00",808,0.67,,,,"1,440.00","1,637.00",1.14
,,2015 - 2016,808,609,0.75,"2,221.00","1,587.00",0.71,,,,352,388,1.1
,,2016 - 2017,341,341,1,648,345,0.53,,,,152,66,0.43
,,2017 - 2018,715,586,0.82,"1,745.00","1,472.00",0.84,,,,45,64,1.42
,,2018 - 2019,177,217,1.23,159,148,0.93,,,,20,26,1.3
,,2019 - 2020,133,130,0.98,"1,012.00",655,0.65,,,,46,82,1.78
,,2020 - 2021,433,613,1.42,250,99,0.4,,,,96,219,2.28
,,2021 - 2022,595,709,1.19,918,860,0.94,,,,34,47,1.38
,,2022 - 2023,"1,109.00","1,404.00",1.27,"1,434.00","1,265.00",0.88,,,,33,35,1.06
,13. Dharwad,2000 - 2001,"1,543.00",892,0.58,285,94,0.33,,,,,,
,,2001 - 2002,"3,061.00","1,157.00",0.38,218,83,0.38,,,,,,
,,2002 - 2003,"4,260.00","1,700.00",0.4,386,149,0.39,,,,10,6,0.6
,,2003 - 2004,"8,563.00","1,194.00",0.14,205,93,0.45,,,,70,37,0.53
,,2004 - 2005,"8,776.00","3,368.00",0.38,"1,213.00",918,0.76,,,,63,41,0.65
,,2005 - 2006,"7,829.00","4,790.00",0.61,"2,934.00","1,284.00",0.44,,,,43,33,0.77
,,2006 - 2007,"9,738.00","4,222.00",0.43,"1,096.00",619,0.56,,,,61,48,0.79
,,2007 - 2008,"6,140.00","2,456.00",0.4,428,187,0.44,,,,30,31,1.03
,,2008 - 2009,"13,224.00","4,713.00",0.36,"3,350.00","1,381.00",0.41,,,,52,41,0.79
,,2009 - 2010,"8,171.00","3,710.00",0.45,54,13,0.24,,,,72,62,0.86
,,2010 - 2011,"10,127.00","6,745.00",0.67,22,9,0.41,,,,71,72,1.01
,,2011 - 2012,"5,852.00","2,918.00",0.5,50,17,0.34,,,,24,25,1.04
,,2012 - 2013,"11,113.00","2,428.00",0.22,66,33,0.5,,,,1,1,1
,,2013 - 2014,"4,257.00","1,492.00",0.35,7,4,0.57,,,,1,1,1
,,2014 - 2015,"3,187.00","1,399.00",0.44,14,8,0.57,,,,,,
,,2015 - 2016,"2,980.00",544,0.18,8,3,0.38,,,,,,
,,2016 - 2017,494,22,0.04,,,,,,,,,
,,2017 - 2018,"2,944.00","1,012.00",0.34,577,582,1.01,,,,,,
,,2018 - 2019,565,194,0.34,54,46,0.85,,,,,,
,,2019 - 2020,697,320,0.46,287,217,0.76,,,,,,
,,2020 - 2021,"4,354.00","2,151.00",0.49,48,41,0.85,,,,2,3,1.5
,,2021 - 2022,"5,031.00","3,633.00",0.72,92,78,0.85,,,,,,
,,2022 - 2023,"5,639.00","3,930.00",0.7,12,12,1,,,,,,
,14. Gadag,2000 - 2001,"37,015.00","14,374.00",0.39,"9,498.00","4,847.00",0.51,,,,"1,813.00","1,042.00",0.57
,,2001 - 2002,"42,020.00","13,877.00",0.33,"5,548.00","1,963.00",0.35,,,,"2,447.00","1,351.00",0.55
,,2002 - 2003,"49,218.00","9,728.00",0.2,"12,572.00","3,115.00",0.25,,,,"2,200.00","1,018.00",0.46
,,2003 - 2004,"89,240.00","15,591.00",0.17,"8,219.00","3,847.00",0.47,,,,"1,580.00","1,205.00",0.76
,,2004 - 2005,"64,375.00","28,261.00",0.44,"18,049.00","8,617.00",0.48,,,,"1,682.00","1,707.00",1.01
,,2005 - 2006,"73,737.00","41,473.00",0.56,"20,245.00","8,271.00",0.41,,,,"1,970.00","1,881.00",0.95
,,2006 - 2007,"81,177.00","18,235.00",0.22,"13,455.00","2,959.00",0.22,,,,"2,030.00","1,232.00",0.61
,,2007 - 2008,"62,385.00","26,214.00",0.42,"13,059.00","4,236.00",0.32,,,,"1,344.00","1,233.00",0.92
,,2008 - 2009,"61,430.00","22,364.00",0.36,"15,710.00","5,203.00",0.33,,,,"1,570.00","1,108.00",0.71
,,2009 - 2010,"43,814.00","11,059.00",0.25,"9,659.00","2,575.00",0.27,,,,"1,803.00","1,238.00",0.69
,,2010 - 2011,"26,734.00","12,839.00",0.48,"11,932.00","4,895.00",0.41,,,,"1,007.00",974,0.97
,,2011 - 2012,"26,639.00","9,326.00",0.35,"10,785.00","3,987.00",0.37,,,,570,506,0.89
,,2012 - 2013,"35,208.00","14,884.00",0.42,"27,967.00","12,381.00",0.44,,,,787,552,0.7
,,2013 - 2014,"31,613.00","18,650.00",0.59,"14,166.00","7,375.00",0.52,,,,"1,919.00","1,796.00",0.94
,,2014 - 2015,"33,608.00","17,209.00",0.51,"7,622.00","4,330.00",0.57,,,,795,801,1.01
,,2015 - 2016,"26,818.00","8,407.00",0.31,"12,145.00","3,842.00",0.32,,,,788,765,0.97
,,2016 - 2017,"24,582.00","1,985.00",0.08,"9,614.00","4,484.00",0.47,,,,215,12,0.06
,,2017 - 2018,"22,371.00","9,606.00",0.43,"8,982.00","8,533.00",0.95,,,,20,12,0.6
,,2018 - 2019,"6,807.00","2,108.00",0.31,"7,868.00","2,997.00",0.38,,,,15,6,0.4
,,2019 - 2020,"5,592.00","2,927.00",0.52,"19,082.00","10,097.00",0.53,,,,225,189,0.84
,,2020 - 2021,"11,450.00","5,702.00",0.5,"9,078.00","4,212.00",0.46,,,,69,39,0.57
,,2021 - 2022,"14,924.00","8,701.00",0.58,"9,832.00","5,772.00",0.59,,,,120,121,1.01
,,2022 - 2023,"15,549.00","10,837.00",0.7,"10,833.00","6,391.00",0.59,,,,284,252,0.89
,15. Gulbarga,2000 - 2001,"8,137.00","3,520.00",0.43,"5,869.00","2,691.00",0.46,,,,"1,590.00",914,0.57
,,2001 - 2002,"32,484.00","14,331.00",0.44,"15,812.00","6,698.00",0.42,,,,"1,736.00","1,418.00",0.82
