State,District,Year,Sunflower,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2007 - 2008,"60,000.00","70,000.00",1.17,"6,000.00","7,000.00",1.17,,,,,,
,,2008 - 2009,,,,,,,"93,468.00","38,470.00",0.41,,,
,,2009 - 2010,,,,,,,"53,688.00","59,819.00",1.11,,,
,,2010 - 2011,,,,,,,"74,025.00","17,716.00",0.24,,,
,,2011 - 2012,,,,,,,"62,079.00","39,749.00",0.64,,,
,,2012 - 2013,"48,000.00","20,000.00",0.42,"2,000.00",,0,,,,,,
,,2013 - 2014,"26,486.00","21,268.00",0.8,"1,139.00",714,0.63,,,,,,
,,2014 - 2015,"14,902.00","10,536.00",0.71,"1,064.00",549,0.52,,,,,,
,,2015 - 2016,"8,871.00","8,702.00",0.98,504,393,0.78,,,,,,
,,2016 - 2017,"7,185.00","10,181.00",1.42,"1,629.00","1,106.00",0.68,,,,,,
,,2017 - 2018,"2,947.00","6,118.00",2.08,332,239,0.72,,,,,,
,,2018 - 2019,"5,219.00","4,728.00",0.91,379,429,1.13,,,,,,
,,2019 - 2020,"4,012.00","4,429.00",1.1,100,115,1.15,,,,,,
,,2020 - 2021,"5,174.00","3,084.00",0.6,987,342,0.35,,,,,,
,,2021 - 2022,"6,122.00","3,336.00",0.54,"2,661.00","1,517.00",0.57,,,,,,
,,2022 - 2023,"2,894.00","2,457.00",0.85,"1,805.00","1,153.00",0.64,,,,,,
,11. Krishna,2000 - 2001,,,,58,77,1.33,,,,,,
,,2001 - 2002,,,,34,38,1.12,,,,,,
,,2002 - 2003,,,,21,23,1.1,,,,,,
,,2003 - 2004,,,,511,600,1.17,,,,,,
,,2004 - 2005,152,136,0.89,152,136,0.89,,,,,,
,,2005 - 2006,,,,,,,152,173,1.14,,,
,,2006 - 2007,,,,,,,136,111,0.82,,,
,,2008 - 2009,,,,,,,42,43,1.02,,,
,,2009 - 2010,,,,,,,268,261,0.97,,,
,,2010 - 2011,,,,,,,76,94,1.24,,,
,,2011 - 2012,,,,,,,38,40,1.05,,,
,,2013 - 2014,8,9,1.13,,,,,,,,,
,,2014 - 2015,15,14,0.93,,,,,,,,,
,,2015 - 2016,13,14,1.08,,,,,,,,,
,,2016 - 2017,5,4,0.8,,,,,,,,,
,,2017 - 2018,4,4,1,,,,,,,,,
,,2018 - 2019,29,9,0.31,,,,,,,,,
,,2019 - 2020,15,15,1,,,,,,,,,
,,2020 - 2021,9,11,1.22,,,,,,,,,
,,2021 - 2022,51,55,1.08,,,,,,,,,
,12. Kurnool,2000 - 2001,,,,"98,381.00","76,276.00",0.78,,,,,,
,,2001 - 2002,,,,"1,33,400.00","1,06,830.00",0.8,,,,,,
,,2002 - 2003,,,,"1,92,119.00","1,51,230.00",0.79,,,,,,
,,2003 - 2004,,,,"2,16,637.00","1,42,013.00",0.66,,,,,,
,,2004 - 2005,"1,20,469.00","68,788.00",0.57,"2,01,629.00","1,06,527.00",0.53,,,,,,
,,2005 - 2006,,,,,,,"1,80,697.00","1,06,120.00",0.59,,,
,,2006 - 2007,,,,,,,"1,74,126.00","1,12,494.00",0.65,,,
,,2007 - 2008,"85,000.00","90,000.00",1.06,"72,000.00","44,000.00",0.61,,,,,,
,,2008 - 2009,,,,,,,"1,44,534.00","1,13,086.00",0.78,,,
,,2009 - 2010,,,,,,,"1,40,629.00","84,432.00",0.6,,,
,,2010 - 2011,,,,,,,"78,213.00","63,375.00",0.81,,,
,,2011 - 2012,,,,,,,"32,425.00","21,656.00",0.67,,,
,,2012 - 2013,"23,000.00","17,000.00",0.74,"8,000.00","6,000.00",0.75,,,,,,
,,2013 - 2014,"15,040.00","13,716.00",0.91,"7,047.00","5,433.00",0.77,,,,,,
,,2014 - 2015,"8,362.00","10,294.00",1.23,"4,184.00","3,397.00",0.81,,,,,,
,,2015 - 2016,"3,066.00","2,066.00",0.67,"2,101.00","2,185.00",1.04,,,,,,
,,2016 - 2017,"1,701.00","1,965.00",1.16,"2,988.00","2,432.00",0.81,,,,,,
,,2017 - 2018,548,433,0.79,"1,031.00","1,129.00",1.1,,,,,,
,,2018 - 2019,"1,093.00",669,0.61,723,581,0.8,,,,,,
,,2019 - 2020,259,272,1.05,426,213,0.5,,,,,,
,,2020 - 2021,826,988,1.2,190,237,1.25,,,,,,
,,2021 - 2022,636,429,0.67,"2,321.00","1,569.00",0.68,,,,,,
,,2022 - 2023,587,598,1.02,751,662,0.88,,,,,,
,13. Nandyal,2022 - 2023,253,295,1.17,909,924,1.02,,,,,,
,14. Ntr,2022 - 2023,25,25,1,,,,,,,,,
,15. Palnadu,2022 - 2023,,,,4,4,1,,,,,,
,16. Parvathipuram manyam,2022 - 2023,14,14,1,,,,,,,,,
,17. Prakasam,2000 - 2001,,,,"4,622.00","7,021.00",1.52,,,,,,
,,2001 - 2002,,,,"6,737.00","7,351.00",1.09,,,,,,
,,2002 - 2003,,,,"15,013.00","16,269.00",1.08,,,,,,
,,2003 - 2004,,,,"19,643.00","24,570.00",1.25,,,,,,
,,2004 - 2005,"27,871.00","33,557.00",1.2,"29,306.00","34,374.00",1.17,,,,,,
,,2005 - 2006,,,,,,,"27,657.00","39,408.00",1.42,,,
,,2006 - 2007,,,,,,,"38,937.00","33,417.00",0.86,,,
,,2007 - 2008,"36,000.00","50,000.00",1.39,"3,000.00","2,000.00",0.67,,,,,,
,,2008 - 2009,,,,,,,"39,982.00","40,780.00",1.02,,,
,,2009 - 2010,,,,,,,"23,750.00","23,312.00",0.98,,,
,,2010 - 2011,,,,,,,"18,503.00","22,870.00",1.24,,,
,,2011 - 2012,,,,,,,"17,007.00","18,623.00",1.1,,,
,,2012 - 2013,"15,000.00","15,000.00",1,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,"8,746.00","10,312.00",1.18,483,381,0.79,,,,,,
,,2014 - 2015,"8,090.00","7,710.00",0.95,96,116,1.21,,,,,,
,,2015 - 2016,"3,312.00","3,713.00",1.12,215,296,1.38,,,,,,
,,2016 - 2017,536,455,0.85,305,436,1.43,,,,,,
,,2017 - 2018,384,381,0.99,11,14,1.27,,,,,,
,,2018 - 2019,618,120,0.19,18,25,1.39,,,,,,
,,2019 - 2020,382,410,1.07,1,2,2,,,,,,
,,2020 - 2021,544,487,0.9,26,28,1.08,,,,,,
,,2021 - 2022,804,866,1.08,499,542,1.09,,,,,,
,,2022 - 2023,"1,192.00","1,074.00",0.9,273,284,1.04,,,,,,
,18. Spsr nellore,2000 - 2001,,,,"2,469.00","2,634.00",1.07,,,,,,
,,2001 - 2002,,,,"2,511.00","2,838.00",1.13,,,,,,
,,2002 - 2003,,,,"4,565.00","4,227.00",0.93,,,,,,
,,2003 - 2004,,,,"13,293.00","12,845.00",0.97,,,,,,
,,2004 - 2005,"25,302.00","14,043.00",0.56,"26,420.00","14,679.00",0.56,,,,,,
,,2005 - 2006,,,,,,,"15,832.00","7,633.00",0.48,,,
,,2006 - 2007,,,,,,,"11,451.00","6,113.00",0.53,,,
,,2007 - 2008,"9,000.00","7,000.00",0.78,"4,000.00","3,000.00",0.75,,,,,,
,,2008 - 2009,,,,,,,"9,050.00","5,392.00",0.6,,,
,,2009 - 2010,,,,,,,"3,883.00","2,903.00",0.75,,,
,,2010 - 2011,,,,,,,"2,704.00","2,460.00",0.91,,,
,,2011 - 2012,,,,,,,"2,862.00","1,983.00",0.69,,,
,,2012 - 2013,"2,000.00","1,000.00",0.5,"1,000.00","1,000.00",1,,,,,,
,,2013 - 2014,"1,784.00","1,452.00",0.81,980,772,0.79,,,,,,
,,2014 - 2015,784,835,1.07,550,666,1.21,,,,,,
,,2015 - 2016,541,439,0.81,393,541,1.38,,,,,,
,,2016 - 2017,388,252,0.65,938,"1,340.00",1.43,,,,,,
,,2017 - 2018,117,89,0.76,219,276,1.26,,,,,,
,,2018 - 2019,238,143,0.6,232,327,1.41,,,,,,
,,2019 - 2020,33,26,0.79,39,60,1.54,,,,,,
