State,District,Year,Black pepper,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2002 - 2003,63,13.5,0.21,,,,,,
,,2003 - 2004,75.5,15.86,0.21,,,,,,
,,2004 - 2005,85,15.86,0.19,,,,,,
,,2005 - 2006,41,0.1,0,,,,,,
,,2006 - 2007,22.16,0.68,0.03,,,,,,
,,2010 - 2011,,,,23,8.5,0.37,,,
,,2011 - 2012,,,,23,1,0.04,,,
,,2012 - 2013,,,,23,4.9,0.21,,,
,,2013 - 2014,,,,7.6,1.5,0.2,,,
,,2014 - 2015,,,,6,1.4,0.23,,,
,,2015 - 2016,,,,12.5,0.9,0.07,,,
,,2016 - 2017,,,,12,0.9,0.08,,,
,,2017 - 2018,,,,12.4,0.42,0.03,,,
,,2018 - 2019,,,,10.41,0.02,0,,,
,,2019 - 2020,,,,12.4,0.71,0.06,,,
,,2020 - 2021,,,,10.4,0.09,0.01,,,
,,2021 - 2022,,,,2.4,0.06,0.02,,,
,,2022 - 2023,,,,1.63,0.05,0.03,,,
,2. North and middle andaman,2006 - 2007,175,191.14,1.09,,,,,,
,,2010 - 2011,,,,168,13.5,0.08,,,
,,2011 - 2012,,,,169.9,2.7,0.02,,,
,,2012 - 2013,,,,169.9,36.3,0.21,,,
,,2013 - 2014,,,,160.2,13.8,0.09,,,
,,2014 - 2015,,,,134.5,20.8,0.15,,,
,,2015 - 2016,,,,68,13.6,0.2,,,
,,2016 - 2017,,,,60.3,4.8,0.08,,,
,,2017 - 2018,,,,8.76,2.13,0.24,,,
,,2018 - 2019,,,,10.03,3,0.3,,,
,,2019 - 2020,,,,9.92,2.25,0.23,,,
,,2020 - 2021,,,,9.26,2.8,0.3,,,
,,2021 - 2022,,,,9.36,2.89,0.31,,,
,,2022 - 2023,,,,41.98,3.15,0.08,,,
,3. South andamans,2002 - 2003,487,102.5,0.21,,,,,,
,,2003 - 2004,497,104.37,0.21,,,,,,
,,2004 - 2005,570,104.36,0.18,,,,,,
,,2005 - 2006,656.45,35.95,0.05,,,,,,
,,2006 - 2007,413.1,20.18,0.05,,,,,,
,,2010 - 2011,,,,409,98,0.24,,,
,,2011 - 2012,,,,407.1,28,0.07,,,
,,2012 - 2013,,,,407.1,88.8,0.22,,,
,,2013 - 2014,,,,405.5,61.3,0.15,,,
,,2014 - 2015,,,,385.5,62.8,0.16,,,
,,2015 - 2016,,,,300,39,0.13,,,
,,2016 - 2017,,,,225,47.11,0.21,,,
,,2017 - 2018,,,,69.46,349.72,5.03,,,
,,2018 - 2019,,,,70,4.57,0.07,,,
,,2019 - 2020,,,,66.9,18.05,0.27,,,
,,2020 - 2021,,,,40.16,45.96,1.14,,,
,,2021 - 2022,,,,38.16,43.46,1.14,,,
,,2022 - 2023,,,,38.2,42.57,1.11,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,382,235,0.62,,,,,,
,2. Anantapur,2019 - 2020,5,5,1,,,,,,
,3. East godavari,2013 - 2014,,,,,,,4,3,0.75
,,2022 - 2023,6,3,0.5,,,,,,
,4. Eluru,2022 - 2023,90,10,0.11,,,,,,
,5. Visakhapatanam,2019 - 2020,"17,215.00","17,215.00",1,,,,,,
,,2021 - 2022,,,,,,,845,483,0.57
,6. West godavari,2019 - 2020,425,425,1,,,,,,
,,2021 - 2022,,,,,,,37,3,0.08
3. Assam,1. Baksa,2007 - 2008,46,68,1.48,,,,,,
,,2008 - 2009,91,171,1.88,,,,,,
,,2009 - 2010,69,116,1.68,,,,,,
,,2010 - 2011,85,147,1.73,,,,,,
,,2011 - 2012,82,142,1.73,,,,,,
,,2012 - 2013,85,151,1.78,,,,,,
,,2013 - 2014,90,160,1.78,,,,,,
,,2014 - 2015,92,165,1.79,,,,,,
,,2015 - 2016,97,174,1.79,,,,,,
,,2016 - 2017,97,182,1.88,,,,,,
,,2017 - 2018,99,191,1.93,,,,,,
,,2018 - 2019,100,197,1.97,,,,,,
,,2019 - 2020,100,201,2.01,,,,,,
,,2020 - 2021,109,219,2.01,,,,,,
,,2021 - 2022,119,239,2.01,,,,,,
,,2022 - 2023,126,266,2.11,,,,,,
,2. Barpeta,2007 - 2008,52,73,1.4,,,,,,
,,2008 - 2009,30,42,1.4,,,,,,
,,2009 - 2010,39,55,1.41,,,,,,
,,2010 - 2011,58,81,1.4,,,,,,
,,2011 - 2012,46,64,1.39,,,,,,
,,2012 - 2013,46,70,1.52,,,,,,
,,2013 - 2014,47,72,1.53,,,,,,
,,2014 - 2015,43,65,1.51,,,,,,
,,2015 - 2016,17,26,1.53,,,,,,
,,2016 - 2017,41,69,1.68,,,,,,
,,2017 - 2018,39,70,1.79,,,,,,
,,2018 - 2019,39,73,1.87,,,,,,
,,2019 - 2020,37,72,1.95,,,,,,
,,2020 - 2021,34,66,1.94,,,,,,
,,2021 - 2022,31,60,1.94,,,,,,
,,2022 - 2023,29,66,2.28,,,,,,
,3. Biswanath,2020 - 2021,63,113,1.79,,,,,,
,,2021 - 2022,86,153,1.78,,,,,,
,,2022 - 2023,167,329,1.97,,,,,,
,4. Bongaigaon,2007 - 2008,18,33,1.83,,,,,,
