State,District,Year,Safflower,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,15. Munger,2010 - 2011,,,,21,17,0.81,,,
,16. Muzaffarpur,2003 - 2004,43,34,0.79,,,,,,
,,2004 - 2005,43,34,0.79,,,,,,
,,2005 - 2006,43,34,0.79,,,,,,
,,2010 - 2011,,,,6,5,0.83,,,
,,2011 - 2012,,,,2,2,1,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,1,1,1,,,,,,
,,2016 - 2017,1,1,1,,,,,,
,17. Nalanda,2011 - 2012,,,,152,122,0.8,,,
,18. Nawada,2000 - 2001,4,3,0.75,,,,,,
,,2001 - 2002,4,3,0.75,,,,,,
,,2002 - 2003,4,3,0.75,,,,,,
,19. Pashchim champaran,2000 - 2001,32,25,0.78,,,,,,
,,2001 - 2002,29,23,0.79,,,,,,
,,2002 - 2003,36,29,0.81,,,,,,
,,2003 - 2004,36,29,0.81,,,,,,
,,2004 - 2005,35,28,0.8,,,,,,
,,2005 - 2006,36,29,0.81,,,,,,
,,2007 - 2008,22,18,0.82,,,,,,
,,2008 - 2009,23,18,0.78,,,,,,
,,2010 - 2011,,,,21,17,0.81,,,
,,2011 - 2012,,,,3,2,0.67,,,
,,2012 - 2013,2,2,1,,,,,,
,20. Patna,2020 - 2021,3,2,0.67,,,,,,
,21. Purnia,2005 - 2006,74,59,0.8,,,,,,
,,2008 - 2009,74,59,0.8,,,,,,
,22. Rohtas,2003 - 2004,22,18,0.82,,,,,,
,,2004 - 2005,18,15,0.83,,,,,,
,23. Saharsa,2000 - 2001,2,2,1,,,,,,
,,2001 - 2002,3,2,0.67,,,,,,
,,2010 - 2011,,,,5,4,0.8,,,
,24. Samastipur,2001 - 2002,17,7,0.41,,,,,,
,,2008 - 2009,4,3,0.75,,,,,,
,,2013 - 2014,"1,541.00","1,241.00",0.81,,,,,,
,25. Saran,2005 - 2006,1,1,1,,,,,,
,,2008 - 2009,4,3,0.75,,,,,,
,26. Sitamarhi,2001 - 2002,12,10,0.83,,,,,,
,,2002 - 2003,12,10,0.83,,,,,,
,,2007 - 2008,10,8,0.8,,,,,,
,,2008 - 2009,12,10,0.83,,,,,,
,,2010 - 2011,,,,13,10,0.77,,,
,,2011 - 2012,,,,2,2,1,,,
,27. Siwan,2000 - 2001,2,2,1,,,,,,
,28. Supaul,2004 - 2005,24,19,0.79,,,,,,
,,2007 - 2008,2,2,1,,,,,,
,,2008 - 2009,2,2,1,,,,,,
,29. Vaishali,2002 - 2003,10,8,0.8,,,,,,
,,2004 - 2005,6,5,0.83,,,,,,
,,2011 - 2012,,,,21,17,0.81,,,
3. Chhattisgarh,1. Balod,2011 - 2012,15,4,0.27,,,,,,
,,2012 - 2013,111,24,0.22,,,,,,
,,2013 - 2014,1,,0,,,,,,
,,2014 - 2015,14,4,0.29,,,,,,
,,2015 - 2016,5,1,0.2,,,,,,
,,2016 - 2017,22,7,0.32,,,,,,
,,2017 - 2018,37,4,0.11,,,,,,
,,2020 - 2021,6,1,0.17,,,,,,
,,2021 - 2022,16,4,0.25,,,,,,
,,2022 - 2023,11,3,0.27,,,,,,
,2. Baloda bazar,2011 - 2012,67,17,0.25,,,,,,
,,2012 - 2013,49,13,0.27,,,,,,
,,2013 - 2014,82,20,0.24,,,,,,
,,2014 - 2015,91,27,0.3,,,,,,
,,2015 - 2016,82,19,0.23,,,,,,
,,2016 - 2017,53,17,0.32,,,,,,
,,2017 - 2018,11,2,0.18,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,
,,2019 - 2020,6,2,0.33,,,,,,
,,2020 - 2021,4,1,0.25,,,,,,
,,2021 - 2022,32,2,0.06,,,,,,
,,2022 - 2023,1,0,0,,,,,,
,3. Bastar,2000 - 2001,3,1,0.33,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,4. Bemetara,2011 - 2012,94,22,0.23,,,,,,
,,2012 - 2013,198,51,0.26,,,,,,
,,2013 - 2014,203,40,0.2,,,,,,
,,2014 - 2015,116,25,0.22,,,,,,
,,2015 - 2016,81,26,0.32,,,,,,
,,2016 - 2017,37,13,0.35,,,,,,
,,2017 - 2018,62,21,0.34,,,,,,
,,2018 - 2019,14,6,0.43,,,,,,
,,2019 - 2020,5,2,0.4,,,,,,
,,2020 - 2021,1,1,1,,,,,,
,,2021 - 2022,7,3,0.43,,,,,,
,,2022 - 2023,6,3,0.5,,,,,,
,5. Bilaspur,2000 - 2001,635,126,0.2,,,,,,
,,2001 - 2002,73,16,0.22,,,,,,
,,2002 - 2003,20,4,0.2,,,,,,
,,2003 - 2004,116,24,0.21,,,,,,
,,2004 - 2005,102,19,0.19,,,,,,
,,2005 - 2006,103,22,0.21,,,,,,
,,2006 - 2007,315,61,0.19,,,,,,
,,2007 - 2008,50,11,0.22,,,,,,
,,2008 - 2009,307,65,0.21,,,,,,
,,2009 - 2010,302,120,0.4,,,,,,
,,2010 - 2011,348,129,0.37,,,,,,
,,2012 - 2013,22,8,0.36,,,,,,
,,2013 - 2014,23,49,2.13,,,,,,
,,2015 - 2016,12,5,0.42,,,,,,
,,2016 - 2017,10,4,0.4,,,,,,
,,2017 - 2018,8,2,0.25,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,2,1,0.5,,,,,,
,,2020 - 2021,3,3,1,,,,,,
,,2021 - 2022,3,3,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,6. Dantewada,2005 - 2006,1,,0,,,,,,
,7. Dhamtari,2000 - 2001,2,1,0.5,,,,,,
,,2001 - 2002,15,4,0.27,,,,,,
,,2002 - 2003,104,22,0.21,,,,,,
,,2003 - 2004,196,49,0.25,,,,,,
,,2004 - 2005,307,65,0.21,,,,,,
,,2005 - 2006,396,100,0.25,,,,,,
,,2006 - 2007,221,57,0.26,,,,,,
,,2007 - 2008,112,29,0.26,,,,,,
,,2008 - 2009,50,13,0.26,,,,,,
,,2009 - 2010,70,19,0.27,,,,,,
,,2010 - 2011,50,13,0.26,,,,,,
,,2011 - 2012,35,9,0.26,,,,,,
,,2012 - 2013,13,4,0.31,,,,,,
,,2013 - 2014,8,2,0.25,,,,,,
,,2014 - 2015,10,3,0.3,,,,,,
,,2015 - 2016,2,1,0.5,,,,,,
,,2016 - 2017,14,4,0.29,,,,,,
,,2017 - 2018,13,4,0.31,,,,,,
,,2018 - 2019,20,7,0.35,,,,,,
,,2020 - 2021,1,0,0,,,,,,
,8. Durg,2000 - 2001,109,21,0.19,,,,,,
,,2001 - 2002,108,26,0.24,,,,,,
,,2002 - 2003,91,21,0.23,,,,,,
,,2003 - 2004,235,56,0.24,,,,,,
,,2004 - 2005,311,65,0.21,,,,,,
,,2005 - 2006,258,65,0.25,,,,,,
,,2006 - 2007,267,61,0.23,,,,,,
,,2007 - 2008,207,52,0.25,,,,,,
,,2008 - 2009,211,53,0.25,,,,,,
,,2009 - 2010,298,59,0.2,,,,,,
,,2010 - 2011,174,40,0.23,,,,,,
,,2011 - 2012,33,8,0.24,,,,,,
,,2012 - 2013,32,9,0.28,,,,,,
,,2013 - 2014,20,5,0.25,,,,,,
,,2014 - 2015,86,23,0.27,,,,,,
,,2015 - 2016,82,19,0.23,,,,,,
,,2016 - 2017,10,3,0.3,,,,,,
,,2017 - 2018,5,1,0.2,,,,,,
,,2018 - 2019,18,3,0.17,,,,,,
,,2019 - 2020,18,2,0.11,,,,,,
,,2020 - 2021,7,2,0.29,,,,,,
,,2021 - 2022,22,5,0.23,,,,,,
,,2022 - 2023,44,10,0.23,,,,,,
,9. Gaurella-pendra-marwahi,2019 - 2020,12,4,0.33,,,,,,
,10. Janjgir-champa,2000 - 2001,21,4,0.19,,,,,,
,,2002 - 2003,54,10,0.19,,,,,,
,,2003 - 2004,28,7,0.25,,,,,,
,,2004 - 2005,26,6,0.23,,,,,,
,,2005 - 2006,34,8,0.24,,,,,,
,,2006 - 2007,44,11,0.25,,,,,,
,,2007 - 2008,37,8,0.22,,,,,,
,,2008 - 2009,27,6,0.22,,,,,,
,,2009 - 2010,22,5,0.23,,,,,,
,,2010 - 2011,20,5,0.25,,,,,,
,,2011 - 2012,8,2,0.25,,,,,,
,,2012 - 2013,17,4,0.24,,,,,,
,,2013 - 2014,14,3,0.21,,,,,,
,,2014 - 2015,9,2,0.22,,,,,,
,,2015 - 2016,23,7,0.3,,,,,,
,,2016 - 2017,15,5,0.33,,,,,,
,,2017 - 2018,14,4,0.29,,,,,,
,,2018 - 2019,7,3,0.43,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,,2021 - 2022,4,1,0.25,,,,,,
,11. Kabirdham,2000 - 2001,93,31,0.33,,,,,,
,,2001 - 2002,26,11,0.42,,,,,,
,,2002 - 2003,64,26,0.41,,,,,,
,,2003 - 2004,79,32,0.41,,,,,,
,,2004 - 2005,34,14,0.41,,,,,,
,,2005 - 2006,29,9,0.31,,,,,,
,,2006 - 2007,10,4,0.4,,,,,,
,,2007 - 2008,9,4,0.44,,,,,,
,,2008 - 2009,9,4,0.44,,,,,,
,,2009 - 2010,7,2,0.29,,,,,,
,,2011 - 2012,5,2,0.4,,,,,,
,,2012 - 2013,5,2,0.4,,,,,,
,,2013 - 2014,3,1,0.33,,,,,,
,,2014 - 2015,3,2,0.67,,,,,,
,,2015 - 2016,3,1,0.33,,,,,,
,12. Kanker,2000 - 2001,1,,0,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,5,1,0.2,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2005 - 2006,1,,0,,,,,,
,13. Khairgarh chhuikhadan gandai,2022 - 2023,5,3,0.6,,,,,,
,14. Korba,2018 - 2019,15,5,0.33,,,,,,
,,2019 - 2020,1,,0,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,,2021 - 2022,1,0,0,,,,,,
,15. Korea,2003 - 2004,1,,0,,,,,,
,16. Mahasamund,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,1,,0,,,,,,
,,2011 - 2012,1,,0,,,,,,
,,2012 - 2013,1,,0,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,17. Mohla manpur ambagarh chouki,2022 - 2023,7,3,0.43,,,,,,
,18. Mungeli,2011 - 2012,120,45,0.38,,,,,,
,,2012 - 2013,134,51,0.38,,,,,,
,,2013 - 2014,114,48,0.42,,,,,,
,,2014 - 2015,182,73,0.4,,,,,,
,,2015 - 2016,214,89,0.42,,,,,,
,,2016 - 2017,17,7,0.41,,,,,,
,,2017 - 2018,91,27,0.3,,,,,,
,,2018 - 2019,5,3,0.6,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,19. Raigarh,2001 - 2002,24,5,0.21,,,,,,
,,2002 - 2003,95,17,0.18,,,,,,
,,2003 - 2004,114,21,0.18,,,,,,
,,2004 - 2005,51,9,0.18,,,,,,
,,2005 - 2006,24,4,0.17,,,,,,
,,2006 - 2007,16,3,0.19,,,,,,
,,2007 - 2008,40,7,0.18,,,,,,
,,2008 - 2009,35,7,0.2,,,,,,
,,2009 - 2010,30,6,0.2,,,,,,
,,2010 - 2011,13,3,0.23,,,,,,
,,2011 - 2012,22,5,0.23,,,,,,
,,2012 - 2013,21,4,0.19,,,,,,
,,2013 - 2014,22,5,0.23,,,,,,
,,2014 - 2015,8,2,0.25,,,,,,
,,2015 - 2016,7,2,0.29,,,,,,
,,2016 - 2017,9,2,0.22,,,,,,
,,2017 - 2018,8,2,0.25,,,,,,
,,2018 - 2019,7,1,0.14,,,,,,
,,2020 - 2021,3,1,0.33,,,,,,
,20. Raipur,2000 - 2001,83,19,0.23,,,,,,
,,2001 - 2002,88,21,0.24,,,,,,
,,2002 - 2003,78,16,0.21,,,,,,
,,2003 - 2004,93,20,0.22,,,,,,
,,2004 - 2005,124,25,0.2,,,,,,
,,2005 - 2006,97,20,0.21,,,,,,
,,2006 - 2007,109,23,0.21,,,,,,
,,2007 - 2008,44,9,0.2,,,,,,
,,2008 - 2009,84,34,0.4,,,,,,
,,2009 - 2010,99,23,0.23,,,,,,
,,2010 - 2011,190,46,0.24,,,,,,
,,2011 - 2012,75,19,0.25,,,,,,
,,2012 - 2013,66,19,0.29,,,,,,
,,2013 - 2014,37,9,0.24,,,,,,
,,2014 - 2015,804,230,0.29,,,,,,
,,2015 - 2016,34,12,0.35,,,,,,
,,2016 - 2017,17,7,0.41,,,,,,
,,2017 - 2018,29,11,0.38,,,,,,
,,2018 - 2019,29,11,0.38,,,,,,
,,2019 - 2020,20,6,0.3,,,,,,
,,2020 - 2021,9,3,0.33,,,,,,
,,2021 - 2022,16,6,0.38,,,,,,
,,2022 - 2023,17,6,0.35,,,,,,
,21. Rajnandgaon,2000 - 2001,2,1,0.5,,,,,,
,,2001 - 2002,3,1,0.33,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,11,4,0.36,,,,,,
,,2004 - 2005,8,3,0.38,,,,,,
,,2005 - 2006,10,3,0.3,,,,,,
,,2006 - 2007,6,2,0.33,,,,,,
,,2007 - 2008,13,4,0.31,,,,,,
,,2008 - 2009,22,9,0.41,,,,,,
,,2009 - 2010,19,7,0.37,,,,,,
,,2010 - 2011,7,3,0.43,,,,,,
,,2011 - 2012,2,1,0.5,,,,,,
,,2012 - 2013,12,6,0.5,,,,,,
,,2013 - 2014,5,2,0.4,,,,,,
,,2014 - 2015,6,2,0.33,,,,,,
,,2015 - 2016,189,65,0.34,,,,,,
,,2016 - 2017,14,6,0.43,,,,,,
,,2017 - 2018,187,89,0.48,,,,,,
,,2018 - 2019,81,36,0.44,,,,,,
,,2019 - 2020,32,15,0.47,,,,,,
,,2020 - 2021,3,2,0.67,,,,,,
,,2021 - 2022,18,14,0.78,,,,,,
,,2022 - 2023,13,6,0.46,,,,,,
,22. Surguja,2001 - 2002,1,,0,,,,,,
,,2002 - 2003,1,,0,,,,,,
,,2003 - 2004,1,,0,,,,,,
,,2005 - 2006,7,1,0.14,,,,,,
,,2006 - 2007,1,,0,,,,,,
4. Jharkhand,1. Bokaro,2022 - 2023,11,18,1.64,,,,,,
,2. Chatra,2021 - 2022,20,6,0.3,,,,,,
,3. Deoghar,2017 - 2018,9,5,0.56,,,,,,
,4. Dumka,2017 - 2018,81,47,0.58,,,,,,
,,2018 - 2019,23,12,0.52,,,,,,
,,2019 - 2020,210,105,0.5,,,,,,
,,2020 - 2021,64,32,0.5,,,,,,
,5. East singhbum,2017 - 2018,30,15,0.5,,,,,,
,,2018 - 2019,45,23,0.51,,,,,,
