State,District,Year,Safflower,,,,,,,,
,,,Rabi,,,Kharif,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2017 - 2018,"1,457.00","1,572.00",1.08,,,,,,
,,2018 - 2019,"1,158.00",886,0.77,,,,,,
,,2019 - 2020,816,585,0.72,,,,,,
,,2020 - 2021,"1,157.00",653,0.56,,,,,,
,,2021 - 2022,"1,498.00","1,016.00",0.68,,,,,,
,,2022 - 2023,"1,183.00",668,0.56,,,,,,
,4. Bellary,2000 - 2001,"6,084.00","3,237.00",0.53,,,,,,
,,2001 - 2002,"5,265.00","2,076.00",0.39,,,,,,
,,2002 - 2003,"2,259.00",594,0.26,,,,,,
,,2003 - 2004,"4,850.00","1,209.00",0.25,,,,,,
,,2004 - 2005,"5,975.00","1,977.00",0.33,,,,,,
,,2005 - 2006,"4,832.00","1,579.00",0.33,,,,,,
,,2006 - 2007,"3,765.00","1,628.00",0.43,,,,,,
,,2007 - 2008,"3,198.00","1,972.00",0.62,,,,,,
,,2008 - 2009,"1,285.00",472,0.37,,,,,,
,,2009 - 2010,"1,343.00",411,0.31,,,,,,
,,2010 - 2011,819,305,0.37,,,,,,
,,2011 - 2012,69,16,0.23,,,,,,
,,2012 - 2013,371,167,0.45,,,,,,
,,2013 - 2014,121,202,1.67,,,,,,
,,2014 - 2015,118,34,0.29,,,,,,
,,2015 - 2016,144,56,0.39,,,,,,
,,2016 - 2017,7,2,0.29,,,,,,
,,2017 - 2018,5,5,1,,,,,,
,,2018 - 2019,917,329,0.36,,,,,,
,,2019 - 2020,574,318,0.55,,,,,,
,,2020 - 2021,224,229,1.02,,,,,,
,,2021 - 2022,181,147,0.81,,,,,,
,,2022 - 2023,55,49,0.89,,,,,,
,5. Bengaluru urban,2019 - 2020,10,9,0.9,,,,,,
,,2020 - 2021,6,4,0.67,,,,,,
,,2021 - 2022,3,2,0.67,,,,,,
,,2022 - 2023,3,3,1,,,,,,
,6. Bidar,2000 - 2001,"9,473.00","10,025.00",1.06,,,,,,
,,2001 - 2002,"11,239.00","16,272.00",1.45,,,,,,
,,2002 - 2003,"10,898.00","14,173.00",1.3,,,,,,
,,2003 - 2004,"11,053.00","14,511.00",1.31,,,,,,
,,2004 - 2005,"12,160.00","9,819.00",0.81,,,,,,
,,2005 - 2006,"12,705.00","15,908.00",1.25,,,,,,
,,2006 - 2007,"11,744.00","16,021.00",1.36,,,,,,
,,2007 - 2008,"9,989.00","14,566.00",1.46,,,,,,
,,2008 - 2009,"10,804.00","13,394.00",1.24,,,,,,
,,2009 - 2010,"11,412.00","15,408.00",1.35,,,,,,
,,2010 - 2011,"11,398.00","14,548.00",1.28,,,,,,
,,2011 - 2012,"9,423.00","11,637.00",1.23,,,,,,
,,2012 - 2013,"11,441.00","11,162.00",0.98,,,,,,
,,2013 - 2014,"11,513.00","11,725.00",1.02,,,,,,
,,2014 - 2015,"6,851.00","6,886.00",1.01,,,,,,
,,2015 - 2016,"12,041.00","10,947.00",0.91,,,,,,
,,2016 - 2017,"17,031.00","16,309.00",0.96,,,,,,
,,2017 - 2018,"13,337.00","17,371.00",1.3,,,,,,
,,2018 - 2019,"4,797.00","4,548.00",0.95,,,,,,
,,2019 - 2020,"8,821.00","11,589.00",1.31,,,,,,
,,2020 - 2021,"7,566.00","6,734.00",0.89,,,,,,
,,2021 - 2022,"15,077.00","15,605.00",1.04,,,,,,
,,2022 - 2023,"25,266.00","30,168.00",1.19,,,,,,
,7. Bijapur,2000 - 2001,"11,056.00","7,121.00",0.64,,,,,,
,,2001 - 2002,"10,368.00","6,481.00",0.63,,,,,,
,,2002 - 2003,"9,490.00","4,931.00",0.52,,,,,,
,,2003 - 2004,"9,079.00","1,656.00",0.18,,,,,,
,,2004 - 2005,"5,644.00","3,217.00",0.57,,,,,,
,,2005 - 2006,"4,690.00","1,568.00",0.33,,,,,,
,,2006 - 2007,"8,426.00","3,442.00",0.41,,,,,,
,,2007 - 2008,"6,885.00","1,975.00",0.29,,,,,,
,,2008 - 2009,"10,224.00","4,983.00",0.49,,,,,,
,,2009 - 2010,"7,410.00","3,393.00",0.46,,,,,,
,,2010 - 2011,"5,868.00","2,581.00",0.44,,,,,,
,,2011 - 2012,"7,976.00","1,387.00",0.17,,,,,,
,,2012 - 2013,"3,868.00","1,121.00",0.29,,,,,,
,,2013 - 2014,"3,257.00",959,0.29,,,,,,
,,2014 - 2015,"2,631.00",980,0.37,,,,,,
,,2015 - 2016,"13,809.00","1,063.00",0.08,,,,,,
,,2016 - 2017,199,103,0.52,,,,,,
,,2017 - 2018,907,394,0.43,,,,,,
,,2018 - 2019,"1,702.00",692,0.41,,,,,,
,,2019 - 2020,"2,092.00","1,111.00",0.53,,,,,,
,,2020 - 2021,"1,657.00","1,095.00",0.66,,,,,,
,,2021 - 2022,"1,951.00","1,223.00",0.63,,,,,,
,,2022 - 2023,"4,139.00","2,984.00",0.72,,,,,,
,8. Chamarajanagar,2018 - 2019,13,8,0.62,,,,,,
,,2019 - 2020,12,11,0.92,,,,,,
,,2020 - 2021,9,6,0.67,,,,,,
,,2021 - 2022,5,4,0.8,,,,,,
,,2022 - 2023,13,11,0.85,,,,,,
,9. Chikballapur,2018 - 2019,13,8,0.62,,,,,,
,,2019 - 2020,6,6,1,,,,,,
,,2020 - 2021,5,3,0.6,,,,,,
,,2021 - 2022,7,6,0.86,,,,,,
,,2022 - 2023,8,7,0.88,,,,,,
,10. Chikmagalur,2000 - 2001,288,222,0.77,,,,,,
,,2001 - 2002,80,62,0.78,,,,,,
,,2002 - 2003,29,19,0.66,,,,,,
,,2003 - 2004,4,2,0.5,,,,,,
,,2004 - 2005,10,5,0.5,,,,,,
,,2005 - 2006,43,33,0.77,,,,,,
,,2006 - 2007,105,78,0.74,,,,,,
,,2007 - 2008,52,44,0.85,,,,,,
,,2008 - 2009,54,44,0.81,,,,,,
,,2009 - 2010,30,23,0.77,,,,,,
,,2010 - 2011,32,28,0.88,,,,,,
,,2011 - 2012,43,26,0.6,,,,,,
,,2018 - 2019,1,1,1,,,,,,
,,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,2,1,0.5,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,4,4,1,,,,,,
,11. Chitradurga,2000 - 2001,"1,019.00",567,0.56,,,,,,
,,2001 - 2002,"1,358.00",535,0.39,,,,,,
,,2002 - 2003,"2,708.00","1,760.00",0.65,,,,,,
,,2003 - 2004,"5,462.00","1,984.00",0.36,,,,,,
,,2004 - 2005,"4,153.00","1,378.00",0.33,,,,,,
,,2005 - 2006,"3,071.00",557,0.18,,,,,,
,,2006 - 2007,"2,920.00","2,510.00",0.86,,,,,,
,,2007 - 2008,"1,952.00","1,022.00",0.52,,,,,,
,,2008 - 2009,"4,652.00","2,581.00",0.55,,,,,,
,,2009 - 2010,"3,522.00","1,074.00",0.3,,,,,,
,,2010 - 2011,523,300,0.57,,,,,,
,,2011 - 2012,602,170,0.28,,,,,,
,,2012 - 2013,204,76,0.37,,,,,,
,,2013 - 2014,825,405,0.49,,,,,,
,,2014 - 2015,"1,885.00",883,0.47,,,,,,
,,2015 - 2016,"2,061.00","1,051.00",0.51,,,,,,
,,2016 - 2017,6,,0,,,,,,
,,2017 - 2018,723,396,0.55,,,,,,
,,2018 - 2019,"1,129.00",594,0.53,,,,,,
,,2019 - 2020,"1,318.00",848,0.64,,,,,,
,,2020 - 2021,"1,056.00",489,0.46,,,,,,
,,2021 - 2022,192,38,0.2,,,,,,
,,2022 - 2023,428,253,0.59,,,,,,
,12. Davangere,2000 - 2001,430,332,0.77,,,,,,
,,2001 - 2002,58,45,0.78,,,,,,
,,2002 - 2003,242,157,0.65,,,,,,
,,2003 - 2004,268,113,0.42,,,,,,
,,2004 - 2005,151,36,0.24,,,,,,
,,2005 - 2006,20,15,0.75,,,,,,
,,2006 - 2007,45,33,0.73,,,,,,
,,2007 - 2008,161,135,0.84,,,,,,
,,2008 - 2009,30,24,0.8,,,,,,
,,2009 - 2010,2,2,1,,,,,,
,,2010 - 2011,67,60,0.9,,,,,,
,,2011 - 2012,23,14,0.61,,,,,,
,,2014 - 2015,1,1,1,,,,,,
,,2015 - 2016,10,4,0.4,,,,,,
,,2018 - 2019,18,11,0.61,,,,,,
,,2019 - 2020,13,12,0.92,,,,,,
,,2020 - 2021,16,11,0.69,,,,,,
,,2021 - 2022,53,43,0.81,,,,,,
,,2022 - 2023,64,57,0.89,,,,,,
,13. Dharwad,2000 - 2001,"6,533.00","6,109.00",0.94,,,,,,
,,2001 - 2002,"7,189.00","3,982.00",0.55,,,,,,
,,2002 - 2003,"6,283.00","3,110.00",0.49,,,,,,
,,2003 - 2004,"14,712.00","2,212.00",0.15,,,,,,
,,2004 - 2005,"15,581.00","10,358.00",0.66,,,,,,
,,2005 - 2006,"8,789.00","9,273.00",1.06,,,,,,
,,2006 - 2007,"9,609.00","11,092.00",1.15,,,,,,
,,2007 - 2008,"8,919.00","10,201.00",1.14,,,,,,
,,2008 - 2009,"7,026.00","10,916.00",1.55,,,,,,
,,2009 - 2010,"7,221.00","6,937.00",0.96,,,,,,
,,2010 - 2011,"5,441.00","6,394.00",1.18,,,,,,
,,2011 - 2012,"14,884.00","7,092.00",0.48,,,,,,
,,2012 - 2013,"10,716.00","3,614.00",0.34,,,,,,
,,2013 - 2014,"8,151.00","4,569.00",0.56,,,,,,
,,2014 - 2015,"5,389.00","3,522.00",0.65,,,,,,
,,2015 - 2016,"12,622.00","3,441.00",0.27,,,,,,
,,2016 - 2017,"4,939.00",657,0.13,,,,,,
,,2017 - 2018,"8,414.00","5,196.00",0.62,,,,,,
,,2018 - 2019,"3,444.00","1,387.00",0.4,,,,,,
,,2019 - 2020,"4,513.00","4,450.00",0.99,,,,,,
,,2020 - 2021,"6,422.00","3,526.00",0.55,,,,,,
,,2021 - 2022,"7,373.00","5,367.00",0.73,,,,,,
,,2022 - 2023,"4,118.00","3,253.00",0.79,,,,,,
,14. Gadag,2000 - 2001,"3,681.00","2,994.00",0.81,,,,,,
,,2001 - 2002,"2,800.00","2,171.00",0.78,,,,,,
,,2002 - 2003,"6,832.00","2,210.00",0.32,,,,,,
,,2003 - 2004,"4,425.00","1,615.00",0.36,,,,,,
,,2004 - 2005,"5,142.00","2,926.00",0.57,,,,,,
,,2005 - 2006,"3,791.00","2,846.00",0.75,,,,,,
,,2006 - 2007,"5,873.00","2,682.00",0.46,,,,,,
,,2007 - 2008,"3,209.00","3,411.00",1.06,,,,,,
,,2008 - 2009,"4,391.00","4,292.00",0.98,,,,,,
,,2009 - 2010,"4,020.00","3,762.00",0.94,,,,,,
,,2010 - 2011,"1,714.00","1,330.00",0.78,,,,,,
,,2011 - 2012,"1,852.00","1,001.00",0.54,,,,,,
,,2012 - 2013,"5,193.00","3,883.00",0.75,,,,,,
,,2013 - 2014,"3,949.00","2,547.00",0.64,,,,,,
,,2014 - 2015,"2,136.00","2,045.00",0.96,,,,,,
,,2015 - 2016,"2,388.00",878,0.37,,,,,,
,,2016 - 2017,"2,565.00",327,0.13,,,,,,
,,2017 - 2018,"2,555.00","1,243.00",0.49,,,,,,
,,2018 - 2019,"1,833.00",472,0.26,,,,,,
,,2019 - 2020,"3,571.00","2,158.00",0.6,,,,,,
,,2020 - 2021,"4,078.00","2,214.00",0.54,,,,,,
,,2021 - 2022,"4,731.00","2,740.00",0.58,,,,,,
,,2022 - 2023,"7,472.00","4,057.00",0.54,,,,,,
,15. Gulbarga,2000 - 2001,"24,078.00","18,416.00",0.76,,,,,,
,,2001 - 2002,"21,107.00","16,388.00",0.78,,,,,,
,,2002 - 2003,"19,101.00","13,829.00",0.72,,,,,,
,,2003 - 2004,"17,807.00","8,363.00",0.47,,,,,,
,,2004 - 2005,"15,365.00","6,566.00",0.43,,,,,,
,,2005 - 2006,"15,585.00","10,882.00",0.7,,,,,,
,,2006 - 2007,"12,788.00","8,420.00",0.66,,,,,,
,,2007 - 2008,"11,342.00","7,734.00",0.68,,,,,,
,,2008 - 2009,"14,355.00","9,101.00",0.63,,,,,,
,,2009 - 2010,"14,679.00","10,949.00",0.75,,,,,,
,,2010 - 2011,"9,877.00","5,520.00",0.56,,,,,,
,,2011 - 2012,"5,880.00","3,962.00",0.67,,,,,,
,,2012 - 2013,"5,147.00","4,807.00",0.93,,,,,,
,,2013 - 2014,"4,979.00","5,719.00",1.15,,,,,,
,,2014 - 2015,"3,203.00","2,398.00",0.75,,,,,,
,,2015 - 2016,"4,452.00","1,874.00",0.42,,,,,,
,,2016 - 2017,"3,034.00","2,917.00",0.96,,,,,,
,,2017 - 2018,"1,946.00","1,753.00",0.9,,,,,,
,,2018 - 2019,465,436,0.94,,,,,,
,,2019 - 2020,"1,909.00","1,609.00",0.84,,,,,,
,,2020 - 2021,"3,674.00","2,509.00",0.68,,,,,,
,,2021 - 2022,"7,745.00","5,406.00",0.7,,,,,,
,,2022 - 2023,"17,078.00","12,963.00",0.76,,,,,,
,16. Hassan,2018 - 2019,4,2,0.5,,,,,,
,,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,4,3,0.75,,,,,,
,,2021 - 2022,2,2,1,,,,,,
,,2022 - 2023,2,2,1,,,,,,
,17. Haveri,2000 - 2001,"2,055.00","1,144.00",0.56,,,,,,
,,2001 - 2002,"1,708.00",922,0.54,,,,,,
,,2002 - 2003,"1,443.00",632,0.44,,,,,,
,,2003 - 2004,"2,252.00",663,0.29,,,,,,
,,2004 - 2005,"1,459.00","1,317.00",0.9,,,,,,
,,2005 - 2006,"1,888.00","1,376.00",0.73,,,,,,
,,2006 - 2007,"1,766.00","1,196.00",0.68,,,,,,
,,2007 - 2008,"1,776.00","1,517.00",0.85,,,,,,
,,2008 - 2009,"2,504.00","1,832.00",0.73,,,,,,
,,2009 - 2010,"1,965.00","1,434.00",0.73,,,,,,
,,2010 - 2011,"1,453.00",595,0.41,,,,,,
,,2011 - 2012,"1,049.00","1,046.00",1,,,,,,
,,2012 - 2013,"1,717.00","1,194.00",0.7,,,,,,
,,2013 - 2014,"1,080.00",926,0.86,,,,,,
,,2014 - 2015,674,777,1.15,,,,,,
,,2015 - 2016,910,262,0.29,,,,,,
,,2016 - 2017,228,114,0.5,,,,,,
,,2017 - 2018,386,223,0.58,,,,,,
,,2018 - 2019,267,195,0.73,,,,,,
,,2019 - 2020,451,288,0.64,,,,,,
,,2020 - 2021,550,433,0.79,,,,,,
,,2021 - 2022,"1,021.00",903,0.88,,,,,,
,,2022 - 2023,499,248,0.5,,,,,,
,18. Kolar,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,6,4,0.67,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,,2022 - 2023,1,1,1,,,,,,
,19. Koppal,2000 - 2001,"6,708.00","4,901.00",0.73,,,,,,
,,2001 - 2002,"7,564.00","5,957.00",0.79,,,,,,
,,2002 - 2003,"6,390.00","2,143.00",0.34,,,,,,
,,2003 - 2004,"7,480.00","1,720.00",0.23,,,,,,
,,2004 - 2005,"7,295.00","2,772.00",0.38,,,,,,
,,2005 - 2006,"5,660.00","2,468.00",0.44,,,,,,
,,2006 - 2007,"4,231.00","1,021.00",0.24,,,,,,
,,2007 - 2008,"6,801.00","4,161.00",0.61,,,,,,
,,2008 - 2009,"3,771.00","1,974.00",0.52,,,,,,
,,2009 - 2010,"4,326.00","1,763.00",0.41,,,,,,
,,2010 - 2011,"4,675.00","3,700.00",0.79,,,,,,
,,2011 - 2012,"1,063.00",616,0.58,,,,,,
,,2012 - 2013,"1,208.00",831,0.69,,,,,,
,,2013 - 2014,"4,582.00","4,409.00",0.96,,,,,,
,,2014 - 2015,"4,308.00","5,439.00",1.26,,,,,,
,,2015 - 2016,"1,083.00",249,0.23,,,,,,
,,2016 - 2017,805,53,0.07,,,,,,
,,2017 - 2018,"1,328.00",732,0.55,,,,,,
,,2018 - 2019,551,173,0.31,,,,,,
,,2019 - 2020,"1,128.00",618,0.55,,,,,,
,,2020 - 2021,"1,390.00",670,0.48,,,,,,
,,2021 - 2022,854,561,0.66,,,,,,
,,2022 - 2023,672,358,0.53,,,,,,
,20. Mandya,2018 - 2019,3,2,0.67,,,,,,
,,2019 - 2020,9,8,0.89,,,,,,
,,2020 - 2021,10,7,0.7,,,,,,
,,2021 - 2022,7,6,0.86,,,,,,
,21. Mysore,2018 - 2019,21,12,0.57,,,,,,
,,2019 - 2020,10,9,0.9,,,,,,
,,2020 - 2021,8,5,0.63,,,,,,
,,2021 - 2022,3,2,0.67,,,,,,
,22. Raichur,2000 - 2001,"11,593.00","10,176.00",0.88,,,,,,
,,2001 - 2002,"13,780.00","12,376.00",0.9,,,,,,
,,2002 - 2003,"8,954.00","5,487.00",0.61,,,,,,
,,2003 - 2004,"8,123.00","4,509.00",0.56,,,,,,
,,2004 - 2005,"7,150.00","2,037.00",0.28,,,,,,
,,2005 - 2006,"7,291.00","6,705.00",0.92,,,,,,
,,2006 - 2007,"7,325.00","5,486.00",0.75,,,,,,
,,2007 - 2008,"5,007.00","5,491.00",1.1,,,,,,
,,2008 - 2009,"3,763.00","2,900.00",0.77,,,,,,
,,2009 - 2010,"3,337.00","1,909.00",0.57,,,,,,
,,2010 - 2011,"3,517.00","2,967.00",0.84,,,,,,
,,2011 - 2012,"2,874.00","1,911.00",0.66,,,,,,
,,2012 - 2013,"1,350.00",596,0.44,,,,,,
,,2013 - 2014,781,683,0.87,,,,,,
,,2014 - 2015,"1,163.00",979,0.84,,,,,,
,,2015 - 2016,584,232,0.4,,,,,,
,,2016 - 2017,409,81,0.2,,,,,,
,,2017 - 2018,"1,263.00",703,0.56,,,,,,
,,2018 - 2019,265,57,0.22,,,,,,
,,2019 - 2020,545,408,0.75,,,,,,
,,2020 - 2021,318,211,0.66,,,,,,
,,2021 - 2022,346,280,0.81,,,,,,
,,2022 - 2023,291,261,0.9,,,,,,
,23. Ramanagara,2018 - 2019,3,2,0.67,,,,,,
,,2019 - 2020,2,2,1,,,,,,
,,2020 - 2021,5,3,0.6,,,,,,
,,2021 - 2022,1,1,1,,,,,,
,24. Shimoga,2004 - 2005,4,2,0.5,,,,,,
,,2005 - 2006,2,2,1,,,,,,
,,2009 - 2010,3,2,0.67,,,,,,
,,2011 - 2012,9,6,0.67,,,,,,
,,2012 - 2013,15,9,0.6,,,,,,
,,2013 - 2014,8,6,0.75,,,,,,
,,2014 - 2015,11,9,0.82,,,,,,
,25. Tumkur,2001 - 2002,20,16,0.8,,,,,,
,,2004 - 2005,14,7,0.5,,,,,,
,,2005 - 2006,15,11,0.73,,,,,,
,,2006 - 2007,14,10,0.71,,,,,,
,,2013 - 2014,26,21,0.81,,,,,,
,,2018 - 2019,43,25,0.58,,,,,,
,,2019 - 2020,23,21,0.91,,,,,,
,,2020 - 2021,27,18,0.67,,,,,,
,,2021 - 2022,17,13,0.76,,,,,,
,,2022 - 2023,9,8,0.89,,,,,,
,26. Udupi,2020 - 2021,1,1,1,,,,,,
,27. Uttar kannad,2000 - 2001,2,2,1,,,,,,
,28. Vijayanagar,2022 - 2023,44,40,0.91,,,,,,
,29. Yadgir,2010 - 2011,"1,045.00",650,0.62,,,,,,
,,2011 - 2012,982,343,0.35,,,,,,
,,2012 - 2013,881,484,0.55,,,,,,
,,2013 - 2014,565,376,0.67,,,,,,
,,2014 - 2015,559,311,0.56,,,,,,
,,2015 - 2016,485,130,0.27,,,,,,
,,2016 - 2017,83,51,0.61,,,,,,
,,2017 - 2018,68,47,0.69,,,,,,
,,2018 - 2019,112,62,0.55,,,,,,
,,2019 - 2020,180,63,0.35,,,,,,
,,2020 - 2021,237,122,0.51,,,,,,
,,2021 - 2022,305,169,0.55,,,,,,
,,2022 - 2023,300,141,0.47,,,,,,
6. Madhya Pradesh,1. Anuppur,2015 - 2016,"1,000.00",545,0.55,,,,,,
,,2016 - 2017,"1,700.00","1,020.00",0.6,,,,,,
,2. Ashoknagar,2004 - 2005,102,24,0.24,,,,,,
,,2016 - 2017,80,50,0.63,,,,,,
,3. Balaghat,2000 - 2001,6,1,0.17,,,,,,
,,2001 - 2002,12,3,0.25,,,,,,
,,2002 - 2003,14,3,0.21,,,,,,
,,2003 - 2004,10,2,0.2,,,,,,
,,2004 - 2005,12,3,0.25,,,,,,
,,2007 - 2008,3,1,0.33,,,,,,
,,2008 - 2009,5,1,0.2,,,,,,
,,2009 - 2010,,,,,,,16,4,0.25
,,2010 - 2011,6,2,0.33,,,,,,
,,2015 - 2016,"1,000.00",500,0.5,,,,,,
,,2016 - 2017,"3,620.00","2,690.00",0.74,,,,,,
,,2017 - 2018,300,170,0.57,,,,,,
,,2018 - 2019,1,,0,,,,,,
,4. Barwani,2003 - 2004,1,0,0,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2016 - 2017,60,250,4.17,,,,,,
,,2017 - 2018,620,240,0.39,,,,,,
,5. Betul,2000 - 2001,10,2,0.2,,,,,,
,,2001 - 2002,21,4,0.19,,,,,,
,,2002 - 2003,16,3,0.19,,,,,,
,,2003 - 2004,54,12,0.22,,,,,,
,,2016 - 2017,"1,860.00","1,020.00",0.55,,,,,,
,6. Bhind,2016 - 2017,"1,450.00",940,0.65,,,,,,
,7. Bhopal,2000 - 2001,7,1,0.14,,,,,,
,,2001 - 2002,6,1,0.17,,,,,,
,,2002 - 2003,7,1,0.14,,,,,,
,,2003 - 2004,7,1,0.14,,,,,,
,,2004 - 2005,6,1,0.17,,,,,,
,,2016 - 2017,100,30,0.3,,,,,,
,8. Burhanpur,2003 - 2004,1,0,0,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,3,1,0.33,,,,,,
,,2017 - 2018,90,90,1,,,,,,
,9. Chhatarpur,2001 - 2002,2,0.01,0.01,,,,,,
,,2002 - 2003,1,0.01,0.01,,,,,,
,,2014 - 2015,"9,000.00","3,000.00",0.33,,,,,,
,,2015 - 2016,"1,000.00",595,0.6,,,,,,
,,2016 - 2017,"1,800.00",360,0.2,,,,,,
,10. Chhindwara,2001 - 2002,8,3,0.38,,,,,,
,,2003 - 2004,2,1,0.5,,,,,,
,,2007 - 2008,9,3,0.33,,,,,,
,,2010 - 2011,12,4,0.33,,,,,,
,,2011 - 2012,10,4,0.4,,,,,,
,,2012 - 2013,18,8,0.44,,,,,,
,,2013 - 2014,19,10,0.53,,,,,,
,,2016 - 2017,"1,400.00",150,0.11,,,,,,
,11. Damoh,2016 - 2017,480,350,0.73,,,,,,
,12. Datia,2016 - 2017,60,20,0.33,,,,,,
,13. Dewas,2003 - 2004,12,4,0.33,,,,,,
,,2004 - 2005,327,109,0.33,,,,,,
,,2006 - 2007,2,1,0.5,,,,,,
,,2016 - 2017,70,50,0.71,,,,,,
,,2018 - 2019,3,1,0.33,,,,,,
,,2019 - 2020,3,1,0.33,,,,,,
,14. Dhar,2001 - 2002,25,7,0.28,,,,,,
,,2002 - 2003,3,1,0.33,,,,,,
,,2003 - 2004,3,1,0.33,,,,,,
,,2004 - 2005,3,1,0.33,,,,,,
,,2006 - 2007,3,1,0.33,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2009 - 2010,,,,,,,106,53,0.5
,,2010 - 2011,72,20,0.28,,,,,,
,,2011 - 2012,77,15,0.19,,,,,,
,,2012 - 2013,70,25,0.36,,,,,,
,,2016 - 2017,10,10,1,,,,,,
,,2018 - 2019,4,1,0.25,,,,,,
,,2019 - 2020,1,1,1,,,,,,
,15. Dindori,2001 - 2002,2,0.01,0.01,,,,,,
,,2002 - 2003,1,0.01,0.01,,,,,,
,,2003 - 2004,1,0,0,,,,,,
,,2015 - 2016,"1,000.00","1,000.00",1,,,,,,
,,2016 - 2017,"1,630.00",170,0.1,,,,,,
,16. Guna,2000 - 2001,28,7,0.25,,,,,,
,,2001 - 2002,169,41,0.24,,,,,,
,,2002 - 2003,150,13,0.09,,,,,,
,,2003 - 2004,317,74,0.23,,,,,,
,,2004 - 2005,508,121,0.24,,,,,,
,,2006 - 2007,347,85,0.24,,,,,,
,,2007 - 2008,363,67,0.18,,,,,,
,,2008 - 2009,226,46,0.2,,,,,,
,,2009 - 2010,,,,,,,243,53,0.22
,,2010 - 2011,284,57,0.2,,,,,,
,,2011 - 2012,66,13,0.2,,,,,,
,,2012 - 2013,140,108,0.77,,,,,,
,,2016 - 2017,20,10,0.5,,,,,,
,17. Gwalior,2016 - 2017,20,4,0.2,,,,,,
,18. Harda,2000 - 2001,9,3,0.33,,,,,,
,,2002 - 2003,8,3,0.38,,,,,,
,,2016 - 2017,10,3,0.3,,,,,,
,19. Hoshangabad,2000 - 2001,4,1,0.25,,,,,,
,,2001 - 2002,5,2,0.4,,,,,,
,,2007 - 2008,41,15,0.37,,,,,,
,,2009 - 2010,,,,,,,4,1,0.25
,,2016 - 2017,"2,150.00","1,350.00",0.63,,,,,,
,20. Indore,2001 - 2002,10,6,0.6,,,,,,
,,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,24,15,0.63,,,,,,
,,2004 - 2005,34,16,0.47,,,,,,
,,2006 - 2007,22,12,0.55,,,,,,
,,2007 - 2008,7,4,0.57,,,,,,
,,2009 - 2010,,,,,,,6,3,0.5
,,2010 - 2011,1,1,1,,,,,,
,,2012 - 2013,2,1,0.5,,,,,,
,21. Jabalpur,2003 - 2004,2,0,0,,,,,,
,,2004 - 2005,2,,0,,,,,,
,,2016 - 2017,"1,420.00",880,0.62,,,,,,
,22. Katni,2000 - 2001,1,0.1,0.1,,,,,,
,,2004 - 2005,1,,0,,,,,,
,,2015 - 2016,"1,000.00",536,0.54,,,,,,
,,2016 - 2017,"1,600.00",560,0.35,,,,,,
,23. Khandwa,2001 - 2002,12,3,0.25,,,,,,
,,2002 - 2003,5,1,0.2,,,,,,
,,2003 - 2004,6,2,0.33,,,,,,
,,2004 - 2005,2,1,0.5,,,,,,
,,2006 - 2007,1,,0,,,,,,
,,2007 - 2008,7,2,0.29,,,,,,
,,2016 - 2017,10,10,1,,,,,,
,24. Khargone,2013 - 2014,2,1,0.5,,,,,,
,,2014 - 2015,"10,000.00","9,000.00",0.9,,,,,,
,25. Mandla,2016 - 2017,60,60,1,,,,,,
,26. Mandsaur,2000 - 2001,42,17,0.4,,,,,,
,,2001 - 2002,2,1,0.5,,,,,,
,,2002 - 2003,4,1,0.25,,,,,,
,,2003 - 2004,12,5,0.42,,,,,,
,,2004 - 2005,15,5,0.33,,,,,,
,,2006 - 2007,4,2,0.5,,,,,,
,,2007 - 2008,1,,0,,,,,,
,,2008 - 2009,2,1,0.5,,,,,,
,,2016 - 2017,60,50,0.83,,,,,,
,27. Morena,2016 - 2017,420,290,0.69,,,,,,
,28. Neemuch,2002 - 2003,2,1,0.5,,,,,,
,,2003 - 2004,12,5,0.42,,,,,,
,,2004 - 2005,17,5,0.29,,,,,,
,,2008 - 2009,1,,0,,,,,,
,,2016 - 2017,90,60,0.67,,,,,,
,29. Panna,2002 - 2003,4,1,0.25,,,,,,
,,2003 - 2004,4,1,0.25,,,,,,
,,2016 - 2017,240,190,0.79,,,,,,
,30. Raisen,2000 - 2001,2,1,0.5,,,,,,
,,2003 - 2004,1,0,0,,,,,,
,,2016 - 2017,"1,150.00",810,0.7,,,,,,
,31. Rajgarh,2000 - 2001,3,1,0.33,,,,,,
,,2003 - 2004,1,0,0,,,,,,
,32. Ratlam,2001 - 2002,6,3,0.5,,,,,,
,,2002 - 2003,34,14,0.41,,,,,,
,,2003 - 2004,51,22,0.43,,,,,,
,,2004 - 2005,15,7,0.47,,,,,,
,,2006 - 2007,8,4,0.5,,,,,,
,,2007 - 2008,1,1,1,,,,,,
