State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,5. Bapatla,2022 - 2023,45,104,2.31,,,,,,,,,
,6. Chittoor,2000 - 2001,"3,771.00","4,936.00",1.31,393,514,1.31,,,,,,
,,2001 - 2002,"2,934.00","3,556.00",1.21,258,313,1.21,,,,,,
,,2002 - 2003,"2,366.00","1,171.00",0.49,42,21,0.5,,,,,,
,,2003 - 2004,"2,166.00","3,611.00",1.67,36,60,1.67,,,,,,
,,2004 - 2005,"2,684.00","3,521.00",1.31,57,75,1.32,,,,,,
,,2005 - 2006,"1,860.00","2,217.00",1.19,58,69,1.19,,,,,,
,,2006 - 2007,"1,456.00",942,0.65,30,19,0.63,,,,,,
,,2007 - 2008,"2,000.00","3,000.00",1.5,,,,,,,,,
,,2008 - 2009,"1,714.00","3,286.00",1.92,9,17,1.89,,,,,,
,,2009 - 2010,"2,859.00","3,336.00",1.17,17,20,1.18,,,,,,
,,2010 - 2011,"3,081.00","5,882.00",1.91,15,29,1.93,,,,,,
,,2011 - 2012,"2,353.00","4,958.00",2.11,2,4,2,,,,,,
,,2012 - 2013,"2,000.00","4,000.00",2,,,,,,,,,
,,2013 - 2014,"1,789.00","3,907.00",2.18,2,4,2,,,,,,
,,2014 - 2015,"2,071.00","4,622.00",2.23,1,2,2,,,,,,
,,2015 - 2016,"2,374.00","6,669.00",2.81,,,,,,,,,
,,2016 - 2017,"2,242.00","6,188.00",2.76,3,8,2.67,,,,,,
,,2017 - 2018,"2,104.00","4,810.00",2.29,,,,,,,,,
,,2018 - 2019,"1,830.00","3,958.00",2.16,1,2,2,,,,,,
,,2019 - 2020,"2,085.00","7,717.00",3.7,1,4,4,,,,,,
