State,District,Year,Bajra,,,,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2018 - 2019,25,35,1.4,,,,,,,175,510,2.91
,,2019 - 2020,304,528,1.74,,,,,,,243,698,2.87
,,2020 - 2021,25,38,1.52,,,,,,,19,53,2.79
,,2021 - 2022,35,57,1.63,,,,,,,135,393,2.91
,,2022 - 2023,10,18,1.8,,,,,,,359,"1,066.00",2.97
,22. Navsari,2014 - 2015,,,,,,,,,,83,218,2.63
,23. Panch mahals,2000 - 2001,"4,300.00","3,500.00",0.81,,,,,,,"1,000.00",800,0.8
,,2001 - 2002,"9,100.00","8,100.00",0.89,,,,,,,600,700,1.17
,,2002 - 2003,"8,100.00","6,100.00",0.75,,,,,,,700,700,1
,,2003 - 2004,"7,700.00","4,600.00",0.6,,,,,,,"1,900.00","2,400.00",1.26
,,2004 - 2005,"9,700.00","6,100.00",0.63,,,,,,,"2,300.00","4,800.00",2.09
,,2005 - 2006,"9,100.00","5,900.00",0.65,,,,,,,"1,500.00","3,400.00",2.27
,,2006 - 2007,"7,100.00",800,0.11,,,,,,,"1,800.00","4,300.00",2.39
,,2007 - 2008,"8,800.00","6,400.00",0.73,,,,,,,"2,200.00","5,100.00",2.32
,,2008 - 2009,"5,500.00","4,300.00",0.78,,,,,,,"1,900.00","4,600.00",2.42
,,2009 - 2010,"5,200.00","3,500.00",0.67,,,,,,,"2,600.00","5,900.00",2.27
,,2010 - 2011,"4,400.00","3,300.00",0.75,,,,,,,"9,200.00","22,500.00",2.45
,,2011 - 2012,"2,700.00","1,800.00",0.67,,,,,,,"14,200.00","35,800.00",2.52
,,2012 - 2013,"3,100.00","2,700.00",0.87,,,,,,,"4,900.00","13,000.00",2.65
,,2013 - 2014,"3,800.00","3,749.00",0.99,,,,,,,"11,389.00","31,821.00",2.79
,,2014 - 2015,830,"1,355.00",1.63,,,,,,,"2,625.00","4,339.00",1.65
,,2015 - 2016,206,344,1.67,,,,,,,"2,850.00","4,813.00",1.69
,,2016 - 2017,208,318,1.53,,,,,,,"3,844.00","8,887.00",2.31
,,2017 - 2018,421,694,1.65,,,,,,,751,"1,577.00",2.1
,,2018 - 2019,515,719,1.4,,,,,,,"1,531.00","3,252.00",2.12
,,2019 - 2020,332,577,1.74,,,,,,,"1,846.00","3,715.00",2.01
,,2020 - 2021,345,529,1.53,,,,,,,"2,275.00","3,919.00",1.72
,,2021 - 2022,352,577,1.64,,,,,,,"2,080.00","3,995.00",1.92
,,2022 - 2023,222,394,1.77,,,,,,,"1,726.00","3,363.00",1.95
,24. Patan,2003 - 2004,"83,800.00","78,900.00",0.94,,,,,,,"3,000.00","6,100.00",2.03
,,2004 - 2005,"65,200.00","48,400.00",0.74,,,,,,,"2,500.00","5,200.00",2.08
,,2005 - 2006,"91,500.00","56,300.00",0.62,,,,,,,"3,500.00","6,700.00",1.91
,,2006 - 2007,"91,600.00","21,600.00",0.24,,,,,,,"4,600.00","11,000.00",2.39
,,2007 - 2008,"88,900.00","46,300.00",0.52,,,,,,,"4,200.00","9,300.00",2.21
,,2008 - 2009,"58,400.00","42,900.00",0.73,,,,,,,"4,700.00","12,800.00",2.72
,,2009 - 2010,"62,600.00","26,100.00",0.42,,,,,,,"4,900.00","12,100.00",2.47
,,2010 - 2011,"51,200.00","25,500.00",0.5,,,,,,,"15,100.00","38,700.00",2.56
,,2011 - 2012,"41,600.00","30,200.00",0.73,,,,,,,"15,100.00","42,300.00",2.8
,,2012 - 2013,"35,000.00","19,000.00",0.54,,,,,,,"10,200.00","27,000.00",2.65
,,2013 - 2014,"34,952.00","42,264.00",1.21,,,,,,,"11,200.00","31,554.00",2.82
,,2014 - 2015,"1,517.00","1,119.00",0.74,,,,,,,"8,050.00","22,290.00",2.77
,,2015 - 2016,"1,030.00","1,051.00",1.02,,,,,,,"5,770.00","15,506.00",2.69
,,2016 - 2017,"2,895.00","3,315.00",1.15,,,,,,,"5,180.00","15,191.00",2.93
,,2017 - 2018,"11,207.00","1,892.00",0.17,,,,,,,"4,142.00","12,491.00",3.02
,,2018 - 2019,"5,086.00","7,054.00",1.39,,,,,,,"4,458.00","13,363.00",3
,,2019 - 2020,"2,400.00","2,115.00",0.88,,,,,,,"4,011.00","11,831.00",2.95
,,2020 - 2021,"3,971.00","2,073.00",0.52,,,,,,,"4,220.00","13,537.00",3.21
,,2021 - 2022,"3,495.00","4,056.00",1.16,,,,,,,"4,921.00","14,013.00",2.85
,,2022 - 2023,"3,180.00","6,811.00",2.14,,,,,,,"6,476.00","18,994.00",2.93
,25. Porbandar,2003 - 2004,"3,100.00","7,200.00",2.32,,,,,,,200,400,2
,,2004 - 2005,"3,200.00","5,600.00",1.75,,,,,,,100,200,2
,,2005 - 2006,"1,000.00","1,700.00",1.7,,,,,,,100,300,3
,,2006 - 2007,"1,200.00","1,400.00",1.17,,,,,,,700,"1,600.00",2.29
,,2007 - 2008,"1,000.00","2,200.00",2.2,,,,,,,700,"1,700.00",2.43
,,2008 - 2009,500,"1,000.00",2,,,,,,,100,300,3
,,2009 - 2010,300,400,1.33,,,,,,,,,
,,2010 - 2011,100,200,2,,,,,,,300,700,2.33
,,2011 - 2012,200,200,1,,,,,,,300,700,2.33
,,2012 - 2013,200,200,1,,,,,,,100,300,3
,,2013 - 2014,70,97,1.39,,,,,,,240,671,2.8
,,2014 - 2015,80,131,1.64,,,,,,,20,52,2.6
,,2015 - 2016,75,125,1.67,,,,,,,15,40,2.67
,,2016 - 2017,50,77,1.54,,,,,,,45,112,2.49
,,2017 - 2018,,,,,,,,,,88,257,2.92
,,2018 - 2019,,,,,,,,,,20,58,2.9
,,2019 - 2020,,,,,,,,,,240,689,2.87
,,2020 - 2021,,,,,,,,,,20,56,2.8
,,2021 - 2022,,,,,,,,,,335,976,2.91
,,2022 - 2023,,,,,,,,,,385,"1,144.00",2.97
,26. Rajkot,2000 - 2001,"41,600.00","23,900.00",0.57,,,,,,,,,
,,2001 - 2002,"42,500.00","66,200.00",1.56,,,,,,,400,700,1.75
,,2002 - 2003,"42,500.00","27,700.00",0.65,,,,,,,,,
,,2003 - 2004,"40,100.00","72,100.00",1.8,,,,,,,,,
,,2004 - 2005,"32,800.00","39,000.00",1.19,,,,,,,100,100,1
,,2005 - 2006,"34,700.00","59,000.00",1.7,,,,,,,100,300,3
,,2006 - 2007,"29,900.00","20,400.00",0.68,,,,,,,600,"1,300.00",2.17
,,2007 - 2008,"18,100.00","27,300.00",1.51,,,,,,,400,800,2
,,2008 - 2009,"12,900.00","12,700.00",0.98,,,,,,,400,900,2.25
,,2009 - 2010,"17,500.00","19,300.00",1.1,,,,,,,400,800,2
,,2010 - 2011,"6,800.00","8,700.00",1.28,,,,,,,"1,000.00","2,600.00",2.6
,,2011 - 2012,"4,700.00","6,000.00",1.28,,,,,,,"1,100.00","2,900.00",2.64
,,2012 - 2013,"4,100.00",300,0.07,,,,,,,100,200,2
,,2013 - 2014,"4,555.00","5,821.00",1.28,,,,,,,960,"2,682.00",2.79
,,2014 - 2015,307,731,2.38,,,,,,,296,776,2.62
,,2015 - 2016,204,474,2.32,,,,,,,92,245,2.66
,,2016 - 2017,5,8,1.6,,,,,,,270,674,2.5
,,2017 - 2018,"1,121.00","1,848.00",1.65,,,,,,,273,797,2.92
,,2018 - 2019,667,932,1.4,,,,,,,230,670,2.91
,,2019 - 2020,581,"1,010.00",1.74,,,,,,,"1,313.00","3,772.00",2.87
,,2020 - 2021,477,732,1.53,,,,,,,856,"2,379.00",2.78
,,2021 - 2022,497,814,1.64,,,,,,,522,"1,521.00",2.91
,,2022 - 2023,260,465,1.79,,,,,,,"1,006.00","2,988.00",2.97
,27. Sabar kantha,2000 - 2001,"4,100.00","2,600.00",0.63,,,,,,,"5,300.00","11,400.00",2.15
,,2001 - 2002,"7,300.00","5,300.00",0.73,,,,,,,"4,700.00","8,300.00",1.77
,,2002 - 2003,"9,100.00","9,800.00",1.08,,,,,,,"3,900.00","5,900.00",1.51
,,2003 - 2004,"17,800.00","14,500.00",0.81,,,,,,,"6,800.00","15,700.00",2.31
,,2004 - 2005,"14,500.00","12,400.00",0.86,,,,,,,"3,900.00","7,700.00",1.97
,,2005 - 2006,"14,400.00","13,900.00",0.97,,,,,,,"7,400.00","17,400.00",2.35
,,2006 - 2007,"10,500.00","2,600.00",0.25,,,,,,,"12,300.00","28,900.00",2.35
,,2007 - 2008,"7,400.00","4,600.00",0.62,,,,,,,"14,100.00","34,400.00",2.44
,,2008 - 2009,"4,900.00","4,100.00",0.84,,,,,,,"8,600.00","21,500.00",2.5
,,2009 - 2010,"3,400.00","1,600.00",0.47,,,,,,,"9,100.00","21,700.00",2.38
,,2010 - 2011,"4,800.00","4,100.00",0.85,,,,,,,"22,000.00","53,100.00",2.41
,,2011 - 2012,"3,800.00","4,600.00",1.21,,,,,,,"9,400.00","25,000.00",2.66
,,2012 - 2013,"8,100.00","6,100.00",0.75,,,,,,,"11,600.00","31,800.00",2.74
,,2013 - 2014,"5,180.00","3,294.00",0.64,,,,,,,"9,400.00","22,703.00",2.42
,,2014 - 2015,840,697,0.83,,,,,,,"6,555.00","17,643.00",2.69
,,2015 - 2016,282,357,1.27,,,,,,,"2,180.00","6,152.00",2.82
,,2016 - 2017,311,355,1.14,,,,,,,"1,179.00","3,536.00",3
,,2017 - 2018,44,65,1.48,,,,,,,"3,190.00","10,598.00",3.32
,,2018 - 2019,38,53,1.39,,,,,,,"1,978.00","6,565.00",3.32
,,2019 - 2020,554,692,1.25,,,,,,,"2,403.00","8,346.00",3.47
,,2020 - 2021,661,"1,014.00",1.53,,,,,,,"2,515.00","7,806.00",3.1
,,2021 - 2022,481,788,1.64,,,,,,,"1,992.00","6,193.00",3.11
,,2022 - 2023,350,915,2.61,,,,,,,"3,319.00","10,240.00",3.09
,28. Surat,2000 - 2001,300,200,0.67,,,,,,,,,
,,2001 - 2002,200,300,1.5,,,,,,,,,
,,2002 - 2003,200,200,1,,,,,,,100,100,1
,,2003 - 2004,300,400,1.33,,,,,,,,,
,,2004 - 2005,200,200,1,,,,,,,100,100,1
,,2005 - 2006,300,300,1,,,,,,,,,
,,2006 - 2007,"1,200.00",900,0.75,,,,,,,,,
,,2007 - 2008,400,400,1,,,,,,,200,400,2
,,2008 - 2009,100,100,1,,,,,,,,,
,,2009 - 2010,400,300,0.75,,,,,,,100,300,3
,,2010 - 2011,300,300,1,,,,,,,,,
,,2013 - 2014,15,21,1.4,,,,,,,49,137,2.8
,,2014 - 2015,192,314,1.64,,,,,,,38,100,2.63
,,2015 - 2016,10,17,1.7,,,,,,,40,106,2.65
,,2016 - 2017,,,,,,,,,,53,132,2.49
,,2017 - 2018,,,,,,,,,,26,76,2.92
,,2018 - 2019,2,3,1.5,,,,,,,,,
,,2019 - 2020,10,17,1.7,,,,,,,,,
,,2020 - 2021,,,,,,,,,,16,44,2.75
,,2021 - 2022,9,15,1.67,,,,,,,50,146,2.92
,,2022 - 2023,,,,,,,,,,28,83,2.96
,29. Surendranagar,2000 - 2001,"66,600.00","55,700.00",0.84,,,,,,,300,600,2
,,2001 - 2002,"70,700.00","1,13,000.00",1.6,,,,,,,100,200,2
,,2002 - 2003,"73,300.00","46,900.00",0.64,,,,,,,500,800,1.6
,,2003 - 2004,"82,800.00","1,33,900.00",1.62,,,,,,,600,"1,300.00",2.17
,,2004 - 2005,"64,900.00","84,700.00",1.31,,,,,,,400,800,2
,,2005 - 2006,"66,800.00","75,900.00",1.14,,,,,,,300,800,2.67
,,2006 - 2007,"49,800.00","70,600.00",1.42,,,,,,,900,"2,000.00",2.22
,,2007 - 2008,"50,700.00","81,100.00",1.6,,,,,,,"1,100.00","2,600.00",2.36
,,2008 - 2009,"39,000.00","42,100.00",1.08,,,,,,,"2,200.00","5,300.00",2.41
,,2009 - 2010,"39,000.00","35,700.00",0.92,,,,,,,"1,400.00","3,100.00",2.21
,,2010 - 2011,"30,800.00","39,500.00",1.28,,,,,,,"1,600.00","3,900.00",2.44
,,2011 - 2012,"18,300.00","37,200.00",2.03,,,,,,,"2,200.00","5,600.00",2.55
,,2012 - 2013,"18,500.00","13,200.00",0.71,,,,,,,500,"1,200.00",2.4
,,2013 - 2014,"25,822.00","46,038.00",1.78,,,,,,,842,"2,353.00",2.79
,,2014 - 2015,"9,077.00","18,301.00",2.02,,,,,,,"1,955.00","6,101.00",3.12
,,2015 - 2016,"7,181.00","13,553.00",1.89,,,,,,,410,"1,282.00",3.13
,,2016 - 2017,"5,828.00","6,215.00",1.07,,,,,,,418,902,2.16
,,2017 - 2018,"6,299.00","12,767.00",2.03,,,,,,,329,960,2.92
,,2018 - 2019,"6,474.00","7,522.00",1.16,,,,,,,213,620,2.91
,,2019 - 2020,"4,777.00","7,903.00",1.65,,,,,,,598,"1,718.00",2.87
,,2020 - 2021,"4,803.00","6,957.00",1.45,,,,,,,811,"2,254.00",2.78
,,2021 - 2022,"3,059.00","3,952.00",1.29,,,,,,,580,"1,690.00",2.91
,,2022 - 2023,"1,625.00","2,324.00",1.43,,,,,,,672,"1,996.00",2.97
,30. Tapi,2009 - 2010,,,,,,,,,,100,200,2
,,2010 - 2011,100,100,1,,,,,,,,,
,,2012 - 2013,,,,,,,,,,100,200,2
,,2013 - 2014,,,,,,,,,,125,349,2.79
,,2014 - 2015,10,16,1.6,,,,,,,75,197,2.63
,,2015 - 2016,92,154,1.67,,,,,,,,,
,,2019 - 2020,,,,,,,,,,15,43,2.87
,,2020 - 2021,,,,,,,,,,22,61,2.77
,,2021 - 2022,,,,,,,,,,70,204,2.91
,,2022 - 2023,,,,,,,,,,44,131,2.98
,31. Vadodara,2000 - 2001,"8,100.00","7,100.00",0.88,,,,,,,"3,200.00","5,800.00",1.81
,,2001 - 2002,"9,300.00","9,900.00",1.06,,,,,,,"2,600.00","5,100.00",1.96
,,2002 - 2003,"10,100.00","11,700.00",1.16,,,,,,,"3,600.00","6,300.00",1.75
,,2003 - 2004,"10,900.00","14,200.00",1.3,,,,,,,"3,300.00","6,000.00",1.82
,,2004 - 2005,"7,700.00","7,400.00",0.96,,,,,,,"2,900.00","5,200.00",1.79
,,2005 - 2006,"7,100.00","7,300.00",1.03,,,,,,,"3,800.00","7,900.00",2.08
,,2006 - 2007,"7,200.00","3,800.00",0.53,,,,,,,"4,400.00","9,000.00",2.05
,,2007 - 2008,"6,500.00","8,900.00",1.37,,,,,,,"4,800.00","10,500.00",2.19
,,2008 - 2009,"7,900.00","12,700.00",1.61,,,,,,,"3,700.00","4,400.00",1.19
,,2009 - 2010,"7,900.00","10,200.00",1.29,,,,,,,"3,900.00","8,200.00",2.1
,,2010 - 2011,"4,800.00","8,000.00",1.67,,,,,,,"11,300.00","23,900.00",2.12
,,2011 - 2012,"7,000.00","11,700.00",1.67,,,,,,,"11,300.00","25,200.00",2.23
,,2012 - 2013,"8,400.00","12,100.00",1.44,,,,,,,"4,700.00","19,400.00",4.13
,,2013 - 2014,"10,226.00","13,389.00",1.31,,,,,,,"5,515.00","12,148.00",2.2
,,2014 - 2015,"5,500.00","9,066.00",1.65,,,,,,,"5,221.00","10,431.00",2
,,2015 - 2016,"5,683.00","8,352.00",1.47,,,,,,,"4,505.00","10,287.00",2.28
,,2016 - 2017,"6,234.00","15,218.00",2.44,,,,,,,"7,259.00","14,657.00",2.02
,,2017 - 2018,"3,380.00","6,830.00",2.02,,,,,,,"4,181.00","9,793.00",2.34
,,2018 - 2019,989,"1,631.00",1.65,,,,,,,"4,045.00","9,065.00",2.24
,,2019 - 2020,863,"1,666.00",1.93,,,,,,,"4,320.00","10,739.00",2.49
,,2020 - 2021,155,260,1.68,,,,,,,"4,202.00","9,441.00",2.25
,,2021 - 2022,168,311,1.85,,,,,,,"4,725.00","10,451.00",2.21
,,2022 - 2023,,,,,,,,,,"6,706.00","16,479.00",2.46
,32. Valsad,2003 - 2004,,,,,,,,,,100,200,2
7. Haryana,1. Ambala,2000 - 2001,473,0,0,,,,,,,,,
,,2001 - 2002,156,0,0,,,,,,,,,
,,2002 - 2003,279,0,0,,,,,,,,,
,,2003 - 2004,300,,0,,,,,,,,,
,,2004 - 2005,338,,0,,,,,,,,,
,,2005 - 2006,272,,0,,,,,,,,,
,,2006 - 2007,270,,0,,,,,,,,,
,,2007 - 2008,334,,0,,,,,,,,,
,,2008 - 2009,286,,0,,,,,,,,,
,,2009 - 2010,402,,0,,,,,,,,,
,,2010 - 2011,379,,0,,,,,,,,,
,,2011 - 2012,428,,0,,,,,,,,,
,,2012 - 2013,485,,0,,,,,,,,,
,,2014 - 2015,"1,000.00","2,000.00",2,,,,,,,,,
,,2016 - 2017,300,600,2,,,,,,,,,
,,2017 - 2018,200,300,1.5,,,,,,,,,
,,2019 - 2020,100,200,2,,,,,,,,,
,,2020 - 2021,"29,400.00","69,740.00",2.37,,,,,,,,,
,,2021 - 2022,95,220,2.32,,,,,,,,,
,,2022 - 2023,10,30,3,,,,,,,,,
,2. Bhiwani,2000 - 2001,"2,00,556.00","1,56,000.00",0.78,,,,,,,,,
,,2001 - 2002,"1,78,681.00","2,43,000.00",1.36,,,,,,,,,
,,2002 - 2003,"1,80,314.00","1,18,000.00",0.65,,,,,,,,,
,,2003 - 2004,"1,84,241.00","2,43,000.00",1.32,,,,,,,,,
,,2004 - 2005,"1,81,566.00","1,88,000.00",1.04,,,,,,,,,
,,2005 - 2006,"2,22,539.00","1,53,000.00",0.69,,,,,,,,,
,,2006 - 2007,"1,84,722.00","2,48,000.00",1.34,,,,,,,,,
,,2007 - 2008,"1,75,988.00","2,63,000.00",1.49,,,,,,,,,
,,2008 - 2009,"1,74,597.00","2,42,000.00",1.39,,,,,,,,,
,,2009 - 2010,"1,72,121.00","1,81,000.00",1.05,,,,,,,,,
,,2010 - 2011,"1,99,982.00","3,26,000.00",1.63,,,,,,,,,
,,2011 - 2012,"1,70,872.00","2,98,000.00",1.74,,,,,,,,,
,,2012 - 2013,"88,740.00","1,23,000.00",1.39,,,,,,,,,
,,2013 - 2014,"87,000.00","1,39,000.00",1.6,,,,,,,,,
,,2014 - 2015,"83,000.00","1,13,000.00",1.36,,,,,,,,,
,,2015 - 2016,"52,000.00","68,000.00",1.31,,,,,,,,,
,,2016 - 2017,"1,11,000.00","1,88,700.00",1.7,,,,,,,,,
,,2017 - 2018,"60,600.00","74,900.00",1.24,,,,,,,,,
,,2018 - 2019,"58,000.00","84,000.00",1.45,,,,,,,,,
,,2019 - 2020,"80,800.00","1,32,800.00",1.64,,,,,,,,,
,,2020 - 2021,"79,990.00","1,48,860.00",1.86,,,,,,,,,
,,2021 - 2022,"63,406.00","1,11,470.00",1.76,,,,,,,,,
,,2022 - 2023,"74,160.00","1,68,550.00",2.27,,,,,,,,,
,3. Charki dadri,2017 - 2018,"40,100.00","30,100.00",0.75,,,,,,,,,
,,2018 - 2019,"37,000.00","68,000.00",1.84,,,,,,,,,
,,2019 - 2020,"55,200.00","1,09,300.00",1.98,,,,,,,,,
,,2020 - 2021,"58,500.00","1,31,100.00",2.24,,,,,,,,,
,,2021 - 2022,"50,608.00","1,01,720.00",2.01,,,,,,,,,
,,2022 - 2023,"53,720.00","1,23,580.00",2.3,,,,,,,,,
,4. Faridabad,2000 - 2001,"14,162.00","19,000.00",1.34,,,,,,,,,
,,2001 - 2002,"13,056.00","19,000.00",1.46,,,,,,,,,
,,2002 - 2003,"5,787.00","7,000.00",1.21,,,,,,,,,
,,2003 - 2004,"10,233.00","14,000.00",1.37,,,,,,,,,
,,2004 - 2005,"10,363.00","12,000.00",1.16,,,,,,,,,
,,2005 - 2006,"8,654.00","13,000.00",1.5,,,,,,,,,
,,2006 - 2007,"8,868.00","16,000.00",1.8,,,,,,,,,
,,2007 - 2008,"9,763.00","17,000.00",1.74,,,,,,,,,
,,2008 - 2009,"4,313.00","7,000.00",1.62,,,,,,,,,
,,2009 - 2010,"3,653.00","6,000.00",1.64,,,,,,,,,
,,2010 - 2011,"4,384.00","5,000.00",1.14,,,,,,,,,
,,2011 - 2012,"3,925.00","6,000.00",1.53,,,,,,,,,
,,2012 - 2013,"3,477.00","5,000.00",1.44,,,,,,,,,
,,2013 - 2014,"4,000.00","7,000.00",1.75,,,,,,,,,
,,2014 - 2015,"4,000.00","7,000.00",1.75,,,,,,,,,
,,2015 - 2016,"3,000.00","5,000.00",1.67,,,,,,,,,
,,2016 - 2017,"4,000.00","9,000.00",2.25,,,,,,,,,
,,2017 - 2018,"2,100.00","3,900.00",1.86,,,,,,,,,
,,2018 - 2019,"3,000.00","10,000.00",3.33,,,,,,,,,
,,2019 - 2020,"3,900.00","8,700.00",2.23,,,,,,,,,
,,2020 - 2021,"5,510.00","12,720.00",2.31,,,,,,,,,
,,2021 - 2022,"4,685.00","7,730.00",1.65,,,,,,,,,
,,2022 - 2023,"3,160.00","6,400.00",2.03,,,,,,,,,
,5. Fatehabad,2000 - 2001,"10,273.00","14,000.00",1.36,,,,,,,,,
,,2001 - 2002,"10,101.00","15,000.00",1.49,,,,,,,,,
,,2002 - 2003,"12,923.00","14,000.00",1.08,,,,,,,,,
,,2003 - 2004,"14,640.00","18,000.00",1.23,,,,,,,,,
,,2004 - 2005,"11,908.00","23,000.00",1.93,,,,,,,,,
,,2005 - 2006,"14,586.00","28,000.00",1.92,,,,,,,,,
,,2006 - 2007,"11,718.00","26,000.00",2.22,,,,,,,,,
,,2007 - 2008,"11,292.00","30,000.00",2.66,,,,,,,,,
,,2008 - 2009,"10,291.00","27,000.00",2.62,,,,,,,,,
,,2009 - 2010,"7,818.00","21,000.00",2.69,,,,,,,,,
,,2010 - 2011,"7,869.00","19,000.00",2.41,,,,,,,,,
,,2011 - 2012,"4,897.00","11,000.00",2.25,,,,,,,,,
,,2012 - 2013,"3,306.00","7,000.00",2.12,,,,,,,,,
,,2013 - 2014,"2,000.00","4,000.00",2,,,,,,,,,
,,2014 - 2015,"2,000.00","4,000.00",2,,,,,,,,,
,,2015 - 2016,"1,000.00","2,000.00",2,,,,,,,,,
,,2016 - 2017,"4,000.00","9,200.00",2.3,,,,,,,,,
,,2017 - 2018,"2,400.00","5,000.00",2.08,,,,,,,,,
,,2018 - 2019,"2,000.00","5,000.00",2.5,,,,,,,,,
,,2019 - 2020,"2,200.00","5,200.00",2.36,,,,,,,,,
,,2020 - 2021,"2,970.00","7,480.00",2.52,,,,,,,,,
,,2021 - 2022,"2,463.00","5,620.00",2.28,,,,,,,,,
,,2022 - 2023,"2,710.00","6,630.00",2.45,,,,,,,,,
,6. Gurgaon,2000 - 2001,"64,735.00","78,000.00",1.2,,,,,,,,,
,,2001 - 2002,"55,372.00","80,000.00",1.44,,,,,,,,,
,,2002 - 2003,"44,038.00","43,000.00",0.98,,,,,,,,,
,,2003 - 2004,"55,432.00","83,000.00",1.5,,,,,,,,,
,,2004 - 2005,"51,843.00","67,000.00",1.29,,,,,,,,,
,,2005 - 2006,"32,566.00","35,000.00",1.07,,,,,,,,,
,,2006 - 2007,"32,795.00","60,000.00",1.83,,,,,,,,,
,,2007 - 2008,"33,654.00","62,000.00",1.84,,,,,,,,,
,,2008 - 2009,"33,671.00","67,000.00",1.99,,,,,,,,,
,,2009 - 2010,"34,217.00","63,000.00",1.84,,,,,,,,,
,,2010 - 2011,"34,026.00","65,000.00",1.91,,,,,,,,,
,,2011 - 2012,"31,450.00","71,000.00",2.26,,,,,,,,,
,,2012 - 2013,"30,488.00","69,000.00",2.26,,,,,,,,,
,,2013 - 2014,"32,000.00","66,000.00",2.06,,,,,,,,,
,,2014 - 2015,"31,000.00","56,000.00",1.81,,,,,,,,,
,,2015 - 2016,"32,000.00","61,000.00",1.91,,,,,,,,,
,,2016 - 2017,"31,000.00","58,700.00",1.89,,,,,,,,,
,,2017 - 2018,"31,700.00","60,600.00",1.91,,,,,,,,,
,,2018 - 2019,"32,000.00","75,000.00",2.34,,,,,,,,,
,,2019 - 2020,"31,300.00","86,800.00",2.77,,,,,,,,,
,,2020 - 2021,"37,810.00","99,400.00",2.63,,,,,,,,,
,,2021 - 2022,"36,536.00","99,010.00",2.71,,,,,,,,,
,,2022 - 2023,"38,590.00","1,03,020.00",2.67,,,,,,,,,
,7. Hisar,2000 - 2001,"57,995.00","74,000.00",1.28,,,,,,,,,
,,2001 - 2002,"63,528.00","96,000.00",1.51,,,,,,,,,
,,2002 - 2003,"70,559.00","88,000.00",1.25,,,,,,,,,
,,2003 - 2004,"72,261.00","13,300.00",0.18,,,,,,,,,
,,2004 - 2005,"61,907.00","1,02,000.00",1.65,,,,,,,,,
,,2005 - 2006,"58,411.00","1,02,000.00",1.75,,,,,,,,,
,,2006 - 2007,"63,855.00","1,47,000.00",2.3,,,,,,,,,
,,2007 - 2008,"62,986.00","1,46,000.00",2.32,,,,,,,,,
,,2008 - 2009,"60,159.00","1,34,000.00",2.23,,,,,,,,,
,,2009 - 2010,"45,706.00","92,000.00",2.01,,,,,,,,,
,,2010 - 2011,"56,801.00","1,27,000.00",2.24,,,,,,,,,
,,2011 - 2012,"44,941.00","99,000.00",2.2,,,,,,,,,
,,2012 - 2013,"28,423.00","60,000.00",2.11,,,,,,,,,
,,2013 - 2014,"21,000.00","41,000.00",1.95,,,,,,,,,
,,2014 - 2015,"21,000.00","33,000.00",1.57,,,,,,,,,
,,2015 - 2016,"24,000.00","39,000.00",1.63,,,,,,,,,
,,2016 - 2017,"44,100.00","84,700.00",1.92,,,,,,,,,
,,2017 - 2018,"33,200.00","59,200.00",1.78,,,,,,,,,
,,2018 - 2019,"27,000.00","54,000.00",2,,,,,,,,,
,,2019 - 2020,"27,100.00","53,900.00",1.99,,,,,,,,,
,,2020 - 2021,"29,360.00","62,480.00",2.13,,,,,,,,,
,,2021 - 2022,"29,012.00","70,730.00",2.44,,,,,,,,,
,,2022 - 2023,"32,650.00","87,970.00",2.69,,,,,,,,,
,8. Jhajjar,2000 - 2001,"28,354.00","31,000.00",1.09,,,,,,,,,
,,2001 - 2002,"26,082.00","32,000.00",1.23,,,,,,,,,
,,2002 - 2003,"27,136.00","32,000.00",1.18,,,,,,,,,
,,2003 - 2004,"26,770.00","39,000.00",1.46,,,,,,,,,
,,2004 - 2005,"25,432.00","36,000.00",1.42,,,,,,,,,
,,2005 - 2006,"26,796.00","34,000.00",1.27,,,,,,,,,
,,2006 - 2007,"30,052.00","39,000.00",1.3,,,,,,,,,
,,2007 - 2008,"30,983.00","55,000.00",1.78,,,,,,,,,
,,2008 - 2009,"27,287.00","44,000.00",1.61,,,,,,,,,
,,2009 - 2010,"30,967.00","61,000.00",1.97,,,,,,,,,
,,2010 - 2011,"45,629.00","78,000.00",1.71,,,,,,,,,
,,2011 - 2012,"37,785.00","73,000.00",1.93,,,,,,,,,
,,2012 - 2013,"28,779.00","56,000.00",1.95,,,,,,,,,
,,2013 - 2014,"30,000.00","57,000.00",1.9,,,,,,,,,
,,2014 - 2015,"32,000.00","56,000.00",1.75,,,,,,,,,
,,2015 - 2016,"36,000.00","83,000.00",2.31,,,,,,,,,
,,2016 - 2017,"24,000.00","53,000.00",2.21,,,,,,,,,
,,2017 - 2018,"43,100.00","67,400.00",1.56,,,,,,,,,
,,2018 - 2019,"38,000.00","92,000.00",2.42,,,,,,,,,
,,2019 - 2020,"38,100.00","90,500.00",2.38,,,,,,,,,
,,2020 - 2021,"50,460.00","1,26,500.00",2.51,,,,,,,,,
,,2021 - 2022,"33,910.00","70,190.00",2.07,,,,,,,,,
,,2022 - 2023,"35,960.00","85,170.00",2.37,,,,,,,,,
