State,District,Year,Moong(Green Gram),,,,,,,,,,,,,,,,,
,,,Rabi,,,Kharif,,,Summer,,,Whole Year,,,Autumn,,,Winter,,
,,2020 - 2021,"29,899.00","35,819.00",1.2,835,697,0.83,,,,,,,,,,,,
,,2021 - 2022,"28,689.00","35,402.00",1.23,173,92,0.53,,,,,,,,,,,,
,,2022 - 2023,"9,769.00","16,793.00",1.72,16,9,0.56,,,,,,,,,,,,
,10. Kadapa,2000 - 2001,69,23,0.33,741,329,0.44,,,,,,,,,,,,
,,2001 - 2002,18,5,0.28,153,74,0.48,,,,,,,,,,,,
,,2002 - 2003,43,11,0.26,663,100,0.15,,,,,,,,,,,,
,,2003 - 2004,,,,780,424,0.54,,,,,,,,,,,,
,,2004 - 2005,60,20,0.33,846,315,0.37,,,,,,,,,,,,
,,2005 - 2006,,,,461,319,0.69,,,,,,,,,,,,
,,2006 - 2007,80,30,0.38,367,46,0.13,,,,,,,,,,,,
,,2008 - 2009,9,3,0.33,105,41,0.39,,,,,,,,,,,,
,,2009 - 2010,93,37,0.4,40,10,0.25,,,,,,,,,,,,
,,2010 - 2011,463,163,0.35,"1,030.00",327,0.32,,,,,,,,,,,,
,,2011 - 2012,255,152,0.6,56,36,0.64,,,,,,,,,,,,
,,2012 - 2013,"1,000.00",,0,,,,,,,,,,,,,,,
,,2013 - 2014,"1,070.00",669,0.63,250,278,1.11,,,,,,,,,,,,
,,2014 - 2015,"4,935.00","4,047.00",0.82,491,605,1.23,,,,,,,,,,,,
,,2015 - 2016,"10,385.00","8,723.00",0.84,"4,571.00",873,0.19,,,,,,,,,,,,
,,2016 - 2017,"1,569.00",645,0.41,562,195,0.35,,,,,,,,,,,,
,,2017 - 2018,213,200,0.94,168,107,0.64,,,,,,,,,,,,
,,2018 - 2019,"1,954.00","1,225.00",0.63,32,41,1.28,,,,,,,,,,,,
,,2019 - 2020,"2,836.00","2,768.00",0.98,70,102,1.46,,,,,,,,,,,,
,,2020 - 2021,"7,157.00","3,550.00",0.5,799,442,0.55,,,,,,,,,,,,
,,2021 - 2022,"2,821.00","1,910.00",0.68,182,145,0.8,,,,,,,,,,,,
,,2022 - 2023,"1,489.00","1,572.00",1.06,157,56,0.36,,,,,,,,,,,,
,11. Kakinada,2022 - 2023,"3,770.00","2,541.00",0.67,6,3,0.5,,,,,,,,,,,,
,12. Konaseema,2022 - 2023,170,99,0.58,,,,,,,,,,,,,,,
,13. Krishna,2000 - 2001,"2,748.00","1,333.00",0.49,"25,281.00","7,003.00",0.28,,,,,,,,,,,,
,,2001 - 2002,"1,947.00",648,0.33,"18,212.00","11,656.00",0.64,,,,,,,,,,,,
,,2002 - 2003,"3,956.00","3,011.00",0.76,"15,051.00","5,072.00",0.34,,,,,,,,,,,,
,,2003 - 2004,"27,374.00","8,732.00",0.32,"21,446.00","12,803.00",0.6,,,,,,,,,,,,
,,2004 - 2005,"7,759.00","4,733.00",0.61,"13,165.00","7,952.00",0.6,,,,,,,,,,,,
,,2005 - 2006,"2,585.00",796,0.31,"12,334.00","9,991.00",0.81,,,,,,,,,,,,
,,2006 - 2007,"1,719.00","1,086.00",0.63,"11,486.00","5,605.00",0.49,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","1,000.00",0.5,"11,000.00","7,000.00",0.64,,,,,,,,,,,,
,,2008 - 2009,"1,375.00",811,0.59,"10,365.00","2,446.00",0.24,,,,,,,,,,,,
,,2009 - 2010,"1,576.00","1,272.00",0.81,"9,092.00","1,182.00",0.13,,,,,,,,,,,,
,,2010 - 2011,"1,910.00","1,091.00",0.57,"8,183.00","3,142.00",0.38,,,,,,,,,,,,
,,2011 - 2012,"5,913.00","4,027.00",0.68,"6,930.00","5,163.00",0.75,,,,,,,,,,,,
,,2012 - 2013,"8,000.00","7,000.00",0.88,"3,000.00","2,000.00",0.67,,,,,,,,,,,,
,,2013 - 2014,"6,372.00","5,251.00",0.82,"3,135.00","1,524.00",0.49,,,,,,,,,,,,
,,2014 - 2015,"15,572.00","12,286.00",0.79,"2,147.00","1,576.00",0.73,,,,,,,,,,,,
,,2015 - 2016,"8,779.00","8,402.00",0.96,"3,711.00","1,922.00",0.52,,,,,,,,,,,,
,,2016 - 2017,"4,101.00","1,542.00",0.38,"5,540.00","4,593.00",0.83,,,,,,,,,,,,
,,2017 - 2018,"3,283.00","2,196.00",0.67,"4,574.00","3,719.00",0.81,,,,,,,,,,,,
,,2018 - 2019,"3,888.00","3,900.00",1,"4,158.00","1,247.00",0.3,,,,,,,,,,,,
,,2019 - 2020,"3,970.00","4,200.00",1.06,"2,039.00","1,666.00",0.82,,,,,,,,,,,,
,,2020 - 2021,"5,068.00","5,484.00",1.08,"3,398.00",829,0.24,,,,,,,,,,,,
,,2021 - 2022,"5,345.00","6,200.00",1.16,"4,677.00","2,942.00",0.63,,,,,,,,,,,,
,,2022 - 2023,"4,384.00","6,357.00",1.45,,,,,,,,,,,,,,,
,14. Kurnool,2000 - 2001,274,92,0.34,"8,588.00","3,813.00",0.44,,,,,,,,,,,,
,,2001 - 2002,398,121,0.3,"2,537.00","1,225.00",0.48,,,,,,,,,,,,
,,2002 - 2003,486,124,0.26,"5,716.00",863,0.15,,,,,,,,,,,,
,,2003 - 2004,77,26,0.34,"11,210.00","6,098.00",0.54,,,,,,,,,,,,
,,2004 - 2005,258,84,0.33,"5,551.00","2,065.00",0.37,,,,,,,,,,,,
,,2005 - 2006,105,32,0.3,"4,816.00","3,337.00",0.69,,,,,,,,,,,,
,,2006 - 2007,434,162,0.37,"3,945.00",489,0.12,,,,,,,,,,,,
,,2007 - 2008,,,,"9,000.00","6,000.00",0.67,,,,,,,,,,,,
,,2008 - 2009,63,21,0.33,926,361,0.39,,,,,,,,,,,,
,,2009 - 2010,370,148,0.4,"1,758.00",450,0.26,,,,,,,,,,,,
,,2010 - 2011,"1,525.00",535,0.35,"6,683.00","2,119.00",0.32,,,,,,,,,,,,
,,2011 - 2012,"1,518.00",906,0.6,"1,284.00",824,0.64,,,,,,,,,,,,
,,2012 - 2013,"1,000.00","1,000.00",1,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,785,491,0.63,"1,261.00","1,400.00",1.11,,,,,,,,,,,,
,,2014 - 2015,"1,862.00","1,527.00",0.82,"1,604.00","1,978.00",1.23,,,,,,,,,,,,
,,2015 - 2016,"2,998.00","2,518.00",0.84,"2,736.00","1,964.00",0.72,,,,,,,,,,,,
,,2016 - 2017,389,160,0.41,"2,098.00","2,132.00",1.02,,,,,,,,,,,,
,,2017 - 2018,146,137,0.94,878,674,0.77,,,,,,,,,,,,
,,2018 - 2019,430,270,0.63,601,257,0.43,,,,,,,,,,,,
,,2019 - 2020,798,779,0.98,858,310,0.36,,,,,,,,,,,,
,,2020 - 2021,"1,610.00","1,742.00",1.08,671,303,0.45,,,,,,,,,,,,
,,2021 - 2022,871,903,1.04,349,310,0.89,,,,,,,,,,,,
,,2022 - 2023,37,35,0.95,11,4,0.36,,,,,,,,,,,,
,15. Nandyal,2022 - 2023,458,592,1.29,130,89,0.68,,,,,,,,,,,,
,16. Ntr,2022 - 2023,143,150,1.05,"2,725.00","1,501.00",0.55,,,,,,,,,,,,
,17. Palnadu,2022 - 2023,275,226,0.82,63,51,0.81,,,,,,,,,,,,
,18. Parvathipuram manyam,2022 - 2023,"3,333.00","1,780.00",0.53,10,6,0.6,,,,,,,,,,,,
,19. Prakasam,2000 - 2001,"3,199.00","2,514.00",0.79,"30,049.00","12,170.00",0.41,,,,,,,,,,,,
,,2001 - 2002,"3,786.00","2,862.00",0.76,"7,918.00","2,629.00",0.33,,,,,,,,,,,,
,,2002 - 2003,"2,115.00",224,0.11,"25,955.00","1,376.00",0.05,,,,,,,,,,,,
,,2003 - 2004,704,364,0.52,"34,776.00","21,805.00",0.63,,,,,,,,,,,,
,,2004 - 2005,281,114,0.41,"23,256.00","5,698.00",0.25,,,,,,,,,,,,
,,2005 - 2006,434,279,0.64,"10,316.00","6,427.00",0.62,,,,,,,,,,,,
,,2006 - 2007,591,258,0.44,"13,923.00","4,316.00",0.31,,,,,,,,,,,,
,,2007 - 2008,"2,000.00","1,000.00",0.5,"26,000.00","11,000.00",0.42,,,,,,,,,,,,
,,2008 - 2009,202,153,0.76,"2,948.00","2,821.00",0.96,,,,,,,,,,,,
,,2009 - 2010,746,454,0.61,"2,371.00","1,034.00",0.44,,,,,,,,,,,,
,,2010 - 2011,"1,507.00",960,0.64,"26,840.00","7,005.00",0.26,,,,,,,,,,,,
,,2011 - 2012,916,432,0.47,"3,141.00","1,219.00",0.39,,,,,,,,,,,,
,,2012 - 2013,,,,"3,000.00","1,000.00",0.33,,,,,,,,,,,,
,,2013 - 2014,688,588,0.85,"3,696.00","1,460.00",0.4,,,,,,,,,,,,
,,2014 - 2015,"2,274.00","1,853.00",0.81,514,278,0.54,,,,,,,,,,,,
,,2015 - 2016,"1,790.00","1,314.00",0.73,"5,609.00","5,188.00",0.92,,,,,,,,,,,,
,,2016 - 2017,440,165,0.38,"10,222.00","5,520.00",0.54,,,,,,,,,,,,
,,2017 - 2018,190,28,0.15,"2,952.00","1,160.00",0.39,,,,,,,,,,,,
,,2018 - 2019,647,232,0.36,"1,327.00",965,0.73,,,,,,,,,,,,
,,2019 - 2020,922,835,0.91,903,255,0.28,,,,,,,,,,,,
,,2020 - 2021,"1,077.00","1,092.00",1.01,"3,343.00","1,521.00",0.45,,,,,,,,,,,,
,,2021 - 2022,"1,139.00","1,581.00",1.39,955,572,0.6,,,,,,,,,,,,
,,2022 - 2023,360,169,0.47,574,395,0.69,,,,,,,,,,,,
,20. Spsr nellore,2000 - 2001,"4,682.00","1,522.00",0.33,943,419,0.44,,,,,,,,,,,,
,,2001 - 2002,"3,258.00","2,248.00",0.69,296,143,0.48,,,,,,,,,,,,
,,2002 - 2003,"2,532.00","1,729.00",0.68,"1,112.00",168,0.15,,,,,,,,,,,,
,,2003 - 2004,"3,463.00","1,396.00",0.4,844,459,0.54,,,,,,,,,,,,
,,2004 - 2005,"3,882.00","2,061.00",0.53,"1,331.00",495,0.37,,,,,,,,,,,,
,,2005 - 2006,"5,237.00","3,367.00",0.64,317,220,0.69,,,,,,,,,,,,
,,2006 - 2007,"3,056.00","1,329.00",0.43,726,282,0.39,,,,,,,,,,,,
,,2007 - 2008,"3,000.00","1,000.00",0.33,"1,000.00",,0,,,,,,,,,,,,
,,2008 - 2009,"2,089.00",706,0.34,75,30,0.4,,,,,,,,,,,,
,,2009 - 2010,"2,732.00","1,459.00",0.53,116,21,0.18,,,,,,,,,,,,
,,2010 - 2011,"4,279.00","1,921.00",0.45,"1,913.00",476,0.25,,,,,,,,,,,,
,,2011 - 2012,"3,230.00","1,544.00",0.48,752,439,0.58,,,,,,,,,,,,
,,2012 - 2013,"3,000.00","2,000.00",0.67,"1,000.00",,0,,,,,,,,,,,,
,,2013 - 2014,"4,813.00","4,341.00",0.9,195,80,0.41,,,,,,,,,,,,
,,2014 - 2015,"11,526.00","9,463.00",0.82,231,155,0.67,,,,,,,,,,,,
,,2015 - 2016,"10,335.00","5,374.00",0.52,"1,033.00",706,0.68,,,,,,,,,,,,
,,2016 - 2017,"2,747.00","1,445.00",0.53,528,263,0.5,,,,,,,,,,,,
,,2017 - 2018,"1,153.00",583,0.51,98,66,0.67,,,,,,,,,,,,
,,2018 - 2019,"2,359.00","1,892.00",0.8,93,46,0.49,,,,,,,,,,,,
,,2019 - 2020,"4,913.00","3,326.00",0.68,38,25,0.66,,,,,,,,,,,,
,,2020 - 2021,"1,596.00",488,0.31,313,131,0.42,,,,,,,,,,,,
,,2021 - 2022,"2,408.00","1,751.00",0.73,134,93,0.69,,,,,,,,,,,,
,,2022 - 2023,224,187,0.83,256,117,0.46,,,,,,,,,,,,
,21. Sri sathya sai,2022 - 2023,26,24,0.92,177,32,0.18,,,,,,,,,,,,
,22. Srikakulam,2000 - 2001,"23,346.00","10,926.00",0.47,214,95,0.44,,,,,,,,,,,,
,,2001 - 2002,"29,826.00","13,273.00",0.45,191,92,0.48,,,,,,,,,,,,
,,2002 - 2003,"22,924.00","6,029.00",0.26,196,30,0.15,,,,,,,,,,,,
,,2003 - 2004,"33,153.00","15,781.00",0.48,"2,012.00","1,095.00",0.54,,,,,,,,,,,,
,,2004 - 2005,"28,078.00","9,968.00",0.36,752,280,0.37,,,,,,,,,,,,
,,2005 - 2006,"29,448.00","10,130.00",0.34,"1,289.00",893,0.69,,,,,,,,,,,,
,,2006 - 2007,"33,388.00","15,559.00",0.47,"1,280.00",498,0.39,,,,,,,,,,,,
,,2007 - 2008,"34,000.00","17,000.00",0.5,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,"28,895.00","11,182.00",0.39,"1,812.00",714,0.39,,,,,,,,,,,,
,,2009 - 2010,"31,820.00","12,728.00",0.4,"1,597.00",284,0.18,,,,,,,,,,,,
,,2010 - 2011,"27,175.00","15,028.00",0.55,"1,593.00",397,0.25,,,,,,,,,,,,
,,2011 - 2012,"26,066.00","15,770.00",0.61,"2,001.00","1,169.00",0.58,,,,,,,,,,,,
,,2012 - 2013,"32,000.00","16,000.00",0.5,"1,000.00","1,000.00",1,,,,,,,,,,,,
,,2013 - 2014,"31,662.00","18,301.00",0.58,"1,158.00",476,0.41,,,,,,,,,,,,
,,2014 - 2015,"32,712.00","17,207.00",0.53,675,453,0.67,,,,,,,,,,,,
,,2015 - 2016,"29,610.00","17,233.00",0.58,304,179,0.59,,,,,,,,,,,,
,,2016 - 2017,"31,966.00","13,969.00",0.44,374,252,0.67,,,,,,,,,,,,
,,2017 - 2018,"37,346.00","18,636.00",0.5,193,127,0.66,,,,,,,,,,,,
,,2018 - 2019,"30,361.00","15,545.00",0.51,313,150,0.48,,,,,,,,,,,,
,,2019 - 2020,"26,653.00","14,099.00",0.53,138,67,0.49,,,,,,,,,,,,
,,2020 - 2021,"19,969.00","9,465.00",0.47,55,45,0.82,,,,,,,,,,,,
,,2021 - 2022,"27,764.00","15,853.00",0.57,77,48,0.62,,,,,,,,,,,,
,,2022 - 2023,"11,670.00","7,364.00",0.63,13,7,0.54,,,,,,,,,,,,
,23. Tirupati,2022 - 2023,68,64,0.94,4,2,0.5,,,,,,,,,,,,
,24. Visakhapatanam,2000 - 2001,"2,556.00",856,0.33,"2,537.00","1,126.00",0.44,,,,,,,,,,,,
,,2001 - 2002,"2,509.00",765,0.3,"2,369.00","1,144.00",0.48,,,,,,,,,,,,
,,2002 - 2003,"1,831.00",467,0.26,"2,401.00",363,0.15,,,,,,,,,,,,
,,2003 - 2004,"3,232.00","1,092.00",0.34,"2,689.00","1,463.00",0.54,,,,,,,,,,,,
,,2004 - 2005,"2,183.00",712,0.33,"2,126.00",791,0.37,,,,,,,,,,,,
,,2005 - 2006,"1,998.00",605,0.3,"1,749.00","1,212.00",0.69,,,,,,,,,,,,
,,2006 - 2007,"2,907.00","1,087.00",0.37,"1,744.00",678,0.39,,,,,,,,,,,,
,,2007 - 2008,"4,000.00","1,000.00",0.25,"2,000.00","1,000.00",0.5,,,,,,,,,,,,
,,2008 - 2009,"4,235.00","1,440.00",0.34,"1,719.00",677,0.39,,,,,,,,,,,,
,,2009 - 2010,"1,968.00",785,0.4,"1,382.00",246,0.18,,,,,,,,,,,,
,,2010 - 2011,"3,276.00","1,150.00",0.35,"1,501.00",374,0.25,,,,,,,,,,,,
,,2011 - 2012,"2,766.00","1,651.00",0.6,"1,184.00",691,0.58,,,,,,,,,,,,
,,2012 - 2013,"4,000.00","3,000.00",0.75,"1,000.00",,0,,,,,,,,,,,,
,,2013 - 2014,"4,015.00","2,509.00",0.62,990,407,0.41,,,,,,,,,,,,
,,2014 - 2015,"3,670.00","3,009.00",0.82,"1,008.00",676,0.67,,,,,,,,,,,,
,,2015 - 2016,"3,677.00","1,857.00",0.51,902,321,0.36,,,,,,,,,,,,
,,2016 - 2017,"3,738.00","2,620.00",0.7,"1,029.00",553,0.54,,,,,,,,,,,,
,,2017 - 2018,"3,748.00","1,604.00",0.43,713,411,0.58,,,,,,,,,,,,
,,2018 - 2019,"1,803.00",678,0.38,706,358,0.51,,,,,,,,,,,,
,,2019 - 2020,"2,654.00",998,0.38,425,159,0.37,,,,,,,,,,,,
,,2020 - 2021,"2,961.00","1,125.00",0.38,334,158,0.47,,,,,,,,,,,,
,,2021 - 2022,"3,138.00","1,359.00",0.43,199,107,0.54,,,,,,,,,,,,
,,2022 - 2023,28,29,1.04,5,3,0.6,,,,,,,,,,,,
