State,District,Year,Mesta,,,,,,,,
,,,Kharif,,,Rabi,,,Whole Year,,
,,,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2018 - 2019,363,"2,274.00",6.26,,,,,,
,,2019 - 2020,361,"2,270.00",6.29,,,,,,
,,2020 - 2021,323,"3,785.00",11.72,,,,,,
,,2021 - 2022,307,"3,167.00",10.32,,,,,,
,,2022 - 2023,308,"1,994.00",6.47,,,,,,
,5. Cachar,2000 - 2001,5,23,4.6,,,,,,
,,2001 - 2002,6,27,4.5,,,,,,
,,2002 - 2003,6,27,4.5,,,,,,
,,2003 - 2004,6,27,4.5,,,,,,
,,2004 - 2005,8,36,4.5,,,,,,
,,2005 - 2006,6,27,4.5,,,,,,
,,2006 - 2007,2,9,4.5,,,,,,
,,2007 - 2008,10,45,4.5,,,,,,
,,2008 - 2009,5,23,4.6,,,,,,
,,2009 - 2010,7,31,4.43,,,,,,
,,2010 - 2011,4,18,4.5,,,,,,
,,2011 - 2012,4,37,9.25,,,,,,
,,2012 - 2013,4,18,4.5,,,,,,
,,2013 - 2014,3,14,4.67,,,,,,
,,2014 - 2015,3,15,5,,,,,,
,,2015 - 2016,3,14,4.67,,,,,,
,,2016 - 2017,3,14,4.67,,,,,,
,,2017 - 2018,3,14,4.67,,,,,,
,,2018 - 2019,2,10,5,,,,,,
,,2019 - 2020,3,16,5.33,,,,,,
,,2020 - 2021,3,16,5.33,,,,,,
,,2021 - 2022,4,22,5.5,,,,,,
,,2022 - 2023,4,24,6,,,,,,
,6. Charaideo,2022 - 2023,3,20,6.67,,,,,,
,7. Chirang,2005 - 2006,144,852,5.92,,,,,,
,,2006 - 2007,215,"1,347.00",6.27,,,,,,
,,2007 - 2008,209,"1,324.00",6.33,,,,,,
,,2008 - 2009,280,"1,600.00",5.71,,,,,,
,,2009 - 2010,176,"1,075.00",6.11,,,,,,
