State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2012 - 2013,,,,1,8,8,,,,,,
,,2016 - 2017,,,,,,,2,5,2.5,,,
,,2019 - 2020,,,,,,,1,2,2,,,
,,2020 - 2021,,,,,,,4,7,1.75,,,
,,2021 - 2022,,,,,,,2,5,2.5,,,
,8. Krishna,2000 - 2001,15,28,1.87,,,,,,,,,
,,2001 - 2002,14,37,2.64,,,,,,,,,
,,2002 - 2003,12,20,1.67,,,,,,,,,
,,2003 - 2004,13,37,2.85,,,,,,,,,
,,2004 - 2005,8,22,2.75,,,,,,,,,
,,2005 - 2006,34,94,2.76,,,,,,,,,
,,2006 - 2007,21,59,2.81,,,,,,,,,
,,2008 - 2009,21,50,2.38,,,,,,,,,
,,2009 - 2010,57,111,1.95,,,,,,,,,
,,2010 - 2011,43,401,9.33,,,,,,,,,
,,2011 - 2012,55,508,9.24,,,,,,,,,
,,2012 - 2013,,,,,,,53,414,7.81,,,
,,2013 - 2014,,,,,,,53,351,6.62,,,
,,2014 - 2015,,,,,,,53,330,6.23,,,
,,2015 - 2016,,,,,,,1,5,5,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,,2018 - 2019,,,,,,,23,42,1.83,,,
,,2020 - 2021,,,,,,,1,2,2,,,
,,2021 - 2022,,,,,,,10,27,2.7,,,
,9. Kurnool,2006 - 2007,1,3,3,,,,,,,,,
,,2014 - 2015,,,,36,103,2.86,,,,,,
,,2015 - 2016,,,,,,,20,53,2.65,,,
,,2017 - 2018,,,,,,,1,1,1,,,
,,2020 - 2021,,,,,,,1,2,2,,,
,,2021 - 2022,,,,,,,1,3,3,,,
,10. Ntr,2022 - 2023,,,,,,,2,6,3,,,
,11. Parvathipuram manyam,2022 - 2023,,,,3,9,3,27,53,1.96,,,
,12. Prakasam,2012 - 2013,,,,,,,8,62,7.75,,,
,,2015 - 2016,,,,1,3,3,,,,,,
,,2020 - 2021,,,,,,,8,15,1.88,,,
,,2021 - 2022,,,,,,,1,3,3,,,
,13. Spsr nellore,2021 - 2022,,,,,,,1,3,3,,,
,14. Sri sathya sai,2022 - 2023,,,,,,,1,3,3,,,
,15. Srikakulam,2000 - 2001,144,273,1.9,,,,,,,,,
,,2001 - 2002,131,345,2.63,,,,,,,,,
,,2002 - 2003,140,229,1.64,,,,,,,,,
,,2003 - 2004,140,398,2.84,,,,,,,,,
,,2004 - 2005,143,391,2.73,,,,,,,,,
,,2005 - 2006,139,383,2.76,,,,,,,,,
,,2006 - 2007,139,391,2.81,,,,,,,,,
,,2008 - 2009,139,292,2.1,,,,,,,,,
,,2009 - 2010,83,162,1.95,,,,,,,,,
,,2010 - 2011,76,709,9.33,,,,,,,,,
,,2011 - 2012,76,702,9.24,,,,,,,,,
,,2012 - 2013,,,,,,,60,469,7.82,,,
,,2013 - 2014,,,,,,,42,278,6.62,,,
,,2014 - 2015,,,,,,,37,23,0.62,,,
,,2015 - 2016,,,,,,,35,27,0.77,,,
,,2016 - 2017,,,,,,,25,20,0.8,,,
,,2017 - 2018,,,,,,,26,31,1.19,,,
,,2018 - 2019,,,,,,,25,30,1.2,,,
,,2019 - 2020,,,,,,,30,35,1.17,,,
,,2020 - 2021,,,,,,,19,22,1.16,,,
,,2021 - 2022,,,,,,,42,43,1.02,,,
,,2022 - 2023,,,,,,,5,15,3,,,
,16. Visakhapatanam,2000 - 2001,"1,125.00","2,130.00",1.89,,,,,,,,,
,,2001 - 2002,"1,158.00","3,047.00",2.63,,,,,,,,,
,,2002 - 2003,"1,167.00","1,908.00",1.63,,,,,,,,,
,,2003 - 2004,868,"2,466.00",2.84,,,,,,,,,
,,2004 - 2005,840,"2,294.00",2.73,,,,,,,,,
,,2005 - 2006,812,"2,236.00",2.75,,,,,,,,,
,,2006 - 2007,812,"2,283.00",2.81,,,,,,,,,
,,2008 - 2009,619,"1,518.00",2.45,,,,,,,,,
,,2009 - 2010,432,842,1.95,,,,,,,,,
,,2010 - 2011,601,"1,613.00",2.68,,,,,,,,,
,,2011 - 2012,586,"1,448.00",2.47,,,,,,,,,
,,2012 - 2013,,,,,,,581,"1,642.00",2.83,,,
,,2013 - 2014,,,,,,,263,740,2.81,,,
