State,District,Year,Ginger,,,,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,,Summer,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,14. Madhubani,2000 - 2001,,,,,,,7,7,1,,,
,,2002 - 2003,3,4,1.33,,,,,,,,,
,,2003 - 2004,,,,,,,3,3,1,,,
,,2004 - 2005,8,8,1,,,,8,8,1,,,
,,2005 - 2006,41,62,1.51,,,,,,,,,
,,2007 - 2008,,,,,,,62,95,1.53,,,
,,2008 - 2009,,,,,,,63,86,1.37,,,
,,2021 - 2022,1,2,2,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,15. Muzaffarpur,2000 - 2001,,,,,,,41,37,0.9,,,
,,2001 - 2002,,,,,,,24,26,1.08,,,
,,2002 - 2003,10,15,1.5,,,,,,,,,
,,2003 - 2004,,,,,,,13,13,1,,,
,,2004 - 2005,5,5,1,,,,5,5,1,,,
,,2005 - 2006,20,21,1.05,,,,,,,,,
,,2008 - 2009,,,,,,,10,16,1.6,,,
,,2016 - 2017,7,12,1.71,,,,,,,,,
,,2017 - 2018,7,12,1.71,,,,,,,,,
,,2018 - 2019,31,55,1.77,,,,,,,,,
,,2019 - 2020,34,60,1.76,,,,,,,,,
,,2020 - 2021,33,62,1.88,,,,,,,,,
,,2021 - 2022,32,58,1.81,,,,,,,,,
,,2022 - 2023,34,62,1.82,,,,,,,,,
,16. Nalanda,2002 - 2003,4,6,1.5,,,,,,,,,
,17. Nawada,2004 - 2005,1,2,2,,,,,,,,,
,,2005 - 2006,2,3,1.5,,,,,,,,,
,18. Pashchim champaran,2000 - 2001,,,,,,,84,151,1.8,,,
,,2001 - 2002,,,,,,,84,130,1.55,,,
,,2002 - 2003,89,132,1.48,,,,,,,,,
,,2003 - 2004,,,,,,,80,134,1.68,,,
,,2004 - 2005,83,133,1.6,,,,85,137,1.61,,,
,,2005 - 2006,86,140,1.63,,,,,,,,,
,,2007 - 2008,,,,,,,78,127,1.63,,,
,,2008 - 2009,,,,,,,82,134,1.63,,,
,,2016 - 2017,13,23,1.77,,,,,,,,,
,,2017 - 2018,10,17,1.7,,,,,,,,,
,,2018 - 2019,8,14,1.75,,,,,,,,,
,,2019 - 2020,9,16,1.78,,,,,,,,,
,,2020 - 2021,8,15,1.88,,,,,,,,,
,,2021 - 2022,6,11,1.83,,,,,,,,,
,,2022 - 2023,6,11,1.83,,,,,,,,,
,19. Patna,2016 - 2017,1,2,2,,,,,,,,,
,20. Purbi champaran,2001 - 2002,,,,,,,43,62,1.44,,,
,,2003 - 2004,,,,,,,1,2,2,,,
,,2004 - 2005,15,23,1.53,,,,15,24,1.6,,,
,,2005 - 2006,16,24,1.5,,,,,,,,,
,,2007 - 2008,,,,,,,16,26,1.63,,,
,,2008 - 2009,,,,,,,16,26,1.63,,,
,,2016 - 2017,33,58,1.76,,,,,,,,,
,21. Purnia,2000 - 2001,,,,,,,11,15,1.36,,,
,,2001 - 2002,,,,,,,3,4,1.33,,,
,,2002 - 2003,1,1,1,,,,,,,,,
,,2003 - 2004,,,,,,,3,5,1.67,,,
,,2004 - 2005,2,3,1.5,,,,2,3,1.5,,,
,,2005 - 2006,1,2,2,,,,,,,,,
,,2008 - 2009,,,,,,,1,2,2,,,
,22. Rohtas,2016 - 2017,1,2,2,,,,,,,,,
,,2017 - 2018,1,2,2,,,,,,,,,
,,2018 - 2019,1,2,2,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,23. Saharsa,2004 - 2005,3,5,1.67,,,,3,5,1.67,,,
,,2007 - 2008,,,,,,,1,2,2,,,
,24. Samastipur,2000 - 2001,,,,,,,35,35,1,,,
,,2001 - 2002,,,,,,,18,17,0.94,,,
,,2002 - 2003,4,6,1.5,,,,,,,,,
,,2003 - 2004,,,,,,,4,4,1,,,
,,2004 - 2005,4,4,1,,,,4,4,1,,,
,,2005 - 2006,4,6,1.5,,,,,,,,,
,,2007 - 2008,,,,,,,4,6,1.5,,,
,,2008 - 2009,,,,,,,2,3,1.5,,,
,,2016 - 2017,1,2,2,,,,,,,,,
,,2017 - 2018,8,15,1.88,,,,,,,,,
,,2018 - 2019,1,2,2,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,25. Sheikhpura,2016 - 2017,1,2,2,,,,,,,,,
,26. Sheohar,2016 - 2017,17,30,1.76,,,,,,,,,
,27. Sitamarhi,2000 - 2001,,,,,,,1,2,2,,,
,28. Siwan,2000 - 2001,,,,,,,1,1,1,,,
,,2004 - 2005,1,2,2,,,,1,2,2,,,
,,2005 - 2006,52,78,1.5,,,,,,,,,
,,2016 - 2017,5,8,1.6,,,,,,,,,
,,2017 - 2018,5,9,1.8,,,,,,,,,
,,2018 - 2019,5,9,1.8,,,,,,,,,
,,2019 - 2020,5,9,1.8,,,,,,,,,
,,2020 - 2021,5,9,1.8,,,,,,,,,
,,2021 - 2022,5,9,1.8,,,,,,,,,
,,2022 - 2023,4,7,1.75,,,,,,,,,
,29. Supaul,2002 - 2003,12,18,1.5,,,,,,,,,
,,2003 - 2004,,,,,,,4,6,1.5,,,
,,2004 - 2005,14,21,1.5,,,,14,21,1.5,,,
,,2005 - 2006,8,12,1.5,,,,,,,,,
,,2007 - 2008,,,,,,,3,5,1.67,,,
,,2008 - 2009,,,,,,,11,18,1.64,,,
,,2016 - 2017,48,95,1.98,,,,,,,,,
,,2017 - 2018,26,50,1.92,,,,,,,,,
,,2018 - 2019,24,46,1.92,,,,,,,,,
,,2019 - 2020,24,47,1.96,,,,,,,,,
,,2020 - 2021,25,48,1.92,,,,,,,,,
,,2021 - 2022,23,45,1.96,,,,,,,,,
,,2022 - 2023,22,43,1.95,,,,,,,,,
,30. Vaishali,2000 - 2001,,,,,,,6,9,1.5,,,
,,2016 - 2017,2,4,2,,,,,,,,,
6. Chhattisgarh,1. Balod,2011 - 2012,1,1,1,,,,,,,,,
,,2020 - 2021,1,2,2,,,,,,,,,
,,2021 - 2022,3,5,1.67,,,,,,,,,
,2. Baloda bazar,2011 - 2012,25,33,1.32,,,,,,,,,
,,2012 - 2013,23,32,1.39,,,,,,,,,
,,2013 - 2014,23,35,1.52,,,,,,,,,
,,2014 - 2015,27,41,1.52,,,,,,,,,
,,2015 - 2016,25,38,1.52,,,,,,,,,
,,2016 - 2017,23,28,1.22,,,,,,,,,
,,2017 - 2018,12,16,1.33,,,,,,,,,
,,2018 - 2019,11,,0,,,,,,,,,
,,2019 - 2020,14,18,1.29,,,,,,,,,
,,2020 - 2021,17,22,1.29,,,,,,,,,
,,2021 - 2022,17,20,1.18,,,,,,,,,
,,2022 - 2023,12,22,1.83,,,,,,,,,
,3. Balrampur,2011 - 2012,259,300,1.16,,,,,,,,,
,,2012 - 2013,268,321,1.2,,,,,,,,,
,,2013 - 2014,269,275,1.02,,,,,,,,,
,,2014 - 2015,282,288,1.02,,,,,,,,,
,,2015 - 2016,292,298,1.02,,,,,,,,,
,,2016 - 2017,308,344,1.12,,,,,,,,,
,,2017 - 2018,295,324,1.1,,,,,,,,,
,,2018 - 2019,305,335,1.1,,,,,,,,,
,,2019 - 2020,184,199,1.08,,,,,,,,,
,,2020 - 2021,58,69,1.19,,,,,,,,,
,,2021 - 2022,48,54,1.13,,,,,,,,,
,,2022 - 2023,34,35,1.03,,,,,,,,,
,4. Bastar,2000 - 2001,89,110,1.24,,,,,,,,,
,,2001 - 2002,61,73,1.2,,,,,,,,,
,,2002 - 2003,78,86,1.1,,,,,,,,,
,,2003 - 2004,84,105,1.25,,,,,,,,,
,,2004 - 2005,98,123,1.26,,,,,,,,,
,,2005 - 2006,93,108,1.16,,,,,,,,,
,,2006 - 2007,99,124,1.25,,,,,,,,,
,,2007 - 2008,112,145,1.29,,,,,,,,,
,,2008 - 2009,106,127,1.2,,,,,,,,,
,,2009 - 2010,97,125,1.29,,,,,,,,,
,,2010 - 2011,124,156,1.26,,,,,,,,,
,,2011 - 2012,91,120,1.32,,,,,,,,,
,,2012 - 2013,88,115,1.31,,,,,,,,,
,,2013 - 2014,87,101,1.16,,,,,,,,,
,,2014 - 2015,86,91,1.06,,,,,,,,,
,,2015 - 2016,90,95,1.06,,,,,,,,,
,,2016 - 2017,93,110,1.18,,,,,,,,,
,,2017 - 2018,83,98,1.18,,,,,,,,,
,,2018 - 2019,68,80,1.18,,,,,,,,,
,,2019 - 2020,25,30,1.2,,,,,,,,,
,,2020 - 2021,20,24,1.2,,,,,,,,,
,,2021 - 2022,15,17,1.13,,,,,,,,,
,,2022 - 2023,19,19,1,,,,,,,,,
,5. Bemetara,2011 - 2012,60,70,1.17,,,,,,,,,
,,2012 - 2013,15,17,1.13,,,,,,,,,
,,2013 - 2014,25,27,1.08,,,,,,,,,
,,2014 - 2015,25,28,1.12,,,,,,,,,
,,2015 - 2016,63,63,1,,,,,,,,,
,,2016 - 2017,80,84,1.05,,,,,,,,,
,,2017 - 2018,106,112,1.06,,,,,,,,,
,,2018 - 2019,81,94,1.16,,,,,,,,,
,,2019 - 2020,37,39,1.05,,,,,,,,,
,,2020 - 2021,72,98,1.36,,,,,,,,,
,,2021 - 2022,68,92,1.35,,,,,,,,,
,,2022 - 2023,32,40,1.25,,,,,,,,,
,6. Bijapur,2009 - 2010,5,,0,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2017 - 2018,1,1,1,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,7. Bilaspur,2000 - 2001,35,38,1.09,,,,,,,,,
,,2001 - 2002,39,47,1.21,,,,,,,,,
,,2002 - 2003,43,46,1.07,,,,,,,,,
,,2003 - 2004,42,50,1.19,,,,,,,,,
,,2004 - 2005,48,50,1.04,,,,,,,,,
,,2005 - 2006,44,46,1.05,,,,,,,,,
,,2006 - 2007,56,67,1.2,,,,,,,,,
,,2007 - 2008,53,60,1.13,,,,,,,,,
,,2008 - 2009,46,52,1.13,,,,,,,,,
,,2009 - 2010,47,59,1.26,,,,,,,,,
,,2010 - 2011,58,73,1.26,,,,,,,,,
,,2011 - 2012,59,75,1.27,,,,,,,,,
,,2012 - 2013,59,77,1.31,,,,,,,,,
,,2013 - 2014,59,63,1.07,,,,,,,,,
,,2014 - 2015,61,77,1.26,,,,,,,,,
,,2015 - 2016,60,75,1.25,,,,,,,,,
,,2016 - 2017,50,64,1.28,,,,,,,,,
,,2017 - 2018,30,38,1.27,,,,,,,,,
,,2018 - 2019,21,27,1.29,,,,,,,,,
,,2019 - 2020,1,1,1,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,2,3,1.5,,,,,,,,,
,,2022 - 2023,3,3,1,,,,,,,,,
,8. Dantewada,2000 - 2001,1,1,1,,,,,,,,,
,,2002 - 2003,4,4,1,,,,,,,,,
,,2003 - 2004,2,3,1.5,,,,,,,,,
,,2004 - 2005,3,4,1.33,,,,,,,,,
,,2005 - 2006,8,9,1.13,,,,,,,,,
,,2006 - 2007,2,2,1,,,,,,,,,
,,2007 - 2008,4,5,1.25,,,,,,,,,
,,2008 - 2009,2,3,1.5,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,3,3,1,,,,,,,,,
,,2011 - 2012,3,5,1.67,,,,,,,,,
,,2012 - 2013,3,3,1,,,,,,,,,
,,2013 - 2014,6,7,1.17,,,,,,,,,
,,2014 - 2015,5,5,1,,,,,,,,,
,,2015 - 2016,13,14,1.08,,,,,,,,,
,,2016 - 2017,5,6,1.2,,,,,,,,,
,,2017 - 2018,6,6,1,,,,,,,,,
,,2018 - 2019,5,,0,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,9. Dhamtari,2001 - 2002,4,4,1,,,,,,,,,
,,2002 - 2003,5,6,1.2,,,,,,,,,
,,2003 - 2004,3,6,2,,,,,,,,,
,,2004 - 2005,4,6,1.5,,,,,,,,,
,,2005 - 2006,7,9,1.29,,,,,,,,,
,,2006 - 2007,3,4,1.33,,,,,,,,,
,,2007 - 2008,1,2,2,,,,,,,,,
,,2010 - 2011,2,2,1,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2015 - 2016,3,5,1.67,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2020 - 2021,4,6,1.5,,,,,,,,,
,,2021 - 2022,4,8,2,,,,,,,,,
,,2022 - 2023,4,6,1.5,,,,,,,,,
,10. Durg,2000 - 2001,10,10,1,,,,,,,,,
,,2001 - 2002,12,12,1,,,,,,,,,
,,2002 - 2003,11,13,1.18,,,,,,,,,
,,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,49,57,1.16,,,,,,,,,
,,2005 - 2006,27,31,1.15,,,,,,,,,
,,2006 - 2007,31,45,1.45,,,,,,,,,
,,2007 - 2008,33,41,1.24,,,,,,,,,
,,2008 - 2009,53,61,1.15,,,,,,,,,
,,2009 - 2010,41,47,1.15,,,,,,,,,
,,2010 - 2011,19,22,1.16,,,,,,,,,
,,2012 - 2013,3,3,1,,,,,,,,,
,,2015 - 2016,2,3,1.5,,,,,,,,,
,,2016 - 2017,6,6,1,,,,,,,,,
,,2018 - 2019,4,,0,,,,,,,,,
,,2019 - 2020,11,20,1.82,,,,,,,,,
,,2020 - 2021,45,68,1.51,,,,,,,,,
,,2021 - 2022,36,60,1.67,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,11. Gariyaband,2013 - 2014,1,2,2,,,,,,,,,
,,2014 - 2015,1,2,2,,,,,,,,,
,,2018 - 2019,5,,0,,,,,,,,,
,,2019 - 2020,3,5,1.67,,,,,,,,,
,,2020 - 2021,2,4,2,,,,,,,,,
,,2021 - 2022,1,2,2,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,12. Gaurella-pendra-marwahi,2019 - 2020,3,9,3,,,,,,,,,
,,2020 - 2021,2,3,1.5,,,,,,,,,
,,2021 - 2022,6,11,1.83,,,,,,,,,
,,2022 - 2023,4,5,1.25,,,,,,,,,
,13. Janjgir-champa,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,2,2,1,,,,,,,,,
,,2002 - 2003,4,4,1,,,,,,,,,
,,2003 - 2004,12,14,1.17,,,,,,,,,
,,2004 - 2005,3,3,1,,,,,,,,,
,,2005 - 2006,7,7,1,,,,,,,,,
,,2006 - 2007,6,8,1.33,,,,,,,,,
,,2007 - 2008,6,8,1.33,,,,,,,,,
,,2008 - 2009,5,7,1.4,,,,,,,,,
,,2009 - 2010,5,6,1.2,,,,,,,,,
,,2010 - 2011,4,5,1.25,,,,,,,,,
,,2011 - 2012,5,7,1.4,,,,,,,,,
,,2012 - 2013,6,8,1.33,,,,,,,,,
,,2013 - 2014,5,5,1,,,,,,,,,
,,2014 - 2015,5,6,1.2,,,,,,,,,
,,2015 - 2016,6,6,1,,,,,,,,,
,,2016 - 2017,4,6,1.5,,,,,,,,,
,,2017 - 2018,4,6,1.5,,,,,,,,,
,,2018 - 2019,5,5,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2020 - 2021,2,4,2,,,,,,,,,
,,2021 - 2022,1,2,2,,,,,,,,,
,14. Jashpur,2000 - 2001,3,3,1,,,,,,,,,
,,2001 - 2002,3,3,1,,,,,,,,,
,,2002 - 2003,3,3,1,,,,,,,,,
,,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,2,2,1,,,,,,,,,
,,2005 - 2006,4,4,1,,,,,,,,,
,,2006 - 2007,5,5,1,,,,,,,,,
,,2007 - 2008,3,3,1,,,,,,,,,
,,2008 - 2009,9,9,1,,,,,,,,,
,,2009 - 2010,17,19,1.12,,,,,,,,,
,,2010 - 2011,11,10,0.91,,,,,,,,,
,,2011 - 2012,18,22,1.22,,,,,,,,,
,,2012 - 2013,27,31,1.15,,,,,,,,,
,,2013 - 2014,32,38,1.19,,,,,,,,,
,,2014 - 2015,25,29,1.16,,,,,,,,,
,,2015 - 2016,26,34,1.31,,,,,,,,,
,,2016 - 2017,28,34,1.21,,,,,,,,,
,,2017 - 2018,21,24,1.14,,,,,,,,,
,,2018 - 2019,24,26,1.08,,,,,,,,,
,,2019 - 2020,20,24,1.2,,,,,,,,,
,,2020 - 2021,22,27,1.23,,,,,,,,,
,,2021 - 2022,25,30,1.2,,,,,,,,,
,,2022 - 2023,29,36,1.24,,,,,,,,,
,15. Kabirdham,2002 - 2003,17,19,1.12,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,1,1,1,,,,,,,,,
,,2006 - 2007,3,3,1,,,,,,,,,
,,2007 - 2008,3,3,1,,,,,,,,,
,,2008 - 2009,3,5,1.67,,,,,,,,,
,,2010 - 2011,7,9,1.29,,,,,,,,,
,,2013 - 2014,1,1,1,,,,,,,,,
,,2020 - 2021,7,11,1.57,,,,,,,,,
,16. Kanker,2000 - 2001,13,16,1.23,,,,,,,,,
,,2001 - 2002,5,7,1.4,,,,,,,,,
,,2002 - 2003,13,13,1,,,,,,,,,
,,2003 - 2004,13,20,1.54,,,,,,,,,
,,2004 - 2005,13,18,1.38,,,,,,,,,
,,2005 - 2006,13,15,1.15,,,,,,,,,
,,2006 - 2007,14,21,1.5,,,,,,,,,
,,2007 - 2008,14,19,1.36,,,,,,,,,
,,2008 - 2009,14,16,1.14,,,,,,,,,
,,2009 - 2010,14,17,1.21,,,,,,,,,
,,2010 - 2011,19,24,1.26,,,,,,,,,
,,2011 - 2012,17,22,1.29,,,,,,,,,
,,2012 - 2013,19,19,1,,,,,,,,,
,,2013 - 2014,34,30,0.88,,,,,,,,,
,,2014 - 2015,31,28,0.9,,,,,,,,,
,,2015 - 2016,33,29,0.88,,,,,,,,,
,,2016 - 2017,23,27,1.17,,,,,,,,,
,,2017 - 2018,22,20,0.91,,,,,,,,,
,,2018 - 2019,29,29,1,,,,,,,,,
,,2019 - 2020,2,2,1,,,,,,,,,
,,2021 - 2022,1,2,2,,,,,,,,,
,17. Kondagaon,2011 - 2012,51,67,1.31,,,,,,,,,
,,2012 - 2013,52,60,1.15,,,,,,,,,
,,2013 - 2014,33,38,1.15,,,,,,,,,
,,2014 - 2015,43,46,1.07,,,,,,,,,
,,2015 - 2016,48,51,1.06,,,,,,,,,
,,2016 - 2017,62,72,1.16,,,,,,,,,
,,2017 - 2018,57,62,1.09,,,,,,,,,
,,2018 - 2019,54,63,1.17,,,,,,,,,
,,2019 - 2020,44,55,1.25,,,,,,,,,
,,2020 - 2021,34,43,1.26,,,,,,,,,
,,2021 - 2022,35,41,1.17,,,,,,,,,
,,2022 - 2023,35,40,1.14,,,,,,,,,
,18. Korba,2003 - 2004,1,1,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,3,1,0.33,,,,,,,,,
,,2006 - 2007,2,2,1,,,,,,,,,
,,2007 - 2008,2,2,1,,,,,,,,,
,,2008 - 2009,7,10,1.43,,,,,,,,,
,,2009 - 2010,5,,0,,,,,,,,,
,,2010 - 2011,8,10,1.25,,,,,,,,,
,,2011 - 2012,3,4,1.33,,,,,,,,,
,,2012 - 2013,2,3,1.5,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,
,,2014 - 2015,8,12,1.5,,,,,,,,,
,,2015 - 2016,2,2,1,,,,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,,2017 - 2018,2,3,1.5,,,,,,,,,
,,2018 - 2019,8,8,1,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,19. Korea,2000 - 2001,11,11,1,,,,,,,,,
,,2001 - 2002,14,17,1.21,,,,,,,,,
,,2002 - 2003,16,18,1.13,,,,,,,,,
,,2003 - 2004,12,15,1.25,,,,,,,,,
,,2004 - 2005,14,14,1,,,,,,,,,
,,2005 - 2006,12,11,0.92,,,,,,,,,
,,2006 - 2007,8,8,1,,,,,,,,,
,,2007 - 2008,37,37,1,,,,,,,,,
,,2008 - 2009,13,16,1.23,,,,,,,,,
,,2009 - 2010,15,13,0.87,,,,,,,,,
,,2010 - 2011,16,21,1.31,,,,,,,,,
,,2011 - 2012,20,23,1.15,,,,,,,,,
,,2012 - 2013,25,25,1,,,,,,,,,
,,2013 - 2014,21,23,1.1,,,,,,,,,
,,2014 - 2015,25,27,1.08,,,,,,,,,
,,2015 - 2016,28,31,1.11,,,,,,,,,
,,2016 - 2017,37,42,1.14,,,,,,,,,
,,2017 - 2018,44,50,1.14,,,,,,,,,
,,2018 - 2019,31,33,1.06,,,,,,,,,
,,2019 - 2020,31,29,0.94,,,,,,,,,
,,2020 - 2021,25,27,1.08,,,,,,,,,
,,2021 - 2022,22,23,1.05,,,,,,,,,
,,2022 - 2023,15,20,1.33,,,,,,,,,
,20. Mahasamund,2001 - 2002,4,3,0.75,,,,,,,,,
,,2002 - 2003,6,7,1.17,,,,,,,,,
,,2003 - 2004,2,2,1,,,,,,,,,
,,2004 - 2005,1,1,1,,,,,,,,,
,,2005 - 2006,4,4,1,,,,,,,,,
,,2006 - 2007,9,9,1,,,,,,,,,
,,2007 - 2008,7,7,1,,,,,,,,,
,,2008 - 2009,8,11,1.38,,,,,,,,,
,,2012 - 2013,7,10,1.43,,,,,,,,,
,,2013 - 2014,5,7,1.4,,,,,,,,,
,,2014 - 2015,5,50,10,,,,,,,,,
,,2016 - 2017,11,13,1.18,,,,,,,,,
,,2017 - 2018,6,8,1.33,,,,,,,,,
,,2018 - 2019,14,19,1.36,,,,,,,,,
,,2019 - 2020,5,7,1.4,,,,,,,,,
,,2020 - 2021,42,121,2.88,,,,,,,,,
,,2021 - 2022,39,81,2.08,,,,,,,,,
,,2022 - 2023,25,52,2.08,,,,,,,,,
,21. Manendragarh chirimiri bharatpur,2022 - 2023,3,4,1.33,,,,,,,,,
,22. Mungeli,2011 - 2012,105,132,1.26,,,,,,,,,
,,2018 - 2019,1,,0,,,,,,,,,
,,2020 - 2021,1,2,2,,,,,,,,,
,,2021 - 2022,7,13,1.86,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,23. Narayanpur,2007 - 2008,1,1,1,,,,,,,,,
,,2008 - 2009,1,1,1,,,,,,,,,
,,2009 - 2010,1,,0,,,,,,,,,
,,2010 - 2011,1,1,1,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,
,,2014 - 2015,2,2,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,9,10,1.11,,,,,,,,,
,,2018 - 2019,7,,0,,,,,,,,,
,,2019 - 2020,1,2,2,,,,,,,,,
,,2021 - 2022,4,7,1.75,,,,,,,,,
,,2022 - 2023,2,2,1,,,,,,,,,
,24. Raigarh,2000 - 2001,"1,158.00",941,0.81,,,,,,,,,
,,2001 - 2002,"1,207.00",981,0.81,,,,,,,,,
,,2002 - 2003,749,560,0.75,,,,,,,,,
,,2003 - 2004,642,575,0.9,,,,,,,,,
,,2004 - 2005,653,553,0.85,,,,,,,,,
,,2005 - 2006,881,717,0.81,,,,,,,,,
,,2006 - 2007,942,920,0.98,,,,,,,,,
,,2007 - 2008,786,780,0.99,,,,,,,,,
,,2008 - 2009,732,715,0.98,,,,,,,,,
,,2009 - 2010,702,812,1.16,,,,,,,,,
,,2010 - 2011,686,925,1.35,,,,,,,,,
,,2011 - 2012,678,797,1.18,,,,,,,,,
,,2012 - 2013,672,803,1.19,,,,,,,,,
,,2013 - 2014,569,658,1.16,,,,,,,,,
,,2014 - 2015,589,772,1.31,,,,,,,,,
,,2015 - 2016,571,786,1.38,,,,,,,,,
,,2016 - 2017,606,797,1.32,,,,,,,,,
,,2017 - 2018,511,672,1.32,,,,,,,,,
,,2018 - 2019,429,565,1.32,,,,,,,,,
,,2019 - 2020,226,284,1.26,,,,,,,,,
,,2020 - 2021,289,347,1.2,,,,,,,,,
,,2021 - 2022,262,314,1.2,,,,,,,,,
,,2022 - 2023,23,28,1.22,,,,,,,,,
,25. Raipur,2000 - 2001,1,1,1,,,,,,,,,
,,2001 - 2002,12,6,0.5,,,,,,,,,
,,2002 - 2003,21,21,1,,,,,,,,,
,,2003 - 2004,12,13,1.08,,,,,,,,,
,,2004 - 2005,8,9,1.13,,,,,,,,,
,,2005 - 2006,43,55,1.28,,,,,,,,,
,,2006 - 2007,13,14,1.08,,,,,,,,,
,,2007 - 2008,21,23,1.1,,,,,,,,,
,,2008 - 2009,18,21,1.17,,,,,,,,,
,,2009 - 2010,19,23,1.21,,,,,,,,,
,,2010 - 2011,37,49,1.32,,,,,,,,,
,,2011 - 2012,19,25,1.32,,,,,,,,,
,,2012 - 2013,9,12,1.33,,,,,,,,,
,,2013 - 2014,5,8,1.6,,,,,,,,,
,,2014 - 2015,8,13,1.63,,,,,,,,,
,,2015 - 2016,32,48,1.5,,,,,,,,,
,,2016 - 2017,13,16,1.23,,,,,,,,,
,,2017 - 2018,13,17,1.31,,,,,,,,,
,,2018 - 2019,7,,0,,,,,,,,,
,,2019 - 2020,16,29,1.81,,,,,,,,,
,,2020 - 2021,38,91,2.39,,,,,,,,,
,,2021 - 2022,28,67,2.39,,,,,,,,,
,,2022 - 2023,25,47,1.88,,,,,,,,,
,26. Rajnandgaon,2000 - 2001,13,16,1.23,,,,,,,,,
,,2001 - 2002,12,14,1.17,,,,,,,,,
,,2002 - 2003,14,14,1,,,,,,,,,
,,2003 - 2004,37,37,1,,,,,,,,,
,,2004 - 2005,13,16,1.23,,,,,,,,,
,,2005 - 2006,20,24,1.2,,,,,,,,,
,,2006 - 2007,11,13,1.18,,,,,,,,,
,,2007 - 2008,20,25,1.25,,,,,,,,,
,,2008 - 2009,9,12,1.33,,,,,,,,,
,,2009 - 2010,7,8,1.14,,,,,,,,,
,,2010 - 2011,17,19,1.12,,,,,,,,,
,,2011 - 2012,13,15,1.15,,,,,,,,,
,,2012 - 2013,3,3,1,,,,,,,,,
,,2013 - 2014,2,2,1,,,,,,,,,
,,2014 - 2015,2,2,1,,,,,,,,,
,,2015 - 2016,3,3,1,,,,,,,,,
,,2016 - 2017,8,10,1.25,,,,,,,,,
,,2017 - 2018,5,6,1.2,,,,,,,,,
,,2018 - 2019,2,2,1,,,,,,,,,
,,2019 - 2020,3,4,1.33,,,,,,,,,
,,2020 - 2021,15,21,1.4,,,,,,,,,
,,2021 - 2022,17,24,1.41,,,,,,,,,
,,2022 - 2023,3,4,1.33,,,,,,,,,
,27. Sakti,2022 - 2023,4,8,2,,,,,,,,,
,28. Sarangarh bilaigarh,2022 - 2023,35,63,1.8,,,,,,,,,
,29. Sukma,2014 - 2015,2,2,1,,,,,,,,,
,,2016 - 2017,1,1,1,,,,,,,,,
,,2017 - 2018,3,3,1,,,,,,,,,
,,2018 - 2019,1,1,1,,,,,,,,,
,,2021 - 2022,1,2,2,,,,,,,,,
,,2022 - 2023,1,2,2,,,,,,,,,
,30. Surajpur,2011 - 2012,364,421,1.16,,,,,,,,,
,,2012 - 2013,362,453,1.25,,,,,,,,,
,,2013 - 2014,346,334,0.97,,,,,,,,,
,,2014 - 2015,256,345,1.35,,,,,,,,,
,,2015 - 2016,385,526,1.37,,,,,,,,,
,,2016 - 2017,432,490,1.13,,,,,,,,,
,,2017 - 2018,436,510,1.17,,,,,,,,,
,,2018 - 2019,417,464,1.11,,,,,,,,,
,,2019 - 2020,286,391,1.37,,,,,,,,,
,,2020 - 2021,203,294,1.45,,,,,,,,,
,,2021 - 2022,184,249,1.35,,,,,,,,,
