State,District,Year,Tapioca,,,,,,,,
,,,Whole Year,,,Kharif,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2000 - 2001,40,169,4.23,,,,,,
,,2006 - 2007,52.03,450,8.65,,,,,,
,,2010 - 2011,69,575,8.33,,,,,,
,,2011 - 2012,64,505,7.89,,,,,,
,,2012 - 2013,61,523,8.57,,,,,,
,,2013 - 2014,22,195.3,8.88,,,,,,
,,2014 - 2015,46,527.3,11.46,,,,,,
,,2015 - 2016,54.5,745,13.67,,,,,,
,,2016 - 2017,72,297,4.13,,,,,,
,,2017 - 2018,48.3,416.1,8.61,,,,,,
,,2018 - 2019,45.11,304.42,6.75,,,,,,
,,2019 - 2020,61.11,474.42,7.76,,,,,,
,,2022 - 2023,44.5,315,7.08,,,,,,
,2. North and middle andaman,2000 - 2001,160,"2,108.00",13.18,,,,,,
,,2006 - 2007,255,"1,420.00",5.57,,,,,,
,,2010 - 2011,186.5,"1,355.00",7.27,,,,,,
,,2011 - 2012,181.5,"1,280.50",7.06,,,,,,
,,2012 - 2013,190,"1,446.00",7.61,,,,,,
,,2013 - 2014,184.2,"3,503.80",19.02,,,,,,
,,2014 - 2015,137.8,"2,161.90",15.69,,,,,,
,,2015 - 2016,26.5,600,22.64,,,,,,
,,2016 - 2017,41,"1,010.00",24.63,,,,,,
,,2017 - 2018,40.9,694.04,16.97,,,,,,
,,2018 - 2019,32.58,383.85,11.78,,,,,,
,,2019 - 2020,29.13,213.58,7.33,,,,,,
,,2022 - 2023,16.5,138.16,8.37,,,,,,
,3. South andamans,2005 - 2006,254.5,"1,480.00",5.82,,,,,,
,,2006 - 2007,40,160,4,,,,,,
,,2010 - 2011,22.5,220,9.78,,,,,,
,,2011 - 2012,19.5,260,13.33,,,,,,
,,2012 - 2013,19,151,7.95,,,,,,
,,2013 - 2014,33,547.5,16.59,,,,,,
,,2014 - 2015,28.5,575.8,20.2,,,,,,
,,2015 - 2016,26.5,725,27.36,,,,,,
,,2016 - 2017,20,762,38.1,,,,,,
,,2017 - 2018,24,245.4,10.23,,,,,,
,,2018 - 2019,12.49,637.31,51.03,,,,,,
,,2019 - 2020,12.24,473.05,38.65,,,,,,
,,2022 - 2023,61.4,749.2,12.2,,,,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,,,,509,"4,714.00",9.26,,,
,2. Anakapalli,2022 - 2023,,,,16,202,12.63,,,
,3. Chittoor,2000 - 2001,1,8,8,,,,,,
,,2008 - 2009,3,37,12.33,,,,,,
,,2009 - 2010,10,131,13.1,,,,,,
,,2010 - 2011,15,99,6.6,,,,,,
,,2011 - 2012,10,100,10,,,,,,
,,2015 - 2016,,,,10,130,13,,,
,,2019 - 2020,,,,16,62,3.88,,,
,,2021 - 2022,,,,30,504,16.8,,,
,4. East godavari,2000 - 2001,"20,435.00","1,59,148.00",7.79,,,,,,
,,2001 - 2002,"16,781.00","1,40,038.00",8.35,,,,,,
,,2002 - 2003,"12,264.00","74,651.00",6.09,,,,,,
,,2003 - 2004,"18,768.00","1,17,826.00",6.28,,,,,,
,,2004 - 2005,"19,300.00","1,42,087.00",7.36,,,,,,
,,2005 - 2006,"14,660.00","1,22,382.00",8.35,,,,,,
,,2006 - 2007,"19,176.00","2,05,260.00",10.7,,,,,,
,,2008 - 2009,"16,210.00","2,05,202.00",12.66,,,,,,
,,2009 - 2010,"10,765.00","1,44,412.00",13.41,,,,,,
,,2010 - 2011,"12,391.00","82,090.00",6.62,,,,,,
,,2011 - 2012,"12,439.00","1,24,228.00",9.99,,,,,,
,,2012 - 2013,,,,"11,343.00","2,08,870.00",18.41,,,
,,2013 - 2014,,,,"10,383.00","1,91,193.00",18.41,,,
,,2014 - 2015,,,,"10,496.00","2,06,246.00",19.65,,,
,,2015 - 2016,,,,"8,359.00","1,07,137.00",12.82,,,
,,2016 - 2017,,,,"6,929.00","80,342.00",11.6,5,58,11.6
,,2017 - 2018,,,,"7,304.00","89,437.00",12.24,5,61,12.2
,,2018 - 2019,,,,"7,166.00","83,255.00",11.62,43,500,11.63
,,2019 - 2020,,,,"6,809.00","81,320.00",11.94,8,96,12
,,2020 - 2021,,,,"6,138.00","1,06,230.00",17.31,22,381,17.32
,,2021 - 2022,,,,"3,890.00","64,691.00",16.63,29,482,16.62
,,2022 - 2023,,,,840,"14,023.00",16.69,,,
,5. Guntur,2004 - 2005,5,36,7.2,,,,,,
,6. Kakinada,2022 - 2023,,,,"2,304.00","27,302.00",11.85,12,151,12.58
,7. Konaseema,2022 - 2023,,,,5,63,12.6,9,113,12.56
,8. Krishna,2000 - 2001,4,31,7.75,,,,,,
,,2001 - 2002,7,58,8.29,,,,,,
,,2002 - 2003,2,12,6,,,,,,
,,2021 - 2022,,,,1,17,17,,,
,9. Kurnool,2021 - 2022,,,,,,,2,34,17
,10. Palnadu,2022 - 2023,,,,1,13,13,,,
,11. Parvathipuram manyam,2022 - 2023,,,,5,63,12.6,,,
,12. Spsr nellore,2000 - 2001,25,191,7.64,,,,,,
,,2001 - 2002,25,207,8.28,,,,,,
,,2008 - 2009,17,211,12.41,,,,,,
,,2010 - 2011,4,26,6.5,,,,,,
,,2015 - 2016,,,,,,,8,104,13
,,2016 - 2017,,,,15,177,11.8,,,
,,2017 - 2018,,,,13,161,12.38,,,
,,2018 - 2019,,,,20,101,5.05,,,
,,2020 - 2021,,,,4,70,17.5,5,87,17.4
,,2021 - 2022,,,,3,50,16.67,5,84,16.8
,13. Srikakulam,2000 - 2001,191,"1,462.00",7.65,,,,,,
,,2001 - 2002,252,"2,085.00",8.27,,,,,,
,,2002 - 2003,228,"1,381.00",6.06,,,,,,
,,2003 - 2004,201,"1,262.00",6.28,,,,,,
,,2004 - 2005,154,"1,123.00",7.29,,,,,,
,,2005 - 2006,189,"1,560.00",8.25,,,,,,
,,2006 - 2007,189,"2,005.00",10.61,,,,,,
,,2008 - 2009,200,644,3.22,,,,,,
,,2009 - 2010,201,630,3.13,,,,,,
,,2010 - 2011,132,384,2.91,,,,,,
,,2011 - 2012,72,414,5.75,,,,,,
,,2012 - 2013,,,,56,"1,031.00",18.41,,,
,,2013 - 2014,,,,41,755,18.41,,,
,,2014 - 2015,,,,31,608,19.61,,,
,,2015 - 2016,,,,18,234,13,,,
,,2016 - 2017,,,,19,224,11.79,8,94,11.75
,,2017 - 2018,,,,14,174,12.43,33,409,12.39
,,2018 - 2019,,,,9,21,2.33,25,57,2.28
,,2019 - 2020,,,,3,36,12,4,49,12.25
,,2020 - 2021,,,,1,17,17,3,52,17.33
,,2021 - 2022,,,,1,17,17,3,50,16.67
,14. Tirupati,2022 - 2023,,,,23,290,12.61,1,13,13
,15. Visakhapatanam,2000 - 2001,554,"3,005.00",5.42,,,,,,
,,2001 - 2002,447,"2,467.00",5.52,,,,,,
,,2002 - 2003,407,"2,050.00",5.04,,,,,,
,,2003 - 2004,307,"1,927.00",6.28,,,,,,
,,2004 - 2005,522,"2,400.00",4.6,,,,,,
,,2005 - 2006,356,"1,417.00",3.98,,,,,,
,,2006 - 2007,298,"1,155.00",3.88,,,,,,
,,2008 - 2009,251,915,3.65,,,,,,
,,2009 - 2010,235,893,3.8,,,,,,
,,2010 - 2011,216,"1,422.00",6.58,,,,,,
,,2011 - 2012,176,"2,251.00",12.79,,,,,,
,,2012 - 2013,,,,125,"2,302.00",18.42,,,
,,2013 - 2014,,,,89,"1,639.00",18.42,10,184,18.4
,,2014 - 2015,,,,52,888,17.08,,,
,,2015 - 2016,,,,47,336,7.15,5,36,7.2
,,2016 - 2017,,,,31,154,4.97,5,25,5
,,2017 - 2018,,,,31,124,4,1,4,4
,,2018 - 2019,,,,27,552,20.44,1,20,20
,,2019 - 2020,,,,27,549,20.33,,,
,,2020 - 2021,,,,24,473,19.71,4,79,19.75
,,2021 - 2022,,,,23,417,18.13,5,91,18.2
,,2022 - 2023,,,,3,38,12.67,,,
,16. Vizianagaram,2000 - 2001,203,"1,567.00",7.72,,,,,,
,,2001 - 2002,182,"1,506.00",8.27,,,,,,
,,2002 - 2003,226,"1,368.00",6.05,,,,,,
,,2003 - 2004,174,"1,092.00",6.28,,,,,,
,,2004 - 2005,156,"1,138.00",7.29,,,,,,
,,2005 - 2006,76,627,8.25,,,,,,
,,2006 - 2007,69,732,10.61,,,,,,
,,2008 - 2009,29,360,12.41,,,,,,
,,2009 - 2010,5,65,13,,,,,,
,,2010 - 2011,16,105,6.56,,,,,,
,,2011 - 2012,12,120,10,,,,,,
,,2012 - 2013,,,,12,221,18.42,,,
,,2013 - 2014,,,,,,,10,184,18.4
,,2014 - 2015,,,,14,275,19.64,48,,0
,,2015 - 2016,,,,2,26,13,48,623,12.98
,,2016 - 2017,,,,23,271,11.78,1,12,12
,,2017 - 2018,,,,4,50,12.5,,,
,,2018 - 2019,,,,25,296,11.84,14,166,11.86
,,2019 - 2020,,,,29,215,7.41,39,289,7.41
,,2020 - 2021,,,,17,105,6.18,9,56,6.22
,,2021 - 2022,,,,4,67,16.75,4,67,16.75
,,2022 - 2023,,,,8,101,12.63,3,38,12.67
,17. West godavari,2000 - 2001,32,245,7.66,,,,,,
,,2002 - 2003,2,12,6,,,,,,
,,2008 - 2009,55,683,12.42,,,,,,
,,2009 - 2010,18,235,13.06,,,,,,
,,2010 - 2011,83,547,6.59,,,,,,
,,2011 - 2012,84,840,10,,,,,,
,,2012 - 2013,,,,83,"1,528.00",18.41,,,
,,2013 - 2014,,,,75,"1,381.00",18.41,,,
,,2014 - 2015,,,,143,"2,541.00",17.77,1,,0
,,2015 - 2016,,,,136,"3,407.00",25.05,,,
,,2016 - 2017,,,,105,"2,738.00",26.08,,,
,,2017 - 2018,,,,102,"2,657.00",26.05,,,
,,2018 - 2019,,,,103,"2,687.00",26.09,,,
,,2019 - 2020,,,,102,"2,663.00",26.11,3,78,26
,,2020 - 2021,,,,99,"2,575.00",26.01,,,
,,2021 - 2022,,,,66,"1,717.00",26.02,,,
3. Assam,1. Baksa,2005 - 2006,92,649,7.05,,,,,,
,,2006 - 2007,197,"1,389.00",7.05,,,,,,
,,2007 - 2008,142,"1,001.00",7.05,,,,,,
,,2008 - 2009,189,"1,332.00",7.05,,,,,,
,,2009 - 2010,192,"1,354.00",7.05,,,,,,
,,2010 - 2011,210,"1,481.00",7.05,,,,,,
,,2011 - 2012,275,"2,441.00",8.88,,,,,,
