State,District,Year,Sweet potato,,,,,,,,
,,,Whole Year,,,Rabi,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andaman and Nicobar Islands,1. Nicobars,2000 - 2001,5,15,3,,,,,,
,,2001 - 2002,11,33,3,,,,,,
,,2006 - 2007,18,86,4.78,,,,,,
,,2010 - 2011,,,,22,208,9.45,,,
,,2011 - 2012,,,,23,240,10.43,,,
,,2012 - 2013,,,,26,155.5,5.98,,,
,,2013 - 2014,,,,8.5,50.7,5.96,,,
,,2014 - 2015,,,,16.5,165,10,,,
,,2015 - 2016,,,,13,130,10,,,
,,2016 - 2017,,,,10,83,8.3,,,
,,2017 - 2018,,,,7.47,308.26,41.27,,,
,,2018 - 2019,,,,2.14,60.56,28.3,,,
,,2019 - 2020,,,,4.64,132.56,28.57,,,
,,2020 - 2021,,,,5.4,131.11,24.28,,,
,,2021 - 2022,,,,6,126.5,21.08,,,
,,2022 - 2023,,,,24.5,150,6.12,,,
,2. North and middle andaman,2000 - 2001,78,843,10.81,,,,,,
,,2001 - 2002,100,5,0.05,,,,,,
,,2006 - 2007,30,240,8,,,,,,
,,2010 - 2011,,,,109,480,4.4,,,
,,2011 - 2012,,,,101,425,4.21,,,
,,2012 - 2013,,,,93.6,548.7,5.86,,,
,,2013 - 2014,,,,104.4,"1,787.00",17.12,,,
,,2014 - 2015,,,,76.6,"1,621.50",21.17,,,
,,2015 - 2016,,,,24.5,185,7.55,,,
,,2016 - 2017,,,,30,223,7.43,,,
,,2017 - 2018,,,,31.69,486.17,15.34,,,
,,2018 - 2019,,,,26.87,260.97,9.71,,,
,,2019 - 2020,,,,30.11,198.43,6.59,,,
,,2020 - 2021,,,,34.43,387.01,11.24,,,
,,2021 - 2022,,,,23.03,202.23,8.78,,,
,,2022 - 2023,,,,21.45,272.72,12.71,,,
,3. South andamans,2005 - 2006,131.9,700.35,5.31,,,,,,
,,2006 - 2007,30.4,220,7.24,,,,,,
,,2010 - 2011,,,,32,235,7.34,,,
,,2011 - 2012,,,,26,180,6.92,,,
,,2012 - 2013,,,,25.4,145.8,5.74,,,
,,2013 - 2014,,,,55.5,855.5,15.41,,,
,,2014 - 2015,,,,55.9,875.5,15.66,,,
,,2015 - 2016,,,,46,445,9.67,,,
,,2016 - 2017,,,,27,547,20.26,,,
,,2017 - 2018,,,,5.5,546.3,99.33,,,
,,2018 - 2019,,,,5,160,32,,,
,,2019 - 2020,,,,6.55,318.55,48.63,,,
,,2020 - 2021,,,,20.1,265.26,13.2,,,
,,2021 - 2022,,,,20.6,273.54,13.28,,,
,,2022 - 2023,,,,21.75,287.75,13.23,,,
2. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,,,,,,,236,"4,433.00",18.78
,2. Anakapalli,2022 - 2023,,,,1,19,19,,,
,3. Anantapur,2000 - 2001,28,379,13.54,,,,,,
,,2001 - 2002,31,411,13.26,,,,,,
,,2002 - 2003,50,540,10.8,,,,,,
,,2003 - 2004,30,217,7.23,,,,,,
,,2004 - 2005,33,68,2.06,,,,,,
,,2005 - 2006,23,121,5.26,,,,,,
,,2006 - 2007,25,137,5.48,,,,,,
,,2009 - 2010,13,77,5.92,,,,,,
,,2010 - 2011,4,51,12.75,,,,,,
,,2011 - 2012,2,26,13,,,,,,
,,2012 - 2013,,,,7,67,9.57,,,
,,2013 - 2014,,,,1,9,9,,,
,,2014 - 2015,,,,4,44,11,,,
,,2017 - 2018,,,,,,,9,142,15.78
,,2018 - 2019,,,,15,304,20.27,,,
,,2019 - 2020,,,,1,17,17,,,
,4. Annamayya,2022 - 2023,,,,22,413,18.77,61,"1,146.00",18.79
,5. Bapatla,2022 - 2023,,,,113,"2,084.00",18.44,,,
,6. Chittoor,2000 - 2001,163,"2,203.00",13.52,,,,,,
,,2001 - 2002,188,"2,495.00",13.27,,,,,,
,,2002 - 2003,160,"1,739.00",10.87,,,,,,
,,2003 - 2004,177,"1,280.00",7.23,,,,,,
,,2004 - 2005,211,434,2.06,,,,,,
,,2005 - 2006,249,"1,102.00",4.43,,,,,,
,,2006 - 2007,246,"1,351.00",5.49,,,,,,
,,2008 - 2009,110,628,5.71,,,,,,
,,2009 - 2010,226,"1,332.00",5.89,,,,,,
,,2010 - 2011,239,"3,062.00",12.81,,,,,,
,,2011 - 2012,288,"3,490.00",12.12,,,,,,
,,2012 - 2013,,,,186,"2,127.00",11.44,44,503,11.43
,,2013 - 2014,,,,217,"2,548.00",11.74,57,669,11.74
,,2014 - 2015,,,,200,"2,257.00",11.29,47,530,11.28
,,2015 - 2016,,,,150,"1,820.00",12.13,19,230,12.11
,,2016 - 2017,,,,196,"2,412.00",12.31,40,492,12.3
,,2017 - 2018,,,,97,"1,526.00",15.73,66,"1,038.00",15.73
,,2018 - 2019,,,,54,"1,095.00",20.28,32,649,20.28
,,2019 - 2020,,,,102,"2,860.00",28.04,12,336,28
,,2020 - 2021,,,,16,326,20.38,11,224,20.36
,,2021 - 2022,,,,9,192,21.33,32,681,21.28
,,2022 - 2023,,,,7,131,18.71,6,113,18.83
,7. East godavari,2000 - 2001,60,811,13.52,,,,,,
,,2001 - 2002,60,797,13.28,,,,,,
,,2002 - 2003,75,810,10.8,,,,,,
