state,district,year,potato_whole_year_yield_tonne_per_hectare
,Kamle,2018 - 2019,8.14
,,2019 - 2020,8.14
,,2020 - 2021,8.18
,,2021 - 2022,8.14
,,2022 - 2023,8.14
,Kra daadi,2015 - 2016,3.5
,,2016 - 2017,1.5
,,2017 - 2018,1.92
,,2018 - 2019,2.15
,,2019 - 2020,2.2
,,2020 - 2021,2.25
,,2021 - 2022,2.25
,,2022 - 2023,2.25
,Kurung kumey,2002 - 2003,7.16
,,2003 - 2004,7.11
,,2004 - 2005,9.98
,,2006 - 2007,7.76
,,2007 - 2008,0.6
,,2008 - 2009,0.6
,,2009 - 2010,0.6
,,2010 - 2011,0.68
,,2011 - 2012,0.73
,,2012 - 2013,0.85
,,2013 - 2014,8.5
,,2014 - 2015,9.55
,,2015 - 2016,2.88
,,2016 - 2017,2.88
,,2017 - 2018,3.32
,,2018 - 2019,3.53
,,2019 - 2020,3.58
,,2020 - 2021,3.63
,,2021 - 2022,3.63
,,2022 - 2023,3.63
,Leparada,2019 - 2020,6.79
,,2020 - 2021,6.88
,,2021 - 2022,7.71
,,2022 - 2023,7.71
,Lohit,2000 - 2001,9.6
,,2001 - 2002,8.2
,,2002 - 2003,8.2
,,2003 - 2004,8.2
,,2004 - 2005,8.0
,,2005 - 2006,8.3
,,2006 - 2007,9.15
,,2007 - 2008,9.2
,,2008 - 2009,9.23
,,2009 - 2010,9.4
,,2010 - 2011,9.4
,,2011 - 2012,9.87
,,2012 - 2013,9.0
,,2013 - 2014,9.3
,,2014 - 2015,9.29
,,2015 - 2016,7.97
,,2016 - 2017,7.97
,,2017 - 2018,8.01
,,2018 - 2019,8.01
,,2019 - 2020,8.01
,,2020 - 2021,8.02
,,2021 - 2022,8.0
,,2022 - 2023,8.0
,Longding,2013 - 2014,2.69
,,2015 - 2016,5.06
,,2016 - 2017,5.06
,,2017 - 2018,5.36
,,2018 - 2019,5.48
,,2019 - 2020,5.51
,,2020 - 2021,5.57
,,2021 - 2022,5.57
,,2022 - 2023,5.58
,Lower dibang valley,2002 - 2003,8.0
,,2003 - 2004,8.0
,,2004 - 2005,6.7
,,2005 - 2006,8.0
,,2006 - 2007,8.0
,,2007 - 2008,8.0
,,2008 - 2009,8.0
,,2009 - 2010,8.0
,,2010 - 2011,8.0
,,2011 - 2012,8.41
,,2012 - 2013,8.0
,,2013 - 2014,8.0
,,2014 - 2015,8.02
,,2015 - 2016,7.26
,,2016 - 2017,7.26
,,2017 - 2018,7.3
,,2018 - 2019,7.33
,,2019 - 2020,7.33
,,2020 - 2021,7.34
,,2021 - 2022,7.57
,,2022 - 2023,7.57
,Lower siang,2018 - 2019,6.69
,,2019 - 2020,6.69
,,2020 - 2021,6.71
,,2021 - 2022,6.71
,,2022 - 2023,6.71
,Lower subansiri,2000 - 2001,6.8
,,2001 - 2002,8.53
,,2002 - 2003,7.09
,,2003 - 2004,9.99
,,2004 - 2005,8.11
,,2005 - 2006,10.14
,,2006 - 2007,10.13
,,2007 - 2008,10.85
,,2008 - 2009,10.84
,,2009 - 2010,10.84
,,2010 - 2011,9.01
,,2011 - 2012,9.48
,,2012 - 2013,9.49
,,2013 - 2014,9.5
,,2014 - 2015,9.48
,,2015 - 2016,8.78
,,2016 - 2017,8.05
,,2017 - 2018,8.08
,,2018 - 2019,8.07
,,2019 - 2020,8.07
,,2020 - 2021,8.1
,,2021 - 2022,8.09
,,2022 - 2023,8.09
,Namsai,2014 - 2015,6.67
,,2015 - 2016,8.91
,,2016 - 2017,8.29
,,2017 - 2018,8.31
,,2018 - 2019,8.31
,,2019 - 2020,8.27
,,2020 - 2021,8.26
,,2021 - 2022,8.3
,,2022 - 2023,8.3
,Pakke kessang,2019 - 2020,6.29
,,2020 - 2021,6.41
,,2021 - 2022,6.4
,,2022 - 2023,6.41
,Papum pare,2000 - 2001,7.13
,,2001 - 2002,7.13
,,2002 - 2003,7.59
,,2003 - 2004,9.24
,,2004 - 2005,7.16
,,2005 - 2006,9.2
,,2006 - 2007,9.0
,,2007 - 2008,8.05
,,2008 - 2009,9.1
,,2009 - 2010,9.6
,,2010 - 2011,9.9
,,2011 - 2012,10.4
,,2012 - 2013,9.37
,,2013 - 2014,10.6
,,2014 - 2015,10.88
,,2015 - 2016,9.93
,,2016 - 2017,8.76
,,2017 - 2018,8.76
,,2018 - 2019,8.75
,,2019 - 2020,8.75
,,2020 - 2021,8.77
,,2021 - 2022,8.77
,,2022 - 2023,8.77
,Shi yomi,2019 - 2020,6.94
,,2020 - 2021,7.15
,,2021 - 2022,7.14
,,2022 - 2023,7.15
,Siang,2015 - 2016,6.24
,,2016 - 2017,6.24
,,2017 - 2018,6.29
,,2018 - 2019,4.81
,,2019 - 2020,6.15
,,2020 - 2021,6.17
,,2021 - 2022,6.42
,,2022 - 2023,6.42
,Tawang,2000 - 2001,5.12
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,5.5
,,2004 - 2005,5.5
,,2005 - 2006,6.0
,,2006 - 2007,6.5
,,2007 - 2008,6.5
,,2008 - 2009,11.0
,,2009 - 2010,11.0
,,2010 - 2011,9.0
,,2011 - 2012,9.48
,,2012 - 2013,10.0
,,2013 - 2014,10.0
,,2014 - 2015,9.98
,,2015 - 2016,9.07
,,2016 - 2017,8.41
,,2017 - 2018,8.41
,,2018 - 2019,8.41
,,2019 - 2020,8.41
,,2020 - 2021,8.39
,,2021 - 2022,8.7
,,2022 - 2023,8.71
,Tirap,2000 - 2001,5.38
,,2001 - 2002,6.0
,,2002 - 2003,5.9
,,2003 - 2004,5.91
,,2004 - 2005,0.86
,,2005 - 2006,5.95
,,2006 - 2007,5.93
,,2007 - 2008,3.78
,,2008 - 2009,5.1
,,2009 - 2010,4.07
,,2010 - 2011,4.11
,,2011 - 2012,4.24
,,2012 - 2013,2.5
,,2013 - 2014,2.68
,,2014 - 2015,3.84
,,2015 - 2016,7.43
,,2016 - 2017,7.43
,,2017 - 2018,7.51
,,2018 - 2019,7.52
,,2019 - 2020,7.53
,,2020 - 2021,7.56
,,2021 - 2022,7.5
,,2022 - 2023,7.5
,Upper siang,2000 - 2001,8.0
,,2001 - 2002,5.0
,,2002 - 2003,4.73
,,2003 - 2004,4.73
,,2004 - 2005,5.54
,,2005 - 2006,5.0
,,2006 - 2007,5.0
,,2007 - 2008,5.0
,,2008 - 2009,6.11
,,2009 - 2010,8.0
,,2010 - 2011,8.0
,,2011 - 2012,8.44
,,2012 - 2013,8.5
,,2013 - 2014,8.6
,,2014 - 2015,8.61
,,2015 - 2016,7.72
,,2016 - 2017,7.72
,,2017 - 2018,7.79
,,2018 - 2019,7.79
,,2019 - 2020,7.79
,,2020 - 2021,7.82
,,2021 - 2022,7.8
,,2022 - 2023,7.8
,Upper subansiri,2000 - 2001,8.53
,,2001 - 2002,7.5
,,2002 - 2003,8.35
,,2003 - 2004,8.15
,,2004 - 2005,6.11
,,2005 - 2006,6.53
,,2006 - 2007,11.98
,,2007 - 2008,14.06
,,2008 - 2009,6.79
,,2009 - 2010,6.79
,,2010 - 2011,8.83
,,2011 - 2012,9.3
,,2012 - 2013,9.46
,,2013 - 2014,10.43
,,2014 - 2015,10.36
,,2015 - 2016,9.11
,,2016 - 2017,8.08
,,2017 - 2018,8.13
,,2018 - 2019,8.1
,,2019 - 2020,8.1
,,2020 - 2021,8.13
,,2021 - 2022,8.1
,,2022 - 2023,8.1
,West kameng,2000 - 2001,9.0
,,2001 - 2002,9.0
,,2002 - 2003,9.0
,,2003 - 2004,9.0
,,2004 - 2005,7.8
,,2005 - 2006,8.5
,,2006 - 2007,7.8
,,2007 - 2008,4.5
,,2008 - 2009,5.02
,,2009 - 2010,8.1
,,2010 - 2011,8.09
,,2011 - 2012,8.5
,,2012 - 2013,8.09
,,2013 - 2014,8.08
,,2014 - 2015,7.96
,,2015 - 2016,7.39
,,2016 - 2017,7.39
,,2017 - 2018,7.42
,,2018 - 2019,7.41
,,2019 - 2020,7.41
,,2020 - 2021,7.39
,,2021 - 2022,7.68
,,2022 - 2023,7.68
,West siang,2000 - 2001,5.56
,,2001 - 2002,5.73
,,2002 - 2003,6.09
,,2003 - 2004,6.09
,,2004 - 2005,5.0
,,2005 - 2006,5.96
,,2006 - 2007,6.13
,,2007 - 2008,6.5
,,2008 - 2009,6.33
,,2009 - 2010,6.36
,,2010 - 2011,6.38
,,2011 - 2012,6.72
,,2012 - 2013,6.64
,,2013 - 2014,6.65
,,2014 - 2015,6.7
,,2015 - 2016,6.89
,,2016 - 2017,6.89
,,2017 - 2018,6.94
,,2018 - 2019,6.95
,,2019 - 2020,6.97
,,2020 - 2021,7.05
,,2021 - 2022,7.93
,,2022 - 2023,7.93
Assam,Baksa,2005 - 2006,5.05
,,2006 - 2007,6.49
,,2007 - 2008,7.67
,,2008 - 2009,6.25
,,2009 - 2010,5.86
,,2010 - 2011,6.76
,,2011 - 2012,5.73
,,2012 - 2013,7.8
,,2013 - 2014,4.62
,,2014 - 2015,5.53
,,2015 - 2016,5.44
,,2016 - 2017,5.2
,,2017 - 2018,5.4
,,2018 - 2019,6.41
,,2019 - 2020,5.93
,,2020 - 2021,7.23
,,2021 - 2022,6.73
,,2022 - 2023,10.1
,Barpeta,2000 - 2001,10.67
,,2001 - 2002,8.72
,,2002 - 2003,8.46
,,2003 - 2004,8.73
,,2004 - 2005,8.83
,,2005 - 2006,4.13
,,2006 - 2007,5.18
,,2007 - 2008,9.38
,,2008 - 2009,8.11
,,2009 - 2010,6.56
,,2010 - 2011,9.21
,,2011 - 2012,7.91
,,2012 - 2013,10.66
,,2013 - 2014,8.05
,,2014 - 2015,9.68
,,2015 - 2016,8.28
,,2016 - 2017,9.51
,,2017 - 2018,10.07
,,2018 - 2019,9.88
,,2019 - 2020,8.66
,,2020 - 2021,9.01
,,2021 - 2022,8.02
,,2022 - 2023,12.4
,Biswanath,2020 - 2021,7.39
,,2021 - 2022,5.89
,,2022 - 2023,8.93
,Bongaigaon,2000 - 2001,10.49
,,2001 - 2002,11.6
,,2002 - 2003,12.38
,,2003 - 2004,6.45
,,2004 - 2005,9.71
,,2005 - 2006,6.45
,,2006 - 2007,8.31
,,2007 - 2008,7.62
,,2008 - 2009,6.5
,,2009 - 2010,8.38
,,2010 - 2011,9.72
,,2011 - 2012,8.38
,,2012 - 2013,7.37
,,2013 - 2014,7.22
,,2014 - 2015,8.19
,,2015 - 2016,6.65
,,2016 - 2017,8.1
,,2017 - 2018,8.07
,,2018 - 2019,7.64
,,2019 - 2020,8.19
,,2020 - 2021,6.58
,,2021 - 2022,6.25
,,2022 - 2023,9.87
,Cachar,2000 - 2001,4.81
,,2001 - 2002,4.09
,,2002 - 2003,5.05
,,2003 - 2004,4.5
,,2004 - 2005,5.51
,,2005 - 2006,4.89
,,2006 - 2007,4.37
,,2007 - 2008,3.86
,,2008 - 2009,5.86
,,2009 - 2010,7.1
,,2010 - 2011,7.48
,,2011 - 2012,4.06
,,2012 - 2013,4.52
,,2013 - 2014,3.96
,,2014 - 2015,7.05
,,2015 - 2016,4.51
,,2016 - 2017,5.75
,,2017 - 2018,5.3
,,2018 - 2019,5.93
,,2019 - 2020,5.73
,,2020 - 2021,7.62
,,2021 - 2022,5.29
,,2022 - 2023,6.36
,Charaideo,2020 - 2021,7.35
,,2021 - 2022,10.4
,,2022 - 2023,9.44
,Chirang,2005 - 2006,6.32
,,2006 - 2007,6.49
,,2007 - 2008,9.1
,,2008 - 2009,7.96
,,2009 - 2010,8.71
,,2010 - 2011,7.52
,,2011 - 2012,7.6
,,2012 - 2013,7.64
,,2013 - 2014,8.18
,,2014 - 2015,9.21
,,2015 - 2016,7.38
,,2016 - 2017,7.97
,,2017 - 2018,7.1
,,2018 - 2019,7.47
,,2019 - 2020,8.64
,,2020 - 2021,7.24
,,2021 - 2022,9.69
,,2022 - 2023,12.84
,Darrang,2000 - 2001,6.98
,,2001 - 2002,6.95
,,2002 - 2003,6.16
,,2003 - 2004,6.26
,,2004 - 2005,9.86
,,2005 - 2006,5.52
,,2006 - 2007,8.91
,,2007 - 2008,4.47
,,2008 - 2009,5.28
,,2009 - 2010,7.46
,,2010 - 2011,7.61
,,2011 - 2012,8.84
,,2012 - 2013,6.45
,,2013 - 2014,8.19
,,2014 - 2015,9.09
,,2015 - 2016,4.89
,,2016 - 2017,8.92
,,2017 - 2018,7.87
,,2018 - 2019,9.84
,,2019 - 2020,9.87
,,2020 - 2021,6.95
,,2021 - 2022,8.04
,,2022 - 2023,9.1
,Dhemaji,2000 - 2001,4.82
,,2001 - 2002,4.11
,,2002 - 2003,4.37
,,2003 - 2004,4.74
,,2004 - 2005,4.21
,,2005 - 2006,4.2
,,2006 - 2007,4.84
,,2007 - 2008,5.42
,,2008 - 2009,3.73
,,2009 - 2010,5.73
,,2010 - 2011,6.61
,,2011 - 2012,4.26
,,2012 - 2013,5.06
,,2013 - 2014,4.08
,,2014 - 2015,4.28
,,2015 - 2016,7.11
,,2016 - 2017,4.68
,,2017 - 2018,4.79
,,2018 - 2019,4.34
,,2019 - 2020,5.48
,,2020 - 2021,6.98
,,2021 - 2022,4.25
,,2022 - 2023,5.11
,Dhubri,2000 - 2001,9.81
,,2001 - 2002,9.61
,,2002 - 2003,8.94
,,2003 - 2004,8.8
,,2004 - 2005,9.08
,,2005 - 2006,2.99
,,2006 - 2007,10.43
,,2007 - 2008,7.96
,,2008 - 2009,9.33
,,2009 - 2010,7.06
,,2010 - 2011,8.36
,,2011 - 2012,8.5
,,2012 - 2013,8.47
,,2013 - 2014,10.35
,,2014 - 2015,12.39
,,2015 - 2016,11.78
,,2016 - 2017,11.39
,,2017 - 2018,10.57
,,2018 - 2019,8.96
,,2019 - 2020,9.16
,,2020 - 2021,11.74
,,2021 - 2022,10.09
,,2022 - 2023,13.63
,Dibrugarh,2000 - 2001,5.34
,,2001 - 2002,7.48
,,2002 - 2003,6.74
,,2003 - 2004,5.22
,,2004 - 2005,6.15
,,2005 - 2006,6.06
,,2006 - 2007,7.25
,,2007 - 2008,4.23
,,2008 - 2009,6.58
,,2009 - 2010,7.26
,,2010 - 2011,7.74
,,2011 - 2012,6.98
,,2012 - 2013,7.43
,,2013 - 2014,7.15
,,2014 - 2015,7.5
,,2015 - 2016,6.69
,,2016 - 2017,7.31
,,2017 - 2018,7.01
,,2018 - 2019,7.5
,,2019 - 2020,7.22
,,2020 - 2021,7.35
,,2021 - 2022,7.22
,,2022 - 2023,9.75
,Dima hasao,2000 - 2001,8.25
,,2001 - 2002,7.75
,,2002 - 2003,7.82
,,2003 - 2004,6.97
,,2004 - 2005,8.06
,,2005 - 2006,5.08
,,2006 - 2007,6.49
,,2007 - 2008,6.93
,,2008 - 2009,6.59
,,2009 - 2010,7.26
,,2010 - 2011,7.73
,,2011 - 2012,6.98
,,2012 - 2013,7.43
,,2013 - 2014,7.15
,,2014 - 2015,7.5
,,2015 - 2016,6.68
,,2016 - 2017,7.31
,,2017 - 2018,7.01
,,2018 - 2019,7.49
,,2019 - 2020,7.22
,,2020 - 2021,7.35
,,2021 - 2022,7.22
,,2022 - 2023,9.75
,Goalpara,2000 - 2001,7.35
,,2001 - 2002,6.79
,,2002 - 2003,8.06
,,2003 - 2004,8.7
,,2004 - 2005,6.02
,,2005 - 2006,6.16
,,2006 - 2007,6.82
,,2007 - 2008,7.55
,,2008 - 2009,8.41
,,2009 - 2010,7.27
,,2010 - 2011,13.92
,,2011 - 2012,8.24
,,2012 - 2013,8.81
,,2013 - 2014,10.06
,,2014 - 2015,8.11
,,2015 - 2016,6.68
,,2016 - 2017,6.77
,,2017 - 2018,6.73
,,2018 - 2019,7.15
,,2019 - 2020,7.97
,,2020 - 2021,7.74
,,2021 - 2022,10.44
,,2022 - 2023,11.85
,Golaghat,2000 - 2001,7.64
,,2001 - 2002,7.12
,,2002 - 2003,9.21
,,2003 - 2004,7.76
,,2004 - 2005,7.69
,,2005 - 2006,8.31
,,2006 - 2007,8.95
,,2007 - 2008,8.0
,,2008 - 2009,8.75
,,2009 - 2010,8.98
,,2010 - 2011,7.14
,,2011 - 2012,8.68
,,2012 - 2013,8.4
,,2013 - 2014,7.02
,,2014 - 2015,7.66
,,2015 - 2016,6.31
,,2016 - 2017,8.09
,,2017 - 2018,8.26
,,2018 - 2019,7.03
,,2019 - 2020,8.16
,,2020 - 2021,6.96
,,2021 - 2022,5.75
,,2022 - 2023,12.44
,Hailakandi,2000 - 2001,3.72
,,2001 - 2002,4.57
,,2002 - 2003,5.62
,,2003 - 2004,4.13
,,2004 - 2005,3.9
,,2005 - 2006,3.92
,,2006 - 2007,3.53
,,2007 - 2008,3.43
,,2008 - 2009,3.97
,,2009 - 2010,4.1
,,2010 - 2011,4.2
,,2011 - 2012,5.47
,,2012 - 2013,5.82
,,2013 - 2014,4.82
,,2014 - 2015,5.1
,,2015 - 2016,4.86
,,2016 - 2017,5.76
,,2017 - 2018,7.59
,,2018 - 2019,6.67
,,2019 - 2020,8.58
,,2020 - 2021,13.33
,,2021 - 2022,10.21
,,2022 - 2023,9.75
,Hojai,2020 - 2021,7.35
,,2021 - 2022,7.83
,,2022 - 2023,12.14
,Jorhat,2000 - 2001,9.76
,,2001 - 2002,7.08
,,2002 - 2003,5.96
,,2003 - 2004,5.72
,,2004 - 2005,6.09
,,2005 - 2006,5.24
,,2006 - 2007,5.51
,,2007 - 2008,3.9
,,2008 - 2009,5.29
,,2009 - 2010,4.36
,,2010 - 2011,5.04
,,2011 - 2012,7.09
,,2012 - 2013,6.58
,,2013 - 2014,6.29
,,2014 - 2015,7.15
,,2015 - 2016,7.27
,,2016 - 2017,7.98
,,2017 - 2018,7.97
,,2018 - 2019,7.72
,,2019 - 2020,6.73
,,2020 - 2021,4.85
,,2021 - 2022,5.78
,,2022 - 2023,10.88
,Kamrup,2000 - 2001,8.07
,,2001 - 2002,6.67
,,2002 - 2003,6.57
,,2003 - 2004,9.31
,,2004 - 2005,7.55
,,2005 - 2006,6.55
,,2006 - 2007,9.65
,,2007 - 2008,10.49
,,2008 - 2009,11.18
,,2009 - 2010,12.2
,,2010 - 2011,13.62
,,2011 - 2012,9.42
,,2012 - 2013,6.99
,,2013 - 2014,7.76
,,2014 - 2015,12.09
,,2015 - 2016,7.21
,,2016 - 2017,7.39
,,2017 - 2018,7.59
,,2018 - 2019,7.09
,,2019 - 2020,9.81
,,2020 - 2021,10.61
,,2021 - 2022,7.62
,,2022 - 2023,8.26
,Kamrup metro,2005 - 2006,5.77
,,2006 - 2007,9.1
,,2007 - 2008,6.93
,,2008 - 2009,6.58
,,2009 - 2010,7.26
