state,district,year,potato_whole_year_yield_tonne_per_hectare
,,2019 - 2020,6.54
,,2020 - 2021,7.21
,,2021 - 2022,5.55
,,2022 - 2023,9.27
,Nagaon,2000 - 2001,10.52
,,2001 - 2002,9.69
,,2002 - 2003,11.17
,,2003 - 2004,7.42
,,2004 - 2005,10.08
,,2005 - 2006,7.69
,,2006 - 2007,6.04
,,2007 - 2008,5.81
,,2008 - 2009,5.13
,,2009 - 2010,5.79
,,2010 - 2011,8.44
,,2011 - 2012,7.61
,,2012 - 2013,7.37
,,2013 - 2014,10.61
,,2014 - 2015,9.36
,,2015 - 2016,6.63
,,2016 - 2017,6.52
,,2017 - 2018,4.74
,,2018 - 2019,5.93
,,2019 - 2020,6.54
,,2020 - 2021,6.65
,,2021 - 2022,10.7
,,2022 - 2023,11.04
,Nalbari,2000 - 2001,8.09
,,2001 - 2002,7.63
,,2002 - 2003,7.25
,,2003 - 2004,6.41
,,2004 - 2005,7.3
,,2005 - 2006,5.25
,,2006 - 2007,5.96
,,2007 - 2008,7.87
,,2008 - 2009,6.66
,,2009 - 2010,8.78
,,2010 - 2011,8.22
,,2011 - 2012,6.25
,,2012 - 2013,6.02
,,2013 - 2014,6.42
,,2014 - 2015,6.49
,,2015 - 2016,6.16
,,2016 - 2017,7.53
,,2017 - 2018,5.93
,,2018 - 2019,6.76
,,2019 - 2020,5.71
,,2020 - 2021,6.82
,,2021 - 2022,8.59
,,2022 - 2023,9.4
,Sivasagar,2000 - 2001,6.65
,,2001 - 2002,6.63
,,2002 - 2003,6.68
,,2003 - 2004,5.28
,,2004 - 2005,9.79
,,2005 - 2006,4.65
,,2006 - 2007,5.87
,,2007 - 2008,5.54
,,2008 - 2009,4.8
,,2009 - 2010,6.13
,,2010 - 2011,7.33
,,2011 - 2012,6.26
,,2012 - 2013,4.42
,,2013 - 2014,6.11
,,2014 - 2015,6.4
,,2015 - 2016,5.79
,,2016 - 2017,5.38
,,2017 - 2018,6.04
,,2018 - 2019,6.5
,,2019 - 2020,5.57
,,2020 - 2021,4.54
,,2021 - 2022,5.44
,,2022 - 2023,4.12
,Sonitpur,2000 - 2001,9.05
,,2001 - 2002,7.9
,,2002 - 2003,7.12
,,2003 - 2004,6.61
,,2004 - 2005,7.95
,,2005 - 2006,7.17
,,2006 - 2007,7.05
,,2007 - 2008,6.44
,,2008 - 2009,7.45
,,2009 - 2010,9.03
,,2010 - 2011,7.75
,,2011 - 2012,7.75
,,2012 - 2013,6.77
,,2013 - 2014,7.29
,,2014 - 2015,7.01
,,2015 - 2016,7.6
,,2016 - 2017,7.26
,,2017 - 2018,7.44
,,2018 - 2019,7.36
,,2019 - 2020,7.14
,,2020 - 2021,7.0
,,2021 - 2022,6.73
,,2022 - 2023,6.92
,South salmara mancachar,2020 - 2021,9.67
,,2021 - 2022,7.69
,,2022 - 2023,11.42
,Tinsukia,2000 - 2001,7.55
,,2001 - 2002,6.44
,,2002 - 2003,9.32
,,2003 - 2004,4.8
,,2004 - 2005,6.71
,,2005 - 2006,5.4
,,2006 - 2007,4.89
,,2007 - 2008,5.39
,,2008 - 2009,3.9
,,2009 - 2010,3.73
,,2010 - 2011,4.77
,,2011 - 2012,8.02
,,2012 - 2013,4.58
,,2013 - 2014,3.45
,,2014 - 2015,6.51
,,2015 - 2016,5.25
,,2016 - 2017,4.68
,,2017 - 2018,5.01
,,2018 - 2019,4.55
,,2019 - 2020,5.71
,,2020 - 2021,5.08
,,2021 - 2022,4.7
,,2022 - 2023,5.91
,Udalguri,2005 - 2006,2.48
,,2006 - 2007,5.14
,,2007 - 2008,7.09
,,2008 - 2009,4.97
,,2009 - 2010,8.17
,,2010 - 2011,6.28
,,2011 - 2012,4.18
,,2012 - 2013,4.85
,,2013 - 2014,3.01
,,2014 - 2015,5.82
,,2015 - 2016,5.22
,,2016 - 2017,6.66
,,2017 - 2018,5.29
,,2018 - 2019,7.06
,,2019 - 2020,5.34
,,2020 - 2021,5.22
,,2021 - 2022,6.44
,,2022 - 2023,10.56
,West karbi anglong,2020 - 2021,7.35
,,2021 - 2022,7.22
,,2022 - 2023,9.75
Bihar,Araria,2000 - 2001,7.94
,,2001 - 2002,7.95
,,2002 - 2003,10.78
,,2003 - 2004,7.7
,,2004 - 2005,8.11
,,2005 - 2006,10.42
,,2007 - 2008,10.29
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Arwal,2003 - 2004,8.66
,,2004 - 2005,6.43
,,2005 - 2006,5.98
,,2007 - 2008,4.98
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aurangabad,2000 - 2001,6.73
,,2001 - 2002,8.76
,,2002 - 2003,9.26
,,2003 - 2004,9.15
,,2004 - 2005,6.44
,,2005 - 2006,6.11
,,2007 - 2008,5.07
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banka,2000 - 2001,8.07
,,2001 - 2002,10.07
,,2002 - 2003,7.82
,,2003 - 2004,9.38
,,2004 - 2005,7.5
,,2005 - 2006,8.34
,,2007 - 2008,8.09
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Begusarai,2000 - 2001,11.55
,,2001 - 2002,10.15
,,2002 - 2003,10.58
,,2003 - 2004,10.97
,,2004 - 2005,10.01
,,2005 - 2006,8.77
,,2007 - 2008,8.8
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhagalpur,2000 - 2001,8.07
,,2001 - 2002,10.15
,,2002 - 2003,8.56
,,2003 - 2004,9.4
,,2004 - 2005,7.54
,,2005 - 2006,8.4
,,2007 - 2008,8.08
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bhojpur,2000 - 2001,10.89
,,2001 - 2002,14.05
,,2002 - 2003,10.52
,,2003 - 2004,12.21
,,2004 - 2005,8.58
,,2005 - 2006,8.94
,,2007 - 2008,7.81
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Buxar,2000 - 2001,11.73
,,2001 - 2002,9.81
,,2002 - 2003,9.28
,,2003 - 2004,11.88
,,2004 - 2005,8.64
,,2005 - 2006,9.0
,,2007 - 2008,7.86
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Darbhanga,2000 - 2001,11.89
,,2001 - 2002,11.49
,,2002 - 2003,9.13
,,2003 - 2004,8.76
,,2004 - 2005,7.45
,,2005 - 2006,10.19
,,2007 - 2008,8.63
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaya,2000 - 2001,6.91
,,2001 - 2002,7.96
,,2002 - 2003,8.98
,,2003 - 2004,7.93
,,2004 - 2005,5.93
,,2005 - 2006,5.96
,,2007 - 2008,4.94
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gopalganj,2000 - 2001,9.66
,,2001 - 2002,11.01
,,2002 - 2003,9.03
,,2003 - 2004,8.58
,,2004 - 2005,9.37
,,2005 - 2006,11.5
,,2007 - 2008,6.6
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jamui,2000 - 2001,10.89
,,2001 - 2002,10.01
,,2002 - 2003,9.96
,,2003 - 2004,10.94
,,2004 - 2005,9.39
,,2005 - 2006,8.58
,,2007 - 2008,8.82
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jehanabad,2000 - 2001,7.86
,,2001 - 2002,7.79
,,2002 - 2003,9.19
,,2003 - 2004,11.35
,,2004 - 2005,6.45
,,2005 - 2006,5.97
,,2007 - 2008,4.93
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kaimur (bhabua),2000 - 2001,10.97
,,2001 - 2002,14.51
,,2002 - 2003,15.16
,,2003 - 2004,12.52
,,2004 - 2005,8.73
,,2005 - 2006,10.56
,,2007 - 2008,7.68
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Katihar,2000 - 2001,4.86
,,2001 - 2002,5.99
,,2002 - 2003,6.25
,,2003 - 2004,6.53
,,2004 - 2005,6.39
,,2005 - 2006,8.32
,,2007 - 2008,7.5
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Khagaria,2000 - 2001,11.34
,,2001 - 2002,10.2
,,2002 - 2003,10.0
,,2003 - 2004,11.56
,,2004 - 2005,10.8
,,2005 - 2006,8.86
,,2007 - 2008,9.11
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kishanganj,2000 - 2001,7.64
,,2001 - 2002,7.46
,,2002 - 2003,8.4
,,2003 - 2004,8.18
,,2004 - 2005,7.35
,,2005 - 2006,8.39
,,2007 - 2008,7.65
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lakhisarai,2000 - 2001,11.7
,,2001 - 2002,10.38
,,2002 - 2003,9.99
,,2003 - 2004,9.9
,,2004 - 2005,7.44
,,2005 - 2006,8.39
,,2007 - 2008,8.33
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhepura,2000 - 2001,12.32
,,2001 - 2002,12.46
,,2002 - 2003,11.75
,,2003 - 2004,11.36
,,2004 - 2005,7.84
,,2005 - 2006,10.92
,,2007 - 2008,13.57
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Madhubani,2000 - 2001,15.11
,,2001 - 2002,21.89
,,2002 - 2003,13.31
,,2003 - 2004,14.23
,,2004 - 2005,11.02
,,2005 - 2006,11.05
,,2007 - 2008,9.97
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Munger,2000 - 2001,11.49
,,2001 - 2002,10.15
,,2002 - 2003,10.52
,,2003 - 2004,10.82
,,2004 - 2005,9.84
,,2005 - 2006,8.67
,,2007 - 2008,8.72
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Muzaffarpur,2000 - 2001,8.12
,,2001 - 2002,8.06
,,2002 - 2003,8.5
,,2003 - 2004,8.34
,,2004 - 2005,8.96
,,2005 - 2006,6.05
,,2007 - 2008,8.37
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nalanda,2000 - 2001,13.62
,,2001 - 2002,14.75
,,2002 - 2003,19.0
,,2003 - 2004,15.03
,,2004 - 2005,9.29
,,2005 - 2006,9.26
,,2007 - 2008,6.71
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Nawada,2000 - 2001,6.92
,,2001 - 2002,7.76
,,2002 - 2003,8.66
,,2003 - 2004,8.53
,,2004 - 2005,6.17
,,2005 - 2006,5.84
,,2007 - 2008,4.94
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pashchim champaran,2000 - 2001,8.96
,,2001 - 2002,8.84
,,2002 - 2003,8.45
,,2003 - 2004,8.73
,,2004 - 2005,7.38
,,2005 - 2006,8.95
,,2007 - 2008,8.8
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Patna,2000 - 2001,11.91
,,2001 - 2002,13.12
,,2002 - 2003,11.24
,,2003 - 2004,9.6
,,2004 - 2005,8.21
,,2005 - 2006,7.5
,,2007 - 2008,8.83
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purbi champaran,2000 - 2001,10.87
,,2001 - 2002,11.93
,,2002 - 2003,10.82
,,2003 - 2004,11.71
,,2004 - 2005,10.36
,,2005 - 2006,9.03
,,2007 - 2008,5.23
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Purnia,2000 - 2001,8.08
,,2001 - 2002,7.96
,,2002 - 2003,8.36
,,2003 - 2004,8.11
,,2004 - 2005,7.4
,,2005 - 2006,8.91
,,2007 - 2008,5.5
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rohtas,2000 - 2001,13.24
,,2001 - 2002,13.54
,,2002 - 2003,16.99
,,2003 - 2004,12.24
,,2004 - 2005,8.68
,,2005 - 2006,15.83
,,2007 - 2008,7.8
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saharsa,2000 - 2001,12.66
,,2001 - 2002,13.1
,,2002 - 2003,12.42
,,2003 - 2004,11.85
,,2004 - 2005,7.69
,,2005 - 2006,12.44
,,2007 - 2008,13.64
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Samastipur,2000 - 2001,10.26
,,2001 - 2002,9.26
,,2002 - 2003,8.54
,,2003 - 2004,6.64
,,2004 - 2005,3.44
,,2005 - 2006,7.05
,,2007 - 2008,8.02
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saran,2000 - 2001,7.61
,,2001 - 2002,7.66
,,2002 - 2003,7.19
,,2003 - 2004,10.17
,,2004 - 2005,9.28
,,2005 - 2006,10.2
,,2007 - 2008,10.49
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheikhpura,2000 - 2001,10.43
,,2001 - 2002,10.01
,,2002 - 2003,10.17
,,2003 - 2004,9.44
,,2004 - 2005,7.19
,,2005 - 2006,8.59
,,2007 - 2008,8.72
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sheohar,2000 - 2001,8.14
,,2001 - 2002,9.19
,,2002 - 2003,8.49
,,2003 - 2004,8.63
,,2004 - 2005,8.63
,,2005 - 2006,7.32
,,2007 - 2008,7.21
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sitamarhi,2000 - 2001,11.68
,,2001 - 2002,14.33
,,2002 - 2003,12.79
,,2003 - 2004,11.13
,,2004 - 2005,8.61
,,2005 - 2006,7.33
,,2007 - 2008,7.4
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siwan,2000 - 2001,8.86
,,2001 - 2002,8.61
,,2002 - 2003,10.51
,,2003 - 2004,8.78
,,2004 - 2005,8.5
,,2005 - 2006,7.07
,,2007 - 2008,8.68
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Supaul,2000 - 2001,14.35
,,2001 - 2002,13.21
,,2002 - 2003,12.8
,,2003 - 2004,12.15
,,2004 - 2005,7.7
,,2005 - 2006,13.88
,,2007 - 2008,13.51
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Vaishali,2000 - 2001,6.1
,,2001 - 2002,6.59
,,2002 - 2003,6.64
,,2003 - 2004,6.5
,,2004 - 2005,6.02
,,2005 - 2006,5.33
,,2007 - 2008,7.09
,,2008 - 2009,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Chandigarh,Chandigarh,2000 - 2001,25.0
,,2001 - 2002,25.0
,,2002 - 2003,26.0
,,2003 - 2004,20.0
,,2004 - 2005,18.0
,,2005 - 2006,18.0
,,2006 - 2007,16.0
,,2007 - 2008,17.0
,,2008 - 2009,20.0
,,2009 - 2010,19.44
,,2010 - 2011,20.0
,,2011 - 2012,16.5
,,2012 - 2013,16.6
,,2013 - 2014,16.6
,,2014 - 2015,15.0
,,2015 - 2016,15.5
Chhattisgarh,Baloda bazar,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Balrampur,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bastar,2000 - 2001,7.82
,,2001 - 2002,7.39
,,2002 - 2003,7.65
,,2003 - 2004,5.57
,,2004 - 2005,6.88
,,2005 - 2006,5.02
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.87
,,2010 - 2011,5.65
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bemetara,2011 - 2012,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Bilaspur,2000 - 2001,6.77
,,2001 - 2002,6.75
,,2002 - 2003,7.22
,,2003 - 2004,5.0
,,2004 - 2005,6.08
,,2005 - 2006,4.58
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.87
,,2010 - 2011,5.34
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dantewada,2000 - 2001,7.0
,,2001 - 2002,5.0
,,2002 - 2003,5.0
,,2003 - 2004,4.5
,,2004 - 2005,4.5
,,2005 - 2006,4.0
,,2006 - 2007,
,,2010 - 2011,9.0
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,Dhamtari,2000 - 2001,9.73
,,2001 - 2002,8.33
,,2002 - 2003,8.56
,,2003 - 2004,6.29
,,2004 - 2005,8.67
,,2005 - 2006,7.56
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,5.6
,,2010 - 2011,6.5
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2021 - 2022,
,,2022 - 2023,
,Durg,2000 - 2001,6.67
,,2001 - 2002,6.0
,,2002 - 2003,6.5
,,2003 - 2004,5.39
,,2004 - 2005,5.68
,,2005 - 2006,6.55
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.5
,,2010 - 2011,6.5
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,
,,2021 - 2022,
,Gariyaband,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gaurella-pendra-marwahi,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Janjgir-champa,2000 - 2001,7.25
,,2001 - 2002,7.2
,,2002 - 2003,6.4
,,2003 - 2004,5.09
,,2004 - 2005,5.17
,,2005 - 2006,4.58
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.87
,,2010 - 2011,5.34
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Jashpur,2000 - 2001,7.22
,,2001 - 2002,6.83
,,2002 - 2003,6.38
,,2003 - 2004,5.07
,,2004 - 2005,6.16
,,2005 - 2006,4.47
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.47
,,2010 - 2011,5.16
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kabirdham,2000 - 2001,6.39
,,2001 - 2002,6.36
,,2002 - 2003,5.94
,,2003 - 2004,4.64
,,2004 - 2005,5.72
,,2005 - 2006,5.11
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,3.47
,,2010 - 2011,4.44
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Kanker,2000 - 2001,7.57
,,2001 - 2002,7.2
,,2002 - 2003,8.0
,,2003 - 2004,6.0
,,2004 - 2005,6.0
,,2005 - 2006,6.0
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,5.0
,,2010 - 2011,5.67
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,Khairgarh chhuikhadan gandai,2022 - 2023,
,Kondagaon,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Korba,2000 - 2001,6.29
,,2001 - 2002,6.53
,,2002 - 2003,6.06
,,2003 - 2004,4.29
,,2004 - 2005,4.39
,,2005 - 2006,3.73
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,3.67
,,2010 - 2011,4.48
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Korea,2000 - 2001,7.29
,,2001 - 2002,5.49
,,2002 - 2003,6.3
,,2003 - 2004,4.21
,,2004 - 2005,4.68
,,2005 - 2006,3.32
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,3.26
,,2010 - 2011,4.59
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahasamund,2000 - 2001,8.94
,,2001 - 2002,8.32
,,2002 - 2003,5.45
,,2003 - 2004,6.27
,,2004 - 2005,6.99
,,2005 - 2006,5.08
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,5.26
,,2010 - 2011,5.93
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Manendragarh chirimiri bharatpur,2022 - 2023,
,Mohla manpur ambagarh chouki,2022 - 2023,
,Mungeli,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Narayanpur,2007 - 2008,
,,2008 - 2009,
,,2010 - 2011,9.0
,,2011 - 2012,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Raigarh,2000 - 2001,6.85
,,2001 - 2002,6.83
,,2002 - 2003,6.36
,,2003 - 2004,5.07
,,2004 - 2005,5.74
,,2005 - 2006,4.56
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,4.47
,,2010 - 2011,5.23
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
