state,district,year,potato_rabi_yield_tonne_per_hectare
,,2016 - 2017,13.63
,,2017 - 2018,14.3
,,2018 - 2019,12.79
,,2019 - 2020,13.75
,,2020 - 2021,15.34
,,2021 - 2022,17.25
,,2022 - 2023,17.89
,Bhojpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.07
,,2016 - 2017,12.87
,,2017 - 2018,14.32
,,2018 - 2019,18.75
,,2019 - 2020,15.0
,,2020 - 2021,32.91
,,2021 - 2022,18.34
,,2022 - 2023,21.21
,Buxar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.07
,,2016 - 2017,21.19
,,2017 - 2018,25.3
,,2018 - 2019,18.75
,,2019 - 2020,18.43
,,2020 - 2021,32.92
,,2021 - 2022,18.34
,,2022 - 2023,21.21
,Darbhanga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,2.28
,,2016 - 2017,12.62
,,2017 - 2018,14.02
,,2018 - 2019,12.57
,,2019 - 2020,12.94
,,2020 - 2021,12.47
,,2021 - 2022,18.98
,,2022 - 2023,18.44
,Gaya,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.06
,,2016 - 2017,25.53
,,2017 - 2018,11.66
,,2018 - 2019,12.44
,,2019 - 2020,8.33
,,2020 - 2021,9.11
,,2021 - 2022,19.3
,,2022 - 2023,21.14
,Gopalganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,4.97
,,2016 - 2017,9.34
,,2017 - 2018,10.24
,,2018 - 2019,11.34
,,2019 - 2020,10.92
,,2020 - 2021,13.51
,,2021 - 2022,12.17
,,2022 - 2023,11.63
,Jamui,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,1.41
,,2016 - 2017,13.63
,,2017 - 2018,12.57
,,2018 - 2019,16.61
,,2019 - 2020,13.92
,,2020 - 2021,19.84
,,2021 - 2022,12.56
,,2022 - 2023,12.44
,Jehanabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.06
,,2016 - 2017,25.53
,,2017 - 2018,11.66
,,2018 - 2019,12.43
,,2019 - 2020,8.33
,,2020 - 2021,9.1
,,2021 - 2022,19.3
,,2022 - 2023,21.15
,Kaimur (bhabua),2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.07
,,2016 - 2017,21.19
,,2017 - 2018,
,,2018 - 2019,18.73
,,2019 - 2020,18.43
,,2020 - 2021,32.44
,,2021 - 2022,18.34
,,2022 - 2023,21.21
,Katihar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,1.86
,,2016 - 2017,10.58
,,2017 - 2018,14.3
,,2018 - 2019,7.44
,,2019 - 2020,13.75
,,2020 - 2021,11.72
,,2021 - 2022,18.74
,,2022 - 2023,20.65
,Khagaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,1.41
,,2016 - 2017,13.63
,,2017 - 2018,12.57
,,2018 - 2019,16.61
,,2019 - 2020,13.92
,,2020 - 2021,19.84
,,2021 - 2022,12.56
,,2022 - 2023,12.43
,Kishanganj,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,3.15
,,2016 - 2017,10.58
,,2017 - 2018,14.3
,,2018 - 2019,7.44
,,2019 - 2020,13.75
,,2020 - 2021,12.35
,,2021 - 2022,18.74
,,2022 - 2023,20.65
,Lakhisarai,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2016 - 2017,13.63
,,2017 - 2018,12.57
,,2018 - 2019,16.59
,,2019 - 2020,13.92
,,2020 - 2021,19.84
,,2021 - 2022,12.56
,,2022 - 2023,12.43
,Madhepura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,5.33
,,2016 - 2017,13.63
,,2017 - 2018,14.3
,,2018 - 2019,12.78
,,2019 - 2020,13.75
,,2020 - 2021,7.57
,,2021 - 2022,32.51
,,2022 - 2023,30.24
,Madhubani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,7.63
,,2016 - 2017,11.75
,,2017 - 2018,15.38
,,2018 - 2019,16.37
,,2019 - 2020,15.83
,,2020 - 2021,12.47
,,2021 - 2022,18.98
,,2022 - 2023,18.44
,Munger,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,1.41
,,2016 - 2017,13.63
,,2017 - 2018,12.57
,,2018 - 2019,16.61
,,2019 - 2020,13.92
,,2020 - 2021,19.84
,,2021 - 2022,12.56
,,2022 - 2023,12.43
,Muzaffarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,3.85
,,2016 - 2017,8.17
,,2017 - 2018,6.97
,,2018 - 2019,6.62
,,2019 - 2020,6.59
,,2020 - 2021,5.37
,,2021 - 2022,5.95
,,2022 - 2023,8.54
,Nalanda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,3.79
,,2016 - 2017,28.79
,,2017 - 2018,41.73
,,2018 - 2019,22.76
,,2019 - 2020,26.93
,,2020 - 2021,32.92
,,2021 - 2022,21.03
,,2022 - 2023,30.33
,Nawada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.06
,,2016 - 2017,25.53
,,2017 - 2018,11.66
,,2018 - 2019,12.43
,,2019 - 2020,8.33
,,2020 - 2021,9.11
,,2021 - 2022,19.3
,,2022 - 2023,21.15
,Pashchim champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,10.87
,,2016 - 2017,7.98
,,2017 - 2018,14.08
,,2018 - 2019,11.0
,,2019 - 2020,12.6
,,2020 - 2021,14.32
,,2021 - 2022,12.52
,,2022 - 2023,17.52
,Patna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,7.66
,,2016 - 2017,15.98
,,2017 - 2018,14.59
,,2018 - 2019,13.87
,,2019 - 2020,12.22
,,2020 - 2021,32.91
,,2021 - 2022,14.84
,,2022 - 2023,13.55
,Purbi champaran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,8.77
,,2016 - 2017,4.3
,,2017 - 2018,8.38
,,2018 - 2019,15.27
,,2019 - 2020,18.01
,,2020 - 2021,20.03
,,2021 - 2022,18.9
,,2022 - 2023,19.47
,Purnia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,4.48
,,2016 - 2017,10.58
,,2017 - 2018,14.3
,,2018 - 2019,7.43
,,2019 - 2020,13.74
,,2020 - 2021,12.36
,,2021 - 2022,18.74
,,2022 - 2023,20.65
,Rohtas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,10.35
,,2016 - 2017,21.19
,,2017 - 2018,25.3
,,2018 - 2019,18.75
,,2019 - 2020,18.43
,,2020 - 2021,32.92
,,2021 - 2022,18.34
,,2022 - 2023,21.21
,Saharsa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,5.33
,,2016 - 2017,13.63
,,2017 - 2018,14.3
,,2018 - 2019,12.78
,,2019 - 2020,13.75
,,2020 - 2021,7.58
,,2021 - 2022,32.51
,,2022 - 2023,30.24
,Samastipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,0.47
,,2016 - 2017,12.72
,,2017 - 2018,13.59
,,2018 - 2019,12.09
,,2019 - 2020,12.53
,,2020 - 2021,12.47
,,2021 - 2022,18.98
,,2022 - 2023,18.44
,Saran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,9.19
,,2016 - 2017,9.34
,,2017 - 2018,13.09
,,2018 - 2019,16.78
,,2019 - 2020,21.57
,,2020 - 2021,16.54
,,2021 - 2022,20.0
,,2022 - 2023,13.39
,Sheikhpura,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,1.41
,,2016 - 2017,13.63
,,2017 - 2018,12.57
,,2018 - 2019,16.61
,,2019 - 2020,13.92
,,2020 - 2021,19.84
,,2021 - 2022,12.56
,,2022 - 2023,12.43
,Sheohar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,7.56
,,2016 - 2017,9.62
,,2017 - 2018,11.37
,,2018 - 2019,11.46
,,2019 - 2020,12.33
,,2020 - 2021,11.97
,,2021 - 2022,12.58
,,2022 - 2023,19.11
,Sitamarhi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,7.56
,,2016 - 2017,11.3
,,2017 - 2018,11.13
,,2018 - 2019,13.02
,,2019 - 2020,13.47
,,2020 - 2021,12.32
,,2021 - 2022,10.12
,,2022 - 2023,15.25
,Siwan,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,6.49
,,2016 - 2017,13.18
,,2017 - 2018,14.51
,,2018 - 2019,7.57
,,2019 - 2020,11.37
,,2020 - 2021,11.42
,,2021 - 2022,12.7
,,2022 - 2023,13.52
,Supaul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,5.33
,,2016 - 2017,13.63
,,2017 - 2018,14.3
,,2018 - 2019,12.79
,,2019 - 2020,13.75
,,2020 - 2021,7.58
,,2021 - 2022,32.52
,,2022 - 2023,30.24
,Vaishali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,8.02
,,2016 - 2017,14.46
,,2017 - 2018,16.3
,,2018 - 2019,12.31
,,2019 - 2020,13.15
,,2020 - 2021,11.58
,,2021 - 2022,17.85
,,2022 - 2023,14.99
Chandigarh,Chandigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
Chhattisgarh,Baloda bazar,2011 - 2012,7.38
,,2012 - 2013,9.72
,,2013 - 2014,9.53
,,2014 - 2015,9.0
,,2015 - 2016,9.64
,,2016 - 2017,5.05
,,2017 - 2018,4.61
,,2018 - 2019,5.5
,,2019 - 2020,7.04
,,2020 - 2021,8.02
,,2021 - 2022,7.5
,Balrampur,2011 - 2012,5.06
,,2012 - 2013,6.9
,,2013 - 2014,4.88
,,2014 - 2015,5.34
,,2015 - 2016,6.12
,,2016 - 2017,4.45
,,2017 - 2018,4.71
,,2018 - 2019,4.75
,,2019 - 2020,5.61
,,2020 - 2021,6.56
,,2021 - 2022,6.24
,,2022 - 2023,5.5
,Bastar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.37
,,2007 - 2008,5.26
,,2008 - 2009,5.27
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.19
,,2012 - 2013,7.02
,,2013 - 2014,5.19
,,2014 - 2015,6.6
,,2015 - 2016,7.46
,,2016 - 2017,4.53
,,2017 - 2018,14.0
,,2018 - 2019,4.86
,,2019 - 2020,6.41
,,2020 - 2021,6.94
,,2021 - 2022,6.83
,,2022 - 2023,6.0
,Bemetara,2011 - 2012,6.67
,,2012 - 2013,6.0
,,2014 - 2015,6.0
,,2015 - 2016,9.7
,,2016 - 2017,4.0
,,2018 - 2019,5.0
,,2019 - 2020,10.0
,,2020 - 2021,7.18
,,2021 - 2022,8.46
,,2022 - 2023,6.6
,Bilaspur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.98
,,2007 - 2008,4.64
,,2008 - 2009,4.82
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.71
,,2012 - 2013,7.29
,,2013 - 2014,5.49
,,2014 - 2015,6.52
,,2015 - 2016,7.14
,,2016 - 2017,4.49
,,2017 - 2018,4.86
,,2018 - 2019,5.35
,,2019 - 2020,6.34
,,2020 - 2021,7.35
,,2021 - 2022,6.78
,,2022 - 2023,6.75
,Dantewada,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,8.0
,,2010 - 2011,
,,2011 - 2012,8.0
,,2012 - 2013,7.0
,,2013 - 2014,8.0
,,2014 - 2015,6.0
,,2015 - 2016,5.67
,,2016 - 2017,5.5
,,2017 - 2018,0.29
,,2018 - 2019,4.25
,,2020 - 2021,
,Dhamtari,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.75
,,2007 - 2008,6.0
,,2008 - 2009,6.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,8.17
,,2012 - 2013,9.23
,,2013 - 2014,6.73
,,2014 - 2015,7.62
,,2015 - 2016,9.03
,,2016 - 2017,5.67
,,2017 - 2018,5.67
,,2018 - 2019,14.0
,,2019 - 2020,6.71
,,2021 - 2022,9.0
,,2022 - 2023,9.0
,Durg,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.79
,,2007 - 2008,4.81
,,2008 - 2009,3.62
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.0
,,2012 - 2013,7.0
,,2013 - 2014,
,,2018 - 2019,
,,2021 - 2022,
,Gariyaband,2011 - 2012,7.36
,,2012 - 2013,9.0
,,2013 - 2014,6.57
,,2014 - 2015,10.85
,,2015 - 2016,9.53
,,2016 - 2017,6.5
,,2017 - 2018,4.6
,,2018 - 2019,5.6
,,2019 - 2020,7.0
,,2020 - 2021,9.0
,,2021 - 2022,9.0
,,2022 - 2023,12.0
,Gaurella-pendra-marwahi,2019 - 2020,6.32
,,2020 - 2021,7.13
,,2021 - 2022,7.0
,,2022 - 2023,6.96
,Janjgir-champa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.99
,,2007 - 2008,4.96
,,2008 - 2009,4.82
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.71
,,2012 - 2013,6.05
,,2013 - 2014,5.76
,,2014 - 2015,6.51
,,2015 - 2016,7.73
,,2016 - 2017,4.86
,,2017 - 2018,4.86
,,2018 - 2019,6.68
,,2019 - 2020,6.84
,,2020 - 2021,7.35
,,2021 - 2022,7.9
,,2022 - 2023,7.75
,Jashpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.17
,,2007 - 2008,4.78
,,2008 - 2009,2.45
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.78
,,2012 - 2013,7.26
,,2013 - 2014,5.38
,,2014 - 2015,6.09
,,2015 - 2016,8.19
,,2016 - 2017,4.62
,,2017 - 2018,4.31
,,2018 - 2019,5.23
,,2019 - 2020,6.4
,,2020 - 2021,7.45
,,2021 - 2022,7.2
,,2022 - 2023,7.17
,Kabirdham,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.08
,,2007 - 2008,3.73
,,2008 - 2009,3.73
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.69
,,2012 - 2013,6.77
,,2013 - 2014,4.94
,,2014 - 2015,5.59
,,2015 - 2016,7.73
,,2016 - 2017,9.34
,,2017 - 2018,2.0
,,2018 - 2019,3.74
,,2019 - 2020,6.25
,,2020 - 2021,11.91
,,2021 - 2022,6.76
,,2022 - 2023,7.27
,Kanker,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.75
,,2007 - 2008,5.0
,,2008 - 2009,5.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.2
,,2012 - 2013,7.33
,,2013 - 2014,4.93
,,2014 - 2015,4.64
,,2015 - 2016,6.0
,,2016 - 2017,4.8
,,2017 - 2018,0.25
,,2018 - 2019,11.33
,,2019 - 2020,6.0
,,2020 - 2021,7.0
,Khairgarh chhuikhadan gandai,2022 - 2023,7.4
,Kondagaon,2011 - 2012,6.21
,,2012 - 2013,7.0
,,2013 - 2014,5.37
,,2014 - 2015,6.59
,,2015 - 2016,7.45
,,2016 - 2017,4.54
,,2017 - 2018,0.42
,,2018 - 2019,5.4
,,2019 - 2020,6.39
,,2020 - 2021,7.42
,,2021 - 2022,6.85
,,2022 - 2023,6.82
,Korba,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.06
,,2007 - 2008,4.16
,,2008 - 2009,4.82
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.71
,,2012 - 2013,6.08
,,2013 - 2014,5.32
,,2014 - 2015,6.52
,,2015 - 2016,5.94
,,2016 - 2017,4.49
,,2017 - 2018,4.86
,,2018 - 2019,5.95
,,2019 - 2020,5.39
,,2020 - 2021,6.75
,,2021 - 2022,7.89
,,2022 - 2023,6.63
,Korea,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.12
,,2007 - 2008,3.34
,,2008 - 2009,3.63
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.06
,,2012 - 2013,5.93
,,2013 - 2014,4.56
,,2014 - 2015,5.43
,,2015 - 2016,5.28
,,2016 - 2017,3.98
,,2017 - 2018,3.91
,,2018 - 2019,4.43
,,2019 - 2020,5.24
,,2020 - 2021,5.77
,,2021 - 2022,6.51
,,2022 - 2023,6.98
,Mahasamund,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.67
,,2007 - 2008,6.02
,,2008 - 2009,5.94
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,7.3
,,2012 - 2013,8.99
,,2013 - 2014,6.56
,,2014 - 2015,7.42
,,2015 - 2016,9.53
,,2016 - 2017,5.53
,,2017 - 2018,5.53
,,2018 - 2019,6.6
,,2019 - 2020,6.5
,,2020 - 2021,9.07
,,2021 - 2022,9.04
,,2022 - 2023,8.31
,Manendragarh chirimiri bharatpur,2022 - 2023,6.98
,Mohla manpur ambagarh chouki,2022 - 2023,7.5
,Mungeli,2011 - 2012,5.71
,,2012 - 2013,8.5
,,2013 - 2014,5.75
,,2014 - 2015,6.5
,,2015 - 2016,7.74
,,2016 - 2017,4.86
,,2017 - 2018,3.89
,,2018 - 2019,5.35
,,2019 - 2020,6.34
,,2020 - 2021,7.41
,,2021 - 2022,6.76
,,2022 - 2023,6.74
,Narayanpur,2007 - 2008,9.0
,,2008 - 2009,5.0
,,2010 - 2011,
,,2011 - 2012,6.0
,,2016 - 2017,8.0
,,2017 - 2018,0.0
,,2018 - 2019,5.27
,,2019 - 2020,5.58
,,2020 - 2021,13.0
,,2021 - 2022,6.0
,,2022 - 2023,6.0
,Raigarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.17
,,2007 - 2008,4.86
,,2008 - 2009,4.96
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.78
,,2012 - 2013,7.63
,,2013 - 2014,5.56
,,2014 - 2015,6.9
,,2015 - 2016,8.19
,,2016 - 2017,5.15
,,2017 - 2018,4.92
,,2018 - 2019,5.6
,,2019 - 2020,6.4
,,2020 - 2021,7.95
,,2021 - 2022,7.66
,,2022 - 2023,7.62
,Raipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.34
,,2007 - 2008,5.24
,,2008 - 2009,5.74
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,7.38
,,2012 - 2013,9.74
,,2013 - 2014,6.56
,,2014 - 2015,8.68
,,2015 - 2016,9.54
,,2016 - 2017,6.44
,,2017 - 2018,6.0
,,2018 - 2019,7.69
,,2019 - 2020,7.82
,,2020 - 2021,9.42
,,2021 - 2022,10.0
,,2022 - 2023,10.0
,Rajnandgaon,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,3.77
,,2007 - 2008,4.43
,,2008 - 2009,4.0
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,6.67
,,2012 - 2013,6.77
,,2013 - 2014,4.8
,,2014 - 2015,5.62
,,2015 - 2016,7.72
,,2016 - 2017,5.18
,,2017 - 2018,20.9
,,2018 - 2019,5.78
,,2019 - 2020,7.1
,,2020 - 2021,8.75
,,2021 - 2022,7.47
,,2022 - 2023,
,Sakti,2022 - 2023,7.55
,Sarangarh bilaigarh,2022 - 2023,11.5
,Sukma,2017 - 2018,0.0
,,2020 - 2021,13.0
,,2021 - 2022,9.5
,,2022 - 2023,9.5
,Surajpur,2011 - 2012,5.06
,,2012 - 2013,6.47
,,2013 - 2014,4.33
,,2014 - 2015,5.34
,,2015 - 2016,6.12
,,2016 - 2017,4.65
,,2017 - 2018,3.65
,,2018 - 2019,5.14
,,2019 - 2020,5.61
,,2020 - 2021,6.65
,,2021 - 2022,7.14
,,2022 - 2023,7.31
,Surguja,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,4.01
,,2007 - 2008,3.91
,,2008 - 2009,4.28
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,5.06
,,2012 - 2013,6.9
,,2013 - 2014,4.88
,,2014 - 2015,6.49
,,2015 - 2016,6.34
,,2016 - 2017,3.85
,,2017 - 2018,4.71
,,2018 - 2019,5.77
,,2019 - 2020,5.61
,,2020 - 2021,7.97
,,2021 - 2022,6.93
,,2022 - 2023,7.3
Delhi,Delhi_total,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
Gujarat,Ahmadabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2007 - 2008,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,Amreli,2013 - 2014,
,Anand,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Aravalli,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Banas kantha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Devbhumi dwarka,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Dohad,2014 - 2015,
,,2018 - 2019,
,Gandhinagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Gir somnath,2021 - 2022,
,Jamnagar,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
