state,district,year,guar_seed_kharif_yield_tonne_per_hectare
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pratapgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rajsamand,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sawai madhopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sikar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sirohi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tonk,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttar Pradesh,Agra,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.81
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Aligarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.81
,,2015 - 2016,0.83
,,2016 - 2017,0.71
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Allahabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.82
,,2008 - 2009,0.85
,,2009 - 2010,0.83
,,2010 - 2011,0.85
,,2011 - 2012,0.88
,,2012 - 2013,0.81
,,2013 - 2014,0.82
,,2014 - 2015,1.0
,,2015 - 2016,0.81
,,2016 - 2017,0.72
,,2017 - 2018,0.73
,,2018 - 2019,0.73
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.71
,,2022 - 2023,0.7
,Ambedkar nagar,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,0.84
,,2009 - 2010,0.82
,,2010 - 2011,0.83
,,2011 - 2012,0.81
,,2012 - 2013,0.79
,,2013 - 2014,0.83
,,2014 - 2015,0.81
,,2016 - 2017,0.73
,,2017 - 2018,0.73
,,2019 - 2020,0.67
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Amethi,2012 - 2013,1.0
,,2014 - 2015,0.86
,,2016 - 2017,0.67
,,2017 - 2018,0.75
,,2019 - 2020,0.7
,,2020 - 2021,0.71
,,2021 - 2022,0.75
,,2022 - 2023,0.67
,Amroha,2013 - 2014,1.0
,,2015 - 2016,0.75
,,2016 - 2017,1.0
,,2017 - 2018,0.5
,Auraiya,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.87
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.84
,,2011 - 2012,0.81
,,2012 - 2013,0.81
,,2013 - 2014,0.8
,,2014 - 2015,0.83
,,2015 - 2016,0.81
,,2016 - 2017,0.73
,,2017 - 2018,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.74
,Azamgarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.88
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.83
,,2011 - 2012,0.8
,,2012 - 2013,0.81
,,2013 - 2014,0.83
,,2014 - 2015,0.83
,,2015 - 2016,0.83
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2018 - 2019,0.73
,,2019 - 2020,0.72
,,2020 - 2021,0.7
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Bahraich,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.82
,,2011 - 2012,0.81
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Ballia,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.82
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2013 - 2014,0.78
,,2014 - 2015,0.79
,,2016 - 2017,0.74
,,2017 - 2018,0.72
,,2018 - 2019,0.71
,,2019 - 2020,0.72
,,2020 - 2021,0.73
,,2021 - 2022,0.72
,,2022 - 2023,0.71
,Balrampur,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.86
,,2008 - 2009,0.85
,,2009 - 2010,0.82
,,2010 - 2011,0.84
,,2011 - 2012,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2016 - 2017,0.71
,,2017 - 2018,0.7
,,2018 - 2019,0.72
,,2019 - 2020,0.74
,,2020 - 2021,0.72
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Banda,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.85
,,2008 - 2009,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.82
,,2011 - 2012,0.8
,,2012 - 2013,0.82
,,2013 - 2014,0.84
,,2014 - 2015,0.81
,,2016 - 2017,0.72
,,2017 - 2018,0.71
,,2018 - 2019,0.72
,,2019 - 2020,0.71
,,2020 - 2021,0.7
,,2021 - 2022,0.72
,,2022 - 2023,0.73
,Barabanki,2005 - 2006,
,,2007 - 2008,0.83
,,2008 - 2009,0.85
,,2009 - 2010,0.84
,,2010 - 2011,0.82
,,2011 - 2012,0.83
,,2012 - 2013,0.81
,,2013 - 2014,0.82
,,2014 - 2015,0.75
,,2015 - 2016,0.75
,,2016 - 2017,0.71
,,2017 - 2018,0.69
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.75
,,2022 - 2023,0.73
,Bareilly,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.75
,,2008 - 2009,0.85
,,2009 - 2010,0.87
,,2010 - 2011,0.85
,,2011 - 2012,0.79
,,2013 - 2014,0.82
,,2014 - 2015,0.81
,,2016 - 2017,0.72
,,2017 - 2018,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.7
,,2022 - 2023,0.68
,Basti,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.86
,,2008 - 2009,0.85
,,2009 - 2010,0.83
,,2010 - 2011,0.86
,,2011 - 2012,0.81
,,2012 - 2013,0.82
,,2014 - 2015,0.81
,,2015 - 2016,0.84
,,2016 - 2017,0.72
,,2017 - 2018,0.73
,,2018 - 2019,0.73
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Bijnor,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.86
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.81
,,2012 - 2013,0.84
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.83
,,2016 - 2017,0.72
,,2017 - 2018,0.7
,,2019 - 2020,0.73
,,2020 - 2021,0.73
,,2021 - 2022,0.7
,,2022 - 2023,0.72
,Budaun,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.82
,,2008 - 2009,0.81
,,2009 - 2010,0.8
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,0.8
,,2013 - 2014,0.83
,,2015 - 2016,0.83
,,2016 - 2017,0.73
,,2017 - 2018,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Bulandshahr,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2013 - 2014,0.8
,,2014 - 2015,0.86
,,2016 - 2017,0.69
,,2017 - 2018,0.72
,,2018 - 2019,0.5
,,2019 - 2020,0.73
,,2020 - 2021,0.71
,,2021 - 2022,0.7
,,2022 - 2023,0.71
,Chandauli,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.82
,,2008 - 2009,0.83
,,2009 - 2010,0.8
,,2010 - 2011,0.84
,,2011 - 2012,0.82
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.83
,,2016 - 2017,0.69
,,2017 - 2018,0.69
,,2019 - 2020,0.7
,,2020 - 2021,0.75
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Chitrakoot,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.83
,,2009 - 2010,0.83
,,2010 - 2011,0.85
,,2011 - 2012,0.83
,,2012 - 2013,0.81
,,2013 - 2014,0.84
,,2014 - 2015,0.86
,,2015 - 2016,0.82
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.72
,Deoria,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,1.0
,,2008 - 2009,1.0
,,2009 - 2010,0.8
,,2010 - 2011,1.0
,,2011 - 2012,0.8
,,2012 - 2013,0.8
,,2014 - 2015,0.8
,,2016 - 2017,0.8
,,2017 - 2018,0.8
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.75
,,2021 - 2022,0.8
,,2022 - 2023,0.6
,Etah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.84
,,2011 - 2012,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.81
,,2014 - 2015,0.83
,,2015 - 2016,0.83
,,2016 - 2017,0.73
,,2017 - 2018,0.72
,,2020 - 2021,0.75
,,2021 - 2022,0.73
,,2022 - 2023,0.75
,Etawah,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.82
,,2008 - 2009,0.88
,,2009 - 2010,0.83
,,2010 - 2011,0.78
,,2011 - 2012,0.83
,,2012 - 2013,0.85
,,2013 - 2014,0.81
,,2014 - 2015,0.8
,,2015 - 2016,1.0
,,2016 - 2017,0.71
,,2017 - 2018,0.75
,,2018 - 2019,0.72
,,2019 - 2020,0.74
,,2020 - 2021,0.74
,,2021 - 2022,0.74
,,2022 - 2023,0.75
,Faizabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.81
,,2008 - 2009,0.85
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.83
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.88
,,2016 - 2017,0.72
,,2017 - 2018,0.71
,,2018 - 2019,0.72
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Farrukhabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.86
,,2009 - 2010,0.82
,,2010 - 2011,0.81
,,2011 - 2012,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.88
,,2014 - 2015,0.8
,,2016 - 2017,0.73
,,2017 - 2018,0.7
,,2018 - 2019,0.67
,,2019 - 2020,0.75
,,2020 - 2021,0.71
,,2021 - 2022,0.75
,,2022 - 2023,0.75
,Fatehpur,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,0.9
,,2009 - 2010,0.8
,,2010 - 2011,0.75
,,2011 - 2012,0.75
,,2012 - 2013,0.82
,,2013 - 2014,0.83
,,2014 - 2015,1.0
,,2015 - 2016,0.82
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2018 - 2019,0.71
,,2019 - 2020,0.72
,,2020 - 2021,0.71
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Firozabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,0.83
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2013 - 2014,0.82
,,2014 - 2015,0.82
,,2015 - 2016,0.86
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.7
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.72
,,2022 - 2023,0.71
,Gautam buddha nagar,2004 - 2005,
,,2008 - 2009,0.67
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2012 - 2013,1.0
,,2014 - 2015,0.8
,,2015 - 2016,0.86
,,2016 - 2017,0.75
,,2017 - 2018,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.7
,,2021 - 2022,0.73
,,2022 - 2023,0.7
,Ghaziabad,2007 - 2008,1.0
,Ghazipur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.84
,,2010 - 2011,0.84
,,2011 - 2012,0.81
,,2012 - 2013,0.8
,,2013 - 2014,0.82
,,2014 - 2015,0.81
,,2015 - 2016,0.82
,,2016 - 2017,0.7
,,2017 - 2018,0.72
,,2018 - 2019,0.5
,,2019 - 2020,0.72
,,2020 - 2021,0.72
,,2021 - 2022,0.71
,,2022 - 2023,0.7
,Gonda,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.75
,,2008 - 2009,0.85
,,2009 - 2010,0.83
,,2010 - 2011,0.81
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.82
,,2014 - 2015,0.81
,,2015 - 2016,0.86
,,2016 - 2017,0.72
,,2017 - 2018,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.69
,,2021 - 2022,0.75
,,2022 - 2023,0.73
,Gorakhpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.67
,,2008 - 2009,0.82
,,2009 - 2010,0.82
,,2010 - 2011,0.81
,,2011 - 2012,0.83
,,2012 - 2013,0.79
,,2013 - 2014,0.87
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.69
,,2017 - 2018,0.69
,,2018 - 2019,0.71
,,2019 - 2020,0.69
,,2020 - 2021,0.75
,,2021 - 2022,0.75
,,2022 - 2023,0.73
,Hamirpur,2004 - 2005,
,,2006 - 2007,
,,2008 - 2009,0.88
,,2009 - 2010,0.78
,,2010 - 2011,0.89
,,2011 - 2012,0.75
,,2012 - 2013,0.82
,,2013 - 2014,0.78
,,2014 - 2015,0.8
,,2016 - 2017,0.67
,,2017 - 2018,0.67
,,2019 - 2020,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.75
,,2022 - 2023,0.67
,Hardoi,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.85
,,2009 - 2010,0.85
,,2010 - 2011,0.81
,,2011 - 2012,0.84
,,2012 - 2013,0.8
,,2013 - 2014,0.83
,,2014 - 2015,0.83
,,2016 - 2017,0.69
,,2017 - 2018,0.7
,,2018 - 2019,0.72
,,2019 - 2020,0.7
,,2020 - 2021,0.72
,,2021 - 2022,0.73
,,2022 - 2023,0.73
,Hathras,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,0.84
,,2009 - 2010,0.85
,,2010 - 2011,0.82
,,2011 - 2012,0.83
,,2012 - 2013,0.81
,,2013 - 2014,0.82
,,2014 - 2015,0.81
,,2015 - 2016,0.79
,,2016 - 2017,0.8
,,2017 - 2018,0.72
,,2018 - 2019,0.71
,,2019 - 2020,0.72
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.72
,Jalaun,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.81
,,2012 - 2013,0.81
,,2013 - 2014,0.83
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.73
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.71
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.72
,Jaunpur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.85
,,2008 - 2009,1.0
,,2009 - 2010,0.83
,,2010 - 2011,0.82
,,2011 - 2012,0.84
,,2012 - 2013,1.0
,,2013 - 2014,0.83
,,2014 - 2015,0.78
,,2015 - 2016,0.81
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2018 - 2019,0.72
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.72
,,2022 - 2023,0.73
,Jhansi,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,0.88
,,2008 - 2009,0.8
,,2009 - 2010,0.86
,,2010 - 2011,0.83
,,2011 - 2012,0.86
,,2012 - 2013,0.81
,,2013 - 2014,0.82
,,2014 - 2015,0.83
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2018 - 2019,0.67
,,2019 - 2020,0.69
,,2020 - 2021,0.73
,,2021 - 2022,0.73
,,2022 - 2023,0.75
,Kannauj,2006 - 2007,
,,2007 - 2008,0.8
,,2008 - 2009,0.5
,,2009 - 2010,1.0
,,2010 - 2011,1.0
,,2011 - 2012,1.0
,,2012 - 2013,0.67
,,2014 - 2015,1.0
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.75
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Kanpur dehat,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.85
,,2010 - 2011,0.85
,,2011 - 2012,0.82
,,2012 - 2013,0.83
,,2013 - 2014,0.83
,,2014 - 2015,0.83
,,2015 - 2016,0.82
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.72
,Kanpur nagar,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.84
,,2011 - 2012,0.82
,,2012 - 2013,0.83
,,2014 - 2015,0.81
,,2015 - 2016,0.82
,,2016 - 2017,0.7
,,2017 - 2018,0.72
,,2018 - 2019,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.72
,,2021 - 2022,0.72
,,2022 - 2023,0.71
,Kasganj,2012 - 2013,0.82
,,2013 - 2014,0.75
,,2015 - 2016,0.83
,,2016 - 2017,0.75
,,2017 - 2018,0.67
,,2020 - 2021,0.67
,,2021 - 2022,0.67
,,2022 - 2023,0.75
,Kaushambi,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.84
,,2009 - 2010,0.86
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.8
,,2015 - 2016,0.83
,,2016 - 2017,0.71
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.73
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.72
,Kheri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.84
,,2009 - 2010,0.83
,,2010 - 2011,0.83
,,2011 - 2012,0.5
,,2012 - 2013,0.81
,,2013 - 2014,0.8
,,2014 - 2015,0.82
,,2015 - 2016,0.5
,,2016 - 2017,0.7
,,2017 - 2018,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.69
,,2021 - 2022,0.73
,,2022 - 2023,0.71
,Kushi nagar,2006 - 2007,
,,2007 - 2008,0.83
,,2009 - 2010,0.86
,,2010 - 2011,0.8
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.82
,,2016 - 2017,0.75
,,2017 - 2018,0.75
,,2019 - 2020,0.67
,,2020 - 2021,0.75
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Lucknow,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.86
,,2008 - 2009,0.75
,,2009 - 2010,0.8
,,2010 - 2011,0.83
,,2011 - 2012,0.83
,,2012 - 2013,0.83
,,2013 - 2014,0.8
,,2014 - 2015,0.83
,,2016 - 2017,0.8
,,2017 - 2018,0.75
,,2020 - 2021,0.5
,,2022 - 2023,1.0
,Maharajganj,2006 - 2007,
,,2010 - 2011,0.83
,,2011 - 2012,0.5
,,2012 - 2013,0.8
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Mahoba,2006 - 2007,
,,2008 - 2009,1.0
,,2009 - 2010,0.86
,,2011 - 2012,0.75
,,2012 - 2013,0.75
,,2013 - 2014,0.67
,,2014 - 2015,0.82
,,2016 - 2017,0.71
,,2017 - 2018,0.69
,,2019 - 2020,0.71
,,2020 - 2021,0.69
,,2021 - 2022,0.69
,,2022 - 2023,0.75
,Mainpuri,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.83
,,2009 - 2010,0.83
,,2010 - 2011,0.84
,,2011 - 2012,0.81
,,2012 - 2013,0.82
,,2013 - 2014,0.75
,,2014 - 2015,0.81
,,2015 - 2016,0.81
,,2016 - 2017,0.72
,,2017 - 2018,0.71
,,2018 - 2019,1.0
,,2019 - 2020,0.73
,,2020 - 2021,0.72
,,2021 - 2022,0.71
,,2022 - 2023,0.71
,Mathura,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.83
,,2011 - 2012,0.82
,,2012 - 2013,0.81
,,2013 - 2014,0.83
,,2014 - 2015,0.82
,,2015 - 2016,0.82
,,2016 - 2017,0.72
,,2017 - 2018,0.72
,,2018 - 2019,0.72
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.71
,,2022 - 2023,0.73
,Mau,2004 - 2005,
,,2008 - 2009,1.0
,,2009 - 2010,1.0
,,2013 - 2014,1.0
,Meerut,2012 - 2013,0.75
,,2013 - 2014,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,Mirzapur,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.84
,,2008 - 2009,0.84
,,2009 - 2010,0.84
,,2010 - 2011,0.84
,,2011 - 2012,0.82
,,2012 - 2013,0.82
,,2013 - 2014,0.81
,,2014 - 2015,0.81
,,2015 - 2016,0.8
,,2016 - 2017,0.71
,,2017 - 2018,0.71
,,2019 - 2020,0.71
,,2020 - 2021,0.7
,,2021 - 2022,0.7
,,2022 - 2023,0.7
,Moradabad,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.83
,,2008 - 2009,0.83
,,2009 - 2010,0.85
,,2010 - 2011,0.83
,,2011 - 2012,0.84
,,2012 - 2013,0.81
,,2013 - 2014,0.81
,,2014 - 2015,0.83
,,2015 - 2016,0.82
,,2016 - 2017,0.72
,,2017 - 2018,0.71
,,2019 - 2020,0.7
,,2020 - 2021,0.73
,,2021 - 2022,0.74
,,2022 - 2023,0.71
,Pilibhit,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.83
,,2010 - 2011,0.88
,,2011 - 2012,0.83
,,2012 - 2013,0.82
,,2013 - 2014,0.81
,,2015 - 2016,0.83
,,2016 - 2017,0.71
,,2017 - 2018,0.74
,,2021 - 2022,0.71
,,2022 - 2023,0.8
,Pratapgarh,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,0.85
,,2008 - 2009,0.85
,,2009 - 2010,0.81
,,2010 - 2011,0.86
,,2011 - 2012,0.81
