state,district,year,sannhamp_kharif_yield_tonne_per_hectare
,,2022 - 2023,0.4
,Chamarajanagar,2012 - 2013,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.37
,,2022 - 2023,0.41
,Chikballapur,2019 - 2020,
,,2020 - 2021,0.5
,,2021 - 2022,0.33
,,2022 - 2023,0.42
,Chikmagalur,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.33
,,2022 - 2023,0.33
,Chitradurga,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.24
,,2021 - 2022,0.36
,,2022 - 2023,0.43
,Davangere,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2019 - 2020,
,,2020 - 2021,0.26
,,2021 - 2022,0.35
,,2022 - 2023,0.43
,Dharwad,2003 - 2004,
,,2009 - 2010,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.33
,Gadag,2005 - 2006,
,,2006 - 2007,
,,2016 - 2017,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.5
,,2021 - 2022,0.38
,,2022 - 2023,0.4
,Gulbarga,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2008 - 2009,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.36
,,2022 - 2023,0.41
,Hassan,2006 - 2007,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.36
,,2022 - 2023,0.41
,Haveri,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2013 - 2014,
,,2014 - 2015,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.27
,,2021 - 2022,0.38
,,2022 - 2023,0.4
,Kolar,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.4
,Koppal,2005 - 2006,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.26
,,2021 - 2022,0.38
,,2022 - 2023,0.4
,Mandya,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.29
,,2021 - 2022,0.35
,,2022 - 2023,0.38
,Mysore,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.37
,,2022 - 2023,0.41
,Raichur,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.2
,,2021 - 2022,0.4
,,2022 - 2023,0.38
,Ramanagara,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.27
,,2021 - 2022,0.25
,,2022 - 2023,0.4
,Shimoga,2019 - 2020,
,,2020 - 2021,0.25
,,2021 - 2022,0.33
,,2022 - 2023,0.4
,Tumkur,2003 - 2004,
,,2006 - 2007,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.24
,,2021 - 2022,0.38
,,2022 - 2023,0.43
,Udupi,2020 - 2021,0.25
,Uttar kannad,2003 - 2004,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.33
,Vijayanagar,2022 - 2023,0.38
,Yadgir,2018 - 2019,
,,2021 - 2022,0.5
Madhya Pradesh,Agar malwa,2013 - 2014,2.38
,Alirajpur,2008 - 2009,0.46
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.66
,,2012 - 2013,1.75
,,2013 - 2014,2.03
,Anuppur,2003 - 2004,
,,2007 - 2008,0.3
,,2008 - 2009,0.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.34
,,2012 - 2013,1.93
,,2013 - 2014,2.02
,Balaghat,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.42
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.09
,,2012 - 2013,2.17
,,2013 - 2014,2.32
,Barwani,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.86
,,2008 - 2009,0.18
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.71
,,2012 - 2013,1.3
,,2013 - 2014,1.34
,Betul,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.39
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.66
,,2012 - 2013,2.11
,,2013 - 2014,1.8
,Bhind,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.25
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.5
,,2012 - 2013,1.32
,,2013 - 2014,1.29
,Bhopal,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.37
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.83
,,2012 - 2013,2.75
,,2013 - 2014,1.0
,Burhanpur,2003 - 2004,
,,2007 - 2008,2.21
,,2008 - 2009,0.36
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.69
,,2012 - 2013,1.89
,,2013 - 2014,1.57
,Chhatarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.23
,,2008 - 2009,0.26
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.82
,,2012 - 2013,1.54
,,2013 - 2014,3.2
,Chhindwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.5
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.88
,,2012 - 2013,2.79
,,2013 - 2014,1.48
,Damoh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2008 - 2009,0.5
,Datia,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.3
,,2008 - 2009,0.33
,,2009 - 2010,
,,2011 - 2012,1.57
,,2012 - 2013,2.33
,,2013 - 2014,0.0
,Dewas,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.48
,,2008 - 2009,0.51
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.08
,,2012 - 2013,2.44
,,2013 - 2014,3.25
,Dhar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,2.21
,,2008 - 2009,0.41
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.74
,,2012 - 2013,2.32
,,2013 - 2014,3.06
,Dindori,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.17
,,2008 - 2009,0.2
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.6
,,2012 - 2013,0.86
,,2013 - 2014,1.47
,Guna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.4
,,2008 - 2009,0.39
,Gwalior,2000 - 2001,
,,2003 - 2004,
,,2008 - 2009,0.5
,,2013 - 2014,1.0
,Harda,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,Hoshangabad,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2009 - 2010,
,Indore,2000 - 2001,
,,2002 - 2003,
,,2011 - 2012,1.2
,,2012 - 2013,0.0
,Jabalpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.28
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.2
,,2012 - 2013,2.6
,,2013 - 2014,2.13
,Jhabua,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,1.78
,,2008 - 2009,0.47
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.59
,,2012 - 2013,1.84
,,2013 - 2014,1.86
,Katni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.0
,,2008 - 2009,0.0
,,2013 - 2014,1.0
,Khandwa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,2.82
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.87
,,2012 - 2013,1.56
,,2013 - 2014,1.61
,Khargone,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,2.27
,,2008 - 2009,0.32
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.06
,,2012 - 2013,1.39
,,2013 - 2014,1.64
,Mandla,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.29
,,2008 - 2009,0.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.08
,,2012 - 2013,1.8
,,2013 - 2014,2.16
,Mandsaur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2012 - 2013,3.4
,Morena,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.25
,Narsinghpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.55
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,2.0
,,2012 - 2013,3.0
,,2013 - 2014,3.67
,Neemuch,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.43
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.57
,,2012 - 2013,2.5
,,2013 - 2014,3.0
,Panna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.23
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.41
,,2012 - 2013,1.42
,,2013 - 2014,3.99
,Raisen,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.33
,,2008 - 2009,0.33
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.25
,,2012 - 2013,1.2
,Rajgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.45
,,2008 - 2009,0.42
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.77
,,2012 - 2013,2.81
,,2013 - 2014,0.38
,Ratlam,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.33
,,2008 - 2009,0.43
,,2010 - 2011,
,,2011 - 2012,2.2
,,2012 - 2013,3.0
,,2013 - 2014,3.67
,Rewa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.35
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.37
,,2012 - 2013,1.6
,,2013 - 2014,2.04
,Sagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.37
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.52
,,2012 - 2013,2.4
,,2013 - 2014,3.53
,Satna,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.27
,,2008 - 2009,0.29
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.16
,,2012 - 2013,1.87
,,2013 - 2014,1.0
,Sehore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.21
,,2008 - 2009,0.5
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,3.16
,,2012 - 2013,3.07
,,2013 - 2014,2.15
,Seoni,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.35
,,2008 - 2009,0.32
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.4
,,2012 - 2013,1.8
,,2013 - 2014,1.77
,Shahdol,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.3
,,2008 - 2009,0.3
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.14
,,2012 - 2013,2.44
,,2013 - 2014,3.26
,Shajapur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.29
,,2008 - 2009,0.26
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.33
,,2012 - 2013,1.44
,Sheopur,2000 - 2001,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.0
,,2008 - 2009,0.33
,,2009 - 2010,
,Shivpuri,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.21
,,2008 - 2009,0.32
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.25
,,2012 - 2013,1.33
,,2013 - 2014,1.21
,Sidhi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.39
,,2008 - 2009,0.45
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.47
,,2012 - 2013,2.94
,,2013 - 2014,3.9
,Singrauli,2008 - 2009,0.46
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.97
,,2012 - 2013,2.28
,,2013 - 2014,2.78
,Tikamgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.29
,,2008 - 2009,0.39
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.0
,,2012 - 2013,1.2
,,2013 - 2014,0.71
,Ujjain,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2010 - 2011,
,Umaria,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.35
,,2008 - 2009,0.31
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,0.92
,,2012 - 2013,1.83
,,2013 - 2014,1.83
,Vidisha,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2007 - 2008,0.32
,,2008 - 2009,0.38
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,1.57
,,2012 - 2013,1.38
,,2013 - 2014,14.0
Odisha,Anugul,2000 - 2001,
,Balangir,2000 - 2001,
,,2019 - 2020,5.45
,Baleshwar,2000 - 2001,
,Bargarh,2000 - 2001,
,,2019 - 2020,5.0
,Bhadrak,2000 - 2001,
,Deogarh,2000 - 2001,
,,2019 - 2020,4.2
,Dhenkanal,2000 - 2001,
,Gajapati,2000 - 2001,
,,2019 - 2020,4.0
,Ganjam,2000 - 2001,
,,2019 - 2020,5.25
,Kalahandi,2000 - 2001,
,,2019 - 2020,5.32
,Kandhamal,2000 - 2001,
,,2019 - 2020,5.0
,Kendujhar,2019 - 2020,4.0
,Koraput,2000 - 2001,
,,2019 - 2020,5.1
,Mayurbhanj,2000 - 2001,
,,2019 - 2020,4.95
,Nabarangpur,2000 - 2001,
,,2019 - 2020,5.0
,Nayagarh,2000 - 2001,
,,2019 - 2020,5.05
,Nuapada,2000 - 2001,
,,2019 - 2020,5.2
,Rayagada,2000 - 2001,
,,2019 - 2020,5.35
,Sambalpur,2000 - 2001,
,Sonepur,2000 - 2001,
,Sundargarh,2000 - 2001,
,,2019 - 2020,5.44
Rajasthan,Ajmer,2002 - 2003,
,,2003 - 2004,
,,2011 - 2012,
,,2016 - 2017,1.0
,,2020 - 2021,2.0
,,2021 - 2022,0.0
,Alwar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.75
,,2016 - 2017,0.52
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,Banswara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.12
,,2016 - 2017,0.43
,,2017 - 2018,0.27
,,2018 - 2019,0.3
,,2019 - 2020,0.21
,,2020 - 2021,0.48
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Baran,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,Bharatpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,1.0
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2021 - 2022,0.57
,,2022 - 2023,0.36
,Bhilwara,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.14
,,2016 - 2017,0.9
,,2017 - 2018,0.64
,,2018 - 2019,1.08
,,2019 - 2020,2.45
,,2020 - 2021,0.43
,,2021 - 2022,0.61
,,2022 - 2023,0.22
,Bikaner,2011 - 2012,
,Bundi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2012 - 2013,
,,2013 - 2014,
,,2018 - 2019,2.0
,Chittorgarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,1.23
,,2016 - 2017,0.94
,,2017 - 2018,
,,2018 - 2019,0.9
,,2019 - 2020,2.0
,,2020 - 2021,2.29
,,2021 - 2022,1.87
,,2022 - 2023,1.0
,Churu,2000 - 2001,
,,2011 - 2012,
,Dausa,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,Dholpur,2000 - 2001,
,,2001 - 2002,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,1.0
,,2016 - 2017,1.0
,,2017 - 2018,1.0
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,1.29
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Dungarpur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.61
,,2016 - 2017,1.19
,,2017 - 2018,0.4
,,2018 - 2019,1.33
,Ganganagar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2017 - 2018,0.0
,Hanumangarh,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2008 - 2009,
,,2009 - 2010,
,,2016 - 2017,0.5
,,2020 - 2021,0.0
,Jaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.0
,Jalore,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2015 - 2016,0.0
,,2021 - 2022,0.78
,Jhalawar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2017 - 2018,0.0
,,2019 - 2020,0.5
,,2021 - 2022,0.5
,Jhunjhunu,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2011 - 2012,
,,2013 - 2014,
,Karauli,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,1.0
,,2019 - 2020,0.5
,,2020 - 2021,1.0
,Kota,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,0.0
,,2017 - 2018,0.0
,,2022 - 2023,0.25
,Pali,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.88
,,2016 - 2017,1.0
,,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,0.36
,,2021 - 2022,0.75
,,2022 - 2023,1.0
,Pratapgarh,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.0
,,2018 - 2019,0.81
,Rajsamand,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.25
,,2016 - 2017,2.0
,,2017 - 2018,2.0
,,2018 - 2019,2.0
,,2019 - 2020,2.0
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,2.0
,Sawai madhopur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.6
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.64
,,2019 - 2020,0.59
,,2020 - 2021,0.6
,,2021 - 2022,0.5
,,2022 - 2023,1.0
,Sikar,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.0
,Sirohi,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2013 - 2014,
,,2020 - 2021,0.0
,,2021 - 2022,0.0
,Tonk,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2009 - 2010,
,,2010 - 2011,
,Udaipur,2000 - 2001,
,,2001 - 2002,
,,2002 - 2003,
,,2003 - 2004,
,,2004 - 2005,
,,2005 - 2006,
,,2006 - 2007,
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2015 - 2016,0.1
,,2016 - 2017,0.52
,,2017 - 2018,4.74
,,2018 - 2019,1.69
,,2019 - 2020,1.17
,,2020 - 2021,2.0
,,2021 - 2022,2.0
,,2022 - 2023,1.57
Tamil Nadu,Coimbatore,2000 - 2001,
,Cuddalore,2000 - 2001,
,Dharmapuri,2000 - 2001,
,Dindigul,2000 - 2001,
,,2005 - 2006,0.0
,Erode,2000 - 2001,
,Kanchipuram,2000 - 2001,
,Karur,2000 - 2001,
,Namakkal,2000 - 2001,
,Pudukkottai,2000 - 2001,
,Salem,2000 - 2001,
,,2005 - 2006,0.0
,Thanjavur,2000 - 2001,
,Thiruvallur,2000 - 2001,
,Thiruvarur,2005 - 2006,0.0
,Tiruchirappalli,2000 - 2001,
,Tirunelveli,2000 - 2001,
,Vellore,2005 - 2006,0.0
,Villupuram,2000 - 2001,
,Virudhunagar,2000 - 2001,
Uttar Pradesh,Agra,2002 - 2003,
,,2004 - 2005,0.28
,,2008 - 2009,0.32
,,2009 - 2010,0.19
,,2013 - 2014,0.33
,,2014 - 2015,0.4
,,2015 - 2016,0.29
,,2016 - 2017,0.17
,,2017 - 2018,0.0
,,2018 - 2019,0.17
,,2019 - 2020,0.33
,,2020 - 2021,0.33
,,2021 - 2022,0.6
,,2022 - 2023,0.67
,Aligarh,2004 - 2005,0.25
