state,district,year,niger_seed_kharif_yield_tonne_per_hectare
,Chirang,2005 - 2006,0.54
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.51
,,2010 - 2011,0.52
,,2011 - 2012,0.51
,,2012 - 2013,0.53
,,2013 - 2014,0.66
,,2014 - 2015,0.65
,,2015 - 2016,0.64
,,2016 - 2017,0.61
,,2017 - 2018,0.68
,,2018 - 2019,0.55
,,2019 - 2020,0.63
,,2020 - 2021,0.63
,,2021 - 2022,0.58
,,2022 - 2023,0.42
,Darrang,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.52
,,2004 - 2005,0.51
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.52
,,2013 - 2014,0.95
,,2014 - 2015,0.95
,,2015 - 2016,0.5
,,2016 - 2017,0.62
,,2017 - 2018,0.62
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.55
,,2021 - 2022,0.59
,,2022 - 2023,0.72
,Dhemaji,2000 - 2001,1.0
,,2001 - 2002,0.52
,,2002 - 2003,0.52
,,2003 - 2004,0.52
,,2004 - 2005,0.51
,,2005 - 2006,0.52
,,2006 - 2007,0.52
,,2007 - 2008,0.52
,,2008 - 2009,0.47
,,2009 - 2010,0.52
,,2010 - 2011,0.5
,,2011 - 2012,0.53
,,2012 - 2013,1.0
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.4
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.33
,Dhubri,2000 - 2001,0.52
,,2001 - 2002,0.52
,,2002 - 2003,0.53
,,2003 - 2004,0.52
,,2004 - 2005,0.53
,,2005 - 2006,0.53
,,2006 - 2007,0.52
,,2007 - 2008,0.53
,,2008 - 2009,0.52
,,2009 - 2010,0.53
,,2010 - 2011,0.53
,,2011 - 2012,0.53
,,2012 - 2013,0.55
,,2013 - 2014,0.55
,,2014 - 2015,0.55
,,2015 - 2016,0.52
,,2016 - 2017,0.6
,,2017 - 2018,0.6
,,2018 - 2019,0.62
,,2019 - 2020,0.62
,,2020 - 2021,0.61
,,2021 - 2022,0.61
,,2022 - 2023,0.61
,Dibrugarh,2006 - 2007,0.56
,,2010 - 2011,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2022 - 2023,0.5
,Dima hasao,2000 - 2001,2.0
,,2001 - 2002,1.0
,,2002 - 2003,1.0
,,2003 - 2004,1.0
,,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,1.0
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.5
,,2012 - 2013,0.5
,,2013 - 2014,0.57
,,2014 - 2015,0.54
,,2015 - 2016,0.5
,,2016 - 2017,0.54
,,2017 - 2018,0.5
,,2018 - 2019,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.53
,,2021 - 2022,0.54
,,2022 - 2023,0.54
,Goalpara,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.52
,,2013 - 2014,0.93
,,2014 - 2015,0.92
,,2015 - 2016,0.58
,,2016 - 2017,0.57
,,2017 - 2018,0.7
,,2018 - 2019,0.7
,,2019 - 2020,0.7
,,2020 - 2021,0.7
,,2021 - 2022,0.71
,,2022 - 2023,0.61
,Golaghat,2000 - 2001,0.45
,,2001 - 2002,0.45
,,2002 - 2003,0.45
,,2003 - 2004,0.38
,,2004 - 2005,0.5
,,2005 - 2006,0.45
,,2006 - 2007,0.44
,,2007 - 2008,0.57
,,2008 - 2009,0.75
,,2009 - 2010,0.47
,,2010 - 2011,0.5
,,2011 - 2012,1.0
,,2012 - 2013,1.0
,,2022 - 2023,0.4
,Hailakandi,2006 - 2007,0.5
,,2007 - 2008,0.57
,,2008 - 2009,0.4
,,2009 - 2010,0.5
,,2010 - 2011,0.52
,,2012 - 2013,0.6
,,2013 - 2014,0.6
,,2014 - 2015,0.67
,,2015 - 2016,0.5
,,2016 - 2017,0.33
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Hojai,2020 - 2021,0.8
,,2021 - 2022,0.81
,,2022 - 2023,0.81
,Jorhat,2008 - 2009,0.47
,,2016 - 2017,1.0
,,2019 - 2020,0.44
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.5
,Kamrup,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2013 - 2014,0.54
,,2014 - 2015,0.54
,,2015 - 2016,0.52
,,2016 - 2017,0.52
,,2017 - 2018,0.52
,,2018 - 2019,0.52
,,2019 - 2020,0.52
,,2020 - 2021,0.52
,,2021 - 2022,0.54
,,2022 - 2023,0.77
,Kamrup metro,2005 - 2006,0.53
,,2006 - 2007,0.52
,,2007 - 2008,0.51
,,2008 - 2009,0.5
,,2009 - 2010,0.52
,,2010 - 2011,0.5
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2013 - 2014,0.55
,,2014 - 2015,0.54
,,2015 - 2016,0.52
,,2016 - 2017,0.5
,,2017 - 2018,0.5
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.5
,,2021 - 2022,0.53
,,2022 - 2023,0.47
,Karbi anglong,2000 - 2001,0.52
,,2001 - 2002,0.58
,,2002 - 2003,0.51
,,2003 - 2004,0.53
,,2004 - 2005,0.52
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.51
,,2011 - 2012,0.52
,,2012 - 2013,0.52
,,2013 - 2014,0.5
,,2014 - 2015,0.5
,,2015 - 2016,0.52
,,2016 - 2017,0.5
,,2017 - 2018,0.51
,,2018 - 2019,0.52
,,2019 - 2020,0.52
,,2020 - 2021,0.51
,,2021 - 2022,0.52
,,2022 - 2023,0.5
,Karimganj,2000 - 2001,1.0
,,2020 - 2021,0.5
,Kokrajhar,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.51
,,2010 - 2011,0.51
,,2011 - 2012,0.51
,,2012 - 2013,0.53
,,2013 - 2014,0.54
,,2014 - 2015,0.54
,,2015 - 2016,0.54
,,2016 - 2017,0.53
,,2017 - 2018,0.53
,,2018 - 2019,0.53
,,2019 - 2020,0.53
,,2020 - 2021,0.53
,,2021 - 2022,0.53
,,2022 - 2023,0.74
,Lakhimpur,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.86
,,2004 - 2005,0.57
,,2005 - 2006,0.57
,,2006 - 2007,0.57
,,2007 - 2008,0.57
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,1.5
,,2012 - 2013,0.63
,,2013 - 2014,0.67
,,2014 - 2015,0.67
,,2015 - 2016,0.5
,,2016 - 2017,0.5
,,2017 - 2018,0.67
,,2018 - 2019,0.25
,,2019 - 2020,0.57
,,2020 - 2021,0.57
,,2021 - 2022,0.4
,Majuli,2020 - 2021,0.6
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,Marigaon,2000 - 2001,0.5
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.5
,,2006 - 2007,0.5
,,2007 - 2008,0.5
,,2008 - 2009,0.5
,,2009 - 2010,0.5
,,2010 - 2011,0.5
,,2011 - 2012,0.51
,,2012 - 2013,0.51
,,2013 - 2014,0.52
,,2014 - 2015,0.52
,,2015 - 2016,0.46
