state,district,year,niger_seed_kharif_yield_tonne_per_hectare
,,2018 - 2019,0.52
,,2020 - 2021,0.53
,,2021 - 2022,0.42
,Chatra,2017 - 2018,0.59
,,2018 - 2019,0.59
,,2019 - 2020,0.61
,,2020 - 2021,0.63
,,2021 - 2022,0.62
,Deoghar,2017 - 2018,0.5
,Dumka,2017 - 2018,0.59
,,2018 - 2019,0.6
,,2020 - 2021,0.45
,East singhbum,2017 - 2018,0.65
,,2018 - 2019,0.58
,,2019 - 2020,0.58
,,2020 - 2021,0.57
,,2021 - 2022,0.59
,Garhwa,2018 - 2019,0.52
,Giridih,2017 - 2018,0.4
,,2018 - 2019,0.41
,,2019 - 2020,0.43
,,2020 - 2021,0.43
,,2021 - 2022,0.44
,,2022 - 2023,0.43
,Godda,2018 - 2019,0.6
,Gumla,2017 - 2018,0.55
,,2018 - 2019,0.49
,,2019 - 2020,0.49
,,2020 - 2021,0.49
,,2021 - 2022,0.11
,,2022 - 2023,0.1
,Hazaribagh,2017 - 2018,0.5
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.45
,,2022 - 2023,0.42
,Khunti,2018 - 2019,0.35
,,2020 - 2021,0.45
,,2021 - 2022,0.45
,,2022 - 2023,0.45
,Koderma,2018 - 2019,0.38
,,2019 - 2020,0.4
,,2020 - 2021,0.4
,Latehar,2017 - 2018,0.42
,Lohardaga,2017 - 2018,0.3
,,2018 - 2019,0.3
,,2019 - 2020,0.3
,,2020 - 2021,0.3
,,2021 - 2022,0.3
,,2022 - 2023,0.3
,Pakur,2017 - 2018,0.23
,,2018 - 2019,0.41
,,2019 - 2020,0.33
,,2021 - 2022,0.4
,Palamu,2017 - 2018,0.6
,,2018 - 2019,0.43
,,2019 - 2020,0.5
,,2020 - 2021,0.46
,,2021 - 2022,1.0
,Ramgarh,2017 - 2018,0.5
,,2019 - 2020,0.51
,,2020 - 2021,0.5
,,2021 - 2022,0.5
,,2022 - 2023,0.55
,Ranchi,2017 - 2018,0.45
,,2018 - 2019,0.4
,Saraikela kharsawan,2017 - 2018,0.5
,,2018 - 2019,0.65
,,2019 - 2020,0.65
,,2020 - 2021,0.64
,,2021 - 2022,0.65
,Simdega,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2020 - 2021,0.7
,,2021 - 2022,0.6
,,2022 - 2023,0.6
,West singhbhum,2017 - 2018,0.47
,,2018 - 2019,0.47
,,2019 - 2020,0.48
,,2020 - 2021,0.47
,,2021 - 2022,0.47
,,2022 - 2023,0.48
Karnataka,Bagalkot,2000 - 2001,0.15
,,2001 - 2002,0.15
,,2002 - 2003,0.15
,,2003 - 2004,0.15
,,2004 - 2005,0.15
,,2005 - 2006,0.15
,,2006 - 2007,0.15
,,2007 - 2008,0.38
,,2008 - 2009,0.35
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.17
,,2013 - 2014,0.22
,,2014 - 2015,0.27
,,2017 - 2018,0.23
,,2018 - 2019,0.25
,,2019 - 2020,0.25
,,2020 - 2021,0.24
,,2021 - 2022,0.23
,,2022 - 2023,0.2
,Bangalore rural,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.19
,,2017 - 2018,0.22
,,2018 - 2019,0.14
,,2019 - 2020,0.21
,,2020 - 2021,0.33
,,2021 - 2022,0.29
,Belgaum,2000 - 2001,0.23
,,2001 - 2002,0.23
,,2002 - 2003,0.23
,,2003 - 2004,0.23
,,2004 - 2005,0.23
,,2005 - 2006,0.23
,,2006 - 2007,0.23
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.3
,,2015 - 2016,0.31
,,2016 - 2017,0.19
,,2017 - 2018,0.22
,,2018 - 2019,0.19
,,2019 - 2020,0.25
,,2020 - 2021,0.24
,,2021 - 2022,0.24
,,2022 - 2023,0.25
,Bellary,2000 - 2001,0.26
,,2001 - 2002,0.26
,,2002 - 2003,0.26
,,2003 - 2004,0.26
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.38
,,2008 - 2009,0.37
,,2009 - 2010,0.36
,,2010 - 2011,0.17
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.11
,,2014 - 2015,0.27
,,2015 - 2016,0.26
,,2016 - 2017,0.18
,,2017 - 2018,0.23
,,2018 - 2019,0.19
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.22
,,2022 - 2023,0.21
,Bengaluru urban,2000 - 2001,0.25
,,2001 - 2002,0.25
,,2002 - 2003,0.25
,,2003 - 2004,0.25
,,2004 - 2005,0.25
,,2005 - 2006,0.25
,,2006 - 2007,0.25
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.18
,,2017 - 2018,0.23
,,2018 - 2019,0.2
,,2019 - 2020,0.23
,,2020 - 2021,0.17
,,2021 - 2022,0.23
,,2022 - 2023,0.26
,Bidar,2000 - 2001,0.11
,,2001 - 2002,0.11
,,2002 - 2003,0.11
,,2003 - 2004,0.11
,,2004 - 2005,0.11
,,2005 - 2006,0.11
,,2006 - 2007,0.11
,,2007 - 2008,0.38
,,2008 - 2009,0.24
,,2009 - 2010,0.27
,,2010 - 2011,0.22
,,2011 - 2012,0.24
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2014 - 2015,0.32
,,2015 - 2016,0.35
,,2016 - 2017,0.22
,,2017 - 2018,0.24
,,2018 - 2019,0.22
,,2019 - 2020,0.25
,,2020 - 2021,0.23
,,2021 - 2022,0.24
,,2022 - 2023,0.33
,Bijapur,2000 - 2001,0.15
,,2001 - 2002,0.15
,,2002 - 2003,0.15
,,2003 - 2004,0.16
,,2004 - 2005,0.15
,,2005 - 2006,0.15
,,2006 - 2007,0.15
,,2007 - 2008,0.19
,,2008 - 2009,0.19
,,2009 - 2010,0.25
,,2010 - 2011,0.31
,,2011 - 2012,0.2
,,2012 - 2013,0.2
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.25
,,2016 - 2017,0.19
,,2018 - 2019,0.25
,,2019 - 2020,0.21
,,2020 - 2021,0.21
,,2021 - 2022,0.25
,,2022 - 2023,0.2
,Chamarajanagar,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.21
,,2003 - 2004,0.21
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,0.21
,,2007 - 2008,0.31
,,2008 - 2009,0.42
,,2009 - 2010,0.42
,,2010 - 2011,0.37
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.22
,,2014 - 2015,0.27
,,2015 - 2016,0.26
,,2017 - 2018,0.22
,,2018 - 2019,0.18
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.25
,,2022 - 2023,0.33
,Chikballapur,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.16
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.33
,,2015 - 2016,0.26
,,2016 - 2017,0.19
,,2017 - 2018,0.22
,,2018 - 2019,0.18
,,2021 - 2022,0.33
,,2022 - 2023,0.2
,Chikmagalur,2000 - 2001,0.26
,,2001 - 2002,0.26
,,2002 - 2003,0.26
,,2003 - 2004,0.26
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.38
,,2008 - 2009,0.33
,,2009 - 2010,0.32
,,2010 - 2011,0.3
,,2011 - 2012,0.29
,,2012 - 2013,0.29
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.33
,,2016 - 2017,0.19
,,2017 - 2018,0.24
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,Chitradurga,2000 - 2001,0.29
,,2001 - 2002,0.29
,,2002 - 2003,0.3
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.23
,,2013 - 2014,0.17
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.17
,,2017 - 2018,0.21
,,2019 - 2020,0.0
,,2021 - 2022,0.25
,,2022 - 2023,0.23
,Davangere,2000 - 2001,0.29
,,2001 - 2002,0.29
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.33
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.18
,,2017 - 2018,0.22
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.22
,,2021 - 2022,0.25
,Dharwad,2000 - 2001,0.24
,,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,,2004 - 2005,0.24
,,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2007 - 2008,0.38
,,2008 - 2009,0.41
,,2009 - 2010,0.24
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.24
,,2016 - 2017,0.19
,,2017 - 2018,0.22
,,2018 - 2019,0.0
,,2019 - 2020,0.24
,,2020 - 2021,0.25
,,2021 - 2022,0.25
,,2022 - 2023,0.23
,Gadag,2000 - 2001,0.24
,,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,,2004 - 2005,0.24
,,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2007 - 2008,0.3
,,2008 - 2009,0.34
,,2009 - 2010,0.42
,,2010 - 2011,0.41
,,2011 - 2012,0.4
,,2012 - 2013,0.39
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.19
,,2017 - 2018,0.18
,,2018 - 2019,0.25
,,2019 - 2020,0.25
,,2020 - 2021,0.23
,,2021 - 2022,0.2
,,2022 - 2023,0.23
,Gulbarga,2000 - 2001,0.12
,,2001 - 2002,0.12
,,2002 - 2003,0.12
,,2003 - 2004,0.12
,,2004 - 2005,0.12
,,2005 - 2006,0.12
,,2006 - 2007,0.12
,,2007 - 2008,0.25
,,2008 - 2009,0.34
,,2009 - 2010,0.18
,,2010 - 2011,0.17
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.27
,,2015 - 2016,0.23
,,2016 - 2017,0.13
,,2017 - 2018,0.22
,,2018 - 2019,0.19
,,2019 - 2020,0.25
,,2020 - 2021,0.22
,,2021 - 2022,0.17
,,2022 - 2023,0.2
,Hassan,2000 - 2001,0.17
,,2001 - 2002,0.17
,,2002 - 2003,0.17
,,2003 - 2004,0.17
,,2004 - 2005,0.17
,,2005 - 2006,0.17
,,2006 - 2007,0.17
,,2007 - 2008,0.38
,,2008 - 2009,0.47
,,2009 - 2010,0.46
,,2010 - 2011,0.28
,,2011 - 2012,0.18
,,2012 - 2013,0.18
,,2013 - 2014,0.14
,,2014 - 2015,0.31
,,2015 - 2016,0.28
,,2016 - 2017,0.19
,,2017 - 2018,0.29
,,2018 - 2019,0.26
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.27
,Haveri,2000 - 2001,0.24
,,2001 - 2002,0.24
,,2002 - 2003,0.24
,,2003 - 2004,0.24
,,2004 - 2005,0.24
,,2005 - 2006,0.24
,,2006 - 2007,0.24
,,2007 - 2008,0.25
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.19
,,2017 - 2018,0.21
,,2018 - 2019,0.0
,,2019 - 2020,0.24
,,2020 - 2021,0.27
,,2021 - 2022,0.2
,,2022 - 2023,0.2
,Kodagu,2018 - 2019,0.0
,Kolar,2000 - 2001,0.23
,,2001 - 2002,0.23
,,2002 - 2003,0.23
,,2003 - 2004,0.23
,,2004 - 2005,0.23
,,2005 - 2006,0.23
,,2006 - 2007,0.23
,,2007 - 2008,0.37
,,2008 - 2009,0.34
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.27
,,2015 - 2016,0.26
,,2016 - 2017,0.18
,,2017 - 2018,0.21
,,2018 - 2019,0.2
,,2019 - 2020,0.24
,,2020 - 2021,0.25
,,2021 - 2022,0.33
,,2022 - 2023,0.23
,Koppal,2000 - 2001,0.13
,,2001 - 2002,0.13
,,2002 - 2003,0.13
,,2003 - 2004,0.13
,,2004 - 2005,0.13
,,2005 - 2006,0.13
,,2006 - 2007,0.13
,,2007 - 2008,0.13
,,2008 - 2009,0.34
,,2009 - 2010,0.31
,,2010 - 2011,0.27
,,2011 - 2012,0.26
,,2012 - 2013,0.26
,,2013 - 2014,0.26
,,2014 - 2015,0.26
,,2015 - 2016,0.27
,,2016 - 2017,0.18
,,2017 - 2018,0.22
,,2018 - 2019,0.23
,,2019 - 2020,0.26
,,2020 - 2021,0.26
,,2021 - 2022,0.29
,,2022 - 2023,0.23
,Mandya,2000 - 2001,0.19
,,2001 - 2002,0.19
,,2002 - 2003,0.19
,,2003 - 2004,0.19
,,2004 - 2005,0.19
,,2005 - 2006,0.19
,,2006 - 2007,0.19
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.44
,,2010 - 2011,0.49
,,2011 - 2012,0.27
,,2012 - 2013,0.27
,,2013 - 2014,0.33
,,2014 - 2015,0.2
,,2015 - 2016,0.3
,,2016 - 2017,0.23
,,2017 - 2018,0.17
,,2018 - 2019,0.13
,,2019 - 2020,0.26
,,2020 - 2021,0.29
,,2021 - 2022,0.25
,,2022 - 2023,0.25
,Mysore,2000 - 2001,0.21
,,2001 - 2002,0.21
,,2002 - 2003,0.21
,,2003 - 2004,0.21
,,2004 - 2005,0.21
,,2005 - 2006,0.21
,,2006 - 2007,0.21
,,2007 - 2008,0.52
,,2008 - 2009,0.34
,,2009 - 2010,0.41
,,2010 - 2011,0.37
,,2011 - 2012,0.37
,,2012 - 2013,0.37
,,2013 - 2014,0.37
,,2014 - 2015,0.26
,,2015 - 2016,0.26
,,2016 - 2017,0.2
,,2017 - 2018,0.22
,,2018 - 2019,0.21
,,2019 - 2020,0.25
,,2020 - 2021,0.25
,,2021 - 2022,0.25
,,2022 - 2023,0.25
,Raichur,2000 - 2001,0.13
,,2001 - 2002,0.13
,,2002 - 2003,0.14
,,2003 - 2004,0.12
,,2004 - 2005,0.15
,,2005 - 2006,0.11
,,2006 - 2007,0.13
,,2008 - 2009,0.33
,,2010 - 2011,0.31
,,2011 - 2012,0.27
,,2018 - 2019,0.18
,,2019 - 2020,0.0
,,2020 - 2021,0.25
,,2021 - 2022,0.2
,,2022 - 2023,0.17
,Ramanagara,2007 - 2008,0.37
,,2008 - 2009,0.32
,,2009 - 2010,0.31
,,2010 - 2011,0.3
,,2011 - 2012,0.27
,,2012 - 2013,0.24
,,2013 - 2014,0.22
,,2014 - 2015,0.26
,,2015 - 2016,0.16
,,2016 - 2017,0.16
,,2017 - 2018,0.22
,,2018 - 2019,0.18
,,2019 - 2020,0.26
,,2020 - 2021,0.25
,Shimoga,2000 - 2001,0.26
,,2001 - 2002,0.26
,,2002 - 2003,0.26
,,2003 - 2004,0.26
,,2004 - 2005,0.26
,,2005 - 2006,0.26
,,2006 - 2007,0.26
,,2007 - 2008,0.37
,,2008 - 2009,0.35
,,2009 - 2010,0.35
,,2010 - 2011,0.3
,,2011 - 2012,0.29
,,2012 - 2013,0.25
,,2013 - 2014,0.22
,,2014 - 2015,0.25
,,2015 - 2016,0.29
,,2016 - 2017,0.18
,,2017 - 2018,0.0
,,2018 - 2019,0.0
,,2020 - 2021,0.25
,Tumkur,2000 - 2001,0.29
,,2001 - 2002,0.29
,,2002 - 2003,0.29
,,2003 - 2004,0.29
,,2004 - 2005,0.29
,,2005 - 2006,0.29
,,2006 - 2007,0.29
,,2007 - 2008,0.38
,,2008 - 2009,0.34
,,2009 - 2010,0.33
,,2010 - 2011,0.25
,,2011 - 2012,0.24
,,2012 - 2013,0.24
,,2013 - 2014,0.15
,,2014 - 2015,0.12
,,2015 - 2016,0.17
,,2016 - 2017,0.15
,,2017 - 2018,0.13
,,2018 - 2019,0.0
,,2019 - 2020,0.33
,,2020 - 2021,0.2
,,2021 - 2022,0.24
,Vijayanagar,2022 - 2023,0.24
,Yadgir,2010 - 2011,0.3
,,2011 - 2012,0.2
,,2012 - 2013,0.23
,,2013 - 2014,0.2
,,2014 - 2015,0.29
,,2015 - 2016,0.22
,,2018 - 2019,0.0
,,2019 - 2020,0.24
,,2020 - 2021,1.0
Madhya Pradesh,Agar malwa,2018 - 2019,0.25
,Anuppur,2003 - 2004,0.28
,,2004 - 2005,0.29
,,2005 - 2006,0.3
,,2006 - 2007,0.28
,,2007 - 2008,0.24
,,2008 - 2009,0.28
,,2009 - 2010,
,,2010 - 2011,0.15
,,2011 - 2012,0.19
,,2012 - 2013,0.55
,,2013 - 2014,0.44
,,2014 - 2015,0.4
,,2015 - 2016,0.5
,,2016 - 2017,0.38
,,2017 - 2018,0.46
,,2018 - 2019,0.33
,,2019 - 2020,0.39
,,2020 - 2021,0.44
,,2021 - 2022,0.49
,Ashoknagar,2003 - 2004,0.19
,,2004 - 2005,0.21
,,2005 - 2006,0.2
,,2006 - 2007,0.21
,,2007 - 2008,0.22
,,2008 - 2009,0.2
,,2009 - 2010,
,,2017 - 2018,0.25
,,2018 - 2019,0.17
,,2019 - 2020,0.25
,Balaghat,2000 - 2001,0.14
,,2001 - 2002,0.21
,,2002 - 2003,0.17
,,2003 - 2004,0.16
,,2004 - 2005,0.17
,,2005 - 2006,0.17
,,2006 - 2007,0.17
,,2007 - 2008,0.17
,,2008 - 2009,0.18
,,2009 - 2010,
,,2010 - 2011,0.16
,,2011 - 2012,0.14
,,2012 - 2013,0.16
,,2013 - 2014,0.22
,,2017 - 2018,0.31
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,,2020 - 2021,0.33
,,2022 - 2023,0.25
,Barwani,2014 - 2015,0.5
,,2017 - 2018,0.23
,,2018 - 2019,0.25
,Betul,2000 - 2001,0.17
,,2001 - 2002,0.22
,,2002 - 2003,0.22
,,2003 - 2004,0.23
,,2004 - 2005,0.22
,,2005 - 2006,0.24
,,2006 - 2007,0.25
,,2007 - 2008,0.25
,,2008 - 2009,0.26
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.21
,,2012 - 2013,0.29
,,2013 - 2014,0.3
,,2014 - 2015,1.0
,,2015 - 2016,0.33
,,2016 - 2017,0.33
,,2017 - 2018,0.31
,,2018 - 2019,0.2
,,2019 - 2020,0.14
,,2020 - 2021,0.35
,,2021 - 2022,0.32
,Bhind,2000 - 2001,0.18
,,2001 - 2002,0.25
,,2002 - 2003,0.0
,,2003 - 2004,0.0
,,2019 - 2020,0.25
,Bhopal,2000 - 2001,0.0
,,2017 - 2018,0.0
,,2018 - 2019,0.2
,Burhanpur,2019 - 2020,0.0
,Chhatarpur,2000 - 2001,0.13
,,2001 - 2002,0.15
,,2002 - 2003,0.1
,,2003 - 2004,0.11
,,2004 - 2005,0.13
,,2005 - 2006,0.13
,,2006 - 2007,0.14
,,2008 - 2009,0.13
,,2009 - 2010,
,,2010 - 2011,0.14
,,2018 - 2019,0.0
,,2020 - 2021,0.22
,Chhindwara,2000 - 2001,0.14
,,2001 - 2002,0.22
,,2002 - 2003,0.11
,,2003 - 2004,0.19
,,2004 - 2005,0.21
,,2005 - 2006,0.18
,,2006 - 2007,0.22
,,2007 - 2008,0.25
,,2008 - 2009,0.21
,,2009 - 2010,
,,2010 - 2011,0.23
,,2011 - 2012,0.24
,,2012 - 2013,0.32
,,2013 - 2014,0.46
,,2014 - 2015,0.43
,,2015 - 2016,0.33
,,2016 - 2017,0.25
,,2017 - 2018,0.3
,,2018 - 2019,0.17
,,2019 - 2020,0.35
,,2020 - 2021,0.3
,,2021 - 2022,0.3
,Damoh,2000 - 2001,0.0
,,2001 - 2002,0.17
,,2002 - 2003,0.01
,,2003 - 2004,0.0
,,2005 - 2006,0.1
,,2007 - 2008,0.15
,,2008 - 2009,0.25
,,2009 - 2010,
,,2018 - 2019,0.5
,Dewas,2018 - 2019,0.25
,Dindori,2000 - 2001,0.12
,,2001 - 2002,0.18
,,2002 - 2003,0.13
,,2003 - 2004,0.21
,,2004 - 2005,0.22
,,2005 - 2006,0.18
,,2006 - 2007,0.18
,,2007 - 2008,0.18
,,2008 - 2009,0.19
,,2009 - 2010,
,,2010 - 2011,0.18
,,2011 - 2012,0.12
,,2012 - 2013,0.3
,,2013 - 2014,0.34
,,2014 - 2015,0.43
,,2015 - 2016,0.22
,,2016 - 2017,0.32
,,2018 - 2019,0.3
,,2019 - 2020,0.29
,,2020 - 2021,0.18
,,2021 - 2022,0.35
,,2022 - 2023,0.25
,Guna,2000 - 2001,0.2
,,2001 - 2002,0.2
,,2002 - 2003,0.09
,,2003 - 2004,0.21
,,2004 - 2005,0.21
,,2006 - 2007,0.2
,,2007 - 2008,0.21
,,2008 - 2009,0.2
,,2009 - 2010,
,,2010 - 2011,0.25
,,2018 - 2019,0.4
,,2019 - 2020,0.45
,,2021 - 2022,0.67
,Gwalior,2017 - 2018,0.24
,,2018 - 2019,0.0
,,2019 - 2020,0.25
,Harda,2000 - 2001,0.25
,,2001 - 2002,0.5
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.5
,,2005 - 2006,0.22
,,2007 - 2008,0.0
,,2008 - 2009,0.23
,,2009 - 2010,
,,2020 - 2021,0.43
,Hoshangabad,2000 - 2001,0.25
,,2001 - 2002,0.01
,,2005 - 2006,0.4
,,2007 - 2008,0.33
,,2008 - 2009,0.25
,,2017 - 2018,0.3
,,2018 - 2019,0.2
,,2019 - 2020,0.2
,,2020 - 2021,1.05
,Jabalpur,2000 - 2001,0.13
,,2001 - 2002,0.25
,,2002 - 2003,0.17
,,2003 - 2004,0.28
,,2004 - 2005,0.32
,,2005 - 2006,0.29
,,2006 - 2007,0.18
,,2007 - 2008,0.18
,,2008 - 2009,0.22
,,2009 - 2010,
,,2010 - 2011,0.26
,,2011 - 2012,0.19
,,2012 - 2013,0.28
,,2013 - 2014,0.34
,,2014 - 2015,0.33
,,2015 - 2016,0.25
,,2016 - 2017,0.5
,,2018 - 2019,0.31
,,2019 - 2020,0.31
,,2020 - 2021,0.87
,,2021 - 2022,0.42
,Jhabua,2015 - 2016,0.67
,,2016 - 2017,0.33
,Katni,2000 - 2001,0.12
,,2001 - 2002,0.21
,,2002 - 2003,0.12
,,2003 - 2004,0.23
,,2004 - 2005,0.21
,,2005 - 2006,0.13
,,2006 - 2007,0.04
,,2008 - 2009,0.08
,,2010 - 2011,0.17
,,2013 - 2014,0.12
,Khandwa,2001 - 2002,0.01
,,2003 - 2004,0.24
,,2004 - 2005,0.21
,,2007 - 2008,0.0
,,2017 - 2018,0.33
,,2018 - 2019,0.0
,Khargone,2014 - 2015,0.5
,,2015 - 2016,0.12
,,2016 - 2017,0.5
,,2017 - 2018,0.26
,,2018 - 2019,0.0
,Mandla,2000 - 2001,0.1
,,2001 - 2002,0.2
,,2002 - 2003,0.18
,,2003 - 2004,0.22
,,2004 - 2005,0.22
,,2005 - 2006,0.2
,,2006 - 2007,0.2
,,2007 - 2008,0.2
,,2008 - 2009,0.2
,,2009 - 2010,
,,2010 - 2011,0.2
,,2011 - 2012,0.14
,,2012 - 2013,0.21
,,2013 - 2014,0.36
,,2014 - 2015,0.4
,,2015 - 2016,0.25
,,2016 - 2017,0.43
,,2017 - 2018,0.45
,,2018 - 2019,0.36
,,2019 - 2020,0.34
,,2020 - 2021,0.37
,,2021 - 2022,0.34
,,2022 - 2023,0.39
,Mandsaur,2018 - 2019,0.33
,Morena,2017 - 2018,0.25
,,2019 - 2020,0.33
,Narsinghpur,2000 - 2001,0.4
,,2001 - 2002,0.41
,,2002 - 2003,0.42
,,2003 - 2004,0.42
,,2004 - 2005,0.42
,,2005 - 2006,0.42
,,2006 - 2007,0.42
,,2007 - 2008,0.42
,,2008 - 2009,0.43
,,2009 - 2010,
,,2010 - 2011,0.42
,,2011 - 2012,0.37
,,2012 - 2013,0.42
,,2013 - 2014,0.31
,,2018 - 2019,0.5
,,2020 - 2021,0.43
,Neemuch,2018 - 2019,0.0
,Panna,2000 - 2001,0.13
,,2002 - 2003,0.08
,,2003 - 2004,0.17
,,2004 - 2005,0.13
,,2005 - 2006,0.17
,,2007 - 2008,0.16
,,2008 - 2009,0.17
,,2009 - 2010,
,,2010 - 2011,0.2
,,2011 - 2012,0.13
,,2012 - 2013,0.24
,,2013 - 2014,0.24
,,2018 - 2019,0.0
,,2020 - 2021,0.33
,,2021 - 2022,0.33
,Raisen,2000 - 2001,0.49
,,2001 - 2002,0.4
,,2002 - 2003,0.38
,,2003 - 2004,0.42
,,2004 - 2005,0.5
,,2005 - 2006,0.42
,,2006 - 2007,0.44
,,2007 - 2008,0.45
,,2008 - 2009,0.45
,,2009 - 2010,
,,2010 - 2011,0.4
,,2012 - 2013,0.33
,,2018 - 2019,0.3
,,2019 - 2020,0.27
,Rajgarh,2000 - 2001,0.4
,,2018 - 2019,0.33
,,2019 - 2020,0.33
,Ratlam,2000 - 2001,0.29
,,2001 - 2002,0.01
,,2002 - 2003,0.5
,,2003 - 2004,0.5
,,2004 - 2005,0.0
,,2009 - 2010,
,,2018 - 2019,0.0
,,2019 - 2020,0.0
,Rewa,2000 - 2001,0.0
,,2001 - 2002,0.0
,,2004 - 2005,0.0
,,2005 - 2006,0.11
,,2006 - 2007,0.13
,,2007 - 2008,0.08
,,2008 - 2009,0.09
,,2009 - 2010,
,,2010 - 2011,0.13
,,2011 - 2012,0.08
,,2012 - 2013,0.09
,,2013 - 2014,0.21
,,2018 - 2019,0.18
,,2019 - 2020,0.2
,Sagar,2000 - 2001,0.19
,,2001 - 2002,0.17
,,2002 - 2003,0.13
,,2003 - 2004,0.21
,,2004 - 2005,0.19
,,2005 - 2006,0.2
,,2006 - 2007,0.18
,,2007 - 2008,0.2
,,2008 - 2009,0.17
,,2009 - 2010,
,,2010 - 2011,0.22
,,2011 - 2012,0.13
,,2012 - 2013,0.42
,,2013 - 2014,0.22
,,2018 - 2019,0.57
,,2019 - 2020,0.6
,Satna,2001 - 2002,0.01
,,2002 - 2003,0.01
,,2004 - 2005,0.0
,,2005 - 2006,0.25
