state,district,year,cowpea_kharif_yield_tonne_per_hectare
,,2021 - 2022,0.6
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2016 - 2017,1.2
,,2018 - 2019,1.2
,,2019 - 2020,1.2
Haryana,Hisar,2021 - 2022,0.0
Jammu and Kashmir,Badgam,2006 - 2007,0.5
,Bandipora,2010 - 2011,0.5
,,2015 - 2016,0.2
,,2016 - 2017,0.2
,Baramulla,2006 - 2007,0.3
,,2011 - 2012,0.5
,,2015 - 2016,0.2
,,2016 - 2017,0.2
,Jammu,2006 - 2007,
,,2010 - 2011,
,,2015 - 2016,
,,2016 - 2017,0.2
,Kathua,2015 - 2016,
,,2016 - 2017,
,Kishtwar,2015 - 2016,
,Leh ladakh,2010 - 2011,
,Samba,2015 - 2016,
Karnataka,Bagalkot,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.27
,,2013 - 2014,0.37
,,2014 - 2015,0.43
,,2015 - 2016,0.42
,,2016 - 2017,0.76
,,2017 - 2018,0.23
,,2018 - 2019,0.4
,,2019 - 2020,0.28
,,2020 - 2021,0.33
,,2021 - 2022,0.35
,,2022 - 2023,0.37
,Bangalore rural,2010 - 2011,1.0
,,2011 - 2012,0.73
,,2012 - 2013,0.18
,,2013 - 2014,0.44
,,2014 - 2015,1.49
,,2015 - 2016,0.5
,,2016 - 2017,0.77
,,2017 - 2018,0.23
,,2018 - 2019,0.37
,,2019 - 2020,0.29
,,2020 - 2021,0.33
,,2021 - 2022,0.35
,,2022 - 2023,0.36
,Belgaum,2010 - 2011,0.43
,,2011 - 2012,0.44
,,2012 - 2013,0.16
,,2013 - 2014,0.21
,,2014 - 2015,0.95
,,2015 - 2016,0.16
,,2016 - 2017,0.77
,,2017 - 2018,0.23
,,2018 - 2019,0.38
,,2019 - 2020,0.28
,,2020 - 2021,0.33
,,2021 - 2022,0.35
,,2022 - 2023,0.36
,Bellary,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.27
,,2013 - 2014,0.37
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.76
,,2017 - 2018,0.23
,,2018 - 2019,0.38
,,2019 - 2020,0.29
,,2020 - 2021,0.33
,,2021 - 2022,0.35
,,2022 - 2023,0.37
,Bengaluru urban,2010 - 2011,0.52
,,2011 - 2012,0.53
,,2012 - 2013,0.27
,,2013 - 2014,0.37
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.77
,,2017 - 2018,0.23
,,2018 - 2019,0.38
,,2019 - 2020,0.28
,,2020 - 2021,0.34
,,2021 - 2022,0.36
,,2022 - 2023,0.36
,Bidar,2010 - 2011,0.53
,,2011 - 2012,0.52
,,2012 - 2013,0.28
,,2013 - 2014,0.37
,,2014 - 2015,0.44
,,2015 - 2016,0.41
,,2016 - 2017,0.76
