state,district,year,cowpea_kharif_yield_tonne_per_hectare
,Nuiland,2022 - 2023,1.43
,Peren,2021 - 2022,1.4
,,2022 - 2023,1.5
,Phek,2013 - 2014,1.5
,,2014 - 2015,1.5
,,2015 - 2016,1.46
,,2016 - 2017,1.46
,,2017 - 2018,1.46
,,2018 - 2019,1.5
,,2019 - 2020,1.47
,,2020 - 2021,1.48
,,2021 - 2022,1.4
,,2022 - 2023,1.55
,Tseminyu,2022 - 2023,1.4
,Wokha,2021 - 2022,1.47
,,2022 - 2023,1.47
Odisha,Balangir,2019 - 2020,0.73
,Baleshwar,2019 - 2020,
,Bargarh,2019 - 2020,0.7
,Bhadrak,2019 - 2020,
,Cuttack,2019 - 2020,
,Deogarh,2019 - 2020,0.73
,Gajapati,2019 - 2020,0.76
,Ganjam,2019 - 2020,
,Jagatsinghapur,2019 - 2020,
,Jajapur,2019 - 2020,0.67
,Jharsuguda,2019 - 2020,0.72
,Kalahandi,2019 - 2020,
,Kandhamal,2019 - 2020,0.77
,Kendrapara,2019 - 2020,
,Kendujhar,2019 - 2020,0.75
,Khordha,2019 - 2020,0.7
,Koraput,2019 - 2020,
,Malkangiri,2019 - 2020,
,Mayurbhanj,2019 - 2020,0.74
,Nabarangpur,2019 - 2020,
,Nayagarh,2019 - 2020,0.72
,Puri,2019 - 2020,
,Rayagada,2019 - 2020,0.76
,Sambalpur,2019 - 2020,0.73
,Sonepur,2019 - 2020,0.72
,Sundargarh,2019 - 2020,0.76
Tamil Nadu,Ariyalur,2018 - 2019,1.0
,,2019 - 2020,0.77
,,2020 - 2021,
,,2022 - 2023,0.83
,Chengalpattu,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Coimbatore,2017 - 2018,0.34
,,2018 - 2019,0.72
,,2019 - 2020,0.73
,,2020 - 2021,0.56
,,2021 - 2022,0.41
,,2022 - 2023,0.43
,Cuddalore,2017 - 2018,0.73
,,2018 - 2019,0.89
,,2019 - 2020,1.0
,,2020 - 2021,1.0
,,2021 - 2022,0.73
,,2022 - 2023,
,Dharmapuri,2017 - 2018,0.83
,,2018 - 2019,0.9
,,2019 - 2020,0.92
,,2020 - 2021,0.78
,,2021 - 2022,0.93
,,2022 - 2023,0.93
,Dindigul,2017 - 2018,0.54
,,2018 - 2019,0.85
,,2019 - 2020,0.86
,,2020 - 2021,0.64
,,2021 - 2022,0.58
,,2022 - 2023,0.99
,Erode,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Kallakurichi,2020 - 2021,
,,2021 - 2022,1.0
,Kanchipuram,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2019 - 2020,
,,2022 - 2023,0.67
,Kanniyakumari,2017 - 2018,0.5
,,2018 - 2019,1.0
,,2019 - 2020,1.0
,,2020 - 2021,
,,2021 - 2022,1.0
,Karur,2017 - 2018,0.72
,,2018 - 2019,1.0
,,2019 - 2020,0.8
,,2020 - 2021,0.83
,,2021 - 2022,0.77
,,2022 - 2023,0.83
,Krishnagiri,2017 - 2018,0.63
,,2018 - 2019,0.66
,,2019 - 2020,1.01
,,2020 - 2021,0.84
,,2021 - 2022,0.68
,,2022 - 2023,0.78
,Madurai,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.38
,,2020 - 2021,0.52
,,2021 - 2022,0.29
,,2022 - 2023,0.47
,Namakkal,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Perambalur,2017 - 2018,1.0
,,2018 - 2019,0.67
,,2019 - 2020,0.78
,,2020 - 2021,0.85
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Pudukkottai,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.79
,,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Ramanathapuram,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.67
,,2022 - 2023,1.0
,Ranipet,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Salem,2017 - 2018,0.76
,,2018 - 2019,0.78
,,2019 - 2020,0.63
,,2020 - 2021,0.95
,,2021 - 2022,0.81
,,2022 - 2023,0.73
,Sivaganga,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.79
,,2020 - 2021,0.85
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Theni,2017 - 2018,0.73
,,2018 - 2019,0.71
,,2019 - 2020,0.46
,,2020 - 2021,1.27
,,2021 - 2022,0.59
,,2022 - 2023,0.83
,Thenkasi,2020 - 2021,0.75
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Thiruvallur,2017 - 2018,0.74
,,2018 - 2019,0.75
,,2019 - 2020,0.73
,,2020 - 2021,0.8
,,2021 - 2022,
,,2022 - 2023,
,Thoothukudi,2017 - 2018,0.73
,,2018 - 2019,0.8
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Tiruchirappalli,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.78
,,2022 - 2023,0.8
,Tirunelveli,2017 - 2018,0.71
,,2018 - 2019,0.78
,,2019 - 2020,0.8
,,2020 - 2021,1.0
,,2021 - 2022,1.0
,,2022 - 2023,0.82
,Tirupathur,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Tiruppur,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.81
,Tiruvannamalai,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Vellore,2017 - 2018,0.72
,,2018 - 2019,0.79
,,2019 - 2020,0.78
,,2020 - 2021,0.84
,,2021 - 2022,0.79
,,2022 - 2023,0.8
,Villupuram,2017 - 2018,0.72
,,2018 - 2019,
,,2019 - 2020,0.72
,,2020 - 2021,0.88
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,Virudhunagar,2017 - 2018,0.71
,,2018 - 2019,0.78
,,2019 - 2020,0.77
,,2020 - 2021,0.84
,,2021 - 2022,0.78
,,2022 - 2023,0.77
Telangana,Adilabad,2011 - 2012,0.24
,,2013 - 2014,0.48
,,2014 - 2015,0.92
,,2015 - 2016,0.53
,,2016 - 2017,0.61
,,2017 - 2018,1.02
,,2018 - 2019,0.79
,,2019 - 2020,1.24
,,2020 - 2021,0.67
,,2021 - 2022,0.86
,,2022 - 2023,0.75
,Bhadradri,2016 - 2017,0.61
,,2017 - 2018,1.0
,,2018 - 2019,0.82
,,2019 - 2020,0.67
,,2020 - 2021,0.69
,,2021 - 2022,0.85
,,2022 - 2023,1.19
,Jagitial,2016 - 2017,0.16
,,2017 - 2018,1.0
,,2018 - 2019,0.75
,,2019 - 2020,0.75
,,2020 - 2021,0.7
,,2021 - 2022,0.89
,,2022 - 2023,1.0
,Jangoan,2016 - 2017,0.66
,,2017 - 2018,1.02
,,2018 - 2019,0.75
,,2019 - 2020,0.68
,,2020 - 2021,0.68
,,2021 - 2022,0.82
,,2022 - 2023,0.75
,Jayashankar,2016 - 2017,0.67
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.69
,,2021 - 2022,0.6
,,2022 - 2023,0.74
,Jogulamba,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.7
,,2021 - 2022,0.83
,,2022 - 2023,1.0
,Kamareddy,2016 - 2017,0.67
,,2017 - 2018,1.0
,,2019 - 2020,0.71
,,2020 - 2021,0.36
,,2021 - 2022,0.3
,,2022 - 2023,0.75
,Karimnagar,2011 - 2012,0.24
,,2012 - 2013,0.0
,,2013 - 2014,0.41
,,2014 - 2015,1.45
,,2015 - 2016,0.52
,,2016 - 2017,0.16
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,0.67
,,2020 - 2021,0.68
,,2021 - 2022,0.86
,,2022 - 2023,0.69
,Khammam,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,0.47
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.67
,,2020 - 2021,0.71
,,2021 - 2022,0.86
,,2022 - 2023,0.75
,Komaram bheem asifabad,2016 - 2017,0.6
,,2017 - 2018,0.79
,,2018 - 2019,0.79
,,2019 - 2020,0.72
,,2020 - 2021,0.68
,,2021 - 2022,0.83
,,2022 - 2023,0.73
,Mahabubabad,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,0.67
,,2021 - 2022,0.83
,,2022 - 2023,0.73
,Mahbubnagar,2011 - 2012,0.09
,,2013 - 2014,0.48
,,2014 - 2015,0.53
,,2015 - 2016,0.24
,,2016 - 2017,
,,2017 - 2018,1.01
,,2018 - 2019,
,,2019 - 2020,0.71
,,2020 - 2021,0.69
,,2021 - 2022,0.86
,,2022 - 2023,0.75
,Mancherial,2016 - 2017,0.63
,,2018 - 2019,0.8
,,2019 - 2020,0.5
,,2020 - 2021,0.5
,,2021 - 2022,0.85
,,2022 - 2023,0.75
,Medak,2011 - 2012,0.24
,,2012 - 2013,0.0
,,2013 - 2014,0.86
,,2014 - 2015,1.07
,,2015 - 2016,0.75
,,2016 - 2017,0.74
,,2017 - 2018,
,,2018 - 2019,0.79
,,2019 - 2020,0.8
,,2020 - 2021,0.7
,,2021 - 2022,0.86
,,2022 - 2023,0.5
,Medchal,2021 - 2022,0.75
,,2022 - 2023,1.0
,Mulugu,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.85
,,2022 - 2023,
,Nagarkurnool,2016 - 2017,0.52
,,2017 - 2018,
,,2019 - 2020,1.0
,,2020 - 2021,0.67
,,2021 - 2022,
,,2022 - 2023,1.0
,Nalgonda,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,0.75
,,2022 - 2023,
,Narayanapet,2018 - 2019,0.44
,,2019 - 2020,0.69
,,2020 - 2021,0.68
,,2021 - 2022,0.85
,,2022 - 2023,0.92
,Nirmal,2016 - 2017,
,,2017 - 2018,1.02
,,2018 - 2019,0.79
,,2020 - 2021,
,,2021 - 2022,1.0
,,2022 - 2023,0.5
,Nizamabad,2011 - 2012,0.0
,,2013 - 2014,0.46
,,2015 - 2016,
,,2019 - 2020,0.67
,,2020 - 2021,0.73
,,2021 - 2022,0.89
,,2022 - 2023,0.7
,Peddapalli,2016 - 2017,0.16
,,2017 - 2018,1.0
,,2018 - 2019,0.8
,,2019 - 2020,0.71
,,2020 - 2021,0.71
,,2021 - 2022,0.82
,,2022 - 2023,1.0
,Rajanna,2016 - 2017,0.18
,,2017 - 2018,1.0
,,2018 - 2019,1.0
,,2019 - 2020,0.7
,,2020 - 2021,0.69
,,2021 - 2022,0.86
,,2022 - 2023,0.7
,Rangareddi,2011 - 2012,0.24
,,2013 - 2014,0.48
,,2014 - 2015,0.75
,,2015 - 2016,0.51
,,2016 - 2017,1.0
,,2019 - 2020,0.75
,,2020 - 2021,0.71
,,2021 - 2022,0.83
,,2022 - 2023,0.67
,Sangareddy,2019 - 2020,0.67
,,2020 - 2021,1.0
,,2021 - 2022,
,,2022 - 2023,
,Siddipet,2016 - 2017,0.75
,,2017 - 2018,1.54
,,2018 - 2019,1.23
,,2019 - 2020,1.23
,,2020 - 2021,1.34
,,2021 - 2022,0.39
,,2022 - 2023,0.73
,Suryapet,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,1.0
,,2020 - 2021,0.73
,,2021 - 2022,0.8
,,2022 - 2023,1.0
,Vikarabad,2016 - 2017,0.61
,,2017 - 2018,0.75
,,2018 - 2019,0.61
,,2019 - 2020,0.61
,,2020 - 2021,0.52
,,2021 - 2022,1.07
,,2022 - 2023,0.69
,Wanaparthy,2016 - 2017,0.5
,,2017 - 2018,0.61
,,2018 - 2019,1.0
,,2019 - 2020,0.75
,,2020 - 2021,0.67
,,2021 - 2022,1.0
,,2022 - 2023,1.0
,Warangal,2011 - 2012,0.24
,,2012 - 2013,
,,2013 - 2014,0.48
,,2014 - 2015,0.92
,,2015 - 2016,0.52
,,2016 - 2017,
,,2017 - 2018,1.01
,,2018 - 2019,0.79
,,2019 - 2020,0.8
,,2020 - 2021,0.71
,,2021 - 2022,0.8
,,2022 - 2023,0.75
,Warangal urban,2016 - 2017,0.67
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,0.73
,,2020 - 2021,0.67
,,2021 - 2022,0.75
,,2022 - 2023,
,Yadadri,2016 - 2017,
,,2017 - 2018,1.0
,,2018 - 2019,
,,2019 - 2020,0.8
,,2020 - 2021,0.7
,,2021 - 2022,0.75
,,2022 - 2023,1.0
Tripura,Dhalai,2015 - 2016,0.78
,,2016 - 2017,0.66
,,2017 - 2018,0.72
,,2018 - 2019,0.8
,,2019 - 2020,0.81
,,2020 - 2021,0.83
,,2021 - 2022,0.8
,,2022 - 2023,0.83
,Gomati,2015 - 2016,0.79
,,2016 - 2017,0.61
,,2017 - 2018,0.79
,,2018 - 2019,0.93
,,2019 - 2020,0.93
,,2020 - 2021,0.96
,,2021 - 2022,0.94
,,2022 - 2023,0.94
,Khowai,2015 - 2016,0.76
,,2016 - 2017,0.7
,,2017 - 2018,0.79
,,2018 - 2019,0.73
,,2019 - 2020,0.74
,,2020 - 2021,0.77
,,2021 - 2022,0.75
,,2022 - 2023,0.77
,North tripura,2015 - 2016,0.79
,,2016 - 2017,0.65
,,2017 - 2018,0.74
,,2018 - 2019,0.74
,,2019 - 2020,0.75
,,2020 - 2021,0.77
,,2021 - 2022,0.74
,,2022 - 2023,0.79
,Sepahijala,2015 - 2016,0.79
,,2016 - 2017,0.61
,,2017 - 2018,0.67
,,2018 - 2019,0.74
,,2019 - 2020,0.76
,,2020 - 2021,0.77
,,2021 - 2022,0.74
,,2022 - 2023,0.83
,South tripura,2015 - 2016,0.75
,,2016 - 2017,0.58
,,2017 - 2018,0.66
,,2018 - 2019,0.72
,,2019 - 2020,0.73
,,2020 - 2021,0.77
,,2021 - 2022,0.76
,,2022 - 2023,0.82
,Unakoti,2015 - 2016,0.77
,,2016 - 2017,0.62
,,2017 - 2018,0.69
,,2018 - 2019,0.74
,,2019 - 2020,0.75
,,2020 - 2021,0.78
,,2021 - 2022,0.74
,,2022 - 2023,0.84
,West tripura,2015 - 2016,0.78
,,2016 - 2017,0.67
,,2017 - 2018,0.73
,,2018 - 2019,0.72
,,2019 - 2020,0.74
,,2020 - 2021,0.75
,,2021 - 2022,0.74
,,2022 - 2023,0.76
