state,district,year,jute_kharif_yield_tonne_per_hectare
,,2019 - 2020,12.32
,,2020 - 2021,12.31
,,2021 - 2022,12.06
,,2022 - 2023,11.9
,Goalpara,2000 - 2001,12.69
,,2001 - 2002,6.3
,,2002 - 2003,7.44
,,2003 - 2004,7.85
,,2004 - 2005,9.85
,,2005 - 2006,9.89
,,2006 - 2007,9.08
,,2007 - 2008,12.73
,,2008 - 2009,15.42
,,2009 - 2010,13.45
,,2010 - 2011,16.25
,,2011 - 2012,9.57
,,2012 - 2013,9.36
,,2013 - 2014,7.28
,,2014 - 2015,8.83
,,2015 - 2016,13.28
,,2016 - 2017,8.29
,,2017 - 2018,8.99
,,2018 - 2019,9.96
,,2019 - 2020,9.02
,,2020 - 2021,8.76
,,2021 - 2022,8.47
,,2022 - 2023,9.69
,Golaghat,2000 - 2001,9.98
,,2001 - 2002,9.6
,,2002 - 2003,9.55
,,2003 - 2004,8.63
,,2004 - 2005,8.55
,,2005 - 2006,11.02
,,2006 - 2007,6.55
,,2007 - 2008,8.95
,,2008 - 2009,9.17
,,2009 - 2010,10.93
,,2010 - 2011,10.05
,,2011 - 2012,9.27
,,2012 - 2013,8.57
,,2013 - 2014,10.27
,,2014 - 2015,10.89
,,2015 - 2016,12.01
,,2016 - 2017,10.68
,,2017 - 2018,12.03
,,2018 - 2019,11.58
,,2019 - 2020,12.32
,,2020 - 2021,12.31
,,2021 - 2022,12.08
,,2022 - 2023,11.88
,Hailakandi,2000 - 2001,9.6
,,2001 - 2002,9.9
,,2002 - 2003,10.17
,,2003 - 2004,17.07
,,2004 - 2005,7.08
,,2005 - 2006,10.2
,,2006 - 2007,9.69
,,2007 - 2008,10.97
,,2008 - 2009,10.77
,,2009 - 2010,10.91
,,2010 - 2011,10.05
,,2011 - 2012,9.29
,,2012 - 2013,8.68
,,2013 - 2014,10.28
,,2014 - 2015,10.93
,,2015 - 2016,12.0
,,2016 - 2017,10.68
,,2017 - 2018,12.0
,,2018 - 2019,11.6
,,2019 - 2020,12.31
,,2020 - 2021,12.33
,,2021 - 2022,12.07
,,2022 - 2023,11.83
,Hojai,2020 - 2021,11.51
,,2021 - 2022,16.3
,,2022 - 2023,16.27
,Jorhat,2000 - 2001,9.61
,,2001 - 2002,9.9
,,2002 - 2003,10.17
,,2003 - 2004,10.38
,,2004 - 2005,7.08
,,2005 - 2006,10.2
,,2006 - 2007,9.68
,,2007 - 2008,10.98
,,2008 - 2009,10.77
,,2009 - 2010,10.92
,,2010 - 2011,10.05
,,2011 - 2012,9.35
,,2012 - 2013,8.58
,,2013 - 2014,10.28
,,2014 - 2015,10.89
,,2015 - 2016,12.0
,,2016 - 2017,10.69
,,2017 - 2018,12.02
,,2018 - 2019,11.63
,,2019 - 2020,12.35
,,2020 - 2021,12.27
,,2021 - 2022,12.09
,,2022 - 2023,11.9
,Kamrup,2000 - 2001,10.63
,,2001 - 2002,10.62
,,2002 - 2003,9.32
,,2003 - 2004,8.42
,,2004 - 2005,5.54
,,2005 - 2006,13.82
,,2006 - 2007,14.64
,,2007 - 2008,15.19
,,2008 - 2009,15.29
,,2009 - 2010,14.3
,,2010 - 2011,15.33
,,2011 - 2012,8.29
,,2012 - 2013,6.4
,,2013 - 2014,6.99
,,2014 - 2015,9.89
,,2015 - 2016,12.67
,,2016 - 2017,6.41
,,2017 - 2018,6.45
,,2018 - 2019,8.76
,,2019 - 2020,5.27
,,2020 - 2021,9.27
,,2021 - 2022,9.33
,,2022 - 2023,9.63
,Kamrup metro,2005 - 2006,14.04
,,2006 - 2007,9.69
,,2007 - 2008,10.98
,,2008 - 2009,10.77
,,2009 - 2010,10.93
,,2010 - 2011,10.04
,,2011 - 2012,9.28
,,2012 - 2013,8.56
,,2013 - 2014,10.28
,,2014 - 2015,10.9
,,2015 - 2016,12.0
,,2016 - 2017,10.68
,,2017 - 2018,12.03
,,2018 - 2019,11.59
,,2019 - 2020,12.32
,,2020 - 2021,12.29
,,2021 - 2022,12.08
,,2022 - 2023,11.88
,Karbi anglong,2000 - 2001,13.01
,,2001 - 2002,10.84
,,2002 - 2003,12.02
,,2003 - 2004,11.99
,,2004 - 2005,7.08
,,2005 - 2006,12.79
,,2006 - 2007,10.75
,,2007 - 2008,10.98
,,2008 - 2009,11.11
,,2009 - 2010,10.1
,,2010 - 2011,9.52
,,2011 - 2012,9.27
,,2012 - 2013,8.57
,,2013 - 2014,10.27
,,2014 - 2015,10.9
,,2015 - 2016,12.01
,,2016 - 2017,10.68
,,2017 - 2018,12.03
,,2018 - 2019,11.58
,,2019 - 2020,12.32
,,2020 - 2021,12.31
,,2021 - 2022,12.08
,,2022 - 2023,11.87
,Karimganj,2000 - 2001,9.62
,,2001 - 2002,9.9
,,2002 - 2003,10.16
,,2003 - 2004,10.38
,,2004 - 2005,7.08
,,2005 - 2006,10.2
,,2006 - 2007,9.69
,,2007 - 2008,10.97
,,2008 - 2009,10.77
,,2009 - 2010,10.92
,,2010 - 2011,10.05
,,2011 - 2012,9.27
,,2012 - 2013,8.62
,,2013 - 2014,10.28
,,2014 - 2015,10.91
,,2015 - 2016,12.0
,,2016 - 2017,10.69
,,2017 - 2018,12.02
,,2018 - 2019,11.58
,,2019 - 2020,12.33
,,2020 - 2021,12.31
,,2021 - 2022,12.08
,,2022 - 2023,11.88
,Kokrajhar,2000 - 2001,7.87
,,2001 - 2002,8.35
,,2002 - 2003,10.74
,,2003 - 2004,10.56
,,2004 - 2005,8.52
,,2005 - 2006,9.52
,,2006 - 2007,10.1
,,2007 - 2008,11.54
,,2008 - 2009,8.89
,,2009 - 2010,11.37
,,2010 - 2011,8.79
,,2011 - 2012,10.85
,,2012 - 2013,8.57
,,2013 - 2014,13.52
,,2014 - 2015,11.87
,,2015 - 2016,11.32
,,2016 - 2017,11.65
,,2017 - 2018,10.86
,,2018 - 2019,9.2
,,2019 - 2020,8.01
,,2020 - 2021,8.29
,,2021 - 2022,8.11
,,2022 - 2023,11.67
,Lakhimpur,2000 - 2001,10.25
,,2001 - 2002,6.86
,,2002 - 2003,5.71
,,2003 - 2004,5.78
,,2004 - 2005,7.03
,,2005 - 2006,8.18
,,2006 - 2007,5.6
,,2007 - 2008,5.44
,,2008 - 2009,5.97
,,2009 - 2010,6.55
,,2010 - 2011,6.57
,,2011 - 2012,7.43
,,2012 - 2013,8.56
,,2013 - 2014,10.27
,,2014 - 2015,10.97
,,2015 - 2016,12.0
,,2016 - 2017,10.67
,,2017 - 2018,12.03
,,2018 - 2019,11.56
,,2019 - 2020,12.33
,,2020 - 2021,12.32
,,2021 - 2022,12.08
,,2022 - 2023,11.86
,Majuli,2020 - 2021,12.4
,,2021 - 2022,12.1
,,2022 - 2023,11.85
,Marigaon,2000 - 2001,9.69
,,2001 - 2002,10.28
,,2002 - 2003,9.78
,,2003 - 2004,9.2
,,2004 - 2005,6.26
,,2005 - 2006,8.42
,,2006 - 2007,10.69
,,2007 - 2008,10.23
,,2008 - 2009,12.02
,,2009 - 2010,9.88
,,2010 - 2011,7.67
,,2011 - 2012,7.22
,,2012 - 2013,9.75
,,2013 - 2014,9.51
,,2014 - 2015,8.78
,,2015 - 2016,6.68
,,2016 - 2017,7.33
,,2017 - 2018,11.55
,,2018 - 2019,9.83
,,2019 - 2020,15.17
,,2020 - 2021,14.06
,,2021 - 2022,14.49
,,2022 - 2023,13.8
,Nagaon,2000 - 2001,11.44
,,2001 - 2002,13.89
,,2002 - 2003,12.16
,,2003 - 2004,14.51
,,2004 - 2005,12.5
,,2005 - 2006,12.7
,,2006 - 2007,12.17
,,2007 - 2008,14.47
,,2008 - 2009,14.62
,,2009 - 2010,14.76
,,2010 - 2011,12.51
,,2011 - 2012,9.63
,,2012 - 2013,9.1
,,2013 - 2014,14.48
,,2014 - 2015,16.97
,,2015 - 2016,17.08
,,2016 - 2017,16.19
,,2017 - 2018,12.74
,,2018 - 2019,15.23
,,2019 - 2020,15.47
,,2020 - 2021,17.37
,,2021 - 2022,16.32
,,2022 - 2023,13.71
,Nalbari,2000 - 2001,8.21
,,2001 - 2002,9.21
,,2002 - 2003,9.37
,,2003 - 2004,9.17
,,2004 - 2005,3.31
,,2005 - 2006,8.52
,,2006 - 2007,8.42
,,2007 - 2008,9.52
,,2008 - 2009,8.62
,,2009 - 2010,7.13
,,2010 - 2011,9.46
,,2011 - 2012,9.06
,,2012 - 2013,9.98
,,2013 - 2014,8.87
,,2014 - 2015,8.16
,,2015 - 2016,9.61
,,2016 - 2017,9.15
,,2017 - 2018,8.47
,,2018 - 2019,8.44
,,2019 - 2020,8.72
,,2020 - 2021,8.56
,,2021 - 2022,8.96
,,2022 - 2023,10.12
,Sivasagar,2000 - 2001,9.6
,,2001 - 2002,9.89
,,2002 - 2003,10.19
,,2003 - 2004,10.4
,,2004 - 2005,7.06
,,2005 - 2006,10.21
,,2006 - 2007,9.68
,,2007 - 2008,10.98
,,2008 - 2009,10.78
,,2009 - 2010,10.93
,,2010 - 2011,10.03
,,2011 - 2012,9.26
,,2012 - 2013,8.44
,,2013 - 2014,10.25
,,2014 - 2015,10.84
,,2015 - 2016,12.0
,,2016 - 2017,10.67
,,2017 - 2018,12.0
,,2018 - 2019,11.58
,,2019 - 2020,12.29
,,2020 - 2021,12.29
,,2021 - 2022,12.08
,,2022 - 2023,11.92
,Sonitpur,2000 - 2001,10.18
,,2001 - 2002,9.29
,,2002 - 2003,9.46
,,2003 - 2004,9.57
,,2004 - 2005,8.75
,,2005 - 2006,9.31
,,2006 - 2007,6.0
,,2007 - 2008,6.79
,,2008 - 2009,8.34
,,2009 - 2010,7.89
,,2010 - 2011,7.86
,,2011 - 2012,8.4
,,2012 - 2013,8.46
,,2013 - 2014,6.52
,,2014 - 2015,7.94
,,2015 - 2016,9.49
,,2016 - 2017,9.09
,,2017 - 2018,8.17
,,2018 - 2019,9.56
,,2019 - 2020,9.28
,,2020 - 2021,8.88
,,2021 - 2022,8.61
,,2022 - 2023,9.09
,South salmara mancachar,2020 - 2021,9.44
,,2021 - 2022,10.0
,,2022 - 2023,11.36
,Tinsukia,2000 - 2001,9.55
,,2001 - 2002,9.92
,,2002 - 2003,10.17
,,2003 - 2004,10.42
,,2004 - 2005,7.05
,,2005 - 2006,10.16
,,2006 - 2007,9.65
,,2007 - 2008,11.0
,,2008 - 2009,10.83
,,2009 - 2010,10.92
,,2010 - 2011,10.0
,,2011 - 2012,9.22
,,2012 - 2013,8.56
,,2013 - 2014,10.29
,,2014 - 2015,11.0
,,2015 - 2016,12.0
,,2016 - 2017,10.63
,,2017 - 2018,12.0
,,2018 - 2019,11.5
,,2019 - 2020,12.5
,,2020 - 2021,12.5
,,2021 - 2022,12.0
,,2022 - 2023,12.0
,Udalguri,2005 - 2006,13.01
,,2006 - 2007,6.72
,,2007 - 2008,11.24
,,2008 - 2009,9.68
,,2009 - 2010,13.18
,,2010 - 2011,12.25
,,2011 - 2012,7.68
,,2012 - 2013,7.06
,,2013 - 2014,11.09
,,2014 - 2015,10.6
,,2015 - 2016,16.75
,,2016 - 2017,10.49
,,2017 - 2018,13.06
,,2018 - 2019,11.24
,,2019 - 2020,12.95
,,2020 - 2021,10.92
,,2021 - 2022,13.83
,,2022 - 2023,11.13
,West karbi anglong,2020 - 2021,12.31
,,2021 - 2022,12.08
,,2022 - 2023,11.87
Bihar,Araria,2000 - 2001,9.61
,,2001 - 2002,6.6
,,2002 - 2003,6.97
,,2003 - 2004,6.8
,,2004 - 2005,7.86
,,2005 - 2006,10.15
,,2006 - 2007,9.86
,,2007 - 2008,10.47
,,2008 - 2009,10.66
,,2009 - 2010,7.06
,,2010 - 2011,6.78
,,2011 - 2012,7.72
,,2012 - 2013,6.79
,,2013 - 2014,7.53
,,2014 - 2015,9.11
,,2015 - 2016,9.58
,,2016 - 2017,8.31
,,2017 - 2018,9.73
,,2018 - 2019,13.32
,,2019 - 2020,10.21
,,2020 - 2021,10.26
,,2021 - 2022,24.39
,,2022 - 2023,19.54
,Arwal,2011 - 2012,11.5
,,2012 - 2013,12.5
,Banka,2001 - 2002,7.0
,,2003 - 2004,7.42
,Begusarai,2001 - 2002,6.6
,,2004 - 2005,8.0
,,2005 - 2006,10.0
,,2006 - 2007,10.33
,,2007 - 2008,9.33
,Bhagalpur,2002 - 2003,6.6
,,2003 - 2004,7.5
,,2004 - 2005,8.0
,,2008 - 2009,8.0
,,2009 - 2010,9.18
,,2010 - 2011,9.1
,,2011 - 2012,11.57
,Buxar,2008 - 2009,8.0
,Darbhanga,2004 - 2005,7.8
,Gaya,2007 - 2008,9.5
,,2008 - 2009,8.0
,,2013 - 2014,14.0
,,2014 - 2015,15.0
,Gopalganj,2001 - 2002,6.6
,,2002 - 2003,6.5
,,2003 - 2004,7.5
,,2004 - 2005,8.0
,,2006 - 2007,10.0
,,2007 - 2008,9.5
,,2008 - 2009,8.0
,,2009 - 2010,9.0
,,2010 - 2011,9.0
,Jehanabad,2006 - 2007,10.25
,Katihar,2000 - 2001,7.12
,,2001 - 2002,6.68
,,2002 - 2003,6.6
,,2003 - 2004,7.28
,,2004 - 2005,7.58
,,2005 - 2006,11.82
,,2006 - 2007,12.47
,,2007 - 2008,8.53
,,2008 - 2009,9.49
,,2009 - 2010,10.3
,,2010 - 2011,10.54
,,2011 - 2012,17.09
,,2012 - 2013,17.27
,,2013 - 2014,21.16
,,2014 - 2015,16.24
,,2015 - 2016,14.53
,,2016 - 2017,12.58
,,2017 - 2018,5.64
,,2018 - 2019,13.85
,,2019 - 2020,26.52
,,2020 - 2021,22.04
,,2021 - 2022,10.31
,,2022 - 2023,9.53
,Khagaria,2002 - 2003,6.6
,,2003 - 2004,7.4
,,2004 - 2005,7.83
,,2006 - 2007,10.0
,,2008 - 2009,8.0
,,2009 - 2010,9.0
,,2010 - 2011,9.0
,,2011 - 2012,12.0
,,2013 - 2014,14.5
,,2014 - 2015,15.0
,,2021 - 2022,14.2
,,2022 - 2023,13.33
,Kishanganj,2000 - 2001,8.48
,,2001 - 2002,6.8
,,2002 - 2003,6.71
,,2003 - 2004,6.93
,,2004 - 2005,7.81
,,2005 - 2006,6.8
,,2006 - 2007,6.84
,,2007 - 2008,6.76
,,2008 - 2009,6.59
,,2009 - 2010,7.2
,,2010 - 2011,7.24
,,2011 - 2012,9.88
,,2012 - 2013,8.42
,,2013 - 2014,14.35
,,2014 - 2015,14.84
,,2015 - 2016,10.37
,,2016 - 2017,12.94
,,2017 - 2018,7.74
,,2018 - 2019,10.27
,,2019 - 2020,1.49
,,2020 - 2021,9.39
,,2021 - 2022,12.26
,,2022 - 2023,12.3
,Madhepura,2000 - 2001,10.37
,,2001 - 2002,6.68
,,2002 - 2003,9.07
,,2003 - 2004,13.49
,,2004 - 2005,7.86
